0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171
0.038067,0.044203,0.05643,0.057047,0.057386,0.057808,0.058641,0.065348,0.066549,0.06711,0.062535,0.050911,0.051313,0.045264,0.039487,0.033183,0.033279,0.020393,0.019981,0.020213,0.019831,0.020404,0.013482,0.013453,0.013549,0.019102,0.006644,0.005695,0.012746,0.011645,0.018804,0.012008,0.012796,0.006128,0.006715,0.00658,0.006837,0.000795,0.000929,0.001054,0.001106,0.000814,0.00678,6e-05,0.000169,0.000156,-0.006186,0.000277,0.000251,0.000259,0.000131,0.007255,-0.000126,0.006351,0.000869,0.006286,0.0006,0.000322,0.006577,9.9e-05,0.000268,0.000514,-0.000496,-0.000141,3.4e-05,4.1e-05,-0.000188,-0.001178,-0.007225,-0.013387,-0.013989,-0.019407,-0.026352,-0.026532,-0.025761,-0.019986,-0.027128,-0.020234,-0.01231,-0.004909,0.002305,0.016474,0.017238,0.024301,0.024176,0.022378,0.015325,0.015709,0.014148,0.005949,0.012236,0.005804,0.005119,0.011803,0.007586,0.014417,0.007773,0.014714,0.01472,0.01445,0.014181,0.013557,0.013327,0.014234,0.012623,0.005901,0.005663,0.005942,-0.00104,-0.00138,-0.001242,-0.007558,-0.000717,-0.000816,-0.000896,-0.001006,-0.001093,-0.001105,0.006436,-0.000833,-0.000747,-0.007191,0.000772,-0.006674,-0.00663,-0.006483,-0.006278,-0.008159,-0.007637,-0.008883,-0.008695,-0.007965,-0.008165,-0.001825,-0.001908,-0.007336,-0.001837,-0.000379,-0.006485,0.000375,0.000855,0.001401,0.001395,0.000993,0.000983,0.001001,-0.005278,-0.012904,-0.013104,-0.014229,-0.013233,-0.014437,-0.013569,-0.01353,-0.013372,-0.0069,0.000923,0.007458,0.007578,0.006529,0.00665,0.006996,0.00692,0.006874,0.012966,0.006409,0.006433,0.007611,0.007199,0.000747,0.007064,0.000883
-0.020006,-0.018535,-0.021362,-0.018502,-0.007186,-0.005621,-0.000476,0.007985,0.00726,0.006263,-0.002615,-0.005788,-0.007328,-0.007229,-0.010628,-0.010565,-0.010714,-0.009157,-0.005688,-0.007057,-0.003828,-0.007072,-0.003142,-0.002782,-0.003034,0.003388,0.000443,0.006724,0.003145,0.009948,0.005998,0.007473,0.002509,0.003147,-0.00078,-8.7e-05,-0.001395,-0.004036,-0.004729,-0.005364,-0.005625,-0.004162,-0.000885,-0.0003,-0.000817,-0.000746,-0.002111,-0.00133,-0.001192,-0.00124,-0.000628,-0.004033,0.000596,0.00135,-0.005281,0.001655,-0.003929,-0.00264,-0.000838,-0.00161,-0.002402,-0.003548,0.002284,0.000639,-0.000161,-0.00019,0.000882,0.006604,0.003943,0.00185,0.005829,7.5e-05,0.002639,0.004403,-0.000347,0.004859,0.008329,0.006236,-0.002599,-0.00792,-0.011846,-0.016914,-0.021914,-0.023671,-0.022923,-0.011487,-0.010258,-0.012661,-0.003866,0.003779,0.006564,0.004363,0.008717,0.009548,-0.00571,-0.005539,-0.006591,-0.006905,-0.006829,-0.005509,-0.004229,-0.001436,-0.000503,-0.006115,0.002394,0.001513,0.002419,0.00119,0.002995,0.005795,0.005223,0.003059,0.003029,0.003452,0.003789,0.004252,0.004624,0.004674,0.000177,0.003515,0.003153,0.001722,-0.004621,-0.000459,-0.000407,-0.001251,-0.001894,0.007709,0.003673,0.010792,0.010439,0.005671,0.007108,0.008369,0.008558,0.001775,0.008512,0.000597,-0.001819,-0.002868,-0.005191,-0.007351,-0.007322,-0.005915,-0.005604,-0.005906,-0.007606,-0.001872,-0.000905,0.005668,-0.000133,0.00699,0.001753,0.00165,0.000969,0.001616,-0.005758,-0.005465,-0.006031,0.000353,-0.000746,-0.001952,-0.001509,-0.00123,0.001453,0.001113,0.000985,-0.005759,-0.003714,-0.004663,-0.003041,-0.005302
-0.043174,-0.050798,-0.053919,-0.060778,-0.069687,-0.069371,-0.067089,-0.062557,-0.048163,-0.041306,-0.024115,-0.009577,-0.002787,0.005937,0.011948,0.012641,0.01251,0.006929,0.001518,0.000412,-0.005225,-0.007912,-0.012321,-0.012066,-0.012356,-0.016191,-0.017172,-0.020342,-0.01578,-0.018503,-0.014265,-0.012193,-0.008029,-0.006638,-0.001545,-0.000936,-0.002092,-0.003578,-0.004205,-0.004793,-0.005029,-0.003751,-0.001671,-0.000274,-0.000735,-0.000673,-0.001001,-0.001193,-0.001072,-0.001116,-0.000565,0.004154,0.000533,0.000312,0.003918,0.000583,0.005142,0.006298,0.007011,0.007215,0.006506,0.005484,0.002028,0.000567,-0.000143,-0.000168,0.000783,-0.002765,-0.004232,-0.005166,-0.01028,-0.014542,-0.020054,-0.027212,-0.031682,-0.036812,-0.041656,-0.044878,-0.045847,-0.043279,-0.039601,-0.028859,-0.015719,-0.009236,0.001044,0.003657,0.006054,0.012915,0.012938,0.01254,0.01443,0.013065,0.008054,0.00781,0.01189,0.010962,0.010945,0.009533,0.009602,0.01095,0.012251,0.015076,0.015967,0.019647,0.018779,0.018889,0.01968,0.01842,0.012028,0.005599,0.005036,0.003978,0.002904,0.003297,0.003614,0.004043,0.00438,0.004421,0.008108,0.003302,0.002955,0.00261,0.004597,0.000574,0.00036,-0.000183,-0.001032,-0.000968,0.004484,0.002123,0.001514,0.006174,0.00721,0.00763,0.007771,0.011237,0.007612,0.009169,0.007901,0.006074,0.00404,0.002031,0.002064,0.003428,0.003698,0.003406,0.002793,0.000108,0.000957,-0.001882,0.001615,-0.000754,0.003233,0.003117,0.00252,0.002225,0.003537,0.002954,0.002446,-0.000561,-0.001263,-0.002562,-0.002175,-0.001938,-0.000457,0.0001,-1.4e-05,0.002678,0.004472,0.004511,0.005065,0.003964
0.214082,-0.328394,0.43739,-0.640288,3.380755,-0.649113,-0.269767,-0.098058,0.17646,0.157067,0.028035,-0.017096,0.048878,0.044457,-0.198357,0.190115,-1.13155,-0.135788,-0.069939,-0.043895,0.004702,0.00453,0.048413,-0.008922,-0.015177,0.075342,0.052658,-0.364026,-4.414128,-3.811623,-1.187799,0.077164,0.04762,0.024099,-0.120354,0.002057,-0.1115,-0.115179,0.269145,-1.012877,-0.361913,-0.874052,-0.009287,-0.006366,-0.010452,-0.00286,-0.001919,0.000122,-0.001943,-0.002719,5.8e-05,-0.036937,-0.000287,0.002076,0.758828,0.020975,-0.047514,0.129875,0.126905,0.123441,-0.045952,-0.039944,0.171203,-0.001383,9.2e-05,0.000104,0.002625,-0.806852,-0.36308,2.794822,-0.289951,-0.046494,0.723245,-0.422546,3.754586,-0.124742,-0.164108,0.084958,1.084217,0.582374,5.510108,5.754214,4.41824,4.053489,1.202863,0.232625,0.881009,4.332313,-0.004196,0.781842,-0.193457,-0.43928,-0.24035,-0.041732,-0.027935,-0.064332,-0.070394,-0.068217,0.057148,-0.161019,-0.069948,0.280939,-0.063245,-0.55279,-0.010711,-0.068749,-0.031198,-0.069228,-0.031039,0.002877,0.015526,5.5e-05,3.6e-05,-0.002019,0.084735,0.001519,0.00284,0.002857,-0.027932,0.000511,-0.009215,0.259937,0.058559,-0.136825,-4.331704,-1.410828,-4.779087,-4.835176,-2.218421,-0.295282,-5.198614,-1.660695,-5.160384,-0.064512,-0.937906,-0.50413,-0.478481,-0.08985,-0.082392,-1.770849,-0.521933,-5.393521,-5.882547,-2.006552,-5.653544,-0.586888,-0.109273,-0.031328,-0.518917,-0.080207,-0.365493,-0.24896,0.049081,0.200676,-1.54448,-0.410744,-0.004023,0.04665,0.082695,0.030914,-5.041716,-0.049031,-0.058927,-0.046607,-0.056174,-0.006348,-0.036917,-0.085572,-0.036386,-0.024027,-0.02515,0.00413
1.481059,1.450829,1.845562,2.043569,3.877791,1.966222,1.359612,0.956866,0.261307,0.231444,0.262847,0.273915,-0.255941,-0.04494,-0.447423,-0.321471,-0.808071,0.307941,0.234756,0.091859,-0.027366,-0.11148,-0.101733,0.003778,-0.293338,-0.035029,-0.01772,-0.282744,-1.599247,-2.244402,-0.804909,-0.276844,-0.124781,-0.137904,0.157831,-0.0246,-0.036526,-0.019962,-0.391831,-0.755818,-0.124614,-1.01247,-0.001061,0.00747,0.011038,0.003626,0.015304,3e-05,-0.003952,0.017944,2e-05,-0.01155,-0.000658,-0.015202,2.067243,-0.145051,0.016734,-0.22698,-0.236419,-0.219998,0.001676,0.01209,-0.241062,0.001888,4.4e-05,-1e-06,-0.019403,-1.479295,0.240647,-0.110826,0.337548,0.61909,1.325893,0.825735,3.128636,-1.160948,0.559851,0.606264,0.9733,0.268902,3.58356,4.213547,3.220582,3.084157,0.951766,0.413574,1.359836,3.497415,0.937369,1.835592,-0.839828,0.832709,0.431067,0.019013,-0.16703,-0.039474,-0.017985,-0.032926,-0.213326,0.410066,-0.049872,-0.538463,-0.055757,1.742208,-0.146621,0.045202,-0.10252,-0.045459,-0.028009,-0.017793,-0.038905,-0.0016,4.7e-05,-0.011681,-0.134145,-0.016071,-0.017762,-0.0178,-0.046032,-0.015262,0.090231,-0.3757,-0.130664,-0.036402,-3.04829,-0.771575,-2.487073,-2.313078,1.86291,0.631132,-1.607895,-0.297463,-2.140054,-0.047145,1.670798,1.768864,-0.089083,0.257958,0.012915,0.122626,0.034955,-1.546492,-1.139722,1.374246,-0.373613,0.376482,0.554897,0.281822,0.127603,1.413843,-0.647425,-0.6654,-0.164523,-0.695468,-0.254073,-0.505515,-0.56841,-0.771279,-0.919324,-0.842915,1.653288,-0.679225,-0.194954,-0.05171,-0.371312,-0.014159,-0.186073,-0.465341,-0.219395,-0.13713,-0.001531,0.010933
1.328079,-0.060778,0.777974,-0.004288,2.529588,-0.469742,-0.445334,-0.162863,-0.19115,-0.199034,-0.229901,-0.319867,-0.486933,-0.31675,-1.066728,-0.66493,-1.788031,-0.45896,-0.258088,-0.119184,0.065125,0.172935,0.172838,0.023028,0.346486,0.08622,0.044728,-0.089292,-2.824336,-3.158145,-0.439887,0.359622,0.179808,0.153722,0.181823,0.014762,-0.083349,-0.111793,-0.401619,-1.339342,-0.384838,-1.31279,0.041179,0.006435,0.008232,0.003123,-0.02903,0.000105,0.002847,-0.022199,2.9e-05,0.013462,0.000486,0.029269,-1.639267,0.177996,-0.00827,-0.187048,-0.153093,-0.180489,0.015218,-0.015524,-0.170599,0.001669,0.000157,0.000104,0.023197,2.383511,0.524006,5.907292,0.796353,1.108001,1.778343,0.591032,3.643123,2.798892,0.824801,1.180467,1.508699,0.250254,3.572462,3.574806,2.620704,2.487941,0.563224,0.194576,1.022956,2.451604,0.148722,0.807828,2.336228,0.388596,0.217989,0.172923,0.138748,0.036887,0.013386,0.042306,-0.124469,-0.769042,0.074909,-0.380784,0.061373,-2.272178,0.02236,-0.117529,0.015258,0.065477,0.025702,0.022451,0.00446,-0.005878,1e-05,0.028031,-0.080368,0.024025,0.022482,0.022466,0.058818,0.026669,-0.144916,-0.33357,-0.132568,-0.066888,-1.872761,-0.479026,-1.407988,-1.393394,-2.268754,0.060057,-0.99495,-0.684422,-0.914588,-0.437401,-2.463667,-2.3049,-0.138411,-0.321799,-0.050261,-0.95936,-0.47708,-0.937718,-0.852286,-3.230655,-0.593533,-0.518395,-0.711429,-0.355796,-0.146485,-2.456965,-0.791521,-0.902383,-0.707687,-1.103289,-0.948436,-1.256395,-1.002952,-1.355989,-1.20805,-1.403908,-1.981722,-1.228746,-1.045407,-0.771173,-0.952933,-0.209213,-0.357356,-0.39325,-0.138528,-0.132663,0.023371,-0.084612
-0.036401,-0.049547,-0.056276,-0.063724,-0.070715,-0.064537,-0.058925,-0.059475,-0.059965,-0.05361,-0.047553,-0.040751,-0.033755,-0.039235,-0.038257,-0.03735,-0.029003,-0.034759,-0.033237,-0.03307,-0.026422,-0.018696,-0.025373,-0.019348,-0.020139,-0.019994,-0.020862,-0.022581,-0.023924,-0.018378,-0.018097,-0.017453,-0.015818,-0.007518,-0.007103,-0.006423,-0.006281,0.001108,0.00149,0.002822,0.001955,-0.004716,0.00048,-0.005969,-0.005562,-0.005502,0.000207,0.000162,0.001208,0.000654,-0.000793,-0.000913,-0.007622,-0.006498,-0.006495,3e-05,-0.00029,-0.006577,2e-06,0.007441,2e-06,3e-06,3e-06,0.006524,0.006887,6.9e-05,0.012694,0.008387,0.011131,0.011637,0.011541,0.017249,0.010135,0.016877,0.01744,0.015357,0.015232,0.008213,0.000477,-0.00029,-0.002858,-0.005771,-0.004929,-0.00518,-0.006963,0.000905,0.000715,-0.006782,-0.001076,-0.005701,-0.004483,-0.002862,-0.00707,0.000374,0.000694,0.000567,0.001167,0.001086,0.000136,-0.000568,-0.001061,0.00577,-0.001729,-0.001678,-0.002075,-0.001559,-0.001675,0.005747,-0.000806,-0.00082,-0.000903,-0.001159,-0.001313,-0.001308,-0.001298,-0.001465,-0.001242,-0.008265,-0.008521,-0.00131,-0.000332,5e-05,0.000237,0.000341,5.7e-05,-0.000106,0.000388,0.000919,0.001075,0.014764,0.021853,0.02167,0.02242,0.025338,0.02597,0.018659,0.010693,0.016559,0.015727,0.001692,0.002203,-0.004375,-0.011139,-0.013085,-0.015413,-0.015199,-0.019963,-0.013363,-0.012098,-0.004251,-0.005704,-0.000181,-6.8e-05,0.000648,0.000507,-0.006547,7e-06,0.000769,0.000898,0.002274,0.003614,-0.002433,-0.002668,-0.00416,0.000473,-0.007269,-0.006612,-0.013432,-0.008109,-0.008341,-0.009699,-0.003339
-0.005291,-0.008968,-0.012802,-0.021213,-0.021617,-0.024361,-0.027557,-0.025522,-0.023593,-0.023532,-0.023469,-0.02148,-0.020428,-0.010217,-0.005932,-0.002607,0.001877,0.002569,0.00719,0.007697,0.002562,0.007759,0.009006,0.005882,0.003768,0.004186,-0.001693,-0.005942,-0.009082,-0.016703,-0.015892,-0.013983,-0.009945,-0.004009,-0.006634,-0.005006,-0.004659,-0.004624,-0.003703,0.003263,-0.002572,-0.000946,-0.006065,0.003273,0.004201,0.00433,-0.003121,-0.00322,0.002764,0.001501,-0.00539,-0.005665,-0.004087,0.002073,0.00207,7.2e-05,-0.000655,0.001881,1e-06,0.003661,-5e-06,-2e-06,-1e-06,-0.001986,-0.001166,0.000157,-0.00837,0.002284,0.008653,0.009889,0.009852,0.002663,0.003182,0.005667,0.010782,0.002291,0.005629,0.006112,0.00475,0.002854,-0.007032,-0.017774,-0.008451,-0.009054,-0.013307,-0.00464,-0.005098,-0.009089,-0.01665,-0.009984,-0.007045,-0.00678,0.000806,0.000876,0.001644,0.001342,0.002771,0.00258,0.000324,-0.001343,-0.002512,-0.000288,-0.004104,-0.003977,-0.004905,-0.003684,-0.007623,-0.004062,-0.001904,-0.001937,-0.002131,-0.002726,-0.003092,-0.003077,-0.00305,-0.003435,-0.00291,-0.001735,-0.002303,-0.003059,-0.000776,0.000115,0.000552,0.000796,0.000133,-0.000245,0.000899,0.005828,0.006203,0.003003,0.00202,0.001713,0.007365,0.022206,0.020497,0.017202,0.012211,0.004903,-0.000883,0.000731,0.005787,0.007623,0.008948,0.000184,-0.013067,-0.012457,-0.00224,-0.007712,-0.000893,0.004018,-0.003248,-0.007712,-0.007435,-0.00202,-0.002378,-0.0017,3e-05,0.005552,0.002217,0.009255,0.012543,0.015466,0.014962,0.007625,-0.002445,-0.003604,0.001608,0.00272,-0.005581,-0.006116,-0.012908,-0.015137
-0.056382,-0.051923,-0.047245,-0.038466,-0.031881,-0.026332,-0.021478,-0.020733,-0.020013,-0.020205,-0.020731,-0.019511,-0.018642,-0.019246,-0.015782,-0.012921,-0.00868,0.000556,0.004736,0.00517,0.009854,0.005927,0.006594,0.004137,0.002157,0.002506,0.006202,0.002223,-0.000774,0.001698,0.002426,0.004124,0.007983,0.004913,0.011667,0.013197,0.013516,0.01408,0.014908,0.012064,0.015886,0.016813,0.012622,0.002452,0.003295,0.003409,0.006242,0.006146,0.002508,0.00136,0.00418,0.003936,0.004828,0.001338,0.001336,7.1e-05,-0.000589,0.001163,7e-06,-0.005198,-4e-06,-3e-06,-3e-06,-0.001257,-0.000516,0.000139,0.002545,0.002574,0.008246,0.0093,0.009169,0.012123,0.012075,0.005736,0.001253,0.002724,-0.003204,-0.003182,-0.004714,-0.006319,-0.005983,-0.006445,-0.01617,-0.016766,-0.020696,-0.030695,-0.031254,-0.026623,-0.024269,-0.018791,-0.01606,-0.006529,2.9e-05,0.000687,0.001629,0.001315,0.002676,0.002491,0.000312,-0.001292,-0.002421,-0.009033,-0.003974,-0.00386,-0.004779,-0.0036,0.001966,-0.003357,-0.001872,-0.001908,-0.0021,-0.002692,-0.00306,-0.003053,-0.003031,-0.003424,-0.002906,-0.002405,-0.00299,-0.003081,-0.000782,0.000118,0.000558,0.000806,0.000135,-0.000248,0.000888,-0.003724,-0.003339,-0.005218,-0.005686,-0.005907,-0.009844,-0.014111,-0.006354,-0.000766,0.003123,0.005855,0.00955,0.01003,0.005567,0.006797,0.007544,0.008428,0.014321,0.014904,0.014823,0.019385,0.016575,0.012455,0.014816,0.011163,0.011456,0.007275,0.00694,0.007067,2.3e-05,-0.004018,0.002035,-0.00062,0.002377,0.004619,0.00405,0.006396,0.006789,0.005281,0.000968,0.001491,0.003509,0.003029,0.005916,0.004402
-0.782335,-0.080188,-0.098241,-0.069377,0.055372,0.038028,0.000451,1.649447,-0.010206,-0.008226,-0.008798,-0.007212,-0.006273,0.028407,0.02834,-0.117728,-0.117247,-0.006109,0.064948,-0.005355,-0.041614,0.1638,0.2189,0.161233,0.299529,0.758571,5.425873,5.387755,1.725125,1.572367,0.204901,5.349253,0.404486,-0.029219,0.396181,0.067935,-0.071506,-0.049188,0.397937,5.104655,-0.067888,-0.071385,-0.004575,-0.000571,-0.000712,-0.000765,-0.032876,-0.03178,0.001146,0.000109,-0.033108,-0.033131,-0.034125,-0.000958,-0.000972,5e-06,4e-06,-0.000979,8e-06,0.034121,9e-06,1.6e-05,1.8e-05,0.000732,0.001313,0.000511,-0.030843,-0.336608,-1.167053,-1.613607,-1.501384,-1.311591,-1.374844,-1.32963,-1.458802,-0.335325,-0.09101,0.028662,0.045681,0.040442,-1.007039,3.654974,-0.786297,-0.570472,0.380963,0.273872,0.076088,0.072763,-0.005779,0.053325,-0.686168,-0.069558,-1.99613,-2.409822,-0.158412,-0.36119,0.011708,0.007625,0.000787,0.00039,-0.001289,0.032697,2.4e-05,0.000108,0.000481,0.00015,-0.033342,0.001183,-0.015643,-0.000423,-0.011925,-0.015301,-0.000108,-0.001656,-0.002039,0.356841,-0.003049,1.079434,-0.003183,0.0002,-3.1e-05,-0.013468,-0.000602,5.8e-05,4.2e-05,-0.012587,0.64605,1.149481,0.055719,0.283606,4.341189,0.710582,0.079977,1.267991,0.090962,0.058593,-0.184198,-0.00352,1.023543,-0.027395,0.007275,-4.331351,0.002338,0.982862,-0.009036,-0.110655,-0.073519,-0.107382,-0.077071,-0.043016,-0.076031,-0.071413,-4.882989,-0.073963,-1.5409,-1.405679,0.021339,-0.037869,0.001463,-0.218826,-0.351681,-4.690266,-1.347797,0.187732,0.208406,0.229898,0.272251,0.20651,0.073739,-0.561513,0.04902,-0.06981
