0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0.006847,0.006806,-1e-06,1.5e-05,0.000525,4.1e-05,4.1e-05,3.7e-05,2.3e-05,4e-06,-0.007856,-0.007859,-0.007855,-0.007851,-0.007845,-0.015685,-0.007843,-0.007836,-0.016121,-0.01607,-0.023509,-0.023291,-0.015527,-0.031039,-0.030451,-0.030385,-0.030248,-0.030534,-0.030176,-0.029938,-0.022227,-0.022298,-0.021989,-0.014752,-0.007102,-0.014894,-0.007256,-0.007257,8.8e-05,1e-06,-5.7e-05,-2e-06,1e-06,0.007454,-0.000242,1.1e-05,-0.000496,-0.00055,-0.001009,-0.001362,-0.002018,-0.002045,-0.002293,-0.002913,0.00492,-0.002917,-0.002593,-0.002634,-0.002447,-0.002101,-0.00173,-0.001565,-0.001685,-0.001683,-0.001392,-0.00132,0.006816,-0.000442,-0.000342,0.000676,0.00903,0.0012,0.001417,0.001401,0.001304,-0.006579,0.001281,-0.006565,0.000996,-0.007117,-0.007152,0.00096,0.000712,0.000689,0.008449,0.000536,0.000556,0.000437,0.000153,9e-05,6.6e-05,4.6e-05,-0.000284,-0.007847,-0.000373,0.007439,-0.000335,0.007386,-0.000396,0.007279,0.007457,0.015222,0.022628,0.022703,0.030511,0.04594,0.04632,0.061782,0.054767,0.05555,0.055548,0.048263,0.048741,0.033497,0.041279,0.033839,0.033569,0.025469,0.025756,0.017584,0.017024,0.008787,0.008163,0.008153,0.000339,0.000284,0.000218,0.000192,0.000138
0.017281,0.017016,0.000578,-0.002105,-0.011744,-0.00828,-0.008132,-0.006373,-0.003744,8.9e-05,0.000799,0.001509,0.001999,0.001812,0.000588,-0.00094,-0.000495,7.1e-05,0.006113,0.007887,0.003168,0.005943,0.007819,0.007876,0.000841,0.000643,0.001841,0.008071,0.003262,0.003345,0.002622,0.002276,-0.005239,-0.001595,-0.00203,-0.003341,-0.00386,-0.003894,0.001084,1.9e-05,-0.000634,-2.1e-05,1e-06,0.006276,0.006076,8.9e-05,0.003155,-0.006326,-0.002669,-0.006599,-0.004995,-0.013771,-0.016281,-0.013758,-0.013404,-0.013099,-0.01781,-0.009295,-0.007238,-0.003536,5.9e-05,0.010035,0.01714,0.025416,0.028066,0.028738,0.030429,0.020436,0.021439,0.006251,0.002461,0.003219,-0.003003,-0.003067,-0.003936,-0.004153,-0.004126,-0.004132,0.001427,0.00697,0.006548,0.00109,0.006989,0.006808,0.006704,0.005363,0.005573,0.004403,0.001565,0.000933,0.000692,0.000591,0.005655,-0.001115,0.004648,0.005423,0.005115,0.004878,0.004337,0.00406,0.005289,0.006493,0.012627,0.012896,0.00655,0.008377,0.003946,0.008892,-0.001529,-0.011806,-0.011082,-0.013814,-0.020167,-0.021402,-0.023515,-0.027802,-0.0256,-0.022727,-0.025581,-0.02134,-0.01562,-0.011965,-0.005383,-0.004911,-0.005427,-0.004506,-0.003458,-0.003015,-0.002184
-0.000853,-0.001252,0.000755,-0.002797,-0.004152,-0.011092,-0.010933,-0.008633,-0.005097,0.000124,0.002028,0.002991,0.003646,0.003383,0.001716,0.00054,0.000234,0.000994,-0.00158,0.00078,0.006862,0.010439,0.011912,0.013507,0.015541,0.015099,0.016456,0.013128,0.017764,0.01787,0.016153,0.01544,0.017266,0.010156,0.009041,0.007951,0.006746,0.006699,0.00135,3.2e-05,-0.000771,-2.4e-05,1e-06,-0.003785,-0.00347,0.000114,-0.007035,-0.007748,-0.01421,-0.019191,-0.028435,-0.028779,-0.032247,-0.040998,-0.041858,-0.041305,-0.036836,-0.03745,-0.034765,-0.029734,-0.024726,-0.02236,-0.024146,-0.024179,-0.020155,-0.019136,-0.017123,-0.006636,-0.005134,0.009418,0.01555,0.017106,0.02018,0.019974,0.018618,0.018799,0.018217,0.018668,0.013953,0.010318,0.009658,0.013313,0.009649,0.009334,0.008607,0.00726,0.007524,0.00592,0.002097,0.001247,0.000936,0.000823,-0.003938,-0.000966,-0.005305,-0.004792,-0.004668,-0.005526,-0.005738,-0.00661,-0.00492,-0.003928,-0.007842,-0.007644,-0.005183,-0.004165,0.00129,0.006146,0.015496,0.024317,0.025124,0.033226,0.035921,0.036009,0.032185,0.027549,0.019133,0.012614,0.008917,0.004127,0.000224,-0.005285,-0.008096,-0.007526,-0.007113,-0.005929,-0.004568,-0.003986,-0.002896
-0.308477,-0.189047,-0.177135,-0.027292,-0.271933,0.04087,0.002795,0.027847,0.004865,0.00267,-0.171164,0.160173,-0.003951,0.000274,0.000217,-0.003471,0.013588,-0.889691,0.020859,-0.153815,-3.558455,-0.819935,-3.614734,-2.921826,-0.000237,0.387146,0.305212,-0.012103,-2.471227,-0.731818,-0.618262,-2.523169,-0.027191,-0.09355,-0.054539,0.036192,0.245495,0.048134,-0.923998,-0.20893,0.001555,0.001404,0.000856,-0.730534,0.037247,0.014301,-0.140318,-0.017708,-0.305297,-1.084065,-0.142969,-0.026328,-0.22517,-0.33666,0.015907,0.046468,0.04383,0.023226,-0.266045,-0.517415,-0.011346,-1.114552,-0.398149,-0.088325,-0.09618,-0.589029,-0.353986,-0.586712,-0.221059,0.166201,0.350092,0.482879,0.256438,0.242246,-0.052647,0.149284,-0.025499,-0.001048,0.087045,0.03622,0.014628,0.25456,0.025082,-0.014521,0.077417,0.188024,0.018436,0.073352,0.197192,0.533346,0.716366,0.735253,0.581258,0.002522,0.113849,0.274388,0.738965,-0.152133,-0.450246,-0.444284,-3.343302,-0.691996,0.216023,-3.213428,0.495226,0.333752,0.36779,0.68214,0.675322,0.739551,-3.175807,1.927406,1.263824,0.368754,0.03788,0.047338,0.09417,0.139688,-0.014756,-0.04875,-0.056964,-1.005649,-0.044407,0.008616,-0.006486,-0.001066,0.005593,-0.006307,-0.001541
-0.612689,0.156258,0.194566,-0.146326,0.420648,-0.177837,-0.021792,-0.090866,0.006195,0.008088,-0.642895,-0.229079,-0.145952,0.001561,0.019273,0.034466,-0.082502,-1.912006,-0.019894,-0.556331,-2.973085,-2.163199,-5.360108,-3.623355,-0.377039,-0.55482,-0.374983,-0.290665,-3.60992,-1.170578,-2.220783,-3.329818,-0.486901,-0.199293,-0.621459,-0.178493,-0.393527,-0.181047,-1.822075,-0.257955,0.019303,0.002227,0.001435,-0.833923,0.087943,-0.00194,0.221352,0.076598,0.402659,-0.413363,0.332272,0.186072,0.408325,0.512665,0.047418,0.07638,0.111936,-0.115189,-0.496537,-1.785077,0.070178,-1.284266,-0.083935,0.243226,0.248549,0.398188,0.474025,0.131273,0.282077,-0.20884,-0.42589,-0.557439,-0.489517,-0.374072,-0.08956,-0.249765,-0.094851,-0.099781,-0.071737,-0.000208,-0.073699,-0.314094,-0.087479,-0.035334,-0.136965,-0.212784,-0.078311,-0.147265,-0.27131,-0.571771,-0.096895,1.766061,1.973518,0.047868,0.041794,0.501058,1.857125,0.288184,1.070386,2.16903,-0.505423,0.854855,0.374304,-2.525669,-0.210352,0.042213,-0.23512,-0.922246,-0.851427,-1.097326,-2.076005,0.789168,1.308458,-0.650834,-0.221517,-0.211114,-0.450155,-0.401073,-0.178717,-0.069921,0.056511,0.033988,0.023484,-0.004218,0.022174,0.014664,0.000274,0.021091,0.014634
1.472771,1.141421,0.829124,0.594348,0.326338,0.271653,0.144116,0.112331,-0.029676,-0.011081,0.831265,-0.190982,0.221389,-0.006182,-0.034001,-0.067836,0.13474,1.799487,0.01054,0.661812,-3.075541,2.097453,-0.710668,-2.798123,0.07788,-0.210271,-0.43799,-0.056758,-4.0433,-1.366822,-0.773817,-4.118259,-0.172762,-0.037961,-0.382665,0.036331,-0.333936,0.046711,1.848102,-0.369818,-0.024345,0.002166,0.001554,-1.092288,-0.155158,-0.001794,0.123274,-0.009819,0.186602,-0.975184,0.091078,-0.011888,0.078245,0.63228,0.117937,0.111994,-0.131843,0.082666,0.832694,2.133025,0.220194,0.057675,0.331961,0.503563,0.554382,0.355598,0.544063,0.174857,0.321737,-0.075761,-0.22657,-0.324703,-0.310152,-0.217695,-0.052421,-0.202026,-0.053846,-0.096191,-0.25093,-0.218448,-0.028249,-0.170987,0.003348,0.041086,0.012507,-0.111089,0.009514,-0.040456,-0.196716,-0.40486,-0.892825,-1.732439,-1.535287,-0.034305,0.011626,-0.392679,-1.68833,0.237498,0.221175,-1.340999,-4.619541,-0.726426,-1.752737,-4.200477,-1.12942,-0.910504,-0.643732,-0.823599,-0.655272,-1.123206,-4.648842,-2.434666,-2.56065,-0.842799,-0.525865,-0.583379,-0.614791,-0.279519,-0.170281,-0.112668,-0.20866,-1.413825,-0.019408,-0.033158,-0.019255,-0.023441,-0.035967,-0.020686,-0.02419
-2.2e-05,-0.000108,-0.008109,-0.008162,-0.016306,-0.01644,-0.01645,-0.008538,-0.008497,-0.008399,-0.000299,-2.7e-05,0.008116,0.008147,0.008161,8.6e-05,-8e-06,-3.4e-05,-9e-05,-1.4e-05,-2.2e-05,0.008062,-0.0,-2.6e-05,-0.0,-2e-06,-1e-06,-0.0,-1e-06,-2e-06,7.5e-05,-1e-06,-1.6e-05,0.0,6.1e-05,-1e-06,-3.2e-05,-7.4e-05,0.0,-3.1e-05,-3.7e-05,-1.1e-05,1e-06,-1.5e-05,-1e-06,-1e-06,-1e-06,-2e-06,1e-06,-1e-06,-2e-06,0.0,4e-06,7.8e-05,2e-06,9e-06,3e-06,5e-06,4e-06,4e-06,5e-06,2e-06,1e-06,-0.0,1e-06,1e-06,1e-06,1e-06,-1e-05,-0.0,-2e-06,-2e-06,-2e-06,-7.6e-05,0.008,0.0,1e-06,1e-06,1e-06,1e-06,1e-06,-0.0,-0.0,-0.0,-1e-06,-1.7e-05,-1e-06,-3e-06,-4e-06,-4e-06,-2.1e-05,-2.4e-05,1e-06,-0.000119,-0.000158,-0.000226,-0.000214,-0.00018,-0.000188,-0.000127,-0.000178,-0.000175,-0.000291,-0.000218,0.007697,-0.000291,-0.000221,-9.4e-05,-5.6e-05,9.2e-05,0.000204,0.000348,0.000416,0.000304,0.008365,0.000717,0.000993,0.001203,0.001312,0.001396,0.001338,0.001365,0.001373,0.001328,0.00137,0.001255,0.001175,0.001053,0.00072
-0.000159,0.004406,0.004533,0.004153,-0.001853,-0.002673,-0.002653,-0.003414,-0.003008,-0.002272,-0.002037,-0.000196,0.000313,0.000545,0.000646,0.000599,-4.1e-05,-0.00022,-0.000611,-9.9e-05,-0.000154,-2.4e-05,-1e-06,-0.000185,-4e-06,2e-06,-3e-06,-2e-06,-1.3e-05,3e-06,0.000521,0.0,-0.000111,4e-06,0.000438,-2e-06,-0.000219,-0.000505,1e-06,-0.000218,-0.000255,-8e-05,9e-06,-0.000103,9e-06,7e-06,7e-06,6e-06,2.8e-05,-2e-06,-4e-06,-1e-06,1.9e-05,0.00052,-4e-06,4.2e-05,-3e-06,-1e-06,-1e-06,0.0,-0.0,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,-6.6e-05,3e-06,1e-06,1e-06,1e-06,-0.00051,-0.000468,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,-0.0,-0.0,-1e-06,2e-06,-0.00011,4e-06,2e-06,2e-06,1e-06,-0.000132,-0.000154,0.00509,-0.000831,0.003992,-0.001595,0.00359,0.003823,0.003768,0.004167,0.008911,0.013999,0.013191,0.018779,0.023023,0.023378,0.02386,0.02472,0.024997,0.020755,0.021591,0.01766,0.013075,0.002047,0.002998,0.005051,0.007042,0.008248,0.00937,0.010019,0.004467,0.004754,0.010062,0.004636,0.010115,0.004185,0.003656,0.002769,-0.004811
-0.00021,-0.005626,-0.005549,-0.006053,-0.002648,-0.003764,-0.003756,-0.004682,-0.004166,-0.003197,-0.002741,-0.000266,0.000564,0.000875,0.001011,0.000807,-5.3e-05,-0.000298,-0.000825,-0.000134,-0.000209,9.7e-05,-4e-06,-0.000251,-8e-06,4e-06,-3e-06,-3e-06,-1.9e-05,5e-06,0.0007,1e-06,-0.000149,5e-06,0.000592,-1e-06,-0.000295,-0.000681,1e-06,-0.000296,-0.000344,-0.00011,1.1e-05,-0.000138,1.2e-05,1.2e-05,1.1e-05,1e-05,4.1e-05,-1e-06,-6e-06,-6e-06,2.4e-05,0.000697,-9e-06,5.6e-05,-8e-06,-6e-06,-6e-06,-4e-06,-2e-06,-1e-06,0.0,2e-06,1e-06,1e-06,1e-06,1e-06,-8.7e-05,5e-06,3e-06,3e-06,3e-06,-0.000685,-0.000494,-2e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-2e-06,-2e-06,-4e-06,3e-06,-0.000148,7e-06,7e-06,6e-06,3e-06,-0.000175,-0.000206,-0.00473,-0.001119,-0.006215,-0.002158,-0.006762,-0.006452,-0.00653,-0.005989,-0.011202,-0.015955,-0.017072,-0.021144,-0.026932,-0.026625,-0.025977,-0.024809,-0.024443,-0.018515,-0.017351,-0.010976,-0.005506,0.002839,0.004287,0.00698,0.009668,0.01129,0.012706,0.013454,0.017507,0.017753,0.013182,0.017334,0.013054,0.016566,0.015785,0.014616,0.016126
-1.2e-05,0.035595,0.034595,0.035982,-0.002612,-0.003065,-0.002913,-0.001866,-0.001843,-0.001823,-0.000831,-3.9e-05,0.00096,-0.003433,0.001823,1.7e-05,1.6e-05,6e-06,-0.00077,1e-05,9e-06,0.000984,3e-06,8e-06,-0.0,9e-06,-2e-06,-0.0,0.0,-2e-06,0.000785,-1e-06,-4e-06,-5e-06,-8e-06,-7e-06,5e-06,0.0,-3e-06,-5e-06,-1.1e-05,-8e-06,-6e-06,-1.1e-05,-7e-06,-1.4e-05,-1.3e-05,-1.5e-05,-8e-06,-1.1e-05,-5e-06,-6e-06,-8e-06,0.00078,3e-06,-0.0,-1e-06,-8e-06,-5e-06,-3e-06,-2e-06,3e-06,7e-06,1.1e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,8e-06,6e-06,1.2e-05,1.3e-05,1.3e-05,1.4e-05,0.000985,-0.0,-5e-06,-5e-06,-5e-06,-5e-06,-5e-06,-4e-06,-4e-06,2e-06,8e-06,6e-06,1e-06,4e-06,8e-06,9e-06,6e-06,-0.0,0.035576,-1e-06,0.03479,0.031185,0.034941,0.03543,0.039139,0.043204,0.073873,0.131547,0.140043,0.158983,0.23922,0.246585,0.226258,0.244212,0.213931,-0.099959,-0.081394,0.18705,0.074132,-0.004509,-0.004704,0.00415,-0.008695,-0.129071,-0.016369,-0.034735,-0.057234,-0.051108,-0.014997,-0.0478,0.028743,-0.033671,-0.041725,-0.037245,-0.047067
