0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-2.3e-05,2e-06,0.006601,0.006011,0.006641,0.000682,0.006721,0.006551,0.00661,0.006023,0.005977,0.006024,-9e-06,-1e-06,3.7e-05,0.000179,0.00027,0.000958,0.007053,0.000443,0.000986,0.000177,-0.006075,-0.006239,-0.00018,0.000426,-0.000196,-0.000353,-0.000447,0.005641,-0.000311,-0.000323,-0.00082,-0.000101,-1e-05,0.00605,9e-06,-1.6e-05,-6e-06,-0.000617,1e-06,-9e-06,7.7e-05,0.000118,-0.005879,-0.005889,-0.006031,-1.2e-05,-5e-06,-7.4e-05,0.000508,0.000533,-3.8e-05,0.000593,1e-05,-2e-06,-7.6e-05,-2e-06,-2e-06,3.8e-05
0.000248,-1.8e-05,-0.004432,0.000592,-0.004844,-0.006041,-0.005644,-0.003728,-0.004332,0.00061,0.001102,0.000626,7e-05,-3e-06,-0.000393,-0.001854,-0.002784,-0.008668,-0.008578,-0.004567,-0.00891,-0.001811,-0.000469,0.001249,0.001865,-0.003178,0.002012,0.003633,0.004593,0.004656,0.003187,0.003315,0.007241,0.001046,9.7e-05,0.000343,-0.000101,0.000171,6.5e-05,0.005119,-2e-06,9.9e-05,-0.000779,-0.00121,-0.002111,-0.002026,-0.000564,0.000121,5.9e-05,0.000781,-0.004037,-0.004321,0.000365,-0.004947,-0.000135,-4e-06,0.000765,-6e-06,3e-06,-0.000402
0.000124,-9e-06,0.004581,-0.000114,0.004375,0.004184,0.003975,0.004941,0.004643,-0.000112,0.000136,-0.000101,3.1e-05,-4e-06,-0.000199,-0.000932,-0.001404,0.002874,0.002501,-0.002323,0.002741,-0.000925,0.000177,0.001056,0.000953,0.00566,0.001023,0.001844,0.002327,0.001939,0.001605,0.00167,-0.003603,0.000526,4.8e-05,-0.000239,-5.4e-05,8.3e-05,3.3e-05,-0.004669,-0.0,4.9e-05,-0.000391,-0.000608,-0.000646,-0.000601,0.000131,6.2e-05,3e-05,0.000391,0.005215,0.005074,0.000183,0.004764,-6.9e-05,-3e-06,0.000382,-4e-06,3e-06,-0.000203
7e-06,2e-06,-0.034186,0.002062,-0.034195,-0.036215,-0.035835,-0.034151,-0.034545,0.002177,0.002211,0.002149,5.8e-05,5.3e-05,4.8e-05,4e-05,2.2e-05,-0.037811,-0.035786,-0.001635,-0.037823,-3e-06,0.000421,-0.01145,0.000965,-0.035924,0.001669,0.003139,-0.00636,-0.097279,0.002385,0.004543,0.037931,1.6e-05,1.1e-05,0.002068,8e-06,2e-06,1.2e-05,0.037934,-0.507549,-0.006076,-0.044503,0.000631,0.000318,-0.003371,0.068868,0.027405,0.010718,0.032655,-0.040153,-0.024831,9.6e-05,-0.036148,4.5e-05,2.4e-05,2.3e-05,1.5e-05,1.1e-05,1.8e-05
0.0,2e-06,-0.008888,-0.015198,-0.008951,0.006204,0.002949,-0.009106,-0.009063,-0.015219,-0.015211,-0.015235,3e-06,1.1e-05,4e-06,-1e-06,-9e-06,0.017773,0.002502,0.011801,0.017654,-1.1e-05,0.003633,0.084746,0.000704,0.006085,-0.01181,-0.010644,-0.018234,0.42866,-0.015014,-0.010027,-0.017686,-1.3e-05,-0.0,-0.015188,1.4e-05,1.1e-05,4e-06,-0.004486,-0.409013,-0.004952,0.197678,-0.002359,0.017065,0.027277,-0.287907,-0.121008,-0.085864,-0.14784,0.020817,-0.075215,4.2e-05,0.005874,9e-06,-1.4e-05,-7e-06,-1e-06,-6e-06,6e-06
2e-06,1.8e-05,0.008807,0.029237,0.008802,-0.020506,-0.017432,0.008668,0.008832,0.029435,0.029322,0.029297,5.7e-05,5.4e-05,4.6e-05,1.5e-05,1.6e-05,-0.046852,-0.017615,-0.026235,-0.0469,1e-05,-0.034665,-0.184462,-0.001197,-0.020956,0.026222,0.024365,0.036157,0.265859,0.024783,0.02247,0.046777,1e-06,6e-06,0.029228,2e-06,5e-06,-1e-05,0.018453,0.63701,0.007546,0.090648,-0.001051,-0.032261,-0.055864,-0.168738,-0.056549,0.177723,-0.037568,-0.014065,0.16067,6.6e-05,-0.020585,2.5e-05,3.3e-05,2.1e-05,2.4e-05,1.9e-05,5e-06
2e-06,5.8e-05,-5e-06,-8.2e-05,-0.000219,-0.006217,-0.00614,-0.000324,-1.3e-05,0.000141,0.000235,0.005954,0.005751,-0.00012,-0.000484,-0.000758,-0.001018,-0.001024,-0.000942,-0.006356,-0.000477,-0.000292,-0.000131,1.3e-05,1.4e-05,1e-06,-1e-06,4e-05,1.2e-05,2.8e-05,4.4e-05,-2.4e-05,-9.2e-05,-1.8e-05,6e-06,0.000106,0.000173,0.000205,0.000316,-0.005424,0.00028,0.00022,-7.3e-05,-0.000139,-0.000115,0.005776,1e-06,7.4e-05,4.9e-05,7.7e-05,2e-05,-6e-06,-2e-06,2e-06,3e-06,3e-06,3e-06,5e-06,-1e-06,-7e-05
2.4e-05,0.000431,-2.4e-05,-0.000594,-0.001601,-0.002836,-0.00226,-0.002341,-9.7e-05,0.001007,0.001698,0.005318,0.003863,-0.000885,-0.003572,-0.0012,-0.003141,-0.003454,-0.006996,0.000735,-0.003545,-0.002172,0.003307,0.004493,9e-05,6e-06,3e-06,0.000299,9e-05,0.00021,0.000326,-0.000171,-0.000683,0.004282,3.3e-05,0.000769,0.001271,0.001519,0.002342,0.003182,0.00208,0.001642,-0.000545,-0.001038,-0.00086,-0.000557,2e-05,-0.003855,-0.004036,0.000618,0.000184,-2.6e-05,-1.6e-05,-7e-06,-4e-06,6e-06,-6e-06,-5e-06,0.004385,0.003879
8e-06,0.000147,-9e-06,-0.000208,-0.000559,-0.00071,-0.00051,-0.00082,-3.4e-05,0.000354,0.000595,-0.00531,-0.005821,-0.000317,-0.001257,-0.007324,-0.008022,-0.008079,-0.00251,-0.006384,-0.001281,-0.000787,-0.005683,-0.005304,3e-05,0.0,1e-06,0.000109,3.4e-05,7.5e-05,0.000117,-6e-05,-0.000247,-0.005376,1e-05,0.000276,0.000458,0.00055,0.000846,0.001421,0.000747,0.000592,-0.000196,-0.000371,-0.000311,-0.000477,4e-06,0.005522,0.005462,0.000221,6.6e-05,-9e-06,-7e-06,-5e-06,-2e-06,2e-06,-2e-06,-2e-06,-0.005345,-0.005527
-0.000597,0.018098,0.21637,-0.060624,0.000388,-0.001932,-0.001352,0.002093,-0.000641,-0.000285,-0.000232,0.038249,0.035649,-0.141629,-0.0013,0.036092,0.263351,2.466343,0.00167,-0.065166,-0.090866,-0.029845,2.609868,0.238378,-0.033176,0.249195,-0.00147,-0.000623,-0.000503,-0.000891,-0.000441,-0.000338,-0.000212,0.038289,0.007456,4e-05,0.000887,-0.000318,0.001224,-0.001115,0.009863,-7.4e-05,-3.4e-05,-2.6e-05,-3e-05,0.000964,-2.6e-05,-0.035955,-0.038895,-0.005238,-0.000151,4.9e-05,0.000101,8.9e-05,0.010131,6.3e-05,8.6e-05,7.7e-05,0.036017,0.035973
