0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0.003002,0.01362,0.022337,0.026312,0.030545,0.02382,0.029344,0.029531,0.034903,0.034366,0.035307,0.029205,0.023802,0.023153,0.021819,0.01731,0.018157,0.017787,0.012301,0.013098,0.008882,0.014566,0.010975,0.004841,0.004768,0.000479,-0.005379,0.000345,-0.000509,-0.000188,0.005116,0.00012,0.00922,0.003446,0.00323,0.00777,0.008415,0.01323,0.008934,0.004871,0.00385,0.005125,0.003407,-0.000848,-0.000398,-0.005551,-0.004595,0.00049,6.7e-05,-0.000458,0.004105,-0.000979,-0.000991,-0.000869,0.005349,-0.001126,0.003701,-0.001412,-0.001624,-0.000459,0.005687,0.000381,0.000558,0.00088,-0.005297,-0.005065,0.00101,0.000454,-0.004379,-5e-06,-0.00042,0.004398,-0.000465,-0.000273,-0.000271,-0.000319,-0.000554,-0.000545,-0.000579,-0.000651,0.000413,0.000259,0.004146,0.004848,-0.0003
-0.01921,-0.010327,0.00939,0.021719,0.030728,0.033837,0.034931,0.031483,0.031182,0.032794,0.024549,0.02433,0.020311,0.022398,0.028288,0.020712,0.015709,0.016406,0.015057,0.010286,0.003445,0.003038,-0.005936,-0.002794,-0.001197,-0.005984,-0.003712,-0.004081,0.00039,-0.000751,0.000338,-0.001847,0.007032,0.007575,0.008287,0.011819,0.00799,0.010503,0.004516,-0.002134,0.002691,-0.003067,0.005604,0.00131,-0.000182,3.7e-05,-0.003152,-0.001645,-0.000271,0.001532,0.004777,0.003275,0.003312,0.002895,-0.000918,0.003737,0.006011,0.004674,0.005366,2e-05,-0.003623,-0.004265,-0.004855,-0.005929,-0.002171,-0.002945,-0.004879,-0.001533,-0.003744,1.5e-05,0.001407,0.003658,0.001549,0.000906,0.000901,0.001063,0.001843,0.001804,0.001921,0.002159,-0.002871,-0.002363,0.004421,0.000583,-0.000512
-0.016903,-0.020382,-0.017658,-0.018436,-0.013912,-0.01172,-0.011509,-0.00638,-4.6e-05,0.000798,0.010068,0.010251,0.015206,0.016185,0.012181,0.015374,0.019466,0.019639,0.019157,0.023301,0.026882,0.026328,0.029025,0.024218,0.018473,0.016676,0.011475,0.011088,0.006558,0.006075,0.0063,0.005616,0.002446,0.002879,0.003164,0.004366,0.009126,0.009915,0.014009,0.017856,0.013424,0.017485,0.008232,0.006755,0.006192,0.000172,-0.001023,-0.000615,-0.000105,0.000577,0.001633,0.001222,0.001232,0.001073,0.005746,0.001379,0.002068,0.001712,0.00196,0.006216,0.01097,0.010872,0.010672,0.010293,0.005555,0.005283,0.004483,-0.000538,-0.001198,7e-06,0.000498,0.001167,0.000544,0.000317,0.000317,0.000374,0.000648,0.000633,0.000673,0.000754,0.005187,0.005365,0.001422,0.006274,0.006001
0.115726,5.037066,0.106898,0.151145,0.160553,0.10515,0.030059,0.100911,0.051843,0.090755,-0.114291,0.018384,-0.017315,-0.015865,-4.844937,-0.017503,-0.070456,-0.047844,-0.06138,-0.027962,-0.030068,0.092412,-0.164714,-0.074556,0.029183,-0.105723,-0.069185,-0.069281,-0.037714,-0.036466,0.204491,-0.034975,0.004049,0.006619,0.004462,0.006388,-0.02705,-0.00294,0.109321,-0.107121,0.145557,0.064999,-0.037675,-0.03301,-0.033272,-0.002009,-0.004068,2.8e-05,-1.228947,-0.000121,0.006869,0.000677,0.000224,1.5e-05,-0.153091,0.002721,0.071219,0.080602,0.231574,0.076381,-0.074099,-0.078588,-0.06882,-0.053162,-0.042482,0.171255,-0.044052,-0.004999,-0.004763,5.5e-05,4.9e-05,-0.383079,7e-05,8.6e-05,0.000286,0.00199,3.8e-05,-0.116074,0.000952,0.101356,0.107237,0.266513,0.008086,-0.018201,-0.039425
-0.168013,-0.309578,-0.032797,-0.084359,-0.133247,0.067375,0.334668,-0.090935,-0.152393,-0.166295,-0.147197,-0.141269,-0.128882,-0.133336,-0.218034,-0.118942,-0.005548,-0.104162,-0.084868,-0.264083,-0.334494,-0.637866,-0.01585,-0.205368,-0.372457,-0.019348,-0.007634,-0.008084,-0.001283,-0.002191,-0.625619,-0.007716,-0.03032,-0.026222,-0.029315,-0.04498,-0.056686,-0.058037,-0.461356,-0.019601,-0.529511,-0.421524,-0.018244,-0.010257,-0.011659,0.015214,0.029317,1.7e-05,-1.644468,-0.004103,-0.024669,0.000628,8e-06,7.1e-05,-0.03455,-0.013273,-0.107534,-0.119082,-0.534411,-0.252978,-0.009109,0.011792,-0.009234,-0.045892,0.018438,-0.468389,0.021002,0.011171,0.030856,3.1e-05,-6e-06,-0.052455,4e-05,-3e-06,0.000256,-0.013669,1.4e-05,-0.007576,0.001049,-0.221699,-0.375164,-0.707203,-0.093236,-0.120425,-0.000719
-0.18896,2.345057,0.139405,0.203954,0.245607,0.408949,0.594191,0.278655,0.273035,0.316628,0.214561,0.281189,0.225124,0.221956,-2.536808,0.192327,0.005344,0.159615,0.151708,0.039641,-0.0715,-0.267188,-0.146873,-0.053678,-0.172301,-0.011679,-0.023923,-0.019424,0.009727,0.008886,-0.345905,0.004973,0.058468,0.049767,0.053855,0.083268,0.085776,-0.109886,-0.189665,0.023069,-0.266982,-0.223528,0.070222,0.00191,0.002348,-0.02924,-0.054274,-1.1e-05,1.851848,0.028455,0.049932,-0.0004,0.000124,0.000548,-0.056137,0.024775,-0.227847,-0.272866,-0.285562,-0.144506,0.01803,-0.0078,-0.0199,-0.041579,-0.018307,-0.300009,-0.012054,0.006362,-0.053346,5.7e-05,4.3e-05,-0.264812,0.000185,8.1e-05,-0.000265,0.025292,2e-05,-0.095568,-0.001097,-0.129484,0.016328,-0.170735,0.211674,0.207384,0.008295
-0.000993,-0.011737,-0.027166,-0.036974,-0.041327,-0.046218,-0.051337,-0.057004,-0.056643,-0.061363,-0.054065,-0.04692,-0.045752,-0.044636,-0.032259,-0.026578,-0.01966,-0.007901,-0.007809,0.002549,0.007758,0.012501,0.010292,0.009671,0.013187,0.012197,0.011583,0.010957,0.005124,0.000339,0.000317,0.000288,4.4e-05,-0.00106,-0.000588,-0.000408,-0.000492,-0.00585,-0.005332,-0.010611,-0.009274,-0.014952,-0.014009,-0.013881,-0.013553,-0.007885,-0.008161,-0.002672,-0.002962,-0.004119,0.001147,0.00074,-0.000152,0.000938,0.005272,0.000712,0.000164,0.000171,-0.000645,-0.00025,-0.000217,-0.000269,-0.000345,-0.000653,0.00454,-0.001251,0.002832,0.002324,0.002899,-0.001676,-0.000804,-0.000575,-4.8e-05,-0.000991,-0.000907,-0.001404,-0.00104,6.5e-05,0.000572,7e-05,0.005113,-0.000313,0.004644,-0.000448,-0.000543
-0.021609,-0.009081,0.006069,0.019094,0.022335,0.02311,0.026487,0.017434,0.011613,0.015972,0.015576,0.017731,0.016914,0.019526,0.015505,0.010301,0.011975,0.006943,0.003618,-0.00433,-0.006469,-0.006371,-0.011855,-0.013397,-0.019742,-0.015726,-0.014066,-0.012226,-0.008828,0.000937,0.000855,0.004076,0.00342,-0.002863,0.001729,0.002456,-0.001328,0.000309,0.001701,0.000226,0.007035,0.004477,0.010148,0.010365,0.011147,0.010272,0.009493,0.008274,0.00751,0.001312,-0.000396,-0.001417,-0.006925,-0.000917,-0.008212,-0.001485,-0.002858,0.000451,-0.00489,-0.000618,-0.000537,-0.00067,-0.000863,-0.001635,-0.003538,-0.00314,-0.007857,-0.009178,-0.004451,-0.00093,0.001266,-0.00146,0.003172,-0.002515,0.001002,-0.003557,-0.00264,0.000161,0.001447,0.000181,-0.002238,-0.000791,-0.003426,-0.001135,-0.001374
-0.024164,-0.032032,-0.031276,-0.031506,-0.022625,-0.01496,-0.013051,0.003654,0.014758,0.017124,0.023725,0.024533,0.030989,0.032177,0.036558,0.040574,0.04097,0.044721,0.049772,0.052287,0.050969,0.043807,0.04162,0.041024,0.038308,0.026588,0.02061,0.014601,0.009687,0.000328,0.000299,-0.005176,-0.005406,-0.001027,-0.00601,-0.005842,-0.000477,0.000517,0.001024,0.007542,0.003361,0.009491,0.004885,0.004955,0.005225,0.004477,0.004188,0.003321,0.00304,0.007475,0.006439,0.006086,0.010786,0.006257,0.009904,0.006068,0.005608,0.000152,0.004936,-0.000207,-0.00018,-0.000223,-0.000288,-0.000548,-0.001646,-0.001058,-0.003116,-0.003585,-0.008585,-0.006945,-0.006187,-0.000506,-0.005525,-0.000876,-0.006282,-0.001251,-0.000933,5.6e-05,0.000512,6.4e-05,-0.001216,-0.000279,-0.001639,-0.000402,-0.00049
1.420507,0.00174,0.043633,0.093719,0.132562,0.092028,0.061702,0.024061,-0.044307,0.047337,-0.034516,-0.080738,-0.004108,0.337692,-0.058591,0.045738,-0.004128,0.03327,-0.064664,-0.165345,-0.151506,-1.647857,-0.157316,1.115278,-0.237083,-0.166052,-0.136085,4.151786,-0.090744,-0.148474,-0.180585,-0.168228,-0.161682,-0.198899,-0.028241,4.789437,-0.12009,-0.037386,0.001995,-0.036129,-0.000745,-0.035747,-0.001678,0.00074,0.002825,0.002333,0.001341,0.002514,0.000466,-0.044764,-0.412037,0.087262,-0.051094,0.0299,-1.404127,-0.032235,-0.038781,-0.00165,-0.035214,0.000164,0.000128,0.000115,-0.002132,-0.001546,-0.000223,0.007737,-0.057007,-0.169549,-0.049095,0.047146,0.030942,2.1e-05,0.034035,-0.0015,0.033964,0.000765,3.9e-05,0.007166,0.001207,-4.6e-05,-0.009443,6e-06,-0.00188,-4.8e-05,-0.001813
