0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.006987,0.0137,0.019652,0.013517,0.013491,0.013353,0.007135,0.006983,0.000194,0.006809,-4e-05,-0.000771,-0.000124,-0.000171,0.006029,-0.000193,0.006723,-0.000198,-8.3e-05,0.006768,-0.000684,0.006758,0.000172,0.006222,-0.000804,-0.000166,-0.000709,8.6e-05,-0.000707,-1e-06,4e-06,7e-05,0.000199,0.007002,9.2e-05,2.2e-05,0.000105,0.000203,-0.00039,-0.000301
0.000546,0.002357,0.009337,0.0036,0.00381,0.00463,-0.000599,0.000252,-0.001056,0.001215,0.000233,0.005065,0.000705,0.000952,0.006264,0.001081,0.001624,0.001094,0.000454,0.001361,0.004555,0.001414,-0.000409,0.005128,0.005197,0.000918,0.004667,-0.000452,0.004661,2.5e-05,-4e-06,-0.000357,-0.001055,4.5e-05,-0.000485,-0.000114,-0.000551,-0.001077,0.002944,0.002478
-0.00868,-0.008082,-0.012228,-0.007228,-0.007087,-0.006506,-0.001138,-0.000528,-0.000763,0.000163,0.000165,-0.004789,0.000504,0.000678,-0.004633,0.000771,0.000457,0.000778,0.000322,0.000268,-0.005157,0.000302,-0.000497,-0.005447,-0.004694,0.000652,-0.00507,-0.000323,-0.005072,1.9e-05,-2e-06,-0.000256,-0.000754,-0.000672,-0.000347,-8.4e-05,-0.000396,-0.000772,-0.006298,-0.006634
0.069497,0.024525,0.076669,0.072247,0.039679,0.041293,0.003286,0.002894,-0.000415,0.002534,0.000136,0.043386,0.001288,-0.043479,0.046729,0.001272,0.001751,-0.00021,-0.000133,0.009764,0.035326,0.002001,-5.201408,0.037631,0.035549,7e-05,0.035529,4.9e-05,0.035521,3.5e-05,0.007972,1.8e-05,1.7e-05,-0.001854,0.000132,0.008119,0.000117,0.029073,0.034901,0.035607
0.375128,-0.021395,-0.05033,0.28594,-0.026517,-0.033441,-0.015672,-0.015528,0.009264,-0.015384,-0.000382,-0.068023,-0.009612,-0.462138,-0.001083,0.005259,-0.014957,0.000104,7e-05,-0.081351,-0.001935,-0.01517,1.731376,-0.01708,-0.0019,-1.6e-05,-0.001904,-1e-06,-0.001899,-3e-06,-0.067486,-2e-05,-2.1e-05,-0.026707,-0.000314,-0.067839,-4.8e-05,0.326618,-0.004837,-0.002409
0.155925,0.050993,0.102217,0.163743,0.052874,0.081001,0.029377,0.029369,-0.027091,0.029324,0.000805,0.210551,0.027259,-0.169742,0.059537,0.002122,0.029251,-2.8e-05,-1.3e-05,0.216645,0.022858,0.029247,-0.70487,0.05185,0.022608,3.6e-05,0.022588,-1e-05,0.022545,1.3e-05,0.186926,3.8e-05,4.2e-05,0.024164,-8.5e-05,0.186826,1.5e-05,0.305561,0.021322,0.022451
-0.0005,-0.000327,-0.006909,-0.006509,0.000633,0.000525,0.00022,-0.000257,-0.000288,-0.007425,-0.000525,-0.007529,-0.000576,-0.007565,-0.007847,-0.008096,-0.00855,-0.008683,-0.002154,-0.009411,-0.009356,-0.015872,-0.00852,-0.001059,-0.000684,-0.000371,0.000123,0.007573,0.014528,0.00756,0.021642,0.014593,0.01467,0.007448,0.007143,0.007041,0.007057,0.007214,0.000153,8.4e-05
-0.010701,-0.009867,0.001238,0.003144,0.003054,0.002542,0.001067,-0.001242,-0.001395,-0.001299,-0.00255,0.002354,-0.002782,-0.0019,-0.003172,-0.004304,-0.006328,-0.006833,-0.005748,-0.005807,-0.009464,-0.005894,-0.005484,-0.004648,-0.002993,-0.00163,0.000538,0.001215,-0.000256,0.001194,-0.000946,0.000189,0.00058,0.000852,-0.000555,-0.00104,-0.000968,-0.00021,0.000728,0.000405
0.009269,0.009873,0.000921,0.002294,0.0022,0.001827,0.000769,-0.000888,-0.000998,-0.000904,-0.00183,-0.00677,-0.002005,-0.001346,-0.002273,-0.0031,-0.0046,-0.005003,-0.012806,-0.012893,-0.007088,-0.004481,-0.004158,-0.003517,-0.002272,-0.001237,0.000409,0.000956,-0.000136,0.000924,-0.00066,0.000164,0.000457,0.000643,-0.000425,-0.000794,-0.000741,-0.000166,0.000544,0.000305
-0.111801,-0.079859,-0.084835,0.097925,-0.04728,-0.085159,-0.04001,-0.049728,0.390263,-0.050459,0.344534,-0.057806,-0.04052,-0.019369,0.137479,0.006497,0.038374,-0.002799,0.048888,0.046437,-0.003901,-0.004735,-0.012102,0.000657,-0.001083,0.000361,-0.01043,-0.00713,0.007138,0.007371,0.008095,0.004362,0.002543,0.017229,0.007442,0.003363,-0.014257,-0.148448,0.006883,0.005643
-0.368307,0.104666,-0.583221,-0.836834,-0.93823,-0.938747,-0.499853,-0.694283,-0.138704,-0.690171,-1.092858,-1.054142,-0.753187,-0.698135,-0.5814,-0.825746,-0.582945,-0.573852,-0.867173,-0.706827,0.021383,0.056501,0.089185,-0.001185,0.009141,5.6e-05,0.063782,0.033232,-0.043537,-0.044002,-0.033933,0.206319,0.343384,0.086505,-0.033097,-0.033093,0.375301,0.566874,-0.002867,-0.009405
-0.17515,-0.22031,-0.226332,-0.119212,-0.113743,-0.301292,0.045425,-0.025761,-0.136845,-0.056202,-0.451865,-0.173595,0.142661,0.127433,0.308054,0.285291,0.111684,-0.079403,-0.126623,-0.104893,0.094454,-0.110826,-0.244821,-0.031631,-0.027475,-0.000133,-0.188193,-0.164905,0.052331,0.048118,0.090125,0.137856,0.21572,0.270561,0.020535,0.022349,0.166742,0.076239,-0.004205,-0.005809
