0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
0.022792,0.02243,0.022897,0.022694,0.015446,0.015096,0.01509,0.01509,0.007051,0.007145,0.007238,-0.000322,-0.000296,-0.000267,4.9e-05,0.000374,0.000306,-0.000103,0.000247,-0.000152,0.007308,0.007225,0.007201,0.007109,-0.00036,-0.000399,-0.000415,-0.000412,-0.000388,-0.00036,-0.000347,0.007022,0.007017,0.007009,0.006987,0.006946,0.006939,0.006921,0.006906,0.00732,-0.000491,-0.0005,-0.000481,-4.9e-05,-3.8e-05,-1e-05,-2e-06,4e-06,1.4e-05,-0.000415,-0.00042,-0.000433,-1e-05,-4e-06,-6e-06,1e-06,1e-06,1e-06,0.0,-9e-06,-7e-06,1e-06,-1e-06,-0.007378,-1e-06,-9e-06,-1.1e-05,-4e-06,-0.0,-0.007384,-0.007382,-1e-06,-1.5e-05,0.007404,0.007382,0.007814,0.000649,-0.007213,0.000137,0.000466,0.00077,0.000735,-0.007749,-0.007409,-0.015494,-0.015628,-0.016154,-0.01669,-0.016811,-0.02532,-0.027766,-0.004802,0.010703,0.019114,0.027392,0.027787,0.036344,0.036732,0.04453,0.044863,0.045539,0.038432,0.031054,0.023036,0.015747,0.008041,0.00037,0.000908,-0.006659,0.001437,-0.005981,0.002094,0.002117,0.002208,0.009764
-0.004525,0.001454,-0.00253,0.005146,0.001255,0.007154,0.007587,0.008129,0.014168,0.017068,0.020307,0.0222,0.022931,0.024008,0.016954,0.010053,0.008451,0.013503,0.007018,0.012277,0.012768,0.010995,0.010588,0.008301,0.006736,0.005336,0.004835,0.004852,0.005682,0.006611,0.007105,0.00695,0.006983,0.007238,0.006856,0.005576,0.005325,0.004614,0.003894,-0.002404,0.001315,0.000657,0.001849,-0.003207,-0.002427,-0.000727,-0.000308,0.0001,0.000744,0.006101,0.005782,0.005112,-0.000672,-0.000313,-0.000435,2.6e-05,1.4e-05,4.2e-05,-7e-06,-0.000533,-0.000413,-1e-05,1e-05,-0.000281,-0.000121,-0.000491,-0.000561,-0.000206,2e-05,-0.000266,-0.000261,-3e-06,-0.000537,0.001401,0.000628,-0.008973,-0.019328,-0.015015,-0.017798,-0.026893,-0.036072,-0.037295,-0.02615,-0.030433,-0.024269,-0.023448,-0.017089,-0.011573,-0.012705,-0.022253,0.001284,0.026536,0.045724,0.044071,0.041814,0.037667,0.028603,0.025496,0.028776,0.029175,0.023574,0.017976,0.014005,0.016855,0.010372,0.011104,0.010895,0.005136,0.005661,-0.000488,-0.002517,-0.010172,-0.010958,-0.014128,-0.017617
-0.007366,-0.010955,-0.004982,-0.00651,0.000254,-0.003433,-0.002928,-0.002279,-0.005115,-0.001554,0.002367,0.005259,0.006074,0.007215,0.00938,0.011824,0.009861,0.005125,0.008109,0.003644,0.003512,0.001449,0.000966,-0.001633,-0.002747,-0.004321,-0.004883,-0.004863,-0.003923,-0.002875,-0.002316,-0.003154,-0.00312,-0.002836,-0.003271,-0.004712,-0.004996,-0.005803,-0.006621,-0.003415,-0.008856,-0.00962,-0.008276,-0.003665,-0.002782,-0.000834,-0.000352,0.000114,0.000854,-0.003416,-0.003784,-0.004551,-0.000772,-0.000358,-0.0005,2.9e-05,1.6e-05,4.9e-05,-9e-06,-0.000612,-0.000473,-9e-06,1.3e-05,0.000375,-0.000136,-0.000561,-0.000643,-0.000234,2.4e-05,0.000386,0.000392,7e-06,-0.000596,0.000961,7.4e-05,-0.000828,-0.001383,-0.006209,-0.01028,-0.010604,-0.011181,-0.012883,-0.020686,-0.01546,-0.018228,-0.017565,-0.020974,-0.025481,-0.0272,-0.040169,-0.067945,-0.070651,-0.069003,-0.060549,-0.052563,-0.046462,-0.036198,-0.02859,-0.02452,-0.01139,0.005096,0.022372,0.029634,0.034295,0.037328,0.039088,0.039085,0.042115,0.043461,0.044978,0.042652,0.042522,0.041331,0.037059,0.031669
4.226916,-0.050515,-0.487402,-0.427999,-0.416645,-0.498878,-0.156072,-0.004573,0.078077,-0.104449,-0.141786,-0.332327,-0.208063,-0.084026,-0.051555,-0.230966,-0.309275,0.127321,-0.174205,-0.259826,-0.264534,0.024743,0.030757,-0.274313,-0.085219,-0.091894,0.048528,0.035329,0.036133,0.033966,-0.087877,-0.118393,0.060643,0.055396,-0.027198,-0.041147,0.039193,0.034826,-0.28664,-0.324368,0.037614,0.034246,0.034287,-0.002107,-0.002032,-0.000147,-0.000135,-9.3e-05,0.012101,0.036837,0.036413,0.038039,-5.6e-05,-0.278273,0.002295,-0.226198,0.011348,0.000135,-0.000119,-7.6e-05,0.01126,0.000401,-9.9e-05,-0.002128,-8.6e-05,-6e-05,-2.6e-05,-0.006266,0.01064,-0.002894,-0.01448,-0.097005,-0.007758,-0.338281,-0.291257,-3.666792,-0.127162,-0.129474,0.235882,0.302693,0.409861,-0.800574,0.222093,0.318554,0.361871,0.331813,0.434483,0.566409,0.130322,-0.030539,-0.734605,-0.906988,-3.986323,-1.022352,-1.30847,-0.327213,-0.062547,0.250503,0.300191,0.388141,0.335537,0.381079,0.513842,0.212005,0.340074,0.146166,0.422511,0.27189,0.505115,0.366812,0.357778,0.236541,1.48688,0.522686,0.397627
2.90155,1.351078,1.243366,1.416807,1.085297,1.228991,0.508192,0.071193,-0.035198,0.342664,0.356576,0.797035,0.480802,0.13491,-0.00451,0.257371,0.406239,0.588084,0.122035,0.274877,0.235042,-0.079605,-0.098827,0.273484,0.142587,0.162019,-0.025072,-0.013113,0.087475,0.003861,0.147138,0.186826,-0.036329,-0.040866,0.064728,0.084693,-0.012329,-0.006016,0.368242,0.377999,1.9e-05,0.003765,0.004081,0.015674,0.015806,-0.000136,-0.000102,-7.8e-05,-0.006895,-0.012137,-0.011723,0.001138,-0.000192,0.338794,-0.002346,0.278681,-0.009344,-0.000415,-9.6e-05,-7.8e-05,-0.005416,-0.000616,-9.5e-05,0.015133,-6.1e-05,-4.7e-05,-4.5e-05,-0.002293,-0.024622,0.016261,0.126151,-0.114427,0.003614,-0.398434,-0.464318,-4.188539,-0.126238,-0.078698,-0.420934,-0.512433,-0.731839,-1.7743,-0.521985,-0.622608,-0.63072,-0.497056,-0.66975,-0.761745,-0.260908,0.48901,-1.345077,-1.769689,-3.550631,-0.667756,0.254235,1.697035,2.10532,0.325584,-0.084437,-0.205821,-2.200376,-0.799897,-0.345778,-0.501508,-0.761262,-0.689283,-0.943176,-0.802717,-1.191853,-1.029605,-1.056011,-0.919018,0.855532,0.094347,0.331052
2.634182,0.397829,0.176723,0.593972,0.287996,0.486464,0.187909,0.17307,0.07877,0.366829,0.615305,0.892762,0.696478,0.707922,0.599264,0.717009,0.80522,0.839957,0.596433,0.777605,0.776518,0.282108,0.269913,0.537171,0.159725,0.136878,0.007291,0.017164,-0.157199,0.023166,0.164512,0.198521,0.035465,0.034791,0.115796,0.126014,0.056069,0.061384,0.345623,0.32916,-0.006234,-0.006215,-0.006371,-0.023927,-0.023973,-2.7e-05,-9e-06,-3.3e-05,-0.007466,0.017162,0.017493,-0.00907,-2.6e-05,0.256882,-0.00191,0.210599,-0.00842,-0.000247,-9.2e-05,-1e-06,-0.006563,-0.000449,-6.4e-05,-0.029342,-3.6e-05,-9e-06,2.7e-05,0.001106,-0.015312,-0.02845,-0.193899,-0.009265,0.000955,0.001513,-0.046878,-0.350532,-0.146335,-0.125212,-0.191613,-0.322362,-0.525751,-0.660235,-0.143975,-0.220813,-0.239412,-0.386912,-0.24213,-0.27906,0.073261,-0.901009,-1.061272,-1.061612,-2.414023,-0.881438,-1.511924,-2.839521,-2.833282,-0.9946,-0.989173,-0.808594,1.146625,-0.799833,-1.370159,-0.339199,-0.588064,-0.604433,-0.866031,-0.489561,-0.824588,-0.672786,-0.508716,-0.435413,-2.150267,-0.90987,-0.710764
-0.000736,-0.000796,-0.000879,-0.000915,-0.000946,0.007047,-0.000919,-0.000946,-0.000962,-0.001053,-0.000926,-0.000791,-0.000683,-0.008576,-0.008423,-0.000201,-0.008126,-0.0081,-0.008093,-0.008111,-0.01622,-0.0081,-0.016285,-0.016222,-0.016223,-0.008099,-0.00813,-2.9e-05,-1.3e-05,-2.2e-05,6.3e-05,0.000143,-0.00797,0.000303,0.000552,0.000845,0.000965,0.001256,-0.006402,-0.006309,-0.00634,0.001503,0.00901,0.000681,0.000182,-0.000111,-0.000128,-3.1e-05,-0.008058,-0.008003,-0.008066,-0.007989,-0.01608,-0.016079,-0.007989,-0.007805,-0.007751,-0.007567,0.000515,-0.007547,0.000482,0.000297,8e-06,0.015924,0.015937,0.016014,0.015965,0.023806,0.015768,0.015748,0.007795,0.007961,0.008192,0.008313,0.008332,0.008495,0.008772,0.008908,0.017104,0.017069,0.017071,0.017045,0.024526,0.024352,0.032037,0.03167,0.023688,0.031423,0.023564,0.015707,0.015715,0.007881,-0.007754,-0.007816,-0.015587,-0.007642,-0.007676,-0.015472,-0.007564,-0.007499,-0.00756,3.1e-05,-7e-06,-0.000136,-0.000186,0.00755,-0.000248,0.007535,-0.000318,-0.00036,-0.00036,-0.000369,-0.000531,-0.000504,-0.000488
-0.000829,-0.006849,-0.001992,-0.007773,-0.008,-0.00857,-0.00219,-0.007926,-0.008055,-0.008143,-0.007652,-0.006499,-0.005679,0.0017,0.003334,0.00357,0.005703,0.000432,0.000505,0.000377,0.000794,0.00047,0.000321,0.000835,0.000863,0.000549,0.000344,-0.000169,-0.00525,-0.005308,-0.004733,-0.009349,-0.008792,-0.008228,-0.01173,-0.009807,-0.014114,-0.012201,-0.003645,-0.003076,0.001718,0.004636,0.000581,0.00446,0.001216,-0.000705,-0.000814,-0.000202,0.000526,0.000884,0.000501,0.00098,0.001369,-0.003542,-0.003871,-0.002786,-0.00247,-0.00142,-0.001881,0.003454,0.002759,0.001708,5.5e-05,-0.002039,-0.001984,0.003377,0.003102,0.001411,0.006898,0.011854,0.012968,0.014201,0.015953,0.017013,0.017284,0.018708,0.015837,0.011791,0.013826,0.014312,0.009686,0.009855,0.007705,0.006188,0.004664,0.00168,0.000873,-0.000546,-0.000388,-0.000375,-0.000336,0.000133,0.001531,0.001612,0.008411,0.002858,0.002257,0.003317,0.003438,0.00403,0.003235,0.006492,-0.0001,-0.001569,-0.00223,0.00285,0.003143,0.002632,0.008573,0.014322,0.01428,0.014139,0.018415,0.012484,0.0127
-0.012994,-0.009562,-0.01473,-0.011017,-0.011433,-0.01226,-0.015321,-0.011567,-0.011802,-0.012104,-0.011401,-0.00976,-0.008542,-0.010013,-0.00756,-0.007118,-0.003972,0.000574,0.000678,0.000476,0.000982,0.000602,0.000224,0.000973,0.000988,0.000666,0.000347,-0.000245,0.004585,0.004492,0.005369,0.010908,0.011541,0.0126,0.019778,0.022606,0.02853,0.031242,0.031137,0.031846,0.026402,0.018564,0.012933,0.006259,0.001701,-0.00099,-0.001142,-0.000281,0.000543,0.00104,0.000501,0.001163,0.001457,0.006442,0.006211,0.00771,0.008148,0.009588,0.009203,0.004506,0.003818,0.002355,7.1e-05,-0.002308,-0.002255,-0.006648,-0.007066,-0.009231,-0.01366,-0.018646,-0.017291,-0.015596,-0.013172,-0.011709,-0.01134,-0.009378,-0.001582,0.004584,0.007362,0.007872,0.013081,0.013216,0.010145,0.008049,0.005948,0.00191,0.00083,-0.001211,-0.000919,-0.000806,-0.000773,-2e-06,0.002149,0.002281,-0.000109,0.003857,0.003063,0.004585,0.004554,0.005281,0.00425,-0.002924,-0.000127,-0.002,-0.002855,-0.007695,-0.007221,-0.007992,-0.01151,-0.015384,-0.01544,-0.015617,-0.021404,-0.017792,-0.017519
0.034067,-0.001503,0.037628,-0.000675,0.002648,0.002985,0.035335,0.015142,0.164499,5.497694,0.150789,1.690632,0.177099,-0.038477,0.075012,0.163711,0.059906,0.003097,-0.006876,-0.008222,-0.009073,0.040892,-0.007423,-0.002751,-0.007387,-0.00324,-0.00483,-0.003516,-0.036561,-0.035548,-0.013943,-0.0707,-0.07786,-0.076533,-0.084758,-0.074836,-0.125538,-0.09172,-0.106407,-0.091193,-0.06559,-0.025921,-0.008123,-0.003292,0.001781,0.000776,0.000643,0.002385,-0.000715,0.001632,0.000859,-0.000959,-0.001958,-0.036723,-0.036518,-0.035757,-0.035755,-0.040033,-0.034972,-0.00015,0.000822,5.3e-05,4e-05,0.017827,-0.00027,0.027983,0.04082,-1.620891,-0.076412,-0.372938,0.071798,0.069256,0.067408,0.110289,0.063872,0.109303,-0.064364,-0.001863,0.023231,-0.024787,-0.001541,-0.151266,-5.387457,0.003621,-0.004355,0.022948,-0.002022,0.024334,-0.008194,0.025923,0.033953,0.0231,0.001361,-4.96892,-0.418712,-0.129739,-0.013603,-4.767774,-0.130241,-0.033415,-1.426242,0.090635,0.054987,-0.008892,-0.005804,0.032018,0.09088,-1.852865,0.075003,0.109691,-0.359772,-1.298154,0.096755,0.104709,-1.408592
0.015977,0.02921,-0.055174,0.043202,-0.048203,-0.077292,0.01107,-0.050228,-0.55102,0.151706,-0.110796,-0.152746,-0.744071,0.890276,-0.585388,1.285377,-0.404873,-0.025121,0.124823,0.117382,0.313476,0.005815,0.129472,0.028137,0.131262,0.002961,-0.002922,-0.020532,0.005678,0.01268,0.537264,0.493494,0.208964,0.330807,0.714774,0.625186,0.556927,0.789543,0.331334,0.500801,0.208035,0.170209,0.457845,-0.039645,-0.014449,-0.0,1.2e-05,0.010203,0.014932,-0.00187,0.023724,0.014896,0.029433,0.029266,0.028331,0.014664,0.014702,0.007815,-0.000696,0.001095,-0.013592,-1.2e-05,8e-06,-0.064703,-0.02628,-0.033511,-0.132794,-0.376744,-0.330476,-0.14333,-0.595133,-0.068556,-0.046627,-0.054544,-0.15086,-0.071358,-0.183767,-0.062699,0.169449,0.39455,0.008925,0.007313,-0.175573,0.294405,0.026322,0.694981,0.329057,0.726562,0.473554,0.902731,0.992362,0.892379,0.647827,0.132489,0.273863,0.463238,0.094408,0.004365,-0.029497,0.623978,0.097789,0.419926,0.419058,0.12622,-0.010093,-0.032412,0.489422,0.23196,-0.025896,-0.037445,-0.365374,-0.205665,-0.387814,0.087458,-0.669593
-0.031492,-0.049668,-0.07371,-0.041757,-0.095812,-0.108641,-0.035258,0.127571,-0.222756,-0.632178,-0.152715,-0.283556,-0.262508,-2.495062,-0.167273,-2.206506,-0.307384,-0.038928,-0.190192,-0.199561,0.111039,-0.057228,-0.23205,-0.057014,-0.228866,-0.036199,-0.039436,-0.011647,-0.022563,-0.018588,0.289323,0.041815,0.068229,-0.054058,0.137265,0.344349,0.083861,0.435616,-0.023216,0.067748,0.126821,0.1675,0.328598,0.012274,0.024474,-0.000343,-0.000261,0.004807,-0.029529,-0.040178,-0.025176,-0.029488,-0.059091,-0.051825,-0.047612,-0.022221,-0.022217,-0.024293,0.006567,-0.004193,0.025352,-1e-06,-1.8e-05,0.122837,0.05364,0.040713,0.245244,0.305965,0.202174,0.377416,-0.204367,0.087698,0.099786,0.085033,0.03805,0.118118,0.324435,0.11361,-0.00868,-0.12531,-0.044348,-0.012644,1.415749,0.125109,0.013789,0.322589,0.079095,0.338708,-0.065697,0.367406,0.418945,0.327598,0.153868,2.461096,0.176667,-0.110684,-0.206508,2.701862,0.059796,0.414201,0.965998,0.262736,0.234254,-0.151208,-0.036834,0.014374,0.314146,0.257601,0.037054,0.054601,0.136843,0.898843,-0.157933,-0.133321,0.609336
