0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163
0.005307,0.004408,-0.003025,0.002252,0.00119,0.001203,8.3e-05,-0.000547,-0.000554,-0.000552,-0.000969,-0.000877,-0.00079,-0.000698,-0.001205,-0.000648,-0.000664,-0.000189,-0.000283,-0.000373,-0.000488,2.4e-05,2e-05,-0.00058,-3e-05,5e-05,-0.000617,-0.000408,-0.000365,-0.000885,0.006657,-0.000279,-0.000293,0.006646,0.000202,9.7e-05,0.007053,0.007023,7.1e-05,5.2e-05,2.2e-05,6e-06,1.8e-05,4.9e-05,3.8e-05,1.3e-05,3e-06,2.4e-05,0.006977,0.006967,2e-06,1e-06,1e-06,0.0,5e-06,4.6e-05,2e-06,-0.000588,2e-06,1e-06,-0.00054,0.006967,5e-06,2e-06,0.00697,5.8e-05,5.1e-05,3e-05,1.5e-05,1.7e-05,3.8e-05,-0.000572,-0.000591,2e-06,3e-06,1e-05,-1.9e-05,-5e-06,-4.8e-05,-3.8e-05,0.0,-3e-06,-7e-06,-1e-06,-1e-06,-3e-06,-2e-06,0.0,-0.0,-1e-06,3.3e-05,1e-05,2e-06,3e-06,1.4e-05,6e-05,8.5e-05,-0.000511,-0.008074,-0.008617,-0.002253,-0.00973,-0.016623,-0.017099,-0.017016,-0.016423,-0.015741,-0.015113,-0.008229,-0.007714,-0.000876,-0.000842,-0.00084,-0.000776,-0.001287,-0.000703,0.006733,-2.5e-05,0.000139,0.007599,0.001064,0.008244,0.008031,0.008103,0.014696,0.020701,0.013572,0.012955,0.005096,-0.002263,-0.00239,-0.009399,-0.008892,-0.016255,-0.015831,-0.02315,-0.014761,-0.022739,-0.022894,-0.015746,-0.008702,-0.001187,-0.000348,0.00723,0.007576,0.00096,0.000463,0.001028,0.001165,0.001306,-0.005565,0.001518,0.001143,-0.006155,0.000838,-0.000178,-0.000143,-0.000148,-0.000154,0.006699,0.007272,0.00728,0.00677,0.007385
-0.048576,-0.041453,-0.038513,-0.021671,-0.011984,-0.012144,-0.001481,0.004897,0.005203,0.005211,0.008094,0.006642,0.00526,0.003751,0.008161,0.002728,0.00324,-0.000636,0.000844,0.002328,0.004157,-0.00032,-0.000286,0.005616,0.00051,-0.000806,0.004155,0.002792,0.001851,0.006674,0.001677,0.000876,0.001089,0.002026,-0.00295,-0.00136,-0.000667,-0.000218,-0.001024,-0.00075,-0.000315,-8.2e-05,-0.000253,-0.000719,-0.000536,-0.000199,-3.6e-05,-0.000327,0.000542,0.000678,-2e-06,4e-06,-2e-06,-2e-06,-6.2e-05,-0.00064,1.1e-05,0.005364,-1e-06,5e-06,0.004663,0.000636,3e-06,7e-06,0.000579,-0.000783,-0.000723,-0.000425,-0.000189,-0.000231,-0.000485,0.005104,0.005368,1e-05,6e-06,-0.000113,0.000288,7.9e-05,0.000686,0.000537,-1.1e-05,-5e-06,6.7e-05,-8e-06,-6e-06,-3e-06,-6e-06,-8e-06,5e-06,-1e-05,-0.000473,-0.000144,-3.4e-05,6e-06,-0.00014,-0.000799,-0.001157,0.004314,0.009427,0.014362,0.020489,0.025122,0.024394,0.029549,0.029653,0.023162,0.01753,0.011155,0.011079,0.006087,0.006812,0.005998,0.005915,0.004561,0.009419,0.002949,-0.002714,-0.005669,-0.00939,-0.016998,-0.0226,-0.027414,-0.025934,-0.02617,-0.018857,-0.004103,-0.003723,0.004366,0.011503,0.013465,0.015425,0.013212,0.010831,0.011727,0.009447,0.010006,-0.000521,0.007622,0.011602,0.015616,0.021337,0.022633,0.017215,0.01383,0.011076,0.005583,0.009261,0.00301,-0.000403,-0.003607,-0.005866,-0.00819,-0.006298,-0.00499,-0.005905,0.00391,0.00328,0.003387,0.003556,0.004599,-0.00143,-0.001624,0.003087,-0.004004
0.047502,0.036129,0.030592,0.017396,0.007798,0.007673,-0.00118,-0.004843,-0.004525,-0.004518,-0.010898,-0.012055,-0.01317,-0.014394,-0.019563,-0.015326,-0.014863,-0.009298,-0.008091,-0.006868,-0.005359,-0.000264,-0.000236,-0.004152,0.000422,-0.000669,-0.005265,-0.006496,-0.007352,-0.012087,-0.008106,-0.008115,-0.007938,-0.007839,-0.002496,-0.001156,-0.001257,-0.000877,-0.000871,-0.000638,-0.000269,-7.1e-05,-0.000214,-0.000612,-0.000456,-0.00017,-3.1e-05,-0.000279,-0.000234,-0.000117,-3e-06,3e-06,-4e-06,-4e-06,-5.4e-05,-0.000545,1e-05,-0.004337,0.0,2e-06,-0.004933,-0.000156,4e-06,3e-06,-0.000203,-0.000667,-0.000616,-0.000363,-0.000161,-0.000196,-0.000412,-0.004553,-0.004329,8e-06,5e-06,-9.4e-05,0.000247,6.9e-05,0.000584,0.000458,-9e-06,-7e-06,5.4e-05,-6e-06,-8e-06,-5e-06,-6e-06,-7e-06,5e-06,-1e-05,-0.000405,-0.000124,-2.9e-05,8e-06,-0.000114,-0.000677,-0.000984,-0.005215,-0.009055,-0.013727,-0.018057,-0.022248,-0.022143,-0.026548,-0.026394,-0.022944,-0.019013,-0.015638,-0.016365,-0.011806,-0.011853,-0.012554,-0.012657,-0.013826,-0.018497,-0.015295,-0.012039,-0.014095,-0.017567,-0.016481,-0.020883,-0.026649,-0.035179,-0.035805,-0.039676,-0.045557,-0.044696,-0.04663,-0.048552,-0.045918,-0.043862,-0.035429,-0.027987,-0.026106,-0.018383,-0.016891,-0.009211,-0.009298,-0.004675,-0.000898,0.004879,0.015689,0.029657,0.034939,0.041317,0.045398,0.038849,0.041782,0.037823,0.034297,0.032682,0.029503,0.021896,0.014513,0.012919,0.003727,0.003117,0.003213,0.003363,0.003624,0.007151,0.006962,0.002193,0.004719
0.067809,0.789585,2.758053,-0.081591,-0.016923,0.031204,-0.175233,-2.375177,0.129223,-0.20355,0.01187,0.092479,-0.174672,-0.133859,-0.197257,-2.338014,0.079494,-0.019551,-0.021062,0.0571,0.051682,0.00195,0.000371,-0.101542,0.002152,6.3e-05,-2.392859,0.035886,-2.324244,-0.01966,0.040803,0.032868,0.046449,0.03008,-0.222497,0.000149,0.002038,0.003626,-0.001827,-3.8e-05,-2.7e-05,0.003481,3e-06,-4e-05,-4.1e-05,-3e-05,-2.4e-05,-1.8e-05,0.002037,0.002041,-6e-06,0.001872,-5e-06,-3.1e-05,-0.111718,0.000924,-0.062377,0.03733,0.004491,-0.111997,0.040407,0.002095,-7.6e-05,-4.9e-05,0.007361,-0.001568,-4.9e-05,-4.4e-05,-3.1e-05,0.003321,0.002771,0.036384,0.039977,2e-06,-4.5e-05,-4.4e-05,0.005595,0.013331,0.001768,-4e-05,-3e-05,-1.9e-05,-1e-05,-1.1e-05,-1.8e-05,-1.2e-05,3e-06,0.004635,0.000616,1.6e-05,-5e-06,3e-06,0.003205,2.3e-05,0.004583,-0.150827,-0.055741,0.047984,0.05174,0.064301,-0.174318,-0.155575,0.793516,-0.278099,-0.411846,3.049567,-0.367451,-0.672782,0.423254,-0.586404,0.423863,-0.649488,0.431798,-0.515411,-0.481646,-0.180239,-0.275072,1.150707,1.318703,3.956955,0.107435,4.779665,0.66778,1.409058,1.371436,-0.04327,-0.185873,-0.006732,-0.155062,-0.151974,-1.580332,-5.095947,-1.404723,-1.329906,-0.233438,-1.130127,0.126461,0.231871,0.578521,0.856933,1.54202,0.936496,0.380381,0.080427,0.18012,-0.101331,0.360278,0.053919,0.166966,0.283794,0.051256,0.050543,-0.037092,-0.062753,-0.103342,0.000731,0.003884,0.003242,0.001006,1.138126,0.329202,-0.050906,-0.015329,0.067666
-0.334115,-1.114377,-2.037967,-0.312877,-0.347423,-0.59896,-0.448905,-1.121044,-0.594819,-0.084554,0.055638,-0.085029,0.324465,-0.291607,0.153669,-1.082451,-0.049879,0.195786,0.20897,-0.099413,-0.104169,-0.000638,-0.00013,0.49856,-0.003587,-7.6e-05,1.435787,0.005438,-1.206615,0.265934,-0.011598,-0.026315,-0.07449,0.020316,0.125066,-0.000572,-0.015279,-0.01969,0.013462,1e-06,1e-05,-0.009493,-0.000176,-4e-06,1.1e-05,7e-06,1e-05,4e-06,-0.015202,-0.015205,2.1e-05,-0.005162,-7.4e-05,9e-06,0.356876,-0.002661,-0.032303,-0.007314,-0.007446,0.355545,-0.00937,-0.015561,1.4e-05,2.1e-05,-0.025536,0.012784,8e-06,-3e-06,1.2e-05,-0.008891,-9.2e-05,-0.007822,-0.013531,-7.2e-05,1.4e-05,7e-06,-0.010624,-0.0961,-0.013696,1e-05,1.8e-05,1.7e-05,1.2e-05,-6e-06,-9e-06,4e-06,1.7e-05,0.002514,0.000331,1e-05,-1.9e-05,0.0,-0.008322,-0.00014,0.00252,0.498857,0.184688,-0.066831,0.090712,0.110048,0.72374,0.574407,0.387547,0.927828,0.862393,1.061935,0.590883,1.183973,1.38934,0.948796,1.418481,0.819943,1.518998,0.657725,0.714405,0.345131,0.563925,1.072714,1.515251,4.912924,0.791293,3.179725,2.627339,1.432249,1.504448,0.697728,0.870344,0.520804,-0.948285,0.838285,-0.020464,-3.988252,-0.957929,-2.697509,-0.811245,-1.434283,-0.601819,-0.519169,-0.696889,-0.464413,0.757033,-1.080754,-0.551625,-0.052848,-0.320891,0.048713,-0.608661,-0.112867,-0.488438,-0.687761,-0.295564,-0.298016,-0.07818,0.051629,0.141556,-0.010246,-0.015149,-0.015937,-0.018871,1.793427,0.693321,0.084444,0.071709,0.277213
-1.06061,-0.089057,3.311098,-0.699483,-0.443636,-0.605965,-0.314087,0.810416,-0.059957,0.11176,-0.112181,0.192417,-0.107095,0.448132,0.692635,1.046678,0.183117,0.314895,0.317504,0.162374,0.197748,-0.000853,5.8e-05,0.293528,-0.001847,2.5e-05,-4.512578,-0.006225,1.040214,0.372787,0.021298,0.207126,0.183242,0.045234,-0.460479,-0.000306,0.029143,0.027325,-0.025524,-7.6e-05,-6.4e-05,-0.003793,-0.000185,-0.000103,-5.8e-05,-3.7e-05,-3e-05,-1.9e-05,0.029231,0.029236,-4e-06,-0.002152,-0.000123,-7.4e-05,0.185073,-0.001197,0.024421,0.019125,0.000708,0.184914,-0.011314,0.028932,-0.0001,-6.5e-05,0.028204,-0.02581,-9.7e-05,-7.6e-05,-4.8e-05,-0.003582,-0.001766,0.019535,0.016414,-0.000182,-0.000108,-6.2e-05,-0.004966,0.173653,0.025181,-6.8e-05,-4.1e-05,-2.8e-05,-2.7e-05,-1.9e-05,-7e-06,-5e-06,-9e-06,-0.002225,-0.000299,-1e-05,1e-06,-2e-06,-0.003278,-0.000162,-0.002288,0.281144,0.100019,0.186511,0.066023,0.32729,0.80033,1.120144,2.502697,2.452592,2.013791,6.436198,1.89791,1.557774,2.456857,1.17624,2.204342,1.067557,2.117416,0.677013,0.501606,0.226829,0.426132,0.917501,0.145425,0.811534,0.151441,1.626711,-3.0788,-0.663595,-0.571583,-0.495811,-0.112901,0.122782,2.445672,0.544014,0.307585,0.926822,0.372398,2.423738,0.564702,0.156967,0.695487,0.28242,-0.446657,-1.533326,-3.093084,-1.459368,-0.756541,-0.617826,-0.37401,-0.303904,-0.793965,-0.732972,-0.550336,-0.686728,-0.473284,-0.46545,-0.316095,-0.235867,-0.162642,0.028379,0.024394,0.02471,0.027059,-1.679605,-0.698709,-0.12148,-0.102225,-0.306063
-0.000685,-0.000766,-0.000823,-0.000837,-0.008225,-0.000634,-0.007955,-0.015196,-0.014916,-0.022146,-0.02917,-0.028955,-0.028653,-0.035792,-0.028066,-0.027982,-0.027474,-0.027406,-0.01995,-0.012691,-0.005743,-0.013211,-0.0129,-0.012689,-0.012695,-0.005819,-0.006191,-0.00629,-0.006136,-0.005968,-0.013309,-0.006013,-0.005924,-0.005956,-0.005502,0.002271,0.002558,0.002255,0.002296,0.002366,0.002453,0.002307,0.002152,0.002261,0.001982,0.001738,0.001554,0.001451,-0.00565,-0.005723,-0.005686,-0.005903,-0.006039,-0.006302,-0.006555,-0.006467,0.000507,-0.006403,0.000962,0.000902,0.007908,0.000823,0.001056,0.000762,0.000753,0.000685,0.000864,-0.006124,0.000671,-0.006174,0.00107,0.000713,0.007566,0.000737,0.000563,0.000384,0.000121,-0.000205,-0.000213,-0.007083,0.000112,-5e-06,0.000126,0.00019,0.000173,0.000375,0.000387,0.000176,0.000232,0.000303,0.007364,0.000283,0.000399,0.000229,0.007566,0.00762,0.01448,0.014807,0.021906,0.021675,0.027866,0.033908,0.033392,0.039369,0.045872,0.04581,0.032193,0.025707,0.033047,0.026363,0.020005,0.020296,0.020395,0.013557,0.013794,0.007043,0.007105,0.007259,0.007488,0.000671,0.007837,0.007766,0.007629,0.00066,0.000516,0.000322,0.000205,7e-06,-5.1e-05,-9.6e-05,0.006779,-0.000105,-6.6e-05,0.006836,0.006786,0.006586,0.006399,0.006118,0.012968,0.013086,0.013224,0.013345,0.006523,0.006651,-0.000254,-5e-06,-0.006762,0.000488,0.00057,0.000735,0.007897,0.008064,0.007975,0.007684,0.01474,0.014487,0.014216,0.014105,0.014103,-0.000113,2.4e-05,-0.007267,-0.007086,-0.014296
-0.006416,-0.00717,-0.00768,-0.007788,-0.000257,-0.000295,0.007872,0.016467,0.024143,0.020909,0.029347,0.019228,0.020782,0.012142,0.007761,0.003034,0.000688,-0.004215,-0.004553,-0.005552,-0.013441,-0.008889,-0.002648,0.002895,0.007196,-0.00041,-0.006933,-0.007474,-0.006667,-0.005802,-0.009955,-0.014913,-0.014439,-0.018974,-0.016606,-0.010212,-0.004323,-0.005786,-0.001098,0.003716,0.008589,0.007893,0.00712,0.012097,0.010652,0.009374,0.008407,0.007842,0.008373,0.003553,0.003698,0.002463,0.001679,0.000272,-0.001058,-0.000605,-0.005867,-0.004529,-0.003511,-0.003794,-0.00456,-0.004186,0.001305,-0.004487,-0.004538,-0.004891,0.000312,0.001025,-0.000699,0.000704,0.005657,-0.000465,-0.001751,0.003921,0.003004,0.002057,0.000661,-0.005316,-0.005363,-0.004194,0.000608,-0.004259,-0.003558,-0.00321,-0.003308,0.002011,0.002072,-0.003289,-0.002989,0.001633,0.001498,0.001517,0.002149,0.001225,0.011158,0.011479,0.014801,0.025425,0.030341,0.034016,0.030193,0.029885,0.02254,0.011965,0.003774,0.002823,-0.006207,-0.008727,-0.011832,-0.009797,-0.004606,-0.007596,-0.006928,-0.010938,-0.008656,-9.4e-05,0.000954,0.0029,0.005996,0.008467,0.011024,0.010616,0.009161,0.00298,0.001079,-0.001536,0.002887,-0.005851,-0.006687,-0.00732,-0.002175,-0.001456,-0.000928,-0.001549,-0.002287,-0.005222,-0.008034,-0.012617,-0.01611,-0.022161,-0.0209,-0.02053,-0.017158,-0.015325,-0.010732,-0.007326,-0.007416,-0.005445,-0.003867,-0.000651,-0.005952,-0.011149,-0.012798,-0.01111,-0.012941,-0.011429,-0.001567,0.004569,0.004601,0.005332,0.000655,0.005686,0.001121,0.007956
-0.00837,-0.009414,-0.010127,-0.010343,-0.011831,-0.011913,-0.012492,-0.01247,-0.013665,-0.00653,-0.006823,0.00248,0.004478,0.015488,0.020928,0.025878,0.033683,0.038103,0.037495,0.03629,0.037375,0.031735,0.02843,0.024189,0.018521,0.020231,0.023094,0.022391,0.023231,0.024161,0.029467,0.03426,0.034721,0.039763,0.042162,0.038954,0.035106,0.033346,0.028167,0.023139,0.018275,0.017433,0.016535,0.011802,0.010299,0.008992,0.008037,0.00745,0.007814,0.012567,0.012676,0.011478,0.010714,0.009402,0.008165,0.008571,0.013045,0.014165,0.015158,0.014872,0.014248,0.014479,0.010253,0.014175,0.014117,0.013788,0.009295,0.009847,0.008388,0.009532,0.004887,0.008553,0.007485,0.003351,0.002563,0.001753,0.000563,0.004385,0.004346,0.005297,0.00052,0.005289,0.005884,0.006174,0.006094,0.0017,0.001749,0.006106,0.006359,0.001373,0.001294,0.001273,0.001796,0.001025,-0.008331,-0.008062,-0.014087,-0.022837,-0.027499,-0.033156,-0.036269,-0.045275,-0.042688,-0.043027,-0.041556,-0.042548,-0.03288,-0.026366,-0.020423,-0.018576,-0.013805,-0.007449,-0.006854,-0.001288,0.000854,-0.000227,0.000766,0.002602,0.005507,0.007946,0.010132,0.009669,0.008251,0.011829,0.010057,0.007669,0.002607,0.003771,0.003017,0.002443,-0.002118,-0.00132,-0.000845,-0.001558,-0.002233,-0.004913,-0.007494,-0.011778,-0.015325,-0.011948,-0.010775,-0.010672,-0.007369,-0.005626,-0.000981,0.002312,0.011941,0.013685,0.015201,0.018263,0.022338,0.026728,0.025112,0.017336,0.0154,0.007478,-0.00195,-0.005532,-0.005509,-0.004334,0.000613,-0.003747,0.001299,-0.001375
-0.001174,0.003838,0.003611,0.001022,-0.437163,0.021407,0.063713,0.097047,0.159706,0.166032,0.139996,0.095699,0.092782,0.218071,0.081577,0.125516,0.174658,0.147528,1.47061,4.586165,0.176814,0.101941,0.2767,0.155324,0.026896,0.1581,-0.102068,-0.122409,0.194732,0.242967,0.117215,0.046271,0.210134,0.02868,-0.030871,-0.16829,-0.158111,0.16782,-0.104368,-0.063874,-0.029274,-0.033047,-0.033191,-0.173363,0.001429,0.001783,0.004291,0.002345,-0.000369,-0.043006,-0.038027,-0.035069,-0.03504,-0.035574,-0.035948,-0.040082,-0.034139,-0.077281,-0.071582,-0.069389,0.147501,-0.072112,-0.033987,0.035638,-0.077546,-0.069892,-0.034511,-0.034865,-0.034756,-0.035752,0.00122,-0.034637,-0.034567,0.000138,-0.000186,-0.008881,-0.00031,-0.035896,-0.035353,-0.036645,-0.000498,-0.035387,-0.03469,0.991185,-0.035779,-9.8e-05,-0.000223,-0.037099,-0.034875,-0.002481,-0.000512,-0.000325,1.029057,0.002878,0.069529,0.072264,0.076841,-0.159357,0.138827,0.084153,-0.067496,-0.039489,-0.078319,-0.134159,-1.472276,-0.304988,-0.291185,-0.182133,-0.02631,-0.056637,-0.316408,-0.467297,-0.80157,-0.456952,-0.4621,-0.957356,-0.186243,-0.280116,-0.028651,-0.396487,-0.000939,0.011451,0.0015,-0.034091,-0.034499,-0.035195,0.000438,-0.035738,-0.035685,-0.030867,0.005021,-0.009855,-0.012426,-0.003343,0.000405,0.000441,-0.000282,-0.019992,-0.429146,-0.114456,3.225596,0.361801,1.056426,1.061884,3.327365,0.426968,0.586202,0.588073,0.221452,0.046081,2.200733,-0.05646,0.081996,0.275952,0.206583,-0.092564,-0.033903,0.054158,0.011823,-1.543721,-0.092803,-0.135857,-0.22115,0.037918
