0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
0.02463,0.024716,0.017945,0.017575,0.02413,0.017539,0.02407,0.015778,0.021864,0.020855,0.0136,0.006702,0.006617,-0.001037,-0.001081,-0.001765,-0.002425,-0.009604,-0.009069,-0.008566,-0.008613,-0.008706,-0.015747,-0.008254,-0.014577,-0.014462,-0.007487,-0.007472,-0.007529,-0.000599,-0.000686,0.007026,0.007527,0.007303,0.007403,0.007077,-0.000892,0.006086,-0.000925,-0.001545,-0.001569,-0.00104,-0.000502,-2e-05,-7.5e-05,0.007485,0.000386,0.000328,0.0002,0.000108,5.5e-05,6.3e-05,5.3e-05,0.007081,-1e-06,0.007068,-1e-06,1.8e-05,0.007096,1.3e-05,-1.4e-05,0.0,0.0,2e-06,-0.0,1e-06,0.007087,2e-06,-2e-06,-1.1e-05,1e-06,3.3e-05,4e-06,2.7e-05,3.1e-05,4e-05,-1e-06,-3e-06,-1.5e-05,-1e-06,-3e-06,-0.0,1e-06,0.0,3e-06,3e-06,5.5e-05,4e-05,-3.1e-05,-2.4e-05,3.2e-05,0.000548,-2e-06,2.9e-05,4.2e-05,2.7e-05,4.3e-05,4.6e-05,7e-05,8e-05,4.4e-05,1.8e-05,-0.0,-4.9e-05,-2e-06,0.007078,9e-06,0.0,1.1e-05,-1.5e-05,-3e-06,1e-06,1.9e-05,1.4e-05,1.7e-05,1.9e-05,7e-05,5e-05,7e-05,-0.006929,0.000156,9.8e-05,-0.007061,-0.007219,-0.007718,-0.014888,-0.021869,-0.021838,-0.01523,-0.007539,-0.014594,-0.007596,-0.007546,-0.007484,-0.014507,-0.006865,-0.007333,-0.007332,-0.000188,-0.00122,-0.008295,-0.009288,-0.009276,-0.010269,-0.010278,-0.01035,-0.010423,-0.003211,0.004499,-0.002312,-0.001418,-0.000971,-0.000116,0.000298,0.000731,0.001189,0.001149,0.008607,0.009035,0.008949,0.009364,0.009328,0.009816,0.009868,0.009337,0.008862,0.007872,0.007392,0.014303,0.020689,0.020703,0.020708,0.020705,0.020697,0.014471,0.013857,0.014551
-0.039868,-0.039848,-0.039577,-0.035255,-0.031875,-0.036213,-0.032256,-0.019751,-0.011261,-0.001878,-0.000574,-0.0014,0.000317,0.006048,0.006725,0.013226,0.019553,0.021617,0.017262,0.013308,0.014001,0.015765,0.016907,0.012994,0.006583,0.004946,0.004954,0.004718,0.00598,0.00651,0.005634,-0.001433,-0.008083,-0.006222,-0.007949,-0.006038,0.002504,0.00308,0.003298,0.009581,0.009971,0.005182,0.000224,-0.003775,-0.002929,-0.006963,-0.006527,-0.005542,-0.003328,-0.001786,-0.000869,-0.001048,-0.000869,0.000475,3.6e-05,0.000671,6e-06,-0.000301,0.000243,-0.000208,0.000237,5e-06,-2.9e-05,-1.4e-05,1.1e-05,1.5e-05,0.000391,-2.8e-05,3.3e-05,0.000167,-1e-05,-0.000545,-5.6e-05,-0.000447,-0.000507,-0.000618,1.9e-05,5.2e-05,0.000222,2e-06,-4e-06,4e-06,-4e-06,8e-06,2e-06,1e-06,-0.000851,-0.000641,0.000507,0.000393,-0.000546,-0.004942,4.1e-05,-0.000456,-0.000658,-0.000416,-0.000704,-0.000728,-0.001125,-0.001283,-0.000689,-0.000298,1.8e-05,0.000773,2.9e-05,0.000723,-0.000146,-6e-06,-0.000127,0.000236,6e-05,-1e-05,-0.000274,-0.000206,-0.000275,-0.000303,-0.001111,-0.000781,-0.001123,-0.003333,-0.00258,-0.001654,-0.001343,-0.000975,0.0056,0.004366,0.003385,0.003638,0.010347,0.005079,0.004468,0.004969,0.003548,0.001201,8.5e-05,-0.009238,-0.006465,-0.007131,-0.008498,0.0017,-0.002636,0.007754,0.004741,0.012756,0.012652,0.014264,0.018015,0.026703,0.024349,0.025213,0.022608,0.020838,0.018724,0.015581,0.012182,0.007295,0.008297,0.003874,-0.001141,-0.001154,-0.007404,-0.007381,-0.015718,-0.017692,-0.013664,-0.009706,-0.000647,0.002772,0.001685,0.005202,0.00371,0.002667,0.002373,0.001884,-0.004844,0.000971,-0.006181
0.043212,0.043339,0.044316,0.039323,0.032856,0.029953,0.02384,0.008538,-0.002713,-0.012547,-0.0198,-0.019851,-0.01844,-0.021746,-0.021191,-0.024495,-0.027927,-0.025329,-0.020119,-0.014567,-0.013983,-0.012323,-0.010569,-0.005727,-0.001725,-0.003204,-0.003897,-0.004109,-0.002984,-0.003198,-0.003911,-0.00197,0.001153,-0.006318,-0.007894,-0.015336,-0.025187,-0.025436,-0.024621,-0.028058,-0.027729,-0.023061,-0.018555,-0.013108,-0.012359,-0.007631,-0.006472,-0.005509,-0.003321,-0.001787,-0.000871,-0.001049,-0.000872,-0.000311,3.5e-05,-0.000117,5e-06,-0.000304,-0.000548,-0.000211,0.000236,5e-06,-3.2e-05,-1.5e-05,1e-05,1.4e-05,-0.000404,-3.1e-05,3.2e-05,0.000168,-1e-05,-0.000547,-5.6e-05,-0.000448,-0.000508,-0.000621,1.8e-05,5.2e-05,0.000223,3e-06,-8e-06,4e-06,-4e-06,1.1e-05,7e-06,7e-06,-0.000853,-0.00064,0.000511,0.000397,-0.000549,0.004625,4.1e-05,-0.000458,-0.000663,-0.000419,-0.000708,-0.000733,-0.001133,-0.001295,-0.000694,-0.000302,1.7e-05,0.000778,2.6e-05,-7.6e-05,-0.000151,-1e-05,-0.000129,0.000237,6.1e-05,-1e-05,-0.000276,-0.000206,-0.000275,-0.000304,-0.001118,-0.000784,-0.001132,-0.002567,-0.002606,-0.001672,-0.000564,-0.000103,-0.003174,-0.003443,-0.003686,-0.003445,-0.007131,-0.003709,-0.003644,-0.003898,-0.005282,-0.007666,-0.008384,-0.008716,-0.015637,-0.016367,-0.018685,-0.028054,-0.031982,-0.040889,-0.044571,-0.056541,-0.05693,-0.055719,-0.051824,-0.042421,-0.035413,-0.022809,-0.004427,0.004138,0.022748,0.029128,0.035027,0.039383,0.039892,0.043657,0.047818,0.047121,0.049688,0.049444,0.050032,0.047797,0.042053,0.036443,0.026418,0.020301,0.018534,0.011901,0.010444,0.009424,0.009129,0.008631,0.012188,0.00845,0.010938
0.451202,2.256854,0.890455,0.050069,0.223154,-0.010941,-0.007993,0.198907,0.118261,0.193468,-2.203666,0.078779,-0.295297,0.114299,-0.690393,-0.670646,-0.28331,0.030009,-0.141798,0.107154,-1.988936,0.073881,0.109451,0.016423,0.036029,0.027141,0.032632,-0.157178,0.039572,0.036757,-2.088925,0.001747,-2.172827,-0.060829,-0.880899,-0.22443,-0.123957,-0.306355,-0.04958,0.137858,0.140914,-0.150264,0.079903,0.034924,-1.986496,0.001088,-0.002376,-0.002232,-0.000172,-0.002082,-0.013644,-0.002047,-5.7e-05,0.002017,-2.6e-05,0.002023,-0.013602,-1.3e-05,0.002031,-1.8e-05,-1.6e-05,-8e-06,-1.3e-05,-1.7e-05,-1.1e-05,-1.8e-05,-0.314931,0.001925,-7e-05,-8.3e-05,-7.2e-05,0.0038,0.000406,-0.0001,-8e-05,-6e-05,-4.9e-05,-2.9e-05,-1.9e-05,-1.6e-05,-3e-05,0.002435,0.0002,-8.2e-05,-5e-05,0.00502,0.000487,-0.002078,-8.1e-05,-6.6e-05,-4.6e-05,-0.292543,0.001915,0.000155,0.00779,3.5e-05,-0.066526,0.001074,0.009276,-0.000584,-0.000163,-0.000131,0.013535,-0.013672,-4.5e-05,0.002026,-2.3e-05,0.009429,0.000101,-8.6e-05,-6.8e-05,0.010771,0.000323,-7.1e-05,-9.9e-05,-6.6e-05,-0.002031,-0.066302,0.011895,-0.009424,0.019606,-0.051883,-0.364359,2.31764,-0.935609,2.103686,2.700579,2.381878,1.944029,1.885721,1.641984,-0.630283,-0.588951,-0.168789,2.016759,0.777996,0.794669,0.083411,0.266486,2.778286,0.569017,0.557317,-0.133383,1.016422,0.295742,0.020455,0.2051,0.62128,0.26747,0.294235,0.43801,0.54238,0.55326,0.499889,0.373243,0.472212,0.268427,0.442924,0.941158,0.610411,0.876133,1.118892,0.495351,4.330934,0.462818,0.245846,0.123069,-0.049069,-0.106089,0.088116,0.05723,-0.045339,-0.040287,-0.010291,0.432772,-0.009747,1.481567
-0.814289,0.823115,-0.175085,-0.295216,-0.563053,-0.155737,-0.205126,-0.509855,-0.282843,-0.309883,-1.394899,0.015523,0.205697,0.004509,-0.493333,-0.429807,0.250221,0.004849,0.456854,-0.013811,-1.613077,-0.148977,0.006674,-0.061007,0.007684,0.039315,0.01518,0.058557,-0.006989,-0.009636,0.438805,-0.015806,0.465326,0.027481,0.6656,0.500442,0.388442,0.253876,0.316961,0.031519,0.030778,0.447915,0.010026,-0.00535,-1.650043,0.00159,0.015681,0.015838,-4e-06,0.015865,0.109587,0.015865,-6e-06,-0.0152,-4e-06,-0.015198,0.109589,-3e-06,-0.015208,-3e-06,-6e-06,3e-06,-6e-06,8e-06,0.0,1e-05,0.552824,-0.002859,-6.6e-05,-1.9e-05,-1.2e-05,-0.005445,-0.000805,-7e-06,-1.8e-05,-1.4e-05,-1e-05,-0.0,-2e-06,-7e-06,3e-06,-0.003551,-0.000475,-2.5e-05,-2.5e-05,0.002799,-0.000939,0.015852,-1.5e-05,-1.9e-05,-1.9e-05,0.463263,-0.002852,-0.000397,0.003357,-0.000344,0.134298,-0.001846,-0.012115,0.013587,-8.2e-05,-2.6e-05,-0.109625,0.109566,-2e-06,-0.015205,-9e-06,-0.012048,-0.000335,-1.9e-05,-1.1e-05,-0.009592,-0.000697,-0.000122,-1.5e-05,-1e-05,0.015863,0.134443,-0.01492,0.062308,-0.021741,0.131217,0.628085,0.858393,0.608244,2.216173,2.00613,2.541937,2.918359,2.91339,3.089515,2.168759,-0.065937,-0.1117,3.768002,1.301135,1.215846,0.269715,0.361733,3.605651,1.47728,1.572538,0.597825,1.702914,1.013157,0.793469,0.50138,0.58746,0.503187,0.277665,-0.745937,-0.212057,-0.585363,-0.55786,-0.467111,-0.610964,-0.419491,-0.551301,1.645383,-0.849995,-0.682359,0.173178,-0.662383,-0.11566,0.688002,-0.271912,-0.105233,0.151096,0.189508,-0.160354,-0.158395,0.043592,0.056899,0.094554,0.650239,0.115087,1.784804
-1.304162,-2.200634,-1.39345,-0.956512,-1.301128,-1.115983,-0.846108,-0.776008,-0.363159,-0.32803,0.751938,-0.009864,0.235298,0.011239,0.331598,0.786834,0.797024,0.563795,0.512649,0.004639,0.80623,0.212738,-0.004214,0.053114,-0.016273,-0.039354,-0.009317,-0.472533,0.012776,0.01896,-5.057508,0.02988,-5.08461,-0.15676,-1.499926,0.246127,0.495141,0.346037,0.172795,0.034211,0.034144,0.273747,-0.038864,-0.026338,0.846065,0.003542,-0.024377,-0.024362,-0.000287,-0.024154,-0.165501,-0.024066,-7.3e-05,0.029187,-4.6e-05,0.029213,-0.165395,-1.5e-05,0.029231,-5e-06,-9e-06,-1.7e-05,-1e-05,-8e-06,-1.1e-05,-1e-05,0.362075,-0.001115,-0.00021,-0.000161,-0.000102,-0.001887,-0.000541,-0.000215,-0.000137,-0.000116,-7.6e-05,-5.7e-05,-4.9e-05,-2.6e-05,-1.9e-05,-0.001333,-0.000384,-0.000166,-0.000113,0.012265,-0.000578,-0.024176,-0.00014,-0.000113,-7.7e-05,0.284688,-0.001152,-0.00038,-0.026895,-0.000425,0.091743,-0.000992,-0.003167,-0.025166,-0.000363,-0.000237,0.165195,-0.165527,-8.9e-05,0.029179,-5e-05,-0.002885,-0.000335,-0.000157,-0.000133,0.002702,-0.000496,-0.000271,-0.000161,-0.000111,-0.024037,0.091963,-0.003325,-0.017192,-0.001835,0.064866,0.604694,5.488957,2.135027,6.66929,6.926208,7.210447,7.02418,6.721513,6.777073,0.509349,1.612759,0.80275,3.996352,0.804404,0.798845,-0.163471,0.229118,3.218247,0.970823,1.01272,-0.208087,0.614575,-0.300534,-0.736809,-0.691016,-1.435907,-0.864846,-0.730227,-0.116992,-0.856827,-0.595907,-0.594481,-0.494591,-0.601611,-0.435108,-0.786883,-2.425534,-1.06053,-0.718765,-1.297697,-1.286529,2.407173,-1.629958,-1.386647,-0.957825,-0.495903,-0.219818,-0.422962,-0.197787,-0.041388,-0.048324,-0.074726,-0.598356,-0.133677,-1.610838
0.008409,0.008381,0.008281,0.000306,0.000329,0.000593,0.000876,0.00107,-0.006404,-0.006192,-0.005983,-0.005665,-0.005743,0.001847,-0.005854,-0.013398,-0.013443,-0.013556,-0.013665,-0.006537,-0.006499,-0.014151,-0.014247,-0.006855,-0.006944,-0.006899,-0.006871,-0.006939,0.000205,8.3e-05,-0.007377,-0.007354,-0.007279,-0.007218,0.000228,-0.006913,0.000718,-0.006488,-0.006254,-0.00598,-0.005902,-0.005905,-0.00609,0.001192,-0.006066,0.000804,-0.006186,-0.006169,0.000992,-0.00626,0.000896,0.000901,-0.006355,0.000868,0.000915,0.000917,0.00103,0.000896,0.001106,-0.006035,0.001292,-0.005657,0.001464,-0.005632,-0.005305,-0.005528,-0.005678,-0.005789,-0.005811,-0.005835,-0.005981,-0.006229,-0.006266,-0.006247,-0.00643,0.000416,0.000236,-2.3e-05,0.00695,-0.000153,0.000105,0.000173,0.000146,-4e-06,0.007099,0.007116,0.007139,0.007202,0.007245,0.00748,0.007543,0.007682,0.000307,-0.007154,-0.007219,-0.007121,-0.007275,-0.00704,-0.014254,-0.007228,-0.014203,-0.006891,-0.007008,-0.013273,-0.006452,-0.006449,-0.006112,-0.00639,-0.006258,0.000321,0.007559,0.014201,0.007863,0.007872,0.007816,0.014714,0.014938,0.021472,0.021164,0.020917,0.021054,0.021204,0.021185,0.014064,0.027778,0.02753,0.026849,0.026922,0.019739,0.019897,0.019859,0.01332,0.013491,0.006415,0.006387,0.006463,0.006546,0.006531,-0.000607,0.006552,0.0068,0.006834,-0.000117,-0.007163,-0.007165,-0.000357,0.007016,0.014175,0.014118,0.014547,0.008126,-0.00585,-0.005551,0.001415,0.00103,0.000947,0.008113,0.000834,0.007989,0.015072,0.015043,0.022135,0.021991,0.036072,0.03584,0.035767,0.028448,0.021336,0.021416,0.014314,0.000162,-0.006667,0.000416,-0.013702,-0.020494,-0.013425,-0.020374
0.020069,0.020114,0.019475,0.007599,0.007806,0.009788,0.017229,0.013347,0.009907,0.011437,0.007579,0.015018,0.009071,0.008651,0.007913,0.013138,0.012579,0.01132,0.010168,0.001989,0.007163,0.00607,0.005236,0.004359,0.003693,0.003887,0.003993,0.003529,0.00131,0.000532,0.0007,0.000831,0.00128,0.001661,0.001387,0.003455,0.004338,0.005928,0.007235,0.008746,0.009139,0.009009,0.003149,0.002346,0.00315,-0.00454,0.002375,0.002441,-0.003419,-0.00275,-0.00393,-0.00389,-0.003336,-0.004063,-0.003763,-0.003731,0.001498,-0.003815,0.001958,0.002918,0.003042,0.009544,0.004024,0.004954,0.011205,0.005381,0.004432,0.003695,0.003478,0.003298,0.002406,0.000974,0.000725,0.005174,0.004124,0.002297,0.00129,-0.000119,-0.001219,-0.000837,0.000568,0.000863,0.000801,-2.2e-05,-0.0004,-0.000308,-0.000173,0.00021,0.000487,0.001865,0.002314,0.007693,0.006287,-0.000165,-0.000503,0.000108,-0.005217,-0.003826,-0.004167,-0.004821,-0.003742,-0.002846,-0.007841,0.005743,-0.000505,-0.000529,0.005553,-0.000275,0.004693,-0.002597,0.002162,-0.00473,0.004018,0.004109,0.003933,0.002965,0.013293,0.005928,0.004442,0.003035,0.008511,0.00966,0.009796,0.004726,0.002761,0.00098,-0.009315,-0.004079,-0.011047,-0.006124,-0.006089,-0.002275,-0.000586,-0.006246,-0.0069,-0.011036,-0.010833,-0.0111,-0.011608,-0.005729,-0.008961,-0.007324,-0.017776,-0.021878,-0.016244,-0.019009,-0.012862,-0.007867,-0.008337,-0.009967,-0.018132,-0.018444,-0.031971,-0.040667,-0.033605,-0.034107,-0.006672,0.004229,0.009024,0.013403,0.013717,0.018733,0.018573,0.017403,0.016558,0.016982,0.016112,0.01012,0.004413,0.004692,0.005131,0.002404,0.003248,0.010893,0.006176,0.006611,0.013563
-0.007281,-0.007229,-0.00816,-0.001153,-0.000853,0.001998,0.000593,0.007029,0.013919,0.016001,0.022252,0.020491,0.023746,0.023128,0.021801,0.01699,0.016161,0.014363,0.012752,0.013487,0.008925,0.007382,0.006296,0.005314,0.004463,0.004681,0.00479,0.00421,0.00162,0.000661,0.000713,0.000868,0.001416,0.001878,0.001705,0.00406,0.005291,0.007044,0.008584,0.01034,0.010775,0.010538,0.01412,0.01327,0.014006,0.015653,0.012986,0.013035,0.016805,0.017374,0.016117,0.016137,0.01656,0.01585,0.016159,0.016142,0.011702,0.015956,0.012128,0.01298,0.013176,0.009985,0.014107,0.014882,0.011468,0.015185,0.014131,0.013308,0.013032,0.012818,0.011878,0.010417,0.010152,0.004989,0.003944,0.002258,0.001265,-0.000117,-0.001084,-0.000824,0.000554,0.000836,0.000781,-2.5e-05,-0.000296,-0.00021,-8e-05,0.00029,0.00055,0.001895,0.002319,-0.001903,-0.003333,-0.00023,-0.000556,3.7e-05,0.004301,0.005652,0.005232,0.004681,0.005636,0.006596,0.01119,0.005353,0.008829,0.008787,0.00522,0.009001,0.004361,0.00687,0.002131,0.005005,0.003869,0.003947,0.003754,0.002896,-0.005976,-0.003568,-0.005003,-0.006323,-0.010451,-0.009418,-0.009311,-0.004822,-0.006688,-0.008406,-0.008888,-0.013247,-0.010617,-0.015221,-0.015381,-0.011607,-0.010122,-0.006174,-0.006834,-0.001358,-0.001258,-0.001534,-0.001968,-0.005783,0.000562,0.002022,0.011047,0.016672,0.012711,0.009571,0.00637,0.001588,0.000629,0.009143,0.030022,0.039546,0.054823,0.055785,0.043648,0.043164,0.021904,0.013379,0.008354,0.002884,0.003095,-0.001735,-0.001981,-0.003461,-0.004314,-0.003994,-0.00466,-0.000741,0.003256,0.003724,0.004546,0.011418,0.011915,0.009994,0.015011,0.015116,0.012245
-1.366205,0.097286,0.099846,0.031692,0.035203,0.035877,0.072245,0.04529,0.225918,-0.013306,0.239297,0.288403,0.143406,0.113315,0.35494,0.337174,0.303985,0.44025,0.465065,0.423144,0.282343,0.030458,-0.007806,0.078689,-0.002444,0.004536,0.013189,0.003202,0.000868,0.003287,0.002189,-0.000659,-0.000761,-0.001091,0.002668,-0.000591,0.000243,-0.000308,-0.000496,-0.012811,-0.003878,-0.007135,-0.03609,-0.041225,-0.022156,0.17229,0.076637,-0.04667,0.165008,0.181276,0.071792,0.033948,0.108091,0.191667,0.035107,0.111537,0.039857,-0.068999,0.216499,-0.037333,-0.036996,-0.005132,-0.034639,-0.04245,0.043824,-0.043182,-0.044604,-0.047555,-0.034988,0.010582,-0.044476,-0.043128,0.319348,-0.003631,-0.000227,0.000758,0.000655,0.000175,-0.000316,-0.001668,0.006569,3.346877,-0.000303,-0.000715,0.000662,0.00404,0.000904,0.003938,-0.00258,0.013062,0.003725,-0.192238,-0.022053,1.008744,0.306276,-0.003596,-0.038722,-0.042803,0.185241,0.065796,-0.055015,-0.049128,-0.073766,-0.003851,-0.039684,-0.036186,-0.000634,-0.035635,-0.000531,-0.036494,-1.484823,-1.508617,-0.002639,0.137661,0.222294,-1.000365,-0.047883,-0.222784,-3.554652,-0.225357,0.075698,-1.370854,-1.387875,-0.137599,-0.124819,-0.84302,-0.983949,-0.467605,-0.62442,2.491942,-0.776261,2.587318,0.768306,-0.162113,-0.670514,1.916035,-0.498088,-0.711095,-0.182889,0.673939,-0.066483,1.808263,-0.346981,-0.501569,0.153869,2.036453,-0.852446,-0.51377,1.28939,-0.430332,0.392445,0.649967,0.745389,-0.908631,-1.677141,-1.617773,-0.14932,0.304689,-0.376219,-0.097499,0.067212,0.258639,0.023243,-0.563399,0.134476,-0.61726,0.095253,0.09866,0.156502,0.414537,0.001513,-0.246233,-0.020556,-0.000419,-0.036486,-0.037027,-0.000708
