0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229
-0.025568,-0.025595,-0.017358,-0.025598,-0.017462,-0.016927,-0.016758,-0.016803,-0.008392,-0.007768,-0.00778,-0.00777,-0.007466,-0.007605,0.000487,-0.00787,-0.00762,-0.007959,-0.007758,-0.007662,-0.007589,-0.007619,-0.007337,-0.015827,-0.007714,-0.015977,-0.016109,-0.008264,-0.016159,-0.008249,-0.008178,-0.008144,-0.00813,-0.008169,-0.008135,-0.00817,7.2e-05,8.3e-05,0.000145,0.008513,0.000617,0.009207,0.0094,0.009816,0.002112,0.002143,0.002324,0.002049,0.01005,0.001852,0.009278,0.009154,0.009126,0.008815,0.008856,0.008557,0.00852,0.008522,0.000488,0.000478,0.000482,0.000468,0.000488,0.008386,0.000484,0.008321,0.000746,0.000457,0.000742,0.000751,0.000409,0.000436,0.000786,0.000797,0.000745,0.000694,0.00063,0.000176,0.000112,0.000488,0.000103,0.000116,0.000481,0.000176,0.000557,0.000626,0.000677,0.001,0.001045,0.001076,0.001044,0.000627,0.000207,0.000545,0.000113,5.3e-05,2e-06,-1.9e-05,-5.1e-05,-4e-05,0.007663,-0.000125,-0.000129,0.007223,-0.000541,0.006841,0.006509,0.006101,0.013356,0.012873,0.013142,0.013121,0.01349,0.021782,0.022113,0.022589,0.023068,0.023192,0.031088,0.023453,0.031382,0.023601,0.023693,0.023819,0.015978,0.024026,0.016112,0.016206,0.024299,0.016289,0.008253,0.008235,0.016294,0.000129,0.000109,-0.000431,9.2e-05,6.1e-05,4.3e-05,4.2e-05,2.5e-05,1e-06,-0.0,0.008106,1e-06,-0.008103,1e-06,1.3e-05,-0.000548,-0.000559,1e-05,1e-06,0.0,-2.1e-05,-1.8e-05,-1e-06,1e-06,2e-06,-0.0,-1e-06,-0.008107,-0.0,-7e-06,-6e-06,-2e-05,-1e-05,1e-06,5e-06,-0.008092,-0.008103,-5e-06,-5e-06,-1e-06,1e-06,-1.7e-05,-3e-06,-1.2e-05,-0.0,3e-06,1e-06,-2e-06,1e-06,4e-06,-1e-06,-1.5e-05,-0.008101,1e-06,2.5e-05,-0.008614,-0.008043,-0.008058,-0.01674,-0.008524,-0.016236,-0.016232,-0.016234,-0.016249,-0.016263,-0.008012,-0.008182,-0.008716,-0.008741,-0.000137,-5.9e-05,0.00767,-0.000587,-0.00116,-0.010353,-0.002555,-0.019539,-0.020337,-0.020675,-0.036845,-0.036508,-0.035429,-0.035124,-0.025311,-0.015915,-0.014917,-0.005115,0.004182,0.004861,0.005095,0.005342,0.00528,0.005062,0.011994,0.011086,0.00989,0.016855
0.008474,0.007714,0.008082,0.007488,0.00805,0.003351,0.005347,0.006414,0.008662,0.004406,0.004307,0.004373,-0.001588,-0.003209,-0.003824,-0.006113,-0.012415,-0.006568,-0.004741,-0.003704,-0.002898,-0.003195,-0.00899,-0.003559,-0.004052,-0.004891,-0.00598,-0.000722,-0.006272,-0.000555,6.4e-05,0.000344,0.000451,0.000128,0.000407,0.000137,0.000562,0.000655,0.001136,0.002605,0.004868,0.008394,0.010127,0.014048,0.010235,0.010716,0.004869,0.00275,-0.005249,-0.006813,-0.00408,-0.005202,-0.005446,-2.1e-05,0.000581,0.006371,0.006094,0.006403,0.005741,0.005671,0.00582,0.005742,0.006025,0.006037,0.006176,0.00567,1.3e-05,0.006028,6.5e-05,0.000185,0.005499,0.005906,0.000783,0.000968,0.000308,-0.000374,-0.001231,0.002498,0.00162,-0.003214,0.001488,0.001657,-0.003292,0.002539,-0.002191,-0.001177,-0.000401,-0.005941,-0.005217,-0.004706,-0.005172,-0.000951,0.003182,-0.00224,0.00173,0.00081,4.4e-05,-0.000255,-0.000774,-0.000586,-0.001433,-0.001892,-0.002737,0.002343,0.002248,0.00702,0.011541,0.015971,0.020318,0.023833,0.016944,0.016571,0.010948,0.005988,0.00108,-0.004169,-0.010033,-0.009856,-0.00986,-0.010955,-0.010143,-0.010546,-0.010147,-0.009562,-0.009368,-0.008881,-0.009859,-0.010059,-0.008362,-0.008086,-0.006824,-0.005044,-0.003746,-0.003926,-0.003205,0.001726,-0.002725,-0.001755,-0.001262,-0.00124,-0.000752,1.1e-05,4.5e-05,0.000648,-0.0,-0.000635,2e-06,-0.000363,0.005223,0.005482,-0.000321,-2.5e-05,1.8e-05,0.000673,0.000542,4.8e-05,-2.7e-05,-5.4e-05,5e-06,1e-05,-0.000526,-8e-06,0.000206,0.000172,0.00059,0.000308,-2.8e-05,-0.00011,-0.000924,-0.000601,0.000147,0.000155,4e-06,-1.5e-05,0.000543,6.2e-05,0.000402,-1.1e-05,-9e-05,7e-06,9.1e-05,-2e-06,-0.000125,6.3e-05,0.00049,-0.000582,-5.6e-05,-0.000853,0.003561,-0.003121,-0.002718,0.003332,0.00425,-0.001425,-0.001966,-0.003012,-0.004133,-0.004449,-0.004869,-0.005685,-0.001709,-0.00257,-0.009423,-0.010212,-0.004824,-0.005993,-0.000712,0.010251,0.016912,0.022395,0.037535,0.045323,0.047557,0.052028,0.050862,0.053987,0.050279,0.05522,0.048638,0.041169,0.033204,0.02594,0.020278,0.003855,-0.007659,-0.011137,-0.021317,-0.027674,-0.028414,-0.027302
-0.009723,-0.011051,-0.011385,-0.011575,-0.011435,-0.00612,-0.002935,-0.001208,0.001585,0.007833,0.007618,0.007702,0.011111,0.008513,0.006862,0.003907,0.006823,0.003131,0.006068,0.007696,0.008944,0.008462,0.01216,0.008446,0.00707,0.006323,0.004593,-0.00055,0.004094,-0.000311,0.000643,0.001076,0.001233,0.000715,0.001139,0.000712,0.000884,0.001025,0.001773,0.003567,0.007539,0.012412,0.014992,0.020693,0.027539,0.028057,0.031333,0.027953,0.027833,0.026082,0.017416,0.015798,0.015436,0.011108,0.011876,0.008041,0.007641,0.007995,0.007647,0.007534,0.007693,0.007544,0.007895,0.007274,0.008003,0.006712,0.011264,0.007706,0.011258,0.011392,0.006943,0.007418,0.012027,0.012238,0.011377,0.010499,0.009432,0.003066,0.001982,0.006974,0.001814,0.002018,0.006873,0.003081,0.008197,0.009408,0.010322,0.014451,0.015289,0.015869,0.015297,0.009567,0.003749,0.008026,0.002029,0.000952,5.3e-05,-0.000295,-0.000907,-0.000687,-0.002298,-0.002219,-0.003467,-0.008511,-0.008029,-0.013714,-0.019292,-0.024761,-0.030771,-0.037427,-0.035054,-0.035584,-0.031724,-0.027847,-0.022925,-0.018642,-0.015138,-0.015142,-0.016063,-0.016904,-0.016993,-0.016621,-0.016533,-0.015988,-0.014974,-0.015221,-0.015992,-0.016508,-0.015359,-0.013967,-0.011157,-0.008618,-0.007854,-0.005862,-0.004803,-0.009805,-0.0041,-0.002644,-0.001904,-0.001875,-0.00114,1.4e-05,6.5e-05,-0.000222,-1e-06,0.000237,3e-06,-0.000546,-0.004563,-0.004172,-0.000484,-3.8e-05,2.7e-05,0.001016,0.000819,7.3e-05,-3.9e-05,-8.1e-05,1e-05,1.7e-05,0.000397,-1.2e-05,0.000312,0.00026,0.000888,0.000465,-4.2e-05,-0.000164,-0.00021,0.000278,0.000227,0.000235,8e-06,-2.2e-05,0.000816,9.3e-05,0.000606,-1.6e-05,-0.000135,1.1e-05,0.000138,-1e-06,-0.000186,9.7e-05,0.000739,0.000293,-9.1e-05,-0.00129,-0.0059,-0.003559,-0.002956,-0.005134,-0.004751,8.7e-05,-0.000748,-0.00237,-0.004123,-0.004634,-0.006504,-0.007696,-0.014261,-0.015651,-0.014764,-0.016462,-0.022011,-0.023071,-0.02746,-0.035087,-0.038537,-0.040918,-0.042997,-0.042924,-0.037235,-0.030459,-0.01854,-0.0136,0.006143,0.025862,0.040525,0.064401,0.085632,0.095149,0.097003,0.094618,0.088665,0.083498,0.069574,0.051246,0.029459,0.019669
0.011352,0.089654,-0.430416,0.089759,-3.877109,-1.151541,-1.096008,-3.987459,-3.540278,0.015837,0.216205,0.099488,0.375944,0.135687,0.266197,-0.037711,-0.069326,-1.478666,0.042437,0.007362,0.229487,0.22573,0.17065,-0.006049,-0.051776,-0.042901,-0.043465,-0.002386,-0.038783,-0.013988,-9.1e-05,-0.001286,-0.00125,-0.001584,-0.018341,-0.022768,0.001923,0.001446,0.003606,0.004148,0.002631,0.007269,-0.004638,0.01097,-0.045669,-0.037433,-0.094315,0.136159,-0.095637,-0.070298,-0.06611,0.004487,-0.022064,0.053359,0.300311,0.351891,0.030261,0.242206,-0.01087,0.003665,-0.001113,0.004873,-0.007698,0.00523,0.004279,0.006301,-0.03421,-0.008257,-0.046446,-0.032467,-0.012566,-0.009607,0.028511,0.03836,0.0383,0.022858,-0.062296,-0.068597,-0.011584,-0.039569,4.9e-05,-0.011313,-0.043275,0.273745,0.0598,-0.044903,-0.000955,-0.029951,-0.032717,-0.050498,0.078349,0.216506,-0.013332,-0.038753,0.000791,0.000722,0.000477,0.000495,0.000288,-0.012069,-0.522998,-0.013753,-1.734244,0.037128,0.03689,-0.448824,-1.629595,-1.581711,0.193229,0.053878,0.101311,-0.240794,-0.076233,-1.706096,-0.165944,-0.806502,-0.150362,-0.033714,0.030905,-1.837047,0.010337,-1.500517,0.004633,-0.007521,-0.588517,-1.938324,-0.013655,-0.004564,-0.05159,-0.001162,0.008237,0.010764,-0.5795,0.005561,0.01116,-0.033915,-0.001531,0.010442,0.001645,-1.1e-05,-0.00932,0.000838,0.015288,0.002258,0.003991,-0.002244,0.00156,-0.000128,0.036325,-0.271355,0.002796,-0.000103,-0.190915,0.001818,-0.000143,-0.000126,-0.000108,-7.7e-05,0.000635,4.9e-05,-0.000899,-1.4e-05,0.009108,0.005609,-2.6e-05,-0.000102,-6.9e-05,-6.4e-05,-0.002077,0.011732,0.002414,-0.0001,-9e-05,-6.9e-05,0.001788,-3.9e-05,-3.7e-05,-1.1e-05,-1.2e-05,-2.8e-05,-1.4e-05,-1.5e-05,-2e-06,-6e-06,-0.34857,-0.370122,-0.213263,-0.296245,-0.463321,-0.158072,-0.296854,0.112566,1.937342,-0.056937,-0.329101,-0.229093,-0.058273,-0.034819,1.887403,0.712659,0.04907,0.244029,-0.000875,2.379345,2.647717,2.48424,0.779361,0.669066,0.13068,-0.002544,2.767526,1.088077,0.580939,3.839919,1.368414,3.549841,0.34743,0.260429,3.840492,0.061312,0.530455,0.686068,0.609014,0.380994,-0.066909,-0.153118,-0.405386,-0.090768,-0.280816,-0.182577
0.121541,-0.110057,-1.547124,-0.070786,-2.778255,-0.937912,-1.047783,-3.361075,-3.352993,-0.306724,-0.607233,-0.443915,-0.683171,-0.298178,-0.560957,-0.085465,-0.093992,-2.774809,-0.200926,-0.220652,-0.536673,-0.508172,-0.287198,-0.047078,-0.031036,0.052929,0.049956,0.032583,0.045577,0.019168,0.020603,0.016827,0.01685,0.016155,0.105437,-0.030112,0.004058,0.003002,-0.010589,-0.028918,-0.012559,-0.05861,0.041395,-0.087572,0.041765,-0.073555,0.025369,-0.407989,-0.095329,-0.118921,-0.085288,-0.180201,-0.160042,-0.21298,-0.523475,-0.551489,-0.127794,-0.277467,0.087656,-0.009723,-0.018847,-0.025811,0.069123,-0.027327,-0.026718,-0.042252,-0.002255,0.067847,0.092284,-0.016321,-0.011626,-0.021146,-0.143113,-0.166423,-0.155355,-0.118482,0.007867,-0.084403,0.007203,0.002715,0.002321,0.003376,0.003484,-0.464423,-0.154996,-0.019713,-0.091466,-0.087725,-0.090195,-0.065011,-0.217811,-0.338914,0.002027,0.002915,0.00163,0.000822,0.000806,0.000449,0.000532,0.090664,-0.81133,0.103611,-2.678989,-0.012246,-0.010216,-0.827133,-2.713549,-2.699707,-0.081948,-0.186883,-0.037267,0.081574,0.274435,-2.646385,-0.10739,-0.416163,-0.220347,-0.091287,0.022248,-2.774295,-0.106924,-2.111712,-0.11349,-0.013757,-0.788826,-2.680609,0.112892,0.026108,-0.074101,0.013553,0.008497,0.014257,-0.816656,0.023449,0.015272,0.117979,-0.003938,-0.006999,0.002472,4e-05,0.030317,-0.00108,-0.00556,-0.015947,-0.003187,0.014822,0.002633,-0.000139,-0.009008,0.418709,-0.002185,-0.000272,0.228637,-0.001638,-0.000273,-0.00016,-0.000134,-0.000101,0.001082,0.000105,0.017137,1.6e-05,0.007429,-0.003654,-0.000279,-0.000122,-9.2e-05,-6.7e-05,0.015154,0.00852,-0.001853,-0.000209,-0.000122,-0.000106,-0.014458,-3.7e-05,-1.5e-05,-2.6e-05,-2.2e-05,-1.1e-05,-1.9e-05,-7e-06,-8e-06,3e-06,0.411439,0.567658,0.22447,0.405758,0.62331,0.208225,0.660068,0.497507,3.832466,0.155915,0.522506,0.360377,0.166314,0.140302,3.940716,1.075827,0.058972,0.34326,0.049176,3.48167,3.768601,3.450634,1.85983,0.895328,0.814542,0.50805,3.676016,1.078851,0.362185,4.260164,3.216732,3.330236,0.389535,-0.037442,4.578149,-0.157071,-0.133886,2.487624,1.917056,0.170215,0.59446,0.574587,0.715002,1.177269,0.552367,0.829388
0.237139,0.151462,2.402671,0.081763,-2.636364,-0.688989,-0.564756,-2.851359,-2.721797,0.485354,0.315705,0.204124,-0.22041,-0.223032,-0.109435,-0.138848,0.062569,0.838481,0.04507,0.06155,-0.145307,-0.156939,-0.262711,-0.114179,-0.113367,-0.077257,-0.075743,-0.053099,-0.076537,-0.040048,-0.033216,-0.029518,-0.029867,-0.029451,-0.188864,0.024413,-0.004695,-0.003473,0.020168,0.053323,0.022564,0.103775,-0.067627,0.153716,-0.063064,0.093917,-0.098549,0.092184,0.011467,-0.041031,-7e-06,-0.053173,-0.046645,-0.079516,-0.2175,-0.208427,-0.021985,-0.268447,-0.143312,0.03014,0.01866,0.053068,-0.121707,0.055443,0.051848,0.08094,0.00806,-0.123069,-0.166469,0.033179,0.019778,0.049528,-0.051484,-0.067318,-0.092532,-0.067762,0.001223,-0.094396,0.003155,0.009622,0.002294,0.0044,0.008237,-0.242171,-0.081104,-0.016176,-0.020678,-0.078271,-0.082713,-0.070114,-0.132046,-0.150899,-0.007978,0.010059,0.002284,0.001842,0.00124,0.001296,0.000733,-0.176055,-1.365943,-0.201321,-4.523271,0.023264,0.019679,-1.335876,-4.496205,-4.457555,0.118848,-0.445346,0.008672,-0.144066,0.230378,-4.152237,-0.243544,-0.800488,-0.347017,-0.107864,-0.014042,-4.414259,0.194065,-4.977062,0.181803,0.009955,-1.362643,-4.41514,-0.186159,-0.042391,-0.106624,-0.014714,-0.019757,-0.01214,-1.335133,-0.049907,-0.016547,0.033687,-0.046588,-0.001888,-0.003628,-0.000905,0.025988,-0.000654,0.002665,0.028605,-0.001092,-0.029767,-0.003413,-0.000347,0.018881,0.289261,-0.000698,-0.0003,0.130187,-0.000684,-0.000337,-0.000227,-0.000184,-0.000115,-0.001263,-0.000236,-0.031324,-8e-05,0.012266,-0.000754,-0.000264,-0.000184,-0.000116,-9.9e-05,-0.029313,-0.028772,-0.000599,-0.000261,-0.000175,-0.000144,0.02481,-7.1e-05,-5e-05,-4.2e-05,-2.2e-05,-7e-06,-3e-06,-1e-06,-2e-06,-6e-06,0.231866,0.332139,0.378407,0.254312,0.358938,0.304215,0.410651,0.437561,4.294505,0.027923,0.257733,0.115512,-0.000333,-0.015209,3.868883,1.019334,-0.038041,0.263852,-0.07205,3.525337,3.909328,3.591536,-2.023795,-0.13457,-0.262486,0.21016,3.942292,1.290238,0.184617,4.930432,-0.435818,3.980148,0.635142,0.041221,1.595721,0.260212,-0.574507,-3.054323,-2.826517,-1.98489,-2.301355,-2.124753,-1.110543,-1.666268,-0.888032,-0.646286
-7e-05,-0.000302,-0.000384,0.007744,-0.000391,-0.000313,-0.008349,-0.008208,-0.008101,-0.016317,-0.016255,-0.01615,-0.016165,-0.015927,-0.023897,-0.023533,-0.031421,-0.031246,-0.02274,-0.030442,-0.029957,-0.037844,-0.037607,-0.037327,-0.037406,-0.037529,-0.029479,-0.029559,-0.029543,-0.021863,-0.014318,-0.014569,-0.014338,-0.01462,-0.006377,-0.006731,-0.014376,-0.006785,0.000809,0.000281,-0.000226,-0.000395,0.007387,0.007476,0.007653,0.007406,0.007119,0.014548,0.014052,0.013979,0.013929,0.01434,0.006639,0.015336,0.008115,0.00051,0.008365,0.000332,3.9e-05,-1.6e-05,-8e-06,-3.5e-05,5e-06,1e-06,0.00794,0.0,0.0,-0.000133,-5e-06,0.00788,0.007919,0.008178,0.007942,1e-06,1e-06,0.007945,4e-06,3e-06,0.008057,0.007944,-6.3e-05,0.000227,4e-06,3e-06,-2e-05,0.000214,-2e-05,0.000193,-0.0,-6.3e-05,0.007851,0.007933,0.007846,-0.000134,4.6e-05,1e-06,-0.00013,1e-06,-0.0,-0.0,-6.4e-05,0.000192,0.000219,0.000214,0.0078,-0.000129,0.000103,0.008052,0.008212,0.008426,0.008307,0.008486,0.016347,0.016521,0.02443,0.024767,0.017092,0.024787,0.024789,0.017145,0.016878,0.01657,0.01651,0.008366,0.000379,0.000417,0.00029,-0.007391,-0.007361,-0.00736,0.000356,0.000461,-0.007139,-0.006899,-0.006465,-0.006337,-0.006177,-0.013858,-0.006151,-0.00608,-0.005745,-0.020737,-0.013124,-0.02099,-0.013311,-0.013924,-0.013985,-0.014271,-0.014648,-0.014633,-0.007243,-0.00705,0.000543,-0.006697,-0.006598,-0.006331,-0.006442,-0.006628,-0.007183,-0.00693,-0.007015,-0.00709,-0.01495,-0.014889,-0.0146,-0.007163,0.000114,-0.007214,-0.007406,-0.007408,-6e-06,0.000134,0.000105,8.2e-05,-0.0,-3.7e-05,-0.00012,-6.2e-05,-6.9e-05,-2e-06,4e-06,4e-05,2.2e-05,-2e-06,-3e-05,0.007402,0.000216,0.007722,0.000456,0.008037,0.008177,0.008132,0.008105,0.008176,0.008312,0.008318,0.015489,0.015497,0.023038,0.016034,0.023381,0.023077,0.02299,0.030946,0.023419,0.023104,0.029826,0.02866,0.021269,0.02793,0.020204,0.01998,0.012585,0.012758,0.005532,0.005591,0.005783,0.00602,-0.001269,-0.000677,-0.007708,-0.007235,-0.007188,-0.007267,-0.007166,-0.007383,-0.007409,-0.007362,0.000384,-0.007076
0.014765,0.013303,0.017927,0.011914,0.012795,0.008183,0.004492,0.005363,0.000921,0.001196,0.001578,0.002207,-0.002893,-0.001546,0.004995,0.00676,0.008388,0.009085,0.009933,0.012015,0.013673,0.010192,0.010502,0.010959,0.005835,0.000413,-0.000496,-0.001024,-0.001053,-0.003062,-0.005452,-0.006344,-0.001266,-0.006571,-0.002157,-0.007645,-0.001554,-0.003608,-0.005616,-0.007425,-0.009166,-0.005534,-0.006958,-0.002463,0.002347,0.001482,0.000458,-0.002275,-0.008395,-0.008724,-0.009058,-0.00771,-0.005842,-0.004175,-0.000433,0.001901,0.000542,0.001248,0.000149,-5.6e-05,-2.4e-05,-0.000133,1.3e-05,-3e-06,-0.001047,-2e-06,-2e-06,-0.000507,-2e-05,-0.00126,-0.001119,0.004222,-0.001015,9e-06,-1e-06,-0.001011,-1e-06,1e-06,-0.000566,-0.000997,-0.000263,0.005266,2e-06,-3e-06,-9.1e-05,0.005232,-8.4e-05,0.005148,-3e-06,-0.000257,-0.00135,0.00336,-0.001371,-0.00054,0.000181,4e-06,-0.000526,-1e-06,2e-06,0.0,-0.000258,0.00517,0.005276,0.005248,-0.001557,-0.000538,0.004925,0.003885,0.008978,0.01876,0.02276,0.028022,0.027115,0.032676,0.032175,0.03876,0.041034,0.035795,0.036205,0.038415,0.033087,0.027159,0.022689,0.01197,0.006609,0.0068,0.001466,0.002224,0.002489,0.002437,0.001871,0.002337,0.003397,0.004554,0.01128,0.01187,0.012564,0.008284,0.007857,0.00813,0.014142,0.01609,0.015359,0.009794,0.013805,0.00643,0.006093,0.004754,-0.001298,-0.001244,-0.002482,-0.001668,-0.00204,-0.000211,0.00017,0.005541,0.005057,0.004244,-0.002337,0.002966,0.002599,0.002287,-0.002747,-0.002498,0.002886,0.001973,0.000444,0.001765,0.001027,0.00102,-1.3e-05,0.000501,0.000397,0.000299,3e-06,-0.000137,-0.000446,-0.000232,-0.000258,-1.4e-05,2e-05,0.000151,7.9e-05,-7e-06,-0.000117,-0.001043,0.000812,0.000179,0.001722,0.00143,0.001983,0.001862,0.001803,0.002127,0.002695,0.002775,0.001119,0.001187,0.00094,0.008,0.007383,0.001925,0.001847,0.008677,0.004421,0.003355,-0.000107,-0.01052,-0.005829,-0.010589,-0.012701,-0.014331,-0.014499,-0.014017,-0.012549,-0.012321,-0.011357,-0.010023,-0.008151,0.000477,0.004143,0.007112,0.0073,0.00685,0.007404,0.00129,0.001112,0.001142,0.002295,0.00308
-0.015174,-0.017446,-0.023005,-0.019402,-0.018312,-0.012769,-0.00602,-0.00466,0.001184,0.001329,0.001903,0.002874,0.007659,0.009705,0.006745,0.009374,0.011334,0.012309,0.013839,0.016289,0.018482,0.024983,0.025007,0.025137,0.029727,0.033597,0.032521,0.031449,0.031251,0.028901,0.026136,0.024871,0.020016,0.024344,0.019338,0.023485,0.019323,0.017269,0.015323,0.01296,0.010703,0.004123,0.002962,-0.002505,-0.00757,-0.0087,-0.010048,-0.012986,-0.009704,-0.010172,-0.010697,-0.008989,-0.007165,-0.004329,4e-05,0.002534,0.00134,0.00166,0.000196,-7.5e-05,-3.4e-05,-0.000178,1.6e-05,-8e-06,-0.000794,-6e-06,-1e-05,-0.000679,-3.2e-05,-0.001081,-0.000899,-0.005276,-0.000768,8e-06,-6e-06,-0.000775,-7e-06,-8e-06,-0.000195,-0.00077,-0.000357,-0.004481,0.0,-9e-06,-0.000125,-0.004524,-0.000112,-0.004635,-4e-06,-0.000344,-0.001245,-0.006468,-0.00128,-0.000723,0.000242,4e-06,-0.000704,-2e-06,7e-06,5e-06,-0.000342,-0.004604,-0.004467,-0.004506,-0.001539,-0.000723,-0.005041,-0.005791,-0.010517,-0.020505,-0.026719,-0.031361,-0.032011,-0.036184,-0.036425,-0.039258,-0.03668,-0.031776,-0.03125,-0.028671,-0.024278,-0.020692,-0.015142,-0.006718,-0.002676,-0.00241,0.001994,0.002697,0.003005,0.002935,0.0025,0.003157,0.004242,0.00578,0.003224,0.003992,0.00487,0.010238,0.009952,0.010266,0.006703,0.008405,0.007777,0.011366,0.005615,0.00733,0.006875,0.005155,0.008574,0.008628,0.007482,0.00848,0.008431,0.010247,0.010684,0.006359,0.005753,0.004745,0.00755,0.00317,0.002714,0.00233,0.006562,0.006856,0.002562,0.001919,0.000545,0.001654,0.000757,0.000743,-1.2e-05,0.000605,0.000478,0.000361,5e-06,-0.000164,-0.000538,-0.00028,-0.000315,-1.8e-05,2.3e-05,0.000181,9.5e-05,-9e-06,-0.000142,-0.000772,0.000978,0.0007,0.002068,0.002184,0.002843,0.00268,0.002595,0.002964,0.003628,0.003697,0.002135,0.002197,0.002242,-0.000472,-0.000895,0.003235,0.003063,0.000681,0.005885,0.004556,0.000744,-0.000802,-0.006077,-0.011418,-0.014167,-0.016141,-0.016701,-0.016334,-0.014906,-0.014715,-0.013685,-0.012169,-0.010057,-0.010377,-0.00598,-0.002285,-0.002062,-0.002617,-0.001933,0.001439,0.001212,0.001242,0.002853,0.003638
-0.189449,-0.006309,0.098388,0.112595,0.106484,0.070106,0.033662,0.034393,-0.002789,-0.002068,-0.012884,-0.427197,-0.038035,-0.034918,-0.000797,-0.000499,-0.001882,0.005669,-0.000755,-0.005253,0.099719,-0.04477,0.02134,-3.991704,0.218234,1.73611,0.318308,0.384575,0.757351,0.262018,0.387603,0.23917,0.18801,0.206147,0.453598,0.028529,0.163153,0.635206,0.191835,-0.020696,-0.048474,-0.028472,-0.029084,-0.000178,0.040288,0.038628,0.035083,0.04064,0.004684,0.004242,0.004399,0.001464,-0.009722,0.000708,0.00092,-0.000267,-0.049433,0.001752,1.8e-05,3e-06,-1e-06,1e-06,1.1e-05,1.4e-05,0.006424,0.005302,-0.000103,-4.8e-05,-2.4e-05,0.000956,0.000981,0.036126,0.004735,0.000442,0.000356,0.001551,-0.000168,0.001808,0.007823,0.003495,0.000203,0.035378,0.000559,5.3e-05,0.000154,0.035264,-1.4e-05,0.044203,0.000318,-7.5e-05,0.000908,0.036205,0.000834,-0.000884,-0.000229,-0.00011,-0.000857,-6.7e-05,0.000199,-3.4e-05,-1.3e-05,0.035272,0.035278,0.035282,0.00022,0.275107,2.908739,0.044784,0.078857,0.136872,0.192751,2.912264,-0.141525,-0.124219,0.018757,0.900333,1.033048,-0.049258,0.124343,-0.024166,0.324593,0.168354,4.028227,0.502154,1.213529,0.066362,0.001726,0.010826,4.178227,4.098527,4.111765,-0.035139,0.01607,-0.002738,0.033326,0.033326,0.03421,0.383237,-0.001265,-0.001079,0.0302,0.023426,0.112233,-0.004388,0.157443,-9e-05,0.000619,0.000447,-0.036744,-0.036486,-0.011206,0.048353,0.118683,0.009204,0.071147,0.035885,-0.008372,-0.000126,-0.035316,-0.002041,-0.000481,-0.000691,-0.039474,-0.036988,-0.003555,0.077308,-0.000951,-0.006014,-0.005403,0.143518,0.028145,0.199376,0.010397,0.263507,0.144662,-4.5e-05,-0.004155,0.097022,0.000359,-0.010115,-0.008178,-0.000265,0.000134,9.9e-05,6.8e-05,0.001046,-0.001541,-0.047233,-0.223883,-0.194236,-0.144568,-0.229435,-0.271209,-0.214734,-0.129136,-0.285475,-0.082891,-0.272167,-1.460096,-0.183306,-0.01996,-0.079593,-0.085836,-0.079946,0.013875,-0.018006,-0.97754,-0.125832,0.005442,0.026415,1.274593,1.278228,0.002898,0.385189,-0.001695,0.001579,0.013669,0.033512,0.012282,-0.166574,0.20944,-0.264523,0.638372,0.044998,-0.022829,-0.206495,-0.07047,0.747694,0.002722,-0.001477
