0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
0.013384,0.021105,0.013611,0.021494,0.029626,0.022321,0.030095,0.030926,0.030988,0.031063,0.031138,0.031342,0.031813,0.023553,0.024041,0.024042,0.016205,0.008344,0.016713,0.016719,0.016732,0.008357,0.016242,0.016251,0.016262,0.007867,0.007862,0.015569,0.008142,0.016182,0.016011,0.008891,0.000509,0.008411,0.008467,0.000632,0.000647,0.008551,0.000656,0.000129,0.000135,0.00805,0.008026,0.00011,7.4e-05,0.007934,-0.0,0.007925,1.3e-05,-1e-06,2e-06,0.007938,8e-06,-2e-06,0.0,-0.0,2.6e-05,1.1e-05,4.8e-05,7.3e-05,0.000107,0.008063,0.000113,0.000128,0.000108,0.00014,0.000131,0.000106,8.6e-05,5.3e-05,3.1e-05,1.3e-05,5e-06,0.007994,2.3e-05,2.7e-05,5.1e-05,7.2e-05,6.8e-05,7.6e-05,7.6e-05,7.5e-05,3.6e-05,2.6e-05,3e-06,-1e-06,-1.3e-05,-2.4e-05,-2e-05,-9e-06,-0.0,2.5e-05,1.5e-05,2.7e-05,-0.00794,4e-05,6.5e-05,-0.008479,-0.016044,-0.008471,-0.016571,-0.016445,-0.024978,-0.016422,-0.024377,-0.024467,-0.024512,-0.024563,-0.024171,-0.016183,-0.016239,-0.024934,-0.016422,-0.016452,-0.008855,-0.008425,-0.000294,-0.00842,-0.008844,-0.008783,-0.01689,-0.017087,-0.016371,-0.016227,-0.015506,-0.007053,0.001282,0.001321,0.001324,0.009468,0.009528,0.009702,0.009541,0.009425
0.020061,0.019474,0.013552,0.013773,0.009728,0.004439,0.005373,-0.005228,-0.005322,-0.005227,-0.003891,-0.002446,-0.007305,0.000296,-0.00405,-0.003325,-0.003584,-0.003221,-0.008832,-0.008731,-0.008665,-0.002936,-0.003074,-0.00319,-0.003357,0.00122,0.001356,0.002862,-0.001898,-0.001364,-0.001625,-0.007983,-0.004283,-0.004495,-0.005655,-0.007123,-0.007444,-0.007146,-0.008287,-0.002859,-0.003296,-0.002285,-0.001592,-0.002311,-0.001523,0.000557,4.7e-05,0.000699,-0.000259,7e-06,-4.4e-05,0.000383,-0.000138,1.4e-05,8e-06,1e-05,-0.000527,-0.000223,-0.000992,-0.001527,-0.002189,-0.001944,-0.002321,-0.002658,-0.002221,-0.002903,-0.002716,-0.002199,-0.001757,-0.001096,-0.000613,-0.000247,-0.000112,0.000202,-0.000517,-0.000599,-0.001101,-0.001526,-0.001406,-0.001579,-0.001573,-0.001557,-0.00075,-0.000567,-7.2e-05,4.3e-05,0.000299,0.000512,0.00042,0.00022,-2e-06,-0.000523,-0.000335,-0.000607,-0.001777,-0.000906,-0.001358,0.003007,-0.003192,0.002673,0.001456,0.001726,0.006316,0.000287,-0.000859,-0.001131,-0.001425,-0.003304,-0.010821,-0.010687,-0.011063,-0.006233,-0.010998,-0.010593,-0.003686,-0.008487,-0.008275,-0.007668,-0.000468,0.000957,0.003172,0.013074,0.012379,0.014405,0.013279,0.018551,0.023437,0.02413,0.025359,0.020563,0.020178,0.014254,0.011703,0.010326
-0.031722,-0.033204,-0.029033,-0.029674,-0.024218,-0.019305,-0.018767,-0.010049,-0.010345,-0.010336,-0.008556,-0.006658,-0.001632,-0.002284,0.003437,0.004628,0.00494,0.006386,0.009405,0.009535,0.009603,0.006712,0.005522,0.005327,0.005067,0.000626,0.000812,0.002017,0.008241,0.007725,0.007483,0.011355,0.005807,0.004433,0.002842,0.00192,0.001476,0.00078,0.000308,-0.003963,-0.004565,-0.004305,-0.003351,-0.003229,-0.002133,-0.000363,6.4e-05,-0.000165,-0.000362,8e-06,-6.4e-05,-0.000615,-0.000196,1.7e-05,1e-05,1.5e-05,-0.000738,-0.000313,-0.001389,-0.002142,-0.003073,-0.00389,-0.003277,-0.003764,-0.003147,-0.004127,-0.003871,-0.003138,-0.002511,-0.001568,-0.000878,-0.000353,-0.000161,-0.000886,-0.000741,-0.00086,-0.00158,-0.002193,-0.002024,-0.002272,-0.002272,-0.002248,-0.001084,-0.000824,-0.000105,6.3e-05,0.000433,0.000741,0.000609,0.000319,-2e-06,-0.000756,-0.000484,-0.000876,-0.00139,-0.001309,-0.001962,-0.006598,-0.002194,-0.007096,-0.007573,-0.007414,-0.01182,-0.009609,-0.010251,-0.010751,-0.011328,-0.014213,-0.013266,-0.014172,-0.014959,-0.01942,-0.015187,-0.014909,-0.017835,-0.012709,-0.013355,-0.011775,-0.013029,-0.011036,-0.006144,-0.003108,0.008907,0.012141,0.023153,0.030161,0.036236,0.036797,0.037637,0.040791,0.040002,0.042622,0.038376,0.036189
1.057474,-0.467242,-0.122544,-1.72574,-0.422559,-1.941067,0.04669,0.035233,0.666867,-0.495466,0.655309,-1.665219,-1.60747,0.002239,0.062565,-1.799659,-0.05809,-0.527759,-0.096218,0.01769,-0.140275,-0.039498,-0.185805,-0.047448,-0.047703,-0.046807,0.005768,-1.806851,-1.303871,-0.592578,-1.468783,-0.043131,-0.043808,-0.057596,0.011028,0.020154,0.072005,-0.028764,0.396372,-0.008372,-0.557455,0.000203,-0.002916,0.453011,-0.004536,0.09513,-0.013222,0.009229,-0.000751,-0.012673,-0.012717,0.002211,9.8e-05,5.8e-05,4.8e-05,2.9e-05,1.1e-05,9e-06,-0.012363,-0.407074,0.013809,0.000504,-0.194857,0.000424,0.015967,-0.065952,0.015486,0.002167,-0.002054,-0.01502,-0.000386,-0.000137,-7.3e-05,0.001994,-0.013001,0.007638,-0.00183,0.009905,0.005754,-1.4e-05,0.00497,0.000556,-0.000113,-9e-05,-0.013016,-5e-05,-5e-05,-2.8e-05,-2.1e-05,-2e-05,-2e-05,-0.012983,-0.012967,-0.0019,-0.003935,-2.3e-05,0.000591,0.091616,2.122126,0.685931,2.356438,0.700181,0.267322,1.0572,3.500634,0.606916,1.326293,0.916423,-0.015957,-0.347327,3.131417,0.535568,0.431763,3.065604,-0.207938,0.550337,-0.001771,3.176543,-0.18534,3.558672,0.018206,-0.073064,0.297591,0.372799,0.109627,1.05842,0.731218,0.348657,0.384461,4.594769,-0.047337,4.168184,-0.330246,-0.224743
2.338911,-0.510894,0.897469,-2.358235,0.881839,-2.436747,0.343879,-0.183522,1.798431,-0.884442,0.796261,-2.845487,-2.909091,-0.045978,0.422823,-2.735289,-0.375311,-0.848838,-0.011081,-0.121802,-0.065042,-0.015896,-0.250298,0.064532,0.06405,-0.08678,-0.003994,-2.583236,-2.930305,-0.785516,-1.845425,-0.050778,-0.006541,0.004832,-0.050398,-0.031307,-0.072797,-0.009206,1.489699,0.01983,-0.663932,0.000648,-0.019315,-0.332747,0.017122,-0.09496,0.008378,-0.028029,0.001196,0.101288,0.10121,-0.015025,0.000111,8.4e-05,6.2e-05,4.5e-05,3.7e-05,3.1e-05,0.121004,0.354491,0.006191,-0.001003,0.161341,0.012965,-0.007869,0.075874,0.005728,0.011619,0.01434,0.115426,-0.000643,-0.000158,-7.3e-05,-0.015259,0.100919,-0.004794,0.014445,0.01154,-0.003769,-0.000199,-0.003334,-0.000608,-0.00011,-6.9e-05,0.100913,-4.1e-05,-2.3e-05,-2e-05,-7e-06,5e-06,2e-06,0.10096,0.100959,0.014631,0.029823,2.1e-05,0.014907,0.080882,2.259875,0.706335,2.421823,0.695313,0.238496,1.35541,4.045439,0.825466,2.217276,0.491303,0.483939,0.624911,2.211272,1.190622,1.375782,2.371631,0.43223,1.218076,0.145125,2.417256,0.508823,2.757195,0.151462,-0.481047,0.001779,0.170001,-0.073063,0.583957,1.904795,0.228782,0.541086,4.215181,0.621426,2.213241,1.24895,1.651549
-1.077826,-1.049803,-0.484547,-3.978639,-0.222218,-3.735565,-0.353172,0.205592,-1.945224,-1.288378,-3.244109,-4.432519,-4.530847,0.090305,-0.866445,-4.446975,-0.455943,-1.379731,0.00744,-0.083628,-0.096732,0.037901,-0.373647,-0.111871,-0.112506,-0.089467,0.02448,-4.476157,-4.789935,-1.323061,-5.130635,-0.017844,0.000646,0.014327,-0.023411,-0.086454,-0.106084,-0.028938,-2.900566,-0.021166,-1.449953,0.006253,0.019401,-0.23254,-0.022883,-0.025762,0.003414,0.015002,0.001285,-0.170137,-0.170261,0.029631,0.000272,0.000176,0.00015,9.5e-05,6.2e-05,4.9e-05,-0.185922,0.240933,-0.026373,0.004112,0.102306,-0.0256,-0.000592,0.020451,-0.026076,-0.026377,-0.02527,-0.195946,0.000148,-0.000145,-0.000128,0.029159,-0.170927,-0.001786,-0.024988,-0.021475,-0.001535,-0.000237,-0.001446,-0.000464,-0.000209,-0.000139,-0.170953,-7.7e-05,-4.8e-05,-3.5e-05,-3.2e-05,-2.5e-05,-1.4e-05,-0.170864,-0.17086,-0.024759,-0.053999,-1e-05,-0.021877,0.088449,4.557037,1.398181,4.970028,1.393846,0.351037,0.852991,3.230281,-0.00495,-0.960234,1.410236,0.416977,0.105707,4.708044,1.287644,1.454035,3.896471,-0.043636,1.22462,-0.243955,3.878803,0.080528,4.100169,-0.22577,0.509851,0.504208,0.351993,0.297578,1.236832,-1.806299,0.303958,-0.156742,0.738608,-0.653636,2.495811,-0.908818,-0.445336
2.3e-05,8.3e-05,2.6e-05,-2.4e-05,0.008229,0.008253,0.008309,0.008354,0.008399,0.008331,0.008576,0.000355,0.000356,0.008347,0.000184,0.000263,0.000196,0.000202,0.00015,0.00018,0.000277,-0.007843,-0.007807,-0.00769,0.000484,0.000598,-0.007366,0.00076,0.001088,0.001226,0.001472,0.001499,0.001516,0.001481,-0.006642,-0.006563,-0.006736,-0.014626,-0.014645,-0.022143,-0.021972,-0.021593,-0.0212,-0.021054,-0.02081,-0.013005,-0.012912,-0.012893,-0.013073,-0.006015,-0.005969,0.001185,0.000372,0.007471,0.007389,-0.000327,0.007295,0.007459,0.007711,-4.6e-05,-5.1e-05,-3.6e-05,7.2e-05,-6.9e-05,-0.007516,-0.007236,0.000422,-0.007159,0.000706,0.000664,0.000585,0.000484,0.000342,0.000575,0.000381,0.000695,-0.006953,-0.00673,0.000582,0.000683,0.00072,0.000536,0.000754,0.000623,0.000543,0.000582,0.000708,-0.00694,0.000621,0.000181,0.000136,1e-06,-0.0,0.000364,0.000158,0.000419,0.000303,0.007831,0.000448,0.000434,0.007875,0.007873,0.007875,0.00051,0.007925,0.007944,0.000481,0.000586,0.000573,0.000496,0.000496,9.6e-05,1e-06,-5.4e-05,0.007517,9.2e-05,-7.5e-05,0.000166,-9.5e-05,-6.9e-05,0.006934,0.006828,0.014319,0.007099,0.007227,0.007384,0.007472,5.4e-05,1e-05,-1.6e-05,-0.0,-0.0,5.2e-05,0.000101
0.004904,0.010469,0.010195,0.01501,0.019962,0.020174,0.020645,0.021118,0.021593,0.021847,0.023026,0.022947,0.02298,0.016829,0.011551,0.012074,0.006418,0.006469,0.000918,0.001106,0.006966,0.001657,0.001867,0.002561,0.008192,0.008883,0.009581,0.009846,0.017031,0.017891,0.024403,0.024753,0.024847,0.024623,0.018173,0.02351,0.017226,0.011798,0.006382,0.008145,0.008974,0.010671,0.012295,0.0128,0.013495,0.013032,0.013053,0.012964,0.011749,0.003696,0.00851,0.005828,-0.002742,-0.005624,-0.001417,-0.001626,-0.001951,-0.001132,0.000152,-0.004896,-0.004884,-0.004834,-0.004255,-0.009605,-0.008362,-0.006899,-0.00706,-0.006472,-0.000996,-0.001205,-0.001597,-0.002108,-0.002837,0.002946,-0.002658,0.00354,-0.000984,0.00471,-0.001621,-0.001102,-0.000905,-0.006402,-0.000723,-0.001374,-0.001772,-0.001583,0.003606,0.003475,0.007706,0.000923,0.000688,3e-06,-7e-06,0.006392,0.000804,0.006675,0.001539,0.001174,0.0023,0.002242,0.001486,0.001525,0.001548,0.002709,0.001906,0.002022,-0.002217,0.003177,0.003118,0.002703,0.002482,0.000531,1.6e-05,-0.00029,-0.000113,0.000509,-0.005037,0.000936,-0.005156,-0.000379,-0.008079,-0.008765,-0.009078,-0.002648,-0.001961,-0.001044,-0.000508,0.00032,6.3e-05,-9e-05,-0.0,4e-06,0.000328,0.000612
-0.005084,-0.009293,-0.009741,-0.015104,-0.019901,-0.019589,-0.018856,-0.018101,-0.017352,-0.016979,-0.015034,-0.015449,-0.015399,-0.011968,-0.007604,-0.006739,-0.002741,-0.002662,0.001514,0.001821,-0.001846,0.002469,0.002812,0.003935,0.000144,0.001256,0.002114,0.002781,0.001201,0.00255,-0.000149,0.000297,0.000357,-3.7e-05,0.002405,-0.002122,0.000871,0.004888,0.009155,0.011442,0.012597,0.014952,0.017129,0.017749,0.018492,0.017915,0.017697,0.017465,0.015569,0.01642,0.011281,0.007921,0.007869,0.004314,-0.001568,-0.002204,-0.002309,-0.001204,0.000528,0.00495,0.004957,0.005039,0.00582,0.010165,0.011506,0.013452,0.013544,0.013985,0.010108,0.009803,0.009263,0.008588,0.007621,0.003837,0.007835,0.004586,0.009663,0.005754,0.009122,0.009763,0.009989,0.014114,0.010172,0.009329,0.008807,0.009034,0.004491,0.00403,-0.001396,0.001142,0.000852,2e-06,-1.1e-05,-0.003028,0.000997,-0.00268,0.001898,0.001719,0.002827,0.002753,0.002077,0.002116,0.002136,0.003299,0.002556,0.00269,0.008084,0.003838,0.003757,0.003253,0.002963,0.000636,1.6e-05,-0.000351,7.2e-05,0.000607,0.004673,0.001115,0.004532,-0.00046,0.001224,0.000394,0.00016,-0.003018,-0.002204,-0.001105,-0.000463,0.000378,7e-05,-0.000111,-3e-06,8e-06,0.000398,0.000737
3.984529,0.811778,1.230741,-0.054397,1.118418,-0.019721,-0.21712,1.174438,1.030028,4.552942,-0.173182,-0.139431,0.110373,0.07318,0.083017,0.073621,0.034465,0.029615,0.010378,-0.000467,0.028115,-0.010177,0.033021,-0.001184,0.035391,0.035549,0.034624,0.031216,0.0716,0.071967,-0.332533,-0.021532,-0.020984,0.108361,0.068249,0.106882,0.071042,0.20816,0.003021,-1.044903,0.340524,0.333519,0.417144,0.391912,0.209268,0.347943,0.475104,0.340414,0.26107,0.296614,-0.017068,-0.000849,-0.033597,-0.033067,0.003221,-0.00022,0.000609,0.000528,0.000303,-0.041148,1.557588,0.321659,0.209218,0.199608,0.29647,0.133998,0.188448,0.384061,0.258942,0.321238,0.017086,-0.034805,-0.034222,0.000886,-0.034291,0.00049,-0.03527,1.121122,-0.032586,-0.034657,-0.035195,-0.070903,-0.03631,-0.037298,-0.034827,-0.032619,0.000186,-0.351284,0.045177,-0.226757,-0.050305,0.007195,-0.152537,0.040112,-1.6e-05,0.037125,0.003866,0.000794,-0.338378,0.009544,-0.318428,-0.190947,-0.000342,-0.365241,-0.220569,-0.330984,-1.508293,-0.070398,-0.033196,-0.133131,-1.343083,0.011486,0.006304,0.010959,0.002932,0.001163,-0.034529,0.009561,-0.033967,-5.4e-05,-0.034778,-0.034564,4.058652,0.000549,0.033935,0.373617,0.000528,-0.000774,-0.027184,-0.08399,0.009882,0.01264,-0.083076,0.312703
