0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
-0.001863,0.006404,0.006513,0.006176,0.014367,0.014551,0.022847,0.02306,0.031391,0.031275,0.031271,0.039337,0.039419,0.031953,0.032001,0.02402,0.024028,0.024017,0.023998,0.015922,0.008463,0.015851,0.015905,0.008451,0.008453,0.007964,0.01648,0.00852,0.008532,0.008025,0.008042,7.6e-05,0.008057,5.5e-05,4.9e-05,0.008042,0.00805,0.008065,6.2e-05,7.1e-05,0.000631,6.2e-05,0.000622,6.1e-05,-0.007994,1.3e-05,-1.7e-05,0.000516,0.000524,-8e-06,1.4e-05,2.1e-05,6e-06,-2e-05,0.0,-0.008035,-2e-06,0.0,1.7e-05,0.0,-1e-05,0.00056,0.008034,1.7e-05,3.1e-05,4e-05,5.5e-05,3.8e-05,2.7e-05,3.1e-05,2e-05,2.6e-05,3.7e-05,4.1e-05,5.1e-05,3.7e-05,3.5e-05,3.7e-05,4.8e-05,5.9e-05,3.8e-05,5.5e-05,3.5e-05,4.3e-05,4.9e-05,4.7e-05,-0.000519,4.9e-05,2.6e-05,1.5e-05,1.2e-05,8e-06,1.9e-05,1.2e-05,3.7e-05,9.8e-05,0.000103,0.000122,-0.000374,-0.007968,-0.007828,-0.007842,-0.008401,-0.000263,-0.008444,-0.008499,-0.008014,-0.008053,-0.019595,-0.019462,-0.019237,-0.027403,-0.027213,-0.018872,-0.018326,-0.00085,-0.007773,0.009177,0.009695,0.018514,0.019171,0.011581,0.013077,0.005116,0.005424,0.005784,0.005178,0.011435,0.010008,0.009088,0.023719,0.03109,0.031131,0.038988,0.046866,0.039685,0.032032,0.032134,0.032809,0.032834,0.025064
0.032587,0.026272,0.027406,0.032942,0.027225,0.020982,0.014458,0.008799,0.002026,0.001426,0.001173,0.001946,0.002996,-0.000665,-8e-06,0.001298,0.002617,0.002905,0.004189,0.004494,-0.000734,0.005013,0.0046,-0.002594,-0.002925,0.000622,-0.005419,-0.005742,-0.006058,-0.001426,-0.001714,-0.002854,-0.001743,-0.001944,-0.001579,-0.000728,-0.000801,-0.001192,-0.001844,-0.002074,-0.007702,-0.00177,-0.007356,-0.001733,-0.001708,-0.000338,0.000525,-0.004337,-0.004606,0.000177,-0.00044,-0.000628,-0.000178,0.000572,4e-06,-0.000641,4e-06,2e-06,-0.000481,-1e-06,0.000299,-0.0055,0.000621,-0.0005,-0.000878,-0.001129,-0.001526,-0.001025,-0.00069,-0.00081,-0.000502,-0.000652,-0.000976,-0.001055,-0.001281,-0.000954,-0.0009,-0.000882,-0.001271,-0.001558,-0.000964,-0.001419,-0.000884,-0.001091,-0.001211,-0.001144,0.004286,-0.001233,-0.000606,-0.000375,-0.000286,-0.000207,-0.00047,-0.000304,-0.000962,-0.002592,-0.0027,-0.00362,0.000283,-0.008395,-0.009504,-0.010573,-0.006022,-0.005529,-0.006249,-0.006948,-0.012585,-0.012274,0.031169,0.032879,0.036202,0.037182,0.038098,0.038764,0.033495,0.026572,0.020757,0.024832,0.02346,0.019001,0.012148,0.00758,-0.014068,-0.015716,-0.024566,-0.033467,-0.035742,-0.029305,-0.023802,-0.016514,-0.008854,-0.003222,-0.003802,-0.0024,-0.001621,-0.008625,-0.00962,-0.008987,-0.013831,-0.013223,-0.013419
-0.02554,-0.023143,-0.021879,-0.026007,-0.022521,-0.019337,-0.017538,-0.013513,-0.012023,-0.01299,-0.013447,-0.013298,-0.012022,-0.004517,-0.003451,-0.000929,0.000928,0.001316,0.003107,0.00471,0.010036,0.005417,0.00456,0.007288,0.006805,-0.000176,0.002143,0.002725,0.002265,-0.003156,-0.003582,-0.004142,-0.003642,-0.002837,-0.002308,-0.002191,-0.002311,-0.00289,-0.002708,-0.003054,0.000908,-0.002614,0.001411,-0.00257,-0.001365,-0.000501,0.000778,0.00588,0.005477,0.000258,-0.000656,-0.000934,-0.000266,0.000846,7e-06,0.000222,7e-06,6e-06,-0.000711,-3e-06,0.000442,0.004152,-0.000259,-0.000742,-0.001303,-0.001677,-0.002267,-0.001524,-0.001027,-0.001207,-0.000749,-0.000971,-0.001456,-0.001577,-0.001916,-0.001432,-0.001353,-0.001326,-0.001911,-0.002347,-0.001453,-0.002144,-0.001337,-0.001651,-0.001833,-0.001734,-0.005996,-0.001872,-0.000921,-0.000571,-0.000435,-0.000316,-0.000714,-0.000463,-0.001465,-0.003953,-0.004125,-0.005538,-0.012206,-0.011562,-0.013613,-0.015419,-0.021304,-0.022011,-0.021823,-0.023449,-0.019783,-0.019398,-0.026255,-0.023279,-0.017666,-0.0145,-0.013328,-0.013373,-0.008615,0.005202,0.023508,0.041541,0.052042,0.068296,0.080824,0.085893,0.100172,0.09613,0.093694,0.092585,0.077343,0.050881,0.024598,0.011648,-0.002527,-0.007487,-0.008284,-0.007595,-0.007767,-0.00469,-0.005193,-0.00457,0.000262,0.000979,0.001705
0.533259,-0.624813,-1.568096,-1.612653,-0.330901,0.409792,-1.849992,-0.102273,-2.03368,-0.603842,-0.01983,-0.183338,0.397075,-0.171209,-1.811357,0.448782,-0.658632,-0.555115,0.134088,-2.016352,-0.077633,-1.834052,0.250521,0.027246,-0.054506,0.484591,0.067469,-0.048648,-0.037936,0.433955,-0.016134,-0.003859,0.002541,-0.012451,-0.000221,0.002676,-0.014605,-5.7e-05,0.000177,-0.001943,-0.040244,-0.000191,-0.029199,-0.05929,-0.00201,3.9e-05,-0.012875,-0.036443,-0.036459,-9e-06,-1.2e-05,-1.6e-05,-2e-05,0.001861,-1.2e-05,-0.002059,0.001301,0.113319,-0.001905,-0.000208,3.8e-05,-0.036431,0.002061,-0.001869,-0.001877,-1e-05,-0.419543,0.003245,-7e-06,-5.3e-05,-5.4e-05,-4.5e-05,-3.2e-05,-3.2e-05,-2.6e-05,0.004667,0.00058,-1.6e-05,-0.074405,0.008547,-0.012789,-0.019933,0.001233,7.1e-05,-0.007202,0.000798,-0.005743,-0.013493,-0.027996,0.001203,4.8e-05,-8.7e-05,-6.6e-05,-6.7e-05,-0.291472,0.005033,-0.049428,0.458907,-0.416043,1.841603,-0.43336,0.359912,0.59243,-0.123,2.437457,-0.546596,-0.231732,-0.249641,0.485335,0.621781,3.226104,1.367092,3.750598,5.02294,4.916315,5.278974,1.226743,1.209977,-0.061837,-1.410973,-6.054586,-5.398445,-1.09602,-0.803666,-0.113922,-0.127217,0.031027,0.271888,0.606755,0.00544,-0.100957,-0.165833,-0.100492,-0.246466,0.637483,0.015162,0.154513,-0.061408,-0.09441,-0.092862,0.500377
2.432013,0.45511,-2.950787,-2.966256,-0.940822,1.036131,-2.71202,-0.302811,-2.746542,-0.867661,-0.119031,-1.164233,-0.53274,-0.294699,-2.731227,-0.407294,-0.766292,-0.821811,-0.065525,-2.372375,-0.023567,-2.414204,-0.453999,-0.07738,-0.010201,-0.36375,-0.419039,-0.003522,-0.007273,-0.330296,0.10451,0.014757,-0.014643,0.102061,0.000788,-0.014062,0.10053,0.000128,0.000264,0.015138,0.019575,-0.000527,0.003292,-0.052971,0.015278,5e-05,0.101467,0.009186,0.00918,2.4e-05,9e-06,7e-06,3e-06,-0.014657,1e-06,0.015219,0.002776,-0.001029,0.001312,0.000219,4.1e-05,0.009113,-0.015198,0.014673,0.014666,9e-06,0.36112,-0.002189,-6.4e-05,-3e-05,-2.3e-05,-2.2e-05,-1e-06,-1.1e-05,-2e-06,-0.003156,-0.000502,1.7e-05,0.065019,0.007931,0.100993,0.034913,-0.000967,-0.000179,0.101759,-0.000612,0.04401,0.114977,0.028447,-0.000975,-0.000191,-5.6e-05,-3.5e-05,-2.5e-05,0.238082,0.017823,0.064899,0.882568,0.77425,2.757674,0.722139,1.037176,1.042451,0.23113,2.774531,0.56987,0.195697,0.635278,0.253903,-0.257497,2.898152,1.632418,3.185971,3.881589,3.64044,2.68393,1.022456,0.834532,0.329555,-0.204863,-1.60437,-1.078133,3.663372,1.275258,0.062901,-0.622285,-1.424628,-0.999346,1.393918,0.161749,0.402286,0.578225,0.381199,0.641012,1.454473,0.199421,0.575429,0.161467,0.176814,0.160845,1.57676
-0.733045,0.724688,-4.13902,-4.108433,-1.251232,-2.684945,-4.465693,-0.29673,-4.444432,-1.256612,-0.027902,-1.469294,-0.726482,-0.331511,-4.503373,-0.160448,-1.254682,-1.339473,-0.130938,-4.555956,0.002495,-4.666017,-0.713891,-0.01438,0.037048,-0.197314,-0.52528,0.020599,0.01625,-0.224221,-0.163113,-0.026257,0.030471,-0.169516,0.000419,0.029439,-0.168493,0.00526,0.000514,-0.024162,-0.04042,0.000659,-0.019999,-0.127796,-0.029093,0.000119,-0.170493,-0.018878,-0.01889,2.3e-05,1.6e-05,1e-05,1.2e-05,0.024736,1e-06,-0.029252,-0.001863,-0.239886,0.0007,0.000197,7.6e-05,-0.018914,0.029295,-0.024707,-0.024716,1.6e-05,0.212636,-0.001088,-0.000126,-9e-05,-5.2e-05,-3.4e-05,-4.2e-05,-2.1e-05,-1.5e-05,-0.001516,-0.000335,-1e-06,0.046018,-0.027653,-0.170895,-0.006999,-0.000593,-0.000212,-0.166104,-0.000369,0.023539,-0.195978,0.022946,-0.000637,-0.000239,-0.000127,-8.7e-05,-7.1e-05,0.152621,-0.015879,0.015836,1.497459,0.737826,4.818466,0.83039,1.607517,1.632133,0.351645,4.336308,0.528633,0.204538,0.671668,0.358784,-0.353587,3.917689,0.529802,3.882622,4.782756,3.989059,3.924067,0.617664,0.939183,-0.445294,-1.333541,-4.133954,-3.165296,-1.742572,-0.692628,-1.465959,-0.960064,-0.360302,-0.698072,-2.627505,-0.679027,-0.623803,-0.236652,-0.153495,0.305099,-2.063276,-0.299947,-0.840748,-0.283975,-0.316246,-0.289689,-2.384624
-0.000287,-0.000404,-0.000643,-0.000704,-0.000935,-0.000955,-0.000913,0.007436,0.007596,0.007536,-0.000684,0.007607,-0.00051,-0.000304,9.1e-05,-0.007264,-0.007406,-0.007496,-0.007893,-0.016302,-0.008219,-0.000136,-6.7e-05,0.00025,-0.007808,0.000731,-0.006939,-0.006632,-0.006439,-0.005953,-0.005476,-0.005214,-0.012859,-0.020642,-0.020395,-0.020472,-0.027547,-0.027208,-0.027155,-0.034281,-0.034198,-0.027041,-0.020347,-0.01347,-0.014288,-0.014722,-0.015325,-0.008021,-0.007736,-0.000463,-0.008107,-0.008332,-0.000753,-0.000654,-0.000268,-0.000511,-0.000259,-0.000473,-0.000616,-0.00067,-0.000511,-0.000341,-0.000296,1.4e-05,0.000215,-0.000261,4.3e-05,-0.007893,-0.007967,-0.007627,-0.007623,-0.007621,-0.007596,0.000126,1.2e-05,-0.007591,2.6e-05,-0.007523,-0.007466,-0.00731,0.000372,0.000319,0.000245,0.000312,0.000152,-0.000383,-0.000382,-2.1e-05,3.4e-05,-0.00037,2.6e-05,-2e-06,0.000435,0.000145,0.000275,0.00037,0.008081,0.000687,0.008611,0.008736,0.01625,0.016452,0.008766,0.016304,0.016185,0.016221,0.016022,0.016008,0.021354,0.013464,0.013657,0.013691,0.013783,0.014011,0.01413,-0.001032,0.007125,-0.000284,-0.000268,-0.000139,-0.007738,0.0001,7.4e-05,0.007839,3.9e-05,1.4e-05,-0.00012,5.6e-05,2.3e-05,3.8e-05,8.1e-05,8.9e-05,0.000108,0.000162,0.000219,0.000137,0.000297,0.000282,0.000251,0.000191,0.000328
0.003293,0.007678,0.006247,0.010947,0.00957,0.014552,0.01483,0.019649,0.025871,0.025664,0.031877,0.031587,0.033289,0.029372,0.021647,0.016754,0.010575,0.009994,0.002354,0.001638,0.000421,-0.000768,-0.000401,0.006571,0.007868,0.01444,0.02287,0.024348,0.025285,0.032716,0.034962,0.036174,0.03805,0.033668,0.033863,0.027964,0.031289,0.022147,0.017052,0.024114,0.023023,0.014828,0.00913,0.009275,0.00552,0.00361,0.001019,-0.000988,0.004656,-0.001928,-0.001277,-0.002147,-0.003064,-0.002661,0.003322,-0.002081,0.00337,-0.002059,-0.002503,-0.002719,-0.002076,-0.001393,-0.001197,4.9e-05,0.000866,-0.005483,0.000186,-0.004619,-0.0049,0.000899,0.000915,0.000927,0.001027,0.000495,4.2e-05,0.001043,9.7e-05,0.001307,0.001525,0.002127,0.001444,0.001235,0.00095,0.00121,0.000598,-0.005878,-0.005866,-7.3e-05,0.000136,-0.005819,-1.1e-05,-3e-06,0.006083,0.000556,0.001066,0.001435,0.000903,0.002681,0.003056,0.003638,0.002482,0.003455,0.004045,0.003058,0.002789,0.003118,0.002409,0.00245,-0.014691,-0.021112,-0.015694,-0.015761,-0.015708,-0.014761,-0.014203,-0.011591,-0.004479,0.003035,0.003259,-0.000906,0.000574,0.000621,0.000448,4.5e-05,0.000261,7.9e-05,-0.000236,0.000355,0.000141,0.000238,0.000506,0.000559,0.000674,0.001074,0.001391,-0.004146,0.001894,-0.003208,-0.003383,-0.003753,-0.002884
-0.007697,-0.013654,-0.016003,-0.021478,-0.023816,-0.028948,-0.028634,-0.033714,-0.036865,-0.037402,-0.040789,-0.041199,-0.038735,-0.031885,-0.017594,0.001237,0.00427,0.003237,0.003764,0.00217,0.000395,-0.001318,-0.000691,-0.002408,-0.000523,-0.002597,-0.00223,0.000205,0.00173,0.000555,0.004052,0.005895,0.008222,0.013473,0.013344,0.016726,0.020918,0.031475,0.03589,0.032751,0.030422,0.030942,0.023046,0.011792,0.006587,0.003968,0.000424,-0.001831,-0.00579,-0.002622,-0.002258,-0.003465,-0.004199,-0.003659,-0.007156,-0.002879,-0.007107,-0.00288,-0.003492,-0.003797,-0.002903,-0.001951,-0.001677,7.1e-05,0.001215,0.004189,0.000263,0.004834,0.004436,0.000691,0.000709,0.000721,0.000856,0.0007,6.3e-05,0.000865,0.000141,0.001232,0.001535,0.002374,0.002021,0.001727,0.001326,0.001687,0.000834,0.003633,0.00365,-0.000102,0.000193,0.003715,-2.5e-05,-0.0,-0.003349,0.000775,0.00148,0.001992,0.00184,0.003707,0.00478,0.00554,0.004486,0.005754,0.005979,0.005073,0.004691,0.005067,0.004062,0.004089,-0.007377,-0.004812,-0.009212,-0.009369,-0.009431,-0.008248,-0.007524,-0.004345,-0.006103,-0.007668,-0.007348,-0.001274,0.000617,0.000887,0.00064,0.000271,0.000359,0.000112,-0.000513,0.000502,0.000201,0.000339,0.000719,0.000792,0.000954,0.001499,0.00196,0.006091,0.00266,0.007399,0.007141,0.006625,0.007828
0.038784,0.070272,0.054569,0.109941,-0.031065,-0.071308,-0.122314,-0.157035,-0.179349,-0.194823,-0.169075,-0.158572,1.811344,0.181948,4.818557,-0.214707,-0.056908,-0.049622,-0.101714,-0.010344,-0.010334,-0.00506,-0.0018,0.028674,0.033467,0.070964,0.1022,0.106681,0.102979,0.139054,0.139871,0.136348,0.134499,0.099123,0.267674,0.239558,0.334832,0.108889,0.250912,0.238344,0.501508,0.392039,0.045921,-0.022152,-0.004721,0.000242,-0.002856,-0.002327,0.024308,0.02329,-0.000322,0.00281,-0.001476,0.42953,0.037866,0.001663,0.035905,1.197102,-0.000827,-0.001129,-0.000697,-0.001254,-0.00068,-0.000478,-0.000186,-0.034946,-0.000104,-0.035867,-0.039368,-0.0041,-0.001993,-0.006653,0.112384,-0.000109,9e-06,-0.000957,1.6e-05,-0.000975,-0.000979,0.054829,-0.000454,-0.006527,-0.002252,-0.008293,0.217026,0.140641,0.047838,0.245658,-0.01376,-0.029913,-0.980869,0.004145,0.035822,0.001261,0.000584,0.002503,0.001985,0.001223,0.004482,-0.041552,0.002273,-0.020878,0.010304,-0.951918,-0.029358,0.002269,-0.307229,0.00392,-0.032773,0.053033,1.305539,-0.034125,-0.035301,0.000868,-0.043469,-0.064727,-0.241316,0.476814,-0.31854,0.020301,-0.151909,-0.089064,-0.23969,-0.030386,1.243058,0.020801,4.784318,-0.000998,-0.002044,-0.001146,0.024314,-0.213514,-0.109394,1.478455,-0.000898,-0.036167,-0.000652,-0.035139,-0.035332,-0.03584,-0.035297
