0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0011,-6e-06,-8.3e-05,-3.5e-05,-0.000314,-0.000674,-0.008348,-0.00718,-0.014394,-0.014489,-0.019799,-0.027197,-0.027157,-0.02704,-0.026362,-0.019763,-0.009415,0.00731,0.013315,0.019049,0.018847,0.025679,0.034621,0.045337,0.048033,0.042164,0.036956,0.023231,0.016925,0.009828,-0.003658,-0.003723,-0.00507
-0.005864,2.1e-05,0.000338,0.000142,0.001279,0.002744,0.007285,0.00117,0.003916,0.006,-0.002156,0.001422,0.001421,0.000775,-0.002423,-0.001459,0.017883,0.038368,0.042025,0.046084,0.044647,0.042399,0.027587,0.003357,-0.013283,-0.018186,-0.026854,-0.026204,-0.02794,-0.023688,-0.020836,-0.017442,-0.009432
0.003737,1.6e-05,0.000282,0.000119,0.001066,0.002285,-0.001665,0.001861,-0.003569,-0.010469,-0.00774,-0.012508,-0.012522,-0.013111,-0.015789,-0.015915,-0.027286,-0.029722,-0.027402,-0.024642,-0.017108,-0.011259,0.000959,0.022142,0.042027,0.04736,0.057907,0.060178,0.059642,0.047167,0.034464,0.020543,0.010137
-0.051658,-0.000115,-6.9e-05,-0.00085,0.008591,-0.018103,0.024422,-1.355313,-0.12119,-5.576473,-0.393416,-0.390015,-4.483726,-0.337867,-4.788185,-0.268554,1.340762,-1.160198,0.122964,-0.024699,-0.222792,-1.521485,0.067275,0.159328,0.138183,-4.422001,-0.054811,-0.428556,-0.176621,-0.293638,-0.242734,-0.126994,0.474048
0.109889,2e-06,7e-06,-0.001229,-0.005954,0.100859,-0.004475,-0.06251,0.072538,-2.007225,0.124739,0.148712,-0.178772,0.04381,-0.039453,0.227516,1.790239,0.059234,0.301805,0.668091,0.975064,0.538154,0.060964,-0.605263,-1.080526,-0.480302,-0.496012,-0.069572,-0.344929,0.208443,0.243044,0.152422,0.022962
-0.189404,-3.9e-05,-4.5e-05,0.001205,0.015629,-0.164278,0.010094,-1.049218,-0.065134,-1.621019,-0.542685,-0.590117,-3.475386,-0.395749,-3.714658,-0.573771,-1.726675,-0.91595,0.223772,0.351347,0.57218,-0.541529,-0.086206,-0.389343,-1.142195,-4.206295,-1.191316,-0.892944,-1.160997,-0.578271,-0.400644,-0.29854,0.084793
0.007571,0.020112,0.021294,0.0144,0.014132,0.027398,0.021368,0.022026,0.029129,0.03728,0.038767,0.038556,0.031453,0.031063,0.030264,0.023592,0.016035,0.014573,0.000648,0.000785,0.0017,0.002043,0.002237,0.010406,0.009687,0.016752,0.016446,0.010223,0.01033,0.009403,0.002419,-0.003646,-0.003848
-0.000246,-0.010623,-0.004084,-0.005905,-0.006557,-0.011274,-0.007479,-0.005772,-0.006913,-0.001421,0.006811,0.002753,0.004424,0.003822,-0.001916,0.004377,0.003932,-0.000485,0.001969,0.002544,0.005289,0.010174,0.010854,0.02108,0.015127,0.01836,0.017616,0.021028,0.021448,0.014771,0.01164,0.015176,0.014478
0.000311,0.001152,-0.002171,0.004897,0.004289,0.000837,0.003878,0.005403,0.004766,0.000833,-0.00113,0.004339,0.005286,0.004626,0.008583,0.004587,0.003911,0.000123,0.001659,0.002097,0.004488,-0.000324,0.000192,-0.008739,-0.004868,-0.010794,-0.011423,-0.00883,-0.008488,-0.00521,0.000755,0.003406,0.002823
0.029166,0.079945,0.000551,0.088718,0.283151,-5.044224,0.043227,0.123255,-0.005244,0.040515,0.102496,0.095653,0.128172,0.115515,-0.285615,-4.288192,0.051975,-1.028487,-0.121107,-3.462171,-0.271648,0.078524,-2.86232,0.063534,-0.116693,0.045506,0.101731,0.008512,0.057557,-0.107214,-0.19653,0.024292,0.050464
-0.006631,0.480091,-0.06838,0.436746,-0.362214,0.331112,0.223816,0.664884,-0.036338,0.128258,0.299194,0.512972,0.851604,0.855061,1.269372,0.340148,1.561484,1.231314,2.043904,-0.417683,0.841079,1.345146,-0.393047,0.535675,-0.25973,0.017985,0.128299,-0.097566,0.056501,-0.1655,-0.380283,0.038563,0.083648
0.283186,0.330809,0.108922,0.523205,0.83659,2.609304,0.452044,0.6764,0.356178,0.281568,0.425361,0.541132,0.644125,0.639011,1.148988,3.99307,1.008828,2.007619,1.478308,4.54612,0.198745,-0.149107,3.680921,-1.106351,-0.89518,-0.485063,-0.213146,-0.571734,-0.460629,-0.277015,-0.425395,-0.139824,-0.12584
