0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
-2.4e-05,0.004961,-9.6e-05,0.005038,-0.000466,0.006243,0.000708,0.000735,0.005897,0.006149,0.006277,0.012277,0.006849,0.011678,0.011771,0.011644,0.005139,-0.001592,0.004424,0.003614,0.004268,-0.001005,-0.001494,-0.007178,-0.008182,-0.007172,-0.006559,-0.013286,-0.013476,-0.013834,-0.01427,-0.014418,-0.014348,-0.013382,-0.018977,-0.018271,-0.018691,-0.018668,-0.018711,-0.018773,-0.018706,-0.012066,-0.011881,-0.01167,-0.011663,-0.011655,-0.005996,-0.011681,-0.006058,-0.00611,-0.006061,-0.006106,-0.006107,-0.006066,-0.005986,-0.000233,0.000436,-0.005213,0.000518,-0.000106,-3.3e-05,-0.000125,-9e-05,-0.000156,-0.00578,-0.00568,-0.005694,-5.1e-05,-0.005764,-0.005729,-0.005779,-0.005752,-2.3e-05,-0.00575,-7.4e-05,3e-06,-5.3e-05,-1.9e-05,-9e-06,-1.1e-05,4e-06,1e-05,-0.0,1.2e-05,3.8e-05,-0.005605,1.9e-05,2.5e-05,-4e-05,-0.0056,-0.005679,-9e-06,-0.005652,-7.2e-05,4.3e-05,-0.005651,-1e-06,-7e-05,1e-06,-2e-06,-2e-06,-8.1e-05,0.000656,0.000211,0.000843,0.00599,0.0005,0.006271,0.006269,0.006417,0.012358,0.018025,0.024257,0.024445,0.024562,0.024797,0.025252,0.025712,0.031053,0.031931,0.037445,0.037607,0.031413,0.037219,0.03043,0.024329,0.030569,0.023327,0.023233,0.017049,0.017061,0.016613,0.016469,0.02227,0.017518,0.017744,0.02398,0.023971,0.01817,0.024101,0.017752,0.023137,0.017104,0.016831,0.01106,0.005364,0.005929,0.006861,0.000866,0.000731,0.000934,-0.003573,0.002075,-0.003505,0.000983,0.000391
0.000201,0.006396,0.000691,0.005849,0.003395,-0.002486,-0.004707,-0.004881,0.000192,-0.001401,-0.00218,-0.00265,-0.005533,0.002493,0.002078,0.003698,0.007777,0.012931,0.012278,0.017697,0.013272,0.008435,0.011321,0.008856,0.015339,0.008219,0.004053,0.009137,0.010378,0.01284,0.015938,0.017094,0.017137,0.01093,0.009394,0.004584,0.00804,0.008323,0.008866,0.009893,0.009918,0.003828,0.002425,0.00081,0.000867,0.00084,0.001962,0.001302,0.002704,0.003259,0.002896,0.003451,0.003511,0.00322,0.002519,0.002309,-0.003315,-0.004049,-0.004135,0.001056,0.00032,0.001252,0.000899,0.001557,0.000644,-0.000352,-0.000214,0.000523,0.000542,0.000198,0.000738,0.000475,0.000238,0.000488,0.000805,-3.3e-05,0.000562,0.000199,9.6e-05,0.000116,-3.3e-05,-0.000119,0.0,-0.000131,-0.00041,-0.001072,-0.000212,-0.000267,0.000441,-0.001135,-0.00026,0.0001,-0.000559,0.000813,-0.000491,-0.000559,1.7e-05,0.000802,-1e-05,-4e-06,9e-06,0.000897,-0.005866,-0.002417,-0.007962,-0.003136,-0.005564,-0.006057,-0.005836,-0.007191,-0.008791,-0.00748,-0.010143,-0.010985,-0.011539,-0.012514,-0.015037,-0.017216,-0.012332,-0.016956,-0.011994,-0.012064,-0.009083,-0.006576,-0.000585,3.5e-05,-0.001228,0.006053,0.006583,0.007069,0.006964,0.00905,0.009665,0.010861,0.003522,0.002506,0.00203,0.002221,0.000917,0.001898,0.002815,0.00588,0.005481,0.006347,0.004781,0.00301,-0.000582,-0.005535,-0.006182,-0.00569,-0.00646,-0.014147,-0.012215,-0.014459,-0.006672,-0.004421
7.8e-05,-0.004777,0.00027,-0.004984,-0.005648,-0.001262,-0.001841,-0.001916,-0.007201,-0.007839,-0.008159,-0.008663,-0.009553,-0.02068,-0.020869,-0.027278,-0.03233,-0.036882,-0.030379,-0.035046,-0.029853,-0.024563,-0.023252,-0.01691,-0.021061,-0.010097,-0.004892,-0.009313,-0.00875,-0.007639,-0.006266,-0.00576,-0.005759,-0.001523,-0.001877,0.002971,-0.002476,-0.002359,-0.002135,-0.001713,-0.001718,0.002255,0.001671,0.000999,0.001023,0.00101,0.001143,0.001195,0.001442,0.001667,0.001512,0.001731,0.001752,0.001629,0.001341,0.00093,0.005451,0.00548,0.005119,0.000423,0.000128,0.000498,0.000359,0.000619,0.000581,0.000185,0.000239,0.000211,0.000542,0.000406,0.00062,0.000515,9.9e-05,0.00052,0.000322,-1e-05,0.000222,7.9e-05,3.8e-05,4.7e-05,-1.3e-05,-4.7e-05,-0.0,-5.3e-05,-0.000162,-9.8e-05,-8.1e-05,-0.000105,0.000176,-0.000122,0.000224,4e-05,0.000106,0.000321,-0.000191,0.000109,1.2e-05,0.000322,-1e-06,-3e-06,4e-06,0.000351,0.004436,-0.000955,0.00361,-0.001575,-0.002215,-0.00275,-0.002677,-0.003244,-0.004257,-0.004075,0.001302,0.000931,0.000688,0.000245,-0.000867,-0.001873,-0.007095,-0.002237,-0.007487,-0.007576,-0.005957,-0.005219,-0.009222,-0.008586,-0.002428,-0.005757,-0.0055,-0.004894,-0.004934,-0.00393,-0.003632,-0.003412,0.000582,9.8e-05,-0.000486,-0.00039,-0.000659,-0.000547,0.000256,0.001382,0.001569,0.001976,0.001579,0.001084,0.006507,0.011281,0.011327,0.011566,0.01121,0.01507,0.015661,0.014971,0.011178,0.012248
0.012446,0.047436,0.006772,-0.011596,-0.241304,0.067302,-0.017946,-0.278697,0.008459,-0.020782,-0.184711,0.03227,-0.04557,0.052209,-0.120177,-0.186934,-0.20853,-0.130356,-0.008041,0.106291,-0.472599,-1.694148,-0.025165,0.12478,0.141047,-1.755915,0.032086,0.073542,0.074126,0.086072,0.082321,0.073315,0.072725,0.037519,-1.767657,0.004537,-1.769321,0.024464,-0.014156,0.034564,0.03139,-0.00254,-0.002565,-0.004255,0.001268,-0.003677,0.005358,-0.003149,-0.001971,-0.000515,-0.012334,-0.000497,-0.000556,0.000517,-0.000524,-0.000119,-0.036266,-0.037267,-0.036201,-4.4e-05,-3.4e-05,0.001576,-1.7e-05,-2e-05,-0.002059,-0.001511,0.189437,-0.001916,-0.002035,-0.002017,-0.002024,-0.00065,-2e-06,-0.002083,-3e-05,-1.7e-05,-9e-06,-4.4e-05,-4.3e-05,-3.5e-05,-3e-05,-1.8e-05,-9e-06,-1.8e-05,-9e-06,-0.002051,-6e-06,0.0,-2e-06,-0.002047,-0.002047,-3e-06,-0.002052,0.001615,-7e-06,-0.002054,-1.3e-05,-5e-06,-9e-06,1e-06,-7e-06,6e-06,-0.036215,-1.4e-05,-0.037831,0.000425,-0.006966,0.003449,-0.008858,-0.004823,0.183386,0.184227,0.14985,0.14457,0.147465,0.141758,-0.032047,0.111513,0.574855,-0.053079,0.000489,-0.00993,-0.007621,-0.002381,0.033543,0.048498,-0.171923,-0.071132,-0.001091,-0.138828,-0.241826,-0.01051,-0.041414,0.050898,0.002399,0.005585,-0.008711,0.000459,0.005718,0.007264,-0.003151,0.575413,-3.66646,0.006462,1.704014,0.166855,-0.063646,-0.056306,0.12782,0.595723,0.145722,-0.057193,-0.100954,0.046563,-0.087355,-0.067699
-0.012011,-0.04227,-0.012434,0.077874,0.526715,0.249267,0.042457,0.538226,0.04656,0.102405,0.414108,-0.002977,0.156276,0.14631,0.417265,0.66833,0.786766,0.712934,0.40021,0.254094,-0.42815,-1.53603,-0.210188,-0.131744,0.002807,-1.58586,0.027912,0.029236,-0.056049,0.005204,-0.013211,-0.002146,0.001822,0.018803,-1.601922,0.029602,-1.601699,0.021746,-0.011666,0.032344,0.029328,0.018699,0.018674,0.030274,0.02233,0.030876,0.007418,0.031306,0.015331,0.003735,0.094226,0.003547,0.003566,0.004636,0.003715,-5.3e-05,0.005543,0.021642,0.005587,-8e-06,-1.3e-05,-0.011429,-1e-05,-1.8e-05,0.015213,0.015669,-0.324123,0.002826,0.015274,0.015229,0.015216,0.016319,1.5e-05,0.015184,-1.2e-05,-3e-06,0.0,-3.8e-05,-2.8e-05,-1.6e-05,-1.4e-05,-3e-06,-2e-06,-3e-06,-5e-06,0.015201,-5e-06,3e-06,1.5e-05,0.015216,0.015201,-4e-06,0.015221,-0.011436,-6e-06,0.015202,-2e-06,-0.0,1e-06,-6e-06,-2e-06,1e-06,0.005866,-4e-06,0.017259,-0.003806,0.00693,-0.089334,-0.011706,-0.008362,0.061762,0.033208,0.024838,0.032791,0.028812,0.036659,-0.02151,0.285943,0.651615,0.116185,0.000837,0.021625,0.0327,0.020211,0.010209,-0.058124,0.280362,0.14293,0.016238,0.344819,0.531023,0.102194,0.161403,-0.07653,-0.054403,-0.048547,-0.055129,-0.055859,-0.046476,-0.049157,-0.044893,0.491801,0.27134,-0.045751,1.63745,0.147248,-0.024371,-0.026017,-0.325233,0.393811,-0.321495,0.057542,0.111887,-0.222776,0.10056,-0.00483
-0.006651,0.073979,-0.003668,0.086065,0.208657,0.556313,-0.014084,0.160515,0.045118,0.065046,0.175408,0.031646,0.053679,-0.11002,0.23063,0.110339,0.148046,0.108129,0.034462,0.000743,0.565862,1.380356,0.379759,0.376648,0.058457,1.341609,-0.007409,-0.019004,0.170786,0.00206,0.032801,0.035997,0.035873,-0.013753,1.262465,-0.040844,1.263591,-0.030579,-0.007509,-0.042734,-0.040369,-0.0324,-0.032492,-0.058842,-0.035336,-0.059199,-0.002552,-0.059499,-0.029521,-0.003002,-0.210627,-0.003173,-0.003236,-0.003902,-0.00303,-0.000208,-0.020955,-0.050892,-0.020872,-6.9e-05,-4.7e-05,0.026366,-3.1e-05,-1.1e-05,-0.029262,-0.029794,-0.168889,0.000714,-0.029155,-0.029177,-0.0292,-0.030359,-7.8e-05,-0.029284,-2.3e-05,-2.2e-05,-2.6e-05,-0.000119,-7.5e-05,-6.4e-05,-3.8e-05,-3e-05,-2.3e-05,-1.6e-05,-1e-05,-0.029251,-2e-06,-9e-06,-7e-06,-0.029252,-0.029248,3e-06,-0.029241,0.026413,5e-06,-0.029243,-1e-06,-8e-06,-4e-06,-1e-05,-4e-06,-1.1e-05,-0.02062,-3e-06,-0.047063,0.002814,-0.022474,0.191165,0.009729,0.006784,0.063498,0.121278,0.130023,0.138922,0.104176,0.107634,0.01643,-0.469039,-0.72887,-0.318575,-0.089763,-0.108968,-0.1135,-0.086526,-0.068582,0.078442,0.250868,0.238153,0.147288,0.07678,0.130057,-0.043184,-0.014372,0.133226,0.073761,0.089563,0.087375,0.097023,0.089219,0.091524,0.07951,-0.346564,-4.024334,0.089139,-1.306118,-0.104447,0.00157,-0.017639,-0.177264,-0.525464,-0.412399,-0.503894,-0.408987,-0.426101,-0.213509,-0.012551
-5.6e-05,0.005334,0.005077,-0.000751,-0.006634,-0.006733,-0.006826,-0.006779,-0.012407,-0.012426,-0.012621,-0.018763,-0.024466,-0.030305,-0.024732,-0.030506,-0.02504,-0.030695,-0.030414,-0.035953,-0.036122,-0.03599,-0.041403,-0.035496,-0.029944,-0.029557,-0.029384,-0.023817,-0.023786,-0.023853,-0.0184,-0.018472,-0.01832,-0.018542,-0.019305,-0.019746,-0.020338,-0.020489,-0.014877,-0.020489,-0.019589,-0.019235,-0.018789,-0.018073,-0.017221,-0.016879,-0.016123,-0.009969,-0.010419,-0.004994,-0.010959,-0.005658,-0.005366,-0.011089,-0.011569,-0.005935,-0.005732,-0.01144,-0.011087,-0.010907,-0.011129,-0.011786,-0.011828,-0.011935,-0.011916,-0.012068,-0.018092,-0.018259,-0.012816,-0.013069,-0.007835,-0.008137,-0.007936,-0.00813,-0.00772,-0.007326,-0.007356,-0.001308,-0.005719,-0.005278,-0.005055,0.000502,0.001046,0.001301,-0.004042,-0.004062,0.001785,-0.004763,6e-05,0.000511,0.001148,0.001551,0.007169,0.001285,0.000534,0.005365,0.010179,0.010078,0.010112,0.010373,0.016024,0.020981,0.021571,0.022242,0.016679,0.022748,0.02848,0.028531,0.028072,0.033717,0.033916,0.027935,0.028226,0.033904,0.028325,0.033784,0.028596,0.029118,0.029006,0.02935,0.029511,0.029203,0.023485,0.023189,0.017421,0.017405,0.017442,0.011501,0.011181,0.005084,0.004656,-0.001213,0.004931,-0.001132,-0.001496,-0.001416,-0.001473,-0.00175,-0.001551,0.004629,0.004822,0.005031,-0.000933,0.005429,0.005953,0.005916,0.005691,0.005726,0.005755,-0.000294,0.005604,-0.000738,-0.000739,0.005627,-0.000272,-0.000131
-0.00048,0.001803,-0.000187,0.003166,0.006139,0.000965,0.004799,0.000789,0.001575,0.001647,0.004701,-0.0021,0.003031,0.003221,-0.001906,0.003123,0.001851,0.003177,0.001438,-0.000178,-0.000339,0.000658,-0.000242,0.000236,-0.001231,0.000812,0.001802,0.000356,0.000615,0.00051,-0.00143,-0.001618,-0.000881,-0.00519,-0.007695,-0.012784,-0.018285,-0.018337,-0.019916,-0.01777,-0.01081,-0.009421,-0.007843,-0.001763,0.001015,0.00209,0.004406,0.0041,0.002637,0.000205,0.000997,-0.005416,-0.000945,0.000589,-0.00085,-0.002649,0.00154,0.003125,0.004151,0.004656,0.003999,0.002111,0.002,-0.001838,0.001797,0.001424,-0.001366,0.001798,-0.000485,-0.001128,-0.004,-0.008289,-0.004162,-0.008186,-0.007053,-0.00244,-0.006045,-0.006943,0.00181,0.002961,0.003536,0.001322,0.002733,0.003395,0.006119,0.002506,0.004634,0.000685,-0.003354,0.001332,0.002967,0.003996,0.002044,0.0033,0.004894,0.000928,0.003937,0.007174,0.007209,0.007853,0.009497,0.002157,0.003673,0.001949,0.004086,0.003361,-0.001851,-0.001691,-0.003066,-0.005089,-0.004568,-0.003694,0.000764,-0.004891,0.000976,-0.005495,-0.001929,-7.5e-05,-0.004207,-0.006646,-0.006018,-0.011018,-0.005346,-0.006642,-0.004927,-0.001212,-0.00111,0.003793,-0.001527,0.002679,0.000673,0.001648,0.001871,-0.001365,-0.006886,-0.006503,-0.006736,-0.011878,-0.00708,-0.007417,-0.006594,-0.005686,-0.004281,-0.003921,-0.0054,-0.001669,-0.006644,-0.006501,-0.002451,-0.001344,-0.003226,-0.003515,-0.00352,-0.008116,-0.002182,-0.000586
-0.000146,-0.006545,-0.00715,-0.012615,-0.018185,-0.01298,-0.018589,-0.01304,-0.012494,-0.012466,-0.018303,-0.013371,-0.018226,-0.017861,-0.013039,-0.017896,-0.018639,-0.017879,-0.01162,-0.004988,-0.005029,-0.004672,0.002243,0.002115,0.001267,0.002014,0.002388,0.001561,0.001643,0.0016,0.000545,0.000473,0.000744,0.006138,0.005192,0.010284,0.015275,0.01521,0.014264,0.015432,0.011041,0.011575,0.01221,0.007483,0.008577,0.009,0.009902,0.009422,0.008834,0.007554,0.008229,0.012515,0.007121,0.008082,0.007537,0.006479,0.000968,0.001946,0.00234,0.002532,0.002287,0.001575,0.001535,0.00719,0.001447,0.001326,0.007766,0.001856,0.000597,0.000349,-0.001146,0.004332,-0.001239,0.004356,0.004791,-0.000585,0.005182,0.004453,0.001092,0.00155,0.001775,0.000527,0.001083,0.001342,0.002786,0.008557,0.001809,0.007832,0.00588,0.000518,0.001149,0.001544,0.000392,0.001265,-0.005285,-0.007199,-0.020741,-0.026637,-0.026599,-0.026321,-0.033186,-0.029255,-0.028627,-0.022132,-0.02091,-0.021526,-0.016796,-0.016719,-0.017258,-0.018397,-0.018162,-0.017471,-0.022766,-0.018262,-0.022637,-0.018469,-0.016653,-0.015849,-0.010431,-0.004288,-0.004008,0.001036,-0.003424,-0.003971,-0.002954,-0.008538,-0.008491,-0.013288,-0.008398,-0.013496,-0.014372,-0.013582,-0.013851,-0.007819,-0.003068,-0.002905,-0.003028,0.001876,-0.003216,-0.003628,-0.003272,-0.002866,-0.001982,-0.002061,0.004557,-0.001021,0.003975,0.004041,-0.001389,-0.000639,-0.001749,-0.001652,-0.001653,0.003437,-0.000904,-0.00028
0.004164,0.011345,0.166123,-0.098351,-0.021355,0.024267,-0.170574,-0.049088,0.753159,-0.065891,2.274278,-0.11696,0.039877,-0.08518,-0.13052,0.091273,0.101673,-0.054429,0.076898,0.027131,-0.242502,-1.04189,-0.109766,0.04064,0.004767,-0.008654,-0.009412,-3.356928,-3.205734,0.016299,0.109694,0.07363,-0.034535,-3.107686,0.238924,0.058433,-3.097771,0.060402,-0.018438,-0.105637,-0.065011,2.122361,-0.07968,-0.029274,-0.041797,-0.038797,-0.052512,-0.034996,2.161296,-0.034886,-0.040714,-0.060609,-0.036785,-0.034948,-0.042942,-0.044723,0.055405,-0.002142,0.000626,0.000622,-0.157579,-0.001008,-0.004486,-0.040681,2.178373,-0.003172,-0.038487,0.208869,0.017957,0.008214,0.073625,-0.024679,0.725184,-0.027567,0.01688,-0.005125,-0.037058,-0.007947,0.01002,0.009252,0.002681,0.113897,0.007845,-0.009679,0.002471,-0.920537,-0.005651,-0.037125,-0.038469,-0.004493,-4.3e-05,8.4e-05,0.004396,-0.017689,0.014662,0.25605,0.106687,0.094815,0.135794,-0.043262,0.200181,0.125946,0.149846,0.109863,0.111649,0.113844,0.077269,0.07871,0.094296,0.058988,-0.653955,0.075637,0.111254,-2.128157,0.110707,0.07652,0.074094,0.077323,0.040698,0.005041,0.003818,-0.032744,-8.9e-05,0.001175,0.002836,0.034656,0.060773,0.183406,0.031762,0.070636,0.042548,-3.138628,0.118857,-0.195491,0.051837,0.076622,0.037794,0.057378,0.158413,0.053397,0.109102,0.025157,0.087458,0.080424,-0.065547,0.04228,-0.053926,0.080199,-0.112115,-0.067416,0.065621,0.092203,0.062465,-1.676275,-1.292646,-0.018294
0.000434,-0.120049,-0.383117,-0.531289,-0.526925,-0.191176,-0.877462,-0.324017,-0.457084,-0.301137,-1.61551,-0.50138,-0.243656,-0.626516,-0.662504,-0.053113,-0.031035,-0.521367,0.013108,0.093187,0.068483,0.053199,0.111545,0.23239,0.029249,0.057803,0.068957,-0.089995,0.432212,0.017908,0.278316,0.174854,0.04143,0.320847,0.707024,0.278329,-0.249703,0.438778,0.186571,0.031735,0.026858,-0.946734,0.07668,0.006444,0.060831,0.059472,0.106514,0.036674,-1.012726,0.023503,0.039591,-0.005629,0.023581,0.037028,0.047305,0.033903,-0.012485,0.02953,0.021812,0.02182,-0.439507,0.032675,0.037516,0.046742,-1.059483,0.030015,0.060099,-0.06224,0.116798,-0.024936,0.132439,-0.013509,-0.343094,0.083057,0.086001,0.020464,0.021029,0.082854,0.034456,0.032737,0.016636,0.307887,-0.012724,-0.001342,0.001526,-0.262359,-0.024861,0.007002,-0.001356,-0.017283,-0.000505,-2.4e-05,-0.021991,0.042404,0.033546,-0.138269,-0.064947,-0.201992,-0.083086,-0.613365,-0.165142,-0.156675,-0.098924,-0.09957,-0.093684,-0.108879,-0.099037,-0.106803,-0.157318,-0.052253,0.232082,-0.096593,-0.111673,0.904678,-0.110584,-0.10432,-0.093993,-0.103376,-0.088162,-0.073579,-0.073072,-0.050229,-0.057195,-0.049227,-0.044054,-0.047589,0.07471,0.49565,-0.049258,-0.032509,-0.044126,-1.583924,0.206202,0.136731,0.304373,0.458728,0.086294,0.848218,0.806591,0.159898,0.585841,0.125247,0.602876,0.56126,0.17397,0.289588,0.220274,0.769028,0.186524,0.477926,0.349033,0.633821,0.380332,-1.32356,-1.54353,0.311037
