0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
0.006143,0.006113,0.006725,0.006782,0.006938,0.006392,0.007224,0.006785,0.006703,0.005843,0.005644,0.004848,0.004134,0.003903,-0.003041,-0.003981,-0.004115,-0.004258,-0.003683,-0.010368,-0.010263,-0.016253,-0.022963,-0.023186,-0.022666,-0.029005,-0.028887,-0.028949,-0.028026,-0.020833,-0.020716,-0.020514,-0.020395,-0.013778,-0.007202,-0.013468,-0.013365,-0.006939,-0.000443,-0.00103,-0.000103,-4.7e-05,-9.9e-05,9.6e-05,-2.2e-05,-8.6e-05,-7.9e-05,-9.7e-05,-1e-06,-1e-06,-3.2e-05,-0.000131,-9.4e-05,-0.000127,-0.000199,-0.000204,-0.000114,-5.7e-05,5e-06,0.0,-1e-06,-2e-06,1.6e-05,6.4e-05,5e-05,-1e-06,-1e-06,-0.0,3.8e-05,2.2e-05,9.5e-05,-0.006195,0.000101,9.3e-05,0.000838,0.00716,0.001501,-0.005481,0.000775,0.006522,0.007193,0.000267,0.000414,0.006208,0.000526,0.006895,0.007442,0.006858,0.006921,0.007139,0.013689,0.014435,0.013878,0.020451,0.020513,0.020627,0.027223,0.034491,0.033816,0.033961,0.034627,0.034584,0.027973,0.029237,0.02241,0.022801,0.016527,0.016204,0.009523,0.009365,0.009057,0.001351,0.001222,-0.000536,-0.001367,0.004442,-0.001622,-0.000716,-0.001229,-0.000161,0.000544,-0.005923,-0.005404,0.00163
0.004512,0.0047,0.000468,0.000149,-0.000734,0.003086,-0.002295,0.000969,0.00146,0.007047,0.008167,0.013309,0.017974,0.019167,0.019813,0.025688,0.02641,0.027197,0.023299,0.023012,0.022624,0.018132,0.018419,0.020302,0.017391,0.016113,0.01641,0.017784,0.012456,0.008257,0.008191,0.007485,0.006944,0.006381,0.005767,0.004663,0.003969,0.00416,0.003595,0.008036,0.000846,0.000385,0.000799,-0.000796,0.000174,0.000701,0.00064,0.000779,-5e-06,-8e-06,0.000253,0.001065,0.000761,0.001018,0.001606,0.001662,0.000916,0.000464,-4.9e-05,-1.4e-05,-5e-06,-4e-06,-0.000135,-0.000532,-0.000406,9e-06,8e-06,3e-06,-0.000316,-0.000178,-0.000768,-0.001672,-0.000824,-0.000765,-0.006475,-0.005773,-0.011552,-0.007323,-0.006011,-0.000814,-0.005849,-0.002168,-0.003326,0.001634,-0.004152,-0.003418,-0.007387,-0.002933,-0.003347,-0.004882,-0.00506,-0.010329,-0.005882,-0.00569,-0.005848,-0.006055,-0.005534,-0.009271,-0.00423,-0.004189,-0.007752,-0.007109,-0.006878,-0.01461,-0.013728,-0.016511,-0.019695,-0.018095,-0.018516,-0.017751,-0.016339,-0.011071,-0.010497,-0.00022,0.004692,0.010211,0.007063,0.001845,0.005352,-0.000565,-0.003647,-0.003599,-0.00589,-0.007152
-0.005792,-0.005672,-0.00031,-0.000515,-0.001093,-0.006726,-0.002116,-0.008116,-0.007797,-0.012272,-0.011532,-0.016281,-0.021322,-0.020502,-0.019418,-0.023636,-0.023111,-0.022545,-0.017002,-0.016551,-0.016782,-0.011065,-0.010285,-0.009082,-0.003025,-0.003294,-0.00317,-0.00238,0.002078,0.006734,0.006622,0.006125,0.005769,0.004869,0.00396,0.003782,0.003361,0.002959,0.002118,-0.002955,0.0005,0.000226,0.000464,-0.000468,0.000101,0.000408,0.000373,0.000456,-2e-06,-7e-06,0.00015,0.000622,0.000444,0.000593,0.000935,0.000968,0.000533,0.00027,-2.7e-05,-8e-06,-1e-06,-3e-06,-7.8e-05,-0.00031,-0.000237,5e-06,5e-06,1e-06,-0.000185,-0.000104,-0.000447,-0.000482,-0.000479,-0.000447,0.003885,0.003803,0.008597,0.003888,0.004164,-0.000975,0.003766,-0.001275,-0.001959,-0.007253,-0.002458,-0.002537,0.002825,-0.002268,-0.002521,-0.003452,-0.004102,0.000485,-0.004652,-0.005107,-0.005224,-0.005404,-0.005689,-0.000771,-0.005541,-0.005593,9e-06,0.000388,0.001085,0.012042,0.013231,0.019458,0.026079,0.027176,0.027551,0.028101,0.029061,0.025054,0.025426,0.015914,0.010982,0.005846,0.004433,0.009128,0.003328,0.007609,0.005691,-0.001647,-0.003071,-0.004464
-0.039171,-0.066828,-0.073189,-0.043325,-2.09781,-0.023681,-1.97862,0.033888,0.043485,0.076386,0.077618,0.087464,0.11305,-0.045273,-0.351101,0.063867,0.188004,0.194814,0.076027,0.166078,0.146537,-0.053328,0.078735,0.120522,0.072528,0.071979,0.072025,0.063196,-0.009909,0.001178,-0.013649,-0.011576,-0.571777,-0.000802,-0.000257,0.003542,-0.000313,-0.000343,-1.6e-05,0.026699,-9e-06,-3e-06,0.001578,-1e-06,7e-06,4e-06,1e-06,1e-05,4e-06,-4.5e-05,-3.4e-05,-3.2e-05,-9e-06,-1.4e-05,0.001568,0.00157,3e-06,2e-06,0.00103,-4.1e-05,-3.3e-05,-3.6e-05,-3.6e-05,0.00023,-0.000106,-7.1e-05,-5e-05,-4.1e-05,-2.9e-05,-2.7e-05,-6.8e-05,-0.002083,-2.5e-05,-2.9e-05,-0.037669,-0.034039,-0.073986,0.139583,0.532043,0.038791,-0.029525,-0.007926,0.569436,0.608162,-0.005659,0.169493,0.411639,0.03773,0.156927,-0.005842,0.546435,-0.058603,-0.012689,-0.071716,-0.152707,-0.044199,-0.106864,-0.125633,0.37933,-0.006132,-0.049376,-1.239394,-0.029138,0.144614,-0.219136,-0.115903,0.102339,-0.114194,1.876818,0.48386,1.811724,-0.134657,-0.153455,-0.061666,1.860842,-0.014795,1.905814,0.596856,0.220499,0.000138,0.031892,0.236001,0.001116,0.039758
0.159976,0.263213,0.151403,0.151639,-1.052555,0.189624,-1.299392,0.046782,-0.024119,-0.020073,-0.029907,0.025786,0.044898,0.46527,0.556873,0.255019,-0.005073,-0.099564,0.062297,-0.095053,-0.088998,-0.132013,-0.095517,-0.059499,0.019265,0.035548,0.034897,0.012961,-0.005437,0.026274,0.102762,0.014211,-0.511768,0.007273,0.003769,0.011234,0.020716,0.003645,3e-06,0.063817,5e-06,-2e-06,-0.011679,7e-06,-3e-06,6e-06,6e-06,2e-06,-7.5e-05,-2.7e-05,-1e-05,-7e-06,-1.2e-05,-8e-06,-0.011637,-0.011634,4e-06,1e-06,-0.000217,-2e-05,-1.6e-05,-1.8e-05,-2.2e-05,-0.000414,-4.4e-05,-2.6e-05,-9e-06,-8e-06,7e-06,-8.8e-05,-2.1e-05,0.015196,-8e-06,-1.6e-05,0.016612,-0.010232,0.021184,-0.231064,0.527627,0.03146,-0.006286,0.00547,0.541636,0.50962,0.007608,0.137224,0.673186,0.014939,0.131341,0.078884,0.679108,0.138412,0.12068,0.177744,0.340839,0.129107,0.236743,0.319789,0.852422,0.104891,0.105454,0.145741,0.039561,-0.491845,0.048146,-0.006176,-0.037807,-0.018406,0.816271,0.392351,0.969681,0.015621,0.061755,-0.012824,1.199648,0.029761,1.208069,0.393565,-0.631452,0.101474,-0.229107,-0.056019,0.040483,0.035628
0.086155,-0.056497,0.089984,-0.157134,1.264029,-0.118914,1.192703,-0.167445,0.018136,0.042882,0.069935,0.114584,0.145398,0.092321,0.50574,0.242307,0.107115,0.321286,0.367597,0.258724,0.273166,0.166378,0.243306,0.208082,0.005321,-0.025294,-0.02551,0.009251,-0.009085,-0.038653,-0.21679,-0.028085,0.438086,-0.006016,-0.003129,-0.009663,-0.034093,-0.003041,1.1e-05,-0.134117,4e-06,2e-06,0.026309,-3e-06,1e-06,-2e-06,-1e-06,-1e-05,-0.000143,-9e-05,-7e-05,-3.6e-05,-3.1e-05,-2e-05,0.026307,0.026307,-1.7e-05,-1.1e-05,0.000664,-9.6e-05,-7.3e-05,-5.2e-05,-2.9e-05,-0.00044,-0.000179,-0.000121,-7.6e-05,-6.1e-05,-4.9e-05,-0.000158,-0.000111,-0.029329,-5.8e-05,-2.8e-05,-0.047451,0.008114,-0.068383,-0.030361,-0.494682,-0.028753,0.004644,-0.020862,-0.502674,-0.424863,-0.02284,-0.136829,-0.209661,-0.000352,-0.101403,-0.182882,-0.8386,-0.350676,-0.337939,-0.089865,-0.015755,-0.114288,-0.023583,-0.028013,-0.463428,-0.27751,-0.291711,-1.469793,-0.122791,-0.240204,-0.283359,-0.20234,-0.69923,-0.688072,-2.284628,-1.007406,-1.960998,-0.231343,-0.21504,0.001785,-1.548873,-0.098307,-1.556561,-0.520173,-0.300471,-0.204895,-0.327511,-0.282011,-0.051755,-0.060289
-0.006422,-0.006468,1e-06,-0.006319,-0.006316,-0.006318,-0.00035,-0.00062,-0.000835,-0.000825,-0.000712,-0.007017,-0.007186,-0.00757,-0.014386,-0.020915,-0.02163,-0.028395,-0.028493,-0.02884,-0.029137,-0.02933,-0.035851,-0.029738,-0.03015,-0.029988,-0.029724,-0.029701,-0.036026,-0.029581,-0.029685,-0.023702,-0.030299,-0.023653,-0.023565,-0.017046,-0.023667,-0.024027,-0.023686,-0.023274,-0.015688,-0.014788,-0.014398,-0.021125,-0.014678,-0.014333,-0.014454,-0.007707,-0.001213,-0.001376,-0.001916,-0.002214,-0.002607,-0.002987,-0.00965,-0.009593,-0.009681,-0.016385,-0.009807,-0.016651,-0.009841,-0.009849,-0.016141,-0.009144,-0.00873,-0.00839,-0.007635,-0.000382,0.000126,0.000247,0.00697,0.006784,0.00675,0.006592,0.006915,0.007421,0.013913,0.020492,0.01325,0.013681,0.020412,0.020486,0.020808,0.02681,0.026499,0.033016,0.033004,0.040025,0.033106,0.033665,0.034398,0.034767,0.028671,0.028312,0.021272,0.028148,0.028055,0.021158,0.021171,0.021123,0.021136,0.014198,0.014309,0.014636,0.014466,0.007511,0.007484,0.007835,0.007893,0.001288,0.001991,0.002365,0.002422,0.002847,0.009882,0.002923,0.002658,0.009702,0.016313,0.016217,0.023002,0.015936,0.022597,0.015671
6.9e-05,-0.000219,0.004329,0.005034,0.000726,0.000727,-0.002189,0.00044,-0.000912,0.00342,0.008401,0.009301,0.00826,0.005994,-0.00014,0.003968,-0.007969,-0.008527,-0.008558,-0.009395,-0.009834,-0.013775,-0.00859,-0.010062,-0.014829,-0.013567,-0.011417,-0.010457,-0.007529,-0.012581,-0.012237,-0.022734,-0.021171,-0.021583,-0.02066,-0.02572,-0.024021,-0.02475,-0.019306,-0.013909,-0.00835,-0.00147,-0.000136,-0.00241,-0.004626,-0.003461,-0.007549,-0.008921,-0.01488,-0.011616,-0.009504,-0.006679,-0.004132,-0.005291,0.000405,0.000655,-0.003309,0.002431,-0.003467,-0.001783,-0.003368,-0.007004,-0.003633,-0.004809,-0.003567,-0.002785,-0.000446,-0.00105,0.000358,0.000686,0.002323,0.005517,0.009131,0.00496,0.009605,0.011049,0.00839,0.005956,0.006517,0.011539,0.009574,0.009822,0.014628,0.006728,0.005768,-0.000756,-0.004734,-0.009838,-0.008503,-0.006781,-0.00427,-0.002923,0.005693,0.000555,0.001601,7.3e-05,-0.000233,0.001363,-0.002595,-0.002746,-0.002654,-0.001271,-0.000712,0.000254,0.000142,0.00075,0.001282,0.007302,0.003437,0.010584,0.014099,0.015994,0.016292,0.018395,0.018153,0.018866,0.013452,0.013572,0.011922,0.011648,0.006929,0.011155,0.009919,0.010496
0.00025,0.000109,-0.00539,-0.004829,0.000578,0.000578,-0.001089,-0.007337,-0.008019,-0.013422,-0.018469,-0.017808,-0.018322,-0.01947,-0.014849,-0.020143,-0.011189,-0.011383,-0.011454,-0.012018,-0.012383,-0.006949,-0.011737,-0.012863,-0.007893,-0.007266,-0.006151,-0.005668,-0.003951,0.000828,0.000942,0.01039,0.011385,0.01099,0.011509,0.016327,0.01742,0.016899,0.012169,0.007438,0.002795,-0.000955,-8.7e-05,0.006641,0.005185,0.005938,0.011497,0.010615,0.014958,0.008851,0.001958,-0.004477,-0.011113,-0.011915,-0.016493,-0.016369,-0.010735,-0.015285,-0.010933,-0.009901,-0.010936,-0.005088,-0.002856,-0.003578,-0.002707,-0.002068,-0.000476,-0.000758,0.000262,0.000496,-0.006694,-0.012922,-0.018838,-0.013334,-0.018491,-0.017436,-0.019226,-0.020857,-0.020611,-0.025493,-0.026798,-0.026626,-0.031661,-0.02881,-0.029539,-0.025729,-0.020173,-0.015347,-0.0145,-0.013274,-0.011439,-0.010447,-0.012686,-0.007969,-0.007259,-0.008382,-0.008639,-0.007506,-0.001875,-0.002007,-0.001958,-0.000942,-0.00053,0.000346,4.8e-05,0.000715,0.000962,-0.003145,0.002561,-0.000693,0.001897,0.003246,0.003427,0.004881,0.004567,0.005058,0.009518,0.009463,0.008136,0.007898,0.012788,0.007365,0.006399,0.006794
-0.000924,-0.000937,0.036003,0.035501,-0.000963,-0.005633,-0.004376,0.033922,0.02107,-0.006283,0.078794,0.033337,0.037104,0.069745,0.071339,0.107911,0.029885,0.028807,0.02442,1.953646,-0.120726,-0.029892,0.034305,-0.067896,-3.059714,-0.113954,-0.041176,-3.71875,-1.131154,0.639885,0.052271,-0.388755,-0.072298,0.359476,-1.138597,0.631209,-0.05816,-0.030024,-0.076134,-0.029531,-0.042009,-0.011361,-0.991553,-0.037886,-0.038139,0.057773,-0.045303,-0.046478,2.2254,0.223302,0.247181,-0.003751,0.030145,0.013444,0.064884,0.066185,0.030148,0.065442,0.006818,0.029676,-0.051536,-0.908778,-0.084128,-0.002172,-0.003227,-2.950227,-0.000312,-0.006216,0.003091,0.077324,0.138597,0.088585,0.110263,0.189521,0.184667,0.121837,0.107772,0.108914,0.106476,0.1432,0.108251,0.079854,0.179674,0.14423,0.143983,0.095466,0.060478,0.039811,0.039793,0.061267,0.045348,0.052389,0.113065,0.05949,0.056148,0.086802,0.040278,0.028527,-0.003077,0.026193,0.014745,0.006527,0.019179,-2.319286,-2.48649,-2.472508,-0.642129,0.051596,-0.234239,-0.206386,-0.023621,-0.237877,0.044395,0.038603,-0.140399,-0.023508,-0.002451,-0.533237,-0.00061,0.044631,-0.030945,0.027635,-0.004204,-0.001944
