0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
-0.005818,4.3e-05,-0.000602,-0.00048,-0.00125,-0.000977,-0.001588,-0.002242,-0.001141,-0.00261,-0.00168,-0.002287,-0.001044,-0.00103,-0.000212,-0.000163,-0.000868,-0.000399,-0.001243,-0.001321,-0.001999,-0.001171,-0.001408,-0.001517,-0.000511,-0.001312,-0.001344,-0.000482,-0.001529,-0.000705,-0.000514,-0.000565,-0.000554,-0.005871,-0.00022,0.000149,7.7e-05,-0.006369,0.000181,-0.000767,0.000135,0.0002,1.1e-05,-8.4e-05,-0.000134,0.005578,-1.3e-05,-0.000937,0.000164,8.6e-05,1.4e-05,-0.005652,-0.005649,-0.00094,-0.000938,0.0001,0.000105,3.3e-05,-3e-06,-2e-06,0.0,-0.005648,-0.0,-0.0,-1e-06,0.00016,-0.005584,0.000201,0.00015,-4e-06,0.000154,0.0,3.5e-05,-0.005652,-0.005651,-0.000113,-0.000316,-0.00041,-0.000194,-0.0,0.000943,-3.8e-05,-0.000283,-0.000269,-0.005725,0.000123,0.00018,-0.005472,-0.005479,-0.005043,-0.004721,-0.004334,-0.003773,-0.004175,0.002295,0.00249,0.00878,0.008828,0.013822,0.0203,0.031482,0.030983,0.036667,0.036083,0.041451,0.040524,0.033555,0.03875,0.032417,0.027126,0.020839,0.020609,0.010072,0.009559,0.008448,0.009052
0.000552,0.000839,0.004938,0.004371,0.009044,0.007765,0.011685,0.015803,0.009587,0.01858,0.01316,0.017049,0.010129,0.010066,0.005179,0.004926,0.008262,0.005016,0.009042,0.008387,0.011587,0.00664,0.007773,0.008296,0.002486,0.00751,0.007478,0.002321,0.008375,0.003419,0.002471,0.002728,0.00268,-8.5e-05,0.001069,-0.000721,-0.000368,0.003329,-0.000857,0.004701,-0.000639,-0.00096,-4.5e-05,0.000414,0.000656,0.001453,6.1e-05,0.005494,-0.000786,-0.000412,-5.5e-05,-0.001057,-0.001066,0.005536,0.005529,-0.000483,-0.000508,-0.000157,1.6e-05,1.2e-05,1.3e-05,-0.001072,9e-06,0.0,1e-06,-0.000789,-0.001396,-0.000986,-0.00073,2.1e-05,-0.000754,5e-06,-0.000163,-0.001063,-0.001065,0.000558,0.001546,0.002015,0.000947,-1e-05,-0.005578,0.000181,0.001383,0.001318,-0.0007,-0.000616,-0.000891,-0.001947,-0.001931,-0.004116,-0.005736,-0.007801,-0.010705,-0.007283,-0.011722,-0.012627,-0.0143,-0.014664,-0.008224,-0.010907,-0.006362,-0.003326,-0.000946,0.002141,0.005384,0.009297,0.012368,0.015713,0.015927,0.011003,0.011158,0.011772,0.004131,0.005634,0.010745,0.006989
-0.006325,-0.006522,-0.011558,-0.011813,-0.016563,-0.017137,-0.022201,-0.027164,-0.023137,-0.032639,-0.028284,-0.033265,-0.029683,-0.029707,-0.025212,-0.025373,-0.023681,-0.018375,-0.016271,-0.009596,-0.007899,-0.003504,-0.002906,-0.002632,0.001302,-0.003056,-0.003059,0.001205,-0.002594,0.001768,0.001275,0.001405,0.001378,0.000346,0.000549,-0.000367,-0.000186,-0.004802,-0.000439,-0.004482,-0.000329,-0.000494,-2.4e-05,0.000214,0.000337,0.000357,3e-05,-0.00407,-0.000404,-0.000211,-2.7e-05,-0.000154,-0.000158,-0.004033,-0.004036,-0.000244,-0.000258,-7.9e-05,8e-06,6e-06,7e-06,-0.000162,6e-06,-1e-06,0.0,-0.000407,-0.00033,-0.000507,-0.000376,1.1e-05,-0.000387,4e-06,-8e-05,-0.000154,-0.000153,0.00029,0.000799,0.001039,0.000487,-5e-06,0.004017,9.2e-05,0.000708,0.000675,3.1e-05,-0.000313,-0.000453,-0.00061,-0.000599,-0.001721,-0.002561,-0.003628,-0.005166,-0.010468,-0.006167,-0.006724,-0.008112,-0.008358,-0.01246,-0.007406,-0.005819,-0.004188,-0.003364,-0.00165,-0.000278,0.001947,0.004182,0.005618,0.006205,0.011025,0.011555,0.011882,0.015612,0.0164,0.012096,0.017048
0.040003,0.0346,-0.099978,-0.033844,-0.073257,-0.13067,-0.336457,-0.134487,-0.005515,-0.320052,-0.329005,-0.321284,-0.23378,-0.127954,-0.171555,-0.446111,-0.466751,-0.604781,-0.458296,-0.499165,-0.197514,-0.51553,-0.401903,-0.167523,-0.173956,3.691447,-0.174341,-0.505843,-0.241014,-0.102344,-0.320681,-0.038918,-0.040135,-0.130498,-0.076574,-0.032272,-0.292957,0.042783,-0.064419,0.047982,0.011368,-0.002209,0.011781,0.31616,-0.033937,-0.060552,0.009713,0.040279,-0.009191,-0.11468,0.001361,0.001442,-0.001751,0.036024,0.036064,-9.1e-05,-5.9e-05,-3.8e-05,-3e-05,-2.1e-05,-2.2e-05,-0.002058,-1.2e-05,-7e-06,0.008979,-0.001997,-0.002061,-0.002184,-2.7e-05,-1.9e-05,-0.00217,-1.3e-05,-1.1e-05,-0.002052,-0.002045,-6e-06,0.117446,0.001968,-0.220959,0.001615,-0.036069,-9.4e-05,0.002075,-4.8e-05,-0.22319,-0.038723,-0.060863,-0.006161,-0.073323,1.103451,1.314113,-0.312657,1.359253,4.669431,0.106701,1.393349,-0.00333,0.563374,0.360977,-0.032948,0.121759,0.002522,-0.010046,0.006171,-0.244089,-0.041903,0.023512,-0.211445,0.000568,-0.026471,-0.088666,-0.017659,-0.06212,-0.063557,-0.02606,-0.070769
0.034405,0.000995,0.229195,0.144889,0.243744,0.324129,0.609668,0.885239,0.468858,0.702049,0.921911,0.496514,0.318746,0.349135,0.162993,0.701538,0.802996,0.960187,0.892704,0.863327,0.958035,0.865581,0.693813,0.409916,0.442247,1.800657,0.367408,0.756692,0.440589,0.226608,0.428499,0.062408,0.12972,0.192267,0.098557,0.04835,0.414102,0.003594,0.091049,-0.018751,-0.013129,0.019458,-0.01345,0.26151,0.050826,0.073876,-0.011873,-0.010974,0.028713,0.156229,-0.002135,0.010691,0.01449,-0.005693,-0.00567,-3.6e-05,-4.3e-05,-2.2e-05,-1e-05,-1e-05,5e-06,0.015206,-2e-06,-8e-06,-0.010285,0.014779,0.015155,0.015028,-2.5e-05,1e-06,0.015058,1e-06,1.5e-05,0.01519,0.015204,-9e-06,0.037925,-0.015253,0.295053,-0.002169,0.005302,-2.3e-05,-0.015047,-1.3e-05,0.308165,0.056357,0.087544,0.026202,0.123775,0.919672,0.635796,0.569796,0.699747,2.194795,0.181392,0.57614,0.030058,1.713827,-0.441489,0.208127,-0.157747,-0.043196,-0.053487,-0.076771,0.320435,-0.017828,-0.121675,0.240117,-0.10362,-0.007939,0.078975,-0.105449,-0.05291,-0.070592,-0.053849,-0.113592
0.002593,0.037139,0.133572,0.096325,0.180555,0.182482,0.371826,0.478108,0.75556,0.626215,0.617729,0.989023,1.045875,0.776866,0.589062,0.23242,0.089646,0.190491,-0.111171,0.144509,0.516612,0.154902,0.009088,-0.142847,-0.156892,3.702882,0.025301,0.262444,0.110851,-0.08727,0.28126,-0.110908,-0.116599,0.088057,0.096311,0.032691,0.277602,-0.011198,0.061177,0.012656,-0.00824,-0.020578,-0.008466,0.342163,0.034938,0.089617,-0.007812,0.017184,-0.014538,0.104895,-0.001487,-0.03224,-0.029811,0.02066,0.020704,-5.1e-05,-2.6e-05,-2.6e-05,-1.5e-05,-1.5e-05,-1.4e-05,-0.02926,-9e-06,-8e-06,-0.006604,-0.024669,-0.029295,-0.024488,7e-06,-1.8e-05,-0.024485,-7e-06,-1.5e-05,-0.02924,-0.029256,9e-06,0.105285,0.024216,0.197815,-0.001472,-0.021047,-9.8e-05,0.024447,-6.4e-05,0.17178,0.039881,0.059472,-0.020979,0.045608,0.979745,0.789603,0.059976,0.548631,2.153555,-0.149664,0.699622,-0.044805,-2.390638,-0.519922,-0.323355,-0.250899,0.098735,0.175174,0.154167,0.460961,0.264404,0.189384,0.467425,0.193161,-0.01119,0.03243,0.145964,0.061668,0.086596,0.081472,0.143748
-0.010011,-0.009436,-0.014678,-0.013521,-0.019326,-0.012285,-0.018317,-0.012254,-0.018638,-0.019649,-0.019411,-0.019396,-0.019415,-0.025579,-0.019852,-0.0193,-0.025882,-0.026689,-0.025943,-0.02635,-0.026115,-0.031879,-0.025575,-0.026706,-0.020657,-0.020044,-0.014904,-0.007945,-0.008282,-0.008192,-0.00783,-0.00714,-0.001034,-0.007179,-0.001714,-0.00073,-0.000242,0.000524,0.000626,0.000984,-0.005602,-0.000348,-0.006946,-0.006499,-0.013833,-0.013253,-0.020155,-0.013079,-0.013601,-0.013952,-0.020235,-0.014011,-0.006923,-0.007334,-0.007416,-0.000703,-0.00525,0.001319,0.001384,0.001191,0.000661,0.000208,5e-06,-3.6e-05,0.005923,-0.0,0.006304,0.000131,0.000158,0.000619,0.000623,0.000634,0.001217,0.00126,-0.003688,-0.003595,0.002624,-0.003315,-0.002785,0.004502,0.004369,0.009821,0.00904,0.014289,0.014936,0.014474,0.021959,0.02115,0.021679,0.027854,0.02785,0.033615,0.028676,0.034271,0.028826,0.029018,0.022065,0.020894,0.013374,0.012826,0.011739,0.017817,0.012165,0.012516,0.006325,0.006346,6.7e-05,5.3e-05,3.7e-05,0.005398,-4e-06,-0.000693,0.00038,0.000362,0.000415,-0.000317
-0.007647,-0.009182,-0.004392,-0.000526,0.00233,0.003482,0.005554,0.003572,0.004569,-0.002018,-0.001266,-0.001144,-0.001108,0.000699,-0.005724,-0.004064,-0.006855,-0.012471,-0.010262,-0.014635,-0.013824,-0.010874,-0.012202,-0.018329,-0.02042,-0.015278,-0.02308,-0.019602,-0.020378,-0.020164,-0.015794,-0.010657,-0.012881,-0.007267,-0.014506,-0.008692,-0.007547,-0.005487,-0.005515,-0.000909,-2.4e-05,-0.007817,-0.006693,-0.002143,-0.006209,-0.001335,-0.004322,-0.000837,-0.005498,-0.006209,-0.004192,-0.006207,-0.002894,-0.007259,-0.007417,-0.008481,0.004275,0.002883,0.003021,0.002602,0.001451,0.000455,1.1e-05,-8e-05,-0.002758,1e-06,-0.002003,0.000292,0.000348,0.004856,0.004866,0.004889,0.009585,0.00974,0.018081,0.021702,0.019647,0.022244,0.023314,0.027136,0.026828,0.023282,0.021594,0.014235,0.019198,0.01482,0.019555,0.014386,0.019219,0.017756,0.017893,0.012194,0.020632,0.014414,0.018242,0.019182,0.015472,0.009092,0.003559,0.002166,-0.004215,-0.005774,-0.003069,-0.002072,-0.000847,-0.000781,0.000188,0.000149,0.000111,-0.006944,-8e-06,-0.005447,0.001078,0.001029,0.00118,-0.004433
-0.013321,-0.006523,-0.003244,-0.000514,0.001438,0.00234,0.003722,0.002393,0.002999,0.006317,0.006848,0.006923,0.006936,0.008096,0.011671,0.01285,0.018783,0.022844,0.024431,0.029419,0.030022,0.031965,0.031203,0.03504,0.033768,0.029335,0.032231,0.026765,0.026257,0.026468,0.021421,0.016856,0.015503,0.011103,0.014437,0.010302,0.011076,0.012304,0.012446,0.007295,0.007923,0.010915,0.011553,0.00654,0.011794,0.006973,0.012939,0.007301,0.01228,0.011811,0.013026,0.011817,0.006059,0.01125,0.01115,0.010574,0.002702,0.001905,0.001988,0.00171,0.000948,0.000297,5e-06,-5.3e-05,-0.001699,1e-06,-0.001223,0.00019,0.000226,-0.00488,-0.004869,-0.004853,-0.009846,-0.00972,-0.01239,-0.018026,-0.019236,-0.017622,-0.016857,-0.022188,-0.022354,-0.024497,-0.025528,-0.022263,-0.026899,-0.021789,-0.026444,-0.021919,-0.02658,-0.027392,-0.027277,-0.023031,-0.02537,-0.021542,-0.019051,-0.018399,-0.013082,-0.009473,-0.005365,-0.006274,-0.002681,-0.003666,-0.001947,-0.001303,-0.000537,-0.00049,0.000115,9.3e-05,7.2e-05,0.003259,-7e-06,0.004204,0.000696,0.000664,0.000761,0.004847
0.157417,0.043147,0.041905,-0.003264,-0.004539,-0.002896,-0.003459,-0.002436,0.424701,-0.037339,-0.014739,-0.037076,-0.034636,-0.037236,-0.070627,-0.067738,-0.243943,-0.131466,-0.124703,-0.108611,-0.050404,-0.031164,-0.170718,-0.203643,-0.20401,-0.171781,-0.207603,0.326909,1.208863,-0.136263,-0.137088,-0.106217,-0.103492,1.93411,-0.206603,-0.070999,-0.069147,4.46087,0.054666,4.482158,1.287057,0.195211,1.288945,-0.093912,-0.144485,-0.100555,-0.047387,-0.078637,0.038933,-0.062358,-0.136835,-0.067156,-0.034742,-0.067859,-0.051568,-0.031706,0.028608,0.029902,0.00517,0.001159,-0.000274,0.006536,0.000309,0.038914,0.043468,0.040578,1.44039,-0.004977,0.134613,0.029251,0.029404,0.031416,1.453586,0.519329,0.09163,-0.326319,0.084838,-1.352599,-0.051041,0.174642,0.159802,-0.263725,0.126656,0.140952,0.173205,-0.292311,0.175439,-1.418841,0.198541,0.242936,0.238992,-0.275952,0.170143,-1.273083,0.10828,0.143135,-0.371422,0.073624,0.036208,0.036529,0.010075,0.017837,0.008409,0.001707,0.000671,0.000744,-0.000173,-0.000145,-0.001647,-0.036002,1.2e-05,0.093001,-0.00018,0.000129,-0.000983,1.419914
