0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0.005481,0.001369,-0.009277,-0.00727,-0.002244,-0.001664,-0.001744,-0.00762,-0.001717,-0.00155,-0.001284,-0.001297,-0.006975,-0.006824,-0.012576,-0.01256,-0.013668,-0.013706,-0.013596,-0.01353,-0.012893,-0.013832,-0.013194,-0.007395,-0.007769,-0.001041,-0.000556,-6.6e-05,0.000377,0.00067,-0.010358,-0.010183,-0.009515,-0.016337,-0.022647,-0.022716,-0.017159,-0.023213,-0.023278,-0.017435,-0.017641,-0.017779,-0.017827,-0.011888,-0.005951,3e-06,0.005945,6e-05,0.006575,0.006556,0.006525,0.000638,5e-06,3e-06,-3e-06,9e-06,1.5e-05,7.7e-05,0.000154,0.00014,0.000123,5.6e-05,-3e-06,-1.8e-05,-6e-06,0.005939,8.2e-05,9.4e-05,5.4e-05,1.3e-05,2.7e-05,1.3e-05,6.6e-05,6.1e-05,4.1e-05,2.4e-05,-1e-06,-3e-06,0.005919,0.0,1.2e-05,7e-06,7.2e-05,0.000105,9.7e-05,0.000114,0.006056,0.000799,0.006084,0.006122,0.006796,0.006136,0.006116,0.012112,0.012077,0.017939,0.017135,0.0238,0.023763,0.028837,0.039759,0.039582,0.05098,0.049458,0.049088,0.055614,0.055386,0.056042,0.055583,0.055782,0.054682,0.048263,0.049427,0.049601,0.045397,0.039901,0.041383,0.035348,0.031069,0.026593
0.046651,0.031994,0.020278,0.00697,0.014537,0.010518,0.010955,0.009437,0.010816,0.009784,0.008156,0.008278,0.005812,0.004887,0.003143,0.003141,0.011102,0.011774,0.011219,0.011153,0.006945,0.014374,0.009913,0.011386,0.014376,0.008122,0.004309,0.000513,-0.002919,-0.005213,-0.011195,-0.013073,-0.018511,-0.012172,-0.009622,-0.009393,-0.006341,-0.005714,-0.005324,-0.004482,-0.002304,-0.000603,0.000156,0.000174,0.000197,-4.9e-05,-0.000146,-0.000802,-0.006171,-0.005856,-0.005406,-0.006074,-6.7e-05,-2.6e-05,3.1e-05,-0.000111,-0.000184,-0.000969,-0.001948,-0.001772,-0.00156,-0.00071,5.7e-05,0.000229,7.5e-05,0.000203,-0.001032,-0.001183,-0.000681,-0.000163,-0.000322,-0.000141,-0.000828,-0.000754,-0.000513,-0.000298,-2e-06,2e-05,0.000583,-2e-06,-0.000154,-8.4e-05,-0.000903,-0.001308,-0.001205,-0.00141,-0.001002,-0.00786,-0.001248,-0.001612,-0.007667,-0.001627,-0.001316,-0.001134,-0.000625,0.000953,0.007843,0.002414,0.002765,0.010175,0.018114,0.018889,0.021966,0.030222,0.030283,0.025645,0.025261,0.019927,0.021563,0.018615,0.022104,0.022475,0.016308,0.015083,0.007032,0.005166,-0.001083,-0.001126,-0.008125,-0.014602
-0.007646,-0.00175,-0.000954,0.005233,0.002154,0.006969,0.007203,0.006689,0.007031,0.006309,0.005227,0.005288,0.004209,0.003605,0.003006,0.002998,0.000642,0.001032,0.000673,0.000609,0.005236,0.0025,0.006959,0.007305,0.001897,0.004821,0.002544,0.0003,-0.001724,-0.00308,-0.005724,-0.006887,-0.003027,-0.005943,-0.003953,-0.003826,-0.002446,-0.001596,-0.001366,-0.001323,1e-05,0.00105,0.001507,0.001051,0.000595,-2.3e-05,-0.000547,-0.000492,0.002986,0.003178,0.003455,0.003509,-4.6e-05,-1.9e-05,1.8e-05,-6.8e-05,-0.000112,-0.000595,-0.001199,-0.001093,-0.000963,-0.000438,3.4e-05,0.00014,4.5e-05,-0.000343,-0.000637,-0.000731,-0.000421,-0.000101,-0.000199,-8.6e-05,-0.000513,-0.000467,-0.00032,-0.000184,-1e-06,1.1e-05,-0.000107,-1e-06,-9.8e-05,-5.3e-05,-0.00056,-0.000812,-0.000749,-0.000877,-0.001099,0.002393,-0.001258,-0.001489,0.002031,-0.001508,-0.00132,-0.001693,-0.001378,-0.00088,-0.003886,-0.000476,-0.00026,-0.003431,-0.006762,-0.006275,-0.005356,-0.007444,-0.0074,-0.003583,-0.003846,-7e-06,0.001008,0.006311,0.008429,0.009127,0.012421,0.011604,0.014268,0.01365,0.016939,0.017451,0.020881,0.024637
0.253048,-0.307105,0.101538,-0.218672,-0.905008,0.05216,0.094973,-1.346116,0.042746,0.024397,0.018885,0.021054,-0.005298,-0.929318,0.033986,-0.366332,-0.324793,0.057546,0.058867,0.037976,-0.258151,-0.248655,0.012769,0.010586,-0.161578,-0.221962,-0.236705,-0.072714,0.472143,0.028652,0.009709,-0.020204,0.132598,0.178776,-0.538897,0.340898,0.285659,0.148223,0.123321,0.673788,0.382068,0.01058,-0.012645,-0.00385,-0.000801,0.000869,-0.011284,0.000479,-0.048268,-0.034257,-0.048441,-0.036441,7.3e-05,6.2e-05,-8e-05,3e-05,2.7e-05,7e-06,-0.002031,-0.002051,-0.002052,1e-06,-3e-06,1e-06,9e-06,0.002035,-2e-06,-0.001711,-1.9e-05,-0.000868,-9.1e-05,-0.000895,-5e-06,9e-06,4e-06,1.1e-05,-0.009424,3.2e-05,0.002101,3.3e-05,3.1e-05,3.3e-05,-0.000124,-0.002416,1.110449,0.012067,0.000635,-0.303877,0.378189,-0.0004,-0.036751,0.000652,0.016181,0.025284,-1.246288,0.923381,-0.281166,-0.495457,-0.334709,-0.182177,-0.237016,-0.293159,-0.301557,-0.224375,-0.133862,-0.002077,0.235963,0.260135,-0.005246,0.03753,0.672848,0.524878,0.3998,0.363224,0.358023,0.125401,0.021334,0.17255,0.108169,-0.003684
0.137617,1.221896,-0.201756,-0.972658,-1.697534,-0.517262,-0.700463,-0.626634,-0.365631,-0.262472,-0.129928,-0.146401,-0.157849,-1.790414,-0.204045,-0.30972,-0.344652,-0.10003,-0.127429,0.01104,-0.730549,-0.617544,-0.005183,-0.03122,0.341554,0.390714,0.343664,0.075739,1.967662,-0.132601,-0.056434,0.073142,-0.240369,-0.371892,-2.742303,-0.917566,-0.738792,-1.135118,-0.413323,-0.251521,-0.700369,0.014301,0.04104,0.032791,0.015632,0.00025,0.100083,0.00016,0.110229,-0.004781,0.110055,0.010301,2.8e-05,1.7e-05,-0.000201,6e-06,2e-06,1e-06,0.016639,0.016623,0.016641,9e-06,1.1e-05,-6e-06,5e-06,-0.015202,2e-06,-0.002933,2.2e-05,-0.001565,-0.000201,-0.001567,-1.4e-05,1.6e-05,1.1e-05,2e-06,-0.002517,6.4e-05,-0.015189,1.5e-05,1.3e-05,7e-06,-0.000233,-0.004147,1.937178,-0.118389,-0.017614,0.44587,0.614919,-0.000181,0.011162,-0.017556,0.048236,-0.141548,-0.229322,2.080972,0.333246,0.740684,0.527901,0.353994,0.545848,0.548241,0.497187,0.442352,0.400358,0.138011,0.777659,-0.090679,0.186043,0.057928,-0.071631,-0.563362,-0.442706,-0.348477,-0.503564,-0.066482,-0.03559,-0.537117,0.025745,-0.406503
1.789365,-0.966465,0.192949,-0.034039,2.122124,0.731405,1.02879,-0.220338,0.549147,0.368122,0.186536,0.209968,0.203341,1.861273,0.281184,-0.002747,0.039976,0.146917,0.163486,-0.021618,0.761423,0.624194,-0.017207,0.046797,0.309564,0.363503,0.541505,0.322831,-1.347037,0.120476,0.05269,-0.100173,-0.359556,-0.389177,1.426751,-0.073692,0.019771,-0.548077,-0.008218,-0.711802,-0.139619,-0.114374,-0.055385,-0.055415,-0.027878,0.000898,-0.131629,0.00048,-0.150151,0.011416,-0.150409,-0.018025,8.6e-05,6.9e-05,0.000215,4.4e-05,3.6e-05,3e-05,-0.023448,-0.023439,-0.02344,0.0,8e-06,8e-06,-2e-06,0.029257,-2e-06,0.002496,0.000179,0.00139,0.000225,0.00136,3.1e-05,4e-06,6e-06,-5e-06,-0.009197,0.000136,0.029291,6.3e-05,4.8e-05,3.7e-05,0.000225,0.003555,-1.627785,0.164917,0.031295,0.281961,-0.519417,0.006419,-0.012383,0.0312,-0.009051,0.195071,-1.021311,-1.430455,0.645277,0.500718,0.329556,0.256451,0.26162,0.519144,0.595498,0.586188,0.282992,0.118053,-0.767112,-0.66329,-0.128484,-0.223502,-1.208425,-1.107512,-1.197124,-1.414448,-1.553956,-1.242025,-1.020655,-1.413479,-1.31115,-1.192033
-0.03749,-0.044591,-0.057457,-0.05714,-0.063514,-0.063332,-0.061878,-0.059813,-0.058856,-0.051283,-0.05002,-0.044339,-0.032034,-0.026887,-0.028847,-0.028857,-0.03015,-0.031209,-0.03748,-0.036675,-0.042011,-0.042725,-0.042817,-0.042987,-0.036343,-0.042842,-0.041655,-0.035636,-0.035893,-0.035595,-0.036512,-0.030483,-0.030891,-0.026405,-0.026199,-0.02466,-0.013109,-0.007203,-0.003247,-0.003561,0.002414,0.000969,0.008648,0.008931,0.00994,0.005258,0.005385,0.011846,0.005023,0.005946,-0.001599,0.004625,0.00813,0.009502,0.011643,0.00992,0.010336,0.004557,0.007605,0.000251,0.000503,-0.003464,-0.008778,-0.008277,-0.012942,-0.011994,-0.011403,-0.016896,-0.011597,-0.011778,-0.011802,-0.00608,-0.007743,-0.00755,-0.007586,-0.003338,-0.007677,-0.007266,-0.005504,0.001852,0.00764,0.003014,0.009082,0.015047,0.015076,0.022513,0.023719,0.029851,0.035602,0.036205,0.043773,0.042517,0.048098,0.047742,0.04845,0.047212,0.046189,0.045098,0.044505,0.043808,0.043123,0.04872,0.042576,0.042619,0.036236,0.036177,0.03063,0.03112,0.024956,0.01833,0.012789,0.001127,0.007239,0.002185,-0.00406,-0.004116,-0.003628,-0.0032,-0.002992,-0.002761
0.028774,0.022821,0.02091,0.021582,0.022758,0.019225,0.023736,0.029311,0.031603,0.032629,0.03498,0.027744,0.023413,0.018467,0.013012,0.016357,0.01299,0.006968,0.00836,0.010381,0.013956,0.008977,0.008811,0.008537,0.01137,0.009027,0.014898,0.012938,0.012482,0.013082,0.008083,0.00949,0.008795,0.000791,0.001291,0.007361,0.002358,7.5e-05,-0.008897,-0.009435,-0.008373,-0.014232,-0.010301,-0.009839,-0.008126,-0.00358,-0.003341,-0.004817,-0.007337,-0.002366,-0.006177,-0.008069,0.004874,0.007344,0.014577,0.008201,0.012309,-0.004807,-0.01574,-0.016078,-0.015643,-0.006337,-0.002772,-0.001836,0.00294,0.004675,0.005737,0.008967,0.002032,0.001715,0.001674,-0.001135,-0.007334,-0.006976,-0.007022,-0.015737,-0.007137,-0.00643,-7.1e-05,0.003169,0.000412,0.008499,0.006268,0.003917,0.00401,0.007674,0.009998,0.00829,0.005827,0.00737,0.012104,0.006732,0.004599,0.00465,0.009812,0.004661,0.00315,0.001319,0.000218,-0.000984,-0.002291,-0.00479,-0.003287,-0.002998,-0.00565,-0.005742,-0.002799,-0.001308,-0.000135,-0.003748,-0.000805,0.003315,0.002122,0.009935,0.007234,0.007045,0.008439,0.009637,0.010194,0.010844
-0.011954,-0.008069,-0.001368,-0.001004,-0.000273,0.005186,0.008261,0.012015,0.013527,0.014104,0.015506,0.018469,0.015493,0.012093,0.00835,0.002698,0.000409,0.004211,0.005016,0.006331,0.008559,0.013033,0.012892,0.012645,0.006759,0.012883,0.008885,0.007685,0.007331,0.007711,0.01219,0.0054,0.004908,0.007582,0.007891,0.004072,0.001132,-0.000187,0.001869,0.001492,-0.005507,-0.001593,-0.006622,-0.006312,-0.005125,-0.002234,-0.002067,-0.002808,0.003187,-0.001381,0.003714,0.002672,-0.004359,-0.002626,-0.005616,-0.002057,-0.007214,-0.003088,-0.002432,-0.002957,-0.002668,-0.004482,-0.002264,-0.001599,0.001499,0.002737,0.00349,0.005477,0.008953,0.008718,0.008684,0.006999,0.010714,0.010978,0.010952,0.013235,0.010898,0.011404,0.007769,0.00224,0.000599,-0.002145,-0.003411,-0.004776,-0.00472,-0.009972,-0.008398,-0.009367,-0.01084,-0.009857,-0.014467,-0.010213,-0.011568,-0.011632,-0.016082,-0.011753,-0.012808,-0.014047,-0.01478,-0.015595,-0.016476,-0.018051,-0.017181,-0.017034,-0.011149,-0.011226,-0.009379,-0.008435,-0.007703,-0.002399,-0.000512,0.002121,0.001362,-0.001271,0.004617,0.00449,0.005356,0.006085,0.006397,0.006783
0.118372,0.09315,-0.075558,0.06952,0.119687,-0.073948,-4.821783,0.130767,-0.343744,0.191185,0.074876,0.038927,0.010227,-0.006321,-0.002557,0.012449,0.011232,-0.00401,-0.00902,0.458724,-0.009433,-6.2e-05,1.359003,-0.037669,0.233653,-0.031012,-0.003647,-0.00375,0.130226,0.130867,-0.04292,-0.012476,0.46965,-0.040271,-0.037887,0.551431,1.435814,-0.002591,-0.035641,-0.036044,0.03608,0.006317,0.489067,0.018936,0.099646,0.261638,-5.821596,-1.572709,0.107937,-0.002326,-0.032868,-0.035506,0.030687,0.032632,-0.089893,-0.508342,0.071146,-0.003705,0.522282,-0.036873,-0.03794,1.694379,0.145899,-0.003608,-0.003687,-0.002379,-0.003151,-0.003063,-0.034083,-0.603335,-0.032772,-0.02668,-0.064548,-0.068424,0.099287,-0.099237,-0.065006,-0.054743,-0.032982,-0.002149,0.000492,0.032198,-0.038189,0.034738,1.730716,0.009862,-0.121805,-0.136097,-0.064012,-1.69549,-0.133017,-1.331394,-0.459606,-1.24974,-1.249254,0.0775,0.070397,-0.057237,0.074894,0.075461,0.077538,0.034871,0.016536,0.071127,0.042138,0.031415,0.040429,0.033618,0.039348,0.002212,-0.005564,0.000233,0.000354,0.035746,-0.031891,0.001695,-0.000868,0.001431,-0.019824,0.001779
