0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233
-0.021438,-0.021273,-0.028365,-0.027483,-0.027204,-0.026896,-0.020397,-0.020311,-0.020173,-0.012968,-0.012943,-0.006473,-0.000654,-2.5e-05,-1.8e-05,1e-06,5e-06,0.006472,-0.0,-2e-05,-6.1e-05,0.006472,4.3e-05,7.8e-05,5.5e-05,-1e-05,-0.000115,-0.000135,0.0063,-0.000165,-0.000133,-1.1e-05,5e-05,2.6e-05,7e-06,2.4e-05,1e-06,1.9e-05,6.1e-05,5.8e-05,9.6e-05,4.2e-05,-3e-06,-3.1e-05,-5.8e-05,1e-06,-1e-06,-1e-06,0.0,-2e-06,-1e-06,-2e-06,-1e-05,-2e-06,1.7e-05,-5.8e-05,-1e-06,-0.006467,4e-06,-1.3e-05,-0.006468,-0.006466,-0.006407,-0.006263,-0.012713,-0.006769,-0.013112,-0.020023,-0.019977,-0.013966,-0.020356,-0.014366,-0.00725,-0.006721,0.000212,0.007216,0.0201,0.026897,0.03368,0.032852,0.040293,0.03915,0.039745,0.045883,0.044635,0.04373,0.043752,0.036042,0.036629,0.029462,0.030312,0.025372,0.024617,0.024821,0.017452,0.018195,0.018179,0.017174,0.011066,0.011229,0.012578,0.005508,0.005568,0.005639,-0.000299,0.000812,-3e-06,0.000286,-0.005565,-0.005515,-0.005648,-0.005934,-0.00018,-0.000299,-0.000129,-0.000188,-0.000163,-0.000117,-5.9e-05,6e-06,-0.006003,0.000205,-0.006175,0.000178,0.000323,-0.005952,-0.007058,0.000162,-0.000911,-0.000809,-0.000886,-0.001592,-0.001272,2.6e-05,0.00542,0.006632,0.012281,0.012451,0.013584,0.01897,0.020081,0.020086,0.020354,0.019809,0.02728,0.026359,0.020014,0.025985,0.025954,0.014559,0.014564,0.020768,0.015406,0.015243,0.014839,0.014709,0.008369,0.008165,0.014358,0.007913,0.001442,0.007679,0.001282,0.001064,0.000862,0.000702,0.000496,0.000357,-0.005954,-0.005813,0.000708,0.000893,-0.000257,0.000877,0.000851,0.000779,0.000675,0.000332,0.000229,0.00021,0.000239,0.000223,0.000128,9e-05,2.6e-05,0.000149,5e-05,0.000164,0.000218,0.000217,0.000163,0.000161,0.000241,0.000303,0.000271,0.000258,0.00012,0.000198,8e-06,-2e-06,1e-06,3e-06,-0.0,8.1e-05,4e-05,-3e-06,-7.6e-05,-9.9e-05,3.3e-05,1.2e-05,2.7e-05,5e-05,0.000156,-0.006348,-0.000165,0.006348,-0.006445,-0.012872,-0.012392,-0.018287,-0.020204,-0.022868,-0.01784,-0.006776,-0.004965,0.006573,0.011968,0.005837,0.013043,0.012933,0.013494,0.008513,0.01126,0.0133
0.011521,0.012182,0.015577,0.009256,0.007745,0.005637,0.006435,0.006072,0.004932,-0.001028,-0.001316,-0.000638,0.005984,0.000299,0.000229,-1.1e-05,-5.7e-05,0.000637,9e-06,0.000245,0.000738,0.000628,-0.00051,-0.000932,-0.000649,0.000129,0.001377,0.00161,0.002611,0.001938,0.001552,0.000121,-0.000586,-0.000316,-7.8e-05,-0.000276,2e-06,-0.000216,-0.00071,-0.00067,-0.001127,-0.000491,4.4e-05,0.000368,0.000682,-4e-06,0.0,0.0,0.0,3.1e-05,-5e-06,-3e-06,8.5e-05,-5e-06,-0.000214,0.000688,-4e-06,-0.000643,-5.5e-05,0.000154,-0.000633,-0.000634,-0.001417,-0.002311,-0.004312,0.000786,-0.001849,0.000394,-0.000563,0.003436,0.000102,0.004796,-0.00176,-0.00778,-0.009869,-0.012312,-0.004131,-0.00172,-0.00065,0.007873,0.00032,0.009906,0.003778,0.006441,0.014084,0.018639,0.018054,0.023039,0.016702,0.020324,0.013155,0.002552,0.007273,0.005794,0.010942,0.005819,0.005727,0.011395,0.009215,0.008314,0.000688,0.004504,0.004186,0.003834,0.001865,-0.004854,1e-06,-0.001322,-0.004151,-0.004476,-0.003873,-0.002576,0.000837,0.001383,0.000604,0.000868,0.000763,0.000548,0.000277,-2.6e-05,-0.002204,-0.000961,-0.001409,-0.000839,-0.001516,-0.002443,0.003831,-0.000762,0.005374,0.005381,0.005245,0.009664,0.008123,0.000981,0.007048,0.000276,0.005294,0.00459,-0.001595,0.004843,-0.000958,-0.000946,-0.001598,0.002336,-0.002437,0.003118,0.002453,0.00537,0.005647,-0.002894,-0.002589,-0.000444,-0.006804,-0.005756,-0.004426,-0.003869,-0.005013,-0.004534,-0.002375,-0.003576,-0.004766,-0.0027,-0.004209,-0.003486,-0.002821,-0.002299,-0.00162,-0.001164,-0.003058,-0.003523,-0.002327,-0.002937,0.002558,-0.002877,-0.002792,-0.002549,-0.002211,-0.001082,-0.000748,-0.000687,-0.000778,-0.000735,-0.000423,-0.000294,-8.5e-05,-0.000486,-0.000164,-0.000537,-0.000712,-0.00071,-0.000533,-0.00053,-0.000793,-0.000997,-0.00089,-0.000847,-0.000394,-0.000649,-2e-05,7e-06,2e-06,1e-06,1e-06,-3e-06,-0.000137,9e-06,0.000253,0.000331,-0.000112,-5.2e-05,0.000179,-0.000169,-0.000499,-0.001666,0.000771,0.001885,-0.001596,-0.003239,-0.004921,-0.008343,-0.000163,0.010975,0.017786,0.027468,0.017822,0.024936,0.027595,0.023531,0.017909,0.0159,0.011638,0.00429,-0.008557,-0.01723
0.002691,0.003023,-0.001904,0.001485,0.000269,-0.001382,-0.001415,-0.001716,-0.002604,0.000453,0.000228,0.000131,-0.003658,0.00023,0.000172,-1.2e-05,-4.7e-05,-0.000122,6e-06,0.000183,0.000557,-0.00013,-0.000389,-0.000708,-0.000493,9.8e-05,0.001043,0.001219,0.001368,0.001463,0.00117,9.1e-05,-0.000443,-0.000238,-6e-05,-0.000208,3e-06,-0.000164,-0.000537,-0.000507,-0.000853,-0.000371,3.5e-05,0.000278,0.000515,-3e-06,0.0,0.0,1e-06,2.3e-05,-3e-06,-3e-06,6.4e-05,-3e-06,-0.000162,0.00052,-2e-06,0.000117,-3.9e-05,0.000121,0.000126,0.000126,-0.000466,-0.00116,-0.002064,-0.007,-0.008415,-0.014366,-0.015122,-0.020939,-0.023025,-0.02837,-0.025875,-0.022484,-0.016515,-0.010703,-0.005272,0.004593,0.013322,0.011774,0.021809,0.020937,0.024334,0.025585,0.023014,0.018008,0.017234,0.013487,0.016675,0.011842,0.014473,0.015269,0.010681,0.00956,0.005924,0.010168,0.010083,0.006156,0.005226,0.004574,0.007059,0.002515,0.002289,0.002041,0.001149,0.004459,-3e-06,-0.000933,-0.002275,-0.002495,-0.002069,-0.001156,0.000603,0.000987,0.000431,0.000616,0.000541,0.000388,0.000196,-1.9e-05,-0.000898,-0.000678,-0.000335,-0.000592,-0.001071,-0.001068,-0.004516,-0.000534,-0.004079,-0.004167,-0.00416,-0.008911,-0.009998,-0.007205,-0.011438,-0.008397,-0.013421,-0.013949,-0.010536,-0.014579,-0.010937,-0.010987,-0.011529,-0.016743,-0.013093,-0.0171,-0.016933,-0.015572,-0.015389,-0.012627,-0.012186,-0.011513,-0.007385,-0.006756,-0.005547,-0.005126,-0.005324,-0.004793,-0.003943,-0.00402,-0.004077,-0.003306,-0.003621,-0.003007,-0.002438,-0.001988,-0.001402,-0.001007,-0.001646,-0.00205,-0.002022,-0.002558,-0.006443,-0.002516,-0.002447,-0.002236,-0.001943,-0.000952,-0.000659,-0.000606,-0.000684,-0.000648,-0.000374,-0.00026,-7.5e-05,-0.000429,-0.000143,-0.000474,-0.00063,-0.000629,-0.000471,-0.000468,-0.000702,-0.000884,-0.000789,-0.00075,-0.000349,-0.000574,-1.4e-05,8e-06,6e-06,5e-06,4e-06,-8.7e-05,-0.000116,1e-05,0.000226,0.000294,-0.0001,-4.2e-05,5.3e-05,-0.000146,-0.000444,-0.000547,0.000569,0.000656,-0.000367,-0.001004,-0.002264,-0.004274,-0.00586,-0.004695,0.000271,0.00667,0.015458,0.019398,0.028792,0.034456,0.044988,0.050823,0.054831,0.057739,0.06358,0.064852
-2.23084,-5.295311,-1.212831,0.286043,-0.261982,0.059525,0.354039,0.038832,0.033314,-0.00091,-0.000554,-0.000346,0.036869,0.000281,0.00018,0.000127,-0.013618,0.002117,4.6e-05,3.1e-05,0.002025,0.002063,1e-05,-0.001978,5e-06,3e-06,0.002004,9e-06,0.002047,1.3e-05,3e-06,1e-06,9e-06,-1e-06,3e-06,-1e-06,2e-06,-0.0,-0.0,-1e-06,-6e-06,-2e-06,-0.00014,-1e-06,-1.4e-05,-0.0,-1e-06,-2e-06,-1e-05,-0.000241,-7e-06,-1e-06,0.01379,-4e-06,-5e-06,-1.2e-05,-3e-06,-0.00205,-5e-06,-1e-05,-0.330209,-0.001511,-0.257131,4.040402,-0.24731,0.005379,0.979415,1.09308,-0.17888,-0.228714,-0.311702,1.021981,0.063247,-0.352985,-0.307016,-0.056914,-0.010486,-0.041434,-0.072012,-0.027918,-0.196628,-0.035908,-0.0917,-0.087395,0.135133,0.096603,-4.906878,0.020985,-0.030091,0.002325,-0.022225,-1.548511,-0.02168,0.174516,-0.005598,-0.048039,-0.043656,0.068116,0.177955,-0.003494,-0.003142,0.151817,0.011351,-0.004551,-4.86992,-0.004208,-0.00573,0.084261,-1.249501,0.279795,0.230975,0.308851,0.13383,0.3268,0.009253,0.001469,0.001186,0.00098,-0.004529,0.022578,-0.014532,-0.0132,-0.004687,0.000504,-0.0384,-0.039545,0.023966,-0.009946,-0.002763,-5.168435,-0.021631,-0.274975,-0.953069,-1.246131,-1.205292,-0.862314,0.386549,-0.132754,-3.659166,0.457546,0.335985,-3.041549,0.109054,0.417709,-0.724212,-0.853984,-0.261428,-0.719258,0.000586,-3.056867,-0.169368,-2.36368,-0.012978,-1.822556,-0.104431,-0.44704,-2.034755,0.051211,0.178644,-0.012545,0.044457,-0.001061,-0.017272,-0.015563,-0.014322,0.223591,-0.001905,-0.005253,-0.014271,-0.006609,-0.002519,-0.002573,0.066553,1.1e-05,-0.002674,-0.002678,-0.01809,0.001207,-3.1e-05,-4.6e-05,-4.2e-05,-3.3e-05,-4e-05,-2.9e-05,-3.2e-05,-0.000233,-0.002828,0.01287,0.000188,-3.7e-05,-5e-05,-3.1e-05,-0.001581,-0.002941,-1.9e-05,-1.2e-05,-1.9e-05,-0.002755,-0.000672,0.011116,0.12119,-0.002569,-0.002351,2.052822,0.013708,0.003754,0.004197,0.000307,-0.00022,-0.015936,2.291726,0.010532,0.713646,2.449644,2.477808,0.177782,1.388381,4.663343,1.451963,-0.352098,4.318542,0.571355,3.891076,-0.504367,-0.712621,0.026433,0.357509,0.503772,0.45423,1.394592,1.239824,0.374238,1.480518,-0.181596
-2.210113,-3.102556,-2.135586,-0.772785,-0.423345,-0.114222,-0.641065,-0.069874,0.040354,0.034739,0.035631,0.017509,-0.009178,9.8e-05,6.6e-05,3.7e-05,0.108217,-0.015202,8e-06,-1e-06,-0.015669,-0.015201,-3e-06,0.015687,2e-05,-2e-06,-0.015658,1.2e-05,-0.015217,1.9e-05,-7e-06,-2e-05,1.5e-05,-7e-06,-1.1e-05,-4e-06,-2e-06,7e-06,3e-06,-1.6e-05,-2e-06,-1e-05,-0.000249,9e-06,-3e-06,-7e-06,-6e-06,-5e-06,4e-06,-0.000416,-1.7e-05,-1.5e-05,-0.108191,-2.1e-05,-2e-06,-1.7e-05,-1.6e-05,0.015193,7e-06,-5e-06,-0.573303,0.016169,0.484373,1.493417,0.407779,0.178404,1.108674,0.974454,1.522565,0.807093,0.768027,1.419901,2.562903,1.019936,0.931627,0.401629,0.167291,0.054676,0.024036,-0.091908,-0.223545,0.0246,-0.114196,-0.145942,1.479154,-0.368604,-1.996613,-0.155975,-0.040468,-0.014857,-0.11115,-0.624469,-0.007914,-0.424869,-0.039816,0.061646,0.053987,-0.164537,-0.341212,-0.032929,-0.085145,-0.281347,-0.042395,-0.014819,-1.664002,-0.046611,0.010465,-0.128838,-0.875369,-0.406856,-0.481478,-0.454208,-1.170954,-0.594659,-0.092329,0.000777,0.000315,0.000279,0.013866,-0.124502,0.034686,0.020438,0.020345,0.000346,0.004803,0.001719,0.006779,-0.002327,-0.009952,-3.167066,-0.790773,-0.300014,-0.901201,-0.460508,-0.476411,-1.03181,-0.572686,-0.483433,-1.761827,-1.326889,-1.201351,-2.026551,-0.80859,-0.724839,-0.688765,-0.686142,-0.437743,-0.68094,-0.344837,-4.28204,-0.218206,-1.733368,-0.097035,-1.832185,-0.301007,-0.679533,-1.765134,-0.064549,-0.160197,0.011994,-0.02948,0.004276,0.025274,0.022812,0.021211,-0.1906,0.002074,0.004053,0.023352,0.033411,0.01671,0.016623,0.071749,-6.9e-05,0.01657,0.016597,0.03726,-0.000926,-4.3e-05,-2e-05,-3.6e-05,-1.8e-05,-2.3e-05,-4e-06,-1.3e-05,-0.000397,-0.004896,-0.008379,-0.000279,-6.6e-05,-3e-05,-1.4e-05,-0.002694,0.016201,-2.2e-05,5e-06,1e-05,0.016566,-0.001138,-0.007425,0.214151,-0.004488,-0.004259,1.338044,-0.012508,-0.003658,-0.003406,-0.000611,-0.000137,9.5e-05,1.401594,-0.016615,0.266547,1.357112,1.45377,0.21606,1.144664,4.041266,3.894494,1.555477,2.516285,2.16431,2.390236,1.271539,-1.20574,-0.049256,-0.75241,-1.030024,-1.006804,1.075026,1.453069,0.413868,0.956325,-0.013989
1.368461,-0.861749,2.089295,0.11733,-0.126062,0.060341,-0.247741,0.128843,-0.070965,-0.062098,-0.06327,-0.031143,0.019001,0.000227,0.000157,0.000106,-0.166228,0.029315,4.6e-05,3.8e-05,0.024119,0.029264,1.8e-05,-0.024102,2e-06,8e-06,0.024088,-7e-06,0.029259,-1.4e-05,1.1e-05,1.8e-05,-1.1e-05,1.1e-05,5e-06,7e-06,3e-06,2e-06,1e-06,7e-06,8e-06,7e-06,0.000251,-1.9e-05,6e-06,-7e-06,-7e-06,-6e-06,2e-06,0.000435,-8e-06,-1.6e-05,0.166301,-7e-06,-1.4e-05,6e-06,-5e-06,-0.029248,-8e-06,3e-06,0.594139,-0.030307,0.276281,3.414709,0.431084,0.096915,1.346397,1.404207,0.088999,0.972842,1.074485,1.701638,-1.424966,0.150728,-0.172671,-0.509878,-0.283917,-0.070089,-0.042114,0.179902,0.096106,0.023158,0.195189,0.24734,-1.922426,0.136279,-1.504482,0.275337,0.090217,0.053218,0.204234,-0.412022,-0.041795,-0.124199,0.133875,-0.068643,-0.07399,0.039941,-0.122442,0.09955,0.030821,-0.121326,0.04565,0.064664,-2.002252,-0.056919,0.007375,-0.124362,-0.925295,-0.571708,-0.54597,-0.76715,0.040124,-0.419851,0.177265,0.001348,0.000678,0.000541,0.002734,0.153862,-0.019111,0.013409,-0.025404,0.000719,-0.047515,-0.048585,-0.013995,-0.005289,0.001959,-1.118881,-0.4924,-0.132128,-1.103665,-0.83403,-0.785618,-1.231597,-0.390314,-0.277731,-3.634118,0.077745,-0.406524,-3.974335,-0.348045,-0.099265,-1.254579,-0.953412,-0.093396,-0.963985,0.345973,-3.474114,-0.270487,-4.669882,0.1366,-4.870504,-0.325197,-1.565363,-4.817574,-0.089325,-0.080853,0.010926,-0.070794,0.008496,-0.022688,-0.026241,-0.02808,-0.140648,0.002057,0.002328,-0.026889,-0.051208,-0.022699,-0.022948,-0.031248,0.000357,-0.023249,-0.023292,0.002961,-0.000448,-0.000152,-0.000119,-6.6e-05,-5.1e-05,-3.9e-05,-3.5e-05,-2.1e-05,0.000167,0.002152,-0.001461,-0.000303,-0.000218,-0.000143,-9.4e-05,0.001148,-0.023305,-1.4e-05,-1.2e-05,-9e-06,-0.023425,0.000521,-0.001818,-0.107731,0.001801,0.001464,4.957418,-0.001148,-0.00186,-0.002032,-0.000964,-0.000544,-0.000618,4.969363,0.000777,1.636539,4.883275,4.793411,0.065695,1.678254,3.616787,-1.449769,-0.54187,3.925924,0.278997,3.769701,0.762519,2.485819,-0.01968,-0.283877,-0.489982,-0.524941,-2.346697,-2.431806,-1.446496,-0.839044,-1.349048
-0.044275,-0.045409,-0.052579,-0.051529,-0.048669,-0.046796,-0.046402,-0.039296,-0.032398,-0.02421,-0.023714,-0.028361,-0.021116,-0.020651,-0.01297,-0.005901,-0.005425,-0.004409,-0.003728,-0.011381,-0.011701,-0.011706,-0.012072,-0.0053,-0.012497,-0.012813,-0.012086,-0.006371,0.006267,0.005809,0.004566,0.005225,0.006015,-0.000652,-0.007264,-0.006546,0.001293,-0.00478,0.002067,-0.003871,-0.003832,0.003758,0.003591,0.003337,0.00927,0.002257,0.003014,0.002315,0.001758,0.001277,0.001312,0.00137,0.000456,0.000542,0.000614,0.000563,0.00217,0.010633,0.0045,0.013624,0.015839,0.022528,0.024709,0.018202,0.025248,0.024802,0.030159,0.029724,0.029639,0.016182,0.021251,0.020478,0.020171,0.018996,0.019365,0.01914,0.018296,0.017909,0.022677,0.021327,0.014359,0.012747,0.012161,0.01816,0.010459,0.009726,0.009401,0.009394,0.003489,0.003671,0.003762,-0.001813,-0.002278,-0.002404,-0.001851,-0.0012,-0.000746,-0.000155,9.1e-05,0.000273,1.1e-05,-3e-05,0.000412,-0.000261,0.000578,5e-06,-0.000224,-6.9e-05,-2.9e-05,0.000102,0.006589,-1e-06,-5e-06,0.000576,3e-06,-1e-06,-0.0,-0.000157,0.0,0.000164,0.0,1e-06,-0.000205,0.000477,0.000529,0.000866,0.002635,0.010258,0.009319,0.014998,0.021946,0.022072,0.028753,0.028781,0.029479,0.029702,0.029387,0.034673,0.026002,0.02898,0.025465,0.023528,0.013165,0.003157,0.009152,0.001978,-0.004043,-0.002573,-0.00874,-0.005858,-0.010019,-0.008256,-0.012456,-0.007906,-0.004218,-0.010641,-0.008567,-0.000931,-0.007538,-0.006733,0.000371,-0.006733,-0.006704,-2.4e-05,-9.7e-05,-0.007095,-0.000779,-0.000981,-0.001771,-0.00261,-0.002792,-0.002912,0.003813,-0.004225,0.002218,0.001915,0.002363,0.008435,0.001319,0.001501,0.000818,0.000438,0.000123,0.006377,-0.000394,-0.000679,-0.000709,-0.007412,-0.00084,-0.000578,0.000326,0.000267,0.00017,-1e-05,0.0,0.000293,0.000321,-0.000242,-1.2e-05,0.006974,0.007118,0.006799,0.006846,0.007622,0.007537,0.007541,0.000794,0.007712,0.006943,0.006959,0.007503,0.00094,0.007999,0.001188,0.007606,0.007575,0.007583,0.007472,0.007211,0.000924,0.000737,-5.2e-05,-0.000681,0.005478,0.005278,0.011925,0.00415,0.003971,0.011086,0.012688,0.007133,0.000904,0.001671,0.002334
-0.018396,-0.023551,-0.020651,-0.017537,-0.006267,-0.00141,-0.000258,-0.005401,-0.011141,-0.010692,-0.013323,-0.002556,-0.007979,-0.007063,-0.004376,-0.002902,0.00167,0.007238,0.008485,0.005837,0.001562,0.001519,-0.002814,-0.005486,-0.007241,-0.007812,-0.00284,-0.011053,-0.018018,-0.015258,-0.021187,-0.012768,-0.011338,-0.008442,-0.00542,-0.004083,-0.004826,0.002814,-0.003381,0.000737,0.000803,0.00339,0.003085,0.006236,-0.001533,0.000629,0.00566,0.00075,-0.000286,-0.001193,0.002472,0.002578,0.000863,0.004616,0.004747,0.004646,0.011245,0.011888,0.015639,0.021257,0.029214,0.023293,0.031379,0.034428,0.033274,0.032603,0.024776,0.024453,0.024546,0.028536,0.020127,0.018928,0.01828,0.012458,0.013501,0.013142,0.007995,0.007351,0.001869,-0.004672,-0.000361,-0.004062,-0.005435,-0.008418,-0.009602,-0.011481,-0.012355,-0.012492,-0.009271,-0.008853,-0.008679,-0.000895,-0.005643,-0.005959,-0.00458,-0.002972,-0.001842,-0.000386,0.000228,0.000667,2.7e-05,-7.7e-05,0.004621,-0.00065,0.005025,4e-06,-0.000557,-0.000176,-7.9e-05,0.00025,-0.001808,-5e-06,-1.5e-05,0.005026,1e-06,-4e-06,-5e-06,-0.000393,-2e-06,0.000406,4e-06,1e-06,-0.000511,0.004769,0.004902,0.00573,0.017284,0.021696,0.019277,0.015549,0.01485,0.015578,0.01424,0.014604,0.020216,0.024862,0.031659,0.026919,0.029902,0.018439,0.007915,-0.001687,-0.019822,-0.040307,-0.047673,-0.059452,-0.059819,-0.059497,-0.055463,-0.042965,-0.028842,-0.019709,-0.013356,0.003549,0.013834,0.01361,0.019159,0.018747,0.021709,0.02365,0.022011,0.023234,0.023203,0.020644,0.020347,0.021637,0.018351,0.017722,0.011731,0.005639,0.005114,0.004768,0.003067,-0.002592,-0.004993,-0.005816,-0.000824,-0.004186,-0.003695,0.000504,-0.001385,0.001258,0.000361,-0.002507,-0.00111,-0.001943,-0.002004,-0.000379,-0.002367,-0.001628,0.000902,0.000745,0.000475,-2.4e-05,-6e-06,0.000826,0.000905,-0.000429,-3.4e-05,-0.000875,-0.00046,-0.005102,-0.00494,0.001038,0.000811,0.000868,0.002322,0.001394,-0.004583,-0.004549,0.000807,0.002783,0.002313,0.003536,-0.00255,-0.002617,-0.002564,-0.002882,-0.003657,0.002823,0.002257,-0.000142,-0.002073,-0.005245,-0.005888,-0.003882,-0.009528,-0.010139,-0.010585,-0.001814,0.003478,0.006649,0.00911,0.011243
-0.010762,-0.006734,-0.005124,-0.002297,-0.001107,0.00354,0.004591,0.009818,0.014511,0.015827,0.022974,0.023246,0.02842,0.029329,0.02315,0.015748,0.010573,0.006408,0.007639,0.013742,0.019166,0.019076,0.024403,0.022666,0.029615,0.029002,0.024202,0.0267,0.021739,0.014842,0.018689,0.007692,0.009066,0.01098,0.013012,0.014287,0.01443,0.011327,0.015763,0.018787,0.018828,0.012566,0.012229,0.005724,0.008702,0.009891,0.00513,0.009968,0.009011,0.008185,0.002211,0.002304,0.000765,-0.005114,-0.004996,-0.005092,-0.008436,-0.007113,-0.00455,-0.008087,-0.010393,-0.005849,-0.008118,-0.006362,-0.006988,-0.007687,-0.004964,-0.005386,-0.005409,-0.003287,-0.000942,-0.002025,-0.002529,0.001488,0.002167,0.00185,0.00637,0.005808,0.002014,0.005607,0.000147,-0.002515,-0.003503,-0.005454,-0.006522,-0.00791,-0.008563,-0.008713,-0.00661,-0.006317,-0.006214,-0.009135,-0.00422,-0.004471,-0.003447,-0.002243,-0.001391,-0.00029,0.000173,0.000505,1.9e-05,-6e-05,-0.005023,-0.000493,-0.004716,2e-06,-0.000423,-0.000133,-6e-05,0.000188,-0.001118,-5e-06,-1.1e-05,-0.004716,-3e-06,-7e-06,-6e-06,-0.000298,-2e-06,0.000307,2e-06,3e-06,-0.000385,-0.004902,-0.0048,-0.00417,-0.012438,-0.017349,-0.019128,-0.02171,-0.021987,-0.021649,-0.022194,-0.021909,-0.026103,-0.030985,-0.042566,-0.045882,-0.060511,-0.069199,-0.077937,-0.077515,-0.076704,-0.070257,-0.068726,-0.054852,-0.048496,-0.040458,-0.037875,-0.035964,-0.032027,-0.032456,-0.015978,-0.007125,0.004796,0.014194,0.020365,0.02031,0.022757,0.024494,0.022977,0.023267,0.023047,0.020643,0.020021,0.020625,0.017629,0.016789,0.020205,0.023649,0.022976,0.022494,0.02128,0.0247,0.022836,0.022053,0.017394,0.014721,0.014748,0.009423,0.007763,0.001101,0.000317,-0.001847,-0.000976,-0.001729,-0.00176,-0.000689,-0.002087,-0.001434,0.000798,0.000657,0.000419,-2.3e-05,-6e-06,0.000729,0.000797,-0.000485,-2.9e-05,-0.000415,-5.3e-05,0.004843,0.004985,0.001248,0.001042,0.001077,0.002026,0.001529,0.005261,0.005301,0.001015,0.002411,0.002302,0.003053,0.006998,0.006925,0.006959,0.006682,0.006013,0.002389,0.001908,-0.000125,-0.001759,-0.004192,-0.004748,-0.01166,-0.007927,-0.008483,-0.008644,-0.010005,-0.00567,-0.003175,-0.001025,0.000825
-1.588336,-1.630158,-0.305533,-0.663724,-0.225813,-0.203441,-0.189392,-1.47155,-0.542446,-1.354493,-0.277622,-0.444394,1.718902,2.083464,2.368206,-0.053268,-0.018993,0.002041,2.319619,-0.063353,-0.076427,-0.031552,0.11425,-0.099095,-0.159664,-0.175038,-0.126967,-0.120079,-0.069902,-0.094556,-0.077221,-0.079575,-0.078871,2.523972,-0.066161,-0.095243,-0.062957,-0.030994,-0.090156,-1.548772,-2.417441,-0.02067,-0.025401,0.002112,-0.026508,-0.029179,0.004804,-0.082935,-0.043112,-0.043015,-0.010711,0.002812,0.001778,0.901708,0.015698,0.017299,0.070352,2.18182,0.314798,2.74111,-0.442086,0.93832,2.749953,-1.62195,3.987429,-1.45335,-1.374898,1.061004,1.429736,-1.219224,-0.177692,4.717506,0.712182,0.10123,0.117544,-0.12648,0.083717,0.001296,1.590007,-0.052647,0.405688,0.412954,-0.062537,-0.126777,-0.112492,-0.065721,0.350601,-0.080524,-0.012785,-0.012326,-0.008512,0.035753,-0.000598,-0.001437,0.002199,-0.001147,-0.000161,-0.000116,0.002161,0.000251,-4.3e-05,-3e-05,0.035101,0.000104,-0.044301,-0.040814,0.002913,-0.117286,-0.00405,0.0037,0.000199,0.003807,0.003643,0.03477,-9.9e-05,-7.7e-05,-4.8e-05,-4.1e-05,0.000855,-1.3e-05,-2.4e-05,-0.000114,0.026003,0.154269,0.029211,0.03321,0.146132,0.13418,0.265307,0.084472,0.120071,-4.941953,0.129354,-0.005689,-0.22656,-1.431615,-1.177928,-0.120426,0.048554,-1.127072,-0.94481,-1.245224,-4.558309,-5.444104,-0.694073,0.113831,-0.704361,0.050214,-3.469463,-3.582035,0.312027,0.004337,-0.525773,-0.837576,0.207885,-0.607298,-0.021034,0.243046,-0.030168,-1.048709,0.576885,0.341962,0.00405,-0.016086,-0.025009,-0.021616,0.024397,0.174121,0.44644,0.099582,0.204495,0.462269,0.178452,0.188304,-0.047939,0.381214,0.12362,0.401131,0.390878,1.545929,-0.05807,-0.005549,-0.000789,-0.001721,-0.002732,1.601782,-0.002283,-0.003614,-0.000744,0.001074,-0.000259,0.004242,0.000955,0.001536,-0.013448,-0.005709,0.257266,2.292862,1.009185,0.035456,0.053626,2.018259,-0.03623,-0.000238,0.00107,0.646959,-0.00271,0.658256,0.80037,-0.351847,0.011468,-0.017993,-0.393368,0.052847,-0.032731,-0.03323,-0.030842,-0.033094,-0.033378,0.000315,0.000349,-2.3e-05,-0.226345,0.000741,0.001154,0.044454,-0.201437,-0.03082,-0.030536,-0.105325,-0.251861,0.048379,0.051549,-0.019258
