0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
0.012029,0.01197,0.011513,0.004668,0.011523,0.004267,0.011636,0.01159,0.012555,0.019812,0.013409,0.013819,0.013699,0.013076,0.013561,0.012909,0.012189,0.011568,0.004598,-0.002707,-0.002696,-0.00313,-0.002958,-0.002904,-0.002899,0.003747,0.00378,0.004919,0.004905,0.005396,0.012438,0.013045,0.013002,0.013666,0.013113,0.013199,0.013909,0.013348,0.006838,0.01333,0.013356,0.006826,0.006768,0.006754,0.000288,0.006876,0.006928,0.007101,0.000446,0.00042,0.006997,0.006945,0.006901,0.001028,0.006972,0.000384,0.006926,0.007022,0.00694,0.006942,0.006815,0.006823,0.000138,6.3e-05,3.9e-05,4.3e-05,6.7e-05,0.000139,3.9e-05,0.00665,-2.1e-05,-5e-06,1.3e-05,3.1e-05,9.4e-05,2.4e-05,-3.4e-05,-1.2e-05,-1.9e-05,0.006718,-1e-06,3.2e-05,-5e-06,-5e-06,3e-06,-1.2e-05,-0.000141,0.006503,-1.3e-05,5e-06,3.5e-05,0.000147,0.000246,-0.000549,0.000152,3.3e-05,-1e-06,-0.000751,-0.0,8.2e-05,5.2e-05,6.2e-05,0.006852,0.000262,0.000435,-0.006047,-0.012565,-0.012365,-0.012156,-0.00644,-0.013284,-0.005881,-0.005573,3.9e-05,5.7e-05,0.000867,0.000411,-0.006205,-0.006226,-0.007121,-0.014888,-0.014926,-0.014166,-0.01419,-0.020921,-0.020353,-0.014318,-0.014562,-0.021366,-0.007872,-0.013816,-0.007159,-0.001257,-0.000684,0.005905,0.005785,0.012177,0.012206,0.012077,0.01777,0.018295,0.017543,0.018125,0.01222,0.018842,0.012556,0.012046,0.013574,0.006863,0.006961,0.007869,0.007167,0.007936
0.026319,0.021307,0.021736,0.019356,0.01775,0.018912,0.013787,0.012653,0.001988,0.002795,-0.001115,-0.002419,0.001943,0.010818,0.005496,0.013818,0.022636,0.029427,0.029773,0.035788,0.03519,0.038667,0.035056,0.03382,0.033649,0.032199,0.030535,0.017414,0.017379,0.012349,0.007118,0.000485,0.001191,-0.005842,-0.00045,-0.001643,-0.0086,-0.003106,-0.003701,-0.002378,-0.002428,-0.002905,-0.002114,-0.00186,-0.003418,-0.003125,-0.003603,-0.005515,-0.005135,-0.00478,-0.003902,-0.003135,-0.003186,-0.009675,-0.003142,-0.004087,-0.002488,-0.003372,-0.002388,-0.002379,-0.001558,-0.001066,-0.001367,-0.00062,-0.00039,-0.00042,-0.000652,-0.001387,-0.00039,0.000755,0.000218,3.6e-05,-0.000142,-0.000306,-0.00093,-0.000222,0.000364,0.00012,0.000189,7.3e-05,-5e-06,-0.000319,4.5e-05,4.5e-05,-2.4e-05,0.000118,0.001389,0.002161,0.000115,-3.7e-05,-0.00034,-0.001397,-0.002365,0.004324,-0.001442,-0.000295,2.3e-05,0.00626,1.1e-05,-0.000789,-0.000495,-0.000619,-0.001233,-0.002593,-0.003432,-0.006731,-0.009234,-0.011521,-0.014515,-0.005195,-0.005245,-0.010444,-0.0124,-0.000451,-0.000642,-0.008147,-0.004738,-0.007558,-0.007449,0.001054,0.010157,0.010807,0.0039,0.004442,0.00336,-0.001815,0.008006,0.012026,0.013058,0.015391,0.00627,0.008156,0.019004,0.012905,0.013943,0.01557,0.018046,0.015677,0.016775,0.025071,0.017685,0.023128,0.017079,0.010582,0.007848,0.005472,0.009423,-0.004723,-0.00318,-0.004144,-0.011902,-0.005928,-0.012297
-0.014166,-0.018348,-0.026725,-0.02813,-0.030083,-0.037329,-0.033693,-0.034613,-0.026325,-0.017377,-0.011287,-0.003484,0.000465,-0.000539,0.003662,0.002133,0.001014,-0.001898,-0.000986,-0.003967,-0.004517,-0.01025,-0.013307,-0.014296,-0.014403,-0.016168,-0.017494,-0.011468,-0.011481,-0.007196,-0.003736,-0.000852,-0.000261,0.002274,-0.00168,-0.002706,-0.000117,-0.003997,-0.003858,-0.0034,-0.003465,-0.003216,-0.002532,-0.002316,-0.002997,-0.003437,-0.003868,-0.005571,-0.004545,-0.004248,-0.004199,-0.003532,-0.00355,0.000115,-0.003566,-0.003693,-0.002995,-0.00381,-0.002928,-0.002927,-0.002145,-0.001732,-0.001252,-0.000566,-0.000356,-0.000384,-0.000596,-0.001272,-0.000357,-6.5e-05,0.000198,3e-05,-0.000133,-0.000283,-0.000856,-0.000202,0.000337,0.000111,0.000172,-0.000696,-8e-06,-0.000295,4e-05,4.1e-05,-2.2e-05,0.000108,0.001275,0.001219,0.000105,-3.5e-05,-0.000314,-0.001283,-0.002177,-0.004955,-0.001324,-0.000271,2e-05,-0.003168,1.1e-05,-0.000725,-0.000455,-0.000565,-0.001903,-0.002364,-0.003388,-0.00545,-0.007037,-0.009213,-0.012139,-0.013281,-0.012614,-0.009264,-0.002016,-0.000426,-0.000616,0.001319,-0.004621,-0.006606,-0.006509,-0.007478,-0.007025,-0.006383,-0.003897,-0.003364,-0.003677,0.000516,0.000144,0.004031,0.00574,0.006474,0.007477,0.008554,0.009022,0.012173,0.012333,0.013775,0.015184,0.012852,0.013764,0.011633,0.01354,0.009531,0.012771,0.016217,0.013108,0.011713,0.006628,0.011462,0.005035,0.00423,0.006146,0.002756,0.005836
0.257005,-0.198079,0.202676,0.137218,1.161809,-0.005892,4.44338,0.091074,0.145882,1.423159,0.312518,1.349225,0.327355,0.371903,0.285354,-0.146198,-0.061959,-0.025522,-0.888452,-0.122618,-0.360859,-0.016103,0.116645,-0.04065,0.003971,0.158968,0.123211,-0.030134,0.117424,-0.004153,0.050254,0.015604,0.029496,-0.256173,-0.416071,-0.022979,-0.036855,-0.043191,-0.239356,-0.271646,-0.007902,0.00413,-0.017144,0.003237,0.007208,-0.000598,0.000341,0.002919,0.001331,-0.025879,0.007485,0.000658,-0.251576,-0.039033,0.004698,-0.001534,0.001987,-0.000194,-0.000175,0.000278,-0.261184,-0.039741,-0.002073,0.000313,0.000168,0.000113,9.3e-05,-0.002141,4.5e-05,0.002083,2.4e-05,1.4e-05,1.7e-05,0.000543,0.078735,-0.001192,-0.000126,-0.00634,-6.5e-05,-0.000125,4.5e-05,3.6e-05,2.3e-05,1.9e-05,1.3e-05,4e-06,0.002225,0.004275,-0.015273,6e-06,1.1e-05,5e-06,-0.002223,0.036646,-0.003329,0.000121,6.8e-05,0.028836,0.000691,-0.442463,0.000226,0.000685,-0.441593,-0.481432,-5.000781,-0.445635,-0.446936,-0.038032,0.000437,-1.223222,0.305895,0.179428,-1.691815,-0.122545,-0.007872,-0.033948,0.001205,-0.003569,-0.295029,0.01296,-0.06675,-0.384499,-1.455554,-1.399723,-1.434258,0.091643,-4.636339,0.005482,-0.016103,0.057947,0.01032,0.013278,0.218901,0.188596,-0.000853,0.057105,0.117167,0.015055,0.021677,-4.879343,0.000624,0.042077,-0.045894,-0.025291,-1.532189,-0.067581,-4.918859,-0.060598,-0.031636,-0.033665,-0.071153,0.153374,0.143244
0.504227,1.082113,0.957013,0.597155,0.826213,0.921172,0.020593,0.766499,0.348004,-0.043985,0.473166,0.114755,0.326891,0.388576,0.558113,0.737789,0.510927,0.411132,-1.174819,0.851117,0.310851,0.251446,0.178617,0.59279,0.422918,-0.069184,0.00446,0.205987,-0.121831,0.14968,-0.037836,-0.033994,-0.172155,0.143673,-0.241834,-0.051448,0.003898,0.088632,0.434702,0.471395,0.043436,0.008734,0.034554,-0.008235,0.005426,0.013452,0.000945,0.011523,0.019643,0.079415,0.001112,-0.000757,1.646842,0.027436,-0.005505,0.016105,-0.015253,0.002109,0.002089,0.000279,1.656123,-0.017334,0.017367,-0.000124,8.4e-05,6.3e-05,4.1e-05,0.017359,1.1e-05,-0.01519,1.1e-05,1.2e-05,2e-06,-0.00215,-0.162574,0.002001,0.000288,0.009968,0.000262,0.002196,2.2e-05,6e-06,1.2e-05,4e-06,8e-06,1.2e-05,-0.017345,-0.032547,0.119655,-2e-06,-1.4e-05,1e-06,0.017377,-0.010089,-0.002057,-8.7e-05,1.2e-05,0.013378,-0.001155,-0.210702,8.6e-05,-0.000211,-0.210825,-0.215609,-2.374626,-0.162536,-0.140352,0.329443,0.05931,-1.193655,-0.577558,-0.354401,-0.237538,0.286138,0.031978,0.030052,0.011918,0.032692,-0.533111,0.032021,-0.044805,-0.180898,-0.782282,-0.876379,-0.678274,-0.734697,-2.650448,-0.149258,0.008063,-0.170242,-0.017187,-0.033974,-0.440454,-0.468244,-0.056999,-0.195573,-0.274886,-0.118587,-0.158062,-1.718832,0.006791,-0.019353,0.013066,-0.088702,-0.494443,-0.068589,-1.80523,-0.047032,-0.008404,-0.005147,0.001424,-0.297506,-0.408528
0.704441,0.42088,0.651879,-0.122248,1.183615,-0.064665,3.503185,0.434078,0.104645,1.096995,0.660146,1.093621,0.580547,0.421071,0.73639,0.398919,0.305122,0.536225,2.59771,0.802726,1.525426,0.701235,0.291658,0.609478,0.482656,0.401664,0.427182,0.533602,0.276973,0.21454,0.079109,0.055346,0.206333,0.16728,-0.118647,0.005974,0.024047,0.117433,0.354542,0.679612,0.078641,0.011524,0.069345,0.03452,-0.033146,0.014607,0.005396,-0.023165,-0.021829,0.025843,0.00411,0.007102,-2.198087,-0.040748,0.000304,-0.023873,0.029207,0.006311,0.006342,0.009004,-2.190233,-0.002499,-0.022868,0.000409,3.5e-05,1e-05,1.8e-05,-0.02292,1e-05,0.029247,6e-06,1.1e-05,-1e-05,0.00313,-0.128663,0.001676,0.000221,0.008309,0.000205,0.006372,1e-06,4e-06,-3e-06,1.4e-05,-7e-06,7e-06,0.022937,0.052154,-0.158129,5e-06,1.9e-05,3e-06,-0.022888,0.018089,-0.000218,0.000221,2.7e-05,0.036421,-0.000983,-0.11171,6.1e-05,0.000879,-0.104752,-0.14085,-1.244843,-0.177697,-0.217435,-0.478852,-0.14471,-0.887991,-0.601759,-0.445884,-0.222048,0.231522,0.021282,-0.045587,-0.025744,-0.051873,-0.456852,-0.021118,-0.051211,-0.131376,-0.21932,-0.408748,-0.58347,-0.382533,-1.890994,0.150956,-0.018233,0.213445,-0.023336,0.004571,-0.227871,-0.278853,0.106656,0.032811,-0.0881,0.143864,0.10821,-1.800707,0.02321,0.029922,-0.002413,0.138406,-0.56041,0.072104,-1.678447,0.061253,0.008252,0.011101,-0.001305,-0.486725,-0.383827
-0.000688,-0.001268,-0.001229,0.0061,-0.007733,-0.000459,-0.00048,0.006443,-0.000656,-0.000243,-0.000275,0.007355,2.6e-05,0.00705,0.007037,9e-06,0.007079,2.8e-05,0.006826,0.006887,0.007039,0.014177,0.014074,0.014107,0.021285,0.014191,0.021348,0.021849,0.021963,0.021599,0.021537,0.021444,0.021253,0.013783,0.014162,0.014139,0.007161,0.007571,0.007608,0.007515,0.000164,-0.007475,-0.000302,-0.000836,-0.001103,-0.001113,-0.000513,-0.000109,-0.000107,-0.000202,-0.000152,-0.000388,-0.000494,-0.000249,-0.00691,-0.006842,-0.01387,-0.020671,-0.020485,-0.020011,-0.019844,-0.018946,-0.012094,-0.011841,-0.011885,-0.012037,-0.012481,0.000816,0.001024,0.000891,0.007674,0.013782,0.013466,0.013527,0.013144,0.006489,0.006831,0.006962,-0.007197,-0.000263,-0.007477,-0.00699,-0.014097,-0.014063,-0.007428,-0.013896,-0.014117,-0.007769,-0.00797,-0.001132,-0.000691,-8.8e-05,0.006965,-0.000555,-0.000328,0.006718,-0.000278,4.7e-05,-1e-05,0.000477,0.000643,0.000154,0.007135,-0.00019,-0.000128,0.00019,0.007882,0.007712,0.01487,0.008273,0.008595,0.015581,0.015401,0.015209,0.007997,0.014691,0.022099,0.021757,0.021221,0.020915,0.006732,0.00667,-0.000435,-0.000403,0.006619,-0.000536,-0.000153,-3.9e-05,0.000226,-0.006485,-0.006504,-0.006703,-0.007154,-0.000909,-0.001375,-0.001337,-0.001384,-0.001205,-0.00149,-0.008558,-0.001253,-0.007736,-0.007488,-0.000256,-0.006711,-0.006644,-0.006597,-0.006947,-0.006839,-0.006712,-0.006636,-0.006459,-0.006373
-0.006783,-0.01314,-0.013023,-0.012692,-0.00995,-0.009889,-0.009985,-0.011391,-0.010706,-0.005027,-0.00515,0.000304,8.9e-05,-0.000943,-0.000975,3.6e-05,-0.000799,0.000119,-0.00185,-0.001606,-0.000962,-0.001493,-0.001929,-0.001778,-0.002076,-0.001361,-0.001686,0.004896,0.005522,-0.000225,-0.000458,-0.000803,0.002569,0.001114,0.011814,0.011767,0.012922,0.019654,0.019895,0.023887,0.018261,0.011327,0.011255,-0.00034,-0.006127,-0.010496,-0.007136,-0.009559,-0.009246,-0.014117,-0.013872,-0.010777,-0.011389,-0.00571,-0.002828,-0.002456,-0.001572,0.000494,0.001445,0.008041,0.004385,0.016855,0.010695,0.01173,0.011263,0.010306,0.008191,-0.000387,0.000558,-2e-05,-0.001502,-0.010238,-0.011805,-0.007419,-0.009413,-0.01148,-0.005622,-0.005002,-0.008754,-0.005493,-0.005896,0.000742,0.000908,0.001077,-0.005516,0.001949,0.000933,-0.006978,-0.007821,-0.013447,-0.007265,-0.00449,-0.005176,-0.010786,-0.005618,-0.006386,-0.005427,0.000223,-4.2e-05,0.002192,0.002971,0.00072,0.003847,-0.000901,-0.000612,0.000896,0.011667,0.010887,0.010922,0.013824,0.01981,0.019261,0.014507,0.013868,0.013276,0.011535,0.01808,0.01673,0.009623,0.00814,-0.001595,-0.001955,-0.00263,-0.002447,-0.002295,-0.007642,-0.000939,-0.000262,0.001336,0.003067,0.002905,0.001709,-0.000467,-0.005254,-0.007911,-0.003359,-0.003596,0.00175,-0.004168,-0.004114,-0.00271,0.000692,0.002059,0.002862,0.006336,0.006675,0.00683,0.004946,0.0055,0.006134,0.006493,0.007342,0.007733
0.002943,0.006203,0.006415,0.00694,0.009077,0.009368,0.009282,0.008186,0.008615,0.004618,0.0045,0.000498,8.2e-05,-0.000671,-0.000706,2.7e-05,-0.000545,0.000106,-0.001531,-0.00131,-0.000712,-0.001022,-0.001445,-0.001322,-0.001438,-0.00096,-0.001127,-0.004322,-0.003752,0.000151,-0.000101,-0.000438,-0.006612,-0.008076,-0.016697,-0.016751,-0.015733,-0.018693,-0.018442,-0.023945,-0.019977,-0.017483,-0.017273,-0.009661,-0.005866,-0.000693,0.002535,0.009614,0.009912,0.014645,0.014895,0.008484,0.007905,0.003946,0.006608,0.006964,0.007692,0.009526,0.010397,0.007257,0.013087,0.006076,0.009674,0.010589,0.01007,0.00912,0.007173,0.008781,0.009603,0.009071,0.00785,0.009224,0.007816,0.002656,0.000867,0.007998,0.004145,0.004701,0.010277,0.004191,0.003746,0.000574,0.000621,0.000768,0.00408,0.001529,0.000612,0.002762,0.001999,0.006203,0.00262,0.005102,0.004625,0.008598,0.004098,0.003537,0.004274,0.000197,-3.7e-05,0.001971,0.002663,0.000644,-0.005575,-0.000812,-0.000553,0.000796,-0.007703,-0.0084,-0.008265,-0.00578,-0.009541,-0.009941,-0.005121,-0.005697,-0.006287,-0.007756,-0.010956,-0.012148,-0.009411,-0.010713,-0.001382,-0.001697,-0.002308,-0.002147,-0.001996,0.002256,-0.000823,-0.000223,0.001184,0.002686,0.002538,0.001488,-0.000566,-0.004602,-0.00698,-0.011977,-0.01225,-0.016563,-0.012839,-0.012914,-0.011633,-0.008617,-0.007356,-0.006547,-0.003418,-0.003102,-0.002947,-0.004696,-0.004182,-0.003596,-0.003267,-0.002485,-0.002121
-0.034387,-5.321878,-0.954745,-0.061236,-0.080408,-0.06921,-0.082362,-1.654579,-0.063147,0.005986,-0.006501,0.029435,0.030439,0.017376,0.009168,0.123545,-0.001735,-0.000442,-0.00184,0.001296,-0.00218,3.1e-05,-0.000943,-0.0154,-0.017327,-0.006284,-0.011215,-0.000917,0.003487,-0.025151,-0.064119,1.67758,0.079191,0.180948,0.611408,1.782671,0.606922,0.142581,0.190683,0.167054,0.134229,5.626973,0.108826,0.032147,-0.005711,-0.048554,-0.044556,0.076783,-0.087593,-0.126567,-0.156514,-0.123357,-0.093996,-0.123642,0.352897,-0.120989,0.01908,0.455045,-0.074734,-0.044105,-0.084904,0.01808,0.00059,-0.512218,-0.00177,-0.058147,-0.013106,-0.049048,-0.063444,-0.042916,-0.042971,-0.070214,-0.100597,-0.038326,-0.033188,-0.068624,-0.03414,-0.034235,-0.070824,-0.034534,-0.036155,-0.00105,-0.002668,-0.002598,-0.033768,-0.002077,-0.002956,-0.036767,-0.036628,-0.075027,0.122012,1.338674,-0.034697,-0.07029,-0.041948,0.632525,-0.036488,-0.000424,-0.02365,-0.009652,-0.008471,-0.010204,0.61571,-0.015398,0.004263,0.00408,0.076641,0.06375,0.031821,0.060464,0.110538,0.112506,-0.505652,0.067767,0.075512,0.071973,0.122084,0.098702,0.067245,-0.04723,-0.004025,-0.005101,-0.397164,-0.002662,0.010771,-0.078599,-0.001506,-0.009088,7.3e-05,-0.118561,0.00316,-0.011123,-4.118352,-0.032542,0.01293,0.040699,-1.176657,0.08442,0.035596,0.028518,0.037822,-1.176799,0.038804,-0.080569,-1.211142,-1.240868,-0.086174,0.009559,-0.083691,0.004868,0.02727,0.004806,0.008443
