0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
0.010549,0.010561,0.010971,0.017068,0.016988,0.010899,0.010844,0.010724,0.01653,0.01089,0.004291,0.01012,0.010044,0.004077,-0.001861,0.003955,-0.001274,-0.000672,-0.001181,-0.007518,-0.00692,0.005694,3.2e-05,9.2e-05,0.000621,0.000779,0.000795,0.00077,0.000841,0.006638,0.006609,0.006162,0.012039,0.000243,0.012469,0.006569,0.00657,0.012468,0.012552,0.012671,0.01211,0.012074,0.006167,0.012116,0.01194,0.006094,0.006069,0.005968,0.005938,-2.8e-05,0.005847,-5.1e-05,-3.6e-05,3e-06,4e-06,-0.000657,0.005315,-1.5e-05,2e-06,0.005936,0.005924,-1.5e-05,-0.000687,-5.3e-05,-0.000626,6e-06,-0.000621,-4.6e-05,-0.000653,5e-06,-2e-06,2e-06,0.005951,7.9e-05,0.000156,0.00015,0.000189,0.000155,0.000159,0.000154,0.000167,4.4e-05,-3.4e-05,0.00574,-0.000256,-0.000142,-0.005858,0.000102,-0.005846,-0.005586,-0.011441,-0.011599,-0.011672,-0.011724,-0.017679,-0.01766,-0.023584,-0.017534,-0.022979,-0.017509,-0.011418,-0.005162,0.000465,0.006854,0.007023,0.007719,0.00146,0.001271,0.000502,0.000381,-0.000386,-0.006924,-0.000558,-0.007632,-0.001366,-0.000797,0.005583,0.006053,0.006548,0.01286,0.01281,0.012814,0.012686,0.012688,0.012591,0.006141,0.011816,0.005496,0.005069,0.012128,0.017785,0.012244,0.011977,0.012049,-0.001948,-0.00877,-0.015849,-0.016474,-0.016392,-0.009888,-0.016579,-0.015911,0.002788,0.003324,0.003902,0.010971,0.004319,-0.000453,0.006356,0.005891,0.000709,0.000659,3.7e-05,0.000478,0.000547,0.006984,-0.011439,-0.017,0.000836,0.006604,0.0204,0.025836,0.026686,0.027391,0.039654,0.032745,0.038896,0.031397,0.024811,0.023669,0.023482,0.016135,0.003323,-0.002527
0.009299,0.009777,0.005054,0.009533,0.012096,0.013005,0.014318,0.018505,0.025088,0.020489,0.027527,0.029529,0.030316,0.028585,0.028615,0.027966,0.019694,0.01064,0.016633,0.022873,0.015091,0.002885,-0.000804,-0.002361,-0.009206,-0.013376,-0.013542,-0.012768,-0.014449,-0.012541,-0.011224,-0.00643,-0.005376,-0.005468,-0.008323,-0.008259,-0.007964,-0.007145,-0.008212,-0.009701,-0.003593,-0.002599,-0.003162,-0.002822,-0.000613,-0.001633,-0.00121,0.000202,0.000602,0.000387,0.001769,0.000676,0.000469,-2.4e-05,-3.2e-05,0.006371,0.006403,0.000204,-1e-06,0.000502,0.000619,0.00019,0.006619,0.000713,0.005868,-3e-05,0.005843,0.00063,0.006238,-2.7e-05,2.7e-05,-5e-06,4.3e-05,-0.00098,-0.001913,-0.001849,-0.00233,-0.001919,-0.001954,-0.001892,-0.002043,-0.000526,0.000426,0.002871,0.002772,0.001702,-0.001399,-0.000594,-0.001599,-0.004971,-0.006804,-0.00506,-0.004215,-0.003755,-0.004626,-0.005125,-0.007105,-0.009374,-0.018145,-0.013215,-0.016913,-0.02157,-0.017799,-0.023804,-0.028878,-0.036443,-0.035767,-0.031897,-0.020875,-0.017822,-0.005715,-0.002458,-0.00139,0.008572,0.013177,0.005497,0.006849,0.002023,-0.003151,-0.000106,0.001096,0.000998,0.003546,0.003337,0.004786,0.004944,0.012997,0.011337,0.014122,0.00671,0.014306,0.004592,0.005586,0.004713,0.016184,0.019948,0.02765,0.0342,0.034515,0.032703,0.036267,0.030241,0.035173,0.029243,0.023285,0.015727,0.01834,0.003865,0.000455,0.006856,-0.001893,-0.001254,0.004779,0.001279,0.000254,-0.004691,-0.008356,-0.016503,-0.01251,-0.006604,-0.021079,-0.01258,-0.01898,-0.022855,-0.019052,-0.01061,-0.008253,0.001176,0.00318,0.010799,0.010437,0.017636,0.019271,0.016714
-0.02476,-0.024485,-0.020013,-0.017752,-0.016078,-0.015039,-0.014169,-0.01148,-0.007738,-0.002787,-0.005277,-0.00449,-0.004019,-0.004637,-0.004182,-0.005059,-0.002441,-0.000734,-0.004256,-0.00718,-0.004717,0.001144,-0.000469,-0.001394,0.001472,-0.00102,-0.001003,-0.000555,-0.001591,-0.000887,-0.000109,-0.004388,-0.004212,-0.00338,0.001172,0.001658,0.001838,0.001887,0.001215,0.000274,-0.003195,-0.00258,-0.002473,-0.002736,-0.001362,-0.001522,-0.001255,-0.000355,-0.000102,0.000241,0.000642,0.000426,0.000297,-1.5e-05,-1.9e-05,-0.003287,-0.003743,0.000127,-3e-06,-0.000162,-9e-05,0.000118,-0.003123,0.000453,-0.003592,-1.8e-05,-0.0036,0.0004,-0.003346,-1.8e-05,1.5e-05,-5e-06,-0.000452,-0.000626,-0.001219,-0.001177,-0.001483,-0.001225,-0.001246,-0.001209,-0.001308,-0.000337,0.000273,0.001361,0.001701,0.001098,-0.0004,-0.000533,-0.000518,-0.002678,-0.003388,-0.00228,-0.001737,-0.001447,-0.001534,-0.001858,-0.002679,-0.004655,-0.002537,-0.007242,-0.010279,-0.014203,-0.019783,-0.024817,-0.028763,-0.027089,-0.026417,-0.024151,-0.024238,-0.022047,-0.020951,-0.017917,-0.017668,-0.017392,-0.014214,-0.012155,-0.011621,-0.007258,-0.003191,-0.00127,-0.000284,-0.00037,0.001728,0.001548,0.002735,0.003452,0.001126,0.000363,-0.005649,-0.004019,-0.006701,-0.005762,-0.013235,-0.013963,-0.019833,-0.024336,-0.025488,-0.028232,-0.027786,-0.029758,-0.034252,-0.031018,-0.02013,-0.016794,-0.013607,-0.004154,-0.009461,-0.00492,0.008043,0.013523,0.022949,0.023422,0.020213,0.025208,0.024275,0.019553,0.002389,-0.003598,-0.010167,-0.006002,-0.003017,-0.004748,-0.002022,0.002838,0.004723,0.012438,0.021928,0.022145,0.024404,0.030392,0.037733,0.035827,0.037754,0.035793
-0.155726,-0.296353,0.125775,3.523487,0.816402,0.275511,0.058571,0.139677,-0.102113,0.873142,-0.174174,0.109547,1.001763,0.023702,0.104889,1.305445,1.41256,0.02102,-0.006669,-0.085454,-0.216286,4.786513,-0.005013,0.426582,4.746165,4.706201,-0.095365,-0.123583,-0.044874,-0.215399,-0.028752,-0.001757,0.007982,0.012374,-0.024593,-0.035007,-0.029446,-0.036388,-0.034276,-0.035814,0.001974,0.016105,0.016255,0.314616,0.934636,-0.163499,0.001518,0.002431,0.00232,0.000245,0.002296,-2.6e-05,0.000166,0.006,0.002362,0.036649,0.045682,0.000242,0.005966,-0.054414,0.002901,-0.111983,0.036522,0.006581,0.037811,-3.1e-05,0.035439,-5.6e-05,0.043525,0.000241,-1.6e-05,-1.5e-05,0.002037,-7e-06,0.004552,0.001269,0.0,-0.002115,-0.000858,0.01328,-0.036457,-0.1532,-0.065867,-0.338434,-2.311481,-0.28744,-0.060049,-5.013595,-0.548561,0.008326,-0.00228,-0.005228,-0.003539,-0.116519,-0.162929,0.001291,-0.518028,-0.00876,-0.046586,-0.320934,-1.501156,-5.045075,-4.81781,-5.444395,0.209465,-1.172878,-0.390975,-1.319027,0.30392,0.277238,0.269364,0.174541,0.101794,-0.01765,-0.420642,-0.282674,-1.308596,0.003255,0.008487,0.083825,-0.003975,-0.001349,0.006519,0.004206,-0.18118,-0.084988,-0.266523,-0.147756,-0.150761,-0.341515,-0.158343,-0.12604,-0.419053,-0.549981,-0.188365,-1.587823,-0.423775,-0.129824,-0.206029,-0.323116,-4.293618,-0.063576,0.555594,0.452189,0.113031,0.076237,-3.838771,-0.088242,0.003387,0.308526,0.152973,-0.00944,-0.090467,-0.244686,0.263256,0.76761,-0.049941,-0.237219,0.046014,0.461058,0.174925,0.083126,0.163927,-0.14101,0.056355,-0.022457,-0.031756,-0.120401,0.001633,-0.046726,0.186699,0.006418,-0.131849,0.008308
0.898118,0.906586,0.46007,0.527249,0.708527,0.476779,0.228549,0.129192,0.460148,0.883812,0.736707,0.948245,1.008476,0.449098,0.12371,2.000997,0.052086,0.103985,0.31353,0.842511,0.835474,-0.090509,0.104895,0.104315,-0.02604,0.220755,0.19156,0.268891,0.071259,0.479198,0.003109,0.019431,-0.026924,-0.102662,-0.03007,0.015609,-0.010374,-0.011023,-0.002382,-0.005736,-0.013955,-0.130185,-0.131716,0.560818,1.773193,0.388426,-0.001058,-0.015737,-0.015179,-3.8e-05,-0.015188,0.000375,9.1e-05,-0.010281,-0.004774,-0.010544,-0.039012,-0.000556,-0.010349,0.117245,-0.017046,0.256059,-0.015092,-0.013285,-0.013146,-6.4e-05,-0.013207,-6.2e-05,-0.023788,-0.000583,-2.1e-05,-5e-06,-0.015214,-2e-06,0.003883,-0.002669,-4e-05,0.017013,0.020248,-0.098145,0.098262,0.428965,0.152593,0.426156,-1.846093,0.615631,0.160159,-0.514803,0.234303,0.171045,0.209363,0.049321,0.040754,0.348564,0.495225,0.020451,-0.16524,0.081783,-0.233036,-0.728827,-0.334708,-0.949114,-1.11909,-3.434278,-0.613188,-0.969015,-0.394658,-0.613461,-0.689027,-0.654475,-0.947026,-0.47788,-0.228226,0.144838,0.583017,0.521261,-0.389674,-0.038406,-0.109212,-0.154186,-0.020428,-0.0233,-0.046434,-0.029732,0.227786,0.009352,0.378219,0.033536,0.233659,-0.187301,0.140315,-0.100165,0.486357,0.02949,0.346592,-0.96261,-0.089157,0.33663,0.400427,0.357755,-1.980999,0.256394,0.087591,0.293299,-0.045654,-0.059725,-2.629917,0.113905,-0.058497,-0.40128,-0.356643,-0.199155,-0.086728,0.10146,-0.274622,1.51602,0.37624,-0.130429,0.02268,0.418295,0.031513,0.073834,0.051702,0.162286,-0.362753,-0.161232,-0.111491,0.020094,0.080941,-0.091056,-0.442278,-0.165098,0.131257,0.075535
-0.383488,-0.246195,-0.481997,3.910589,1.417091,0.104588,-0.190291,-0.208665,0.152386,1.402979,0.017679,0.273145,1.048387,-0.465252,-0.252612,-1.843408,0.883907,-0.116282,-0.146296,0.324335,0.159977,2.607534,-0.180458,0.077137,2.708789,2.767866,0.042777,0.097566,-0.055928,0.336281,-0.027778,-0.019008,0.025263,0.134949,0.0276,-0.015583,-0.030203,0.046814,0.018115,0.021142,0.035714,0.196397,0.190226,-0.608202,-1.817191,0.298539,0.00424,0.029567,0.02937,0.00029,0.029382,-0.000559,-3.4e-05,-0.007231,-0.003522,0.017921,0.037563,-0.000388,-0.007336,0.130381,0.027834,0.194928,0.019162,-0.009781,0.01596,-4.2e-05,0.020945,5.8e-05,0.008087,-0.000449,-2.2e-05,-1.1e-05,0.029244,-1e-06,-0.033013,-0.002015,-5.5e-05,-0.023129,-0.026661,0.133988,0.039943,0.080145,0.118283,0.350246,1.326025,0.508371,0.085801,-2.412372,-0.262677,-0.273195,-0.28973,-0.079275,-0.085207,0.15046,0.213557,-0.099598,-0.150327,-0.136238,-0.113227,-0.56796,-0.703901,-2.462214,-2.601007,-1.029119,-0.187982,-0.951281,0.232975,-0.685826,-0.227449,-0.164292,-0.161651,0.274358,0.267261,0.337052,0.689441,0.656751,-0.463064,0.261999,0.182816,-0.042513,0.066556,0.064114,0.080734,0.058948,0.310532,0.348044,0.502946,0.089061,0.278548,-0.195392,0.553829,0.209898,0.437077,0.253768,0.599859,0.636563,0.386841,0.604113,0.674673,0.644636,-2.001156,0.519732,-0.743412,-0.841861,0.117616,0.094528,-2.838629,0.14888,0.03739,-0.280136,-0.294492,-0.135096,0.113708,0.200207,-0.469032,-2.978993,-0.558058,0.158532,-0.101182,-1.044734,-0.23485,-0.412101,-0.739262,-0.106663,-0.115889,0.015524,-0.151234,0.040491,0.089132,-0.029034,-0.339907,-0.100727,-0.142921,0.0281
0.010873,0.004805,0.01144,0.011511,0.011085,0.010757,0.009788,0.009806,0.00998,0.010206,0.010314,0.017111,0.017251,0.011219,0.011939,0.005812,0.006209,0.006608,-0.000279,1.7e-05,-0.007083,-0.000282,-0.000838,-0.001037,-0.000873,-0.001256,0.005269,-0.001843,-0.002281,-0.002539,-0.002901,0.003908,0.011028,0.004643,0.01301,0.014141,0.015105,0.01506,0.01589,0.016213,0.009465,0.009344,0.001898,0.001652,-0.00556,-0.005734,-0.00583,-0.006128,-0.006514,-0.006837,-0.013676,-0.013375,-0.006486,-0.007284,-0.007296,-0.000285,-0.000558,-0.007342,-0.007528,-0.007505,-0.001414,-0.000988,-0.001172,-0.001144,-0.001171,-0.000867,-0.000879,0.00559,-0.000945,-0.001195,-0.000701,-0.000517,-1e-06,2e-05,9e-06,-3.6e-05,0.000336,-0.006447,-0.006278,0.000437,-0.006237,0.00099,0.00092,0.000581,0.007443,0.00723,0.014193,0.01459,0.014654,0.014422,0.021194,0.021091,0.021065,0.0281,0.034692,0.027981,0.034739,0.028094,0.021668,0.021947,0.015158,0.002348,0.002335,-0.004395,-0.018107,-0.02488,-0.02531,-0.025152,-0.025301,-0.025299,-0.032125,-0.03214,-0.031926,-0.031432,-0.024414,-0.023825,-0.022936,-0.016595,-0.016319,-0.009131,-0.009591,-0.003369,0.003028,0.002947,0.008783,0.002813,0.009092,0.009122,0.009144,0.01396,0.013784,0.008404,0.01395,0.013461,0.006985,0.006859,0.012204,0.005256,0.000441,0.000553,0.001451,0.006798,0.001083,0.001867,0.007263,0.011985,0.000529,0.005369,0.01083,0.005712,0.010978,0.005119,0.005684,0.004812,0.005303,0.012612,0.018585,0.018289,0.013657,0.007836,0.001648,0.002333,0.00184,-0.004735,-0.005106,-0.005489,-0.006145,-0.006227,-0.006213,-0.00641,-0.001005,0.005116,0.00524,0.004377
-0.013987,-0.007616,-0.008226,-0.008094,-0.009937,-0.011341,-0.015447,-0.015784,-0.015404,-0.014638,-0.014489,-0.015267,-0.01488,-0.01141,-0.008486,-0.005014,-0.003282,-0.001512,-0.005264,7.9e-05,-0.004628,-0.001242,-0.007712,-0.008598,-0.003848,-0.005553,-0.007566,-0.008136,-0.010033,-0.011164,-0.012729,-0.013842,-0.013839,-0.010877,-0.00536,-0.000253,0.008348,0.004136,0.012424,0.014045,0.015869,0.011416,0.009369,0.008178,0.006929,0.010087,0.009541,0.003944,0.002067,0.000533,0.001049,0.002474,0.002158,-0.005547,-0.005583,-0.001291,-0.006546,-0.005675,-0.006479,-0.006309,-0.014232,-0.008331,-0.009143,-0.009029,-0.009148,-0.007802,-0.007854,-0.014472,-0.008152,-0.013299,-0.007084,-0.006284,1.6e-05,0.000105,4.5e-05,-0.000147,0.005515,0.006789,0.007515,0.005756,0.007643,0.008291,0.007983,0.006527,0.009757,0.008851,0.008586,0.014527,0.014904,0.010001,0.009256,0.009094,0.009127,0.014147,0.012997,0.014378,0.014297,0.016474,0.02422,0.030733,0.028029,0.036627,0.036654,0.036314,0.024926,0.02346,0.016276,0.016649,0.011183,0.011044,0.005818,0.005677,0.006679,0.008801,0.010101,0.012291,0.019786,0.014067,0.014782,0.020571,0.014746,0.013069,0.012389,0.012024,0.005496,0.012122,0.010812,0.011024,0.015058,0.004665,0.004021,0.012377,0.005042,0.003004,0.003188,0.002183,-0.002434,-0.008966,0.005768,0.006307,0.014233,0.005833,0.008777,0.016219,0.00817,-0.003028,0.006265,-0.008289,-0.012503,-0.002967,-0.015932,-0.009804,-0.003265,-0.011522,-0.009134,-0.000538,-0.00229,-0.007956,0.005046,0.012004,0.005,0.012733,0.010068,0.008445,0.002448,0.000341,-0.003201,-0.00362,-0.003538,-0.000675,-0.009066,-0.009925,-0.005466,-0.013958
-0.002172,-0.005733,-0.006138,-0.006067,-0.007528,-0.008639,-0.011953,-0.012295,-0.012113,-0.011558,-0.011544,-0.012197,-0.011933,-0.009254,-0.006881,-0.004102,-0.00266,-0.001181,0.004327,6.5e-05,0.004774,-0.001034,0.002288,0.001542,-0.003234,-0.004683,-0.006297,-0.006915,-0.008587,-0.00959,-0.011033,-0.011987,-0.011965,-0.009521,-0.004514,2.4e-05,-0.001365,0.003906,0.002185,0.003507,0.005014,0.009965,0.008051,0.007005,0.005844,-0.000291,-0.000763,0.003283,0.00169,0.000387,0.000741,0.001939,0.001751,0.004017,0.003986,-0.001081,0.003254,0.003896,0.003217,0.003356,0.005546,0.001742,0.001046,0.001135,0.001029,0.002182,0.002137,0.005454,0.001878,0.006351,0.002804,0.003496,1.6e-05,9.1e-05,3.8e-05,-0.000125,-0.00416,-0.003182,-0.002551,-0.00399,-0.00244,-0.001754,-0.002024,-0.003274,-0.009267,-0.010043,-0.010151,-0.013915,-0.01359,-0.008942,-0.009496,-0.009656,-0.009638,-0.014116,-0.015091,-0.013969,-0.014034,-0.012209,-0.014351,-0.017523,-0.011358,-0.012385,-0.012307,-0.012516,-0.004823,-0.006033,-0.003478,-0.003189,0.000753,0.000607,0.004693,0.004516,0.005314,0.006997,0.008065,0.009779,0.007419,0.011156,0.01162,0.007894,0.011508,0.010163,0.009584,0.009284,0.012383,0.008888,0.008161,0.008277,0.003206,0.003475,0.002976,0.001147,0.00367,0.002188,0.00215,0.001571,-0.00178,0.00139,-0.003691,-0.003303,-0.005442,-0.003652,-0.001523,-0.003995,-0.001972,-0.002222,-0.003326,0.001843,-0.001216,-0.00216,0.004134,0.000744,-0.002397,-0.000509,0.001225,-0.000449,-0.001789,0.001996,0.003564,0.000732,0.011403,0.009069,0.007116,0.005989,0.009521,0.008033,0.005562,0.005271,0.005328,-0.000408,0.001429,0.000777,-0.003867,-0.002075
-0.199564,-0.134649,0.262479,0.091298,0.175827,0.072125,3.781152,0.122053,0.116206,1.501267,0.002352,0.112531,-0.001579,0.00491,-0.001859,-0.003181,-0.003992,0.393864,-0.043221,0.002927,-0.185137,-0.015845,-0.037231,0.454331,0.000759,0.005106,0.011829,0.119339,1.698391,0.371223,0.348304,1.15517,0.286811,0.475764,0.144466,1.568133,0.129753,0.07135,0.578632,1.606633,0.131977,0.075012,0.037013,0.032025,0.018574,0.03087,0.027891,0.386686,-0.007724,0.006443,-0.032132,0.001982,0.00417,-0.056822,-0.033832,-0.001671,-0.041068,-0.036338,-0.036586,-0.038161,-0.072495,-0.040413,-0.036561,-0.039297,-0.036145,-0.036074,0.141767,-0.069491,-0.035454,-0.070841,-0.037416,-0.03718,-0.00306,0.010493,-0.005652,-0.005918,0.031714,0.029314,0.05009,1.921454,0.034955,0.038455,0.034474,0.040093,0.072316,0.0676,0.07426,0.106834,0.114274,-0.561542,0.078016,0.079872,0.080539,0.116764,0.113353,0.11674,0.117373,0.118212,0.151951,0.184367,-3.905835,-1.703377,0.01846,0.245483,0.149385,0.106035,0.030714,0.065649,-0.082022,0.031679,0.042887,-0.123038,0.004374,-0.007256,-0.005531,-0.013291,0.029259,-0.00118,-0.001644,0.026042,-0.006074,-0.002502,-1.227472,-0.002416,-0.385195,-3.87661,-0.673216,-0.185851,0.038691,0.010195,-1.120789,-0.059719,-2.071402,-1.003463,-3.58523,0.043717,-0.976831,-0.916777,-0.205661,-2.125037,-0.251333,-0.151405,-0.89695,-1.971062,-0.861734,-0.290791,1.340691,-0.145858,-0.483173,-0.242492,0.918324,-0.523923,-0.548431,-0.318101,-0.148772,-0.034194,-3.85519,-0.343955,0.023712,0.034208,-0.034409,-0.000493,-0.014174,-0.141405,-0.357178,-0.032762,0.077876,-0.012739,0.007412,0.004048,-0.034408,-0.024767,0.085892,-0.033949
