0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.009027,-0.000985,-0.00095,-0.008451,-0.001414,-0.001412,0.006602,0.006622,0.006621,0.014213,0.022356,0.022927,0.031189,0.031889,0.024542,0.024616,0.017591,0.017423,0.009077,0.000646,-0.007823,-0.007875,-0.007975,-0.000354,-0.000356
0.018857,0.01409,0.009942,0.006354,0.014069,0.013626,0.007834,0.005804,0.004706,0.002098,-0.005814,-0.012001,-0.017361,-0.022535,-0.02316,-0.022533,-0.02529,-0.021086,-0.014491,-0.006829,0.001035,0.002189,0.004396,0.00691,0.007096
-0.009003,-0.004802,-0.009526,-0.012837,-0.01526,-0.015764,-0.012737,-0.015098,-0.016383,-0.020299,-0.019977,-0.016755,-0.013605,-0.009321,-0.009535,-0.008902,-0.000511,0.004605,0.002839,0.002453,0.002349,0.003803,0.006569,0.008679,0.008894
-0.136428,-0.244035,-0.28759,-0.37298,-0.068672,0.014029,-0.501502,-0.559196,-0.449243,-0.348857,-0.018329,-0.114319,-0.067234,-1.358015,0.221761,0.195856,-4.791741,0.362008,0.259213,0.113226,-1.254883,0.157613,0.289589,-0.893929,-4.220684
0.269734,0.283702,0.379021,0.045082,2.227286,1.889951,0.689845,1.015523,2.509655,0.907678,0.426273,0.527122,0.310516,0.841198,-0.111809,-0.233325,-2.245791,-0.912724,-0.607168,-0.265374,-1.030057,-0.440933,-0.828294,-1.880086,-2.586903
0.476654,0.487717,0.530062,-0.152848,-1.516337,-1.478966,0.5095,0.189219,-2.098748,-0.320679,-0.628933,-0.61657,-0.515642,-3.701333,-1.322384,-1.363742,-2.555471,-1.303484,-1.125363,-0.705988,-1.092277,-0.289376,-0.276291,-1.128464,-2.479773
0.006366,0.006478,0.006761,-0.000805,0.007133,-0.000262,-6.6e-05,0.007768,0.000629,-0.013761,-0.013183,-0.012905,-0.020424,-0.028451,-0.020996,-0.028534,-0.021461,-0.021661,-0.021639,-0.01451,-0.014719,-0.007182,6e-06,0.007155,0.007418
-0.030202,-0.029567,-0.027723,-0.033371,-0.030661,-0.03426,-0.027213,-0.031148,-0.026619,-0.012869,-0.008106,-0.000658,0.004497,0.005796,0.008724,0.008692,0.009134,0.007211,0.006762,0.004028,0.002603,0.007068,0.004711,-0.002912,0.003734
0.006774,0.007524,0.009722,0.013693,0.016989,0.023471,0.021207,0.027299,0.03278,0.038409,0.043775,0.041666,0.036672,0.027295,0.019994,0.019816,0.009921,0.007718,0.007222,0.004234,0.002648,-0.00258,-0.005039,-0.003007,-0.006011
0.032044,-0.323748,-0.017787,-0.075741,-0.007837,0.012147,-0.129809,-0.02473,-0.054968,0.03064,0.009225,0.080104,0.18444,0.005997,0.000808,-0.052334,-0.000847,0.003984,-0.009419,-0.001426,-0.001345,0.043685,0.040494,-0.000621,0.041471
0.550358,-0.18372,0.573005,0.780093,0.802294,0.840619,0.432241,0.736134,0.846896,0.863903,0.644516,0.37537,2.069658,0.412156,0.26869,-0.024734,0.017013,-0.080265,-1.420306,-0.114764,-0.083361,-0.198059,-0.113575,-1.472204,-0.129969
0.473948,0.835432,0.358782,0.086509,0.166102,0.141898,0.014523,0.326591,0.185077,0.432024,0.334324,-0.017692,-2.253527,-0.064564,-0.12111,-0.012186,-0.043493,0.127458,2.513948,0.195178,0.11888,0.330655,0.189896,2.607215,0.222121
