0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
-0.032748,-0.033039,-0.039386,-0.031293,-0.023567,-0.008987,-0.001659,-0.001567,-0.001096,0.014206,0.014273,0.01487,0.030478,0.030558,0.02314,0.031305,0.024226,0.024198,0.01697,0.008457,0.008348,0.000682,0.000593,0.00068,0.008414,0.007727,0.021656
0.046837,0.050917,0.033162,0.022645,0.011595,0.00455,0.002634,-0.003635,-0.009818,-0.013017,-0.013581,-0.017204,-0.018102,-0.017204,-0.014392,-0.015526,-0.016577,-0.01476,-0.015145,-0.004167,-0.002452,-0.00261,-0.001069,-0.002449,-0.004798,0.002094,0.01422
0.022534,0.006148,-0.011443,-0.013104,-0.025054,-0.033678,-0.036479,-0.043389,-0.04051,-0.035989,-0.036908,-0.031287,-0.024069,-0.023284,-0.019559,-0.011417,-0.001251,0.000876,0.012115,0.015533,0.01757,0.018294,0.020099,0.018384,0.014617,0.012005,0.002941
-0.720452,-0.724854,-0.707204,-0.540445,-4.665287,-0.52774,-0.33219,-1.842409,-0.384231,-0.001323,0.016071,-0.040699,-1.577886,0.184568,0.322467,-1.242555,0.318175,0.339634,-0.179391,-0.307952,0.235543,0.277659,-5.358653,-1.114267,-4.064311,-3.795407,-4.080827
1.187559,1.261147,1.368324,1.099825,-1.964122,1.00638,0.736727,0.614664,1.041836,0.309299,0.445979,0.421395,-0.146687,0.102698,-0.419802,-1.062649,-0.893767,-1.195054,-2.710983,-3.06936,-1.230752,-1.794687,-4.028412,-3.113415,-2.036673,-2.214239,-2.944536
0.893679,0.925647,0.597619,0.385302,-1.689036,0.557379,0.4043,-0.93581,-0.155076,-0.585913,-0.73439,-0.539384,-1.252507,-1.556165,-1.216031,-1.821376,-1.41817,-1.617163,1.048416,1.535558,-0.485142,-0.33885,-1.144968,1.531491,-2.955198,-3.103117,-2.949266
0.021747,0.022044,0.022529,0.03032,0.023175,0.023442,0.015845,0.00094,0.009031,-0.005836,-0.005595,0.002387,-0.005081,-0.005069,-0.012824,-0.013006,-0.020718,-0.021035,-0.021647,-0.014586,-0.014592,-0.007042,-0.007496,-0.007513,0.000217,0.007236,0.00745
-0.014027,-0.017678,-0.009185,-0.013764,-0.015105,-0.012831,-0.016777,-0.018143,-0.020641,-0.015437,-0.012885,-0.009493,-0.007654,-0.007619,0.001825,0.015873,0.018384,0.020025,0.018474,0.013929,0.018784,0.023965,0.014887,0.014678,0.016882,-0.001769,2.3e-05
-0.006471,-8.2e-05,-0.000495,0.00482,0.014224,0.017058,0.023048,0.032465,0.040381,0.04669,0.049627,0.053154,0.054799,0.054514,0.043865,0.028069,0.020261,0.011735,-0.000209,-0.005171,-0.010068,-0.014614,-0.014253,-0.014476,-0.01211,-0.001904,7e-06
-0.031565,1.352554,0.087678,0.00633,-0.057911,0.111036,4.694324,4.864621,0.092327,0.60589,0.18043,-0.120919,-0.190741,-0.048983,-0.01955,0.222355,-0.01021,0.035607,0.041938,0.07846,0.02752,0.131782,-0.175673,-0.25426,0.101301,0.036605,0.000694
-0.106962,-0.835215,-0.073608,0.165769,0.142117,0.632792,-2.179641,-1.657999,0.979281,1.038178,1.221007,0.580438,0.314964,0.439803,0.344667,0.525827,-0.028676,-0.030156,-0.080827,-0.021205,-0.083295,-0.102792,-0.438556,-0.676309,-0.121307,-0.499073,-0.009894
0.188968,-0.236875,0.03539,0.220988,0.17037,0.481733,-0.957069,-0.891255,0.385272,-0.107968,0.036921,-0.288762,-0.28021,0.020069,-0.017938,0.124736,0.003036,0.027142,-0.042299,-0.005237,-0.242217,0.03763,-0.443393,-0.352418,0.088688,0.773105,0.027454
