0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-0.054938,-0.060818,-0.058208,-0.050588,-0.031329,-0.018961,-0.000197,0.018314,0.024463,0.044351,0.045205,0.045235,0.052386,0.046541,0.04063,0.041961,0.023904,0.010642,0.01721,0.003861,0.003459,-0.003252,-0.011144,-0.011542,-0.012375,-0.013869,8.3e-05,-0.000219,-0.000333,0.005856,0.011363,0.00406,0.003787,-0.001713,0.018817,0.013515,0.014685
0.045857,0.044039,0.022852,0.005555,-0.006006,-0.005973,-0.008011,-0.007019,-0.006519,-0.012708,-0.017682,-0.014406,-0.011823,-0.011249,-0.011854,-0.02123,-0.035819,-0.036181,-0.03276,-0.034912,-0.031078,-0.032105,-0.023993,-0.020313,-0.0128,0.000656,0.002646,0.005989,0.007287,0.013628,0.024893,0.027057,0.028267,0.015161,0.013779,0.000865,-0.008456
0.05437,0.044497,0.036356,0.023533,0.006327,-0.002476,-0.01322,-0.029978,-0.038239,-0.04473,-0.049253,-0.05567,-0.055387,-0.047001,-0.039205,-0.030117,-0.014935,-0.00543,-0.003296,0.005047,0.008382,0.017214,0.016193,0.019497,0.017158,0.011036,0.020188,0.022923,0.02384,0.019601,0.010586,0.004209,-0.003487,-0.004914,-0.008045,-0.000687,0.008928
-0.435717,-0.515009,3.05816,-0.660976,-0.532119,-0.766434,-0.978326,-0.603479,-0.679315,-0.429149,-0.190984,-4.780066,-5.066804,-0.35872,-0.01053,-0.557713,-0.039686,0.042102,-1.329419,-1.242907,0.16335,-1.406184,0.061051,0.109006,-0.113643,0.171835,-0.59506,0.277575,-0.138833,-4.127661,0.149354,-3.618548,-0.137205,-3.633331,-0.127024,-0.93892,-0.193099
0.259674,0.399441,3.498214,0.651503,1.070288,1.19277,2.662121,1.257325,1.756828,1.211306,0.968637,-1.909463,-0.990618,0.354256,0.627922,1.887568,0.350062,-0.078569,-1.281035,-1.894378,-1.547529,-1.72542,-0.950618,-1.028928,-1.428537,-0.99756,-2.698364,-1.658149,-2.038352,-3.105159,-2.065171,-2.314111,-1.0841,-2.245789,-0.683786,-0.731534,-0.571199
0.59138,0.494649,3.108174,0.44781,-0.35887,0.025331,-1.906705,-0.398638,-1.054991,-0.524999,-0.71209,-1.461088,-3.733226,-0.973759,-1.004412,-3.145352,-1.097572,-1.10073,-1.627075,-1.99611,-1.640701,-1.687169,-1.017603,-1.019253,0.085316,-0.400138,1.730466,-0.162214,0.039254,-2.657926,0.974372,-2.250877,1.33029,-3.229303,0.345526,-0.951461,-0.465936
0.017286,0.017598,0.025478,0.012885,0.006732,0.000123,0.000725,-0.00543,-0.012106,-0.004762,-0.011523,-0.011703,-0.011641,-0.011455,-0.011624,-0.004708,-0.004086,-0.004117,-0.004047,0.002324,-0.005083,-0.005714,0.000793,-0.012859,-0.006782,-0.000304,-0.000683,-0.000916,0.006208,-0.00029,0.00017,0.007282,0.007367,0.007193,0.013926,0.007559,0.007621
-0.035196,-0.038788,-0.037212,-0.021097,-0.018787,-0.015108,-0.012622,-0.016063,-0.0131,-0.019832,-0.018038,-0.024054,-0.024541,-0.018019,-0.009342,-0.004378,0.01624,0.020573,0.031001,0.026654,0.020419,0.014233,0.007242,0.005173,-0.000572,-0.00753,-0.006024,-0.003202,7.8e-05,0.003357,0.00633,0.004936,0.005682,-0.000646,0.004605,0.008047,0.00877
-0.023559,-0.018092,-0.007942,-0.001827,0.009761,0.013407,0.024934,0.040359,0.043177,0.054905,0.056322,0.059641,0.059163,0.055659,0.045132,0.040285,0.030785,0.025238,0.016218,0.012369,0.007453,0.002626,0.005533,0.004164,-0.000314,0.002644,-0.004588,-0.010846,-0.008466,-0.006009,-0.003532,0.003679,0.004252,0.007774,0.003271,0.005968,0.006496
0.27306,0.166759,-0.10535,0.168246,0.419857,0.130674,4.32202,1.555035,0.456529,0.257742,0.093577,4.411382,-0.054725,1.151138,0.131187,-0.06038,-0.013702,-0.031957,0.040609,-0.466251,-0.28806,-0.314193,-0.10492,0.006725,0.00354,-0.031057,0.003866,-1.433714,0.009099,-4.858502,0.051766,-1.452143,0.002455,-0.032724,0.002938,0.144555,-0.016479
0.365833,0.314618,-0.06314,0.270844,-0.047504,0.430727,-3.065438,-0.186201,0.210552,0.012507,0.658139,-2.603791,0.530289,-1.751386,0.531692,0.251402,-0.042658,-0.065847,-0.08866,-0.797003,-0.590447,-0.601099,-0.206164,0.028129,-0.082505,-0.08632,-0.083718,0.151074,-0.192522,2.203505,-0.099769,0.626043,-0.032892,-0.0156,0.077235,0.360092,0.055508
0.3986,0.325658,0.133202,0.392812,0.086285,0.221077,-0.570807,0.257303,0.188899,0.059554,0.337074,-0.616837,0.210967,2.209148,0.464203,0.140468,0.314529,0.103237,0.136933,-0.518119,-0.249698,-0.296433,-0.08863,-0.03404,0.136049,0.152831,0.142266,1.462583,0.148304,1.158896,0.198024,0.552709,0.061742,0.038569,-0.151245,0.092833,-0.087987
