0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0.009516,0.01657,0.016194,0.015713,0.007769,0.007883,0.007932,0.0073,0.000315,0.007738,0.007704,0.007526,-3.5e-05,0.007467,0.008077,-6.8e-05,0.007393,-0.000124,0.007351,0.007334,0.007297,0.007286,0.007278,0.014826,0.01482,0.006647,0.007374,-2.1e-05,-0.00061,-0.000421,-0.007795,-0.007656,-0.007572,-0.015675,-0.015703,-0.015774,-0.015928,-0.022901,-0.01557,-0.015076,-0.007615,-9.4e-05,0.007396,-7.1e-05,0.007444,0.007478,0.007507,0.007514,-3.9e-05,0.007391,0.007327,0.007264,0.00712,0.015078,0.015019,0.007518,0.015567,0.008126,0.008798,0.00077,0.000832,0.000296,0.000355,0.001067,0.001763,0.001059,0.007853,0.007918,0.007954,0.007919,0.007259
-0.019543,-0.016521,-0.013892,-0.009399,-0.005801,-0.007523,-0.008108,-0.000895,-0.005889,-0.003018,-0.001786,0.000824,0.000511,0.001685,-0.004023,0.001007,0.002797,0.001982,0.003341,0.003512,0.004024,0.003971,0.003897,0.003642,0.003683,0.009054,0.002116,0.000267,0.005243,0.002859,0.000819,-0.00105,-0.002353,0.001949,0.00214,0.002776,0.004898,-0.000584,0.003313,-0.000432,0.00149,0.002022,0.003134,0.00153,0.001917,0.001132,0.000583,0.000399,0.000788,0.00266,0.003612,0.0047,0.006838,0.003267,0.003528,0.003293,-0.001826,-0.00283,-0.009215,-0.00479,-0.005601,-0.001368,-0.002086,-0.009217,-0.015538,-0.008901,-0.002207,-0.003065,-0.003533,-0.003029,0.002911
0.018432,0.010403,0.002783,-0.002554,-0.008103,-0.0103,-0.011067,-0.013124,-0.007439,-0.004846,-0.003287,0.0,0.000635,0.001096,0.004942,0.001266,0.002501,0.002501,0.003174,0.003378,0.004015,0.00393,0.003814,0.002433,0.002465,-0.000748,0.001551,0.000322,-0.004416,-0.007378,-0.008854,-0.011211,-0.012899,-0.017519,-0.017322,-0.016592,-0.013938,-0.008814,-0.004852,0.001488,0.002943,0.002621,0.003042,0.001965,0.001463,0.000445,-0.000268,-0.000513,0.001003,0.002382,0.003594,0.004973,0.007659,0.013103,0.013348,0.014038,0.017488,0.017197,0.020166,0.015739,0.014719,0.009071,0.008197,0.010316,0.01343,0.010687,0.007027,0.005996,0.00543,0.006025,0.002438
-0.091328,0.240548,-0.086887,1.414992,-0.020091,0.44843,1.43826,1.165721,-0.104839,-0.080523,4.244454,1.062875,-0.379441,-0.248972,0.144263,-0.275571,-0.34887,-0.263577,-0.009879,-0.171979,-0.061331,-0.11144,-0.10471,1.40361,-0.011922,0.047038,0.010935,0.004197,0.038789,0.036981,0.000693,0.045316,0.046418,0.083796,0.139056,0.070657,0.06748,0.052766,0.053707,0.009871,0.005481,0.023826,0.012745,-0.034464,-0.000569,0.012191,0.000461,0.000886,-0.012307,0.01153,-0.197917,0.013062,0.006553,-0.028507,0.225114,0.214832,0.010658,0.033129,-0.004655,0.123698,0.152068,-1.106325,0.386645,-4.122287,0.238861,-0.940808,0.318253,0.040583,-0.004271,-0.015326,0.004377
-0.002184,-0.233154,0.102694,-0.389918,0.110895,0.640698,0.115695,0.31011,0.234315,0.249702,0.460395,0.753529,0.948196,0.932433,0.780293,1.275881,1.181258,0.97334,0.333694,0.656199,0.349765,0.438525,0.359429,0.771559,0.115283,-0.044719,-0.032084,-0.002677,-0.002241,0.013905,-0.24721,-0.071799,-0.232632,-0.171574,-0.24077,-0.052876,-0.15068,-0.183399,-0.118415,-0.08234,0.004204,-0.124037,-0.035949,0.107217,0.089122,-0.037124,-0.019636,-0.017502,0.097687,-0.04451,0.441987,-0.043011,-0.047666,-0.05336,-0.626407,-0.598093,-0.256503,-0.300202,-0.289575,-0.859143,-0.650444,-1.243005,-1.044033,-2.018066,-0.891398,-1.298969,-0.862195,-0.247628,-0.221695,-0.130249,-0.014669
-0.299077,-0.381826,-0.179808,0.864353,-0.149606,-0.508201,0.88428,1.302083,0.111404,-0.049592,3.427732,1.297272,0.440799,0.584429,0.332621,0.247303,0.18028,-0.01203,0.812583,0.05606,-0.177967,0.137454,0.329333,1.017713,-0.078539,0.069059,0.043453,-0.012138,0.008712,-0.014436,0.33109,0.102001,0.324338,0.261665,-0.029639,0.101172,0.157831,0.222528,0.066351,0.104941,-0.036122,0.157268,0.059254,0.08537,-0.133834,0.023335,0.032653,0.031612,-0.138291,0.044178,0.39609,0.041327,0.074431,0.087207,-0.325525,-0.345279,-0.089601,-0.169961,-0.185142,-0.293248,-0.215804,-1.224121,-0.489823,-3.435782,-0.230427,-1.272346,-0.072923,0.073715,0.346528,0.203504,0.031657
-0.000248,-7.1e-05,0.000127,0.000198,0.000286,0.000465,0.000522,0.000617,0.000634,0.00065,0.000624,0.000463,0.000412,-0.007286,-0.007382,-0.007424,0.000219,-0.007444,-0.007422,0.000154,0.00015,-0.007502,-0.007564,-0.015197,-0.007544,-0.007623,-7e-05,-6.8e-05,-0.007712,-6e-06,-5.9e-05,0.007637,0.007626,0.007657,1e-06,2.4e-05,2.1e-05,-0.0,2e-06,1e-06,-0.007624,0.0,5.6e-05,5.4e-05,1.3e-05,3.3e-05,9.3e-05,7.1e-05,5.2e-05,-7e-06,-0.007709,-0.000106,-0.007842,-0.008017,-0.015974,-0.008377,-0.008703,-0.0166,-0.008887,-0.008768,-0.008383,-0.000222,-0.000123,0.007865,0.007826,6.4e-05,5e-05,3.8e-05,5.1e-05,8.2e-05,5.5e-05
0.009323,0.011465,0.013823,0.008465,0.009539,0.005486,0.006185,0.007362,0.007595,0.007824,0.007542,0.005639,0.005055,-0.001423,0.003582,0.002983,0.002596,0.002603,0.002762,0.001752,0.001688,-0.004135,-0.004716,-0.004284,-0.004416,-0.005135,-0.006314,-0.006296,-0.005862,-1.6e-05,-0.000558,-0.000489,-0.000625,-0.000342,2.5e-05,0.000242,0.000235,-2e-06,3e-06,-3e-06,0.000656,-5e-06,0.000568,0.000545,0.000134,0.000348,0.000972,0.000749,0.000567,-3.9e-05,-0.005952,-0.001053,-0.00148,-0.00885,-0.011002,-0.017628,-0.014594,-0.020666,-0.02093,-0.013834,-0.004773,-0.001906,-0.001067,-0.005213,-0.005535,0.00056,0.000433,0.000342,0.00046,-0.004741,0.000492
-0.010577,-0.007752,-0.004658,-0.000293,0.001101,0.007142,0.008033,0.009499,0.009728,0.009951,0.009558,0.007105,0.006335,0.009373,0.004571,0.003814,0.003225,0.003326,0.003512,0.002167,0.00209,0.005939,0.005222,0.00581,0.00558,0.004689,0.003187,0.003208,0.003784,-1.8e-05,-0.000686,-0.000648,-0.000822,-0.000478,2.5e-05,0.000291,0.000283,-1.1e-05,-3e-06,-8e-06,0.00087,-5e-06,0.000699,0.000672,0.000166,0.000427,0.001192,0.000921,0.000698,-4.7e-05,0.003689,-0.001288,-0.001756,0.000113,-0.002523,0.000197,-0.007137,-0.003774,-0.004068,-0.006455,-0.006142,-0.002457,-0.001378,0.004574,0.004152,0.000713,0.000555,0.000437,0.000591,0.005168,0.000633
-0.359433,-1.352062,0.034946,0.034548,0.03336,-0.00168,0.004134,0.001861,0.002566,0.001697,0.001645,0.000861,0.001539,-0.035799,-0.000214,-0.000221,0.000748,-0.000254,-0.000253,-2e-06,4e-06,-0.036576,-0.036576,-0.037558,-0.036573,-0.036575,-0.035574,-0.036276,-0.038325,-0.000209,-3.2e-05,0.001004,-0.001935,0.001091,-0.008945,-9.8e-05,0.000175,0.000147,0.000108,6.9e-05,-0.000934,3.6e-05,0.000752,0.000744,2.2e-05,8e-06,0.000724,6e-06,2e-06,-8e-06,-0.036574,-1e-05,-0.001725,-0.032368,-0.03964,-0.067101,-0.007299,1.221528,5.898534,-0.03303,-0.004662,-0.00182,-0.003023,-0.036892,-0.035973,-0.000664,0.050046,-0.001277,0.004767,-0.035691,-8.5e-05
-0.025573,0.006554,0.06653,0.077546,0.075281,0.075566,-0.033578,-0.031049,-0.031805,-0.031047,-0.031018,-0.015496,-0.030929,0.012646,-0.000746,-0.000709,-0.015403,-0.000694,-0.000677,-2e-06,4e-06,0.028223,0.028251,0.043002,0.028299,0.028306,0.0136,0.028788,0.044629,0.000212,3.7e-05,-0.014713,-0.021634,-0.014851,-0.005812,-0.000897,-4.9e-05,-3.5e-05,-2.1e-05,-7e-06,0.014706,-3e-06,-0.015124,-0.015125,-1e-06,-1.1e-05,-0.015139,-2e-06,1.1e-05,-0.0,0.028138,-9e-06,0.029806,-0.06079,0.073623,0.064528,0.03816,-1.299589,-1.201187,0.066252,0.044937,0.014685,0.015914,-0.000665,-0.001891,-6.4e-05,0.234239,-0.002457,-0.102019,0.013477,5e-06
