0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.005032,-0.0004,0.000207,0.000348,-0.000516,-0.000169,7.7e-05,0.000213,1e-06,-3e-06,-0.0,-9e-06,0.001018,2e-06,-1e-06,-3e-06,-8e-06,1e-06,0.0,2.7e-05,-0.000186,-3e-06,4.8e-05,-0.0,3.8e-05,0.000184,2.3e-05,-6e-06,-1.2e-05,-3.8e-05,-0.000128,2.6e-05,2.8e-05,-4.6e-05,0.000153,1e-06,1e-06,-1e-06,9e-05,-0.0,1e-06,-1.7e-05,0.000976,-0.000107,-0.000169,-1.4e-05,3e-06,2e-06,0.0,-2e-06
-0.005301,0.000494,-0.00208,-0.002682,0.002171,0.00071,-0.000333,-0.000913,-5e-06,1.5e-05,-2e-06,3.6e-05,-0.005499,-1.6e-05,-1.2e-05,1e-06,2.5e-05,-5e-06,-1.2e-05,-0.000121,0.000793,1.6e-05,-0.000202,3e-06,-0.00016,-0.000789,-9.9e-05,2.3e-05,5.2e-05,0.000161,0.000546,-0.000113,-0.00012,0.000198,-0.000658,-8e-06,-5e-06,-0.0,-0.000383,5e-06,-6e-06,7.3e-05,-0.005327,0.000457,0.000725,5.5e-05,-1e-05,-1.7e-05,-1.2e-05,-8e-06
0.011061,0.006855,0.00564,0.005361,0.001018,0.000334,-0.000154,-0.000428,-2e-06,8e-06,0.0,1.8e-05,0.004041,-8e-06,-8e-06,-0.0,1.1e-05,-3e-06,-7e-06,-5.8e-05,0.000372,9e-06,-9.3e-05,3e-06,-7.4e-05,-0.000369,-4.6e-05,1.2e-05,2.6e-05,7.8e-05,0.000257,-5.2e-05,-5.6e-05,9.3e-05,-0.000307,-4e-06,-2e-06,-1e-06,-0.000179,4e-06,-3e-06,3.5e-05,0.004127,0.000214,0.000339,2.5e-05,-5e-06,-8e-06,-6e-06,-6e-06
-0.03023,-0.02663,-0.048342,0.775765,-0.001154,-0.000329,-6.3e-05,0.016879,-0.001942,-0.015499,-0.000107,-0.015403,-0.036525,-5.8e-05,-3.5e-05,-3.8e-05,-0.006965,-0.000124,-4e-06,2e-06,0.002226,-3e-06,-8e-06,1e-06,1e-06,0.0,-9e-06,-5e-06,-5e-06,-4e-06,2e-06,-7e-06,-9e-06,-6e-06,2e-06,-0.0,-7e-06,-6e-06,-3e-06,-0.012038,-0.000619,-0.009092,-0.040937,-0.000355,1.3e-05,1.1e-05,1.6e-05,1.7e-05,1.2e-05,1.5e-05
0.001221,0.009111,0.097243,0.602306,-0.002795,-0.00019,-0.000294,-0.00366,-0.002988,0.104088,-5.2e-05,0.10415,0.003914,-4.5e-05,-2.6e-05,-9e-06,0.005525,0.000122,2.1e-05,1.9e-05,-0.015084,5e-06,-2e-05,0.0,-3e-06,-1.1e-05,1.6e-05,2e-06,2e-06,5e-06,1.6e-05,8e-06,2.3e-05,3e-06,9e-06,-6e-06,1e-06,-4e-06,0.0,0.008838,0.00055,0.006146,0.008836,-0.000589,1e-06,9e-06,9e-06,-1e-05,-3e-06,-3e-06
-0.027362,0.047997,-0.150299,1.338181,0.001,-0.000347,-0.000478,-0.039527,0.002233,-0.168849,-0.000122,-0.168809,-0.020573,-3.7e-05,-4.4e-05,-2e-05,0.003633,9.5e-05,3.3e-05,1.3e-05,0.024463,1.1e-05,2.3e-05,7e-06,1e-06,4e-06,-7e-06,-0.0,0.0,-4e-06,-1.1e-05,-2e-06,-8e-06,-3e-06,-1.3e-05,-7e-06,-3e-06,-5e-06,-9e-06,0.00517,0.000377,0.003168,-0.01851,0.000579,3.6e-05,2.6e-05,1.4e-05,1.7e-05,1.5e-05,1.1e-05
0.027522,0.0231,0.017558,0.017556,0.011776,0.001522,-0.004502,-0.004382,-0.010895,-0.012243,-0.013416,-0.013367,-0.007091,-0.007855,-0.013007,-0.006899,-0.000567,0.000621,0.00125,0.002482,-0.003312,-0.003034,-0.003602,-0.004356,-0.004396,-0.011125,-0.005559,-0.005541,-0.005314,-0.005727,-0.005436,-0.005066,0.000704,-0.005229,-0.005063,0.001085,-0.004702,-0.003977,-0.00469,-0.004546,0.001224,0.000717,0.000618,-0.005228,0.000495,0.000414,0.005925,0.005449,-1e-06,-0.005628
-0.012237,-0.003849,-0.004834,-0.004821,-0.00303,0.007237,0.00835,0.012014,0.011861,0.005281,-0.00114,-0.000976,-0.001455,-0.006655,5.4e-05,-0.000918,-0.001371,0.001504,0.003029,0.006005,0.004375,0.005026,0.003882,0.001791,0.005021,0.001098,0.002229,0.002269,0.002802,0.001823,0.002519,0.003386,0.001658,-0.000343,3.7e-05,0.002537,0.004197,0.009184,0.004194,0.004514,0.00282,0.001653,0.001429,0.002912,0.001138,0.000952,-0.001296,-0.002387,0.0,0.001983
-0.00712,-0.009948,-0.00301,-0.002989,-0.001909,-0.003574,-0.00282,-0.00819,-0.008085,-0.004255,-0.00024,-0.000161,-0.000577,0.003998,0.000349,-0.00032,-0.00071,0.000787,0.001578,0.003117,0.009688,0.010015,0.009283,0.008329,0.002726,0.008148,0.001313,0.001328,0.001595,0.001106,0.001455,0.001887,0.000836,0.007236,0.007426,0.001272,0.002288,-0.002442,0.002279,0.002435,0.001396,0.000816,0.000708,0.001634,0.000562,0.00047,-0.000839,-0.001376,-1e-06,0.001175
4.707952,0.017614,-0.271491,1.032134,-0.297088,-0.311985,-0.255299,-0.10295,1.283142,4.221707,-0.013717,0.002919,-0.003053,-0.037922,-0.004879,-0.006396,-0.004322,-0.000585,0.000462,0.121815,-0.034466,0.281178,4.371859,-0.039833,0.376269,-0.055866,-0.002265,-0.001321,-0.001311,0.00117,-0.00527,0.003717,0.031986,-0.048384,-0.040459,-0.000667,0.267858,0.030468,-0.000133,-0.000896,0.001064,5.1e-05,3.5e-05,-0.000959,-6.3e-05,7e-06,0.000504,0.000192,-0.000773,-0.001237
-1.447009,0.171229,-0.443036,-1.283163,-0.876537,-0.663735,-0.511936,-0.441686,-0.903138,-3.038404,0.105404,0.045882,0.018251,0.049761,0.043482,0.024261,-0.00393,0.000238,-0.012515,-0.08916,0.023458,0.461043,-2.666836,0.276078,-0.19841,0.08723,0.014276,0.014937,0.015078,-0.077007,-0.082604,0.03234,0.060426,0.013117,0.014951,-0.00134,0.397125,-0.008932,0.001796,0.014653,-0.012533,-1.4e-05,-2e-05,0.014696,0.00044,4.3e-05,-0.012289,-0.010748,0.003851,0.01611
-2.757762,-0.408887,-0.53576,-1.29846,-0.584275,-0.694717,-0.435357,-0.642576,-1.052635,-2.371933,-0.275133,-0.083152,-0.02761,-0.068971,-0.084163,-0.056777,-0.001744,0.000141,0.025971,-0.019055,-0.017699,0.217435,-1.966795,-0.401933,-0.311355,-0.19398,-0.029894,-0.02941,-0.029263,0.147118,0.142106,-0.020874,0.028382,-0.021784,-0.022439,-0.000753,0.174507,-0.016278,-0.003798,-0.029592,0.025911,-1.7e-05,-1.8e-05,-0.029559,-0.000848,-0.000109,0.024933,0.021984,-0.007363,-0.032222
