0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
-0.004915,-0.005393,-0.011194,-0.011885,-0.01211,-0.011251,-0.017022,-0.005179,-0.009993,-0.003985,-0.004203,0.001499,-0.004232,0.001037,0.002156,0.007207,0.007152,0.006812,0.006701,0.006718,0.012525,0.006605,0.005756,0.011316,0.005235,0.004534,0.005159,-0.001718,-0.001091,3.3e-05,0.00045,0.000919,0.001338,0.001045,0.001205,0.007284,-1.1e-05,-0.000546,-0.000438,0.000218,0.000152,4.5e-05,0.000799,-0.000189,0.005663,0.001027,0.00049,0.000425,-0.000267,-7.2e-05,0.000146,9.8e-05,0.00016,3.8e-05,-0.000262,-0.000737,-0.000725,-0.000137,-0.006072,-5.8e-05,9e-06,-0.000262,-0.00164,-0.006792,-0.006736,-0.000176,0.000406,0.006473,0.000514,0.006031,0.00481,0.005766,0.006289,0.005799,0.005797,-0.000837,0.004579,0.00451,0.005091,0.004957,0.005499,0.005107,0.004026,0.003724,0.005133,0.005483,-6e-05,0.005743,0.006455,0.005706,0.005938,0.006222,0.006369,0.005979,-0.000479,0.000652,-0.000599,-0.001288,-0.000677,-0.001504,-0.001472,-0.000974,-0.00079,-0.000735,-0.000283,0.004631,0.004766,0.00458,0.004469,0.004825,0.005034,0.004771,0.005043,-0.000964,2.2e-05,-3.5e-05,7e-06,6.1e-05,-4e-06,-0.006712,-0.005683,-0.005621,-0.005429,-0.005404,-0.005536,-0.005218,-0.00505,-0.004732,-0.003672,0.002057,0.007813,0.006283,0.001036,0.000184,6.8e-05,0.006238,-0.000163,-0.000331,0.000688,0.000721,-0.000567,-0.000903,-0.000708,-0.001137,-0.00025,0.000148,-0.000458,0.00055,0.000475,0.00626,0.000579,0.000646,4.3e-05,-0.00039,0.005153,-0.001036,-0.002041,-0.001543,-0.001832,-0.001339,-0.001105,-0.000706,-0.004639,0.000862,0.000661,-0.000473,0.000522,-0.005069,0.00112,-3.4e-05,-0.000723,-0.001283,-0.001089,-0.000831,-0.000426,-0.000428,-0.001172,-0.000344,-0.00044,-0.000174,-0.000322,-7e-05,-0.000997,-0.001727,-0.001706
-0.007712,-0.004443,-0.005828,-0.001709,-0.000807,-0.005574,-0.007102,-0.005304,-0.012138,-0.011588,-0.010755,-0.008899,-0.010685,-0.005678,-0.01165,-0.00564,-0.005384,-0.003933,-0.00344,-0.00351,-0.001875,-0.002987,0.001802,0.004382,0.003837,0.006566,0.00268,0.006696,0.002821,-0.002986,-0.004615,-0.006451,-0.008106,-0.005539,-0.006158,-0.005722,1.2e-05,0.002114,0.00167,-0.000855,-0.000598,-0.000171,-0.004528,0.000721,0.002038,-0.005421,-0.001896,-0.001643,0.001021,0.000254,-0.000566,-0.000394,-0.000632,-0.000146,0.000996,0.002817,0.002772,0.000518,-0.000445,0.000215,-3.2e-05,0.000995,0.007738,0.002369,0.002167,0.000747,-0.001583,-0.001068,-0.001989,0.000541,0.006633,0.001563,-0.000433,0.001442,0.001437,0.004627,0.007446,0.007635,0.005488,0.005984,0.002467,0.003872,0.00917,0.010302,0.003676,0.002414,0.000221,0.001481,-0.001008,0.003196,0.00082,-0.000153,-0.000651,0.000818,0.001631,-0.003675,0.002027,0.004395,0.000706,0.005293,0.005024,0.001743,0.001083,0.000908,-0.000655,0.005129,0.004665,0.005287,0.005646,0.004414,0.003695,0.004526,0.003619,0.004876,-7.7e-05,0.00012,-1.4e-05,-0.000209,4e-06,0.003644,-0.001451,-0.001671,-0.002324,-0.002414,-0.001976,-0.00309,-0.003691,-0.004821,-0.010121,-0.008781,-0.007468,-0.000532,-0.00519,-0.000645,-0.00025,-0.000314,0.000543,0.001117,-0.003985,-0.004103,0.001951,0.003112,0.002435,0.003921,-0.00074,-0.002119,0.001565,-0.003533,-0.003256,-0.002045,-0.003616,-0.00384,-0.000159,0.001333,0.003364,0.003554,0.008601,0.005294,0.006289,0.004603,0.003801,0.002421,-0.006637,-0.00459,-0.003897,0.001611,-0.003425,-0.005186,-0.007089,-0.001498,0.002481,0.004425,0.003757,0.002865,-0.00013,-0.000123,0.00404,-0.000417,-9.3e-05,-0.001013,-0.000499,-0.00137,0.003438,0.005943,0.004295
0.011042,0.005418,0.005112,-0.000117,0.000307,0.005247,0.00487,0.005046,0.009378,0.00931,0.009711,0.010246,0.009762,0.004561,0.008989,0.004239,0.004358,0.005036,0.005269,0.005232,0.005661,0.005485,0.00049,0.001354,0.00144,0.002706,0.008119,0.00308,0.008489,0.013025,0.012283,0.011454,0.01071,0.004688,0.004407,0.004285,-6e-06,0.000953,0.000742,-0.00039,-0.000276,-8.1e-05,0.005151,0.00032,0.000603,0.004741,-0.000866,-0.00075,0.000459,9.3e-05,-0.000257,-0.000181,-0.000287,-0.000103,0.000452,0.001275,0.001254,0.000236,0.000115,0.000101,-1e-05,0.00045,-0.003702,0.001373,0.001282,0.000251,-0.000704,-0.000882,-0.00089,-6.5e-05,-0.004505,0.000394,-0.000503,0.000339,0.000335,-0.005096,-0.004131,-0.00404,-0.005001,-0.004778,0.000803,0.001429,-0.003338,-0.002842,0.001337,0.000779,9.5e-05,0.000361,-0.000747,-0.006009,6.7e-05,-0.000367,-0.000585,-7.7e-05,0.000737,0.005388,0.000916,0.001968,0.00745,0.00229,0.002134,0.00788,0.007587,0.007496,0.00681,0.001944,0.001741,0.002004,0.002149,0.00162,0.001312,0.001661,0.001274,-0.004995,-3.6e-05,4.8e-05,-8e-06,-9e-05,-0.0,-0.005255,-0.000359,-0.000451,-0.000728,-0.000763,-0.000577,-0.001047,-0.00131,-0.001793,0.003012,0.00331,0.003607,-0.000509,0.004855,-0.000284,-0.000114,-0.000409,0.000229,0.000476,0.005383,0.005337,0.000843,0.001339,0.001047,0.001679,0.006781,0.006191,0.000664,0.005577,0.005708,0.005964,0.005556,0.005462,-7e-05,0.000558,0.001169,0.0015,-0.003461,0.002221,0.002635,0.001917,0.001577,0.001004,0.004546,0.005159,0.005446,0.000666,0.005645,0.005159,0.011208,0.006449,0.001019,0.001813,0.001538,0.001169,0.006993,0.006993,0.001633,0.006868,0.006995,0.006624,0.006827,0.006477,0.001363,0.002305,0.008687
1.980778,0.287846,0.11925,0.036093,-0.011908,-0.023281,0.021847,0.895774,-0.081321,-0.037938,-0.083385,0.608943,-0.020012,0.15845,-0.076603,-0.03723,-0.038324,-0.039757,-0.037562,2.038477,-0.034283,0.022869,0.002037,0.004183,0.002123,0.014329,-0.027719,0.001045,0.651829,-0.075874,-0.077529,-0.075693,1.992389,-0.031811,0.15694,2.011001,1.847044,-0.146769,1.641242,-0.283176,-0.034659,0.76229,0.92792,-0.336046,-0.212343,-0.273965,0.165904,0.347964,-0.075059,4.198477,0.337642,-0.106663,-0.304753,4.856149,-0.225814,-0.213265,-0.126083,0.234778,0.148112,-0.047653,-0.01198,-0.23043,-0.048801,-0.220162,-0.135775,4.79547,-0.154782,4.811411,-0.271815,-0.14916,-0.177028,-0.043534,0.000812,-0.044805,-0.048426,-0.014336,-0.029896,-0.12675,-0.036161,-0.018866,-0.012948,-0.038948,0.066753,0.020303,-0.040521,0.083327,-0.016603,0.017302,0.008687,0.037028,0.077554,0.041483,-0.120784,-5.445638,0.081992,-5.434866,0.008886,-0.041564,-0.487386,-5.382747,-5.694964,0.011571,-0.403516,-0.112112,-0.007016,0.093628,0.035335,-0.059765,0.069901,0.094908,0.034482,0.120741,0.110625,0.072633,0.024592,-0.442681,0.028615,-0.095951,0.063032,0.033733,0.032281,0.033806,0.019882,0.021992,0.002748,-1.338776,0.069018,0.034997,-0.373931,-0.046812,-1.217579,0.007349,0.039048,-0.125921,0.064743,0.070134,0.136386,0.063624,0.056587,0.144117,0.040851,-0.195541,-0.957365,-0.001626,-0.030477,0.125076,-0.179939,-2.012686,-0.010957,-0.697424,0.06978,-0.171024,0.119371,0.141048,-0.242399,0.10173,0.111801,0.184673,-0.73398,0.247913,0.13454,0.207523,0.00697,-0.04318,0.130732,-0.002856,0.214802,0.199294,-0.078637,-0.033904,7.5e-05,0.000645,0.000627,5e-05,-0.043846,0.135753,0.128219,0.137494,-0.042095,-0.038958,-0.03613,-0.209721,-0.000866,-2.020315,0.144536
1.271786,-0.672355,-0.239736,0.016692,0.027531,0.004447,-0.108339,-0.09859,0.060138,-0.042461,0.035138,0.487261,0.057366,0.134184,-0.001965,-0.016734,-0.006662,-0.018689,-0.017252,1.382259,-0.031999,0.016766,-0.015441,-0.030475,-0.015233,-0.091418,-0.022269,-0.009993,0.452522,-0.014612,-0.01571,-0.014504,1.397766,0.012453,0.128901,1.436859,1.854739,0.988341,2.320036,0.782174,0.907348,0.581963,0.197071,1.191379,0.830007,1.026504,0.535601,1.135143,0.329954,-2.104759,0.981679,0.984425,1.020525,-1.364545,0.893254,0.906912,0.485486,0.802503,0.735547,0.888059,0.536895,0.806432,0.254632,0.875209,0.891692,-1.466191,0.919318,-1.353163,0.254932,0.964595,0.294712,0.336274,0.103888,0.477774,0.64902,0.177954,0.721482,0.275796,0.681456,0.267989,-0.240995,0.122959,-0.642436,-0.048938,0.158579,0.514338,-0.018272,-0.126879,-0.039498,-0.002715,-0.338438,-0.110262,-0.02235,0.149348,-0.725321,-0.161111,-0.617851,-0.733626,-0.285302,-0.50097,-0.979526,-0.41325,-0.920201,-0.371852,-0.705172,-0.69553,-0.848676,-0.655099,-0.69282,-0.767577,-0.415339,-1.311149,-0.845045,-0.229031,-0.162238,-0.455601,-0.366492,-0.459798,-0.826926,0.052688,-0.432393,-0.441514,-0.262333,-0.247469,-0.031619,-0.628583,-0.765158,-0.783355,-0.625506,-0.985252,-0.791184,-1.025518,-0.615589,-0.573287,-0.468675,-0.499417,-0.868122,-1.003686,-0.957038,-0.880377,-0.404568,-0.478122,-0.054951,-0.050777,-0.068871,-0.519731,-0.452204,-1.614049,-0.100002,-0.540797,-0.555751,-0.32422,-0.339477,-0.503077,-0.031207,-0.275326,-0.234028,-0.500218,-0.029292,-0.57875,-0.283746,-0.431323,-0.075586,0.016353,-0.340898,0.003485,-0.519011,-0.474685,0.016874,-0.009988,-1.9e-05,-0.009112,-0.009112,8e-06,0.008983,-0.35862,-0.271737,-0.352959,0.004725,0.007809,-0.003552,0.037367,0.003015,-1.908058,-0.376685
-1.423601,-0.369397,-0.383206,-0.273614,-0.023517,-0.088207,-0.140546,-0.731952,-0.079641,-0.119358,-0.055355,-0.419903,-0.105437,-0.133185,-0.043704,0.007629,-0.019125,0.00925,0.008105,-1.165307,0.036828,-0.029225,0.029344,0.058552,0.029296,0.239969,0.030419,0.026987,-0.35764,-0.016033,-0.015063,-0.016112,-1.22438,-0.052827,-0.132964,-1.392821,-1.270408,0.073231,-1.367683,-0.15691,0.303427,0.66863,0.489703,-0.199868,-0.05974,-0.035802,0.222639,-0.791395,0.130876,2.070149,-0.449935,0.259797,0.134002,0.84396,0.10935,0.119969,0.174239,0.494975,0.412439,0.174659,0.238147,0.279448,0.138698,0.310097,0.340315,0.584513,0.347632,0.667958,1.053113,0.167127,0.906652,-0.282787,0.594124,-0.01192,0.273082,0.085433,0.110364,1.134465,0.30456,0.150455,0.91266,0.070879,2.794001,0.06084,0.093105,0.212773,-0.016195,0.267009,0.093486,0.020287,0.880969,0.064365,0.026475,0.282864,-0.248555,-0.355866,-0.458008,-0.393729,-0.065675,-0.745712,1.792622,-0.047753,-0.63272,-0.352274,-0.225379,-0.441727,-0.214644,-0.435288,-0.323883,-0.217249,-0.229161,-0.6476,-0.668122,-0.487933,-0.285384,-0.547786,-0.14064,0.086371,-0.309739,0.004004,0.017628,0.014647,-0.163332,-0.154744,0.166152,-1.008316,-0.103042,-0.166449,-0.3859,-0.297022,-1.213367,-0.229885,0.17814,0.420516,0.04023,0.244735,0.319747,0.165228,0.142433,0.294356,0.452926,0.077115,-0.962386,0.224964,0.19464,0.002362,-0.538932,1.358427,0.14614,-1.389983,0.073258,-0.364722,0.09249,-0.311708,-0.412731,0.138883,0.181521,0.026149,-1.287733,0.041823,-0.06684,-0.116348,-0.085026,-0.018678,-0.139891,-0.00104,-0.207359,-0.224204,-0.042904,0.003542,0.000232,0.027473,0.027453,7.7e-05,0.007999,-0.113314,-0.061546,-0.141122,0.005542,-0.021442,0.004787,-0.493131,0.001035,0.602495,-0.082493
0.000125,0.000398,0.000678,0.007004,0.007437,0.013704,0.014108,0.014755,0.015526,0.015463,0.021288,0.021438,0.021335,0.021007,0.020957,0.014437,0.014166,0.00782,0.007524,0.007438,0.001244,0.000835,-0.005386,0.000346,-0.005901,-0.012559,-0.006999,-0.012451,-0.005887,-0.005017,0.001335,-0.003902,0.002074,0.002108,0.00178,0.001191,0.000784,0.006477,0.006203,-4e-06,-7.8e-05,-4.4e-05,-1e-05,-3.7e-05,-7e-06,0.000233,0.000409,0.000489,-0.005318,0.000671,0.000649,0.000846,0.001248,-0.004333,-0.004484,-0.005153,0.000666,-0.005013,-0.004933,-0.004911,0.000889,0.00077,-0.005044,0.000387,-0.005535,-3e-05,0.000223,0.000178,0.000145,0.000233,0.000232,0.000284,0.000341,-0.005458,0.000292,-0.005425,0.000202,-6.6e-05,-0.005688,-0.005784,-0.005667,-2.7e-05,-0.005696,-0.00575,3e-05,-0.005584,-0.005819,-0.00611,-0.006049,-0.00011,-0.000166,-9.1e-05,-7.9e-05,-0.000217,-0.006082,-0.000622,-0.000542,-0.000679,-0.000762,-0.000826,-0.000749,-0.006458,-0.000966,-0.006727,-0.000764,-0.000653,-0.000729,-0.000506,-0.000704,-0.000821,-0.000658,0.005122,-0.000782,0.004942,0.004661,-0.00113,-0.001081,0.004757,-0.001061,0.004498,0.004686,-0.001102,-0.001313,0.004402,-0.001331,-0.000864,-0.000942,-0.000784,-0.001033,-0.000672,-0.000572,-0.000506,-0.000214,-0.000421,-0.000577,-0.000739,-0.000839,-0.000706,-0.000478,-0.000553,-0.00047,-0.000324,-0.000188,-0.000132,-1e-05,3.8e-05,-1.1e-05,0.0,-0.005971,-0.000247,-0.00032,-0.000392,-8.6e-05,1.3e-05,0.0,-3e-06,-0.000139,-0.000258,-0.000144,-0.000347,0.005612,-0.000299,-0.000145,1.5e-05,0.000161,0.000179,-4e-06,-2e-06,1e-06,3.7e-05,-4e-06,0.00023,0.000289,7.8e-05,0.000337,-0.005429,0.000531,0.00035,0.000559,0.000698,0.000429,7.1e-05,1.6e-05,8e-06,-0.000115
0.000678,-0.002012,0.003357,-0.000413,0.005767,0.001914,0.004071,0.007667,0.012082,0.012048,0.006773,0.012514,0.012393,0.011428,0.016166,0.010026,0.01283,0.011295,0.005453,0.004997,0.003784,0.001162,-0.004597,-0.006168,0.00054,0.000527,-0.006254,-0.002819,0.000657,0.00586,0.003835,0.008292,0.008322,0.004398,0.006633,0.00313,0.00067,-0.004907,-0.00239,-0.008298,-0.004589,-0.004397,-0.004192,-0.004357,-7e-06,-0.002729,0.002485,0.002949,0.003638,-0.000103,-0.000227,0.00097,0.003322,0.005307,0.000213,-0.003829,-0.000107,0.001076,0.001528,0.001594,0.005235,0.000396,0.00068,0.002258,0.001881,-0.000151,0.001296,0.005156,0.00084,0.005458,0.001331,0.001633,0.001953,0.002223,0.001653,0.00237,0.001154,-0.000362,-0.00319,-0.003727,0.005073,-0.000139,0.000839,0.000546,0.00421,0.001439,0.000172,-0.001362,-0.00102,0.003434,-0.000881,-0.000481,-0.000421,-0.001138,0.002871,-0.003247,0.001158,-0.003532,-0.003985,-0.004322,8.4e-05,0.001023,-0.001055,-0.000341,-6e-06,0.004558,0.000182,0.001329,-0.003666,-0.004234,0.000598,-0.000166,-0.004026,-0.005104,-0.006591,-0.005816,-0.005579,-0.006204,-0.001491,-0.007666,-0.002723,-0.005736,-0.006814,-0.0083,-0.006907,-0.004481,-0.004874,-4.9e-05,-0.00532,-0.003451,-0.00293,-0.002587,-0.001102,0.001815,0.00101,0.00017,-0.004346,-0.00364,0.001532,0.001162,0.001533,-0.001655,0.003016,-0.000664,-4.8e-05,0.000195,-5.4e-05,1.6e-05,0.000562,-0.001237,-0.001611,-0.005958,-0.000419,8.7e-05,2e-05,1.3e-05,-0.004665,-0.0013,-0.001239,-0.001753,-0.002467,-0.001519,-0.000737,7.7e-05,0.00082,0.000918,-1.5e-05,-1.8e-05,3e-06,0.000181,-2.2e-05,0.001158,0.001471,0.000398,-0.002282,0.003393,0.00271,0.001784,0.002842,0.003543,0.002191,0.00036,8.7e-05,4.1e-05,-0.000587
0.000312,0.006395,0.001567,0.006898,0.002443,0.007713,0.008696,0.010296,0.012207,0.01213,0.016658,0.011839,0.011723,0.011196,0.005934,0.010666,0.004691,0.004275,0.00895,0.008755,0.008521,0.007482,0.012526,0.011644,0.000488,-0.006268,-0.002171,-0.000555,0.000543,0.002585,0.008541,0.010513,0.010196,0.015669,0.00948,0.008141,0.007215,0.011831,0.005796,0.010883,0.005281,0.005356,0.005435,0.005376,-1e-06,0.005978,0.000916,0.001085,0.001622,0.006936,0.006886,0.007318,0.008164,0.009147,0.014273,0.012837,0.006908,0.007629,0.007784,0.007802,0.001819,0.007069,0.007469,0.000775,0.000959,-5.1e-05,0.000446,-0.005146,0.000289,-0.005047,0.000457,0.000559,0.000667,0.001075,0.000563,0.001123,0.000392,-0.000121,0.00614,0.005959,-0.004854,-4.2e-05,0.000611,0.000513,-0.005467,0.000816,0.000389,-0.000128,-1.2e-05,-0.005728,-0.000294,-0.000159,-0.00014,-0.000384,-0.005595,-0.001106,-0.006509,-0.001211,-0.001373,-0.001492,-0.006895,-0.006248,-0.007295,-0.006731,-0.006938,-0.012267,-0.006876,-0.006466,-0.001309,-0.001512,-0.006733,-0.007329,-0.001456,-0.002163,-0.002712,-0.00213,-0.002048,-0.0026,-0.007551,-0.003168,-0.008332,-0.002163,-0.002584,-0.003451,-0.002642,-0.001721,-0.001881,-0.007077,-0.002066,-0.001344,-0.001142,-0.001012,-0.000434,-0.006375,-0.006688,-0.007024,-0.001725,-0.001446,-0.006487,-0.006635,-0.006479,-0.000665,-0.005893,-0.000268,-2.1e-05,7.7e-05,-2.4e-05,8e-06,0.00051,-0.000496,-0.000648,0.004713,-0.000169,3.6e-05,8e-06,6e-06,0.00524,-0.000527,-0.000414,-0.00071,-0.001283,-0.000616,-0.000301,3.1e-05,0.000334,0.000372,-5e-06,-6e-06,2e-06,7.2e-05,-1e-05,0.000468,0.000596,0.000162,0.006206,0.001653,0.001094,0.000717,0.001141,0.00142,0.000876,0.000142,3.5e-05,1.6e-05,-0.000237
-0.088056,-0.382367,-0.043846,0.03583,-0.20702,-0.059417,-0.121289,-0.046083,-0.104136,-0.042704,-0.069661,-0.028948,-0.035256,-0.029923,0.008409,-0.924657,-0.09897,-0.00276,-0.08486,-0.046382,-0.156454,-0.038255,-0.066224,-0.069238,-0.139153,-0.0488,0.885718,-0.002405,-0.092902,-0.114799,-0.024655,-0.033637,-0.032786,-0.068663,-0.032757,-0.095546,-0.033371,-0.06691,-0.033555,-0.072059,-0.137284,-0.041798,-0.208529,-0.113985,-0.008991,-0.205249,-0.018129,-0.110776,-0.858608,-0.039639,-0.034334,-0.029856,0.399207,-0.028407,-0.069434,-0.098321,-0.013419,-0.031964,-0.087751,-0.029402,0.004223,-0.185504,-0.181472,-0.123315,0.012709,-0.116963,-0.060403,-0.119744,0.005529,-0.046898,-0.103214,0.00679,0.001201,0.005167,0.010695,-0.024566,0.005995,-0.005583,-0.228665,-0.030215,0.034909,0.006916,0.005828,0.000545,0.026832,-0.017472,-0.000538,-0.001089,-0.000134,-0.052284,-0.000962,-0.2056,0.006017,0.006053,0.035021,-0.001896,0.048545,-0.007668,-0.001977,-0.001829,0.035939,0.034929,0.046612,-0.079902,0.036894,0.076459,0.035614,-0.035703,0.006011,-0.000708,0.031994,0.034068,-0.001695,-0.0026,0.013963,-0.005427,-0.006742,-0.000724,0.033701,-0.001798,0.047077,-0.001655,0.008555,-0.000683,-0.002541,-1.6e-05,-0.093533,0.039411,0.004057,0.001414,0.006985,-0.029487,0.000547,0.040901,0.036084,-0.130088,0.005827,-0.165848,0.271346,-0.05562,0.77597,-0.005565,0.044114,0.00232,-3.5e-05,-0.000502,-0.000385,0.006079,0.010706,-0.000238,-0.000227,-0.041818,-0.000206,-0.000966,-0.000249,-0.000118,0.027539,-0.000256,2.518692,-0.002131,0.000813,-0.000151,-0.00038,-0.000407,0.001658,-0.000567,-0.000265,0.000945,0.002531,-0.000634,-0.00067,0.001618,0.001333,-0.00026,-0.034406,-0.001433,0.000429,-0.000301,-0.011057,0.000898,0.002661,-0.001045,-0.000247,-0.002431,-0.000691
