0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.007345,0.00052,0.001753,0.00106,0.001253,-0.002182,-0.00257,-0.001134,-6.8e-05,0.001003,0.000563,0.000689,0.000985,0.00083,0.000756,4.4e-05,-0.000542,-0.001055,-0.00093,-0.000931,0.004654,0.004793,0.004797,-0.000996,-0.000632,0.005342,0.00606,0.006869,0.001703,0.001945,0.007156,0.001436,0.001396,0.001067,0.000496,0.000267,0.000306,0.000136,-9e-06,2.5e-05,0.000335,0.000583,0.000653,0.000682,0.000646,0.00612,0.00653,0.006481,0.00686,0.007185,0.001552,0.001731,-0.004315,-0.000874,-0.001525,-0.000616,-0.000718,-0.001146,-0.002992,-0.001432,-0.00075,-5.3e-05,-0.0053,-0.005275,-1.8e-05,1e-06,0.005584,-0.000622,0.005095,-0.000417,0.005089,-0.00039,0.000676,-0.000482,-0.000228,-0.000276,-9.6e-05,-0.000282,-0.000357,0.004586,-0.00092,-0.000798,-0.000702,-0.000553,-0.000335,-0.000252,-7e-06,2e-06,-0.000647,-0.001254,0.004239,0.003846,-0.001662,-0.001738,-0.001736,-0.001732,-0.001343,-0.001034,-0.000539,0.000139
0.013465,0.017346,0.011912,0.015599,0.014932,0.005197,0.00801,0.001802,-0.001418,-0.004747,-0.001757,-0.002141,-0.003055,-0.002572,-0.002347,-0.000135,0.001682,0.003276,0.002883,0.002882,0.004082,0.003639,0.003613,0.003041,0.001917,0.001915,-0.000262,-0.002672,-0.005122,-0.005826,-0.00343,-0.004287,-0.00417,-0.003182,-0.001472,-0.000786,-0.000908,-0.000403,3e-05,-7.8e-05,-0.000997,-0.001732,-0.001939,-0.002018,-0.001907,-0.000192,-0.001392,-0.001222,-0.002302,-0.003235,-0.004512,-0.005039,-0.005157,0.004268,0.006156,0.001803,0.002105,0.003362,0.010409,0.004164,0.00217,0.000141,-0.002244,-0.002312,4.7e-05,-4e-06,0.001528,0.001817,0.002815,0.001213,0.002828,0.001282,-0.00368,0.001393,0.000654,0.000803,0.00028,0.000819,0.00104,0.004243,0.002677,0.002317,0.002037,0.001597,0.00097,0.000734,-3e-06,0.000118,0.001884,0.003621,0.005165,0.006371,0.004841,0.005064,0.005056,0.005049,0.003902,0.003,0.001571,-0.000444
0.013316,0.008732,0.012744,0.007633,0.007251,0.009495,0.004018,0.007747,0.006119,0.004463,-0.000874,-0.001067,-0.001525,-0.001288,-0.001177,-6.9e-05,0.00084,0.001638,0.001439,0.001434,0.001676,0.001456,0.001438,0.001497,0.000941,0.000603,-0.000469,-0.001665,-0.002543,-0.00291,-0.002073,-0.002154,-0.002102,-0.001611,-0.000765,-0.000397,-0.000457,-0.000205,1.4e-05,-4e-05,-0.000506,-0.000882,-0.000986,-0.001031,-0.000977,-0.000473,-0.00109,-0.001004,-0.001569,-0.002055,-0.002339,-0.002621,-0.002303,-0.004725,-0.003738,0.000943,0.001103,0.001747,-0.001511,0.002175,0.001133,8.2e-05,-0.00077,-0.000808,2.9e-05,4e-06,0.000243,0.000938,0.001075,0.000627,0.001083,0.000524,0.005017,0.000719,0.000341,0.000413,0.000145,0.000421,0.000533,0.001798,0.001366,0.001179,0.001037,0.000813,0.000496,0.000377,2e-06,5.1e-05,0.000952,0.001827,0.002246,0.002868,0.002418,0.00252,0.002512,0.002497,0.001923,0.001475,0.00077,-0.000217
-0.582224,-0.862815,-0.28577,-0.371233,-0.246944,-0.236884,-0.510783,-0.388939,-0.356059,-0.153222,-0.248108,-0.242661,-0.358831,-0.198696,-0.344423,-0.380794,-0.339092,-0.287331,-0.596431,-0.312466,-0.38247,-0.457065,-0.306808,-0.443125,-0.066982,-0.068253,-0.061518,-0.015024,-0.031508,-0.003907,-0.107587,-0.382468,-0.383722,0.013528,-1.502634,0.00428,0.003299,0.003228,0.009509,0.003011,0.013796,0.05207,0.000849,0.119549,0.001522,-0.004594,-0.000158,0.156448,0.140035,0.094713,-0.00404,0.328597,0.000931,0.031789,0.145062,0.129417,0.224489,-1.598944,0.143711,0.016437,0.127427,0.037313,0.159955,0.097077,0.050872,0.014383,-5.205352,-0.443494,0.030751,-0.447642,0.030004,-5.305483,0.055392,0.143908,0.156664,0.105759,0.051178,0.032141,0.061505,0.104732,-0.00022,0.102775,0.100773,0.155659,0.437734,-0.441147,0.050971,-5.137219,0.073622,0.226631,0.20088,-5.18714,-0.353671,-0.401212,-0.312794,0.128417,0.272216,0.281741,0.194144,-1.072934
-1.366182,-0.767469,0.314091,0.60855,0.417527,0.37967,0.889425,1.919091,0.566119,0.278309,0.486933,0.470791,0.660938,0.412299,0.61016,0.735083,0.758174,0.674776,1.256073,0.748903,0.891975,0.994486,0.751939,1.063705,0.477626,0.481416,0.403447,0.100528,0.042756,0.017361,0.099286,0.365495,0.36654,-0.086415,-0.549269,-0.003326,-0.002436,-0.002401,-0.09492,-0.30895,-0.006851,-0.158981,0.03963,-0.478101,0.017424,-0.008067,-0.001003,-0.630639,-0.513888,-0.317337,0.025465,-0.353678,0.011088,0.00108,-0.425849,-0.508159,-0.605959,-0.444103,-0.538727,-0.052512,-0.415793,-0.075105,-0.545606,-0.305173,-0.152594,-0.18486,-1.693179,-0.223333,-0.071478,-0.208838,-0.068706,-1.376179,-0.237171,-0.53956,-0.534858,-0.33107,-0.138665,-0.075233,-0.200943,-0.471695,0.004705,-0.474144,-0.459473,-0.484167,-2.019638,-0.172859,-0.60496,-1.890629,-1.967317,-0.842177,-0.899939,-1.314795,-1.636242,-1.691866,-2.147731,-0.468654,-0.936952,-0.959171,-0.645223,-1.479235
2.279625,2.42817,0.154272,0.263693,0.178291,0.056308,0.299857,-1.987878,0.148421,-0.080445,0.051298,0.070268,0.19418,0.03527,0.362712,0.239834,0.015865,-0.004967,0.336442,0.041128,0.176746,0.477249,-0.01886,-0.293858,-0.869454,-0.815454,-0.677274,-0.166002,-0.084579,-0.029937,-0.209098,-0.776274,-0.778657,0.146031,0.500303,0.007398,0.005406,0.005344,0.157699,-0.464356,-0.002828,-0.096121,-0.011051,-0.333769,0.015671,0.015832,0.005544,-0.332306,-0.303029,-0.189636,-0.018128,0.747732,-0.018476,0.016858,-0.234987,-0.321994,-0.090261,0.22553,-0.254921,-0.032172,-0.257881,-0.050859,-0.373986,-0.222465,-0.094518,-0.101653,0.913239,0.038634,-0.00879,0.00069,-0.007087,0.482188,-0.405096,-0.330936,-0.336814,-0.088079,-0.001153,-0.049753,-0.131877,0.851058,0.034647,0.812093,0.786148,-0.312896,1.97815,-0.303599,-0.609308,-1.213657,1.542207,-0.891227,-0.75654,-1.279409,2.235801,2.418068,2.36346,-0.025738,-0.084186,-0.099713,-0.140815,-1.010656
0.000274,0.000274,0.007126,0.002041,0.002093,0.002669,0.008774,0.009159,0.003891,0.004257,-0.000138,0.000344,0.00669,0.007017,0.00721,0.006976,0.006818,0.007268,0.006879,0.006276,0.00572,-0.000953,0.004254,0.00371,-0.00172,-0.001564,-0.001409,-0.002507,-0.002354,-0.002937,-0.002822,-0.008116,-0.001893,-0.007288,-0.007484,-0.007545,-0.002095,-0.001902,-0.002092,-0.002052,-0.001531,0.003284,0.002907,0.002662,0.002188,0.002487,0.002495,-0.008401,-0.008553,-0.008365,-0.008143,-0.008998,-0.009032,-0.008884,-0.008558,-0.008288,-0.002776,-0.007499,-0.002469,-0.002273,-0.002421,-0.008216,-0.008486,-0.008556,-0.003384,-0.003597,0.001244,-0.00431,9.3e-05,4.9e-05,0.005018,-0.000258,0.004897,-0.000685,-0.001568,0.002247,0.000332,0.001067,0.001527,0.002039,-0.00194,-0.000738,-0.004481,-0.008547,-0.008027,-0.008749,-0.00883,-0.008758,-0.004416,-0.004373,-0.003691,-0.003419,-0.003267,-0.002973,0.002086,0.001645,0.000245,-0.00521,0.000324,8.2e-05
-0.002691,-0.002691,-0.00549,-0.001086,-0.004419,-0.002727,-0.007585,-0.006435,-0.002573,-0.004954,0.004853,0.006274,0.005906,0.007036,0.007653,0.003612,0.003285,0.008252,0.007134,0.005407,0.007248,0.002502,0.003227,0.001119,0.006932,0.010833,0.01467,0.007761,0.011626,0.009767,0.010046,0.012428,0.01272,0.014691,0.013946,0.013695,0.01177,0.015645,0.015004,0.015076,0.019901,0.016387,0.015212,0.017874,0.016443,0.020615,0.020609,0.019969,0.016057,0.016533,0.013727,0.007899,0.007776,0.008127,0.008947,0.009561,0.008557,0.014888,0.009307,0.009785,0.009317,0.009352,0.008532,0.008486,0.006493,0.005883,0.0033,0.003966,0.000242,0.003332,0.001274,0.002502,0.003977,0.004567,0.002221,-0.003101,-0.008259,-0.003128,-0.001958,-0.000633,0.007614,0.007608,0.010048,0.011571,0.012904,0.004561,0.004312,0.004478,-0.002634,-0.002534,0.002386,0.003058,0.003426,0.004149,0.00217,0.001044,-0.005695,-0.004758,-0.002325,-0.00294
0.005988,0.005988,0.011926,0.014712,0.02028,0.021308,0.025868,0.026548,0.028854,0.034879,0.033019,0.033732,0.033169,0.033505,0.033712,0.038556,0.038099,0.033126,0.032423,0.031322,0.024892,0.029863,0.022569,0.021696,0.017497,0.012209,0.00686,0.010699,0.005419,0.004566,0.004657,0.005938,0.00576,0.00684,0.006472,0.006343,0.005189,-5.6e-05,-0.000349,-0.000332,-0.005163,-0.006911,-0.007392,-0.013013,-0.013541,-0.018513,-0.018487,-0.011373,-0.006248,-0.006048,-0.000536,0.003778,0.003726,0.003855,0.004156,0.004332,0.003623,-0.000171,0.00385,0.004033,0.003836,0.004211,0.003903,0.003809,0.002756,0.002525,0.001194,0.001826,8.3e-05,-0.005233,-0.006416,-0.005527,-0.011813,-0.011203,-0.012049,-0.014398,-0.016372,-0.020947,-0.020573,-0.020112,-0.023063,-0.016536,-0.008692,-0.001224,-0.000693,0.008976,0.008869,0.00893,0.012272,0.012306,0.007738,0.007983,0.008108,0.008363,0.007238,0.006806,0.010722,0.011459,0.005559,0.005339
0.448252,0.448252,-0.074236,-0.067317,-0.10151,-0.10151,-0.135208,-0.135869,-0.134777,-0.169233,-0.135307,-0.134952,-0.134164,1.27527,-0.13279,-0.168114,-0.167616,0.282723,-0.140189,-0.134737,-0.102434,-0.139229,4.467285,-0.102266,-0.070653,-0.036455,-0.005546,-0.033467,0.001042,0.001074,-0.006407,-0.000951,0.002222,0.001239,0.000163,-0.007298,0.002907,0.038029,0.027291,-0.467624,0.073214,0.074987,-1.431069,-0.388143,0.10875,0.130824,0.100533,-0.394748,-0.436064,-0.075841,0.058302,-0.506591,0.004889,-0.007875,-0.153558,-2.934624,0.015979,-0.004988,-1.874029,-0.170986,-0.141772,-0.041864,4.5e-05,-4.18425,-0.080302,-0.224539,-1.198321,-0.039005,-2.910587,0.030627,-5.464152,0.034484,-0.027167,0.049229,0.072409,0.228434,0.073446,0.095775,0.139938,0.097509,0.132159,0.099937,0.065893,-0.007354,0.028298,-0.330922,-0.673176,-0.393458,-0.063569,-0.066813,-0.028435,-0.029827,-0.027239,-0.187949,-0.022476,-0.030066,-0.066057,-0.067065,-0.033355,-0.032737
