0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0.00231,0.003475,0.003719,-0.002706,-0.004096,-0.004402,-0.004331,-0.006811,-0.006694,-0.006526,-0.006208,-0.006198,-0.005881,0.000635,0.000642,0.000797,0.007539,0.001197,0.001325,0.001717,0.000323,0.001393,0.007455,-0.000274,0.006556,0.005359,0.004793,0.006124,0.004993,0.005119,-0.002218,-0.001261,-0.001133,0.005119,0.003911,0.005016,-0.001509,0.004463,-0.006754,-0.001922,-0.000497,-0.001643,-0.001506,-0.001384,-0.000251,8.9e-05,-0.000679,-0.005323,2.6e-05,0.00614,0.000237,-0.000598,0.00069,0.000849,0.007201,0.012892,0.006745,0.006681,0.000496,0.000433,-0.000771,0.006142,0.006167,-0.001188,-0.000264,-0.000413,-0.000298,0.000196,0.000274
-0.010829,-0.016262,-0.017057,-0.0179,-0.011793,-0.010846,-0.011106,0.000422,8e-06,-0.000533,-0.001577,-0.001626,-0.002666,-0.002144,-0.002151,-0.00265,-0.002828,-0.003999,-0.004401,-0.005721,0.000581,-0.004629,-0.002405,0.002582,0.000622,0.006245,0.008083,0.002027,0.007391,0.006966,0.010597,0.005797,0.005382,0.006893,0.012451,0.00719,0.006558,0.008901,0.000194,0.007768,0.001605,0.006972,0.006525,0.006138,0.000805,-0.000288,0.003872,-0.004166,-8.6e-05,0.001725,-0.000758,0.003626,-0.002199,-0.002722,-0.001626,0.001579,0.000125,0.000315,-0.001569,-0.001383,0.004134,0.001958,0.001692,0.005425,0.000829,0.001269,0.000886,-0.00063,-0.000856
0.008283,0.012425,0.011917,0.012079,0.008402,0.009082,0.008915,0.001013,0.000726,0.000347,-0.000375,-0.000415,-0.001133,-0.001485,-0.001487,-0.001834,-0.00268,-0.002792,-0.003077,-0.004014,-0.0076,-0.003268,-0.002444,-0.006207,-0.000304,-0.004351,-0.003043,0.000691,-0.00353,-0.003826,-0.008517,-0.003902,-0.004192,-0.003864,-0.007915,-0.003641,-0.003339,-0.002415,0.000884,-0.002464,0.001139,-0.003034,-0.003348,-0.003622,0.000574,-0.000192,-0.005212,-0.002413,-5e-05,0.000494,-0.000528,-0.005397,-0.001559,-0.001932,-0.0019,-0.000369,-0.000769,-0.000614,-0.001123,-0.00099,-0.005049,0.000595,0.000449,-0.004114,0.000594,0.000907,0.000634,-0.000449,-0.00061
1.769325,1.48789,4.180424,4.15907,-0.166842,-0.074632,-0.203451,4.379435,1.244866,-0.11644,0.290884,-0.240608,-0.153377,-0.229002,-0.120673,1.394345,0.358352,-0.082957,1.474215,-0.042341,0.369609,-0.035207,-0.075641,-0.04657,-0.075222,-0.036415,-0.016952,-0.05262,-0.02524,0.134744,0.013422,-0.013977,-0.006397,0.031561,0.070191,0.031562,0.066893,0.016855,0.484138,0.111011,-0.007815,0.014706,0.060395,0.025985,0.514614,-0.00098,0.181766,5.66119,-0.003089,0.021122,0.047522,0.087922,0.010079,0.030288,-0.517737,-0.027476,-5.190798,-5.08356,-0.767031,-0.263547,0.255597,-4.629723,0.065247,-0.937695,0.23178,0.107357,-0.702689,-0.68837,0.028166
-0.042357,1.940181,-2.049382,-2.15564,0.361912,0.425612,0.540945,-1.401082,0.009676,0.693938,0.421038,1.116618,0.777556,1.238255,0.653307,0.331581,0.577208,0.820451,-0.234078,0.811317,0.734086,0.365794,0.712968,0.616603,0.417424,0.41967,0.563245,0.251454,0.444906,0.175629,0.43565,0.119328,0.19408,-0.038483,-0.038354,-0.033943,0.014496,0.082365,-0.128383,-0.924601,-0.051682,0.074006,0.336347,0.014913,-0.149889,0.002931,0.014152,0.031151,0.013383,-0.050309,-0.441756,-0.954484,-1.002149,-0.790667,-1.654853,-1.252824,-1.753119,-1.57799,-3.120505,-1.368212,-1.57351,-1.13037,-1.738913,-1.589183,-1.151013,-1.688628,-1.498171,-1.21813,-0.9612
0.124162,-1.338637,2.392189,2.505753,0.140929,0.070345,-0.002033,2.393699,0.995511,0.161712,0.478814,0.367772,0.14665,0.221398,0.146805,0.652022,0.301774,0.224977,0.360424,0.131584,0.553141,0.183481,0.41954,0.346113,0.276033,0.296654,0.375022,-0.053926,0.079067,0.160646,0.084348,0.164892,-0.104266,0.030076,0.060454,0.040273,0.021081,0.105019,0.175184,2.710858,0.047446,-0.142213,0.235075,0.045304,0.180824,-0.007469,-0.020474,-0.394094,-0.006163,0.083937,-0.201534,0.262429,-0.020514,-0.684657,-0.018767,-0.483534,-2.147251,-2.457272,1.326281,-0.601122,-0.278289,-2.781604,-0.167348,-0.881113,0.705763,0.00771,-1.039822,-0.918999,-0.089328
0.004301,-0.002151,0.004533,0.003861,0.004652,0.009586,0.002711,0.002208,0.002288,0.001266,0.001228,-0.004396,0.001666,-0.004004,0.003055,-0.003341,-0.003096,-0.003872,-0.004076,0.001234,0.000729,0.000973,0.00636,-0.000685,-0.001163,-0.001487,-0.001071,-0.001409,-0.001822,-0.002184,0.00349,0.002851,0.003096,-0.004401,-0.004096,-0.004163,-0.004311,0.002008,0.002102,0.002305,-0.003759,0.003147,-0.003144,-0.002923,-0.002889,-0.002952,-0.002804,-0.00293,-0.003807,-0.003888,-0.004144,-0.004176,-0.004162,-0.004093,-0.003805,-0.003534,-0.003346,-0.00249,-0.001747,-0.007827,-0.00761,-0.000397,0.000209,0.000276,3e-06,-0.000121,-5.4e-05,0.006721,-4.2e-05
0.004831,0.006438,0.005545,9.9e-05,0.005971,-0.006904,-0.006611,-0.011603,-0.011381,-0.017863,-0.017958,-0.010642,-0.016676,-0.013107,-0.009011,-0.007618,-0.003294,-0.005573,-0.006177,-0.010701,-0.008575,-0.004274,-0.008558,-0.009157,-0.010508,-0.011527,-0.006682,-0.007709,-0.008918,-0.00998,-0.013577,-0.015528,-0.011226,-0.016595,-0.012073,-0.012259,-0.012674,-0.01467,-0.014438,-0.013862,-0.010979,-0.011485,-0.009173,-0.008503,-0.00839,-0.008554,-0.008121,-0.008459,-0.010967,-0.011195,-0.011883,-0.011941,-0.011857,-0.011637,-0.010775,-0.009974,-0.009429,-0.007,-0.004896,-0.001327,-0.000712,-0.001112,0.000576,0.000764,6e-06,-0.000335,-0.000155,-0.001787,-0.000112
0.021146,0.022115,0.021489,0.025466,0.021579,0.028373,0.028312,0.032751,0.032863,0.03626,0.036172,0.03316,0.037075,0.039481,0.034321,0.035107,0.029943,0.028308,0.027873,0.024843,0.018264,0.013136,0.010336,0.009909,0.009036,0.008349,0.003587,0.002892,0.002088,0.001373,-0.001005,-0.002352,-0.007542,-0.003217,-0.008317,-0.008484,-0.008854,-0.010253,-0.010184,-0.009817,-0.007938,-0.008238,-0.006711,-0.006262,-0.006222,-0.006387,-0.006086,-0.006378,-0.008333,-0.008545,-0.009152,-0.009278,-0.009299,-0.009169,-0.008562,-0.007992,-0.007586,-0.005667,-0.003979,-0.001361,-0.000863,-0.000906,0.000474,0.000625,6e-06,-0.000271,-0.000127,-0.001175,-9e-05
-0.057422,-0.065466,-0.069707,-0.102414,-0.069794,1.849936,-0.148547,-0.163539,1.888867,-0.126324,-0.209549,0.060291,-0.154787,0.071751,-0.163786,1.925294,-0.133067,-0.120599,-0.13761,2.013531,-0.119802,0.08255,0.629413,-0.072242,3.11968,-0.192482,3.422596,-0.014629,-0.002297,-0.036328,-0.053961,-0.040068,-0.002993,-0.13831,-0.079344,0.003488,-0.004406,-0.01623,-0.021225,-0.002188,-0.004344,-0.047826,-0.000327,-0.006385,-0.002145,0.058641,-0.16404,0.004043,0.345475,-0.002746,1.152807,-0.003488,0.003809,-0.002883,0.343362,0.00745,-0.16933,0.029595,-0.001965,-0.0013,-0.001598,-0.000244,-0.000168,-0.00101,-0.00019,-0.000868,-0.000298,0.000853,-9.7e-05
