0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
0.001512,0.001579,0.002268,0.001422,0.001365,0.001345,0.001332,0.000614,0.000653,-9.8e-05,0.000584,-3.6e-05,1.4e-05,0.000716,7.2e-05,0.000723,0.000734,-0.005657,0.000965,-0.00555,-0.0055,0.001057,0.001066,0.000333,0.000353,0.001125,0.000362,0.000275,0.000265,0.000278,0.000999,0.000366,0.000359,0.00113,0.000382,0.000449,0.000523,0.000459,0.001202,0.000565,0.001228,0.000635,0.000527,0.001147,0.000274,0.000891,0.000837,0.000185,9.5e-05,0.000782,-0.006716,-5.3e-05,-0.006775,-0.006697,-7.1e-05,-0.006729,-0.000136,-0.006868,-0.000302,-0.000131,-0.000124,7.8e-05,0.000165,0.000311,0.000274,7.6e-05,-8.8e-05,0.006545,-6e-06,0.006742,5e-05,0.006718,-8.1e-05,-1.3e-05,1.5e-05,6.6e-05,0.000127,0.000269,0.000307,0.000285,-0.000313,0.000415,0.000521,0.000667,0.000735,0.000775,0.000744,0.000148,0.000789,-0.000657,0.00609,-0.000771,0.005996,0.005956,0.005964,0.005961,0.005964,0.006548,-0.000267,-0.000361,0.000244,0.00688,6.2e-05,0.007515,0.006756,-4.4e-05,-9e-05,0.006749,-2e-05,0.006798,-5.4e-05,3.2e-05,0.006861,0.006768,0.006778,0.0,0.006804,0.006802,0.006749,-8e-05,0.006687,-0.000261,-0.001144,-0.00042,-0.000418,-0.000348,-0.000356,-0.007205,-0.000325,0.006529,0.000585,-0.000125,-6e-06,-0.0,9e-06,-1e-06,-8.9e-05,-7.4e-05,0.000666,-0.000162,0.000605,-0.000221,-0.000327,-0.007005,-0.000287,-0.000275,-0.000252,0.006474,0.006537,0.006611,-2.1e-05,4.3e-05,1e-06,-5.8e-05,-9.4e-05,-0.000127,-0.000182,-0.000234,0.005489,0.006223,0.005969,-0.000732,0.005928,0.005956,0.005903,0.005951,0.006092,-0.001233,-0.000444,-0.00058,-0.000674,-0.000641,-0.000488,-0.000432,-0.000443,-0.006975,0.000546,-0.005988,-0.006788,-0.000183,1.5e-05,-0.006593,0.000712,-0.00022,-0.000485,-0.000497,0.000368,0.00026,0.006814,0.006827,0.000331,0.000188
-0.012647,-0.013268,-0.018913,-0.011796,-0.011257,-0.011058,-0.010952,-0.005024,-0.005379,0.000881,-0.004689,0.00031,-0.000171,-0.005925,-0.000712,-0.006005,-0.006115,-0.007966,-0.008394,-0.009154,-0.009771,-0.009367,-0.009484,-0.003333,-0.003485,-0.010051,-0.003571,-0.002701,-0.002611,-0.002731,-0.008772,-0.003619,-0.003554,-0.010093,-0.00379,-0.004453,-0.005185,-0.004537,-0.010799,-0.005588,-0.01107,-0.006299,-0.00524,-0.010289,-0.002743,-0.007742,-0.007196,-0.001862,-0.000968,-0.006661,-0.000758,0.000539,-0.000117,-0.000915,0.000732,-0.000552,0.001415,0.00093,0.003115,0.00134,0.001289,-0.000814,-0.001712,-0.003225,-0.002831,-0.00077,0.000921,0.002414,6.4e-05,0.000376,-0.000508,0.00063,0.000817,0.000134,-0.000158,-0.000661,-0.001269,-0.002728,-0.00311,-0.002894,0.001977,-0.004174,-0.005231,-0.006699,-0.007398,-0.00779,-0.007463,-0.002361,-0.007883,0.004309,0.005633,0.005514,0.006661,0.007088,0.006976,0.007039,0.007008,0.002438,0.001734,0.002581,-0.002144,0.00021,-0.000543,-0.004781,0.001288,0.000376,0.0008,0.001312,0.000129,0.00087,0.000482,-0.000285,0.00034,0.001153,0.001041,2e-06,0.000828,0.000844,0.00129,0.000653,0.00175,0.002159,0.008946,0.003412,0.003371,0.002803,0.002879,0.002746,0.002624,0.002645,-0.004413,0.001013,4.6e-05,-4e-06,-7.1e-05,-1e-06,0.000688,0.00058,-0.005037,0.001263,-0.004553,0.001726,0.002565,0.001185,0.002258,0.002161,0.001981,0.002882,0.002355,0.00175,0.00016,-0.000339,-8e-06,0.000447,0.000733,0.000976,0.001404,0.001804,0.010104,0.00456,0.006361,0.005467,0.006469,0.006155,0.006427,0.006027,0.004922,0.008919,0.003179,0.004168,0.004831,0.004568,0.003504,0.003116,0.002901,0.001332,-0.004006,-0.005368,0.000501,0.001353,-8.8e-05,-0.000921,-0.005244,0.00162,0.003568,0.003599,-0.002727,-0.001957,-0.000778,-0.000871,-0.002492,-0.001448
0.006256,0.005755,0.009479,0.007022,0.007493,0.007669,0.007776,0.004271,0.003978,0.000735,0.004558,0.000258,-0.000142,0.003536,-0.000592,0.003473,0.003387,0.00253,0.001489,0.00154,0.001021,0.00067,0.000567,-0.002811,-0.002947,6.4e-05,-0.003035,-0.002303,-0.002232,-0.002335,0.001128,-0.003106,-0.003059,-2.6e-05,-0.003277,-0.003862,-0.004507,-0.003957,-0.000696,-0.004909,-0.000958,-0.005569,-0.004652,-0.000309,-0.002449,0.001952,0.002439,-0.00167,-0.000868,0.002921,7.2e-05,0.000484,0.000647,-6.6e-05,0.000659,0.000255,0.001271,0.001578,0.002783,0.001195,0.001149,-0.000724,-0.001527,-0.002878,-0.002529,-0.000692,0.000823,0.001414,5.5e-05,-0.000414,-0.000459,-0.000187,0.000731,0.00012,-0.000143,-0.00059,-0.001135,-0.002444,-0.00279,-0.002604,-0.007141,-0.003772,-0.004742,-0.006101,-0.006776,-0.007153,-0.006894,-0.011202,-0.007349,-0.014209,-0.013787,-0.01312,-0.012846,-0.012452,-0.012573,-0.012516,-0.012561,-0.007739,-0.007594,-0.006772,-0.002094,-0.000647,-0.000534,0.003776,0.000405,0.000364,0.00078,0.000426,0.000124,-4e-06,0.000468,-0.00028,-0.000524,0.000267,0.000153,-5e-06,-5.8e-05,-4.6e-05,0.000386,0.00063,0.000832,0.002096,-0.000571,0.003305,0.003262,0.002706,0.002777,0.003496,0.00252,0.001686,0.004949,0.00097,4.4e-05,-4e-06,-7e-05,-5e-06,0.000655,0.000551,0.004352,0.001202,0.004813,0.001644,0.00244,0.001973,0.002146,0.002047,0.001873,0.001879,0.00138,0.000804,0.000149,-0.000322,-1e-05,0.000419,0.00069,0.000919,0.00132,0.001696,-0.000431,0.003428,0.005094,0.005089,0.00516,0.004849,0.005082,0.004702,0.003677,-0.000772,0.0029,0.003791,0.004379,0.004136,0.003157,0.002798,0.002736,0.002135,0.005215,0.004797,0.00124,0.001207,-7.9e-05,-3e-05,0.004123,0.001442,0.003171,0.003194,0.006351,0.00703,0.007276,0.00719,0.006546,0.007453
-0.078524,0.02106,-0.023403,-0.068778,-0.07901,-0.21907,-0.063362,-0.008797,-0.040182,-0.000526,-0.021524,-7e-05,0.015053,-0.042159,0.070848,0.018337,-0.038093,-0.040881,-0.038785,-0.038659,-0.029748,-0.044623,0.007212,0.041989,-0.002223,-0.038754,0.014774,-7.2e-05,-1.8e-05,0.012648,-0.021781,-0.002148,-0.002146,-0.038718,0.456927,-0.002334,0.456881,-0.002685,-0.037438,-0.00228,-0.03884,0.006088,-0.00268,-0.039018,-0.000839,-0.024735,-0.036925,-0.002327,-0.000308,-0.024229,0.192787,-0.016127,-0.006419,-0.345195,-0.031871,0.070236,-0.000183,-0.001433,-0.002378,-0.000127,0.000305,-0.00168,-0.002202,-0.002123,-0.002118,-0.000143,-1.6e-05,0.004161,-0.000474,0.001935,-2.4e-05,0.014759,-0.000336,0.000233,0.00046,5.4e-05,0.005211,-0.001978,-0.002101,-0.000881,0.033705,-0.002879,-0.00227,-0.009828,-0.00452,-0.004449,0.014377,5.123448,-0.117488,0.02126,-0.211722,0.025209,-0.111631,0.051845,-0.080104,0.07574,0.007262,-0.193927,0.025633,-0.065906,0.00338,0.002659,0.015288,-0.034785,0.017275,-0.000114,0.004871,-0.029055,-0.237927,0.308189,-0.098257,-0.067335,0.007906,0.007945,0.000475,-0.039882,-0.000858,-0.029733,-0.07612,-0.012216,-0.022834,-0.010544,0.05843,0.017924,0.020552,-0.000816,0.014771,-0.000427,-0.0099,-0.00378,-0.037678,-0.008036,-0.000133,0.108303,-0.001377,6.2e-05,6.2e-05,5.4e-05,-0.046614,-0.009406,-0.046337,-0.003253,0.002405,-0.0019,0.002384,7.9e-05,5.4e-05,0.002096,0.002079,0.002144,-6.4e-05,-5.9e-05,-0.000335,-0.000111,0.002254,-8e-05,-0.000295,-2.1e-05,0.040957,0.012975,0.006637,0.002272,0.012013,0.004115,0.006582,0.006636,0.004344,0.032243,0.209223,-0.004836,0.006064,0.325677,-0.122633,0.066411,-4.160131,-4.032249,-0.023821,0.28421,-0.176081,0.281394,-0.025673,0.154604,-1.220781,0.224805,0.198216,-0.02043,0.091438,0.127598,0.176808,0.23775,-0.003733,0.389087
0.02578,-0.088038,-0.151093,0.009015,0.030298,-0.00655,-0.002503,-0.050408,0.017508,0.001112,-0.10759,-0.000332,-0.117254,0.020454,-0.141914,-0.109566,0.008961,0.041751,0.026548,0.024874,-0.077223,0.039916,-0.075497,0.072751,0.016652,0.02636,-0.115401,-0.000212,-1.1e-05,-0.098658,-0.105757,0.016698,0.016708,0.026319,0.136748,0.016594,0.136898,0.015207,0.022532,0.016525,0.026183,-0.072424,0.016956,0.026183,-0.002777,0.008604,0.009385,0.015643,-8e-05,-0.088142,-0.433692,0.117517,0.027365,-1.596974,-0.166999,-0.153014,0.005396,0.019184,-0.005434,0.000247,-0.025642,0.018627,0.01616,0.01653,0.016546,-0.00061,-3.7e-05,-0.031755,-0.002181,-0.015559,-2.8e-05,-0.123349,0.000724,0.001202,0.002253,0.000273,-0.012601,0.016241,0.016517,0.015377,0.004333,0.01376,0.016488,0.04693,0.033055,0.033082,-0.10265,1.23393,0.221388,0.124622,0.658531,0.19305,0.436988,0.030478,0.357454,-0.015149,0.148141,0.536586,0.025465,0.240685,0.002819,-0.016374,-0.118226,-0.00602,-0.133254,-4.3e-05,-0.012474,0.055833,0.555871,0.502537,0.309426,0.156616,-0.037897,-0.023855,-0.534513,0.093437,-0.002342,0.06365,0.167221,0.297666,-0.03809,-0.074657,-0.152319,-0.136881,-0.178106,0.003808,-0.114478,0.000875,0.012204,-0.00614,0.01212,0.010787,0.000425,-0.198034,0.002132,8.1e-05,2.5e-05,1.6e-05,0.020784,0.012202,0.018219,0.004021,-0.016882,0.015267,-0.017017,3.6e-05,2.6e-05,-0.01518,-0.015191,-0.015555,-9.5e-05,-3.4e-05,0.002908,0.000958,-0.016924,0.000877,0.00329,0.000414,-0.041437,-0.041344,-0.048033,-0.016917,-0.041681,-0.02947,-0.048906,-0.049305,-0.032273,-0.02374,-0.38347,-0.103559,-0.126759,-0.526355,-0.083982,-0.151511,-2.988347,-3.130906,-0.974747,-0.702627,-0.741877,-0.574955,-0.414775,-0.425912,-0.998888,-0.324669,-0.293058,-0.693368,-0.274422,-0.334033,-0.404827,-0.474723,-0.783627,-0.652854
-0.025397,-0.377956,-0.199242,-0.044692,-0.027158,-0.066457,-0.052516,-0.065075,-0.012266,0.000839,0.141474,0.000374,0.159986,-0.007787,-0.146115,-0.11058,-0.013307,-0.070829,-0.04173,-0.04768,0.123795,-0.031503,-0.1192,-0.066875,-0.023234,-0.041825,0.161264,0.000254,3e-06,0.137916,0.142873,-0.023386,-0.023402,-0.041883,0.141798,-0.023479,0.141682,-0.022148,-0.044718,-0.023494,-0.041967,0.124388,-0.023084,-0.041954,0.002746,-0.011486,-0.01862,-0.023906,-9.3e-05,0.120081,-0.36284,-0.159726,-0.020021,1.941427,0.206083,-0.154777,-0.002708,-0.033683,0.031646,0.0002,0.034661,-0.026069,-0.023016,-0.023464,-0.02349,0.000766,2.7e-05,0.052716,0.002694,0.029677,2.3e-05,0.196023,0.000574,-0.001474,-0.002776,-0.000337,-0.009447,-0.023743,-0.023516,-0.023714,-0.00179,-0.020126,-0.023477,-0.036603,-0.046911,-0.047016,0.134928,1.746665,0.340985,0.072663,0.551455,-0.123411,0.351426,0.079428,0.294298,0.008351,0.134579,0.447501,0.009442,0.177384,-0.033898,0.028679,0.1592,0.01129,0.188617,-2.1e-05,-0.009792,0.085661,0.427845,0.430963,-0.016369,0.113974,0.028066,0.010615,0.783614,0.068909,0.031737,0.085391,0.160376,0.464828,0.253835,0.244788,0.193025,0.180895,0.235439,-0.00658,0.153224,-0.010344,0.009591,0.033595,-0.019568,0.008362,5.9e-05,-0.158023,0.001721,5.9e-05,2.1e-05,1.6e-05,-0.009149,0.009902,-0.011133,0.005641,0.023258,-0.029217,0.023159,2.8e-05,2.3e-05,0.029239,0.029257,0.028966,-5.3e-05,-2.5e-05,-0.004001,-0.001303,0.022908,-0.001203,-0.004439,-0.000562,0.070959,0.0413,0.073043,0.02276,0.044702,0.047921,0.074782,0.075339,0.052322,0.039198,-0.252942,-0.04432,0.185366,-0.388829,-0.062397,-0.083934,-2.381657,-2.653571,-0.539644,-0.381581,-0.174395,-0.211327,0.14945,0.129289,-0.57955,-0.260765,-0.197051,-0.621742,-0.002964,-0.006496,-0.019625,-0.081469,-0.515926,-0.25307
-0.013134,-0.013031,-0.019512,-0.012463,-0.006039,-0.005613,-0.012278,-0.005398,-0.005135,0.001285,0.001298,0.001961,0.001775,0.008488,0.001859,0.008272,0.001095,0.001319,0.001398,0.001319,-0.005628,0.001382,0.001488,0.001007,0.008159,0.00103,0.000951,0.000485,0.000531,0.000474,-0.00017,-0.000515,0.004966,-0.00197,-0.001431,-0.008294,-0.00814,-0.008153,-0.007328,5e-05,-0.006731,0.00108,0.001917,0.008796,0.002544,0.002521,0.002125,0.008781,0.008732,0.008217,0.001238,0.008001,0.007671,0.000205,-0.000453,0.005825,-0.000932,0.005844,-0.001271,-0.00096,-0.000735,-0.000458,0.00023,-0.00614,0.00039,0.000355,-0.006222,-0.012912,-0.013392,-0.007641,-0.014741,-0.014561,-0.021394,-0.021265,-0.014134,-0.020803,-0.013696,-0.006611,-0.012679,-0.005821,0.001284,0.001321,0.001796,0.008597,0.001608,0.001835,0.000933,0.000577,0.000179,-0.000281,-0.006557,5.6e-05,-0.000299,-0.000547,-0.000605,0.005914,0.005711,-0.000996,0.005775,0.005516,0.005717,0.00642,0.006306,0.006294,0.006841,0.007213,0.007514,0.000668,0.000538,0.000485,-4.9e-05,-0.000271,-0.000123,-0.00048,-0.000503,-0.000454,-0.000571,-0.000727,-0.000797,-0.000759,-0.001073,-0.001503,-0.001692,-0.001547,-0.001406,-0.00151,-0.001159,-0.001076,-0.000605,-0.00068,-0.000757,0.00619,-0.000495,-0.000871,-0.000595,-0.000477,-0.000199,-0.000309,-9.5e-05,-0.000203,-0.000627,-0.000736,-0.000765,-0.000559,-0.00089,-0.000729,-0.000612,-0.00769,-0.006878,-0.006706,-0.006713,-0.006973,-0.006991,-0.000175,-0.007086,-0.000251,-0.000298,-0.000688,-0.000359,-0.007139,-8.7e-05,-0.000443,-0.000503,6e-06,0.000133,0.006944,-0.000325,-0.000112,0.006725,0.006779,0.006794,-2.3e-05,0.006845,0.006654,0.006786,0.006812,0.006869,0.006814,0.00676,-0.000192,-0.000469,-0.000304,-0.000632,-0.000482,-0.000457,-0.000539,-0.000518,-0.000681,-0.000683,-0.00083,-0.000904,-0.000978
0.009069,0.009394,0.016223,0.015893,0.008734,0.014747,0.016232,0.015427,0.016486,0.009784,0.009837,0.016847,0.01198,0.010918,0.012417,0.00604,0.000933,0.006022,0.006375,0.006025,0.005761,0.006316,0.006798,0.000601,0.006016,0.000742,0.000403,-0.005762,-0.005539,-0.005785,-0.012771,-0.018388,-0.032885,-0.037341,-0.03487,-0.038671,-0.037883,-0.041883,-0.033888,-0.027973,-0.027013,-0.015142,-0.003138,-0.00366,0.007958,0.01196,0.010132,0.008847,0.008762,0.006392,0.006003,0.009566,0.00803,0.001017,-0.002225,0.003003,-0.000577,0.003014,0.001809,0.003345,0.004461,0.009914,0.021451,0.02389,0.0181,0.021955,0.019176,0.019886,0.013416,0.004538,-0.000858,7.1e-05,-0.003515,-0.002655,-0.001434,-0.000319,0.000897,-0.002612,0.004889,0.000652,0.001406,0.001564,0.003552,0.003221,-0.001086,0.0038,-0.003857,-0.005351,-0.007026,-0.00896,-0.002568,-0.003631,-0.009057,-0.010106,-0.010372,-0.011918,-0.012849,-0.012115,-0.012738,-0.017865,-0.021061,-0.014095,-0.014633,-0.014767,-0.012395,-0.006727,-0.00536,-0.004945,-0.001511,-0.001762,-0.004218,-0.001219,0.003473,-0.002194,-0.002308,-0.002079,-0.002611,-0.003322,-0.003638,0.000555,-0.000862,-0.006836,-0.007674,-0.002972,-0.002325,-0.006813,-0.001198,-0.004848,0.001308,0.00098,-0.003411,0.000172,0.005833,0.000109,0.005387,0.005896,0.011148,0.010665,0.011609,0.011133,0.005226,0.004754,0.004629,0.005546,8.1e-05,0.000819,-0.002667,-0.006691,0.000889,0.001625,0.001596,0.000483,0.000408,-0.000733,3.2e-05,-0.001044,-0.001235,-0.006851,-0.001488,-0.000125,-0.00036,-0.005834,-0.006084,2.7e-05,0.000567,-0.000692,-0.005349,-0.000464,-0.001626,-0.0014,-0.001347,-9.9e-05,-0.001129,-0.001943,-0.001398,-0.001285,-0.001048,-0.001283,-0.001519,-0.000838,-0.002053,0.00272,-0.002779,-0.002117,-0.002011,-0.002349,-0.002267,-0.002975,-0.002985,-0.003628,-0.003948,-0.004272
-0.001011,-0.000719,-0.003715,-0.003897,-0.001219,-0.004822,-0.003607,-0.004201,-0.003239,-0.00014,-0.000104,-0.002793,0.001812,0.000969,0.002153,0.005517,0.009743,0.005318,0.005605,0.005287,0.004927,0.005495,0.005898,0.009296,0.005266,0.009365,0.009064,0.01251,0.012688,0.012472,0.015272,0.019261,0.024627,0.029574,0.031786,0.037415,0.038157,0.043741,0.041769,0.038063,0.038817,0.031127,0.023386,0.022974,0.014804,0.009271,0.007794,0.006795,0.006673,0.004834,0.004524,-0.001226,-0.00239,0.000757,-0.001666,-0.014548,-0.00885,-0.014564,-0.015504,-0.01436,-0.01351,-0.017793,-0.02582,-0.023891,-0.01986,-0.025291,-0.018951,-0.018398,-0.014966,-0.013509,-0.009284,-0.008564,-0.002976,-0.002323,-0.001294,-0.000482,0.000507,0.006419,0.003784,0.009039,0.009711,0.00982,0.01137,0.011134,0.016117,0.01144,0.013906,0.012732,0.011437,0.00995,0.006399,0.005639,0.0099,0.009101,0.008904,0.007775,0.00707,0.007595,0.007178,0.011711,0.017757,0.014652,0.01425,0.014166,0.015993,0.01184,0.012871,0.013154,0.007295,0.007105,0.005261,-0.000914,-0.005823,-0.001647,-0.001739,-0.001565,-0.00197,-0.002514,-0.002761,-0.008057,-0.009154,-0.005242,-0.005918,-0.010847,-0.01038,-0.005327,-0.009543,-0.003819,-0.0076,-0.007868,-0.002712,-0.008469,-0.012684,-0.00859,-0.013049,-0.012642,-0.017102,-0.017492,-0.016721,-0.017101,-0.013196,-0.013592,-0.013708,-0.012958,-0.008719,-0.008119,-0.002227,0.003118,0.000642,0.001258,0.001233,0.000301,0.000234,-0.000608,-8.6e-05,-0.00087,-0.001034,0.003084,-0.001251,-0.00023,-0.000304,0.003938,0.003727,2.1e-05,0.000479,-0.000459,0.004349,-0.000392,-0.001249,-0.001061,-0.001021,-8.7e-05,-0.000838,-0.001526,-0.001072,-0.000978,-0.000782,-0.000983,-0.001182,-0.000713,-0.001743,-0.006585,-0.002362,-0.001802,-0.001713,-0.002001,-0.001934,-0.002547,-0.002562,-0.003117,-0.003403,-0.003694
0.039023,0.030953,0.039916,-0.019808,-0.343875,0.068894,-1.717471,0.070093,0.069184,0.04026,0.036329,0.066474,0.032035,0.074974,0.029566,0.000119,-0.03364,0.023546,0.117451,-0.008885,0.002491,0.062897,0.129037,-0.022504,-0.103294,-0.041207,-0.034956,-0.063446,-0.074475,-0.05638,-0.063529,-0.086202,-0.16936,-0.204697,-0.23511,-0.222062,-0.251369,0.516522,1.805844,-0.200503,-0.259917,-0.165032,-0.103955,-0.104633,-0.032872,0.132744,0.011924,0.000125,0.002147,0.002572,0.000872,0.037006,0.036963,-0.002842,0.035922,0.070051,0.10865,0.06487,0.068872,0.068733,0.068923,0.104802,0.175083,-0.036642,-1.992094,-0.033422,-0.00199,-1.975002,0.085705,-3.23928,0.033317,0.032135,-0.003414,-0.008861,-0.132948,0.004698,-3.334435,-0.03511,-0.001597,-0.035247,-0.031176,-0.033952,-0.033933,-0.032924,-0.068745,-0.040546,-0.061308,-0.069602,-0.069199,-0.069681,-0.035318,-0.037444,-0.062786,-0.061406,-0.066555,-0.06862,-0.069027,-0.065919,-0.065213,-0.092709,-0.145571,-0.099,-0.107312,-0.019288,-0.106719,-0.069042,-0.068902,-0.063658,-0.034768,-0.032753,-0.056468,0.003642,0.04148,0.005043,-9.2e-05,-0.000709,-0.033912,-0.0335,-0.079465,-0.009172,0.019694,-0.000594,-0.062932,0.02696,0.042925,-0.007369,0.04638,0.004276,0.033991,0.033797,-0.159264,-0.15629,0.070432,0.034329,0.069365,0.056571,0.10511,0.108754,0.106484,0.107643,0.069799,0.069528,0.069833,0.070748,0.034537,0.034359,0.00401,-0.036631,-0.003105,-0.000632,-0.001002,-0.001026,-0.001026,0.004335,-0.000357,-0.00063,-0.000627,-0.034996,-2.2e-05,-0.001582,-1.7e-05,-0.034968,-0.035561,-9e-06,-1.2e-05,0.000982,-0.034969,-0.003441,0.000527,0.001025,0.00102,3.2e-05,0.001006,0.001005,0.001001,0.001008,0.001006,0.001006,0.000996,7e-06,-0.000608,0.034444,-0.000609,-1e-05,-4e-06,-0.00061,7e-06,0.003631,0.004226,-0.000618,0.003608,-0.000616
