0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
-0.0087,-0.007283,-0.012645,-0.005661,-0.005287,-0.004882,-0.004548,0.001519,0.000909,0.000949,0.000189,3.7e-05,-0.000903,-0.007558,-0.001528,-0.007207,-0.00129,-0.001188,-0.001006,-0.000974,-0.000387,-0.00109,-0.001103,0.00473,-0.001,-0.000213,-6.8e-05,-0.000746,-0.000694,-0.00076,-0.00052,-0.000475,-0.000337,-0.000378,-0.000473,-0.000468,-0.000371,-0.000215,-0.000147,-0.000162,0.005546,-4.7e-05,0.000117,8.6e-05,0.000133,0.00015,0.000214,5.3e-05,-0.000687,-4e-06,-0.005666,-0.005662,-1e-06,5.2e-05,0.000283,0.000349,0.0003,0.000398,0.000303,0.000305,0.00012,8.8e-05,-0.000775,-1.1e-05,0.000222,0.000157,0.005926,0.005976,0.006271,0.006345,0.012244,0.006746,0.007004,0.007358,0.007437,0.001517,0.001441,0.001262,0.001036,0.001026,0.006251,0.005222,-0.00014,-0.000113,-0.000627,-0.00024,-0.004927,-0.0048,0.00124,0.000338,0.000295,0.000886,-0.000128,-0.000244,-0.006126,0.000698,0.006911,0.000312,0.007135,0.001171,0.007144,0.006924,0.006777,0.006415,0.013066,0.006795,0.006626,0.000789,0.000766,0.000653,0.000926,0.000846,0.000844,0.000807,0.006666,0.006692,-7.3e-05,0.00069,-6.4e-05,0.005737,-0.000105,0.005932,0.005979,0.005991,0.005988,0.005859,-0.000363,0.005542,-0.000512,-0.000802,-0.000843,-0.001136,-0.001413,-0.001733,0.003831,0.004537,-0.00221,0.004691,-0.00099,0.005093,0.006374,0.005804,0.000139,0.006055,0.006292,0.006466,0.000941,-4.5e-05,-1e-06,-7.3e-05,-0.000455,-0.000487
0.01779,0.008259,0.004025,-0.00282,-0.005304,-0.008188,-0.01063,-0.01131,-0.006783,-0.007043,-0.001351,-0.000176,0.006883,0.012273,0.011621,0.00986,0.009926,0.00915,0.007786,0.007552,0.003167,0.008447,0.008528,0.00847,0.007702,0.001771,0.00065,0.005739,0.005352,0.005863,0.004011,0.003657,0.00261,0.002941,0.003659,0.00363,0.002879,0.001635,0.001133,0.001258,0.001819,0.000371,-0.000913,-0.000671,-0.001033,-0.001174,-0.001232,-0.000439,0.005166,2.3e-05,-0.000729,-0.000728,1e-06,-0.000428,-0.002279,-0.002801,-0.002391,-0.003112,-0.002416,-0.002443,-0.000973,-0.000151,0.005887,-6e-06,-0.001035,-0.00125,-0.001246,-0.00159,-0.003309,-0.004336,-0.004977,-0.007011,-0.00878,-0.011138,-0.011458,-0.010937,-0.010389,-0.009097,-0.007449,-0.00737,-0.002357,0.005078,0.00102,0.000817,0.004538,0.001802,-0.00706,-0.008023,-0.008779,-0.00228,-0.001972,-0.006241,0.001036,0.001862,0.001239,-0.004935,-0.006609,-0.002117,-0.008035,-0.008238,-0.007859,-0.006158,-0.004994,-0.002417,-0.006591,-0.005067,-0.003951,-0.005536,-0.005376,-0.004616,-0.006421,-0.00589,-0.005866,-0.005632,-0.004024,-0.004202,0.001011,-0.004842,0.000377,0.002401,0.000663,0.00112,0.000812,0.000744,0.000818,0.001584,0.002189,0.003535,0.003193,0.004995,0.00574,0.00704,0.008763,0.010764,0.013703,0.008773,0.013611,0.007515,0.005575,0.004881,-0.00348,0.000479,-0.001385,-0.00112,-0.002569,-0.003573,-0.006181,0.00016,-9e-06,0.000435,0.002733,0.00291
0.028664,0.029042,0.026334,0.028423,0.026585,0.024569,0.022915,0.021948,0.017571,0.017397,0.013743,0.014464,0.011614,0.008179,0.007248,0.006581,0.006092,0.005596,0.004732,0.004561,0.008987,0.005052,0.005068,0.004547,0.004535,0.008045,0.00737,0.003326,0.003097,0.003379,0.002303,0.002098,0.001495,0.00168,0.002087,0.002065,0.001633,0.000926,0.000644,0.000712,0.000607,0.000207,-0.000517,-0.000381,-0.000583,-0.000664,-0.00071,-0.000248,-0.003975,1.6e-05,2e-05,2e-05,3e-06,-0.00024,-0.001291,-0.001588,-0.001359,-0.001791,-0.001378,-0.001395,-0.000555,-0.00013,-0.003563,1e-06,-0.000684,-0.000714,-0.001145,-0.001345,-0.002598,-0.002937,-0.003771,-0.004536,-0.00559,-0.007024,-0.00728,-0.006562,-0.006257,-0.005521,-0.004548,-0.004515,-0.001934,-0.004539,0.000625,0.0005,-0.004384,-0.00607,-0.003878,-0.004495,-0.005484,-0.008674,-0.008491,-0.003954,-0.006616,-0.00609,-0.005986,-0.003162,-0.004767,-0.008686,-0.005744,-0.005394,-0.005691,-0.004605,-0.003858,-0.002156,0.001963,0.003507,0.004274,0.003762,0.003876,0.004387,0.00319,0.003547,0.003569,0.00373,0.004255,0.004142,0.000479,0.00427,0.000257,0.001056,0.000443,0.000201,-8e-06,-5.3e-05,-1.6e-05,0.000503,0.001455,0.001795,0.002116,0.0033,0.003706,0.004609,0.005722,0.006973,0.00827,0.012414,0.008598,0.011457,0.010718,0.009741,0.01178,0.007022,0.006337,0.006004,0.005128,0.00452,0.003432,0.000114,-7e-06,0.000262,0.001657,0.001763
0.045986,-0.101369,-0.112062,-0.123568,0.012658,-0.121326,-0.15598,-0.152706,0.276917,-0.128461,-0.083335,-0.066861,0.009604,0.003683,0.005824,0.003816,0.004563,0.383219,0.001147,0.017938,-0.032263,0.004298,0.015549,0.00706,0.006471,-0.033971,-0.034552,0.00237,0.002097,0.002114,-0.010417,-0.25622,0.015275,0.000313,0.002242,-0.077957,0.386587,-0.369868,1.132643,-0.04862,4.159516,1.192056,-0.022664,-0.019664,0.052919,-0.00791,4.350746,-0.077047,-0.030247,-0.038787,-0.359604,-0.09615,-0.100639,-0.018989,-0.287134,-0.230492,0.001398,1.575629,-0.188864,-0.151006,-0.193879,4.264344,-0.229435,-0.292716,4.383786,1.005305,-0.147453,-0.413472,4.651906,0.292272,-0.270628,-0.301896,-0.188989,-0.263543,-0.139423,-0.250457,-0.216922,-0.028779,-0.023233,-0.024654,0.002661,0.038435,-0.004936,0.001368,0.036994,0.035251,0.012936,-0.006268,-0.0042,0.032502,0.032013,-0.002095,0.034264,-0.028415,0.032561,0.014926,-0.002168,0.035062,1.8e-05,0.144576,-0.000407,0.02962,0.054488,0.066819,0.030858,-1.546404,0.016177,0.017303,-0.038129,-0.030303,0.061538,0.006044,-0.006638,-0.048752,-0.482301,0.150557,-5.40293,-0.016407,0.104937,0.027432,-0.496462,0.015644,0.052227,0.010175,-1.616083,0.057785,-0.125669,0.022346,-0.00031,-0.007099,-5.006491,-0.437479,0.021724,0.123259,0.165061,0.151323,0.086464,-0.205701,-0.422888,0.308402,-0.043339,-4.323471,0.34647,0.391397,-1.00376,0.795143,-0.065731,-3.911501,-1.124768,0.266874,0.073724,0.181817
-0.02737,-0.057999,-0.016656,-0.044659,-0.222117,-0.148001,0.016139,-0.000402,-0.611673,0.018659,-3.5e-05,-0.032684,-0.0984,-0.034384,-0.030988,-0.0151,-0.034508,0.116066,-0.007835,-0.018379,-0.025036,-0.034136,-0.04547,-0.050416,-0.01855,-0.008679,-0.007901,-0.017603,-0.017105,-0.016992,-0.074521,0.311173,-0.029584,-0.000625,-0.017376,0.089352,0.139687,0.509196,0.712638,0.063567,2.00632,0.849001,0.12931,0.184235,0.239772,0.114191,2.041482,0.104159,0.084378,0.150551,0.516787,0.150208,0.140739,0.027623,0.523406,0.358499,-0.003947,2.58636,0.370401,0.236703,0.400508,2.656063,0.509795,2.460346,2.951449,1.602997,0.51698,1.016744,4.299728,0.763187,0.801664,1.244122,0.701466,1.04476,0.62264,1.044897,0.956469,0.146153,0.082584,0.093106,-0.018467,-0.013349,-0.00502,-0.007891,-0.008982,0.007178,-0.087743,0.049238,0.033227,0.023947,0.025035,0.016521,0.008109,0.256324,0.021031,-0.103875,0.018163,0.006342,0.001206,-0.559493,0.03082,-0.084401,-0.197581,-0.200554,-0.197323,-0.873484,-0.151023,-0.170197,0.024551,-0.001178,-0.382229,-0.099635,-0.106973,-0.445164,-0.218544,-0.583804,-0.955943,0.022967,-0.431995,-0.181689,-0.049352,-0.00771,-0.211254,-0.226196,-0.521906,-0.252644,-1.867165,-0.166677,0.00827,-0.284395,-1.882017,-0.353123,-0.350545,-0.553089,-0.662641,-1.038442,-0.907249,-0.69382,-0.415372,-0.91308,-0.16739,-2.050988,-0.872386,-1.012608,-1.316867,1.582042,-0.09916,-1.769988,-0.678562,-0.551008,-0.32566,-0.446773
0.183023,0.053152,0.006193,-0.038104,-0.189144,0.134766,-0.021964,0.006289,-0.250807,0.010029,0.020713,0.032334,0.004214,0.040756,0.042779,0.013372,0.045828,0.343347,0.028601,0.025072,0.02733,0.046056,0.037951,0.074702,0.022983,0.003707,0.004382,0.022753,0.023005,0.023095,0.069193,0.282293,0.014091,-0.000559,0.022835,0.109156,0.306448,0.422742,1.080362,0.058728,2.952159,0.79652,-0.147553,-0.090829,-0.025516,-0.161085,2.605044,0.090604,0.096927,-0.133204,0.369015,0.078579,0.11643,0.022447,0.170361,0.22783,-0.003092,-1.226056,0.043252,0.151546,0.073168,2.608529,0.180734,-1.82288,1.90326,0.740926,-0.089666,0.059027,-1.375954,-0.195199,-0.070748,-0.956271,-0.225679,-0.888938,-0.325568,-0.017655,-0.081757,-0.205453,0.009258,-0.014837,-0.006492,0.024781,0.037668,-0.005208,0.018618,-0.002899,0.111055,-0.075331,-0.044898,-0.025645,-0.027186,-0.022175,-0.004327,0.220615,-0.03522,0.13905,-0.01521,-0.001787,0.007417,-0.216392,-0.001457,-0.09015,-0.146828,-0.152418,-0.135532,-0.302686,-0.103363,-0.157436,-0.007403,0.008383,-0.318005,-0.102949,-0.014248,-0.352471,-0.098885,-0.684832,-0.295668,-0.179701,-0.499872,-0.024436,-0.030297,-0.22744,-0.134142,0.200431,-0.098839,-0.163823,2.031263,0.210547,0.02557,0.392077,-1.525221,0.23986,0.263063,0.139073,0.100194,-0.234776,0.183526,-0.115164,0.104045,-0.112478,0.144075,-2.896658,-0.169825,0.025492,-0.609426,-1.310074,0.12951,-3.665596,-1.002305,-0.104218,0.26988,0.191798
0.004555,0.010864,0.017219,0.010592,0.017057,0.010903,0.011387,0.011152,0.0055,-0.000751,-0.001047,-0.007078,-0.000614,-0.007031,-0.007055,-0.000815,-0.000802,-0.000824,0.005572,-0.000978,-0.000906,-0.000824,-0.000784,-0.00067,-0.000776,-0.006715,-0.00046,-0.000173,6.4e-05,-0.006484,-0.006778,-0.006773,-0.00697,-0.007439,-0.007191,-0.007708,-0.014178,-0.013631,-0.007226,-0.012933,-0.018834,-0.018623,-0.018169,-0.017514,-0.016905,-0.02314,-0.01657,-0.016248,-0.016049,-0.015997,-0.016298,-0.01581,-0.009281,-0.009486,-0.009404,-0.003295,-0.003654,-0.004131,0.002123,0.002031,0.001739,0.001732,0.001256,0.001764,0.001316,0.000814,0.001169,0.001325,0.002227,0.002432,0.003043,0.004166,0.004559,0.011225,0.005845,0.005607,-0.001204,-0.001026,-0.001512,0.004296,0.004335,0.004507,0.004463,-0.001994,0.00307,0.002646,0.002485,0.002151,0.001506,0.00139,0.001181,-0.005037,-0.005675,-0.000179,-0.005633,0.000357,0.000638,-0.004701,-0.004801,-0.009908,-0.004103,-0.009762,-0.004485,-0.004776,0.000908,8.7e-05,0.000383,0.005641,-1.6e-05,0.000274,0.000142,0.000214,9.4e-05,0.000372,0.000215,-6.9e-05,0.000211,-5.5e-05,-3.2e-05,-0.000456,-0.000896,-0.001146,-0.001514,-0.001673,-0.001814,0.003201,0.003323,0.003256,0.003731,0.003143,0.003514,0.003672,0.003189,0.003255,0.00344,0.003042,0.002605,-0.002537,-0.002531,-0.0023,-0.002455,-0.002494,-0.002357,-0.002291,-0.002146,-0.001559,-0.001375,-0.001632,-0.001421,-0.001244,-0.001331,0.004533
-0.009387,-0.00975,-0.006056,-0.011684,-0.011495,-0.010636,-0.004077,-0.009638,-0.001309,-0.004527,-0.010411,-0.003918,-0.003674,-0.003532,-0.003642,-0.004812,-0.004733,-0.004691,-0.005277,-0.005771,-0.005344,-0.004856,-0.004605,-0.003919,-0.004527,-0.001111,-0.010923,-0.009231,-0.007839,-0.01195,-0.017685,-0.017606,-0.018609,-0.025268,-0.019671,-0.02656,-0.025395,-0.01798,-0.023433,-0.013941,-0.009731,-0.008642,-0.002394,0.004656,0.011237,0.013045,0.012249,0.016869,0.017478,0.01711,0.011415,0.017166,0.016566,0.015359,0.015441,0.013652,0.01201,0.006151,0.005255,0.004885,-8.1e-05,-7.1e-05,-0.005852,9.9e-05,-0.005553,-0.011461,-0.006164,-0.005478,0.002197,0.003097,0.009549,0.018249,0.020003,0.025531,0.029696,0.025032,0.018595,0.023062,0.017089,0.015688,0.015908,0.016741,0.016597,0.010915,0.006696,0.004814,0.004097,0.006276,-0.000351,0.002802,0.00183,0.000425,-0.002514,-0.00446,0.001328,0.001646,0.002917,0.005539,0.001389,0.00857,0.008064,0.008989,0.006172,0.004843,0.007594,0.000383,0.005278,-0.001014,-7.6e-05,0.001193,0.000619,0.000932,0.000399,0.005224,0.004527,0.00326,0.008082,0.006895,0.010564,0.008688,0.006733,0.005636,0.004018,0.003324,0.002707,-0.004625,-0.004146,-0.004512,0.001126,-0.005126,1.9e-05,0.000635,-0.00516,-0.004959,-0.000573,-0.006012,-0.011647,-0.004197,-0.004159,-0.003103,-0.003761,-0.00391,-0.003277,-0.002946,-0.002273,0.003961,0.004819,3.9e-05,0.000989,0.001781,-0.002214,-0.007019
-0.006698,-0.007049,-0.012366,-0.008519,-0.008494,-0.007878,-0.011075,-0.007218,-0.009034,-0.003379,0.000259,-0.002885,-0.002754,-0.002612,-0.0027,-0.003636,-0.003592,-0.003574,-0.004062,-0.00442,-0.004108,-0.003739,-0.003556,-0.003035,-0.003513,-0.000838,0.007969,0.009303,0.010391,0.015483,0.019321,0.019405,0.018689,0.021905,0.017982,0.021051,0.022054,0.019493,0.023641,0.022629,0.025834,0.026637,0.023001,0.019911,0.01644,0.017703,0.016951,0.012046,0.012412,0.012026,0.015944,0.011893,0.011327,0.0104,0.010364,0.009088,0.007927,0.011803,0.011111,0.010845,0.015311,0.015276,0.019272,0.015329,0.019409,0.023365,0.019007,0.019415,0.016441,0.016945,0.013165,0.010661,0.011597,0.007027,0.009293,0.013756,0.017538,0.012498,0.01632,0.01532,0.015255,0.015482,0.015217,0.019526,0.017142,0.016148,0.015769,0.009833,0.013597,0.008159,0.007704,0.00728,0.005942,0.004826,0.000839,0.000754,0.001329,0.002746,0.007709,0.004325,0.003851,0.004484,0.002972,0.002382,-0.003444,0.00017,-0.004457,-0.00069,-3.5e-05,0.000521,0.00027,0.000406,0.000173,-0.004475,-0.004775,-0.005325,-0.009948,-0.010463,-0.015573,-0.016381,-0.017242,-0.017734,-0.01847,-0.018803,-0.0191,-0.015978,-0.015809,-0.016042,-0.020211,-0.016434,-0.020855,-0.020609,-0.016625,-0.01659,-0.021367,-0.017243,-0.013282,-0.016297,-0.016319,-0.015825,-0.016257,-0.016417,-0.016099,-0.015985,-0.015664,-0.019327,-0.018876,-0.014453,-0.013931,-0.013479,-0.008598,-0.004294
-0.004578,-0.000367,0.038014,0.001911,0.365591,0.000842,0.03748,0.000259,0.035373,-0.000595,-0.035449,5.7e-05,0.001228,-0.002308,-0.001519,-0.001047,-0.001,4.061052,0.00075,-0.001099,-0.009512,-0.001413,-0.000249,-0.000625,0.00843,-0.012683,-0.071087,-0.069469,0.002028,-0.105022,0.107952,0.323176,0.188984,-0.028756,-1.3e-05,0.009849,0.3507,0.06322,-0.047505,0.003899,-0.140195,0.021629,-0.11565,0.146443,0.025994,0.132087,3.934752,0.161031,0.199575,0.229173,0.094302,0.028316,0.100798,0.190214,0.03233,0.032667,0.189857,0.043694,-0.025101,-0.023567,0.057775,-0.040241,-0.045866,-0.045181,-0.098949,-0.139123,0.029831,-0.111519,-0.075338,-0.072158,-0.038755,-0.00239,0.072975,0.03354,0.031954,0.066154,0.019796,-0.004531,-0.037832,0.086051,-0.034335,-0.042321,0.016824,-0.071449,-0.070127,-0.070017,-0.050377,-0.003647,-0.011531,-0.014838,-0.037119,-0.035192,0.011915,-0.038243,-0.001121,2.7e-05,0.000364,-0.005134,-0.036481,-0.001633,0.001238,-0.001482,0.139929,0.059454,0.173069,0.063255,0.034326,0.000924,1e-05,2.2e-05,-0.001709,-0.001385,-0.001431,0.032361,0.029619,-0.192157,0.080575,0.075125,-0.671554,-0.12125,0.104753,0.103309,0.103016,-0.120966,0.111173,0.069401,0.068961,0.068977,0.105253,0.071547,0.103861,0.107113,0.07352,0.069758,0.104474,0.072908,0.034661,0.068309,0.068325,0.068661,0.068395,0.068393,0.068761,0.072606,0.069071,0.103466,-0.785615,0.068888,0.068769,0.06877,0.034226,0.000819
