0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225
-0.013424,-0.001164,-0.007027,-0.000808,-0.000561,-0.000391,-0.001186,0.00539,-0.001354,0.004545,0.004747,0.005906,0.005582,0.005855,0.011493,0.006162,0.006247,0.005747,0.005873,0.006849,0.006042,0.012895,0.007711,0.007603,0.007618,0.008336,0.008078,0.007011,0.001586,-0.004931,0.000764,0.000335,-0.007004,-0.007296,-0.007581,-0.002793,-0.003478,-0.003114,-0.003195,-0.002476,0.003649,0.009721,0.00994,0.012392,0.018608,0.019856,0.015558,0.015894,0.016297,0.010221,0.00857,0.007198,-0.00086,-0.008117,-0.009248,-0.01038,-0.004605,-0.004723,-0.004911,-0.004667,0.002413,-0.003729,0.003801,0.011192,0.023279,0.016682,0.022398,0.018163,0.018511,0.02313,0.018303,0.011341,0.005607,-0.003478,-0.004889,-0.004429,-0.004634,-0.010455,-0.010544,-0.009765,-0.01056,-0.01083,-0.010935,-0.015698,-0.015573,-0.0094,-0.002906,-0.003552,0.000104,0.006519,0.011349,0.010584,0.015827,0.009619,0.004411,0.000515,0.000185,-0.004785,-0.010943,-0.011375,-0.010393,-0.011401,-0.010926,-0.010677,-0.005332,-0.011182,-0.005433,-0.005596,0.000219,-0.005818,-0.000203,-0.004954,0.000619,-0.005465,7.5e-05,0.000756,-0.006037,-0.005767,9.5e-05,0.001079,-0.004919,-0.004814,0.00099,-0.004819,-0.005663,-0.004757,0.001028,-0.005688,0.00084,-0.000102,-0.000159,0.000464,-0.000255,0.000571,-0.000306,-2e-06,4e-06,8e-05,3e-06,-0.000382,-0.000263,0.000679,0.00108,0.001202,0.000866,0.000665,0.000404,0.001174,0.001102,-0.00011,0.000102,-0.000737,-0.00074,-0.001475,-0.006936,-0.000854,-0.000509,-0.006264,-0.007101,-0.000146,0.00018,0.000198,0.001049,0.000917,0.000896,0.000798,0.000423,0.000583,0.005769,-0.000241,-0.000257,-0.000367,-0.000346,-6.8e-05,-0.000179,-0.001052,-0.000174,-0.000427,0.005234,0.006318,0.005437,0.0001,-0.000507,0.000512,-0.000347,-0.000306,-0.000365,-0.000487,-0.006255,-0.005395,-0.000583,-0.000664,-0.000232,-0.000246,-0.000151,0.001324,0.000263,-0.005682,-0.005606,4.2e-05,-0.005859,0.000896,-0.001003,-0.000161,-7.7e-05,-0.000407,-0.000474,-0.000512,0.000305,0.000294,0.000312,0.000455,0.00052,-0.000369,-0.000165,-3.5e-05,0.005677,0.005676,0.005831,0.012312,0.005433,-0.000538,0.005948,0.005493,0.00531,8.1e-05
0.0106,0.009727,0.008235,0.006833,0.004724,0.003287,0.009575,0.005166,0.010792,0.012201,0.009784,0.000596,0.003024,0.000848,0.003553,-0.001376,-0.001938,0.001982,0.001265,-0.005646,0.000394,-0.004859,-0.011135,-0.010451,-0.009994,-0.014753,-0.012698,-0.005125,-0.010612,-0.008787,-0.005098,-0.002245,0.005367,0.007455,0.00953,0.019879,0.025395,0.022816,0.022549,0.017216,0.016657,0.016362,0.014247,-0.003458,-0.004895,-0.01335,-0.024505,-0.026438,-0.02848,-0.027562,-0.017603,-0.008872,0.003117,0.010678,0.018185,0.02606,0.027855,0.028778,0.029872,0.027806,0.020477,0.022014,0.010695,0.000138,-0.004154,0.001192,0.001091,-0.007287,-0.009093,-0.001353,-0.005014,0.002925,0.003594,-0.009713,-0.000967,-0.003333,-0.00245,-0.002897,-0.002793,-0.007793,-0.003266,-0.002222,-0.001864,-0.00953,-0.011618,-0.013702,-0.018235,-0.015336,-0.00121,-0.003926,0.002456,0.007181,0.011161,0.011817,0.007444,-0.004339,-0.001811,-0.007053,-0.005273,-0.002304,-0.00849,-0.002378,-0.005258,-0.006826,-0.003277,-0.004223,-0.002836,-0.001917,-0.000802,-0.000666,0.001751,-0.006542,-0.003834,-0.003485,-0.000458,-0.005163,7.1e-05,-0.00164,-0.000614,-0.007288,-0.007505,-0.00824,-0.006786,-0.008319,-0.002574,-0.008904,-0.007147,-0.002536,-0.005916,0.000664,0.001045,-0.003378,0.001691,-0.004087,0.002026,1e-06,-4.3e-05,-0.00054,-2.1e-05,0.002558,0.001772,-0.004814,-0.007543,-0.008284,-0.006074,-0.00473,-0.003001,-0.008407,-0.007955,0.000443,-0.000965,0.004917,0.00494,0.010144,0.005776,0.005593,0.00344,0.001558,0.007493,0.000999,-0.001258,-0.001376,-0.007415,-0.0065,-0.006368,-0.0057,-0.003117,-0.004201,0.00186,0.001615,0.001748,0.002573,0.002395,0.000368,0.001216,0.00743,0.001191,0.002898,0.005558,-0.002385,0.003848,-0.000949,0.003384,-0.003699,0.00226,0.001757,0.002076,0.003308,0.001583,-0.004181,0.003997,0.004306,0.000951,0.001654,0.001058,-0.009407,-0.001832,-0.002035,-0.002627,-0.0003,-0.000844,-0.006524,0.007325,0.001166,0.000577,0.002969,0.003439,0.003702,-0.002274,-0.002194,-0.002328,-0.00336,-0.003819,0.002614,0.001161,0.000232,0.001966,0.001978,0.00089,-0.002869,0.003603,0.003648,-0.000153,0.002844,0.004011,-0.001125
0.008125,0.006439,0.005947,0.004475,0.003082,0.002138,-0.001163,0.002833,-0.000392,-6.5e-05,-0.001547,-0.000117,-0.005894,-0.007291,-0.013411,-0.016164,-0.016566,-0.02147,-0.022058,-0.019391,-0.022836,-0.019642,-0.016054,-0.015633,-0.01548,-0.011362,-0.009978,-0.012225,-0.007928,-0.005973,-0.00384,-0.001689,-0.00319,-0.001604,-6.1e-05,-0.000765,0.003096,0.008952,0.016458,0.019986,0.018757,0.017862,0.016194,0.026309,0.024742,0.026446,0.027036,0.025824,0.024624,0.025859,0.025137,0.023408,0.024212,0.021996,0.019263,0.016531,0.01677,0.016955,0.017411,0.022824,0.024652,0.018975,0.019039,0.019699,0.023393,0.019757,0.019265,0.015389,0.014479,0.004543,-0.003731,-0.012864,-0.018945,-0.018381,-0.027558,-0.028913,-0.028595,-0.028584,-0.028685,-0.024612,-0.029189,-0.028747,-0.028614,-0.025825,-0.020113,-0.014768,-0.003735,0.005369,0.006541,0.011527,0.015068,0.010713,0.012644,0.01345,0.0112,0.011674,0.006053,0.003387,-0.002198,-0.007568,-0.004152,-0.007635,-0.009415,-0.010394,-0.008744,-0.008867,-0.008513,-0.007957,-0.007783,-0.007197,-0.006184,-0.003637,-0.00244,-0.001702,-0.000287,0.004038,0.000569,-0.000524,-0.000386,0.002681,0.003058,0.002592,0.003008,0.002549,-0.001128,0.002183,0.002794,-0.001105,0.003589,0.000429,0.000673,0.00522,0.001081,0.004767,0.001295,1e-06,-2.8e-05,-0.000347,-1.3e-05,0.001638,0.001136,0.004305,0.002563,0.002087,0.003509,0.004373,0.005486,0.009448,0.009738,0.007678,0.006776,0.003107,0.003107,-0.00099,0.004113,0.003488,0.002138,0.001467,-0.002164,0.000622,-0.000776,-0.000851,0.002715,0.003283,0.003367,0.003782,0.005385,0.004716,0.000652,0.001,0.001081,0.001578,0.001463,0.00024,0.00076,-0.002722,0.000735,0.00178,0.002928,0.005308,0.001844,0.006655,0.00204,0.004994,0.001353,0.001061,0.001235,0.001989,0.001413,0.005186,0.002386,0.002534,0.000453,0.000984,0.000634,0.001601,-0.001085,-0.000736,-0.001088,-0.000173,-2.5e-05,0.003316,-0.002827,0.000696,0.000346,0.001766,0.002043,0.002195,0.005827,0.005875,0.005795,0.005187,0.004917,0.001532,0.00068,0.000133,0.000686,0.000692,5.1e-05,0.00455,0.001636,0.002121,0.006597,0.008322,0.008984,0.013582
-0.008293,-0.312928,0.013062,-0.008721,-0.216225,-0.261275,0.002709,-0.033062,-0.320099,4.119813,0.149282,-0.302128,1.207837,-0.015563,-0.161847,1.243443,-0.276166,-0.038147,0.06874,0.062791,0.111095,0.060788,-0.006715,-0.495823,-0.106846,-0.012374,-0.125489,0.009534,-0.151843,-0.059059,-0.276108,-0.424899,-0.44464,0.038762,-1.468208,-0.375328,-4.987921,-5.281096,-0.598854,-0.539503,0.097971,0.400817,-1.174684,-0.181575,0.603398,0.258175,0.076188,0.117929,0.039944,-4.851283,-0.028512,-0.137464,-0.392462,-0.737563,0.709965,1.009365,-0.564407,1.070543,-0.191236,-0.711058,3.317552,-0.761739,-0.569198,-0.497484,-0.319808,0.194173,0.622808,-0.391383,-0.672189,-0.458697,0.349675,0.092642,-0.298385,0.194377,0.10277,-0.367232,-0.37746,0.218909,0.035901,-0.407648,-1.349067,0.053131,0.064467,-0.397753,0.04261,-1.490451,-1.79336,-0.207085,-0.613285,-2.9349,-0.420156,-0.182961,-0.091623,-0.034011,-0.157277,-0.074356,-0.078956,-0.085557,-0.025771,0.030775,0.101293,-0.150653,0.051302,0.046584,0.044788,-1.767535,0.007491,0.051913,0.021704,0.015772,0.048148,-0.003712,-0.000742,0.061718,-0.086726,-0.073965,0.031604,0.002401,-0.018985,-0.017217,-0.049449,-0.039586,-0.049647,-0.097731,-0.09723,-0.03025,0.018963,-0.068839,-0.049816,-0.223538,-0.254255,-0.308112,-0.129505,-0.080313,-0.065098,-0.101508,-0.203222,-0.070695,-0.240574,-0.078798,0.061739,-0.099015,-0.170704,0.05668,-0.139232,-0.147657,-0.216912,-0.470413,-0.520217,-0.426163,-0.028565,-0.115703,-0.127071,-0.038962,-0.671596,-0.715513,0.068651,0.086731,0.104447,0.062101,0.07355,0.134689,0.063494,0.105426,0.081876,0.029669,-0.0166,0.080138,0.063099,-0.208116,0.056043,-1.464416,-1.633237,-0.383199,0.253921,-1.76064,-1.546674,-0.516218,-5.116678,-0.350225,-0.054786,0.273006,-0.257489,-1.514022,-0.750212,-3.853023,-3.665445,-1.076073,-3.591053,-0.079512,-1.005492,-3.399223,-3.889408,-0.594705,-0.088283,-0.049145,0.01845,-0.00102,-0.001311,0.003256,-0.015022,-0.243275,0.039225,0.331725,-0.01789,0.002464,0.130207,0.003519,0.249377,0.206439,0.02193,0.336545,0.003264,-0.007345,0.000756,0.000645,0.002492,0.002416,0.002292,-0.030186,0.017468,-0.000878,-0.021008,-0.031625,-0.030137,-0.083249
0.005253,0.488294,-0.033425,0.011676,0.396964,0.424143,-0.1772,-0.023724,0.489921,2.852296,0.658695,0.910805,1.085833,0.173178,0.453881,1.169243,0.70097,0.36185,0.077837,0.131784,0.010029,0.026918,0.097607,1.972042,0.379005,0.14075,0.353295,0.052749,0.324159,0.237502,0.600193,0.606938,-0.072529,-0.011974,-0.741709,-0.254066,-2.375372,-1.670729,0.112198,0.011674,-0.189852,-0.953786,-1.453976,-1.145842,-2.011756,-1.267463,-0.822234,-0.938819,-1.098522,-2.877564,-1.159782,-0.611799,0.219497,1.045497,1.832277,1.186112,0.875501,1.367304,0.275679,1.11849,4.979641,1.318257,0.917041,0.833837,1.502525,2.688633,2.484461,2.181536,1.704803,1.799536,0.289094,0.253336,0.14348,0.188486,0.183851,0.003932,-0.008282,0.184737,0.106517,-0.073816,-0.38413,0.110488,0.114239,-0.128338,0.020383,-0.546813,-0.677344,-0.154719,-0.283298,-0.862755,-0.191935,-0.08219,-0.011137,0.00774,-0.066393,-0.057392,-0.038635,-0.059786,-0.055743,-0.022312,0.000363,-0.083304,-0.039613,-0.010498,0.017403,-0.533947,0.013748,0.010491,0.03693,0.00848,0.037482,-0.019656,0.014675,0.003732,-0.052684,-0.070701,-0.035137,-0.04636,-0.032377,-0.045713,-0.100421,-0.099965,-0.084708,-0.147623,-0.16418,-0.156683,-0.111168,-0.193705,-0.148437,-0.209164,-0.241833,-0.230395,-0.131381,-0.142486,-0.074598,-0.147798,-0.193048,-0.087518,-0.160291,-0.083978,0.019815,-0.105417,-1.168645,-2.434485,-0.546231,-2.349003,-1.12131,-2.200397,-1.453439,-1.361004,-0.530077,-1.193885,-1.415616,-1.339846,-2.503852,-2.34235,-1.395699,-0.992755,-0.621625,-0.449981,-0.582661,-1.015725,-0.697014,-0.844882,-0.64038,-0.414883,-0.384862,-0.481115,-0.396817,0.242973,-0.344556,-0.102892,0.212678,0.637494,2.396786,0.418153,0.886424,0.218464,-1.643063,-0.635657,-0.641588,-0.945725,-0.704901,-1.550585,-2.849519,-2.757911,-3.105283,-1.09812,-2.607873,-0.365146,-0.976134,-2.546848,-4.545327,-2.027322,-0.058818,-0.012655,-0.10415,0.016459,0.037629,0.00793,0.021264,-0.626101,-0.002083,-0.386809,0.114296,-0.015728,-0.158618,-0.044401,-0.329291,-0.295296,-0.202122,-0.311676,-0.046338,-0.011233,0.000969,0.000581,-0.014801,-0.01488,-0.01496,-0.021131,0.040742,-0.020755,0.023444,-0.040504,-0.03926,-0.010641
0.032127,0.45574,0.00595,0.046696,0.353766,0.334029,0.263658,0.314898,0.709845,3.017979,0.655746,0.435313,0.873706,-0.079227,0.174136,0.805662,0.295188,0.010793,0.072034,-0.19367,-0.010606,0.02901,0.043227,-1.958943,-0.011804,-0.20183,-0.047652,0.05058,0.163066,-0.166623,0.137034,0.298472,-0.181018,-0.023608,-0.079319,0.041373,-0.06353,-0.902801,0.186064,-0.206602,-0.396105,0.03513,-0.692154,-0.054723,1.447552,0.222933,-0.327006,-0.205524,-0.381891,-1.42343,0.989419,0.329808,0.991483,1.123438,1.534354,1.875441,0.871336,0.768248,0.33819,0.829861,1.227173,0.659359,0.556346,0.239933,0.163713,-0.871738,-0.366913,0.036193,0.050044,0.291887,-0.02076,-0.42491,-1.07076,-0.259715,-0.162499,-0.641634,-0.603149,0.024421,-0.089534,-0.680732,-1.805601,-0.07616,-0.075109,-0.160843,-0.286682,-1.844522,-1.82505,-0.569965,-1.035152,-0.732668,-0.69891,-0.382422,-0.137387,0.158471,-0.059337,0.046156,0.019872,-0.019916,-0.030104,-0.023526,0.100897,-0.184371,-0.187086,-0.050052,-0.005155,-1.217317,0.017134,-0.023108,-0.010212,0.021969,0.017843,-0.051188,0.003706,0.0773,-0.213861,-0.235523,-0.030038,-0.095567,-0.156575,-0.185105,-0.265721,-0.277701,-0.325298,-0.449723,-0.535849,-0.484396,-0.41022,-0.5979,-0.489424,-0.657934,-0.738635,-0.654086,-0.35279,-0.368765,-0.178833,-0.396117,-0.522513,-0.235719,-0.441648,-0.181141,0.087038,-0.26558,-0.536074,1.219289,-0.587117,1.292292,-0.065256,1.158892,-0.600555,-0.005729,0.352871,0.27658,0.031651,0.122382,2.983756,2.844325,0.524454,0.518811,0.554569,0.646858,0.278557,0.253213,0.452755,0.349208,0.251081,0.409388,0.54651,0.142463,0.480572,0.886647,0.477552,-0.388551,0.115298,0.934076,-0.912865,-0.239515,-1.171112,-0.467079,-1.76849,0.646117,0.353884,0.044603,0.096395,0.115664,2.009593,-2.578088,-2.565025,-0.378507,-3.006806,0.338503,-0.732397,-3.417818,-1.62156,2.028774,-0.103192,-0.003019,0.159424,-0.028352,-0.056606,-0.00571,-0.032791,0.590047,0.015262,-0.300846,-0.162452,0.024326,-0.080117,-0.007605,-0.22889,-0.207575,0.095423,-0.323762,-0.063092,0.030323,0.001634,0.001073,0.029949,0.029826,0.029623,0.042498,-0.017081,0.028729,-0.020793,0.059763,0.058053,0.007514
0.003334,0.003023,0.002696,0.002568,0.003029,0.002973,0.003386,-0.002815,-0.002744,-0.009147,-0.008088,-0.006762,-0.005823,-0.005462,-0.011216,-0.010549,-0.003976,-0.011183,-0.011888,-0.004515,-0.004478,-0.004049,-0.002634,-0.009005,-0.008509,-0.007848,-0.00111,-0.001585,-0.001718,0.004266,0.010297,0.004235,0.010133,0.015589,0.01524,0.020791,0.013533,0.012999,0.006388,0.005969,-0.000902,-0.007284,-0.007675,-0.001435,-0.007358,-0.000814,-0.000885,-0.007143,-0.006549,-0.006691,-0.007069,-0.007665,-0.008369,-0.008928,-0.009161,-0.002814,-0.002145,-0.001763,0.004765,-0.000691,0.000385,7.5e-05,0.000442,0.000754,0.000687,-0.005454,0.001008,0.0014,0.001671,0.002063,0.00885,0.003475,0.00353,0.003384,0.00342,0.00343,0.00331,0.002665,0.002654,0.002576,0.003382,0.003276,-0.002464,0.003539,0.002856,0.002835,0.002755,0.001577,-0.005047,0.000474,-0.006291,-0.006391,-0.006565,-0.000792,-0.000178,9e-05,6.8e-05,0.001093,0.001505,-0.004547,-0.003993,-0.003833,0.002126,-0.003636,-0.003609,-0.004265,0.001785,-0.004345,0.001264,0.001067,0.000832,-0.00507,0.000563,0.000307,0.000463,0.000569,0.00068,0.001177,0.002045,0.002289,0.002262,-0.002979,-0.002872,-0.003126,-0.00346,-0.004265,-0.009851,-0.004383,-0.004855,-0.004929,-0.004563,-0.005385,-0.006412,-0.001827,-0.002146,-0.002436,-0.002389,-0.002534,-0.001983,-0.001802,-0.001592,-0.001307,-0.001166,0.00407,-0.001509,-0.001543,-0.001673,-0.002061,0.003436,-0.002848,-0.003196,-0.003735,0.001966,0.001652,0.002358,0.008538,0.003062,0.003004,-0.003395,-0.003083,-0.002574,-0.002673,-0.002162,-0.002768,-0.00265,-0.008753,0.002594,-0.003265,-0.003144,-0.003245,0.002863,0.00323,0.00339,0.009979,0.016415,0.0166,0.01659,0.01639,0.01641,0.022446,0.0107,0.010734,0.010701,0.01058,0.01053,0.004584,-0.0016,-0.001679,-0.001046,-0.007183,-0.00034,2.9e-05,0.000191,0.000294,5.3e-05,9.7e-05,0.000222,0.000553,-0.005217,0.001636,0.001789,-0.004445,-0.004166,-0.00422,0.002007,-0.004335,-0.004101,0.001821,0.002093,0.00224,-0.003497,0.00229,-0.003503,-0.003292,-0.003852,-0.004445,-0.004023,-0.004202,0.001189,0.000218,0.00023,-0.00021,-0.00051,0.005696,0.005505,-0.001248
-0.01606,-0.021776,-0.027536,-0.028493,-0.026489,-0.031136,-0.025095,-0.026737,-0.030445,-0.028129,-0.022983,-0.016075,-0.011291,-0.009449,-0.000311,0.002719,0.001619,0.003378,-0.00416,0.002705,0.002823,0.004746,0.015211,0.012635,0.014628,0.013422,0.013752,0.007591,0.006874,0.004373,-0.001687,0.004493,0.005929,0.001512,-9e-06,0.004403,0.003874,0.001184,0.004003,0.001807,-0.000723,-0.000684,-0.002632,0.000549,0.006961,0.011559,0.01118,0.011978,0.018788,0.018011,0.016068,0.009291,0.002107,-0.004239,-0.009098,-0.013253,-0.013885,-0.012066,-0.011967,-0.003217,0.005668,0.000334,0.002056,0.003517,0.003203,0.004871,0.004703,0.006553,0.007825,0.009688,0.00747,0.012639,0.009087,0.004659,0.004941,0.005047,0.004587,-0.002337,0.001529,-0.002716,0.005129,0.004647,0.011015,0.00983,0.006534,0.010293,0.013755,0.004047,0.005537,0.002385,-0.000667,-0.001147,-0.001984,-0.007692,-0.000866,0.000442,-0.003505,0.005329,0.00735,0.003978,0.010474,0.011164,0.010371,0.012004,0.012026,0.004974,0.008659,0.008241,0.006095,0.005142,0.004019,0.004607,0.002717,0.001485,0.002232,0.002745,0.003287,0.005681,0.013652,0.014838,0.014709,0.021846,0.022169,0.020847,0.019035,0.015024,0.019848,0.017881,0.015548,0.011447,0.01671,0.009251,0.000964,-0.008281,-0.009701,-0.01096,-0.010723,-0.011366,-0.005264,-0.004448,-0.003503,0.001387,0.002007,-0.00115,0.004094,0.003936,0.003368,0.001657,-0.000428,-0.001778,-0.003265,-0.009235,-0.010676,-0.015775,-0.00914,-0.008813,-0.006198,-0.006511,-0.01135,-0.006296,-0.004026,-0.004434,0.001507,-0.004763,-0.000543,2.9e-05,-0.00845,-0.006745,-0.006191,-0.010252,-0.014792,-0.013315,-0.012702,-0.011851,-0.011822,-0.011335,-0.011568,-0.012871,-0.013224,-0.019094,-0.010436,-0.014441,-0.014754,-0.015652,-0.016203,-0.009723,-0.008174,-0.012547,-0.00534,-0.003343,-0.001741,0.000145,0.000962,0.001487,0.000278,0.000492,0.001121,0.002785,0.006544,0.008239,0.005063,0.006326,0.007656,0.007351,0.006183,0.002734,0.003896,-0.0025,-0.001095,-0.004211,0.002993,-0.003905,-0.001054,0.003872,0.000958,0.001785,0.011531,0.010565,0.005935,0.001085,0.004968,0.002794,0.001313,0.00087,-8.3e-05,-0.006207
-0.01167,-0.007892,-0.004085,-0.00492,-0.003541,0.001096,-0.002617,0.004404,0.009903,0.011628,0.015787,0.021235,0.024975,0.026384,0.024938,0.027111,0.026205,0.019105,0.021744,0.018454,0.018503,0.019798,0.018962,0.025181,0.026316,0.033183,0.032979,0.036629,0.03583,0.033863,0.037598,0.033549,0.026409,0.02349,0.022527,0.009647,0.001943,0.000385,-0.005389,-0.006651,-0.007973,-0.007819,-0.008972,-0.014845,-0.018542,-0.023549,-0.023763,-0.023159,-0.02664,-0.027054,-0.028202,-0.024732,-0.021578,-0.017968,-0.013406,-0.008515,-0.00122,-6.6e-05,-8e-05,-0.00211,-0.004105,0.000217,0.001347,0.002302,0.002091,0.003244,0.003054,0.004239,0.005042,0.006205,0.01237,0.015601,0.020958,0.025684,0.025687,0.025671,0.025241,0.028558,0.023226,0.028204,0.025086,0.024673,0.020886,0.019917,0.018023,0.012683,0.007159,0.009305,0.003028,0.001221,-0.000152,-0.000399,-0.000827,0.003262,-0.000444,0.000228,0.005408,0.002734,0.00375,0.009388,0.005487,0.005793,0.005158,0.006143,0.006103,0.009702,0.004197,0.00418,0.00292,0.002449,0.001911,0.002398,0.001282,0.000702,0.001051,0.001291,0.001545,0.002659,-0.000608,-8.4e-05,-0.000161,-0.003615,-0.003498,-0.004106,-0.004928,-0.006705,-0.011104,-0.012195,-0.013192,-0.008205,-0.012616,-0.009151,-0.006079,-0.003702,-0.004356,-0.004966,-0.004905,-0.005223,-0.009283,-0.00894,-0.008527,-0.013104,-0.012821,-0.014561,-0.018746,-0.018834,-0.019131,-0.020013,-0.02127,-0.021846,-0.022719,-0.018861,-0.019942,-0.01575,-0.019434,-0.019469,-0.017988,-0.018265,-0.013702,-0.018182,-0.016959,-0.017243,-0.021144,-0.017614,-0.022552,-0.022165,-0.020257,-0.019258,-0.018969,-0.014153,-0.009683,-0.008802,-0.008437,-0.007984,-0.008065,-0.007788,-0.007974,-0.008924,-0.009235,-0.00554,-0.007354,-0.002319,-0.002557,-0.003217,-0.003645,-0.00699,-0.005861,-0.001029,-0.003864,-0.002393,-0.00126,0.000108,0.0007,0.001081,0.000202,0.000357,0.000813,0.002018,0.004754,0.005933,0.011601,0.012473,0.013339,0.013087,0.012155,0.017614,0.018366,0.021693,0.022557,0.028137,0.025168,0.028184,0.029988,0.025415,0.02347,0.016336,0.007163,0.00655,0.003598,0.00066,-0.004491,-0.005806,-0.006707,-0.007089,-0.007671,-0.003799
0.109559,-0.034304,0.266863,-0.074299,-0.070401,0.09518,0.604883,-0.109219,1.883172,3.659046,-0.143243,-0.127892,-0.144347,0.972471,-0.09906,-0.105003,-0.043928,-0.024256,-0.107934,-0.07076,-0.06969,-0.073535,-0.03124,-0.068587,-0.068992,-0.103312,-0.106294,-0.13795,-0.142788,-0.134707,-0.171484,0.068107,-0.091279,-0.10187,0.105547,3.503867,1.089007,-0.106464,-0.02138,-0.044624,0.034933,0.028397,-0.015192,0.069477,0.09982,0.073087,0.075587,0.033008,0.157256,0.155355,-0.591289,0.006058,0.014981,0.060566,-0.023759,0.004185,-0.038671,0.006288,-0.03774,-0.001688,0.03564,-0.070142,-0.009982,-0.002373,-0.058826,-0.027864,-0.058326,-0.012821,-0.071551,-0.011773,-0.032424,-0.036363,-0.002834,-0.081836,-0.046724,-0.053465,-0.103542,0.034529,-0.108945,-0.143474,-0.102664,-0.10571,-0.068885,-0.067539,-0.069223,-0.034464,0.01666,-0.033767,-0.006761,-0.000157,-0.002457,0.009109,-0.002713,-0.035991,0.048532,0.009186,1.774394,0.000652,0.000821,-0.0345,0.000642,0.000646,-0.021656,-0.005562,-0.006089,-0.037524,0.001738,0.000869,-0.001965,0.000617,0.000949,-3.8e-05,0.0009,6.7e-05,0.000881,0.000852,0.000837,-0.00484,0.031097,0.037326,-0.136647,0.07652,0.065494,0.069897,0.065274,0.063824,0.106178,0.10494,0.099942,0.073005,0.110493,0.065923,0.033796,-0.000434,-0.001086,-0.001165,-0.004843,0.588299,0.033515,0.033634,0.033993,0.068536,0.069138,0.069705,0.104717,0.073444,0.107973,0.102959,0.103877,0.102426,0.102447,0.067761,0.069829,0.034057,0.069401,0.069673,0.069189,0.072813,0.033786,0.069919,0.068255,0.068304,0.102985,0.068399,0.106958,0.105842,0.073637,0.071062,0.069714,0.034014,0.000474,0.001559,0.001732,0.001611,0.002597,0.002774,0.004196,0.002336,0.004591,-0.023883,0.00795,-0.079612,-0.083705,-0.029701,-0.033397,0.000372,-0.00062,-0.035511,-9.4e-05,-0.000959,5.9e-05,0.000765,8.9e-05,0.000371,4.7e-05,1.9e-05,-0.032299,-0.032161,-0.014517,-0.001562,-0.023848,-0.028426,-0.005388,-0.024104,0.003606,-0.067817,-0.080004,-0.103523,-0.106178,-0.133786,-0.066724,-0.119999,-0.101386,-0.066132,-0.106256,-0.069548,-0.003436,-0.003446,0.000511,-2e-06,0.037438,0.036024,0.034878,0.035559,0.035458,-0.000491
