0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
0.012889,0.006284,0.006358,0.006399,0.006585,0.006026,0.00613,0.005785,0.004535,-0.000982,0.004253,0.004977,0.010734,0.004265,0.010206,0.016221,0.016481,0.017388,0.017722,0.017451,0.017406,0.017419,0.011597,0.011539,0.005577,0.004351,-0.001749,-0.001671,-0.00166,-0.000861,-0.00166,-0.00165,-0.001617,-0.001463,-0.001262,-0.000987,-0.000587,0.000324,0.000481,0.002069,0.00764,0.006711,0.006558,0.000128,-9.2e-05,0.000633,0.000509,0.000236,0.000178,-0.00109,-0.006881,-0.001079,-0.001384,-0.001588,-0.000693,-0.000638,0.004815,0.005342,-9e-05,0.000139,0.006311,0.005848,0.006042,0.00592,0.005604,0.006932,0.007999,0.006837,0.007496,0.008123,0.013186,0.000971,0.007714,0.001735,0.000541,0.000399,0.000917,-0.005002,-9.2e-05,-0.000228,-0.000168,0.00086,-0.004954,0.001968,-0.004905,0.000891,0.001789,0.007649,0.000684,0.006533,0.001482,0.001099,0.000174,0.000185,-0.005715,9.9e-05,0.000209,-0.000566,0.000747,-2e-05,0.00089,0.000182,0.000162,0.00609,0.006373,0.001153,0.000286,0.000288,-0.005829,-2.5e-05,-5e-06,0.000162,-6e-06,-4.3e-05,-5e-06,0.000175,-5.7e-05,0.000627,0.000347,0.005794,0.000406,0.001152,0.000498,0.006309,0.005731,-0.000118,-0.001357,0.00554,0.0051,-0.000218,0.005563,-0.000101,0.005898,0.000111,0.006218,-5.3e-05,0.000388,0.000222,-0.00013,-0.000662,-0.001568,-0.000811,-0.001586,-0.000971,-0.006521,-0.006286,-0.005506,0.000282,-0.005584,-0.005873,-0.005839,-0.005776,-0.006432,-0.005139,-0.00586,-0.005799,-0.005622,-0.004731,0.000373,-0.0054,-0.000326,6.6e-05,2.7e-05,0.00583,0.000126,8.3e-05,6.1e-05,0.000198,0.000319,0.000341,0.000388,0.005398,0.000463,0.000433,0.005984,0.005805,6e-06,0.005729,-0.000333,-0.000574,-0.00062,-0.000862,-0.001088,0.005371,0.005039,0.005645,0.004725,0.005645,-0.000782,0.004948,-0.00082,0.004945,-0.000899,0.005436
-0.00386,0.000849,-0.000337,-0.00096,-0.00309,0.001101,0.000119,0.002297,0.012169,0.00872,0.013834,0.007853,0.008533,0.013179,0.012066,0.011046,0.007786,0.000768,-0.001697,0.001165,0.001039,0.001281,0.001219,0.001771,0.002345,0.01075,0.012158,0.011641,0.011584,0.006029,0.01158,0.011517,0.011312,0.010288,0.008957,0.007149,0.004498,-0.001775,-0.002842,-0.013795,-0.011949,-0.005557,-0.004492,-0.000494,0.000934,-0.004089,-0.003269,-0.001526,-0.001129,0.007196,0.006828,0.007349,0.009348,0.010683,0.004577,0.004216,0.006694,0.003162,0.00055,-0.000957,-0.003026,0.000392,-0.000786,0.000536,0.003008,-0.005341,-0.012207,-0.004423,-0.008642,-0.012771,-0.007216,-0.005613,-0.010545,-0.01059,-0.003121,-0.002308,-0.005911,-0.006474,0.000506,0.001318,0.00095,-0.005659,-0.006865,-0.012798,-0.007268,-0.005875,-0.011757,-0.01063,-0.004643,-0.003408,-0.009922,-0.00765,-0.00162,-0.001695,-0.002645,-0.001203,-0.001816,0.003327,-0.005046,0.000108,-0.005889,-0.001122,-0.000964,-0.000154,-0.001837,-0.00743,-0.001707,-0.001724,-0.00148,0.000123,2.7e-05,-0.000977,8e-06,0.000249,2.5e-05,-0.001066,0.000331,-0.004299,-0.002638,0.001145,-0.003594,-0.00831,-0.004723,-0.003194,0.000806,-0.000559,0.007874,0.002323,0.005419,0.001253,0.002633,0.000511,0.000777,-0.000629,-0.001211,0.000323,-0.002304,-0.001237,0.000647,0.003663,0.008716,0.003848,0.008849,0.00476,0.002272,0.000996,-0.004021,-0.00291,-0.003496,-0.001753,-0.001871,-0.0022,0.002296,-0.005849,-0.001007,-0.001315,-0.002371,-0.0083,-0.002798,-0.00371,0.00199,-0.000429,-0.000175,0.000557,-0.000778,-0.000513,-0.000365,-0.001226,-0.001965,-0.002103,-0.002394,0.003768,-0.002819,-0.002637,-0.000237,0.000831,-1.8e-05,0.001282,0.002014,0.003458,0.003726,0.005171,0.006505,0.002702,0.004579,0.000336,0.006258,0.000177,0.003922,0.004671,0.004089,0.004543,0.004477,0.000998
0.03316,0.02913,0.028246,0.0278,0.02642,0.02165,0.02102,0.015109,0.006533,0.004961,0.000353,0.004,0.003928,-6.1e-05,-0.001125,-0.002324,-0.003934,-0.000863,-0.002241,-0.007898,-0.007727,-0.007613,-0.007233,-0.006935,-0.006162,-0.008381,-0.007103,-0.007389,-0.007398,-0.003552,-0.007363,-0.007391,-0.007488,-0.008053,-0.008806,-0.009827,-0.011345,-0.008011,-0.008647,-0.001095,-0.00049,-0.003756,-0.003138,-0.007368,-0.006515,-0.002446,-0.001984,-0.000907,-0.000687,-0.002708,-0.002474,-0.002632,-0.001425,-0.000632,0.002742,0.00253,0.003522,0.001424,0.000332,-0.000556,-0.002263,-0.007278,-0.007992,-0.014297,-0.019927,-0.018049,-0.015237,-0.017675,-0.013267,-0.008723,-0.005734,-0.003656,-0.000109,0.000387,-0.00205,-0.001516,0.003462,0.003633,0.000333,0.000867,0.000627,0.003639,0.003391,0.006324,0.003138,0.003519,0.007043,0.007257,0.004345,0.004618,0.008298,0.009795,0.006338,0.006287,0.006201,0.0066,0.0062,0.002141,0.004125,7.3e-05,0.00359,-0.000718,-0.000619,-0.000627,-0.001717,0.002589,-0.001103,-0.001114,-0.000422,8.6e-05,1.9e-05,-0.000631,5e-06,0.000159,1.5e-05,-0.000692,0.000212,0.004622,0.0057,0.007605,0.012472,0.016868,0.019091,0.019501,0.014715,0.014268,0.004839,0.0082,0.002803,0.000757,0.001154,0.000301,-3.2e-05,-0.000392,-0.001243,0.000193,-0.001418,-0.00076,0.000375,0.002218,0.00529,0.009548,0.005332,0.01005,0.009007,0.008243,0.012428,0.012594,0.012708,0.01369,0.013593,0.01339,0.008828,0.01129,0.006933,0.006766,0.006172,0.009927,0.005499,0.005429,0.0011,-0.000236,-9.5e-05,-0.000127,-0.00043,-0.000284,-0.000202,-0.000677,-0.001088,-0.001166,-0.00133,-0.005407,-0.00157,-0.001473,-0.000575,1.8e-05,-1.4e-05,0.000274,0.001125,0.00193,0.002075,0.002866,0.00359,0.008079,0.009084,0.013737,0.00994,0.013603,0.009031,0.00899,0.009073,0.008877,0.009214,0.01389
-0.157224,-0.127537,-0.114971,-0.120852,-0.147731,-0.336148,1.369327,-0.244795,0.015267,0.008098,0.033408,0.002562,0.066261,-0.117254,-0.028787,4.532884,0.004771,-0.160932,0.345132,4.774188,0.025673,0.114185,-0.003717,0.02691,-0.172847,-0.103657,-0.023518,-0.117967,0.02309,-0.226133,-0.125269,-0.00036,-0.156778,-0.175397,-0.273483,-0.242221,-0.234249,-0.410394,-0.312739,-0.050477,-0.032234,-0.198008,-0.097053,-0.010482,-0.122484,-0.022485,-1.418126,0.002307,-1.422718,-1.036709,-0.165508,-0.203098,0.013356,-0.089731,-1.482678,-2.694603,-1.673265,-0.466525,-0.502032,-1.354211,-0.352096,-0.628218,-0.180479,-1.50819,-1.313258,-0.027429,-0.063618,-0.445269,0.002803,-0.025632,-0.005364,-1.410184,-0.499287,-0.371733,-0.022046,0.025839,-0.350499,-0.019515,-0.002839,-0.086873,0.07479,-0.037763,-0.008382,0.010507,-0.025894,-0.014918,-0.066794,-0.055336,-0.010304,-0.003144,-0.032849,-0.027677,0.054134,0.061934,0.899935,-0.002231,0.011473,0.255928,-0.022431,0.435224,0.034759,0.395758,0.001195,-0.005527,-0.020952,0.289055,-0.002407,-0.003986,0.025129,0.250991,0.018551,0.026115,0.032921,0.041081,0.048462,0.072734,0.065601,0.05481,0.074062,0.144369,0.108635,-5.169983,-0.04396,-0.387388,-4.956937,0.154113,0.199548,-0.121135,0.050575,0.070313,-4.560052,-1.080566,0.325716,-0.087223,-3.981372,0.088367,-3.751204,0.455942,-3.568313,-3.583693,-0.615252,-3.482944,0.273126,-0.082496,0.437259,0.045937,0.25071,0.077525,-0.078973,-0.021767,0.064484,0.00074,0.301607,0.660704,1.173851,-0.047316,-0.036283,0.345387,0.137261,-0.054696,-0.150546,0.007499,-0.023622,0.01426,0.000484,0.000204,0.000108,6.4e-05,-0.002102,2.6e-05,2e-05,0.049268,0.001423,-0.051604,0.01897,0.009525,0.000702,0.001787,0.007974,0.006063,0.013253,0.002238,-0.012879,-0.032266,-0.040867,-0.075168,0.02196,-0.067631,0.065794,-0.032817,-0.033276,-0.447329,-0.04077,0.362072
-0.217246,-0.143696,-0.170454,-0.157773,-0.126458,0.502787,0.543621,0.391702,-0.083782,-0.042786,-0.014961,0.02071,0.114679,0.32059,0.085476,2.93113,0.457532,0.630723,0.402402,2.736673,0.002266,0.89757,0.06912,0.078817,0.484207,0.335667,0.184679,0.456765,0.091499,0.548844,0.395748,0.148132,0.451318,0.493449,0.694552,0.741663,0.332956,-0.126689,0.560036,0.145714,0.013874,0.467209,0.232804,0.131654,0.004683,0.060659,-0.867856,-0.001092,-0.859484,1.133168,-0.814878,-0.763997,-0.057642,-0.092998,-0.77556,0.932591,-0.320349,0.722834,0.162698,1.926127,0.647779,1.223542,0.870951,-0.006525,1.77789,0.577943,0.590861,0.791259,0.266031,0.162536,0.010152,1.360384,0.452743,-0.171793,-0.15575,-0.436013,-0.195803,-0.023716,0.024757,-0.048222,-0.458616,-0.271684,-0.210356,-0.53318,-0.443119,-0.242945,-0.368021,-0.011353,-0.101583,-0.08683,-0.249916,-0.453102,-0.500357,-0.569109,-1.739367,-0.723201,-0.341965,-1.004267,-0.322092,-1.728282,-0.681889,-1.329247,-0.035899,-0.01866,-0.407687,-1.884284,-0.088745,-0.089666,-0.108233,-1.619627,-0.26417,-0.589053,-0.996718,-0.8208,-0.429421,-0.645286,-0.504556,-0.759106,-0.722638,-1.068191,-0.896549,-2.148426,-0.944046,-0.954001,-2.021945,-0.836585,-0.75351,-1.107716,-0.708274,-0.404023,-1.815001,-1.372723,-0.931887,-1.090335,-2.519243,-0.512927,-2.118967,-0.915423,-2.019572,-1.782216,-1.149011,-1.748597,-0.554444,-0.290619,-0.621529,-0.093054,-0.370797,-0.186139,0.011687,-0.065349,-0.165238,-0.097474,-0.44208,0.261477,2.049167,0.011898,0.011803,-0.470286,-0.217189,0.021451,0.093361,0.011431,0.054109,-0.026394,-0.000197,-5e-06,5e-05,3.6e-05,0.015481,-3e-06,6e-06,-0.018243,0.011845,0.068499,-0.026765,-0.023108,-0.001165,-0.01531,-0.008018,-0.012372,-0.025182,-0.015842,0.091606,-0.023749,-0.029003,-0.02909,-0.10701,-0.03083,-0.145623,-0.039576,-0.025468,-0.707403,-0.020302,-0.524932
0.289427,0.215083,0.232742,0.210796,0.444976,0.675644,0.778773,0.582728,0.092642,0.040225,0.083431,0.083397,0.437396,0.329702,0.320334,1.949665,0.137944,-0.547765,0.304056,0.829867,0.093065,0.67227,0.123943,-0.116625,0.141271,0.337767,0.275957,0.14102,0.117619,0.434378,0.34831,0.160448,0.395137,0.438016,0.590092,0.339442,-0.25486,-0.121888,-0.93046,-0.236241,-0.042316,0.369441,0.185424,0.060923,0.073547,0.015144,0.204392,0.001837,0.208494,-2.216347,-0.379961,-0.320637,0.045721,0.062635,0.176979,-1.630167,0.158188,-0.880604,-0.347264,-2.132302,0.022627,-0.512628,-0.059306,0.237588,-2.401913,-0.33772,-0.603832,-1.139352,-0.333403,-0.205471,0.003777,-1.969639,-0.654362,-0.555696,-0.334254,-0.37688,-0.59724,0.098681,0.128391,-0.134146,-0.382437,-0.314725,-0.227632,-0.460663,-0.366881,-0.201902,-0.308399,-0.026217,-0.072556,-0.025017,-0.241682,-0.347362,-0.380625,-0.408163,1.662176,-0.746669,-0.490784,-0.115414,-0.941947,1.183291,-0.388546,1.905293,-0.023446,-0.133066,-0.285209,1.948526,-0.111015,-0.115228,0.193024,2.202841,0.126994,0.059346,-0.228062,-0.023743,0.50256,0.465353,0.612818,0.403539,0.464816,0.044471,-0.146538,-1.297332,-0.17928,-0.202925,-2.104654,-0.334909,-0.024511,0.617823,0.011068,0.434577,-2.285598,-0.827952,0.096855,-0.003509,-2.871276,0.596013,-3.106669,0.061582,-3.474893,-3.589305,-1.404881,-3.737623,-0.091134,0.22104,-0.186286,-0.101795,-0.334432,-0.113635,-0.053588,-0.071258,-0.141041,-0.098096,-0.325294,-0.799262,-1.429704,-0.023377,-0.063534,-0.364495,-0.141648,-0.014609,-0.537637,-0.006885,0.027042,0.02464,0.000176,0.000247,0.000172,0.000109,-0.024136,6.8e-05,4e-05,0.02108,-0.026098,0.05184,0.028889,0.024792,-0.001131,0.02885,-0.004206,0.020383,0.018793,0.023769,-0.142879,0.033292,0.062176,0.033476,0.006423,0.038655,-0.053862,0.060167,0.030024,0.524752,0.024417,-0.277078
-0.003417,-0.003661,0.002704,-0.003806,-0.003948,0.002708,-0.003654,0.003003,0.003195,0.003485,0.010907,0.011365,0.005952,0.013031,0.006795,0.007997,0.001524,0.001803,0.002103,0.002259,0.00241,-0.003809,0.003065,0.002884,0.002968,0.00278,0.002441,0.002249,0.008465,0.00816,0.002018,0.002046,0.00904,0.009681,0.003439,0.010112,0.003799,0.010538,0.004499,-0.001058,0.005649,-0.000246,0.006082,0.005783,0.000334,-0.000112,-0.000711,0.003965,-0.002761,0.002652,0.001347,0.000985,-0.000207,-0.001088,-0.001634,-0.001887,0.004092,-0.001426,-0.000677,4.2e-05,0.006564,-0.004717,-0.004665,0.001647,0.001837,-0.004078,-0.004096,-0.0041,-0.004132,-0.010031,-0.009711,-0.015432,-0.015485,-0.015581,-0.015588,-0.015493,-0.021324,-0.015742,-0.021896,-0.021662,-0.015643,-0.021856,-0.016291,-0.01606,-0.015895,-0.010159,-0.004631,-0.005088,0.000387,-8.7e-05,-5.5e-05,4e-06,0.005503,0.010937,0.010831,0.004674,0.010482,0.01005,0.009634,0.004342,0.009626,0.004042,0.00439,-0.001106,-0.000869,-0.001008,-0.001051,-0.000935,-0.000884,-0.000774,-0.000927,-0.000918,0.004445,0.004192,0.004019,0.003857,0.003135,0.002696,0.002431,0.002549,0.008143,0.001527,0.007425,0.008497,0.00224,0.002726,0.002814,0.003012,0.003625,0.003843,0.003651,0.003954,-0.001888,-0.002125,0.004298,-0.001867,-0.002165,-0.001767,-0.002122,-0.002158,-0.001741,-0.001384,-0.001208,-0.001008,-0.006348,6.1e-05,0.000958,0.006785,0.007158,0.006571,0.012882,0.006314,0.012539,0.018373,0.011962,0.011881,0.011682,0.012378,0.007064,0.007081,0.007684,0.000982,0.001363,0.000992,0.001103,0.001036,0.00101,0.000874,0.001186,-0.005192,0.000995,0.001355,0.001323,0.001091,-0.005205,-0.005291,-0.005365,0.000367,-0.005669,-0.005762,-0.005775,-0.005627,-0.0111,-0.011306,-0.011283,-0.011358,-0.010907,-0.004804,-0.005129,0.000863,0.000232,0.00047,0.006401,0.000197
-0.015334,-0.016373,-0.01759,-0.016954,-0.017573,-0.017846,-0.016259,-0.016768,-0.020037,-0.022924,-0.016357,-0.018549,-0.012158,-0.011147,-0.012361,-0.002634,-0.000797,0.00057,0.002065,0.002869,0.003617,0.006391,0.006845,0.006003,0.006428,0.005597,5e-06,-0.000909,-0.003107,-0.004508,-0.001849,-0.001673,0.004295,0.011837,0.013794,0.014566,0.016085,0.021378,0.024046,0.032855,0.030386,0.032866,0.028943,0.023641,0.027981,0.017589,0.010252,-0.001582,-0.008752,-0.008671,-0.015825,-0.01394,-0.016645,-0.017634,-0.012816,-0.014244,-0.011281,-0.007855,0.000198,0.000195,0.002211,0.007916,0.004238,0.005185,0.002301,0.007318,0.007174,0.007043,0.006744,0.007611,0.009052,0.010472,0.009992,0.009151,0.008758,0.009034,0.013276,0.010844,0.006069,0.010704,0.014157,0.009165,0.007205,0.011655,0.012159,0.011008,0.009119,0.007193,0.005191,-0.00037,0.003338,0.003583,0.001672,-0.000499,0.002629,0.001781,0.004701,0.002825,0.00096,0.007367,0.000781,0.002375,0.003856,0.005945,0.006968,0.006376,0.006199,0.006702,0.006917,0.00737,0.006713,0.010324,0.007572,0.006469,0.00567,0.004912,-0.001898,-0.00754,-0.008721,-0.008341,-0.01443,-0.02037,-0.021667,-0.013581,-0.017857,-0.012145,-0.012016,-0.011081,-0.004638,-0.003734,-0.008457,-0.003329,-0.00133,-0.006228,-0.001881,-0.001236,-0.00641,-0.000733,-0.006284,-0.01012,-0.008141,-0.006468,-0.005618,-0.004688,0.000265,-0.00354,0.00442,-0.001986,0.003607,-0.002941,0.000592,-0.004206,-0.00489,-0.00763,-0.011824,-0.01231,-0.017444,-0.013963,-0.004311,-0.008166,-0.000853,-0.006514,-0.000398,-0.006428,-0.001797,-0.002158,0.001683,0.00092,0.002654,-0.001582,-0.002385,-0.000373,-0.000545,-0.001825,-0.001773,-0.002282,-0.002708,-0.005855,0.003497,0.002954,0.00282,0.003566,0.011743,0.00665,0.006597,0.006062,0.012147,0.011161,0.00943,0.008101,0.001137,0.006142,0.00463,0.004778
-0.011894,-0.012852,-0.013925,-0.013558,-0.014245,-0.01458,-0.013439,-0.013943,-0.008209,-0.002084,-0.005103,0.001716,0.007131,0.008106,0.015738,0.015305,0.016741,0.017866,0.019037,0.019603,0.020162,0.022246,0.022481,0.021631,0.021881,0.021071,0.024947,0.024187,0.022419,0.021294,0.023204,0.023284,0.019347,0.016527,0.017865,0.018159,0.019045,0.014566,0.016182,0.014,0.019661,0.021099,0.025629,0.029364,0.031489,0.039894,0.042458,0.042603,0.045979,0.038526,0.034713,0.028552,0.020034,0.012394,0.000532,-0.000222,-0.006111,-0.00416,-0.00715,0.000104,0.000999,0.004361,0.009646,0.009931,0.015581,0.011117,0.011017,0.010903,0.01071,0.011319,0.011982,0.01282,0.012555,0.012093,0.011857,0.011963,0.007138,0.005751,0.010702,0.005878,0.000276,0.005144,0.004009,-0.000885,-0.000662,-0.001425,-0.002519,-0.003394,-0.004548,-0.000158,-0.005368,-0.00526,-0.006363,-0.007583,-0.013042,-0.013192,-0.018964,-0.019831,-0.02071,-0.024396,-0.020823,-0.019866,-0.019156,-0.017934,-0.017424,-0.01771,-0.017797,-0.017547,-0.017434,-0.017196,-0.017524,-0.022655,-0.024255,-0.024837,-0.025289,-0.025732,-0.022415,-0.018486,-0.019239,-0.019164,-0.015746,-0.011868,-0.012913,-0.015609,-0.010789,-0.014843,-0.014913,-0.01437,-0.017929,-0.017451,-0.013013,-0.01731,-0.016021,-0.011677,-0.016544,-0.016121,-0.011968,-0.015908,-0.012005,-0.006916,-0.005604,-0.004463,-0.003892,-0.003262,0.000217,0.005364,0.003074,0.006398,0.002457,0.005719,0.000312,0.004818,0.004316,0.00238,0.00735,0.007023,0.011322,0.01373,0.012583,0.017754,0.014883,0.018903,0.015215,0.018929,0.014229,0.013981,0.008766,0.008258,0.009356,0.014376,0.013735,0.01498,0.014854,0.014021,0.014149,0.01382,0.013552,0.011499,0.002254,0.001922,0.001839,0.002291,-0.000152,0.004267,0.00422,0.003886,5.4e-05,-0.000666,-0.001703,-0.002617,0.00068,-0.003778,-0.004793,-0.004583
-0.000414,-0.001018,-0.019478,0.05127,-0.134745,-0.020908,0.00325,0.00467,-0.031369,-0.068637,-0.033023,-0.067816,-0.067164,-0.067562,-0.068849,-0.068357,-0.069146,-0.052378,-0.069218,-0.068826,-0.067048,-0.072192,-0.064953,0.03537,0.028464,-0.038694,-0.094853,-0.028785,-0.011697,-0.000376,-0.107857,0.083341,-0.069677,-0.035571,-0.036524,-0.035304,-0.03394,0.002256,-0.001006,0.036102,0.006229,-1.929217,-0.029835,-0.062258,-0.067112,-0.143867,-0.101536,0.006466,-0.022851,-0.177318,0.896011,-0.165563,-0.141828,-0.134586,-0.035008,-0.042515,-0.000629,-0.006869,0.034295,-9e-05,0.001545,-0.004606,-0.034614,-0.033714,-0.068943,-0.034409,-0.040755,-0.033908,-0.034668,-0.035628,-0.036472,-0.035841,-0.040308,-0.040863,0.164006,-0.041758,0.007049,0.046684,-0.038606,-0.004061,0.03283,-0.005686,0.353808,0.033705,0.032691,0.030397,0.033636,0.034184,-1.08613,0.000465,0.004715,0.03504,0.035964,0.036928,0.065782,0.072856,0.111139,0.108113,0.104776,0.141249,0.055095,0.111399,0.113182,0.092676,0.10518,0.103393,0.103924,0.106472,0.107523,0.104974,0.105607,0.143389,0.142066,0.140814,-0.547996,0.141623,0.108881,-1.984141,-0.130408,0.014969,-2.07173,-0.104189,0.005182,-0.002672,0.00299,0.034804,-1.982857,0.036145,0.054625,0.0772,0.005508,0.041001,0.07424,-0.357127,-0.177062,0.075813,-0.035241,-0.075622,-1.954615,-0.092263,-0.005364,-0.010809,0.011813,0.001839,0.002293,-0.029712,-0.762476,-0.017294,-0.002931,-0.025025,0.004779,-1.790444,-0.029245,-0.031867,-0.067468,-0.065785,-0.108161,-0.104985,0.0676,-0.154298,0.012285,0.054794,-0.010317,-0.097986,-0.075342,-0.069757,0.167948,0.09773,-0.008198,-0.07041,-0.069037,-0.069069,-0.069073,-0.065616,-0.067519,-0.021501,0.057964,-0.071691,-0.000878,-0.000812,-0.000855,-0.000374,0.032504,-0.008427,-0.157587,-0.013634,0.0462,0.047064,0.044329,0.043588,0.009646,0.035247,0.036245,0.03791
