0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
-0.000836,-0.000802,0.00517,-0.001367,-0.001266,-0.001173,-0.001134,-0.00107,-0.001175,-0.001057,-0.007517,-0.007361,-0.000911,-0.001603,-0.00091,-0.000804,-0.000862,-0.000781,-0.000789,-0.0007,4.3e-05,0.005825,-0.000378,-0.000167,-0.000145,0.006292,-1.3e-05,4e-06,-4e-06,-3e-06,4e-06,9.1e-05,0.000161,3e-05,9.3e-05,0.000124,0.00027,0.000474,0.000496,0.006984,0.000715,0.000767,0.000792,0.000852,-0.005662,-0.0058,0.000388,0.000136,2e-06,0.00627,0.00613,0.006164,0.005721,0.006617,0.013008,0.005864,0.005915,0.00658,0.006559,0.006538,0.000149,1.4e-05,4.8e-05,0.000136,6.4e-05,-0.006254,-0.006191,0.000197,-0.006267,-0.006173,-0.006161,-0.005382,0.001014,0.000384,0.007587,0.00121,0.007758,0.007857,0.007175,0.007157,0.007032,0.006881,0.006738,0.006649,0.006521,0.006404,0.006344,0.000629,0.000648,0.007135,-5.5e-05,-5.8e-05,8e-05,0.0,0.005753,0.005919,0.006608,0.005834,0.006817,-0.000485,0.006694,0.005891,-0.00066,0.005653,-0.001625,0.005633,0.005683,-0.000716,-0.000672,0.005699,8.7e-05,0.006273,0.006151,0.006354,0.007109,0.000825,0.007368,0.000817,0.007323,0.00738,0.007438,0.006724,0.007563,0.006692,0.006717,0.006536,0.006413,-7.7e-05,1.3e-05,-0.00013,-2.4e-05,-0.000102,-0.000304,-0.000287,-0.000391,-0.000585,-0.00082,-0.000828,-8.2e-05,-0.000288,-0.001184,-0.001163,-0.001312,-0.001255,-0.000757,-0.001891,-0.001055,-0.001011,-0.000105,-0.000274,0.000384,-0.000769,0.006328,0.00016,0.000917,0.000376,0.000815,0.000616,0.000753,9.5e-05,0.000192
0.008666,0.008302,0.01397,0.012801,0.011749,0.010919,0.010544,0.009949,0.010929,0.009834,0.00895,0.007664,0.008585,0.014275,0.008683,0.007735,0.008321,0.007546,0.007642,0.006751,0.000501,0.005856,0.003616,0.002509,0.001341,0.001222,8e-05,-8.1e-05,1e-06,-4e-06,-4e-06,-0.000917,-0.000557,-0.00031,-0.000922,-0.001221,-0.002612,-0.004545,-0.004746,-0.005079,-0.006818,-0.00729,-0.007478,-0.008053,-0.007936,-0.006672,-0.00367,-0.001259,2e-06,0.002352,0.003648,0.003276,0.006477,-0.000948,0.000206,0.005119,0.004672,-0.000475,-0.000277,-9.3e-05,-0.001208,-0.000104,-0.000388,-0.0011,-0.000527,-0.00229,-0.002859,-0.001661,-0.002296,-0.003132,-0.003311,-0.009576,-0.008257,-0.003344,-0.008274,-0.009915,-0.009529,-0.010217,-0.004762,-0.004519,-0.003348,-0.001993,-0.000807,-7.1e-05,0.000943,0.001818,0.002298,-0.004819,-0.004903,-0.003645,0.000358,0.000398,-8.6e-05,-9e-06,0.006636,0.005366,0.000334,0.005979,-0.00116,0.003544,-0.000235,0.005675,0.004845,0.007182,0.011575,0.007214,0.006715,0.005139,0.004819,0.006622,-0.000539,0.002447,0.003188,0.001854,-0.003394,-0.005706,-0.004983,-0.005634,-0.004636,-0.004906,-0.005416,-0.000284,-0.005844,-1.5e-05,-0.000146,0.000942,0.001631,0.000451,-6.8e-05,0.000704,0.000141,0.000598,0.001736,0.001633,0.002247,0.003355,0.004754,0.004755,-0.000199,0.001,0.006822,0.006704,0.007574,0.007246,0.003735,0.010933,0.005436,0.005169,-0.000726,0.000245,-0.004237,0.003074,-0.000917,-0.002988,-0.007044,-0.003594,-0.006106,-0.004306,-0.00513,-0.000584,-0.001112
0.015571,0.015158,0.010455,0.010145,0.009231,0.008511,0.008183,0.007668,0.008358,0.007467,0.007401,0.006385,0.006414,0.002489,0.006428,0.005695,0.006106,0.005503,0.005538,0.004868,0.008367,0.003615,0.002587,0.001703,0.000957,0.000293,6.2e-05,-5.2e-05,6e-06,3e-06,-5e-06,-0.000645,-0.00057,-0.000215,-0.000652,-0.000865,-0.00186,-0.003251,-0.003403,-0.004249,-0.004931,-0.005287,-0.005456,-0.005911,-0.005233,-0.004326,-0.002727,-0.000938,2e-06,0.001132,0.002087,0.001808,-0.003938,-0.00132,-0.001088,-0.004948,-0.005283,-0.000988,-0.000845,-0.00071,-0.000908,-8.1e-05,-0.000291,-0.000823,-0.000393,-0.001078,-0.001502,-0.001239,-0.001083,-0.001714,-0.001854,0.001607,0.001966,-0.002529,0.001308,0.000698,0.000336,-0.000201,-0.004314,-0.004142,-0.003256,-0.002218,-0.001299,-0.00073,5.9e-05,0.000737,0.00111,0.004605,0.004541,0.004838,0.000281,0.00031,-0.000131,-9e-06,-0.003875,-0.004862,-0.00043,-0.004386,-0.001594,-0.005591,-0.000884,-0.004575,-0.004518,-0.003453,-0.007587,-0.00342,-0.003723,-0.004334,-0.004579,-0.003869,-0.000431,0.001199,0.001767,0.000729,0.004961,0.00387,0.003729,0.003932,0.003998,0.003787,0.003415,-0.000952,0.003053,-0.000751,-0.000854,-3e-06,0.000538,0.000347,-5.6e-05,0.000528,0.000111,0.000471,0.001357,0.001275,0.00175,0.002613,0.00362,0.003678,0.008148,0.009051,0.005216,0.005114,0.005745,0.005468,0.010977,0.008172,0.01217,0.011911,0.015657,0.016313,0.021071,0.018258,0.022686,0.021792,0.018797,0.013375,0.011641,0.00496,0.004381,-0.000402,-0.000773
-0.030484,-0.027273,0.015703,1.488578,-0.210684,0.013821,0.005674,0.003238,0.005801,-0.005376,0.035258,0.156536,-0.010264,0.036788,0.004912,0.277195,-0.222039,-8.5e-05,-0.011432,0.019664,-0.198408,-0.176367,0.017427,4.661077,0.330386,-0.089405,0.399618,0.002795,0.306555,0.020783,1.208169,-0.229989,4.699823,0.225349,-0.196583,-0.231427,0.015117,0.009855,0.008651,-0.056457,-0.109214,0.122867,0.002886,-0.002494,-0.104487,-0.004723,-0.006609,-0.055715,-0.228418,-0.002194,-0.218898,-0.175278,-0.381824,-0.29742,-0.187465,-0.273706,-0.0415,-0.065212,-0.024368,-0.009894,-0.000579,0.014726,0.00027,-0.000725,0.00846,0.117098,-0.008608,0.011959,-0.002153,-0.005263,-0.008445,-0.044517,0.012069,0.017884,-0.02243,-0.013139,-0.041103,-0.035039,-0.042093,0.027844,0.104517,0.090596,0.082244,0.137278,0.005291,0.16425,-0.363515,0.329488,0.062313,0.058955,0.10363,0.029477,-5.324848,0.048665,-0.35886,-0.02475,0.130878,0.145278,0.081167,0.089388,-0.059369,-5.014657,-5.034662,0.014709,-4.934173,-0.089404,-4.900851,0.005335,0.042588,0.11284,0.236095,0.251521,0.084031,0.170418,0.028152,0.007139,-0.078475,0.20208,0.298212,0.158207,-4.447813,0.118983,-0.027201,-0.100362,0.021525,0.077037,0.093949,-0.093166,0.00441,-4.098242,0.198122,-0.359963,0.372924,0.299505,-1.145433,0.151916,-3.662045,-0.388533,-0.031032,-0.0284,0.139618,-0.032609,-0.00659,0.003176,-0.913685,0.032005,-0.04105,-0.031439,0.310748,-0.050477,0.222791,0.248468,0.355231,0.022338,-2.512944,0.447574,0.101947,0.369975,1.636475,0.038915,0.013489
-0.036925,-0.037932,-0.071618,0.516252,0.422779,-0.044581,-0.030451,-0.031949,-0.04418,-0.014584,-0.093606,-0.424725,-0.013059,-0.032807,-0.027969,0.489405,0.422129,0.004492,0.016125,-0.049508,0.605324,0.31884,-0.029125,2.367963,0.403323,0.169543,0.284288,0.102119,0.472214,0.068758,1.211437,0.361109,2.47875,0.601537,0.366579,0.47423,0.021472,-0.005978,-0.006016,0.116726,0.536607,0.118117,0.002295,0.025793,0.507857,0.030266,0.030331,0.132003,0.461794,0.07846,0.546632,0.561544,1.047635,0.947096,0.699705,1.025903,0.349249,0.177464,0.196856,0.088288,0.013102,-0.107448,2.3e-05,0.012573,-0.022027,-0.386556,0.049504,-0.09122,0.015246,0.035555,0.04963,0.058666,-0.154582,-0.048674,-0.029589,-0.056129,0.028579,0.005326,-0.01399,-0.106805,-0.404294,-0.323851,-0.280752,-0.469639,-0.64923,-0.80931,-0.546363,-2.102326,-0.41034,-0.203174,-1.915414,-1.905679,-1.352366,-0.286607,-0.562291,-2.336679,-0.706221,-0.584672,-0.401576,-0.352013,-0.445906,-1.634409,-1.474638,-0.133322,-1.523681,-0.769204,-1.652592,-0.12865,-0.092659,-0.285735,-0.720338,-0.735541,-0.693417,-0.484405,-0.315872,-0.229596,-0.018269,-0.463276,-0.666307,-0.489418,-1.432461,-0.264778,-0.362509,-0.160433,-0.128741,-0.248944,-0.200525,-0.144888,-0.107086,-1.205677,-0.50759,-0.188084,-0.635072,-0.53717,-0.488322,-0.647928,-1.350257,-0.618932,0.000664,-0.019444,-0.213577,-0.010977,-0.0174,-0.014333,-0.704942,-0.078373,-0.034422,-0.050112,-0.530142,-0.601444,-0.772945,-0.506515,-0.780034,-0.311095,-1.926496,-0.870039,-0.343038,-0.704743,1.657992,-0.140012,-0.024748
0.051576,0.055005,0.095808,0.612853,0.386744,0.034163,0.041131,0.048226,0.069,0.049304,-0.040174,-0.022233,0.057187,0.071736,0.04512,0.414025,0.352859,0.040098,0.081453,0.037549,0.427005,0.325261,0.016891,1.858479,0.320449,0.155206,0.194454,0.0768,0.309642,0.05333,0.74844,0.454166,1.574499,0.378572,0.256038,0.32541,-0.021017,-0.037997,-0.031361,0.085285,0.31154,-0.010284,-0.026465,-0.051084,-0.830624,-0.053482,-0.012658,0.057302,0.314499,-0.142987,0.130931,-0.323216,0.075781,-0.038754,-0.163931,-0.27976,-0.173498,-0.299542,-0.301088,-0.131052,-0.019837,0.167709,6.5e-05,-0.019077,-0.014947,-0.291862,-0.041074,0.143787,-0.029146,-0.046527,-0.040416,-0.055786,-0.120395,-0.085335,-0.034112,-0.087217,-0.014555,-0.008741,0.013546,-0.151527,-0.251233,-0.202253,-0.137812,-0.269024,-0.358381,-0.480484,-0.219465,1.887866,-0.760581,-0.831549,1.342042,1.3312,-0.875138,-0.113197,-0.10924,2.059512,0.047565,0.009553,0.246904,0.265478,0.199366,-1.402693,-1.379037,0.204204,-1.661244,0.869863,-1.815816,0.163779,0.199461,0.108446,-0.01215,0.020193,0.003904,-0.054535,0.274139,0.276624,-0.006425,-0.315647,-0.428868,-0.079868,-3.112317,-0.14799,-0.056899,0.097843,0.152441,-0.048229,-0.106145,0.055184,0.141666,-3.355222,-0.027958,-0.164837,-0.16926,-0.124271,-0.95381,0.130058,-3.882664,0.585509,0.00253,0.026975,-0.10319,-0.007998,0.052868,0.024993,-1.349813,0.003959,0.006802,0.037548,-0.303453,-0.62166,-0.386717,-0.282931,-0.196143,0.04767,-4.835407,-0.324921,-0.002111,-0.031638,-1.220551,0.139152,-0.020827
-0.001994,-0.002355,-0.002353,-0.002296,-0.002291,-0.001846,-0.001878,-0.001452,-0.001177,0.006228,-0.000754,0.00657,0.014003,0.014159,0.007134,0.013908,-0.000216,-0.000337,-0.000335,-0.007347,-0.007418,-0.007213,-0.007132,-0.007162,-0.006759,-0.0068,-0.006697,-0.006658,-0.013652,-0.013641,-0.006474,-0.006366,-0.013253,-0.005961,-0.0061,-0.012984,-0.012676,-0.012368,-0.012168,-0.011569,-0.011625,-0.011543,-0.010842,-0.003511,-0.003471,-0.003412,0.00336,-0.003822,0.002957,0.002689,-0.004535,-0.004719,-0.004883,-0.004823,-0.004894,-0.004862,-0.011351,-0.011032,-0.004194,-0.004036,-0.003889,0.002742,-0.003973,0.002452,0.002107,0.008502,0.001696,0.008116,0.00164,0.001465,0.001383,0.001221,0.00102,0.000923,0.000852,0.000522,0.000384,5.1e-05,-2.4e-05,0.000127,0.000387,0.000875,0.000781,0.000701,0.000558,0.000835,0.000844,0.000689,0.000435,0.000254,-0.00039,0.005596,-0.001723,-0.001941,-0.001963,-0.002103,-0.00215,0.004567,0.00446,0.004433,-0.002229,-0.002403,0.004387,0.00451,0.005078,-0.001263,0.005219,0.005567,0.005621,0.005925,0.005982,0.006129,0.006542,0.013328,0.00647,0.006567,0.006535,0.006522,0.006701,0.006685,0.006712,0.00013,0.006963,0.000304,0.000436,-0.006254,0.000175,0.000187,-0.006373,0.000463,0.000854,0.001096,0.001084,0.000795,0.000851,-0.005858,0.00064,0.000756,0.000869,0.001213,0.001172,0.001268,0.001375,0.001332,0.001192,0.001079,0.001807,0.001774,0.001812,0.002198,0.002174,0.002083,0.001567,0.007338,4.3e-05,-0.000387,-0.000753,0.00599,0.006032,-4.3e-05,-0.000159
-0.012156,-0.014285,-0.014238,-0.01387,-0.018204,-0.011117,-0.01573,-0.013209,-0.011585,-0.005385,-0.009055,-0.007861,-0.006025,-0.005073,-0.004446,-0.01132,-0.010475,-0.015869,-0.015853,-0.014876,-0.015296,-0.009306,-0.008716,-0.013439,-0.006259,-0.011016,-0.010335,-0.00986,-0.008796,-0.008702,-0.008886,-0.008229,-0.001933,-0.001449,-0.006732,-0.000622,0.00099,-0.001875,-0.005113,-0.002092,-0.00673,-0.006368,-0.002867,0.002283,0.002423,0.006845,0.009411,0.012858,0.011475,0.014233,0.008724,0.007697,0.010893,0.011039,0.006359,0.006454,0.012563,0.013892,0.013533,0.014176,0.014781,0.013711,0.014199,0.012297,0.010613,0.008775,0.008587,0.007037,0.008354,0.007489,0.011194,0.010334,0.00522,0.004712,0.008413,0.002651,0.005992,0.008318,0.008314,0.008686,0.009998,0.016521,0.016036,0.015618,0.014853,0.020259,0.020283,0.019473,0.018113,0.017217,0.00993,0.007003,-0.004804,-0.00589,-0.005977,-0.010667,-0.010911,-0.010505,-0.01115,-0.011337,-0.011377,-0.012261,-0.011845,-0.011279,-0.004394,-0.006487,-0.007835,-0.00203,-0.001799,-0.000284,-5e-06,0.000729,0.00289,0.007149,0.002537,0.007201,0.007044,0.006995,0.007991,0.007953,0.008124,0.00484,0.005458,0.005854,0.006602,0.002589,0.00099,0.001049,0.001917,0.00257,0.004741,0.006087,0.006034,0.000299,0.000616,0.000427,-0.000584,0.000122,0.000747,0.003081,-0.001653,-0.001103,-0.000465,-0.000686,-0.001466,-0.002105,0.006185,0.006038,0.006266,0.008521,0.008873,0.00794,0.005007,0.000704,-0.003853,-0.006369,-0.008494,-0.003108,-0.002874,-0.000263,-0.005091
-0.010098,-0.011985,-0.012077,-0.011827,-0.006753,-0.009665,-0.004739,-0.002582,-0.001186,-0.004761,0.001034,0.002111,0.003755,0.004596,0.005138,0.008124,0.008879,0.013207,0.013241,0.014131,0.013767,0.009979,0.01051,0.015448,0.012688,0.017597,0.018194,0.018588,0.019519,0.019588,0.01943,0.019988,0.016345,0.016735,0.021204,0.017362,0.018662,0.025086,0.03126,0.033593,0.038522,0.038741,0.041346,0.036467,0.036451,0.030993,0.024127,0.018017,0.016895,0.010335,0.014711,0.013932,0.007787,0.007836,0.012806,0.012843,0.008807,0.009648,0.009303,0.009652,0.009964,0.009082,0.009432,0.008024,0.006866,0.005566,0.005496,0.004378,0.005296,0.004719,-0.000925,-0.001471,0.003256,0.002929,-0.002688,0.001644,-0.004184,-0.010633,-0.010706,-0.010388,-0.009568,-0.013386,-0.013677,-0.013911,-0.014353,-0.01881,-0.018774,-0.019224,-0.020029,-0.020553,-0.017242,-0.019165,-0.010854,-0.011563,-0.011675,-0.006853,-0.00704,-0.006914,-0.007384,-0.007537,-0.007542,-0.008202,-0.008061,-0.007708,-0.011156,-0.004454,-0.005449,-0.009601,-0.00946,-0.008422,-0.008233,-0.00773,-0.006215,-0.011459,-0.006461,-0.011357,-0.011462,-0.011494,-0.010784,-0.010803,-0.010678,-0.004755,-0.00437,-0.004025,-0.003494,0.001896,0.000705,0.000746,0.001418,0.001816,0.003337,0.004277,0.004218,0.008317,0.008531,0.008454,0.00767,0.008153,0.008576,0.010059,0.014933,0.015287,0.015681,0.015495,0.014948,0.014515,0.01197,0.011811,0.01193,0.013306,0.013361,0.012811,0.010911,0.008088,0.005383,0.00383,0.00252,-0.002052,-0.001909,-0.00017,0.004629
-0.211656,-0.101337,0.003637,0.001102,-0.037966,0.002447,-0.032734,-0.03714,-0.036283,0.020903,-0.04029,-0.04062,-0.033829,-0.033157,-0.038805,-0.059921,0.118294,0.087097,0.087378,0.132277,0.091009,0.070516,-0.081169,-0.110265,-0.069735,-0.105667,-0.029892,4.558408,0.021924,0.069828,0.060448,-0.009907,-0.056747,-0.067988,-0.102456,-0.070281,-0.078536,1.530376,-0.134662,1.58986,-0.094294,-0.145913,-0.077604,-0.133462,-0.105696,-0.109635,-0.041064,0.003896,0.070494,0.015244,-0.03379,-0.005313,0.0153,0.002678,0.017261,-0.041117,0.014998,0.003027,0.001366,0.037208,0.002147,-0.026665,0.062496,0.089915,0.001055,0.009607,0.001589,0.000794,0.002142,0.012011,-1.107207,0.039095,-0.000858,0.00769,0.036425,0.00105,0.036738,0.136122,-3.609045,0.063688,0.071034,0.1076,0.099595,0.107903,0.111249,0.148305,0.144826,-0.534552,-1.890861,0.146392,0.109013,-0.559488,0.042319,0.030089,0.186162,-0.00582,-0.006516,-0.000404,-0.000256,-0.000431,-0.001516,-0.002415,-0.000631,-0.000642,0.034905,-0.000719,0.002768,0.042864,-0.017422,0.036033,0.035653,0.035584,0.037912,0.07205,0.036345,0.070448,0.154279,0.068461,0.068761,0.085814,0.069529,0.037057,0.027561,0.045136,0.033375,0.004787,8.2e-05,6.8e-05,-0.00094,0.001094,0.000836,0.001547,-0.689048,-0.00633,0.051135,0.06297,-2.100895,0.050781,-0.013178,-3.1832,-0.076193,0.011655,-0.073669,-0.072609,0.031868,-0.070496,-0.065829,-0.028881,-0.031019,-0.024888,-3.028132,-0.241687,-0.018391,0.049623,0.152965,0.16936,0.047944,0.122776,0.132282,0.181713,-0.035962
