0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
-0.005112,-0.000473,-0.000288,-0.004982,-0.004973,0.001246,0.001707,0.001679,0.001054,0.001662,0.005602,-0.000938,-0.00176,0.003542,-0.002331,-0.002402,-0.002043,-0.002964,-0.008776,-0.007016,-0.005166,0.000741,0.001405,0.003297,0.008032,0.007325,0.006294,0.006599,0.006398,0.005551,0.00529,-0.000266,-0.005999,-0.006139,-0.005735,-0.004963,-0.004578,-0.003859,-0.003528,-0.003494,-0.003355,-0.002855,0.0074,0.001079,0.000911,0.000218,-0.00023,-0.000493,-0.000592,-0.000356,-1.8e-05,-0.00038,0.000429,4.9e-05,-0.001318,-0.006478,0.000237,0.000179,-0.005137,-0.005967,1.4e-05,-0.001294,0.005574,0.005537,0.000173,0.000323,-0.000434,0.000392,-0.001114,0.000344,-0.005666,-0.005499,-0.005576,0.001256,3.6e-05,7e-05,-0.000831,-0.00036,-0.000567,0.000148,-0.006595,-0.00046,-0.001188,-0.00695,-0.001428,-0.001264,-0.006707,-0.00664,-0.005743,-0.005579,-0.011969,-0.005405,-0.005195,-0.010591,-0.004888,-0.004489,0.001442,0.001054,0.000725,0.007201,0.001052,0.001195,0.000695,0.005899,0.005948,0.000659,-2.4e-05,0.000612,0.000132,0.009727,-0.000689,-0.004814,0.00675,0.00719,0.001966,0.002166,0.002361,0.00169,0.006946,0.006209,0.000341,-0.000485,-0.000416,-0.001234,-0.001181,-0.000924,-0.000734,-0.000834,-0.00084,0.004967,-0.000743,0.000544,0.000387,0.005276,-0.000511,0.000617,0.000827,0.001295,0.001008,0.006803,0.005932,0.006265,0.00517,0.004874,-0.00092,0.003505,0.003218,0.003181,0.003072,0.004134,0.004118,0.004933,-0.000115,0.006602,0.007145,0.000884,0.00143,0.000847,0.001417,0.007078,0.007618,0.007163,0.011738,0.010876,0.00549,0.010711,0.009479,0.015828,0.005152,0.005928,-0.000145,0.005063,0.000407,-0.000665,-0.000677,0.006404,0.001551,0.002051,0.001615,0.000994,0.000862,0.000993
-0.006816,0.000365,-0.000349,-0.007317,-0.007352,-0.007707,-0.009497,-0.009391,-0.005551,-0.00931,-0.000773,0.000722,0.005295,0.008421,0.007461,0.009173,0.007818,0.011372,0.010424,0.003711,-0.004829,-0.002895,-0.005463,-0.014176,-0.008982,-0.006219,-0.00224,-0.004848,-0.004096,0.000536,0.002974,0.000985,-0.000344,0.001664,0.000154,-0.004217,-0.005707,-0.008489,-0.009835,-0.010003,-0.0106,-0.014016,-0.004787,-0.004368,-0.003448,-0.000821,0.000889,0.001887,0.002248,0.001335,5.7e-05,0.002889,-0.001641,-0.000183,0.006486,0.002678,-0.000913,-0.000616,-0.003918,0.000706,-5.3e-05,0.006427,0.002227,0.002363,-0.000665,-0.001251,0.0031,-0.001484,0.005739,-0.001319,-0.00044,-0.001108,-0.000837,-0.004873,0.001281,-0.000262,0.003243,-1.2e-05,0.000778,-0.001988,0.001726,0.000375,0.004629,0.003203,0.005589,0.004959,0.00233,0.002095,-0.001431,-0.002079,0.000435,-0.002785,-0.003657,-0.006621,-0.00496,-0.006632,-0.005889,-0.0043,-0.002947,-0.005674,-0.004263,-0.004833,-0.002801,0.001023,0.000834,-0.004,0.0001,-0.00245,-0.000524,0.010309,0.001339,-0.006668,-0.002399,-0.004087,-0.00773,-0.008515,-0.009276,-0.006588,-0.002878,1.5e-05,-0.001312,0.003297,0.003034,0.006208,0.006,0.00502,0.004269,0.004661,0.004681,0.006168,0.004304,-0.002104,-0.001457,0.004995,0.003415,-0.002341,-0.003134,-0.004897,-0.003795,-0.002276,0.002603,0.001407,0.006976,0.008085,0.006429,0.01311,0.014129,0.014182,0.014509,0.009083,0.009119,0.006142,0.000395,-0.002932,-0.004853,-0.004711,-0.008199,-0.00487,-0.008165,-0.006224,-0.008034,-0.004848,0.00102,0.005591,0.002606,0.006108,0.010234,0.008158,0.001977,-0.000636,-0.001192,0.002178,-0.004659,0.000507,0.000561,-0.003947,-0.008454,-0.010115,-0.007023,-0.004967,-0.004545,-0.004956
0.011461,0.007296,0.006966,0.011245,0.011235,0.010772,0.009977,0.01004,0.004632,0.010089,0.013633,0.014603,0.009484,0.01053,0.010354,0.003983,0.003373,0.004857,0.004707,0.001836,0.005268,-0.001223,-0.002309,0.001026,0.002947,0.004125,0.005833,0.011801,0.012127,0.007028,0.000987,0.000414,0.000118,-0.006096,-0.006734,-0.001521,-0.002161,-0.003373,-0.003978,-0.004053,-0.004352,0.001246,-0.002421,-0.001909,-0.001544,-0.000374,0.000396,0.00084,0.000999,0.000592,2.6e-05,-0.005873,-0.000733,-8.1e-05,-0.004315,-0.005659,-0.0004,-0.000336,-0.001438,-0.006527,-1.7e-05,-0.004279,0.000694,0.000757,-0.000294,-0.000553,-0.00576,-0.000667,-0.004582,-0.000586,-0.007036,-0.007339,-0.007224,-0.002196,-0.006591,-0.000118,0.001469,0.007164,0.007514,0.006266,0.001087,0.00732,0.002063,0.00173,0.002482,0.002185,0.001326,0.001222,-0.000327,-0.00061,-0.006318,-0.000917,-0.001301,-0.00231,-0.001877,-0.002626,-0.002618,-0.001924,-0.001321,0.004288,-0.001923,-0.002182,-0.001272,0.000138,5.4e-05,0.005357,4.2e-05,-0.001112,-0.000239,0.004023,0.007751,0.00447,-0.001394,-0.002164,-0.003515,-0.003886,-0.004265,-0.003052,-0.001671,-0.000333,-0.000614,-0.005693,-0.005813,-0.004332,-0.004425,-0.004877,-0.005222,-0.005039,-0.00502,-0.004821,-0.00519,-0.000973,-0.000673,-0.005213,-0.0056,-0.001089,-0.001461,-0.002298,-0.001789,-0.001413,-0.006351,-0.006941,-0.011505,-0.010969,-0.011396,-0.008531,-0.008037,-0.008006,-0.00784,-0.003222,-0.003202,-0.0046,0.000203,0.005471,0.004552,0.004982,0.010517,0.004731,0.010542,0.010981,0.010267,0.004577,0.007022,0.00197,0.000892,0.002212,0.004152,0.010027,0.007773,0.006562,0.00661,0.007854,0.01218,0.007389,0.00741,0.012204,0.010463,0.009715,0.00396,0.004905,0.0051,0.004915
-0.065,-0.03134,-0.011284,-0.064281,-0.071402,-0.07503,-0.075761,-0.071388,-0.04181,-0.07442,-0.059291,0.015614,-0.031223,-0.030099,-0.031443,0.000941,-0.035626,-1.970815,0.001501,-0.000826,-0.030321,1.948341,0.529519,-0.095042,-0.054732,-0.031619,-0.031701,-0.060529,-0.060657,-0.032421,0.054222,-0.048218,-0.002635,0.669306,0.072573,-0.025127,-0.046462,-0.009734,-0.165387,1.75435,-0.07357,1.73696,-0.04532,4.522656,0.048072,-0.060401,1.266976,-0.0658,-0.024952,-0.16987,-0.14563,-0.104084,-0.148514,0.291491,4.552091,-0.144828,0.277665,4.68934,-0.12366,0.021092,-0.114655,-0.155029,-0.041337,0.104343,0.104678,0.100997,0.005046,1.511026,-0.003124,0.4363,0.161313,0.000603,0.032542,-0.015324,0.49758,-0.011466,0.002666,-0.019578,-0.00013,0.003445,0.018373,-0.017331,0.041428,0.037306,0.110082,-1.4756,0.004416,0.006752,-0.004686,-0.004006,0.0295,-0.003136,0.001222,0.526767,-0.003016,-0.003873,-0.001758,-0.062412,-0.005374,-0.053598,-0.010011,-0.016824,-0.004728,0.002543,0.002056,-0.027622,-0.00012,-0.019059,-0.003779,0.019784,-0.004672,-0.052483,-0.088006,0.129315,-0.026043,-0.026823,0.333923,-0.047469,-0.020842,-0.009477,-0.020986,-0.086518,0.001817,-0.004695,-0.019622,-0.028079,-0.095142,-0.104207,-0.069238,4.894502,-0.071872,0.311031,-0.143038,1.500689,0.440043,-0.033917,-0.050474,-0.018897,0.148795,0.626234,0.031889,1.62405,0.061544,0.076736,0.174119,0.051366,0.046526,0.063609,0.064,0.032952,0.032195,-0.000262,0.927893,-0.068822,-1.631963,-0.50714,0.143975,-4.937102,-0.405128,-5.343583,-1.738332,-0.182617,-7.9e-05,-0.131345,-1.680424,-0.128126,-1.645519,0.00769,-0.01954,-1.622856,0.051779,-0.393022,-0.126091,0.122231,-0.372257,0.082205,0.094229,0.13716,0.083368,0.222266,0.255067,0.235561
-0.057546,-0.001009,-0.078272,-0.06486,0.006166,-0.012727,-0.002365,0.007485,0.001969,-0.001839,-0.104923,-0.388799,-0.01607,-0.04499,-0.029435,-0.009817,0.096471,-1.156866,0.067769,0.005266,-0.082024,1.130065,0.893861,0.209736,0.073981,-0.027122,-0.016137,-0.093552,-0.02015,-0.014911,0.015128,0.14838,0.002994,0.389799,0.058997,0.050938,0.169874,0.85333,0.731562,0.091828,0.603172,1.401741,0.106252,-2.479243,0.222112,0.639066,-0.311491,0.327196,0.447532,0.923268,0.699382,0.768141,0.835565,0.418354,-1.801549,0.987475,1.01415,-1.522068,1.242618,0.940225,0.734212,0.755384,0.354367,0.051524,0.219962,0.434704,0.085852,-0.09157,0.076481,0.247874,0.24197,0.0564,0.013536,0.021898,0.235114,-0.013278,-0.011553,-0.370587,-0.755729,-0.069802,-0.329769,-0.481154,-0.390878,-0.379267,-0.649841,0.25714,0.022902,0.030425,0.017171,0.016184,0.030808,0.015728,0.022849,1.04131,0.014994,0.024721,0.00933,0.563263,-0.070651,0.062023,-0.004708,0.005063,0.00096,-0.017487,-0.018241,-0.069116,-0.001686,0.02623,-0.006977,-0.330029,-0.043154,0.073455,0.523842,0.374263,0.020055,0.313487,1.23078,0.061666,-0.030827,-0.023964,0.289897,0.740885,0.826527,0.433854,0.362182,0.247145,0.713411,0.79769,0.553504,-1.42555,0.870958,-0.627475,1.034348,-0.002328,0.463263,0.79446,0.502229,0.668173,0.191016,-0.150622,0.657846,-0.173025,0.078889,0.244318,-0.028411,0.431741,0.04391,-0.049107,0.220346,-0.036232,-0.025557,-0.774412,-1.552135,-0.94755,-0.968994,-0.75428,-0.70285,-1.478909,-0.517115,-1.933974,-0.225772,-0.346308,-0.778404,-0.352922,-0.655549,-0.747826,-0.787855,-0.910079,-1.160535,-1.173485,-1.352719,-1.6191,-0.968029,-1.391548,-1.160463,-1.110615,-1.075052,-1.218333,-1.337863,-1.286873,-1.516995,-1.249449
0.142203,0.013585,-0.019187,0.136281,-0.049623,-0.015795,-0.042691,-0.033074,-0.015406,-0.043705,0.222066,-0.155961,0.030285,0.086498,0.056777,0.026872,0.0962,1.599165,-0.167773,-0.002156,0.14615,-1.616668,-0.536669,-0.012805,-0.216315,-0.000928,0.006153,0.196843,0.019775,0.006113,-0.014217,0.059992,-0.036632,-0.545421,-0.077476,-0.021465,-0.22315,-0.142847,-0.012006,0.107749,-0.01295,-1.746069,-0.184645,2.287961,0.156912,0.307721,0.813116,0.143501,0.23908,0.369132,0.039535,0.105195,0.103022,0.149572,1.322328,0.351717,0.577226,0.958328,-0.00807,0.130324,0.342196,0.175998,-0.05062,0.076118,0.10785,0.188131,0.053228,0.169318,0.049488,0.150751,-0.222337,-0.022353,-0.02906,-0.017496,0.158042,-0.005336,0.026482,-0.132544,-0.278194,-0.047542,-0.159571,-0.175566,-0.108362,-0.145118,-0.205615,-0.169187,0.005775,-0.021631,-0.028892,-0.029149,-0.034913,-0.029164,-0.023686,-2.604752,-0.027748,-0.054498,-0.024894,0.163137,0.154445,0.033962,-0.027778,-0.030165,-0.030977,0.03259,0.035055,0.162995,0.00348,0.009432,-0.002947,-0.025624,-0.005404,-0.063,0.197038,-0.822331,-0.05021,0.058036,-2.523573,-0.01057,0.021389,0.025047,0.109736,0.302159,0.093342,0.211762,0.229966,0.194669,0.581452,0.114269,0.522367,-0.726115,0.142639,2.448863,0.181355,-0.359709,-0.096041,0.157013,-0.03039,0.073513,0.064289,2.640303,0.122209,-0.475511,-0.030401,-0.055894,0.260871,0.062349,0.096149,0.073107,0.161845,0.065959,0.072443,-0.2353,1.955917,-0.573571,-0.10468,-0.563577,0.184306,3.238766,0.60232,2.789397,-0.246812,-0.051608,0.953123,0.356084,0.072197,0.307331,0.19317,0.208899,-0.19919,-0.174481,-0.018499,-0.257852,0.015189,0.0956,-0.17245,0.228432,0.184497,-0.116012,-0.21011,0.118192,0.093843,0.559987
-0.0004,-0.000365,-0.000103,-2e-05,0.005983,-8e-06,0.000291,0.000289,0.000391,9.4e-05,-0.000298,0.006006,-0.000176,0.005632,0.005834,0.00632,-9e-06,-0.000598,-0.000394,0.000157,0.000261,0.000417,0.000534,-0.005403,-0.005657,0.000399,-0.005469,2e-06,-1.7e-05,1.8e-05,0.000127,-3.7e-05,0.006354,0.000487,0.00048,0.006421,0.00684,0.000552,0.000569,0.000562,0.000725,0.000807,0.000784,0.000589,0.000359,0.000189,1.8e-05,-0.00011,-6.7e-05,-6.1e-05,0.000178,-0.006028,0.00017,0.000137,-0.005752,0.000447,0.000573,0.0006,0.000741,-0.005366,0.000357,0.000224,-0.005793,0.000147,-0.00589,0.000302,-0.005681,0.000399,-0.005322,-0.004771,-0.004617,-0.00446,0.001588,-0.004356,-0.004357,0.001493,0.001202,0.00119,0.000949,0.000667,0.000447,0.005953,0.005935,0.01179,0.005782,0.005999,0.005633,0.011527,0.011625,0.011745,0.005925,0.011672,0.005931,0.006203,0.006073,0.006464,0.000833,0.000871,0.000919,-0.00514,-0.005525,-0.005793,-0.00627,-0.000235,-0.005856,-0.000268,-0.000851,-0.006431,-0.000611,-0.001747,-0.000979,-0.006285,0.000198,0.001077,0.001466,-0.004531,0.001458,0.001739,0.001573,0.000935,0.000823,0.000579,-0.005303,-7.3e-05,-0.006133,-0.006256,-0.006339,-0.000318,-6.5e-05,-5.2e-05,-8.7e-05,-0.000284,-0.000242,-0.000301,-0.000131,-0.00027,-0.000208,9e-06,-0.000143,-0.006162,-0.012021,-0.005979,-0.006091,-0.012113,-0.011781,-0.006145,-0.006231,-0.012045,-0.006426,-0.000896,-0.001082,-0.001351,-0.001389,-0.001472,-0.001599,0.004434,-0.001523,-0.001235,-0.001212,-0.001049,-0.001057,-0.001068,-0.000784,-0.006445,-0.000197,0.000114,0.000217,0.000251,6.3e-05,0.0058,0.005775,-0.000278,-3.9e-05,0.00604,-7.2e-05,0.005968,0.00593,-9e-05,-0.000457,-0.000506,-0.000531,-0.00064
-0.006191,-0.006,-0.004569,-0.004119,-0.005275,-0.004074,0.001614,0.001598,0.002154,0.000537,-0.00163,-0.001102,-0.004987,-0.003143,-0.002066,0.000585,0.00402,-0.003291,-0.006231,0.000866,0.001448,0.002302,0.002944,0.004411,0.003005,0.0022,0.004011,-0.004005,-0.004125,-0.003915,-0.004237,-0.004229,-0.003205,-0.001323,-0.001376,-0.006878,-0.000474,-0.000978,-0.000884,-0.000918,-1e-06,0.000442,0.004406,0.003296,-0.00207,0.001079,-0.003966,-0.000576,-0.000346,-0.000321,0.001003,0.000799,0.000953,-0.00331,-0.001742,-0.001584,-0.000899,-0.000735,0.004123,0.004403,0.001992,0.001272,0.00202,-0.003247,0.001479,-0.002403,-0.001469,-0.001873,0.000438,0.007395,0.004133,0.004888,0.004436,0.009323,0.005236,0.003883,0.00637,0.006298,0.005041,0.003549,0.00238,-0.000547,-0.000649,-0.001731,-0.001467,-0.000289,-0.002332,-0.003248,-0.002752,-0.002085,-0.000756,-0.002514,0.003407,0.005037,0.004285,0.002502,0.004988,0.001055,0.005452,0.005271,0.002935,0.001329,-0.001481,-0.001385,0.005019,0.002541,0.003255,0.005813,0.00463,-0.001906,-0.00569,-0.001415,0.001103,0.006159,0.004332,0.004511,0.004324,0.005924,0.009058,0.005394,0.004711,-0.000766,0.003838,-0.00038,-0.000877,-0.005627,-0.006066,-0.005831,-0.000349,-0.004345,-0.000476,-0.001564,-0.001346,-0.001668,-0.000727,-0.001504,-0.00116,6.4e-05,-0.00482,-0.000857,-2e-05,0.000179,-0.000413,-0.000422,0.001364,-0.000626,-0.001053,8e-05,-0.00196,-0.004485,-0.005456,-0.006733,-0.006929,-0.007339,-0.007984,-0.00827,-0.007613,-0.006165,-0.006041,-0.005234,-0.005263,-0.005307,-0.003902,-0.001491,-0.000971,0.004528,0.001068,0.001246,0.000324,-0.00175,-0.001839,0.002575,0.003763,0.003432,0.003597,0.003082,-0.001079,-0.000468,-0.002333,-0.002595,0.001266,-0.003273
0.004414,0.0045,0.005161,0.00537,0.004604,0.005392,0.000739,0.000731,0.000986,0.000245,-0.000745,-0.000741,0.004974,-0.001676,-0.001184,3.3e-05,-0.005424,-0.001512,0.004403,0.000398,0.000667,0.001057,0.001348,0.002252,0.001608,0.001004,0.00206,0.005433,0.005379,0.005475,0.005432,0.005335,0.005561,0.006654,0.006629,0.011168,0.006792,0.006807,0.006846,0.006832,0.007236,0.007424,0.001942,0.001447,0.00631,0.00047,0.005483,-0.000252,-0.000152,-0.000137,0.000439,0.000601,0.000418,0.005775,0.006714,0.006532,0.006826,0.006896,0.001782,0.002156,0.000859,0.000548,0.001126,0.005813,0.000894,0.006178,0.006836,0.006407,0.007645,0.003401,0.009199,0.009495,0.00901,0.004146,0.00957,0.008719,0.002585,0.002546,0.002025,0.001419,0.00095,-0.000503,-0.000546,-0.00126,-0.000877,-0.000406,-0.00122,-0.001863,-0.001666,-0.001396,-0.000588,-0.001565,-0.006015,-0.005357,-0.005657,0.000725,0.00199,0.0075,0.002169,0.00236,0.001438,0.000805,-0.000302,-0.000541,-0.004797,-0.006057,-0.012839,-0.011545,-0.012286,-0.014911,-0.002299,-0.000302,0.000449,0.002487,0.008803,0.009137,0.008765,0.009366,0.003548,0.002099,0.001827,0.006713,0.001764,-0.000142,-5e-05,0.005127,0.00496,0.004765,-0.000135,0.005341,-0.000182,-0.000603,-0.00052,-0.000646,-0.000281,-0.000585,-0.00045,2.7e-05,0.005164,-4.4e-05,0.00057,0.000365,0.000134,0.000417,0.001119,5.6e-05,-0.00011,0.000623,-0.000468,-0.001758,-0.002207,-0.002667,-0.002764,-0.002937,-0.00322,-0.003638,-0.003102,-0.002526,-0.002488,-0.002166,-0.002183,-0.002212,-0.001633,-0.000353,-0.000407,-0.005276,0.000449,0.000522,0.000137,-0.001,-0.001045,-0.006094,-0.005594,-0.006,-0.005661,-0.006142,-0.000727,-0.000203,-0.000989,-0.001102,-0.006642,-0.001392
-0.06504,-0.052043,-0.032098,-0.035161,-0.034734,-0.035771,-0.045172,-0.086277,-0.111801,-0.001031,0.003418,-0.09273,-0.03427,-0.00036,0.010574,-0.075334,-0.04166,0.007957,-0.022097,0.001747,0.009686,0.006506,-0.024325,0.006975,-0.020193,0.004366,0.000605,-0.03574,-0.035716,-0.035553,-1.530966,-0.035693,-0.033244,-0.037813,-0.035556,-0.070659,0.209159,-0.254676,-0.03297,-0.034073,-0.029118,-0.031148,0.008256,0.004909,-0.030923,-0.019617,-0.03122,0.001802,0.000159,-0.222891,-0.089663,-0.059576,-0.093066,-0.027122,-0.0333,-0.05087,-0.179379,-0.092831,-0.169569,0.011081,-0.16165,0.001184,-0.001494,-0.034872,-0.030461,-0.034359,-0.039826,-0.034643,0.765267,-0.003523,-0.035793,-0.03565,-0.032586,0.597931,-0.034498,-0.033165,0.001021,0.001454,0.001192,0.001521,-0.006378,0.062609,3.5e-05,0.010345,0.07401,-0.006682,-0.001753,0.001614,0.015109,0.001941,0.000986,0.00198,0.036733,0.038203,0.039295,-0.008011,0.001524,-0.034324,0.555303,0.005881,-0.000434,0.002068,0.003435,0.002054,0.634998,0.105676,-0.08131,0.039915,0.061316,0.056407,0.001519,-0.000835,-0.000222,-0.000809,-0.022106,-0.0343,-0.033494,-0.033251,0.002801,6.7e-05,0.001352,-0.051272,0.003677,-0.000103,-0.001109,-0.031078,0.191801,-0.036051,0.004726,-0.035037,-0.000322,-0.001714,0.005765,0.000113,-0.000104,0.005221,-0.000724,0.004784,-0.030636,-0.001521,-0.002038,0.002434,-0.147495,-0.002137,0.001381,-0.030637,0.011116,-0.004259,-4.9e-05,-0.002984,2.308402,-0.001884,-0.003879,-0.003471,0.006848,0.016317,0.004074,-0.016431,0.00443,-0.00679,-0.007372,-0.002726,-0.001849,-0.005357,0.013079,0.039042,0.001644,-0.000394,-0.000436,0.75967,-0.024113,0.035877,0.035188,0.033501,0.033309,0.041451,0.000666,-0.005325,-0.002654,-0.000178,0.033844,-0.001756
