0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
0.000841,0.000989,0.001183,0.007718,0.006566,0.000457,-1.4e-05,0.006425,0.00011,7e-06,-8e-06,0.000931,-0.000104,-4.2e-05,0.000216,0.000437,0.000437,0.000184,-0.00083,-0.000668,7.4e-05,-4e-06,-7.9e-05,0.001024,0.000853,-0.000407,0.000694,-4e-06,0.000895,0.000194,8.9e-05,0.005842,-0.000324,-0.000539,0.005922,-0.001748,-0.00756,-0.000517,-0.001317,-0.000604,-0.001127,-0.001094,-0.001107,0.000139,0.000399,0.000512,0.000828,0.008403,0.00082,0.001204,0.000414,0.007525,-0.000982,-0.000553,-0.001933,-0.002228,-0.002261,-0.002245,-0.008604,-0.000704,-0.000344,0.000199,-0.000524,0.006096,0.000811,6.9e-05,8.9e-05,0.000112,9.2e-05,0.000541,0.006932,-0.000579,-0.00614,-0.000273,-0.000135,-0.005825,0.000952
-0.004676,-0.005207,-0.005906,-0.004165,0.001616,-0.001657,5e-05,0.002141,-0.000401,-3.4e-05,2.6e-05,-0.004945,0.000365,0.000154,-0.00078,-0.00155,-0.001554,-0.000659,0.004673,0.004011,-0.000253,2.5e-05,0.000284,-0.005273,-0.004657,0.001431,-0.004105,1e-06,-0.004828,-0.002331,-0.001968,0.004199,-0.0005,0.00045,0.002221,0.006161,0.000311,0.000185,0.004653,0.000525,0.00401,0.003892,0.003945,-0.002125,-0.003059,-0.00347,-0.004602,-0.008376,-0.004568,-0.007555,-0.003127,-0.005238,0.003454,0.000306,0.006833,0.007888,0.008012,0.007961,0.005979,0.000878,-0.000406,-0.002339,0.001855,0.002834,-0.004506,-0.000251,-0.000317,-0.000394,0.001301,-0.000287,0.001576,0.005327,-0.001095,0.004246,0.003757,-0.00226,-0.001733
0.005017,0.004655,0.004172,0.004647,0.00038,-0.001158,2.8e-05,0.000741,-0.000287,-3.1e-05,1.3e-05,0.004837,0.000251,0.000108,-0.000544,-0.001077,-0.001081,-0.000459,-0.005031,-0.005488,-0.000179,1.7e-05,0.000199,0.004608,0.005037,0.000996,0.005425,-1e-06,0.004923,0.00666,0.006906,0.002173,0.007919,0.008506,0.009051,0.004218,0.009157,0.008345,0.003153,0.008558,0.0027,0.002614,0.002639,0.006749,0.006124,0.005852,0.005098,0.010066,0.005123,0.011308,0.006087,0.012165,0.002286,0.008355,0.004495,0.005174,0.005225,0.005159,0.004514,0.008643,0.007808,0.006568,0.001183,0.001167,0.00518,-0.000163,-0.000204,-0.000253,-0.007232,-0.008249,-0.007711,-0.012733,-0.008139,-0.013428,-0.013753,-0.008916,-0.009244
-0.139704,-0.180931,-0.0367,-0.043189,-0.001149,-0.017659,-0.003315,-0.002968,0.013762,0.023638,-0.383437,0.001004,0.057628,0.043838,0.098605,-1.19534,0.028695,0.106924,-3.900119,0.071398,0.109472,-0.260369,0.070076,0.006945,-1.099417,0.147531,0.02515,0.122405,0.001067,0.134645,0.176936,0.056746,0.054715,-2.992319,-0.016048,-0.005301,0.131005,0.024323,0.158435,-0.00932,0.037731,0.028113,-0.0046,-0.021611,-0.035223,-0.03479,-0.037833,-0.055992,-0.034552,-0.06308,-0.027144,0.025466,0.028303,-0.03118,0.026054,-0.002103,0.02485,0.179063,0.164744,0.04663,-0.039185,-0.037457,0.00034,0.002781,-0.03461,-3e-06,1e-06,-0.003526,0.02943,0.033066,0.03561,0.068458,0.03189,0.068668,0.000524,0.031913,-0.076129
-0.73531,-0.092836,-0.1072,-0.340467,-0.586268,-0.679526,-0.795914,-0.863739,-0.924028,-0.998914,-0.655987,-0.886762,-0.838813,-0.486655,-1.048419,-0.386719,-0.24367,-0.804464,0.298347,-0.237999,-0.627234,-0.45034,-0.382189,-0.231241,-0.072142,-0.716999,-0.326992,-0.52909,-0.19215,-0.679492,-0.802482,-0.258129,-0.363018,0.184274,-0.123929,0.0051,-0.534292,-0.244746,-0.509829,-0.13536,-0.123496,-0.093037,0.008683,-0.039569,0.001225,-0.000119,0.00971,-0.058806,-0.016616,-0.032901,-0.084053,-0.300903,-0.089474,-0.016819,-0.082219,-0.007854,-0.085484,-0.530583,-0.531004,-0.241329,0.005633,0.007679,-0.008287,-0.024592,-0.000727,1.2e-05,6e-06,0.010308,0.008397,0.009813,-0.005191,0.010854,0.02582,0.010962,0.035692,0.025321,0.321727
-0.272197,-0.55131,-0.281378,-0.141319,0.020376,-0.256936,-0.095717,-0.085453,0.075019,0.04147,-0.128907,0.056148,0.105722,0.45294,0.236,-0.884758,0.302626,0.118765,-3.457954,0.14604,-0.029111,-0.341521,0.064427,0.100766,-0.941907,0.146861,0.276703,0.007723,0.118822,-0.043656,-0.11954,0.180674,0.080898,-4.7,0.208565,0.064515,-0.229762,0.12746,-0.161262,0.169044,-0.015637,-0.003912,0.034053,-0.038206,-0.023215,-0.023734,-0.019663,-0.031943,-0.025933,-0.055173,0.161354,-0.091788,-0.00095,0.001808,0.001599,0.058762,0.031403,-0.128246,-0.210245,-0.080001,0.009448,-0.020709,0.02764,0.056456,-0.02395,-1.2e-05,-1e-05,0.003964,-0.001625,-0.00298,0.026082,0.020665,-0.032272,0.02101,-0.111114,-0.032254,0.085348
-0.000485,-0.000478,-0.000513,-0.000434,-0.000374,-0.000317,-0.000314,-0.000274,-9.3e-05,-0.000253,-0.000238,-0.000188,-3.8e-05,8e-06,4.6e-05,-1e-06,-3e-06,-8.5e-05,-6e-05,-3.3e-05,-0.000176,-0.000237,-0.000178,-0.000141,-7e-05,-0.006689,-0.000105,-0.00687,-0.006946,-0.000624,-0.000587,-0.000664,-0.000613,-0.000569,0.006189,-0.000259,-0.000212,6e-06,0.000162,6.1e-05,2.6e-05,-2e-06,4e-06,3e-06,3e-06,-9e-06,5e-06,9e-06,-0.0,2e-06,-4.4e-05,2e-06,-0.000144,-0.000161,-0.000125,-8e-05,-0.000159,-4.5e-05,0.006787,-2.4e-05,5e-06,-0.006782,0.0,2e-06,1e-06,7e-06,2e-06,-2.2e-05,0.0,-0.0,-3e-06,-2e-06,2e-06,-4.6e-05,-4.7e-05,5.5e-05,0.000231
-0.002521,-0.00249,-0.002671,-0.002263,-0.001943,-0.00165,-0.001633,-0.001428,0.003687,-0.001311,-0.001231,-0.000978,-0.000198,2.8e-05,0.004427,1.1e-05,-5e-06,-0.000441,-0.000316,-0.000186,0.003252,-0.001236,-0.000928,-0.000737,-0.00037,0.005342,-0.000539,0.004425,0.004041,-0.003199,0.001156,-0.003401,0.001029,-0.002917,-0.003874,-0.001327,-0.001092,3.1e-05,0.000831,0.000321,0.000139,-2.1e-05,-9e-06,-3e-06,1e-06,-6.3e-05,8e-06,3.6e-05,-1.2e-05,1e-06,-0.000216,6e-06,-0.000726,-0.000818,-0.000638,-0.00041,-0.000809,-0.000227,-0.000858,-0.000125,2.3e-05,0.000884,-1e-06,1e-05,-4e-06,3.3e-05,-5e-06,-0.000126,6e-06,4e-06,3e-06,-3e-06,1.5e-05,-0.004422,-0.004413,0.00029,0.001186
-0.001581,-0.001564,-0.001683,-0.001427,-0.001227,-0.001043,-0.001034,-0.000907,-0.005784,-0.000833,-0.000782,-0.000621,-0.000123,1.8e-05,-0.005313,8e-06,-1e-06,-0.000279,-0.0002,-0.000119,-0.006062,-0.000786,-0.000589,-0.00047,-0.000235,-0.004629,-0.000342,-0.005212,-0.005459,-0.002047,-0.00741,-0.002186,-0.007496,-0.001883,-0.002597,-0.000861,-0.000708,2.1e-05,0.000538,0.000205,8.9e-05,-1.5e-05,-6e-06,-2e-06,-1e-06,-4.2e-05,3e-06,2.3e-05,-8e-06,-0.0,-0.00014,6e-06,-0.00047,-0.00053,-0.000413,-0.000265,-0.000524,-0.000149,-0.000648,-8.2e-05,1.4e-05,0.000664,-2e-06,8e-06,-2e-06,2.1e-05,-4e-06,-8.3e-05,2e-06,0.0,-1e-06,-3e-06,8e-06,0.00531,0.005323,0.000188,0.000772
-3.4e-05,-3.9e-05,-0.002965,-0.000401,0.001972,-0.000276,-1.9e-05,-9e-06,0.033106,-0.000112,-4e-05,0.010977,-0.000934,-9.3e-05,0.035796,0.000388,-2.1e-05,-4.1e-05,-2.6e-05,0.003747,0.034363,2e-06,-0.000906,0.000867,7.7e-05,0.034875,-3e-06,0.034871,0.034877,-0.001585,0.033169,-0.002625,0.040719,0.007993,-0.001371,-0.010852,-4.9e-05,-0.000186,-6.9e-05,-0.001623,-9.1e-05,-6e-05,-3.9e-05,-3.7e-05,-4.3e-05,-3.1e-05,-4e-06,2e-06,4e-06,-1e-05,-5e-06,-1.6e-05,-1.7e-05,-7e-06,5e-06,-9e-06,-1.7e-05,3e-06,0.001004,-1e-06,9e-06,-0.000975,1.4e-05,-1.2e-05,-0.000428,-7.1e-05,7e-06,5e-06,-1.4e-05,-4e-06,-4e-06,-9e-06,-6e-06,2.453483,-0.036049,-2.5e-05,0.060359
