0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.013211,0.014001,0.007428,0.008055,0.008053,0.008536,0.000915,0.000669,0.007181,-0.0054,0.001253,0.008529,0.001949,0.007365,0.006787,0.006692,1.3e-05,0.007224,0.006146,0.006035,0.005825,0.01241,0.00548,0.006268,0.007115,0.000123,-0.006144,-0.000427,-0.000426,-0.000523,0.000787,0.000166,-0.006582,-6.6e-05,0.000106,-0.000626,0.006665,0.006649,0.006621,0.012933,0.005551,0.012516,0.006321,0.006709,0.001555,0.001709,-0.005891,-0.000392,-0.000289,-0.006414,-0.006521,4.3e-05,-3.7e-05,-0.000366,-0.000265,-0.000372,0.00029,0.005899,-0.000451,-0.000167,0.006158,-0.000307,0.000294,0.00047
0.000214,-0.007659,-0.007974,-0.01356,-0.013193,-0.016677,-0.007155,-0.003895,-0.002335,-0.009514,-0.00933,-0.01459,-0.015763,-0.004608,0.000611,0.001244,0.001256,-0.003225,0.00532,0.006348,0.00838,0.008608,0.011172,0.004243,-0.003037,-0.000344,-0.003021,0.004023,0.00401,0.004953,-0.005704,-0.000726,0.00084,0.001527,-0.000107,0.00594,-0.00017,-0.0001,0.000125,0.002164,0.008731,0.00545,0.002775,-0.000755,-0.0119,-0.013215,-0.005012,0.003367,0.002487,-0.000914,-9.3e-05,-0.000357,0.00035,0.002619,0.001756,0.002706,-0.003185,0.003783,0.002079,-0.000334,0.001398,0.001161,-0.003492,-0.00508
-0.001059,0.00125,0.001606,0.005669,0.005953,0.011654,0.011235,0.013707,0.014275,0.018385,0.01791,0.021654,0.021388,0.012533,0.008109,0.008571,0.009174,0.013512,0.003273,0.004009,0.005479,0.005008,0.007422,0.010561,0.013501,0.007872,0.006528,0.002835,0.002823,0.003474,0.012174,0.00757,0.009233,0.009107,0.007971,0.004076,0.007318,0.007355,0.007502,0.008303,0.005312,0.010483,0.01716,0.014769,0.015882,0.01503,0.005176,0.00222,0.00164,-3.8e-05,0.00047,-0.000231,0.00023,-0.006183,-0.006752,-0.006126,-0.010022,-0.021862,-0.022522,-0.02419,-0.031694,-0.02335,-0.018575,-0.019794
-0.278434,-0.039925,-0.863092,0.003067,0.344619,0.157113,0.002692,-2.928799,-0.121646,-0.140543,-0.097612,0.1691,-1.57269,-0.879925,-3.034546,-0.544618,-0.508396,-0.13473,-0.583929,-0.062619,-0.484774,-0.36773,-0.03298,-0.220711,-0.273492,-0.034956,-2.234396,-0.021648,-0.081542,0.001697,-0.036347,0.160451,0.263067,-0.04341,-0.034295,-0.137123,-0.016076,-0.031657,0.238986,-0.042657,0.005099,-0.028455,-0.064907,0.019071,0.47016,0.121833,0.403128,-0.030221,-0.429793,0.016412,-1.241064,0.002405,0.000474,0.022424,-0.3001,0.054018,0.161816,0.444682,-1.143684,-1.139839,-0.358436,-0.123108,-0.639182,-0.361315
-0.218616,-0.099336,-0.54783,-0.236524,-0.647522,-0.444262,-0.195262,-1.300617,-0.235721,-0.22628,-0.091052,-0.433748,-1.962674,-0.442602,-1.173925,0.496324,0.409479,0.071128,0.240301,0.03264,0.418127,-0.200214,-0.176893,-0.257672,-0.22799,-0.006744,-2.360591,-0.004888,-0.060528,-0.01253,-0.044328,-0.237247,-0.301495,-0.005822,-0.001693,0.134323,-0.028858,-0.022231,-0.291789,-0.034569,-0.041165,-0.049999,-0.041923,-0.123631,-0.581013,-0.257876,-0.52783,0.016424,0.397263,0.006772,-1.976516,0.003196,0.000617,0.097242,0.334394,0.006921,-0.119394,-0.395918,-2.100296,-1.998748,0.503695,0.176913,-0.347138,0.500433
-0.158934,0.187382,-1.483148,-0.29639,-0.187234,-0.106399,0.072722,-4.347588,0.231005,0.178157,0.130762,-0.050372,1.269824,0.697249,-4.209677,0.56426,0.447105,0.073052,-0.07835,0.072967,0.281175,0.009394,0.154716,-0.352665,-0.39412,0.004401,-4.550034,0.014674,-0.096457,0.026572,-0.046759,-0.152546,-0.194351,0.031166,0.005339,0.10911,0.038249,0.034479,-0.105258,0.056841,0.080826,0.089671,0.065428,-0.01667,-0.339592,-0.197809,-0.096697,0.026645,0.211456,-0.024099,1.418066,-0.001379,0.000328,-0.181545,0.148312,-0.009841,-0.116408,-0.207563,1.555954,1.353546,0.230954,0.158301,0.604499,0.27646
0.013704,0.007262,0.013482,0.01345,0.013829,0.013892,0.014395,0.014398,0.020752,0.020727,0.027229,0.026871,0.020139,0.013507,0.006949,-0.000116,-8e-05,-0.006573,-0.006817,-0.000234,-9e-05,-0.000122,-0.00027,-0.00015,-0.000262,-0.000551,-0.000278,-0.000123,-8.8e-05,-0.006503,-0.00649,-5.9e-05,-2.4e-05,5.4e-05,9e-06,-9.4e-05,7.2e-05,-5e-05,-0.00673,-0.000306,-0.000255,-0.000294,-0.000267,-0.000224,-0.000188,-0.000267,-0.000104,6.3e-05,1.4e-05,-8.1e-05,5.1e-05,-0.00021,-0.000131,-0.00012,-9.1e-05,-0.000155,-0.000205,-2.1e-05,-7.1e-05,0.000104,0.000431,0.006961,0.006722,0.013302
0.002641,0.004016,0.001495,0.00134,-0.000377,0.001109,-0.000391,-0.004595,-0.005857,-0.001141,-0.001335,-0.003612,-0.000166,-0.000755,0.003812,-0.005775,-0.000701,-0.000395,-0.007233,-0.006766,-0.00076,-0.001053,-0.007071,-0.001299,-0.002263,-0.009516,0.002329,-0.00108,-0.000763,0.000543,0.000658,-0.000491,-0.000192,0.000456,7.6e-05,-0.000814,0.00061,0.004282,-0.001381,-0.002595,-0.002154,-0.00249,-0.002238,-0.001883,-0.001569,-0.002219,-0.00088,0.000517,0.000113,-0.000667,0.000417,-0.006447,-0.001088,-0.00099,-0.000749,-0.00129,-0.001708,-0.000175,-0.000587,0.00557,0.003586,0.003084,0.00109,0.001033
0.001893,0.002971,0.000997,0.000872,0.007797,0.008712,0.015915,0.020946,0.019856,0.015087,0.014802,0.013094,0.007562,0.00724,0.002555,0.003943,-0.000497,-0.000154,0.003052,0.003259,-0.000536,-0.000745,0.00304,-0.000925,-0.001612,0.00129,-0.006427,-0.000772,-0.000547,0.000512,0.000592,-0.00035,-0.000135,0.000329,5.4e-05,-0.000582,0.000438,-0.005031,-0.000875,-0.001866,-0.001549,-0.001794,-0.001613,-0.001361,-0.001135,-0.001606,-0.000638,0.000375,8.1e-05,-0.000485,0.000302,0.003472,-0.00079,-0.000719,-0.000544,-0.000938,-0.001244,-0.000128,-0.000428,-0.004111,0.002609,0.00212,0.000671,0.0005
0.189307,0.001203,0.003247,-0.006535,0.204219,-5.102267,0.00368,-0.100249,0.12308,-0.077145,0.013092,-0.088757,-0.033007,-0.030705,0.003659,-0.034411,0.199237,-0.010031,-0.036199,-0.028421,5.9e-05,0.000174,-0.035307,8.4e-05,0.004548,-0.036809,0.03445,2.7e-05,1.4e-05,0.02485,-0.001706,2.9e-05,-0.000478,-0.004366,5.5e-05,5.4e-05,2.1e-05,0.035447,-0.000966,9e-06,-0.000634,-0.00064,-2e-06,-0.00064,-4e-06,0.004427,-1e-06,-6e-06,-6e-06,-1e-06,-0.009319,-0.035647,-1.1e-05,1.4e-05,1.3e-05,1.7e-05,1.1e-05,3e-06,1e-06,0.035424,-0.005022,0.065588,0.452949,0.237151
0.448712,-0.035549,-0.045475,-0.04482,0.732967,1.72167,0.223724,0.152954,0.681038,0.141445,0.299666,0.046559,-0.051224,-0.03263,-0.032298,0.013427,0.502652,0.00125,0.028534,-0.09753,0.000566,-6.4e-05,0.014343,-3.2e-05,-0.102683,0.031711,0.001654,1.4e-05,-1.4e-05,0.105529,0.013152,-0.000261,0.001776,0.102671,-3e-05,-0.0,-1.4e-05,-0.014443,0.014713,-7e-06,0.014878,0.014895,-1.5e-05,0.01488,-1.4e-05,-0.102649,1.7e-05,9e-06,-3e-06,-1.4e-05,-0.0132,0.014048,-5.5e-05,-1.1e-05,-1.1e-05,2e-06,6e-06,-1.2e-05,1e-06,-0.01447,-0.024195,0.148761,-0.02857,0.709858
0.399539,0.054591,0.08352,0.054484,0.346489,1.585017,0.240956,-0.029788,0.318232,-0.10091,0.125689,-0.050049,0.091736,0.068301,0.056344,-0.01705,0.292056,-0.036527,-0.047588,0.166387,-0.001109,-0.000105,-0.017642,-3.6e-05,0.170266,-0.045942,-0.008859,-3e-05,-2.9e-05,0.025077,-0.030429,-0.000167,-0.002734,-0.170367,-3.4e-05,-0.0,-4e-05,0.017548,-0.029561,-6e-06,-0.02467,-0.024698,9e-06,-0.024682,1.4e-05,0.170294,-9e-06,-2.1e-05,-2.3e-05,1e-06,-0.007121,-0.01781,-6.4e-05,-2.6e-05,-1e-06,6e-06,-9e-06,-7e-06,-3.1e-05,0.01754,0.019783,0.167127,-0.258182,0.263623
