0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0.014589,0.01474,0.007424,0.000723,-0.000491,0.007762,0.00773,0.00755,0.015563,0.007979,0.014585,0.007668,9.1e-05,0.007744,0.000767,0.00115,0.000377,0.000332,0.000356,0.000448,0.000438,0.007272,0.00715,0.007112,0.007232,0.0068,0.006912,0.007157,0.007052,0.00784,0.007633,0.008569,0.00868,0.001425,-0.005709,0.000322,-0.007811,-0.007633,-0.000152,-0.007391,-0.007953,-0.001042,-0.001178,-0.001382,0.005956,0.000212,0.000636
0.008501,0.006201,0.002199,-0.006836,0.003734,-0.002135,-0.001624,0.001164,-0.002032,-0.001858,0.007179,0.000989,0.000681,-0.000104,-0.005171,-0.006872,-0.000982,-0.000512,-0.000754,-0.001778,-0.001685,0.004266,0.005351,0.005591,0.004043,0.006889,0.005684,0.003144,0.004077,-0.001503,-0.000581,-0.007614,-0.008734,-0.010733,-0.013863,-0.002245,0.003093,0.001382,0.001419,-0.000667,0.003707,0.007976,0.00829,0.009255,0.01052,-0.003958,-0.008261
0.007674,0.005152,0.001412,0.002504,-0.006179,-0.003431,-0.002857,0.000188,0.006123,0.007138,0.006178,0.010521,0.011158,0.009248,0.014877,0.023067,0.019446,0.019923,0.019562,0.018366,0.01844,0.013708,0.014793,0.015001,0.013279,0.006259,0.004983,0.002316,0.003277,0.007196,0.008319,0.020765,0.019577,0.018476,0.01623,0.007519,0.004095,0.002318,0.001449,0.000264,-0.005079,-0.011459,-0.020937,-0.02983,-0.029524,-0.023936,-0.028686
-3.825505,-0.229091,-2.911266,-2.996137,-0.818577,-0.061181,0.003252,-2.748387,-0.024298,-2.44776,0.116069,0.211126,-0.076839,0.09961,-0.101537,-1.907091,-0.004369,0.004826,0.234615,0.400986,-0.116307,-0.029017,-0.041439,-0.037103,-0.026798,-0.005942,0.005971,0.002471,0.006909,-1.335525,-0.05463,-0.073841,0.163496,0.140259,-0.035586,-0.055187,0.458129,-1.157398,0.025956,0.343356,0.018869,0.054831,0.001447,-0.637406,-0.753412,-0.229483,0.092987
-2.855356,-0.709242,-1.740005,-1.596744,-0.616107,-0.130415,-0.000534,-1.452134,-0.025635,-1.842381,-0.193351,-0.280277,-0.089785,-0.151227,-0.063794,-2.149946,-0.176414,-0.120698,-0.335906,-0.499599,0.085801,-0.032187,0.060895,-0.045243,-0.029952,0.06873,-0.025699,-0.014713,-0.024269,-2.284246,-0.023467,-0.066057,-0.296566,-0.261353,-0.071436,0.001459,-0.372655,-2.404369,-0.041949,-0.283028,0.021042,0.094674,0.20536,0.748135,0.937296,0.296357,-0.001832
-3.042558,0.723437,-3.583983,-4.016638,-1.001423,0.048918,0.032303,-4.547674,0.058154,-4.521799,-0.003569,-0.119521,-0.124181,-0.054457,0.026136,-4.847467,0.125622,-0.041018,-0.132975,-0.206629,-0.199577,0.061748,-0.113835,0.068411,0.058412,-0.121307,0.054015,0.02982,0.052915,-5.102392,0.041155,-0.023448,-0.176511,-0.19642,-0.138728,-0.010578,-0.397618,0.83848,-0.005891,-0.435069,-0.008146,-0.159105,-0.0907,0.63989,0.565265,0.369267,0.073399
0.008051,0.022921,0.015661,0.015594,0.015324,0.007999,0.015281,0.007848,0.000381,0.000322,0.000151,0.000152,3e-05,-7e-06,1e-05,3.6e-05,3.6e-05,-0.007338,-7e-06,-1e-06,-1e-06,-0.007273,0.00014,3.4e-05,-1.3e-05,9e-06,4e-06,-5.7e-05,4.5e-05,-2.8e-05,-1e-05,5e-05,6e-06,8e-06,8.4e-05,0.000111,2.6e-05,7.4e-05,0.000123,0.000146,0.000106,0.000213,0.000157,0.000166,0.000175,0.007357,0.007451
6.6e-05,0.000346,0.007132,0.001907,0.005193,0.006215,0.005365,0.005031,0.004097,0.003479,0.00167,-0.003914,-0.005203,-0.005608,0.000152,0.000399,0.0004,0.000274,-6.9e-05,0.0,-5e-06,0.000984,-0.004095,0.000376,-0.000105,-0.005454,-0.005523,-0.006159,-0.005101,-0.000281,-8.7e-05,0.000507,-0.005517,-0.005516,0.000886,0.001178,0.000288,0.000799,0.001316,0.001575,0.001155,-0.003335,0.001687,0.00177,0.001889,7e-06,0.006722
0.010089,0.010273,0.007475,0.011857,0.005289,0.006386,0.005402,0.00511,0.004217,0.003579,0.001715,0.00581,0.004488,0.004074,0.000157,0.000409,0.000411,0.000371,-6.9e-05,1e-06,-7e-06,0.001097,0.005626,0.000386,-0.000109,0.004234,0.004167,0.003515,0.004598,-0.000287,-9e-05,0.000519,0.004172,0.004173,0.000906,0.001204,0.000294,0.000817,0.001344,0.001607,0.001174,0.006396,0.001714,0.001792,0.001912,-9.8e-05,-0.00307
0.063974,0.061162,0.048266,0.3483,-0.023212,-0.002017,0.005591,0.003731,0.00184,0.00152,0.000538,-0.035212,-0.030273,-0.035377,0.000728,0.000102,8.3e-05,-0.000913,0.005142,4.3e-05,3.8e-05,-0.010245,-0.035636,0.000117,9.9e-05,-0.041098,-0.03109,-0.046428,-0.009084,0.004401,0.005248,4.3e-05,-0.040377,-0.036411,-0.007259,0.000751,-0.006527,-0.004845,-0.000202,0.000754,-9e-06,-0.035607,-0.005286,-0.008235,0.000521,-0.009392,0.037392
