0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.017501,0.01695,0.00838,0.007566,0.00617,0.006057,-0.002045,0.006402,0.00575,0.00626,0.006981,0.006708,0.015683,0.015771,0.008397,0.016045,0.015082,0.014775,0.000161,-7.5e-05,-0.000704,-0.000776,-0.000544,-0.007892,-0.007002,0.000603,0.000877,0.007937,0.00765,1.8e-05,3.5e-05,0.008084,0.007634,-0.00026,-0.000359,-0.000733,-0.000706,-0.000548,0.000418,0.00793,-0.00061,0.000104,0.00713,0.000638,0.000852,0.001046,-0.000312,-0.014841
-0.019101,-0.014383,-0.004269,0.00301,0.014779,0.015717,0.020882,0.012885,0.01783,0.011869,0.005509,0.006641,-0.007282,-0.008103,-0.00789,-0.009501,-0.001603,0.000987,-0.000308,0.001089,0.005939,0.006617,0.004618,0.004834,-0.002198,-0.004668,-0.006462,-0.004274,-0.001956,0.000574,0.000353,-0.005487,-0.002279,0.002276,0.003068,0.005801,0.005545,0.004323,-0.003079,-0.005164,0.004512,-0.000796,0.000931,-0.004829,-0.006509,-0.007988,0.002001,0.000985
0.028188,0.023118,0.024993,0.022739,0.015111,0.015953,0.012293,0.022619,0.01763,0.011297,0.014523,0.005842,0.010263,0.009417,0.010541,0.017709,0.015918,0.018494,0.018991,0.010694,0.00586,0.0065,0.004518,0.00562,0.008303,0.004995,0.012767,0.013977,0.016178,0.019442,0.019151,0.022108,0.015699,0.011458,0.01217,0.005362,0.005097,0.00396,0.006432,0.003656,-0.005133,-0.000732,-2.4e-05,-0.004445,-0.015315,-0.016732,-0.035608,-0.044461
0.031831,0.305121,0.385335,-0.064669,0.001822,-0.030643,0.00259,-0.021671,-0.026794,0.010609,-0.026308,-0.000746,-0.019021,-0.077091,-0.076951,-0.030813,0.28989,0.068287,-0.066023,-0.047368,0.00211,-0.037227,0.180218,0.004433,-0.034613,-0.035798,0.403819,-0.063421,0.138474,-0.02327,0.005241,0.290606,-0.076713,-0.164769,-1.329277,0.14158,-1.298293,-0.011748,0.015509,0.285756,-1.288152,0.044728,0.646157,1.123641,0.307378,0.237507,0.055517,-0.346964
-0.485791,-0.420301,-0.681013,-0.200821,-0.06418,-0.023551,-0.05894,-0.059705,0.013994,-0.053744,-0.046862,-0.046836,-0.086373,-0.007685,-0.007121,-0.108066,-0.421342,0.105377,-0.121446,0.08742,-0.013626,0.005663,-0.188041,0.01387,0.028381,0.007311,-0.486643,-0.028974,-0.258071,-0.074241,-0.11905,-0.4344,-0.017439,-0.206314,-2.017677,-0.164813,-2.018257,-0.001705,0.026016,-0.332006,-2.042398,-0.049862,-0.762099,-0.022217,-0.016081,-0.356355,0.266233,0.38966
0.162867,-0.059699,0.046278,0.412212,0.13247,-2e-06,0.109613,0.106863,-0.077422,0.102769,0.083375,0.069096,0.005664,0.022475,0.017993,-0.031779,-0.023903,-0.105516,0.218283,-0.167957,0.025871,-0.090868,-0.087386,-0.010175,-0.052948,-0.019916,-0.283905,-0.005496,-0.101527,-0.046687,-0.030626,-0.209764,0.003287,0.167646,1.41195,-0.051973,1.399944,0.027051,-0.241081,-0.157992,1.338169,-0.046545,-0.135941,-0.87973,-0.09114,0.177956,0.368477,0.537623
0.008179,0.01526,0.007886,0.007925,0.01515,0.000553,0.000485,0.007674,0.000393,0.000385,0.00034,0.000314,0.000198,0.000141,-8.6e-05,-9.6e-05,2e-06,0.00721,2.4e-05,0.007335,0.00728,5.2e-05,4.7e-05,1.7e-05,-0.007219,5e-06,0.000134,-0.007131,9e-05,1.4e-05,-6.5e-05,0.007047,0.007224,1e-06,5.8e-05,0.0,-1.1e-05,4.4e-05,0.0,-0.0,5.3e-05,6e-06,1e-06,-0.000145,3.9e-05,4.4e-05,0.000196,0.000492
-0.006996,-0.009201,-0.010225,-0.009751,0.00158,0.001082,0.000238,0.005505,0.005157,0.005106,0.004526,0.004212,0.002688,0.001934,-0.001124,-0.001286,5e-05,-0.000118,-0.005899,-0.004696,0.000854,-0.005559,-0.005582,0.000303,0.000179,9.8e-05,-0.004395,0.001464,-0.004981,0.00024,-0.000873,-0.000837,-0.000183,1.2e-05,-0.005536,2.6e-05,-0.000138,-0.005708,2.1e-05,-1e-06,-0.005567,0.000101,5.4e-05,-0.000254,0.000569,0.000668,-0.003566,0.007237
0.022132,0.019697,0.018727,0.019197,0.011042,0.010754,0.009897,0.005341,0.005109,0.005043,0.004461,0.004139,0.002635,0.001894,-0.001104,-0.001262,4.6e-05,-0.000268,0.00377,0.0048,0.00068,0.004109,0.004089,0.000297,0.000329,9.7e-05,0.005255,0.001585,0.004686,0.000234,-0.000855,-0.001097,-0.000335,1e-05,0.004141,2.6e-05,-0.000134,0.003978,2.3e-05,-0.0,0.004113,9.8e-05,5.3e-05,-0.000378,0.000555,0.000652,0.006067,0.007042
-0.041575,-0.074051,0.10828,0.077723,0.015248,0.137563,0.070215,-0.001984,0.002875,0.002862,0.002692,0.001779,0.005583,0.006554,0.000543,0.000148,0.000106,0.001079,-0.035526,0.046372,-0.006466,-0.035576,-0.043268,-0.010572,-0.003966,-0.000146,-0.039516,0.003238,-0.03634,0.000116,0.000309,4.848331,0.000882,-0.000189,0.164359,-0.002074,-1.8e-05,-0.035858,-0.000153,-0.000102,-0.035722,0.034209,-0.000958,4.817605,-0.005131,0.128345,-0.046126,0.115625
