0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0.001409,0.000932,-0.00471,-0.006235,-0.019524,-0.013389,-0.013754,2.2e-05,4.3e-05,-0.000278,-0.006476,-0.006581,0.000137,0.00676,0.013396,0.013335,0.007767,0.006791,0.007419,0.006835,0.0065,0.013694,-0.000161,0.006586,0.014251,0.007316,0.007325,0.007281,0.006465,0.006384,-0.000371,0.00581,0.005433,0.005505,-0.001137,-0.000157,7.8e-05,-0.006161,-0.005802,-0.006054,-0.006253,0.000438,-0.000143,6e-06,0.006108,0.006205,0.006266,0.006358,0.013437,0.006845,-0.000162,-0.005954,-0.000644,-0.000691,0.000151,-0.000881,-0.001151
-0.009876,-0.006315,-0.016331,-0.003731,-0.006253,-0.000727,0.002072,-0.000452,-0.000641,0.003078,-0.001528,-0.000313,0.000554,0.001441,0.002399,0.002951,-0.006834,0.001831,-0.003525,0.00103,0.003057,-0.001547,0.001511,0.001081,-0.006217,-0.00412,-0.004242,-0.003885,0.002447,0.00328,0.003592,0.008291,0.011168,0.010024,0.00959,0.001785,-0.000192,-0.003419,-0.005946,-0.003753,-0.001957,-0.002671,0.001862,0.000562,0.00412,0.00323,0.00268,0.001845,-0.002407,-0.002199,0.000924,-0.005852,0.004387,0.004462,-0.002149,0.006614,0.00834
0.026336,0.020614,0.021831,0.01477,0.014107,0.009275,0.002958,-0.000362,-0.000513,0.002416,0.007928,0.008858,0.008875,0.008903,0.008973,0.009382,0.01931,0.017473,0.021756,0.016783,0.009939,0.005891,0.001109,0.000167,0.010714,0.01288,0.012792,0.013047,0.009358,0.009991,0.010778,0.013538,0.015508,0.014569,0.006708,0.009335,0.007955,0.006306,0.012643,0.014145,0.015352,0.01426,0.009278,0.008391,0.002194,0.001587,0.001218,0.000655,-0.002768,-0.00206,-0.007388,-0.011403,-0.021097,-0.021106,-0.017629,-0.019672,-0.018529
0.077658,0.6058,-0.8609,1.3878,-0.082143,-0.046286,-0.00076,-1.357217,-1.369207,-0.063782,-0.082133,-0.032527,-2.666555,-0.032062,-0.035929,-0.037219,-0.902576,0.07706,-0.113091,-0.859394,-0.030264,-2.57338,0.003293,-0.125192,-0.068911,-0.1336,-0.133722,-0.06793,-1.361943,-0.155941,-1.354652,-2.264641,-1.144148,-1.345529,0.011794,-0.031825,0.306765,0.134963,-0.441761,0.021926,0.019625,-0.081657,-0.046254,-0.034058,-0.007939,0.004006,-0.008073,0.011954,0.002568,-0.004177,0.06969,0.152566,2.040564,0.664009,0.073007,1.865918,1.270409
-0.784449,-0.883828,-0.66322,1.82757,-0.049767,0.031355,0.02508,-2.035042,-2.017086,0.063766,0.067435,-0.006776,-1.205403,-0.021096,-0.038742,-0.021198,-0.426654,-0.29005,-0.008652,-0.448756,-0.033569,-1.415282,0.004511,-0.20714,-0.028692,-0.055048,-0.055507,-0.014375,-2.038718,-0.22647,-2.032599,-1.746244,-1.25143,-2.063777,-0.02665,-0.003182,-0.330115,-0.169354,-0.78094,-0.188053,-0.095388,0.016001,0.083835,-0.006016,0.061456,-0.027899,0.061285,-0.022202,-0.017637,-0.01049,-0.013645,-0.103238,1.465582,-0.284135,-0.084841,1.65499,2.315713
-0.617022,-0.329884,-1.211905,-1.198555,0.078261,-0.042397,-0.030182,1.253206,1.278716,0.072298,0.021208,0.001086,-4.853827,0.03526,0.053128,0.079836,-1.393358,-0.215704,0.023431,-1.359791,0.061929,-4.661812,-0.002016,0.15189,0.030582,-0.11365,-0.113481,0.015318,1.372496,0.18797,1.366319,-4.670987,-0.884563,1.425443,0.047175,0.003412,-0.159436,-0.129879,-1.645094,0.086094,-0.083474,-0.015931,-0.170328,0.006631,-0.121452,0.055568,-0.12187,0.029155,0.032778,0.029825,-0.000399,-0.146633,5.016731,0.160315,0.125685,5.059114,-1.024186
0.007577,0.007431,0.000521,0.007006,0.006644,-6e-05,-1.4e-05,-4e-06,1.2e-05,-9e-06,-9.2e-05,-0.006811,-0.006828,0.006622,0.006569,-9.3e-05,0.006674,-6e-05,-5.3e-05,-8.3e-05,-3.3e-05,-6.5e-05,-0.000128,0.006647,-1.5e-05,3.7e-05,7.7e-05,0.006642,-0.000102,-1.2e-05,-7e-06,-8.8e-05,-9.3e-05,-1e-05,-5.9e-05,-0.000108,-0.000113,-2.2e-05,-8e-06,2e-06,8.7e-05,-5.4e-05,-6.6e-05,-6.3e-05,-5.6e-05,-0.006745,-9.8e-05,-1.6e-05,-3.1e-05,2.2e-05,7e-05,0.006617,0.006708,9.2e-05,0.006833,0.000148,0.000108
0.009071,0.002802,0.000237,-0.001365,6.2e-05,-0.005733,-9.8e-05,-1.9e-05,0.00014,-0.005282,-0.000965,-0.00162,-0.001777,-0.000409,-0.000971,-0.000985,0.000127,-0.000625,-0.00054,-0.000858,-0.005567,-0.00067,-0.001347,-0.000318,-0.005452,0.000411,0.000854,-0.000355,-0.001115,-0.000132,-8.2e-05,-0.000976,-0.001026,-0.000114,-0.000659,-0.001183,-0.001242,-0.00024,-8.3e-05,2.6e-05,0.000965,-0.000575,-0.000715,-0.000684,-0.000611,-0.000596,-0.001082,-0.000177,-0.000348,0.000231,0.000757,-0.000831,0.000171,-0.004269,0.00161,0.001655,0.001218
0.006617,0.010192,0.008415,0.007083,-0.0001,0.004016,-7.8e-05,-1.8e-05,9.8e-05,0.004355,-0.000709,-0.001051,-0.001168,-0.000442,-0.000858,-0.000728,-5e-05,-0.000462,-0.0004,-0.000635,0.004154,-0.000495,-0.000995,-0.00038,0.004243,0.000304,0.000631,-0.000408,-0.000823,-9.8e-05,-6.1e-05,-0.000721,-0.000759,-8.4e-05,-0.000487,-0.000876,-0.000919,-0.000179,-6.2e-05,1.8e-05,0.000716,-0.000426,-0.000527,-0.000507,-0.000452,-0.000298,-0.000803,-0.000132,-0.00026,0.000172,0.000563,-0.000763,-1.7e-05,0.005124,0.001049,0.001222,0.000899
-0.007814,-1.441179,-0.024179,-0.033769,-0.008208,-0.010916,0.158624,0.208017,-0.010842,-0.04096,0.000398,-0.001345,-0.001411,0.004756,0.001711,-0.010881,0.000602,0.210831,-0.011946,0.063829,-0.036749,-0.003261,-0.000179,-0.010513,-0.03575,0.000192,-0.012239,0.000942,-0.000563,0.000148,0.000105,7.7e-05,-0.000673,4.3e-05,0.005156,1.8e-05,2.8e-05,4e-05,-1.6e-05,-5e-06,0.000741,-3e-06,4e-06,1.1e-05,8e-06,-0.000968,0.024956,-0.000941,9e-05,7.7e-05,6.1e-05,0.00104,-0.009175,-0.039457,-0.00869,-0.006801,-0.00086
