0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
-0.016836,-0.015759,-0.007036,-0.00657,0.001732,0.009348,0.009232,0.015475,0.007493,0.006399,0.006629,0.00736,0.007331,0.007315,0.00786,0.007899,0.015386,0.015446,0.007958,0.007059,0.006936,0.00676,0.006757,0.007441,0.00754,0.008251,0.007582,0.007539,0.000122,0.008385,0.007483,0.006693,0.006708,0.006813,0.006864,0.006969,-0.001248,0.006561,0.006517,0.000135,0.001142,0.002072,-0.012043,0.007521,-0.000718,-0.00022,0.001375,-0.007224,-0.008698,-0.002427,-0.010272,-0.009684
0.015111,0.003729,-0.007032,-0.010883,-0.015094,-0.01278,-0.011238,0.000611,0.003169,0.011785,0.008815,0.00203,0.002325,0.002368,-0.001961,-0.002471,-0.002054,-0.002706,-0.003088,0.004851,0.00612,0.00764,0.007423,0.001652,0.000622,-0.005281,5.4e-05,0.000423,-0.000321,-0.006649,0.000757,0.007108,0.006807,0.005696,0.005166,0.004162,0.010061,0.007353,0.007576,-0.000763,-0.008638,-0.015883,-0.022401,-0.000776,0.005515,0.001377,-0.011422,-0.003139,0.008255,0.017496,0.020066,0.015363
-0.011982,-0.014664,-0.007154,-0.001261,0.014067,0.026276,0.028036,0.019641,0.013022,0.001978,-0.001386,0.001299,0.001632,0.001674,0.007128,0.006537,0.005962,0.005258,0.005828,0.004397,0.005787,0.007462,0.007175,0.010985,0.009838,0.01352,0.009171,0.00956,0.009734,0.011977,0.009854,0.006597,0.006239,0.005038,0.004465,0.003386,0.000636,0.006694,0.00691,0.009075,0.010762,0.013118,0.008354,-0.001815,-0.00415,-0.008462,-0.011989,-0.022282,-0.030247,-0.041552,-0.048081,-0.043262
-0.182626,-0.170332,-0.278715,-3.304772,0.128546,-0.980651,-0.009871,-0.03476,-0.034784,0.031768,0.05232,0.01739,-0.012857,-1.131693,-0.016686,0.133965,-0.492486,-0.044952,-0.039716,-0.370295,-0.823494,0.007124,0.008408,-0.02843,-0.030716,-0.068667,-0.039479,-0.040192,0.444127,0.329994,0.478606,0.498296,0.105135,0.01751,0.012831,0.005682,0.040993,0.009315,-0.372328,-0.008592,0.003383,0.25392,0.206012,-0.592671,0.775446,0.624101,0.420309,-0.272808,1.342867,0.221255,0.64899,0.758318
-0.670287,-0.548867,-0.436934,-1.990767,-0.469087,-0.798212,-0.260143,-0.09693,-0.029156,0.04982,-0.039136,-0.031147,-0.035582,-2.062566,-0.103064,-0.177599,-1.007164,-0.011351,-0.018125,-0.706682,-0.655254,-0.038937,-0.022458,-0.034732,-0.032669,-0.012933,-0.013003,-0.016248,-0.457821,-0.409223,-0.523234,-0.507654,-0.126652,-0.123524,-0.014491,-0.026924,-0.01716,-0.037759,-0.72468,-0.040616,-0.082328,-0.372987,-0.428457,-2.890815,-0.893651,-0.854295,0.384351,0.250803,2.284424,0.365005,1.647058,2.509689
0.744894,0.239393,0.073536,-3.786251,0.100194,-1.200019,0.056151,0.058346,0.06147,-0.069985,0.07945,0.049844,0.014578,1.47871,0.179534,-0.098062,-1.474659,0.041182,0.020605,0.528883,-1.239724,0.062437,0.050722,0.058755,0.019625,0.015322,0.034306,0.0238,-0.243899,-0.21328,-0.248396,-0.209903,-0.01688,0.23053,0.048479,0.055075,0.044303,0.077186,0.556417,-0.025088,-0.07583,-0.335019,-0.152257,1.279613,-0.063147,0.093368,1.753099,0.281563,-1.070109,0.562956,1.6087,-0.574286
0.007562,0.007588,0.007643,0.007634,-0.007138,-0.00708,-0.006974,0.000718,0.00062,0.007764,2.6e-05,0.00725,-9e-06,4e-06,-0.007377,2.4e-05,0.007393,0.00739,0.0074,-2.3e-05,-5.4e-05,0.00741,-6.5e-05,-1e-05,2e-06,0.0,-2.5e-05,-1e-06,6.6e-05,8e-06,9.5e-05,0.000103,6.4e-05,1.8e-05,-4e-06,-3e-06,-2.1e-05,-2e-06,1e-06,3e-05,2.5e-05,5.5e-05,0.000148,1.3e-05,8.8e-05,0.000128,0.000194,0.00018,0.000212,0.007716,0.007802,0.015508
-0.005269,-0.005206,-0.004207,0.002192,-0.001668,-0.007262,-0.005858,-0.003068,-0.004272,-0.002628,0.000477,-0.002886,-0.000118,5.4e-05,-0.005065,0.000345,-0.001031,-0.001076,-0.000993,-0.00033,-0.000758,-0.000921,-0.000902,-0.000124,3e-05,1.2e-05,-0.000346,7e-06,-0.005587,0.000151,0.001391,0.001525,0.00094,0.000283,-4e-05,-2.4e-05,-0.000309,9e-06,3.3e-05,0.000451,0.000351,0.0008,-0.004391,0.000225,0.001308,0.00189,-0.003722,0.00263,0.003124,-0.00296,-0.001671,0.002289
0.004274,0.004352,0.005473,0.002337,0.008655,0.012694,0.014277,0.017236,0.015835,0.007225,0.000523,-0.003352,-0.000133,5.8e-05,0.004793,0.000384,-0.001287,-0.001339,-0.00125,-0.00037,-0.000847,-0.001177,-0.001008,-0.000138,3.3e-05,1.2e-05,-0.000384,8e-06,0.004068,0.000166,0.001547,0.001697,0.001045,0.000315,-4.5e-05,-2.7e-05,-0.000344,1.2e-05,3.7e-05,0.000499,0.000389,0.000887,0.005399,0.000252,0.001452,0.002093,0.00614,0.002902,0.003444,0.006805,0.008209,0.012336
0.037699,0.074064,-0.022463,0.074163,0.222502,-0.038283,-0.115895,0.010163,-0.041025,-0.326065,0.022711,0.024078,3.6e-05,0.000826,-0.030785,-0.004588,-0.004297,0.00079,0.001348,0.000334,0.07932,-0.000191,-0.000177,-0.005084,-0.037669,-0.007945,-0.004561,-0.000327,-0.042428,-0.009983,0.027294,0.000291,-0.0004,0.000484,0.00041,-0.000295,0.00024,0.000276,0.000194,-0.010304,0.013679,-0.006793,-0.046822,-0.008344,-0.012495,0.010006,-0.036247,-0.002069,-0.010905,-0.039333,0.26164,-0.053383
0.207888,2.012766,0.182637,0.286284,0.786856,0.230167,0.032307,0.166111,0.104408,1.48136,0.059159,0.065899,-0.00201,-0.000685,-0.076998,-0.006455,-0.006721,-0.016019,-0.014933,-0.000399,0.176313,-0.016692,0.013734,0.012166,0.142068,-0.009583,-0.006186,-0.00118,0.004179,-0.011366,0.082224,0.014415,-0.001743,-0.000281,-0.000214,-0.111131,-0.000316,-0.000272,-0.000104,0.0408,0.053386,-0.007853,-0.016418,0.006019,-0.005796,0.047936,0.011241,-0.018999,-0.021044,-0.006274,0.558742,0.193351
0.147378,-1.987413,-0.09459,0.028949,-0.015708,-0.148069,-0.031182,0.115954,0.049705,-2.293003,0.044183,0.048774,-0.001385,-0.000695,0.121014,-0.003354,0.002354,0.028827,0.029293,0.00022,0.104593,0.028449,-0.023082,0.010286,-0.224489,-0.004405,-0.003125,-0.000762,-0.022043,-0.005191,0.051347,0.046201,-0.001148,-0.000356,-0.000292,0.165986,-0.000339,3.1e-05,-0.000119,-0.06145,0.034089,-0.003611,0.005426,0.006862,-5.3e-05,0.031772,-0.019291,0.022573,0.024483,0.047808,0.353718,-0.059568
