0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
-0.033389,-0.025453,-0.025119,-0.016865,-0.016445,-0.016576,-0.008236,-0.007874,0.000166,0.000172,0.016229,0.01642,0.02434,0.024665,0.024829,0.032895,0.032869,0.033379,0.025501,0.025636,0.025911,0.017984,0.002511,0.010288,0.002939,0.002553,-0.004898,0.002631,-0.005228,-0.005423,-0.005535,-0.006,-0.006579,-0.007011,-0.006919,-0.00734,0.000227,0.000198,0.000314,0.000302,0.00048,-0.00673,0.00074,-0.0064,-0.00613,0.001285,-0.00593,-0.005959,-0.005975,-0.006091,-0.005869,0.001381,0.001283,0.001206,0.001272,0.001041,0.00085,0.000939,0.00109,0.00113,-0.006124,-0.006203,0.000858,0.000639,-0.006372,0.000393,0.000276,0.000447,0.000388,-5.3e-05,-0.000165,-0.000175,-0.000222,-0.000319,-0.000342,3.6e-05,6.9e-05,0.000111,8e-05,-0.000204,-0.000327,-0.000326,-0.000309,3.9e-05,-7.5e-05,-0.000161,-0.000166,-0.000528,-0.000594,-0.000775,-0.000644,-0.001052,-0.001039,-0.007868,-0.000141,-0.000251,0.000388,0.001053,0.001653,0.00179,0.001943,0.001765,0.001731,0.001663,0.001214,0.000951,0.007901,0.000754,0.007612,0.007953,0.000949,0.008402,0.000977,0.000902,0.000488,0.000425,0.000382,0.00035,0.000338,0.000261,0.000278,0.000196,3.7e-05,-0.000361,-0.00045,-0.000828,-0.001173,0.005806,0.005789,0.005819,0.005508,0.005397,0.01236,0.012208,0.011866,0.018763,0.019117,0.019084,0.019175,0.026147,0.026497,0.033937,0.027459,0.034932
0.015143,0.015769,0.010919,0.006463,0.002349,0.008626,0.00465,6.9e-05,0.001092,0.001152,-0.003937,-0.002558,-0.002153,-0.006865,-0.005305,-0.002936,-0.001949,-0.005087,-0.002652,-0.00251,-0.007197,-0.006192,-0.006017,-0.005262,-0.009571,-0.004165,-0.010927,-0.013352,-0.015789,-0.018652,-0.020215,-0.016533,-0.004409,0.001222,0.000582,0.00455,0.003111,0.002685,0.004193,0.013643,0.015983,0.021199,0.030106,0.024764,0.018194,0.016956,0.010556,0.01003,0.009494,0.00768,0.001206,-0.00053,-0.001713,-0.002665,-0.001812,0.004486,0.011339,0.012554,0.014657,0.015269,0.015103,0.013869,0.01159,0.008645,0.001696,0.005365,0.00381,-0.0032,-0.004013,-0.000633,-0.002224,-0.00238,-0.003072,0.005007,0.004692,0.000446,0.000921,0.0015,0.001102,0.006608,0.004911,0.004905,0.005108,0.00047,-0.00104,-0.002241,-0.002325,0.002107,0.001183,-0.001302,-0.00887,-0.004971,-0.00475,-0.0088,-0.011263,-0.003391,-0.004131,-0.004523,-0.00567,-0.003691,-0.001359,0.00597,0.005579,0.004847,0.008199,0.004466,0.00188,0.001619,0.007961,0.003272,0.005019,0.000874,0.005803,0.004602,0.008324,0.007243,0.006509,0.005962,0.00579,0.004487,0.004801,0.003383,0.000652,0.004545,0.002963,0.007111,0.011815,0.011844,0.010572,0.011194,0.016743,0.016028,0.015154,0.01347,0.018822,0.018016,0.012528,0.012194,0.012155,0.012451,0.007372,0.003615,-4.3e-05,-0.004914
-0.025201,-0.024942,-0.019827,-0.01457,-0.008287,-0.011332,-0.005157,0.000487,0.001714,0.001801,0.005897,0.007971,0.008139,0.013445,0.015675,0.018563,0.019999,0.027334,0.03101,0.031171,0.036138,0.037615,0.038935,0.039116,0.045137,0.040384,0.043314,0.039187,0.036454,0.032676,0.030661,0.024156,0.017169,0.012815,0.012288,0.006179,0.003818,0.00329,0.005117,0.005716,0.008507,0.015142,0.013823,0.018858,0.021428,0.019173,0.022587,0.021879,0.021062,0.018917,0.021961,0.019482,0.018143,0.017083,0.017943,0.014523,0.011643,0.012834,0.014818,0.015258,0.015406,0.014104,0.011261,0.008333,0.011583,0.005127,0.003626,0.006372,0.005599,-0.000604,-0.002118,-0.002266,-0.002931,-0.004656,-0.004958,0.000425,0.00088,0.001431,0.001049,-0.003127,-0.004744,-0.004749,-0.004553,0.000447,-0.000992,-0.002138,-0.002222,-0.007422,-0.008312,-0.010714,-0.008588,-0.014384,-0.014208,-0.008193,-0.001553,-0.003373,0.005535,0.014778,0.023215,0.025119,0.027259,0.024652,0.024185,0.023305,0.016945,0.013393,0.010489,0.010713,0.006737,0.011658,0.013674,0.01853,0.014218,0.013125,0.007288,0.006304,0.005651,0.00515,0.004982,0.003845,0.004106,0.002885,0.000554,-0.005042,-0.006387,-0.011758,-0.01665,-0.017122,-0.018364,-0.017769,-0.021916,-0.022421,-0.023779,-0.025183,-0.029477,-0.030704,-0.026658,-0.026924,-0.027104,-0.027475,-0.02303,-0.018018,-0.011733,-0.00779
-0.22735,-0.025729,-0.307209,-0.109052,-0.251581,0.035544,0.048754,0.006904,0.164796,0.273927,0.324568,0.077209,0.34116,0.433072,0.234056,0.087107,-3.75885,-0.61423,-3.045793,-0.267275,-0.351404,-2.652057,-0.652939,-0.850585,-0.373791,-0.150593,-0.185623,-0.185116,-0.17572,-0.177578,-0.178723,-0.36103,-0.099591,-1.630786,-0.053276,0.272336,-0.014817,-0.014912,-0.00946,0.043895,0.029991,-0.087051,-1.265492,0.045092,-0.026772,-0.074305,-0.033698,-0.029918,-0.044108,0.372027,0.147629,0.168609,0.447329,0.101865,0.436443,0.220681,0.090988,0.205395,0.137725,-0.01887,-0.005968,-0.009651,-0.006402,-0.008207,-0.046658,0.001891,-0.007483,-0.040852,-0.063736,-0.415817,0.06396,0.290204,0.204787,0.27832,0.465784,0.213475,-0.0228,-0.010158,0.00582,0.031545,0.035664,0.02463,0.036624,0.000154,9e-05,-0.001678,-0.013596,0.033213,0.02256,0.033703,-0.163273,-0.035277,0.043023,-0.005416,-0.038255,-0.001904,-0.036503,-0.070822,0.387215,0.132223,0.550436,0.534573,0.453036,-0.098004,-0.035979,-0.044559,-0.032204,-0.032593,0.005781,-0.030664,-0.041722,-0.074735,-0.056577,0.364373,0.009279,-0.005819,0.000467,0.001932,0.001894,0.345716,-0.011184,0.335209,0.029305,0.430941,0.071302,0.055389,0.09092,1.396785,-0.62048,-1.190505,-1.174032,-0.601681,-1.62754,-0.59558,-0.38321,0.043472,-0.952597,0.073969,-1.527102,-1.64892,-0.05665,0.026875,0.004113,0.764955
0.734529,0.413195,0.657232,-1.563224,0.442714,-0.019686,-0.010402,-0.102468,-0.249926,-0.457523,-1.253737,-0.360375,-0.68997,-0.817921,-0.803466,-1.438218,-3.921082,-2.116582,-4.434013,-1.007419,-0.781629,-3.345832,-2.173059,-1.00663,-0.300259,-0.04875,0.109039,0.107973,0.014804,0.030146,0.048427,-0.253124,-0.01519,-3.915151,0.004436,-0.222605,-0.00316,-0.056657,-0.056117,-0.03029,-0.100701,-0.377184,-3.759567,-0.06479,-0.15666,-0.339993,-0.041788,-0.027305,-0.079097,-0.232255,-0.185015,-0.248258,-0.445918,-0.202109,-0.44737,-0.247302,-0.123175,-0.230962,-0.17261,0.051666,-0.022754,0.07531,0.05881,0.072617,0.099445,-0.013665,-0.011588,0.002808,0.112701,-2.354688,-0.076581,-0.253117,-0.19731,-0.338519,-0.376964,-0.207445,-0.014866,-0.020942,-0.022861,-0.006293,-0.011299,0.09017,-0.01048,0.000974,0.00065,0.015113,0.115639,0.000148,0.103483,0.018909,0.497086,0.10493,0.013998,0.043691,0.025944,0.014015,0.011511,-0.020765,-0.432646,-0.258345,-0.608868,-0.576452,-0.588514,-0.01205,-0.038376,0.083687,-0.015597,-0.015247,-0.042331,-0.031113,-0.012707,-0.041917,0.054637,-0.351461,-0.051546,-0.022188,-0.011588,-0.012766,-0.013126,-0.297468,-0.009587,-0.293778,-0.054621,-0.265688,-0.060442,0.002499,-0.022907,2.072825,-2.423887,-1.988345,-2.060918,0.501526,-2.082779,0.649068,0.829768,1.548413,-0.63478,1.422724,-2.713399,-2.815542,-0.311853,-0.140095,-0.384721,2.025645
0.429495,-0.026145,0.372103,2.208287,0.241635,0.170434,-0.021749,0.127624,-0.158537,-0.35664,0.495423,0.06046,-0.148462,-0.273682,0.103224,-0.166647,-2.330286,-0.752633,-3.168891,0.503029,0.445155,-3.41084,2.004068,-1.081058,-0.321941,0.018022,-0.163875,-0.154776,-0.017226,-0.041706,-0.070067,-0.417906,-0.056782,-3.951076,0.000138,-0.152753,0.016689,0.073766,0.069543,0.055925,0.133846,-0.276533,-3.75023,0.106144,-0.014757,0.178036,0.062691,0.047886,0.101199,-0.325326,-0.10924,-0.116507,-0.232643,-0.127161,-0.23264,-0.12051,-0.028242,-0.031551,0.013213,-0.072525,0.0479,-0.122904,-0.094505,-0.120148,-0.167209,0.025709,0.02467,0.005062,-0.194047,1.502727,-0.095971,-0.196669,-0.171417,0.0351,-0.204001,-0.139837,-0.028673,-0.030337,-0.024587,0.021776,0.022613,-0.150809,0.019407,0.001282,0.000863,-0.024078,-0.195403,-0.004617,-0.177583,-0.032281,0.474512,-0.005272,-0.032642,-0.080433,-0.043374,-0.025704,-0.018113,-0.004679,-0.223343,-0.147757,-0.290287,-0.242088,-0.01824,0.03064,0.08709,-0.136458,0.039847,0.034606,0.080924,0.062855,0.031706,0.052768,-0.140376,-0.138017,0.02192,0.051177,0.027386,0.026854,0.026316,-0.111638,0.021504,-0.113627,-0.054639,-0.37893,-0.069938,-0.012696,0.037028,-1.157865,-4.788517,-4.424877,-4.424369,0.33804,-4.01366,0.434087,-0.04367,-2.134703,-0.643048,-2.487206,-4.500836,-4.269403,-0.29514,0.011062,-0.365413,-1.565027
0.048308,0.048168,0.048543,0.04042,0.048318,0.040062,0.039452,0.03934,0.022495,0.013589,-0.011302,-0.028083,-0.036405,-0.052588,-0.059612,-0.066522,-0.066185,-0.080449,-0.079624,-0.078916,-0.07817,-0.084984,-0.076335,-0.068248,-0.082798,-0.082219,-0.074388,-0.074318,-0.067036,-0.067302,-0.067343,-0.067536,-0.059887,-0.05199,-0.043993,-0.051372,-0.043373,-0.036362,-0.028768,-0.014088,-0.006887,-0.007369,0.007181,-0.000305,0.007175,0.007298,0.007417,0.007435,5e-06,-0.000383,-0.000425,0.006897,0.007,-0.000313,0.007511,0.007475,-5e-06,0.00745,0.007438,0.007457,0.007466,0.00712,0.00746,0.007461,0.007447,0.00762,0.007487,0.007435,0.007448,0.007472,0.007472,0.007357,0.007301,0.007274,0.00726,0.007117,0.007163,0.0073,0.007371,0.007482,0.007505,0.007502,0.007448,0.015224,0.007498,0.007499,0.007497,0.007497,5e-05,0.007499,-1e-06,-4e-06,0.0075,1e-06,-1e-06,0.007501,8e-06,0.0,-9.8e-05,-9.6e-05,-1.1e-05,-2.4e-05,0.007383,-8.9e-05,-1.7e-05,7.5e-05,9.9e-05,-0.0,-1e-06,-0.0,-6.1e-05,-1e-06,-4.2e-05,-0.000267,-0.000139,-0.00014,-0.000235,-0.000126,-0.00012,-2.1e-05,4e-06,2e-06,-1e-06,-2e-06,-4e-06,-6.8e-05,0.007337,-0.000155,0.007427,0.007767,0.00757,0.000247,0.0002,0.000252,0.000206,0.007904,0.007688,0.007897,0.015383,0.007604,0.01526,0.015262,0.007637,0.007652
0.026036,0.027742,0.021733,0.016547,0.020567,0.019327,0.025349,0.025232,0.025555,0.032037,0.032076,0.034194,0.035783,0.037225,0.034209,0.030537,0.031598,0.021318,0.024353,0.02032,0.023339,0.024158,0.023517,0.022553,0.022202,0.019694,0.012134,0.009137,0.004794,0.002338,0.00204,0.000998,0.001397,0.007445,0.008975,0.005339,0.011178,0.003676,0.007614,0.004923,0.003092,0.001142,-0.001884,-0.001218,-0.001937,-0.001456,-0.000973,-0.000901,1.5e-05,-0.005921,-0.006101,-0.007496,-0.007078,-0.005633,-0.000637,-0.000797,-1e-05,-0.000905,-0.000966,-0.000881,-0.000849,-0.006692,-0.000873,-0.000855,-0.000921,-0.000237,-0.000745,-0.000969,-0.000907,-0.000799,-0.000798,-0.001324,-0.001587,-0.001722,-0.001804,-0.002499,-0.002306,-0.001665,-0.001319,-0.000776,-0.000649,-0.000664,-0.000934,0.004421,-0.000677,-0.000677,-0.000671,-0.000667,6.2e-05,-0.000654,3e-06,-3.5e-05,-0.000642,1.1e-05,-2e-06,-0.000641,3.9e-05,-7e-06,-0.000541,-0.000527,-6e-05,-0.000138,-0.001292,-0.000493,-0.000106,0.000404,0.000544,-1e-06,-2e-06,3e-06,-0.000323,5e-06,-0.000231,-0.006127,-0.00076,-0.000771,-0.001282,-0.000695,-0.000653,-0.000114,3e-05,1.5e-05,3e-06,2e-06,-1.7e-05,-0.000369,-0.001611,-0.000846,-0.001373,0.005185,-0.000331,0.006066,0.005823,0.005865,0.005838,0.011042,0.005166,0.011113,0.010573,0.004845,0.010089,0.010248,0.005219,0.005373
-0.042953,-0.040739,-0.023657,-0.004037,-0.01238,-0.013603,-0.017204,-0.017708,-0.014976,-0.015801,-0.011702,-0.005665,-0.001688,0.003028,0.012132,0.018492,0.019486,0.029668,0.03247,0.037913,0.04025,0.039831,0.036726,0.034277,0.032731,0.027894,0.028528,0.023566,0.017112,0.013268,0.01257,0.010672,0.010964,0.007629,0.009598,0.015432,0.011983,0.013719,0.007891,0.00532,0.00346,0.000976,-0.0019,-0.00154,-0.001988,-0.001385,-0.000777,-0.000688,1.2e-05,0.003585,0.003357,0.002039,0.002568,0.003953,-0.000358,-0.000566,-1.7e-05,-0.000707,-0.00079,-0.000685,-0.00065,0.003033,-0.000697,-0.000684,-0.000769,-6e-06,-0.000562,-0.000853,-0.00078,-0.000647,-0.000653,-0.001322,-0.001662,-0.001838,-0.001948,-0.002841,-0.002605,-0.0018,-0.001364,-0.000682,-0.000528,-0.000552,-0.000904,-0.004939,-0.000592,-0.000596,-0.000592,-0.000591,8e-06,-0.00058,-0.0,-5e-05,-0.000572,1.2e-05,-6e-06,-0.000575,4.5e-05,-1e-05,-0.00069,-0.000669,-7.7e-05,-0.000179,-0.001398,-0.000629,-0.000136,0.000514,0.000694,-0.0,-2e-06,7e-06,-0.000408,7e-06,-0.000294,0.003333,-0.000971,-0.000985,-0.00164,-0.000888,-0.000834,-0.000143,4.2e-05,2.1e-05,1.1e-05,9e-06,-1.9e-05,-0.000472,-0.001816,-0.001085,-0.001561,-0.004325,-0.000178,-0.003411,-0.003724,-0.00367,-0.003703,-0.00798,-0.004342,-0.007903,-0.008386,-0.004774,-0.009034,-0.00885,-0.004321,-0.004126
-0.331965,-0.429746,-0.679708,-0.732882,-0.724723,-0.588393,-0.860338,-0.842331,-4.999441,-1.38817,-0.839275,-3.71049,-3.440771,-3.863206,-3.386412,-0.450562,-0.442414,-3.126415,-2.763594,-3.212486,-0.381871,0.519428,0.611651,0.840389,0.479127,0.541304,-1.072361,-0.022441,0.076421,0.432073,0.230041,0.540745,0.463819,0.307451,-0.043586,0.0546,0.389597,0.162367,0.108409,-0.069285,-0.010665,0.002603,0.015294,0.003633,0.002355,0.002421,-0.002973,0.003426,0.001045,-0.033458,-0.034708,-0.033752,-0.033779,-0.034776,-0.021762,0.00106,0.000674,0.001846,-0.020142,-0.021049,0.001339,-0.03315,-0.021619,0.003079,0.001301,3.569959,0.000846,0.002165,-0.28396,0.000778,0.000869,0.000897,0.000817,0.001185,0.00088,0.001367,0.00707,0.000994,-0.022837,0.318811,0.002588,7.8e-05,0.009064,0.03685,-0.289007,0.000917,0.000938,0.00043,3.473898,0.000114,-0.000768,-0.000587,0.002307,-0.000602,-0.000607,0.000562,-0.000272,-0.000197,-0.000119,-0.000105,-5.6e-05,-3.2e-05,0.000961,-1.8e-05,-1.4e-05,-1.3e-05,-1.6e-05,-7e-06,-1.3e-05,1e-06,-7e-06,-6e-06,-0.0,-0.035139,1e-05,-2e-06,-0.00038,8e-06,6e-06,-2e-06,0.318089,-9.4e-05,-3.5e-05,-3.8e-05,-0.00027,-0.000106,0.003044,-0.000527,3.493819,3.530618,0.094871,0.035801,0.128827,3.57041,1.102241,1.153174,0.130379,-0.294846,0.050273,-0.149484,0.069399,0.07894,0.018742,-0.117697
