0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
0.009835,0.009864,0.009255,0.001805,0.001796,0.001191,0.001189,0.008641,0.008611,0.001143,0.000495,0.008595,0.000516,0.000483,0.00049,0.009178,0.00857,0.009242,0.0093,0.009318,0.000612,0.0087,0.008718,0.00933,0.008661,0.000504,0.001087,0.000382,0.000326,-0.000324,0.000337,-0.000298,0.007803,-0.00027,-0.000208,-0.000111,-0.000116,0.008039,0.000704,0.008077,0.008696,0.008042,0.008659,0.007965,0.000492,0.000473,0.007828,0.000417,-0.000245,0.000401,0.000398,-0.000372,-0.008428,0.00027,-0.000378,-0.007698,-0.000184,0.000483,-0.000129,0.000606,0.000638,2.5e-05,0.000634,-6e-05,-3.3e-05,0.0,-2.2e-05,-3.2e-05,-1.9e-05,-3.4e-05,-2.2e-05,2e-06,3e-06,2e-06,4.5e-05,5.3e-05,0.000157,-0.000384,0.007661,0.007765,-0.000238,-0.000843,-0.000773
-0.016347,-0.016494,-0.010717,-0.016559,-0.01643,-0.01095,-0.010796,-0.004464,-0.003655,-0.009883,-0.003784,-0.003357,-0.004221,-0.003548,-0.003691,-0.008317,-0.002913,-0.009159,-0.00985,-0.01003,-0.005419,-0.004359,-0.004496,-0.009694,-0.003602,-0.003929,-0.008684,-0.00234,-0.001609,0.003989,-0.001739,0.003679,0.004353,0.003317,0.002624,0.001302,0.001358,0.001266,-0.005366,0.000833,-0.004275,0.001279,-0.003782,0.002101,-0.003665,-0.003485,0.003314,-0.002885,0.002573,-0.002731,-0.002679,0.003929,0.003033,-0.001333,0.003989,-0.003026,0.001901,-0.003587,0.001326,-0.00491,-0.005271,-0.000331,-0.005231,0.00063,0.000349,-7e-06,0.000259,0.000365,0.000218,0.000365,0.000243,-2.4e-05,-1.2e-05,-2e-05,-0.000486,-0.000572,-0.001726,0.002459,0.003389,0.002295,0.000907,0.005781,0.005151
0.011415,0.011186,0.007445,0.012366,0.012553,0.008369,0.008599,0.004381,0.005616,0.009958,0.006692,0.006037,0.005874,0.007058,0.006837,0.010947,0.006661,0.009668,0.008629,0.008348,0.004239,0.004454,0.004244,0.008801,0.005567,0.006437,0.011657,0.008787,0.009847,0.005867,0.009627,0.005369,0.00498,0.004813,0.003788,0.001879,0.001955,0.000475,0.004219,-0.000161,0.004509,0.000471,0.005203,0.001643,0.006736,0.006992,0.003337,0.007843,0.003668,0.00805,0.008118,0.005563,0.005638,0.009958,0.00559,0.008905,0.002648,0.006765,0.001842,0.004927,0.004423,-0.000458,0.004478,0.000878,0.000489,-7e-06,0.000362,0.000509,0.000304,0.000506,0.000334,-3.4e-05,-1.6e-05,-2.9e-05,-0.000672,-0.000791,-0.002395,-0.008336,-0.008373,-0.009921,-0.010552,-0.015549,-0.016498
-1.290278,0.018125,-0.129273,-0.057791,0.262021,0.487792,0.054598,-0.235641,0.246886,0.066111,-0.807691,0.008069,-3.099464,0.08852,0.261192,0.098122,-0.043305,0.185784,-0.086867,0.194273,-0.036132,0.277618,0.050518,-0.153883,0.337439,-0.69017,0.370922,0.277823,0.060139,0.444233,-0.036346,0.057141,-0.152196,-0.008713,-0.582015,-0.015581,-0.002742,-0.005864,-2.158857,-0.162062,-0.03516,-0.008655,-0.039986,-0.000896,-0.044303,0.047496,-1.569071,-0.041444,-0.012782,0.090017,0.015594,-0.025731,-0.003312,0.011176,-0.008707,0.213488,-0.012401,-0.03412,-0.010096,-0.03603,-0.036122,0.000135,-0.0362,-0.043434,0.000763,0.015383,0.001473,0.003077,0.000497,0.003153,0.005122,0.000699,-6.6e-05,0.004336,0.000488,-9.1e-05,-0.243467,0.004482,0.090641,-0.194784,-0.284436,-0.29325,0.238687
-0.611683,-0.177847,-0.118529,-0.08808,-0.602423,-0.782765,-0.390012,-1.510992,-0.538858,-0.832864,-0.953781,-0.76348,-1.763619,-0.177449,-0.419059,-0.23454,-0.005335,-0.343905,-0.132113,-0.343821,-0.004697,-0.444698,-0.364181,-1.289113,-0.560762,-1.005331,-0.609595,-0.470834,-0.19595,-0.605236,-0.290485,-0.074437,-0.204756,0.004416,-0.452532,-0.00902,-0.006605,-0.004512,-1.216842,-0.193984,-0.00508,-0.000626,-0.000867,-0.023431,0.015474,-0.194097,-2.011739,0.00262,0.001133,-0.148535,-0.05676,-0.108081,-0.007414,-0.067704,-0.000725,-0.272759,0.080524,-0.005932,0.077848,0.006983,0.006887,0.00014,0.006805,-0.065088,0.000881,-0.008416,0.000758,0.00351,0.000582,0.003594,-0.004379,-0.000779,-0.000103,-0.003919,-0.000708,-0.000108,0.292893,0.056423,0.033935,0.265986,0.420166,0.437126,0.931906
-1.082566,-0.14295,-0.164089,-0.140392,-0.223197,-0.539281,-0.3767,-0.245819,-0.054196,-0.629958,-1.125639,-0.261838,-4.32817,-0.103156,-0.258575,-0.118779,0.006347,-0.220046,-0.195616,-0.209832,-0.033154,-0.267266,-0.065285,0.24849,-0.082011,0.272634,-0.167207,-0.032334,0.11248,-0.064614,0.012403,-0.02285,0.173446,0.025775,-1.531929,1.5e-05,0.028133,0.031491,-4.968324,0.144407,0.010468,0.028586,0.000922,0.056395,-0.017871,-0.073331,1.112733,0.007078,0.022326,-0.082449,-0.068404,0.047974,-0.024083,-0.04136,0.028088,-0.158964,-0.148808,0.006647,-0.149945,-0.019535,-0.019767,0.000375,-0.019991,0.053601,-0.000382,0.001297,-0.001019,-0.00254,-0.000491,-0.002379,-0.000634,-0.000377,-0.000208,-0.000688,-0.000425,-0.000265,0.109627,0.034288,0.176618,0.163771,0.244083,0.203758,1.825295
-0.000446,-0.000383,-0.000389,-0.000355,-0.000361,-0.000358,-0.000295,-0.000292,0.008041,-0.000209,-0.00028,-0.000144,-0.000148,-6.1e-05,-1.6e-05,3e-05,5.7e-05,0.000118,0.00023,6.1e-05,4.8e-05,-2e-06,-1e-06,1e-06,3e-06,0.000148,2.2e-05,2.8e-05,1.6e-05,2.3e-05,2.9e-05,-3e-06,-4e-06,-0.0,-1e-06,1.1e-05,-0.0,3e-06,0.008355,1e-06,3e-06,3e-06,-0.0,-1e-06,-1e-06,-1e-06,-1e-06,-0.0,9.7e-05,1.5e-05,-2e-06,-5.6e-05,-1e-06,-2e-06,-2e-06,-2e-06,-4e-06,-5e-06,-6e-06,0.0,-0.0,-0.0,-1e-06,3e-06,2e-06,2e-06,3e-06,2e-06,3e-06,1e-06,2e-06,1e-06,2e-06,4e-06,9e-06,5e-06,4e-06,5e-05,9.5e-05,0.000123,0.000128,0.00016,0.000154
-0.009233,-0.008664,-0.008704,-0.008511,-0.008442,-0.008413,-0.007899,-0.002357,-0.002341,-0.007236,-0.002289,-0.00118,-0.001221,-0.000514,-0.000129,0.000264,0.000496,-0.004563,-0.004629,-0.005027,0.000404,-9e-06,-8e-06,-4e-06,-1e-06,0.000172,0.000196,0.000235,0.000138,0.000199,0.000247,-1.5e-05,-1e-05,2e-06,5e-06,0.0001,2e-06,2.3e-05,-0.00553,-2e-06,1.6e-05,2.8e-05,-3e-06,-3e-06,-1e-05,2e-06,1e-06,1e-06,-0.004767,0.000146,-2e-06,-0.000482,4e-06,2e-06,2e-06,2e-06,2e-06,-2.4e-05,-4.4e-05,1e-06,-1e-06,-1e-06,-4e-06,-1e-06,0.0,0.0,-0.0,-0.0,0.0,4e-06,9e-06,-3e-06,-1e-06,1.5e-05,6.9e-05,3e-05,-4e-06,0.000415,0.000796,0.001036,0.001108,0.001366,0.001303
-0.001389,-0.000562,-0.000633,-0.000417,-0.000284,-0.000248,0.00051,-0.00357,-0.003491,0.001486,-0.003488,-0.001804,-0.001866,-0.000786,-0.000198,0.000404,0.00076,0.005547,0.005613,0.004838,0.000616,-1.3e-05,-1.3e-05,-8e-06,-5e-06,0.000427,0.000294,0.000358,0.000211,0.000301,0.000376,-2.4e-05,-1.7e-05,-0.0,3e-06,0.000151,1e-06,3.2e-05,0.004119,-8e-06,2.3e-05,4.2e-05,-5e-06,-5e-06,-1.5e-05,3e-06,1e-06,1e-06,0.005234,0.000219,-6e-06,-0.000739,2e-06,1e-06,1e-06,1e-06,2e-06,-3.8e-05,-6.8e-05,2e-06,-0.0,-0.0,-6e-06,-5e-06,-5e-06,-5e-06,-5e-06,-3e-06,-4e-06,3e-06,1.2e-05,-5e-06,-4e-06,2e-05,0.000103,4.7e-05,-9e-06,0.000631,0.001212,0.001574,0.001683,0.002076,0.001978
0.3064,0.091738,0.096579,2.192406,0.061604,0.24036,0.165351,0.13917,0.28845,0.019339,0.088945,-0.008818,0.297072,-0.014936,-0.008868,0.057699,-0.008344,-0.039148,1.780028,-0.045501,0.005531,-0.004627,-1.1e-05,-0.161354,0.007464,1.630149,0.008774,0.00016,0.005782,-2.5e-05,-2.5e-05,-4.6e-05,-8.1e-05,-3.7e-05,-6e-05,-0.010042,-0.00265,-1.2e-05,-0.034647,3.2e-05,4.4e-05,4.1e-05,4.6e-05,4e-05,-0.0,1.5e-05,1.5e-05,2e-06,-0.029191,7.4e-05,-5.2e-05,-0.00092,-0.000129,-4.5e-05,-8.8e-05,-0.000101,-0.000105,-5e-05,-4e-05,-4.2e-05,-5.2e-05,-5.2e-05,-3.9e-05,-4.9e-05,-3.2e-05,-3.2e-05,-4.4e-05,0.009951,0.002588,-3.4e-05,-7.5e-05,-9.3e-05,-8.7e-05,-6.5e-05,-4.4e-05,-4.8e-05,-6.7e-05,0.001228,0.000982,0.000839,-4e-06,0.002567,-0.000554
