0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
0.032784,0.033174,0.033398,0.028347,0.024272,0.016932,0.014782,0.007118,0.005014,0.004743,-0.008181,-0.001336,-0.008584,-0.000907,-0.006041,-0.000796,0.004446,0.005422,0.00663,0.004678,0.011273,0.00423,0.004521,0.01001,0.004554,0.009733,0.005234,0.004907,0.004856,-0.000487,0.001517,-0.004886,0.000862,-0.004962,-0.005655,-0.005396,-0.005204,2e-06,-0.000181,-0.000357,-0.002023,9e-06,0.00172,-0.004768,-0.005111,-0.010536,-0.012346,-0.005479,-0.011349,-0.011714,-0.013022,-0.018412,-0.012958,-0.018435,-0.016685,-0.017591,-0.01057,-0.011136,-0.000562,0.004239,0.010679,0.017356,0.017058,0.017175,0.022566,0.01652,0.016823,0.012029,0.010539,0.00458,0.004601,0.00458,0.004248,-0.000973,-0.001483,-0.000953,0.000137,0.000603,0.002315,0.002593,0.008864,0.013156,0.012106,0.011401,0.004206,0.003049,-0.003044,-0.004065,-0.008508,-0.007413,-0.008269,-0.006752,-0.006557,-0.011025,-0.010633,-0.004405,-0.006005,-0.006444,-0.010173,-0.011606,-0.006409,-0.008111,-0.006742,-0.011735,-0.012342,-0.007172,-0.012697,-0.000854,3.8e-05,0.000168,0.000982,-0.000897,0.004939,0.006005,0.005388,0.005552,0.001346,0.000233,0.006549,-0.000615,0.004031,0.008139,0.007903,0.004606,0.00571,0.001126,0.00171,0.001768,0.001576,0.001106,-0.000898,-0.000859,-0.000726,-0.001433,-0.000952,-0.001144,-0.001096,-0.000415,0.000766,0.000907,0.00064,-0.004891,-0.004561,-0.004769,-0.004505,-0.004527,-0.00478,-0.005033,-0.005322,-0.010643,-0.011554,-0.010739,-0.015217,-0.015382,-0.012196,-0.007838,-0.006699,-0.00777,-0.002062,-0.007302,-0.001679,-0.0002,-0.001192
-0.009909,-0.010699,-0.010807,-0.013463,-0.0207,-0.016063,-0.00879,-0.00355,0.003248,0.003905,0.00621,0.003174,0.007206,0.002159,-0.000761,0.001898,0.004546,0.000269,-0.004563,0.002003,-0.000546,0.002987,0.00229,0.004272,0.002163,0.004859,-0.001414,-0.000698,-0.000592,-0.002886,-0.00943,-0.007304,-0.00596,-0.00512,-0.001569,-0.002158,-0.002594,-6e-06,0.000419,0.00083,0.006658,-2.1e-05,-0.005964,-0.003612,-0.002818,-0.004579,0.001286,-0.001958,-0.001038,0.000247,0.004955,0.002845,0.004893,0.003,-0.003218,0.000953,-0.002943,-0.001512,0.001446,0.005097,0.002639,-0.000399,0.000507,2.6e-05,0.002148,0.001625,0.000873,-0.002668,0.002804,0.002035,0.001968,0.002008,0.002769,0.000313,0.001517,0.000262,-0.002292,-0.003385,-0.009093,-0.009998,-0.011992,-0.007386,-0.004931,-0.003343,0.000978,0.003372,0.004949,0.0093,0.005215,0.002762,0.006743,0.001282,0.000849,-0.003151,-0.004067,-0.004197,0.001536,0.004516,-0.003241,0.002129,0.004465,0.010506,0.005295,0.002766,0.003998,0.006382,0.004913,0.004016,-7.3e-05,-0.000422,-0.004327,0.002225,0.001024,-0.003531,-0.000136,-0.000532,-0.007106,-0.002479,-0.004869,-0.000408,0.003177,0.008026,0.008773,-0.000202,-0.002918,-0.006569,-0.007988,-0.00813,-0.00767,-0.006536,0.000243,0.00016,-0.000156,0.00348,0.002314,0.002813,0.002667,0.000998,-0.00188,-0.00222,-0.001568,-0.002886,-0.003703,-0.003195,-0.003846,-0.003804,-0.003187,-0.00257,-0.001851,-0.003707,0.000456,-0.001625,-0.007541,-0.006917,0.002155,0.00862,0.003621,0.008303,0.00911,0.007112,0.008105,0.002354,0.006801
0.013342,0.01291,0.012875,0.01188,0.015422,0.011405,0.008383,0.004615,0.001345,0.001734,-0.003173,0.001798,-0.002611,0.001228,5.1e-05,0.001075,0.002081,0.006826,0.01126,0.007794,0.01304,0.008315,0.007926,0.008563,0.00784,0.008872,0.012965,0.013351,0.013402,0.012577,0.016166,0.010644,0.010965,0.004746,-0.000427,-0.000733,-0.000964,1e-06,0.000222,0.000437,-0.003557,-9e-06,0.003923,-0.001498,-0.00108,-0.001734,-0.005579,-0.000625,-0.006795,-0.006288,-0.010701,-0.011368,-0.010693,-0.011265,-0.007512,-0.012316,-0.007751,-0.007,0.000777,0.002304,0.00761,0.012623,0.013036,0.01285,0.01358,0.01369,0.013311,0.011864,0.007687,0.007659,0.007617,0.007643,0.008022,0.00712,0.007721,0.007079,0.005797,0.005253,0.009261,0.008925,0.014558,0.01654,0.017774,0.018589,0.013964,0.015182,0.009294,0.004432,0.002754,0.001579,-0.003422,0.000883,0.000677,-0.000922,-0.00135,-0.001673,-0.005854,-0.011312,-0.00781,-0.012134,-0.011302,-0.015304,-0.010888,-0.011864,-0.011177,-0.01032,-0.010715,-0.004897,-4.6e-05,-0.000196,0.004754,0.001065,0.007014,0.011657,0.006459,0.006272,0.010268,0.005641,0.01105,0.006613,0.008007,0.00997,0.010206,0.013194,0.011956,0.01055,0.00992,0.009871,0.010098,0.010611,0.00688,0.006832,0.006694,0.001543,0.001025,0.00123,0.001178,0.000442,-0.000821,-0.000971,-0.000687,-0.00107,-0.001411,-0.001183,-0.001469,-0.00145,-0.001182,-0.000904,-0.000581,-0.001181,-0.006075,-0.006995,-0.002649,-0.002414,-0.005296,-0.009467,-0.004874,-0.009523,-0.009392,-0.010024,-0.009812,-0.005654,-0.010372
0.969061,0.396404,0.324286,0.230135,1.86764,-0.166048,0.112003,-2.905188,-1.61712,0.047927,0.117268,-0.608986,-0.448111,-0.013457,-0.211758,0.019949,0.423218,0.32543,-1.837546,0.093534,0.275656,0.052127,0.057635,0.176987,0.144454,0.117492,-0.225593,-0.012699,-0.051024,0.115379,0.078363,0.372099,0.005845,-0.110388,0.482032,-0.013793,0.002637,0.057343,0.383512,0.010554,0.030438,-0.001477,-0.031882,0.003963,-0.008044,0.717015,0.050053,-0.3546,0.359375,1.214359,1.502542,0.211682,1.666546,0.072993,1.837399,0.141706,-0.035063,0.00256,-0.021892,-0.01188,0.544947,-0.217242,2.655593,-0.266918,-0.296247,0.5578,-0.058361,-1.927184,0.270381,0.343753,-1.502347,0.006512,-0.508748,0.247105,0.058464,-0.205396,0.13087,-0.029815,-2.159321,-0.075543,0.243643,0.161821,-0.332258,-0.027426,-1.381665,-2.491086,-0.209709,-0.38299,0.022805,-0.334203,0.060211,-0.033691,0.016856,0.003296,0.001713,0.02141,0.015089,0.062963,-0.241879,0.001293,-0.400587,1.792895,0.276898,1.584079,0.256169,-0.315561,0.397652,0.020503,2.364652,0.416583,-0.653095,-0.369144,-0.16759,-0.4894,0.130787,-0.061189,-0.260933,0.098682,0.146248,0.019673,0.202495,0.041541,-3.841417,-0.613924,0.271082,-0.051722,-0.052917,-0.05315,0.168336,-0.529571,0.286812,0.318276,-0.036612,0.00148,-0.006448,-1.054321,-0.189302,-0.000652,0.00621,0.019664,0.17413,-1.739752,0.459348,-0.009057,0.004579,-0.104519,-0.369047,-0.069095,-0.073796,0.123488,-0.014547,-0.423921,1.641387,3.895814,0.734075,4.181697,0.020593,-0.175393,-0.280044,-0.343582,0.123501,-0.0699,-0.168343
-0.543095,-1.092234,-0.942077,-0.23013,1.434491,-0.318029,-0.391066,0.588605,-2.40923,-0.299523,-0.366187,-0.739615,-1.022295,-0.303118,-0.364377,-0.114377,-0.544631,-0.49952,-2.150204,-0.253516,-0.52168,-0.220781,-0.210432,-0.402754,-0.227979,-0.202049,-1.271669,-0.093014,-0.058361,-0.222584,-0.329874,-0.471658,-0.17276,-0.1928,-0.478343,0.028961,0.00986,-0.055338,-0.395948,0.001372,0.001875,0.007283,0.002642,0.020858,0.035672,-0.414399,0.019629,0.387715,1.0156,0.569043,2.313777,0.095742,2.199449,0.201486,2.050925,0.398367,0.300132,0.309098,0.279918,0.152547,0.79854,0.349339,-0.877765,0.606284,0.458345,0.032767,0.014312,-1.907605,-0.373228,-0.461569,-2.416936,-0.334737,-0.796048,-0.928736,-0.357775,-0.18014,-0.29907,-0.083604,1.045871,0.007081,-0.451572,-0.447143,-0.289913,-0.344918,0.476258,-1.8444,-0.295686,0.126895,-0.092687,0.108889,-0.08361,-0.137422,-0.083344,0.037569,0.036023,-0.009147,0.044808,0.032649,0.3107,0.095487,0.398685,2.13916,0.989027,-0.695668,1.005484,0.282815,0.948903,0.164325,2.011721,1.00251,0.94664,0.60488,0.493325,0.720515,0.337826,0.154133,-0.100628,-0.18408,-0.707115,-0.41148,-0.272235,-0.382288,-1.454605,0.044662,-0.612595,-0.182526,-0.101147,-0.0152,-0.395948,-0.930657,-0.444941,-0.487878,-0.086776,-0.012584,0.018894,-0.441564,-0.192748,0.002502,0.012909,-0.005091,-0.259563,-2.245283,-0.548007,-0.054929,0.001985,0.113894,0.394673,0.376952,0.288632,0.954368,0.068753,0.559892,2.611441,1.156655,0.854369,0.972738,0.379738,0.469962,0.650502,0.623551,0.107481,0.131978,0.396931
-0.580891,-0.165292,-0.059236,-0.071252,-1.318573,-0.686971,0.010416,-4.488587,0.984601,0.546995,0.491419,-1.166741,0.704942,0.40416,0.248103,0.196737,-0.270042,-0.278304,0.768791,0.106603,-0.059818,0.159083,0.145569,-0.078144,-0.145498,-0.048325,0.028033,-0.013207,0.009351,-0.123894,-0.138762,-0.371142,0.093175,-1.665844,-0.298559,-0.023979,-0.038307,-0.04348,-0.266561,-0.018061,0.04351,0.002927,-0.022744,-0.028479,-0.05222,5.398928,0.114404,0.184745,0.08693,5.780141,0.406292,0.312373,0.232341,0.395307,-0.077583,-0.228398,-0.212915,-0.590135,-0.48119,-0.250123,-0.449291,-0.17562,4.003634,0.263949,-0.278002,1.484214,-0.130335,0.778907,-0.367422,-0.476532,0.182058,-0.458412,-0.080873,-0.16943,0.485899,0.08732,0.061161,0.159087,-5.054579,-0.042257,-0.303931,0.002141,-1.608422,-0.235768,-5.005709,-0.935678,0.228227,-1.378192,0.20035,-1.452288,0.196754,0.179009,0.17404,-0.057933,-0.058032,-0.049507,-0.025103,-0.000968,0.096334,0.012872,0.432317,0.097714,0.348996,5.42703,0.279067,0.394794,0.022597,-0.335561,0.816799,-0.388918,-0.144068,-0.284456,-0.440284,-0.161033,-0.408044,-0.319023,-0.131098,-0.130363,-0.229311,-0.306055,-0.339627,-0.389387,-4.310604,-1.198954,0.078766,0.337764,0.154175,-0.058277,-0.21868,0.145832,-0.017119,-0.043261,0.187331,0.027305,-0.009298,-1.502338,0.038487,-0.001867,-0.032754,-0.044836,0.071314,0.118311,-0.132362,0.155844,-0.031589,0.03401,0.197356,0.290646,0.473493,0.7475,0.192631,0.017673,-0.208605,3.857388,0.013124,3.982327,0.032161,-0.167583,0.172979,0.167765,0.610757,0.099778,0.026826
0.000215,8.9e-05,-9e-06,6.1e-05,1.3e-05,0.006,0.000371,0.000196,0.000147,5.4e-05,-8e-06,-1e-06,3.3e-05,0.00045,0.000432,0.000519,0.00052,7e-05,3.3e-05,-6.4e-05,-7e-06,3.4e-05,-1e-06,0.000244,1.8e-05,6.1e-05,0.006104,0.005951,-7.3e-05,0.005967,3e-06,6.2e-05,0.000185,0.000447,0.000498,0.000469,0.000348,0.000361,0.000264,0.00594,-3e-05,-8.8e-05,0.00596,0.0,-0.0,8.8e-05,0.006215,0.006307,0.000491,0.006416,0.000353,0.000368,0.000283,0.000373,0.000604,0.000692,0.000772,0.001005,0.001094,0.001018,0.000434,0.005895,-0.000105,-3.4e-05,0.00027,0.000207,0.00021,0.000187,0.000254,-1.2e-05,-1.7e-05,0.000144,-0.0,0.00017,7.4e-05,6.9e-05,-2e-06,-0.000234,0.000205,0.000152,0.00025,5e-06,-0.000172,0.005858,-8.8e-05,-0.000237,0.005867,3e-06,6.4e-05,3.2e-05,1e-06,8.5e-05,0.000269,9.2e-05,0.000228,-1.8e-05,3e-06,2e-06,-1e-06,0.000268,0.000182,0.000271,0.00027,3e-05,-4e-06,1e-06,0.000287,0.000311,0.000392,0.000531,0.006237,0.005973,-0.000248,-3.1e-05,-1e-06,-2e-06,-2.3e-05,4e-06,0.000103,0.000238,0.000107,0.000173,0.000242,0.000238,0.005899,-0.000127,-4e-06,0.005968,-2e-06,-0.005926,-6e-06,3e-06,1e-06,1e-06,2e-06,5.9e-05,-3e-06,-0.0,1e-06,1e-06,1e-06,-2e-06,1e-06,2e-06,0.000208,0.000148,8.3e-05,0.000304,0.000173,3.5e-05,-9e-06,-2e-06,3.7e-05,0.006001,0.000294,0.000154,0.000318,-1e-05,-7.8e-05,5.9e-05,-2e-06,1.8e-05,0.000198
0.000636,0.000266,-2.4e-05,0.000178,3.7e-05,-0.001427,0.001101,0.000587,0.000434,0.00016,-2.1e-05,-1.2e-05,8.9e-05,0.001332,0.001279,0.001542,0.001545,0.000207,9.7e-05,-0.000188,-1.7e-05,9.7e-05,-8e-06,0.000725,5.4e-05,0.000181,-0.001075,-0.00153,-0.000221,-0.001489,8e-06,0.000185,0.000561,0.00135,0.001511,0.001423,0.001053,0.001093,0.000795,-0.001531,-8.8e-05,-0.000267,-0.001475,-1e-06,0.0,0.000272,-0.00069,-0.000408,0.001507,-6.1e-05,0.001088,0.001133,0.000875,0.001148,0.001865,0.002142,0.002391,0.003109,0.003387,0.003149,0.001353,-0.001569,-0.000328,-0.000105,0.000844,0.000643,0.000653,0.000583,0.000793,-3.3e-05,-5e-05,0.000445,-7e-06,0.000526,0.000231,0.000218,-1.7e-05,-0.000751,0.000629,0.000476,0.000779,1.5e-05,-0.000547,-0.001673,-0.00028,-0.000741,-0.001646,1.2e-05,0.000196,0.000101,3e-06,0.000268,0.000848,0.000294,0.000715,-5.9e-05,5e-06,3e-06,-3e-06,0.000846,0.000572,0.000852,0.000855,9.8e-05,-1.9e-05,-1.2e-05,0.000904,0.00098,0.001239,0.001681,-0.000434,-0.001272,-0.000784,-9.8e-05,1e-06,-2e-06,-7.6e-05,1.4e-05,0.000332,0.000751,0.00034,0.00055,0.000772,0.000754,-0.0015,-0.000403,-1e-05,-0.00127,-8e-06,0.001408,-2.5e-05,3e-06,1e-06,6e-06,8e-06,0.00019,-6e-06,-2e-06,3e-06,1e-06,-1e-06,-2e-06,-6e-06,-5e-06,0.000655,0.000467,0.000261,0.000963,0.000546,0.000111,-2.9e-05,-1e-05,0.000112,-0.001162,0.000937,0.000491,0.001016,-3.1e-05,-0.000246,0.000192,-5e-06,5.8e-05,0.000636
0.000327,0.000135,-1.2e-05,9e-05,1.8e-05,-0.000908,0.000567,0.000303,0.000224,8.2e-05,-1.2e-05,-9e-06,4.4e-05,0.000686,0.000657,0.000792,0.000793,0.000106,5e-05,-9.7e-05,-1e-05,4.8e-05,-9e-06,0.000369,2.6e-05,9.2e-05,-0.000727,-0.000962,-0.000115,-0.000944,-0.0,9.2e-05,0.000286,0.00069,0.000774,0.000728,0.000536,0.00056,0.000405,-0.000961,-4.5e-05,-0.000138,-0.000934,-1e-06,-3e-06,0.000134,-0.000536,-0.000392,0.000765,-0.000215,0.000551,0.000575,0.000442,0.000583,0.000945,0.001082,0.00121,0.001567,0.001704,0.001583,0.000678,-0.000981,-0.000168,-5.4e-05,0.00042,0.00032,0.000326,0.000292,0.000397,-1.7e-05,-2.5e-05,0.000222,-4e-06,0.000263,0.000116,0.000108,-9e-06,-0.000379,0.000314,0.000238,0.000389,8e-06,-0.000275,-0.001033,-0.00014,-0.000373,-0.00102,4e-06,9.7e-05,4.9e-05,1e-06,0.000134,0.000426,0.000148,0.000358,-3.1e-05,1e-06,1e-06,-2e-06,0.000421,0.000287,0.000425,0.000426,4.9e-05,-1.1e-05,-9e-06,0.00045,0.000487,0.000618,0.000836,-0.000416,-0.000832,-0.000389,-4.9e-05,1e-06,-2e-06,-3.7e-05,8e-06,0.000167,0.000374,0.000168,0.000273,0.000383,0.000373,-0.000945,-0.000201,-6e-06,-0.000831,-5e-06,0.000897,-1.4e-05,-1e-06,0.0,3e-06,5e-06,9.3e-05,-4e-06,-0.0,1e-06,1e-06,2e-06,3e-06,-2e-06,-2e-06,0.000326,0.000232,0.000129,0.000478,0.000271,5.6e-05,-1.6e-05,-6e-06,5.2e-05,-0.000779,0.000464,0.000243,0.000504,-1.6e-05,-0.000124,9.3e-05,-3e-06,2.7e-05,0.000313
-6.5e-05,-5.2e-05,-3.4e-05,-2.4e-05,-2.5e-05,0.000969,-1.4e-05,-4e-06,0.032843,-0.000124,-7.5e-05,-5.2e-05,-4.8e-05,-2.2e-05,-1.4e-05,-1e-05,0.001228,-1e-06,-8e-06,0.112091,-0.000121,-6.9e-05,-4.8e-05,-3.7e-05,-1.2e-05,-2.1e-05,0.00097,0.00098,0.0,0.000978,2e-06,-0.000136,-8.5e-05,-4.9e-05,-3.4e-05,-2.2e-05,-0.000644,0.001118,0.00115,0.000922,-5.3e-05,-3.9e-05,0.000961,-0.000724,-0.000125,-7.6e-05,0.000931,-0.006283,0.001201,0.000955,-0.000201,-9e-05,-5.3e-05,-4.9e-05,0.001198,-2.1e-05,-2e-05,0.001222,0.004037,0.001502,-7.6e-05,0.000932,-3.4e-05,-3.4e-05,0.000711,-0.000121,0.001419,-3.7e-05,-4.1e-05,-4e-05,-3e-05,-2.1e-05,-1.7e-05,-9e-06,-1.4e-05,-1.3e-05,4e-06,1.2e-05,-0.000241,-8.1e-05,-6.5e-05,-4.6e-05,-3.8e-05,0.000957,-1.9e-05,-0.001233,0.000975,-4e-06,-0.000638,-0.000111,-6.7e-05,-5.6e-05,-4e-05,-3.3e-05,-9e-06,-2.2e-05,-0.047342,0.000793,3e-06,-1.3e-05,0.0,-7e-06,0.001213,3e-06,9e-06,1.2e-05,3e-06,-2e-06,3e-06,0.00122,0.000982,0.000988,-0.000167,-7.2e-05,-6e-05,-5e-05,-3.2e-05,0.003531,0.000446,-1.1e-05,-2e-05,-1.4e-05,-1e-05,0.001218,0.000978,2e-06,1e-06,0.000984,3e-06,-0.000984,-3e-06,-2e-06,8e-06,-0.0,-3e-06,0.0,-2e-06,3e-06,-0.000666,-0.000179,-7.4e-05,-5.5e-05,-3.1e-05,-2.6e-05,-2.9e-05,-2e-05,-1.9e-05,0.001213,-6e-06,5e-06,-2e-06,7e-06,1.2e-05,0.000991,8e-06,1.4e-05,0.00055,-0.000105,-7.8e-05,-5e-05,-4e-05,-2.6e-05,-1.9e-05
