0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
0.007478,0.008315,0.008183,0.01533,0.000397,-0.000363,-0.000214,-0.00013,-0.007328,0.000344,0.007702,0.007223,0.016185,0.016207,0.000572,0.008027,0.008673,0.007379,-0.000501,-0.001046,0.006584,-0.00048,-0.008013,-0.008485,0.000555,-0.006908,0.001437,0.001467,-0.006432,-0.005969,-0.005266,0.002451,0.001603,0.001643,0.002253,0.007935,0.007821,0.007212,-0.000444,-0.000371,-0.000193,0.007494,0.007426,0.007646,0.007722,-0.000416,0.007306,0.007297,0.007305,0.007229,0.007536,0.007424,0.008601,0.000474,-0.000329,0.000327,-0.008045,-0.000388,-0.000319,0.000704,1.1e-05,-9.7e-05,0.000462,-0.00032,-0.000412,-0.007417,0.000272,0.000245,0.000235,-0.000401,0.00012,7.8e-05,0.007705,0.000407,-0.000124,-3.7e-05,-0.000154,-0.000335,0.007733,0.007587,-5.1e-05,0.00728,0.00719,-0.00024,-0.0075,0.000151,0.000202,0.001024,0.001137,0.000575,0.000656,0.000253,0.000707,0.000607,0.000379,0.000441,0.007977,-0.000242,0.007536,-0.0001,0.006819,0.00011,0.007304,0.007757,0.000348,-0.007242,0.000246,-0.000524,0.001026,0.000917,0.008312,0.00818,0.007101,-0.000577,-0.000111,-6.8e-05,-0.000195,-4.5e-05,2.2e-05,-0.000441,0.000197,-0.000628,6.4e-05,0.000499,0.000683,0.00069,-5.8e-05,-8.1e-05,-0.000157,-0.000389,0.000437,0.000507,-0.00028,-0.00035,-0.000395,-0.000356,0.006997,-0.000404,0.007228,-0.000357,0.007214,-0.000262,-0.006919,0.000103,-0.007259,-0.007151,-0.000141,-0.008387,-0.007648,8.3e-05,-0.000341,-0.000213,0.006938,-0.000366,0.006561,0.006717,-0.000441,0.007459,0.007705,0.007141,0.014995,-0.001445,-0.001017,0.000193,0.000701,-0.0065
0.004202,-0.005844,-0.004965,0.002284,-0.003449,0.004705,0.003625,0.00194,-0.001889,-0.001413,-5.2e-05,0.003612,-0.00794,-0.007844,-0.004863,-0.001059,-0.006598,0.00519,0.007541,0.010988,0.011961,0.006328,0.004601,0.009206,-0.004765,-0.00762,-0.014326,-0.014825,-0.011683,-0.015443,-0.022574,-0.022924,-0.013606,-0.014393,-0.020058,0.000611,0.0022,0.007613,0.00655,0.005442,0.002791,0.002924,0.003786,0.000596,-0.000331,0.002716,0.00254,0.002583,0.002679,0.003683,0.002209,0.003507,-0.006393,-0.003617,0.003853,-0.001826,0.004044,0.004665,0.00382,-0.006354,-0.000166,0.001169,-0.003407,0.003812,0.004882,-0.001053,-0.001193,-0.000842,-0.000728,0.004766,0.000661,0.001124,0.001378,-0.002826,0.00141,0.00038,0.001753,0.003888,0.000738,0.002342,0.002408,0.005481,0.006381,0.004402,0.00086,7e-06,-0.000564,-0.008067,-0.009361,-0.004802,-0.005683,-0.002897,-0.008129,-0.006942,-0.004147,-0.005066,-0.004241,0.000951,-0.000837,-0.000607,0.005606,-0.002871,0.002152,-0.001127,-0.003857,-0.004729,-0.002781,0.004116,-0.009732,-0.00849,-0.0052,-0.001884,0.00622,0.005873,0.002453,0.001928,0.001881,0.000377,-0.000294,0.004525,0.001652,0.006488,0.00071,-0.003863,-0.005791,-0.005853,0.000565,0.000812,0.001646,0.004077,-0.00317,-0.003935,0.00292,0.003636,0.004108,0.003681,0.006061,0.004135,0.003555,0.003582,0.003562,0.002592,-0.005269,-0.001075,-0.003194,-0.00434,0.001459,0.007037,0.000823,-0.000886,0.002145,0.00085,0.003944,0.001291,0.006815,0.005319,0.000929,-0.001242,-0.003074,0.001417,0.000551,0.009286,0.006303,-0.003161,-0.006246,-0.010792
0.004165,0.002693,0.003773,0.000757,0.006595,0.005656,0.004468,0.002365,0.009606,0.009155,-0.001082,-0.007476,-0.000921,-0.000817,0.004915,0.008544,0.012424,0.005043,0.008995,0.00247,0.002597,0.007602,0.006504,0.000943,0.005049,0.00267,0.004367,0.003757,0.008513,0.014707,0.016961,0.01554,0.015933,0.014999,0.018968,0.010403,0.01223,0.007927,0.00765,0.006326,0.00323,0.002389,0.003371,-0.000317,-0.001392,-0.007393,-0.008621,-0.008596,-0.008484,-0.007327,0.001535,0.003049,0.012653,0.006353,0.004474,0.008423,0.005703,0.005368,0.004388,0.00319,-0.000189,0.00134,0.006565,0.004356,0.00556,0.010243,0.009051,0.00943,0.009549,0.005345,0.01106,0.011538,0.010814,0.007134,0.001553,0.000417,0.001928,0.004273,0.010033,0.011772,0.012772,0.015058,0.015983,0.014737,0.011875,0.01,0.009388,0.011481,0.010122,0.004934,0.004011,-0.003031,-0.008551,-0.007322,-0.004403,-0.005391,-0.00548,-0.009068,-0.011979,-0.010782,-0.015208,-0.01331,-0.008848,-0.00223,-0.004238,-0.00421,-0.003064,-0.005714,-0.000512,0.000851,0.003494,0.007082,0.005866,0.006483,0.012939,0.01231,0.00205,0.000413,-0.000314,0.004928,0.011986,0.007004,0.010862,0.005947,0.003887,0.003819,0.000605,0.000867,0.001761,0.004348,0.006678,0.005864,0.003097,0.003847,0.004341,0.003875,0.005394,0.004332,0.002751,0.003731,0.002736,0.00269,0.005406,-0.001116,-0.002357,-0.003554,0.001522,-0.001652,0.001811,-0.000917,-0.007692,-0.009045,-0.016748,-0.018622,-0.023843,-0.025479,-0.029332,-0.033011,-0.03521,-0.04084,-0.043297,-0.041908,-0.034952,-0.025058,-0.007452,-0.001046
-0.695689,-0.591663,-2.683829,0.156228,-2.915096,-2.800773,-0.762063,-0.30032,-0.040128,0.352845,0.289334,0.108231,-1.15828,0.214572,-0.666986,0.236099,-1.977921,-1.684972,-1.865641,-1.559077,-0.010804,0.114946,0.037808,-3.021526,-0.046941,-0.032624,-0.060969,0.25889,-0.090112,-1.654913,-0.033727,0.023779,0.092613,-0.111211,-0.14352,-0.048717,-0.390937,-2.145695,-0.274891,-0.031014,0.008226,0.006275,-0.106456,-0.507313,-0.674183,-0.124905,-0.12459,-1.743315,-0.688948,-0.791101,-0.267415,-0.058431,-0.14896,-0.046853,0.000618,-0.548764,-0.00506,0.006028,-0.008105,-0.032542,0.125757,-0.008801,0.144364,-0.000214,-0.082344,-0.01906,-0.031268,-0.048083,-0.053212,-0.002634,-0.016006,0.155503,-0.047343,-0.051519,-0.000326,0.000127,0.002916,0.003519,-0.030179,-0.038127,-0.044617,0.471925,0.088125,-0.013407,-0.036235,-0.049219,0.355932,0.016084,0.365525,0.225258,0.270689,-0.023289,-0.016501,0.109073,0.064412,-0.003733,0.000224,0.0229,0.042144,-0.436573,-0.332238,0.065354,0.043828,0.002816,0.009437,0.084956,0.063784,0.031668,-0.034597,-0.193166,-0.20418,-0.493723,-0.168947,-1.599392,-0.020803,-0.029632,0.003243,-0.404244,-0.01844,-0.069627,0.327338,-0.006835,-0.046788,-0.048213,-0.014984,0.018959,-0.020834,-0.003412,-0.012036,0.001642,-0.048171,-0.027056,0.485342,-0.00252,-0.010736,0.001642,-0.006395,-0.010144,0.003394,-0.002377,0.003541,-3e-05,-0.038288,0.384345,0.381276,0.487825,0.396109,0.010897,-0.027774,0.004765,0.099824,0.066851,-0.206139,-0.137683,0.116798,0.11436,-0.385371,1.21238,1.554621,1.033313,0.285642,-0.232082,-0.532449,0.010659,0.429705,1.498631
-2.21921,-1.505918,-0.649162,-1.205599,-2.211869,-2.461681,-3.0337,-1.291843,-0.161893,-0.616361,-0.340772,-0.428751,-2.452792,-0.297945,-0.321818,-0.321309,-1.046276,-1.105804,-0.752995,-2.148036,-0.091423,-0.153302,-0.830267,-2.911036,-0.236305,-0.06657,-0.066877,-0.299221,0.045549,-2.231784,-0.076946,-0.234333,-0.198302,0.026557,0.018395,0.000438,0.37561,-1.63024,0.351478,0.018912,0.063381,-0.019773,0.171726,0.51167,-0.00514,0.162769,-0.210478,-1.935556,-0.486731,-0.46179,-0.040613,-0.265338,-0.166792,0.086013,-0.013568,-0.691423,0.000384,-0.007054,0.082624,0.004609,-0.208938,-0.0057,-0.184412,-0.011654,-0.178436,-0.006747,-0.003099,0.000409,0.006502,-0.009317,-0.043042,-0.122769,-0.021364,0.005523,0.000851,0.000396,0.005247,-0.010314,-0.018362,-0.03199,-0.012978,-0.542603,-0.173294,-0.048387,-0.001846,0.002471,-0.422069,-0.097058,-0.456705,-0.265652,-0.30904,0.031223,0.036683,-0.102894,-0.626984,0.015551,-0.001634,0.0994,0.003003,0.481318,0.400471,-0.077814,-0.015832,-0.016648,0.017744,-0.065736,-0.064774,0.001716,0.102684,0.193923,0.186859,-1.859624,-0.923348,-2.158091,-0.105974,-0.012999,0.091086,0.376347,0.023965,0.053983,-2.382928,-0.019472,0.081804,0.09414,-0.021381,-0.067111,0.006038,0.002036,0.087979,-0.012229,0.093919,0.066142,-0.450958,-0.011625,0.074863,-0.012262,0.046757,0.074511,-0.028177,-0.017847,-0.027988,3e-05,0.021499,-0.385656,-0.364461,-0.537695,-0.475256,0.028663,0.04643,-0.002295,-0.060945,-0.030933,0.253519,0.21839,-0.016196,-0.006697,0.538786,2.778534,2.771788,2.52101,0.816375,0.347013,0.600278,0.015998,-0.312516,2.018167
-0.795276,-0.928916,-5.396466,-0.03967,-4.17777,-4.347698,1.422114,-1.312495,0.330738,0.093573,-0.172798,-0.626168,0.87714,-0.184567,-1.602959,-0.158043,-5.231096,-5.368166,-5.246677,0.851704,0.104411,-0.046816,-1.777918,-4.504893,0.312121,0.117071,0.11321,-0.237395,-0.066079,0.434123,-0.20755,-0.022446,-0.147536,-0.055287,-0.050596,0.058765,0.325338,1.007915,0.039192,0.098614,-0.15082,0.026382,-0.05171,0.300163,-1.39636,0.113119,0.099158,0.889276,0.46326,0.676609,-0.152538,-0.231094,-0.456004,-0.171924,0.019957,0.317365,0.018508,0.022698,-0.151651,-0.020394,0.108726,0.024504,-0.086274,0.025838,-0.419879,0.007118,0.003947,-0.003848,0.000976,0.02648,0.006784,-0.281511,0.060041,0.00101,0.00143,0.001197,-0.002072,0.025494,0.034152,0.048832,0.023183,-0.139902,0.007646,-0.003637,0.004071,-0.003402,-0.241731,-0.082935,-0.321965,-0.164773,-0.177517,-0.025792,-0.051639,-0.085584,-1.739555,-0.023085,0.005875,-0.165587,0.015393,0.1919,0.241383,0.171133,0.021776,0.027069,-0.030284,-0.111493,-0.088473,0.019176,-0.219468,0.056388,0.133638,-5.083131,-1.228563,1.035279,0.206978,0.027611,-0.169068,0.135406,0.040183,0.044194,-4.954257,0.042176,-0.173125,-0.198706,-0.050459,-0.081228,-0.003181,0.001516,-0.176784,0.026834,-0.19806,-0.227983,-0.120577,0.026877,-0.151462,0.026691,-0.096958,-0.152175,0.055449,0.028073,0.055405,0.00016,-0.049641,-0.216613,-0.227959,-0.136396,-0.057285,-0.008079,0.006947,0.006295,-0.051585,-0.043283,0.119682,0.110263,0.041122,0.024652,0.298168,0.136614,1.317493,0.076959,0.486839,0.963223,0.790651,0.361003,-0.043994,-0.948171
0.014982,0.022756,0.015465,0.015323,0.015492,0.000904,0.008192,0.000291,0.000239,0.000221,4e-06,-0.007264,-3.7e-05,-0.007552,-0.007535,-9.8e-05,-0.000166,0.000129,-7.6e-05,0.007529,0.007708,0.000315,-0.000133,-0.000181,-6.8e-05,8.1e-05,0.007745,0.007872,0.000302,0.000266,0.000213,-0.000124,-0.000131,-7.4e-05,-0.000189,-0.000315,-0.000117,-0.0001,-0.000113,-6.7e-05,-0.000182,-0.00019,9.5e-05,2e-06,0.007523,0.000119,-5e-06,-2e-06,0.000184,5e-05,5.6e-05,4.8e-05,6.8e-05,-8e-06,2e-06,2e-06,-3e-06,1e-06,6.7e-05,2.8e-05,-7.9e-05,1.1e-05,-0.0,-5e-06,1e-06,0.00754,-2.6e-05,-4.2e-05,1e-06,1.7e-05,-3e-06,1.5e-05,1.2e-05,-0.000131,-0.000111,-3.6e-05,-5.1e-05,-5e-06,-2e-06,-0.00749,-0.000127,-9.9e-05,-0.00011,-7.6e-05,-9.4e-05,-2.9e-05,5e-06,3e-06,1.2e-05,5.8e-05,-6.9e-05,1e-06,4.4e-05,1.7e-05,-4.3e-05,2.4e-05,0.007458,-8e-06,3.9e-05,0.007537,2.8e-05,5.4e-05,-2e-06,-0.007493,-4.6e-05,1e-06,-0.0,-8.3e-05,-6e-06,-0.007493,-1e-06,-0.0,-8e-05,-2.9e-05,-7.3e-05,-1.1e-05,2e-06,4e-06,-2e-06,0.007478,-7.1e-05,-0.007543,-0.007498,-0.000118,-0.00018,-0.000171,-5.3e-05,-4.6e-05,-2.7e-05,5.9e-05,-9e-06,-3.5e-05,8.3e-05,2.5e-05,-3e-06,-5e-06,-6e-06,-0.000102,-0.000153,-0.000106,-0.007476,-0.007505,-3e-06,-4.4e-05,-8.3e-05,-8.1e-05,8.5e-05,1e-06,-0.007511,0.007524,-2e-06,1e-06,-4e-06,3.5e-05,6.8e-05,8.1e-05,0.000459,0.008,0.0082,0.008693,0.01626,0.008636,0.015989,0.015786,0.022965,0.022887
-0.000959,0.000446,0.002277,0.00152,0.002834,0.00626,0.004685,-0.002781,-0.003141,0.001539,-0.004786,0.001801,-0.005046,-0.004969,-0.009632,-0.010236,-0.015482,-0.013496,-0.014868,-0.004953,-0.003746,0.002219,-0.000893,-0.001241,-0.000464,0.000568,0.001299,0.002198,0.002109,0.001863,0.001496,-0.000846,-0.000921,-0.000515,-0.001312,-0.002222,0.004017,-0.000725,-0.000826,-0.000494,-0.001289,-0.001353,0.000666,1.5e-05,-0.000261,0.000848,-3.4e-05,-2.7e-05,0.001332,-0.004561,0.000403,0.000361,0.000499,-5.6e-05,-3e-06,-1e-06,-2.4e-05,5e-06,0.000505,0.000211,-0.005541,8e-05,-8e-06,-5.6e-05,6e-06,-5.8e-05,-0.000194,-0.000311,7e-06,0.000138,-1.2e-05,0.000114,9.4e-05,-0.000972,-0.000825,-0.000276,-0.005327,-3.2e-05,-8e-06,0.000496,-0.00092,-0.000718,-0.000816,-0.000564,-0.00069,-0.000221,2.7e-05,1.5e-05,8.8e-05,0.000443,-0.000505,-0.0,0.000316,0.000122,-0.000316,0.000175,-0.005712,-5.3e-05,0.000292,-0.000166,0.000206,0.000404,-1e-05,0.000473,-0.000355,3e-06,-1e-06,-0.000616,-3.9e-05,0.000501,-1e-06,0.0,-0.000597,-0.000214,-0.000545,-8.4e-05,1.4e-05,1.5e-05,5e-06,-0.000611,-0.000517,0.000155,0.000496,-0.000881,-0.001331,-0.001275,-0.000396,-0.00034,-0.0002,0.000442,-5.9e-05,-0.000257,0.000613,0.000179,-2.4e-05,-3.5e-05,-4.1e-05,-0.000757,-0.001131,-0.000789,0.000725,0.00051,8e-06,-0.000309,-0.000606,-0.000596,0.000628,5e-06,0.000488,-0.000374,-7e-06,-7e-06,-3.4e-05,0.000257,0.00051,0.000599,0.003446,-0.001671,0.004864,0.008921,0.00451,0.004113,0.003064,-0.003388,-0.000476,-0.001012
-0.000846,0.000744,0.002625,0.001784,0.003173,0.006725,0.005076,0.007109,0.006722,0.00165,0.004969,0.001872,0.004694,0.004724,0.009824,0.009239,0.013719,0.015838,0.014387,0.00485,0.006124,0.002341,-0.000945,-0.001312,-0.00049,0.000601,0.001418,0.002364,0.002217,0.001958,0.001571,-0.000889,-0.000969,-0.000543,-0.001383,-0.002341,-0.005782,-0.000762,-0.000867,-0.000519,-0.001363,-0.001435,0.000701,1.3e-05,-0.000242,0.000894,-4.1e-05,-3.3e-05,0.001405,0.005208,0.000423,0.000377,0.000522,-6.5e-05,-1e-05,-7e-06,-2.9e-05,8e-06,0.000534,0.000224,0.004178,8.6e-05,-7e-06,-6.1e-05,7e-06,-4e-05,-0.000206,-0.000328,7e-06,0.000145,-1.2e-05,0.00012,0.000101,-0.001026,-0.000869,-0.000291,0.004403,-3.5e-05,-1e-05,0.000503,-0.000973,-0.000756,-0.000861,-0.000597,-0.000732,-0.000235,2.8e-05,1.4e-05,9.3e-05,0.00047,-0.000534,-1e-06,0.000334,0.000127,-0.000336,0.000185,0.004018,-5.7e-05,0.000307,-0.000154,0.000217,0.000428,-1e-05,0.000479,-0.000375,3e-06,-2e-06,-0.000653,-4.2e-05,0.000509,1e-06,-0.0,-0.000631,-0.000228,-0.000578,-8.8e-05,1.6e-05,1.3e-05,7e-06,-0.000624,-0.000547,0.000144,0.000505,-0.000934,-0.001413,-0.001355,-0.000424,-0.000361,-0.000213,0.000468,-6.3e-05,-0.000272,0.000654,0.00019,-2.6e-05,-3.6e-05,-4.4e-05,-0.000805,-0.001205,-0.000841,0.000746,0.000516,7e-06,-0.000329,-0.000646,-0.000637,0.00067,6e-06,0.000494,-0.000371,-8e-06,-1e-05,-3.6e-05,0.000274,0.000542,0.000633,0.003664,0.0083,0.005159,0.009384,0.014648,0.014142,0.012996,0.016163,0.009178,0.008603
-0.040396,0.003413,0.002999,-5.8e-05,-0.004467,-0.005827,-0.001344,-0.00802,0.139387,0.118897,-0.035924,-0.004,-0.00735,-0.044909,-0.052092,0.088235,0.0023,-0.070464,-0.080048,0.050083,-0.039728,0.06651,0.000582,0.001075,0.000797,0.000537,0.00174,0.002447,0.000241,0.00011,9.7e-05,7e-05,5e-05,3.7e-05,2.6e-05,-0.000206,-0.108364,-3.4e-05,-0.479486,-0.007398,0.000635,-0.000314,0.000294,0.000205,0.001141,0.00011,7.7e-05,6.5e-05,5.1e-05,-0.035493,3.2e-05,2.8e-05,-0.006032,-3.4e-05,7.8e-05,7.7e-05,6.1e-05,4.6e-05,3.9e-05,3.4e-05,-0.035521,1.5e-05,-0.005282,2.2e-05,8e-06,0.000993,7.1e-05,-7e-06,-9e-06,-5e-06,4e-06,3e-06,1e-06,-0.000766,0.0,3e-06,-0.035557,-1e-06,-0.0,-0.000988,-0.000782,-1.3e-05,-8e-06,-0.000777,1e-06,-1.2e-05,-3e-06,-9e-06,-1.2e-05,-1.3e-05,-3e-06,4e-06,2e-06,-2e-06,1e-06,-2e-06,-0.03456,4e-06,-2e-06,0.000989,0.000151,-1.1e-05,-1.5e-05,-0.000991,-4e-06,-6e-06,-4e-06,-9e-06,-1e-06,-0.000987,-0.0,-0.0,-0.000769,-0.005317,-2e-06,-5e-06,-5e-06,-1.1e-05,-1.1e-05,0.000977,-6e-06,-0.000988,-0.000994,-1.1e-05,-1.4e-05,-0.000786,-1.1e-05,-6e-06,-6e-06,-1.1e-05,-0.0,-0.0,0.000768,-3e-06,1e-06,-8e-06,-1.1e-05,-0.000786,-7e-06,-1e-05,-0.000992,-0.001,-1e-06,4e-06,-5e-06,-1e-06,0.000774,1e-06,-0.000982,0.000986,2e-06,1e-05,9e-06,2e-06,1e-05,1.1e-05,0.001279,-0.033731,-0.153537,0.009106,0.153424,0.109096,0.147854,-0.017468,0.144508,0.073641
