0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
0.004806,0.004274,0.004091,0.009509,0.009523,0.003929,0.005036,0.004361,0.005631,0.005283,0.004927,-0.000561,0.00077,0.001051,-0.005395,0.00033,0.000173,-6.2e-05,-0.000146,-9.6e-05,-0.00011,-7.4e-05,-0.000119,-0.000145,-0.005797,-0.000179,-0.005894,-0.005982,-0.000151,1.4e-05,-0.000126,-0.000297,-0.000366,-0.000837,-0.001319,0.004158,0.004451,0.004687,-0.000856,-0.000799,-0.000664,4e-05,-0.000851,0.000119,-0.000493,-0.005054,0.000448,-0.005132,0.00028,0.000403,-0.000225,0.000842,-0.004725,-0.000246,-0.006067,-0.000468,-0.000483,-0.000639,-0.000641,-0.000403,-0.00026,-0.000191,-0.000186,0.005399,0.000136,0.00022,-0.000526,0.0005,0.000454,0.000507,0.000664,0.000701,0.000555,0.006112,0.000214,0.005148,0.005016,0.010513,0.004867,0.010338,0.010502,0.010688,0.017263,0.016551,0.011072,0.016491,0.01091,0.011024,0.011351,0.005921,0.00048,0.000131,-0.000329,-0.005951,-0.005881,0.000105,0.000106,0.001027,0.00044,0.000895,0.000776,0.000498,0.001529,0.000478,-0.004181,0.000752,2e-06,-0.000945,-0.00078,-0.000767,0.004505,-0.000253,-0.000464,-0.000661,0.000355,0.000829,0.000608,-0.004067,-0.004806,0.000299,0.000183,0.000358,-0.004745,0.000589,-0.004711,-0.000748,8.8e-05,4.7e-05,-0.000733,-0.000563,-0.005439
0.007011,0.010285,0.011223,0.013844,0.013528,0.01153,0.004004,0.00852,0.00014,0.002651,0.005258,0.003349,-0.005176,-0.006874,-0.002498,-0.002004,-0.001053,0.000373,0.000887,0.000578,0.000669,0.000447,0.000727,0.000891,-3.8e-05,0.001109,0.000586,0.001157,0.000919,-9.2e-05,0.000766,0.001834,0.002263,0.005165,0.00809,0.009861,0.00796,0.006443,0.005173,0.004819,0.004013,-0.000724,0.005159,-0.001218,0.002975,-0.004508,-0.00323,-0.004044,-0.002251,-0.00295,0.001343,-0.005637,-0.00654,0.001498,0.00212,0.002858,0.002956,0.003934,0.003944,0.002475,0.001584,0.001182,0.001159,0.001788,-0.000838,-0.001356,0.003908,-0.003096,-0.002801,-0.003134,-0.004109,-0.004338,-0.003426,-0.002431,-0.001314,0.003514,0.004296,0.00555,0.005045,0.006344,0.00531,0.004129,-0.00151,0.003121,0.001873,0.003432,0.002725,0.002116,0.00045,-0.001,-0.002447,-0.000665,0.001665,0.001145,0.000791,-0.000552,-0.000559,-0.006116,-0.00311,-0.006292,-0.005703,-0.004271,-0.010426,-0.004198,-0.010542,-0.005597,-0.000885,0.004877,0.004036,0.003985,0.006239,0.000501,0.001585,0.002615,-0.0035,-0.00598,-0.004008,-0.009323,-0.004687,-0.0016,-0.000979,-0.001912,-0.005117,-0.003165,-0.004811,0.004728,0.000154,-0.000272,0.004688,0.003779,-0.000699
0.010603,0.012374,0.012801,0.013704,0.01347,0.012704,0.015526,0.010979,0.013421,0.007837,0.00232,0.001723,0.004178,0.003307,-0.000897,-0.001034,-0.000542,0.000193,0.00046,0.000299,0.000348,0.000232,0.000374,0.000462,0.000375,0.000572,0.000693,0.000985,0.000473,-4.6e-05,0.000389,0.000941,0.001159,0.002635,0.004105,0.004606,0.003624,0.002847,0.002577,0.002394,0.001989,0.006379,0.002543,0.006125,0.001456,0.004874,0.005136,0.005105,0.005609,0.00528,0.000651,0.003983,0.003909,0.000729,0.00131,0.001378,0.001423,0.001891,0.00189,0.001183,0.000753,0.000566,0.000547,0.000504,-0.000399,-0.000643,-0.004906,-0.001473,-0.001338,-0.001498,-0.00197,-0.002088,-0.001657,-0.001536,-0.000641,0.00134,0.001715,0.00196,0.002065,0.002327,0.001828,0.001262,0.004898,0.000433,0.000186,0.000583,0.000596,0.000306,-0.000487,-0.000833,-0.001182,-0.000323,0.000796,0.000897,0.000726,-0.000263,-0.000267,0.003762,0.005203,0.010383,0.010671,0.01135,0.015146,0.011405,0.015461,0.010761,0.006271,0.002256,0.00186,0.00183,0.002528,0.006874,0.007355,0.007806,0.011676,0.010565,0.004832,0.002779,-0.001776,-0.000714,-0.000438,-0.000855,-0.001979,-0.001421,-0.001932,-0.004516,-3.9e-05,-0.000118,-0.004537,-0.004952,-0.006652
-0.029965,0.432264,0.156882,0.39911,0.380577,0.107509,0.169763,-0.038953,1.23559,-0.056597,0.378374,0.32973,-0.039217,-0.035805,-0.001549,0.000338,0.042942,-0.001062,5.3e-05,0.000149,0.002601,0.000428,6.5e-05,3.1e-05,-0.001106,0.001724,-0.001639,-0.016799,-0.000111,-0.000155,0.82137,0.008522,-0.000239,0.00242,0.001954,0.00608,-0.010577,0.004022,0.002037,0.002051,0.003043,-0.034242,0.002109,-0.03425,0.002109,-0.03839,-0.036348,-0.048682,-0.873825,-0.032275,-0.004275,-0.036798,-0.014892,0.056258,-2.556567,0.390374,0.390343,0.242182,-0.067709,0.229145,0.284225,0.148333,-0.680375,0.209839,0.491696,0.10079,-2.022796,0.015558,-0.014934,0.004827,0.077075,0.008772,0.025963,0.002259,0.100211,0.118441,0.12341,0.046803,0.149759,0.019351,0.347506,0.256585,-0.039922,-0.011924,0.064417,0.488473,0.045542,0.062928,0.246327,0.27707,-0.016689,0.045641,0.475063,0.197964,0.124608,-0.010047,-0.017745,-0.05354,0.161384,0.077083,0.226484,0.356079,0.150205,0.151825,0.002894,-0.091584,-0.034106,0.002381,-0.013738,0.000199,-0.003711,-0.03518,-0.032021,-0.034044,-0.096949,-0.070634,-0.036086,-0.040123,0.047228,-0.001272,-0.009355,-0.001497,0.012064,0.326997,1.25626,0.000441,0.983396,-0.298528,0.013231,-0.450281,-0.405201
-0.038937,-0.522731,-0.266469,0.292782,-0.390616,-0.220918,-0.292735,-0.052311,0.214367,-0.01099,-0.408458,-0.378498,0.010379,0.007448,0.015592,0.000243,-0.041701,0.001215,0.000319,0.000109,0.004993,0.000733,4.1e-05,4.2e-05,0.01701,0.00316,0.01571,0.120901,-0.000102,-0.000736,0.715429,-0.020635,-0.000798,-0.015946,-0.015389,-0.046076,0.074626,-0.030674,-0.015398,-0.015412,-0.013404,-0.008446,-0.015349,-0.00845,-0.015309,0.022083,0.006858,0.022854,-2.098586,-0.089127,-0.00552,0.008591,-0.006272,-0.16055,-2.359474,-0.419285,-0.412349,-0.271189,-0.090387,-0.256765,-0.71847,-0.173376,-0.689736,-0.260979,-0.50184,-0.12217,-2.064111,-0.017919,0.012564,-0.008419,-0.081783,-0.010084,-0.02667,-0.012793,-0.109746,-0.160243,-0.16119,-0.087338,-0.189486,-0.073622,-0.421583,-0.301179,-0.044766,-0.039271,-0.102322,-0.523476,-0.081857,-0.100214,-0.276225,-0.356781,0.027527,-0.050567,-0.479313,-0.186637,-0.128878,0.004216,0.014194,0.019733,-0.209676,-0.16161,-0.311089,-0.453011,-0.264474,-0.32476,-0.113972,0.014943,-0.008324,-0.014267,0.100537,0.000113,-0.022441,-0.007799,-0.023408,-0.008949,0.10673,-0.003092,0.005401,0.034906,-0.040514,0.001269,0.008679,0.001229,0.007737,-0.323547,0.466906,0.025262,0.739802,0.318757,0.023869,0.511639,0.493592
0.057913,-0.217802,-0.059375,-0.392048,-0.149191,-0.02805,-0.136998,0.045188,0.997993,0.034024,-0.190422,-0.274053,-0.017442,-0.018999,-0.028415,0.000573,-0.068086,0.000851,0.000428,0.000269,-0.003528,-0.00035,0.000109,7.2e-05,-0.030532,-0.002576,-0.02996,-0.197032,-0.000172,-0.000129,1.292667,0.021955,-0.000599,0.024813,0.023678,0.077446,-0.114238,0.053288,0.024113,0.02417,0.022721,0.004176,0.024257,0.004226,0.024298,-0.049357,-0.02011,-0.055251,1.571841,0.149959,-0.010974,-0.019697,-0.081102,0.004611,-4.333902,-0.229042,-0.262075,-0.184032,-0.132194,-0.175628,-0.735897,-0.126833,-1.431851,-0.115356,-0.354353,-0.099458,-4.588153,-0.065268,-0.043821,-0.057829,-0.102141,-0.056953,-0.065933,-0.015971,-0.074379,-0.040464,-0.035641,0.006358,-0.055574,0.044464,-0.237328,-0.125891,0.038093,0.070625,-0.004869,-0.191038,0.008493,-0.006026,-0.100176,-0.289828,-0.021335,-0.041827,-0.239323,-0.156246,-0.093394,-0.011511,-0.000307,-0.021066,-0.125093,-0.135432,-0.217068,-0.259057,-0.208647,0.00621,-0.164361,-0.01257,0.007004,0.027272,-0.169464,0.001127,0.055441,0.004992,0.029412,0.004369,-0.191471,-0.016418,-0.02061,-0.074904,-0.072245,0.000527,0.000672,0.000538,-0.079043,-0.173498,5.169005,0.014636,5.43545,0.174951,0.054739,0.301615,0.252694
-0.000694,-0.000996,-0.000703,-8.1e-05,0.006039,0.00609,0.006186,0.000216,-0.000203,0.006345,0.000211,0.000131,0.00014,1.6e-05,-5e-06,0.000147,0.000112,0.000532,0.000656,-0.005302,0.000735,0.001205,0.001196,0.001281,0.001226,-0.005148,-0.005261,-0.004834,-0.00528,-0.011618,-0.004772,-0.004623,-0.004914,-0.004883,0.001335,-0.004607,0.001589,0.002157,-0.003739,-0.003798,-0.00422,-0.003604,-0.004039,0.001751,0.001405,0.00186,0.001887,0.001874,0.002331,0.002395,0.00197,0.000976,0.00105,0.000537,-2.7e-05,-0.000217,-0.000325,0.00553,0.005387,-0.000577,-0.000642,0.005175,-0.000635,-0.000639,-0.000613,-0.000546,-0.000568,-0.000518,-0.000372,-0.000317,-0.005887,1.3e-05,6e-06,0.000378,0.00038,2.9e-05,-1e-06,-7e-06,1e-06,0.000122,-0.005768,0.000392,-4.3e-05,4e-06,0.00039,-0.000169,-8.1e-05,-0.000148,0.000305,0.005956,-0.000303,-0.000288,-0.000183,1.1e-05,1.1e-05,-1.4e-05,-0.000187,-7.4e-05,7e-06,-0.000116,-2e-06,-3e-06,-0.000121,-0.000104,0.000173,-0.000172,-6.6e-05,1.4e-05,4e-05,-1e-06,1e-06,-0.000124,-0.005885,-0.000181,-0.000281,-0.000202,0.000198,-0.000107,-0.000157,1.9e-05,7e-06,9.5e-05,1e-06,-8.5e-05,-1e-05,-0.000393,-0.000117,-0.000166,-0.000392,7e-06,-1e-06
0.000398,-0.00111,0.000343,0.007277,0.00627,0.006517,0.007015,0.008778,0.002802,0.003986,0.001049,0.000656,0.000705,8.5e-05,-2e-05,0.000725,0.00056,0.002704,0.003342,0.005093,-0.000132,0.006138,0.006092,0.006509,0.006217,0.001764,0.001131,0.007019,0.000959,0.000426,0.007121,0.007801,0.002533,0.00263,0.002613,0.003838,0.003789,0.010214,0.011481,0.011163,0.00535,0.011906,0.006105,0.004517,-0.000821,0.005023,0.005154,0.005104,0.010961,0.011273,0.00929,0.000928,0.004972,0.002549,-0.000127,-0.001028,-0.001537,-0.002333,-0.003036,-0.002747,-0.003065,-0.004104,-0.003036,-0.003068,-0.00293,-0.002621,-0.002715,-0.002473,-0.001775,-0.00151,0.000812,5.1e-05,1.5e-05,0.005502,0.005514,0.000137,-1.3e-05,-4.5e-05,2e-06,0.000572,0.001331,0.005554,-0.000207,-1e-06,0.005512,-0.000808,-0.000393,-0.000705,0.005116,0.003277,-0.001437,-0.001356,-0.000862,4.1e-05,4.6e-05,-6.9e-05,-0.000881,-0.000345,2.4e-05,-0.000524,9e-06,7e-06,-0.000556,-0.000483,0.00451,-0.000809,-0.000307,6.5e-05,0.000192,-4e-06,-3e-06,-0.00059,0.000777,-0.000851,-0.001313,-0.000948,0.004619,-0.000506,-0.000742,8.5e-05,2.8e-05,0.000444,8e-06,-0.000395,-4.3e-05,-0.00552,-0.000536,-0.000772,-0.005533,2.4e-05,3e-06
-0.007295,-0.00824,-0.007354,-0.010615,-0.01134,-0.011181,-0.010864,-0.009656,-0.005826,-0.005173,0.000658,0.000411,0.000442,5.2e-05,-1.2e-05,0.000457,0.00035,0.0017,0.002097,0.003287,0.007469,0.003822,0.003775,0.004019,0.003827,0.00868,0.008279,0.004378,0.008155,0.00793,0.004397,0.004794,0.009041,0.009075,0.00892,0.009743,0.009561,0.005915,0.006724,0.006517,0.010438,0.00684,0.010795,0.009721,0.013932,0.009941,0.009969,0.009897,0.005865,0.006007,0.00491,0.007557,0.002605,0.001333,-6.6e-05,-0.000536,-0.000805,-0.001393,-0.001764,-0.001445,-0.001615,-0.002335,-0.001605,-0.001626,-0.001554,-0.001394,-0.001445,-0.001319,-0.000947,-0.000806,0.000598,2.5e-05,9e-06,-0.00417,-0.004162,7.4e-05,-7e-06,-2.3e-05,2e-06,0.000308,0.000876,-0.004134,-0.000109,1e-06,-0.004154,-0.00043,-0.000209,-0.000375,-0.004358,-0.005502,-0.00077,-0.000725,-0.000462,2.2e-05,2.6e-05,-3.8e-05,-0.000472,-0.000186,1.1e-05,-0.000281,7e-06,5e-06,-0.000299,-0.000259,-0.004678,-0.000437,-0.000165,3.5e-05,0.000103,-2e-06,-1e-06,-0.000317,0.000577,-0.000458,-0.000709,-0.000511,-0.004624,-0.000275,-0.000401,4.5e-05,1.4e-05,0.000241,5e-06,-0.000213,-2.2e-05,0.004136,-0.000291,-0.000418,0.004127,1.2e-05,0.0
0.034458,0.034474,0.034472,0.069875,0.070728,0.072248,0.060593,0.071166,0.035248,0.03599,0.00182,-0.009813,0.000181,-1.7e-05,-1e-05,0.000425,-5e-06,0.000413,0.000412,0.002082,-0.027398,0.001878,0.000801,0.001594,0.000478,-0.033246,-0.034488,-0.027446,-0.043964,-0.099369,-0.002605,-0.000212,-0.035071,-0.035479,-0.037319,-0.120819,-0.033528,0.000825,-0.014221,0.00149,-0.034952,-0.000166,-0.034973,-0.036935,-0.068774,-0.033949,-0.037009,-0.033918,-0.002231,0.001398,0.000938,-0.034368,-0.002746,0.000465,5e-06,1e-06,8e-06,0.000987,0.000526,-0.000462,-0.00045,0.000513,-6e-06,-0.001097,-0.000596,6e-06,-0.000463,-0.000463,-4e-06,-9e-06,-0.000981,0.002488,-0.000159,0.034834,0.033363,-1.5e-05,2e-05,1.8e-05,5e-06,-0.00119,-0.001141,0.034137,-4e-06,1.7e-05,0.034826,8e-06,1.1e-05,1.4e-05,0.034791,0.035787,3e-06,-0.000415,-0.000414,3e-06,9e-06,-5e-06,-1.1e-05,-4e-06,-7e-06,-2.9e-05,-2.1e-05,-2e-05,-2.3e-05,-1.4e-05,0.034785,-1.1e-05,-3e-06,-4e-06,-1e-05,-4e-06,-0.0,1e-06,-0.000985,2e-06,-0.000412,1e-05,0.034794,4e-06,-0.000409,2e-06,3e-06,-9e-06,-6e-06,-3e-06,1e-06,-0.034795,-0.0,-5e-06,-0.034787,-4e-06,-6e-06
