0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
-0.027708,-0.027903,-0.021056,-0.027233,-0.033273,-0.032946,-0.026596,-0.020608,-0.020479,-0.014186,-0.014275,-0.002292,-0.002372,0.00337,0.00337,0.003794,-0.002035,-0.002279,-0.002311,0.004248,0.004267,0.005004,0.011267,0.017902,0.024341,0.018953,0.019217,0.025619,0.026195,0.020129,0.020538,0.026217,0.014054,0.014001,0.007724,0.000936,0.001057,0.001098,0.000679,0.000594,0.000535,-0.005281,-0.004958,-0.010093,-0.004448,-0.004033,-0.004119,-0.00399,-0.003748,-0.00419,-0.004647,-0.004595,-0.005002,-0.004989,-0.005016,-0.005062,0.000477,0.000407,-0.005728,-0.000196,-0.000214,-0.000202,-0.000124,0.000435,0.006139,0.000516,0.000522,0.000438,0.000417,-0.005383,0.000832,0.000318,-0.005198,0.000922,0.000274,0.000688,0.000133,0.005902,9.7e-05,9.4e-05,0.005825,0.000541,4.8e-05,0.000977,0.001438,0.001434,0.001894,0.001903,0.001395,0.001838,-0.004365,0.001329,0.000857,-0.005249,8.4e-05,-0.000305,-0.005783,-0.006025,-0.006366,-0.006307,-0.006781,-0.007158,-0.007092,-0.007012,-0.002194,0.003572,0.003191,0.002904,0.008339,0.008419,0.008152,0.008823,0.008953,0.014869,0.015119,0.010114,0.016563,0.028819,0.023742,0.030209,0.030053,0.030204,0.036305,0.030158,0.029468,0.029824,0.024469,0.031267,0.031307,0.01919,0.01333,0.013904,0.007256,0.001857,0.001712,-0.004786,-0.004579,-0.004918
0.023708,0.029563,0.026497,0.029398,0.030825,0.029929,0.028719,0.030127,0.023337,0.020432,0.016393,0.020266,0.019358,0.024522,0.02492,0.021431,0.01752,0.026569,0.029155,0.029204,0.033769,0.029988,0.034474,0.02597,0.019125,0.01089,0.00735,-1.4e-05,-0.007762,-0.006693,-0.012228,-0.013814,-0.008109,-0.007957,-0.003264,0.007928,0.005394,0.004566,0.008095,0.009631,0.010734,0.012103,0.006929,0.00103,-0.00207,-0.010147,-0.013362,-0.016185,-0.021952,-0.018474,-0.014501,-0.016113,-0.013545,-0.014921,-0.014801,-0.014713,-0.013865,-0.012029,-0.00562,-0.002782,-0.002165,-0.002569,-0.005045,-0.013227,-0.013741,-0.015713,-0.015986,-0.013535,-0.012862,-0.012477,-0.01711,-0.010438,-0.01086,-0.010649,0.000871,-0.002794,0.005322,0.00656,0.006273,0.006203,0.007432,0.001241,0.007253,-0.003257,-0.008387,-0.008331,-0.013433,-0.013708,-0.00726,-0.011711,-0.00601,-0.005053,0.000368,0.0042,0.006321,0.009283,0.003827,0.002136,0.003379,0.001028,0.00706,0.009467,0.006676,0.0028,0.011774,0.008546,0.011412,0.010246,0.010893,0.009169,0.010357,0.000876,0.001682,0.001827,0.003127,-0.004838,-0.008162,-0.003395,-0.007651,-0.007347,-0.002952,-0.000196,0.002784,0.005385,0.010597,0.00711,0.001213,-0.005859,-0.006143,-0.006648,-0.008494,-0.012726,-0.008591,-0.013902,-0.012768,-0.009739,-0.011082,-0.008396
-0.020933,-0.016602,-0.011369,-0.008813,-0.007328,-0.007969,-0.009273,-0.016444,-0.020996,-0.023425,-0.026131,-0.031965,-0.032613,-0.037085,-0.036725,-0.031453,-0.025971,-0.027084,-0.025002,-0.01756,-0.014103,-0.001405,0.008962,0.017387,0.026701,0.03581,0.040496,0.049164,0.058015,0.058604,0.062056,0.060268,0.057122,0.057025,0.052765,0.04503,0.043241,0.042611,0.037282,0.037624,0.037927,0.03197,0.029346,0.026927,0.025195,0.021739,0.014006,0.012844,0.01047,0.005494,0.000689,-1.1e-05,-0.005473,-0.006131,-0.006113,-0.006148,-0.006212,-0.005447,-0.00884,-0.00795,-0.007686,-0.007884,-0.009067,-0.006234,-0.006893,-0.007533,-0.00776,-0.006647,-0.006352,-0.005825,-0.001693,-0.005275,0.001836,0.008502,0.007406,0.0125,0.009619,0.009796,0.010028,0.009941,0.010098,0.01431,0.010328,0.018946,0.023334,0.023359,0.027812,0.027728,0.023884,0.028678,0.024823,0.024845,0.020432,0.015654,0.00941,0.003932,0.001983,-0.005421,-0.011584,-0.012579,-0.016712,-0.022367,-0.02356,-0.025256,-0.035134,-0.036976,-0.042438,-0.049831,-0.056886,-0.057845,-0.064431,-0.062938,-0.06314,-0.063807,-0.063795,-0.054413,-0.049975,-0.041204,-0.029072,-0.022213,-0.01942,-0.010183,-0.001201,0.000786,0.004526,0.009663,0.013404,0.015978,0.015782,0.01648,0.0158,0.020525,0.016293,0.020876,0.021624,0.024073,0.030624,0.032157
-3.739758,-0.192201,-1.058685,-1.059461,-0.217434,-1.056476,0.137034,0.393413,0.595432,-3.519085,-0.955873,-3.666577,0.194378,-0.387078,-0.273276,0.834917,-3.035309,0.744823,-3.326435,0.19712,0.192495,-0.652972,0.088567,0.019019,0.158484,0.188354,0.096763,0.384363,0.582069,-0.455074,1.616431,0.605786,0.402184,0.226918,0.157643,-0.050231,0.225876,0.093544,-0.160102,-0.18962,-0.177449,-0.141929,-0.074753,0.005585,-0.006454,0.476879,-0.064329,-0.145893,-0.125827,0.167397,-0.015205,-0.062923,-0.007576,-0.007642,-0.007542,-0.007519,-0.005667,-0.003803,0.030393,0.034316,0.034483,-0.126263,-0.259147,-0.003792,-0.003418,-0.005665,-0.005623,-0.003756,-0.003739,-0.005765,-0.040159,0.008882,-0.040354,-0.072941,-0.032831,-0.069277,-0.032828,-0.030775,-0.032815,-0.045346,-0.02896,-0.069262,-0.031012,-0.105714,-0.141642,-0.13971,-0.186672,-0.069478,1.86868,-0.095449,-0.068793,-0.164201,-0.131798,-0.079309,-0.038241,0.022561,0.049505,0.196071,0.219131,0.392222,0.149083,0.074082,0.154937,0.13878,0.438854,0.188647,0.276393,0.733913,0.448616,0.365341,0.586735,0.723581,1.501118,0.851761,3.04939,0.713786,1.075948,1.135623,0.891116,2.399397,0.885769,-0.166062,2.094586,3.535358,0.162632,-0.104961,2.992392,-0.169475,-0.212991,-0.226062,-0.248943,-0.265409,-0.113934,0.03446,0.075986,-0.461172,-0.348652,3.457359
-3.530248,-0.226811,-1.001387,-0.997585,-0.224591,-1.07176,-0.025062,-0.189706,-0.588347,-3.886362,-1.206972,-3.531506,-0.724349,-1.781724,-1.858706,-1.022279,-3.618606,-1.006432,-2.768837,-0.202289,-0.097458,0.123146,-0.141681,-0.122442,0.376679,0.472703,-0.302129,-0.590768,-0.977141,-1.591755,0.673217,-1.194179,-0.8029,-0.609529,-0.518112,-0.065158,-0.528207,-0.444463,0.012277,-0.03699,-0.064274,-0.046866,-0.024289,-0.115774,-0.201137,0.488187,0.048825,0.259201,0.16101,-0.319967,-0.000596,0.164902,0.059104,0.058895,0.058922,0.058941,0.043682,0.029187,0.034358,0.004592,0.004638,0.275741,0.48499,0.041127,0.028468,0.044031,0.044034,0.029348,0.029343,0.044543,0.039339,-0.071768,0.039829,0.019944,-0.019116,-0.009157,-0.019053,-0.034227,-0.018988,0.080147,-0.048437,-0.009171,-0.033058,0.000464,0.010472,0.012386,0.019531,-0.174781,1.147829,-0.084328,-0.130879,0.101761,0.103193,0.008134,-0.00335,-0.087305,-0.118279,-0.341111,-0.327016,-0.627752,-0.154144,0.12958,0.017325,0.017704,-0.400317,0.01743,-0.076397,-0.27663,-0.2333,-0.017656,-0.411434,-0.658117,-0.907816,-0.341002,-1.45395,-0.345926,-0.455374,-0.852452,0.657853,1.442767,-0.587935,0.601661,2.059299,-1.88791,0.038459,0.250734,-2.392441,0.168799,0.331601,0.286439,0.336647,0.299563,-0.013229,0.199466,0.097997,0.249411,0.093804,-1.708192
-1.632338,-0.297081,-0.586872,-0.606278,-0.333354,-0.495033,-0.039237,-0.386121,-0.47421,-2.10437,-0.771618,-2.243685,-0.744428,-1.275445,-1.48279,-0.777369,-3.530946,-0.27824,-3.326267,0.268459,0.137243,0.203087,0.185703,0.203496,-0.784696,-0.769673,-0.234972,-0.741409,-0.872309,-2.089313,-2.95148,-1.127762,-0.791713,-0.586322,-0.51899,-0.421151,-0.514555,-0.192399,-0.124243,0.088021,0.105127,0.068866,-0.229324,-0.356725,-0.133432,-0.593973,-0.312471,-0.418417,-0.279545,-0.311704,-0.129805,-0.262383,-0.103274,-0.103476,-0.103565,-0.103602,-0.07438,-0.049698,-0.060384,-0.006434,-0.006417,0.126845,0.252327,-0.07603,-0.045425,-0.074375,-0.074321,-0.049561,-0.049547,-0.078773,-0.06802,0.12127,-0.072558,-0.037049,0.031069,0.012537,0.031114,0.060383,0.031147,-0.140793,0.085387,0.012544,0.056237,-0.006145,-0.025353,-0.026934,-0.012681,-0.155851,-1.953532,-0.299845,-0.112809,-0.173158,-0.146231,0.014207,0.032436,-0.006059,-0.063672,-0.014174,-0.01399,-0.167601,0.134222,0.035079,-0.038775,-0.029226,-0.172718,0.025456,-0.006088,-0.297754,-0.116564,-0.223592,-0.239789,-0.446838,0.798537,-0.254929,3.936299,-0.50518,0.68455,0.761382,-0.339918,-0.573264,1.017362,0.199336,-0.23566,3.643569,0.581622,-0.057993,3.790714,0.086883,0.55289,0.375493,0.297412,0.23988,0.011295,0.589335,0.501066,0.390875,0.136777,3.497353
0.026156,0.026179,0.019939,0.026192,0.025815,0.019022,0.012709,-7e-05,-0.000441,-0.006762,-0.019196,-0.019101,-0.018885,-0.030721,-0.030834,-0.031197,-0.031049,-0.031465,-0.03117,-0.030345,-0.030014,-0.024013,-0.0178,-0.017747,-0.012026,-0.006875,-0.007161,-0.006646,0.005442,0.005358,0.006081,-0.000254,-0.000426,-0.000515,-0.000359,-0.000248,-0.000313,-0.000417,-0.000433,-2e-06,-6.5e-05,-0.000135,-0.000403,-0.000494,-0.000128,-0.000541,-0.000152,-0.000108,-0.000167,-0.006301,-0.000114,-8.2e-05,-0.000192,-0.00017,-0.000183,-0.000271,-0.000253,-0.006327,1.4e-05,-0.00602,-0.006121,-2e-06,-5.7e-05,-2e-06,-1e-06,-0.000411,4.2e-05,-1e-06,4e-06,0.006169,-8.4e-05,-0.000133,2e-06,0.000108,-1e-06,6.2e-05,0.000136,-2e-06,-0.000447,-1e-06,-0.006142,4.2e-05,0.00016,3.3e-05,-0.006581,0.0,0.0,-5.3e-05,2e-06,-0.000145,-7e-06,-7e-06,-0.000124,-0.000158,-0.000118,-0.000242,-0.000254,-8.1e-05,-0.000537,-0.000197,-0.000632,-0.000502,-9.6e-05,-6e-06,2e-06,-0.000323,-0.000463,-0.000779,-0.000696,-0.000842,-0.000792,-0.000577,-0.001036,-0.000518,-0.000423,-0.000674,-0.000295,-0.000103,-0.000157,-0.000181,-0.0001,0.005843,-0.000664,-0.000691,-0.001013,0.004824,0.004808,0.00475,0.004667,0.00427,0.003708,0.003812,0.003641,0.003866,0.010213,0.010029,0.009849,0.009848
0.041888,0.052259,0.05828,0.063955,0.063121,0.055932,0.055748,0.048383,0.044992,0.038945,0.033434,0.028734,0.030198,0.024329,0.015428,0.000486,0.001638,-0.008125,-0.009527,-0.004527,-0.002655,-0.007277,-0.007154,-0.006899,-0.009249,-0.018084,-0.023189,-0.016872,-0.018977,-0.019487,-0.008438,-0.008773,-0.00963,-0.01009,-0.00553,-0.00501,-0.005317,-0.00584,-0.005931,-3e-06,-0.000304,-0.000644,-0.005791,-0.006227,-0.000619,-0.00646,-0.000733,-0.000519,-0.000813,0.000101,-0.000556,-0.000395,-0.000935,-0.000827,-0.000893,-0.001314,-0.001225,3.1e-05,7.3e-05,0.001528,0.001038,-1.5e-05,-0.000269,4e-06,3e-06,-0.005803,0.000212,-1.3e-05,-9e-06,-0.000848,-0.000426,-0.000651,5e-06,0.000525,1e-06,0.000293,0.000651,-2e-06,-0.005973,1e-06,0.000974,0.000203,0.000763,0.000165,-0.004955,-9e-06,-9e-06,-0.000255,1e-05,-0.000686,-3.3e-05,-3.1e-05,-0.000601,-0.000757,-0.00056,-0.001159,-0.001215,-0.000395,-0.006412,-0.000941,-0.006872,-0.006259,-0.000456,-2.8e-05,1.6e-05,-0.001538,-0.002227,-0.003734,-0.003332,-0.004031,-0.003788,-0.00276,-0.008785,-0.002464,-0.002022,-0.007053,-0.001403,-0.000484,-0.000741,-0.00086,-0.000476,-0.002697,-0.003156,-0.003286,-0.004819,-0.007665,-0.00781,-0.008111,-0.008589,-0.010584,-0.017245,-0.01303,-0.014016,-0.013128,-0.014227,-0.015468,-0.016782,-0.017018
-0.043627,-0.052122,-0.055619,-0.059265,-0.059166,-0.055457,-0.055153,-0.05159,-0.053402,-0.049563,-0.045287,-0.040699,-0.039634,-0.028206,-0.019243,-0.006915,-0.006124,0.002163,0.008832,0.012423,0.013772,0.018111,0.018151,0.018325,0.016625,0.018088,0.022229,0.019034,0.017544,0.017234,0.009511,0.009334,0.008756,0.008447,0.003894,0.004259,0.004052,0.003694,0.003636,-1e-06,-0.000209,-0.000443,0.003738,0.003439,-0.000426,0.00328,-0.000505,-0.000358,-0.000561,0.000113,-0.000382,-0.000271,-0.000646,-0.000572,-0.000618,-0.000911,-0.000848,6.5e-05,5.3e-05,0.001103,0.000761,-8e-06,-0.000185,3e-06,1e-06,0.003741,0.000147,-9e-06,-6e-06,-0.000629,-0.000296,-0.000452,3e-06,0.000364,0.0,0.000203,0.000451,1e-06,0.003627,3e-06,0.000717,0.000142,0.000528,0.000114,0.004378,-6e-06,-7e-06,-0.000176,8e-06,-0.000474,-2.2e-05,-2.1e-05,-0.000417,-0.000524,-0.000388,-0.000805,-0.000845,-0.000275,0.003331,-0.000656,0.003011,0.003435,-0.000319,-1.9e-05,9e-06,-0.001071,-0.001552,-0.002606,-0.00233,-0.002826,-0.002662,-0.001944,0.001647,-0.00174,-0.001432,0.002868,-0.000995,-0.000343,-0.000527,-0.000611,-0.00034,-0.001942,-0.00225,-0.002346,-0.003451,-0.005529,-0.005662,-0.005894,-0.006272,-0.007777,-0.004687,-0.00969,-0.01052,-0.009947,-0.010825,-0.011882,-0.013029,-0.013284
-0.097337,-0.06655,-0.092343,0.081315,0.161796,0.241658,-0.02584,0.244821,-1.092145,0.374941,-4.388696,0.141461,0.234847,0.180925,-4.552844,-1.040571,0.234003,0.804335,0.669568,0.906344,-0.666133,-0.271544,-0.134948,-0.481058,-0.439381,-0.157905,-0.173664,-0.132041,-0.136148,-0.13661,-0.06757,-0.058348,-0.068594,-0.069045,-0.03453,-0.034475,-0.034609,-0.034617,-0.034619,3.3e-05,2.3e-05,-0.000118,-0.034748,-0.034727,-4.2e-05,-0.034695,-1.6e-05,-4e-06,-0.0,-0.000981,-3e-06,-0.02535,0.000922,-3.9e-05,-4.8e-05,-0.00025,-0.0355,-0.000195,-2e-06,-0.000196,-0.00017,0.011035,0.000254,-7e-05,-6.1e-05,-0.034721,-2.2e-05,-1.2e-05,-6e-06,0.000976,-4e-06,-1.6e-05,-1.4e-05,-5e-06,-2e-06,-9e-06,-5e-06,0.00092,-0.034665,7e-06,-0.000985,4e-06,0.000139,1e-06,-0.035644,0.000993,1.6e-05,8e-06,1e-05,1e-05,6e-06,-3e-06,-2e-06,-6e-06,-5e-06,-0.000144,-0.00015,-2e-06,-0.034682,3e-06,-0.03484,-0.034686,7e-06,1e-06,-4e-06,2e-06,1.1e-05,-0.000135,3e-06,-0.000146,-0.000368,-8e-06,-0.034826,-0.000518,-0.000147,-0.034686,6e-06,4e-06,-0.010647,-0.000202,-0.000753,0.000878,-0.000102,3.7e-05,-0.000112,0.000717,0.000857,0.001784,0.000854,0.000695,-0.034015,0.758569,0.001669,-0.000578,0.003097,-0.005527,0.030381,0.214172
