0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
-0.005581,-0.012894,-0.006297,-0.013858,-0.013898,-0.014311,-0.014805,-0.007968,-0.007459,-0.014244,-0.007199,-0.007229,-0.007138,-0.005961,-0.005924,-0.006654,-0.020237,-0.020964,-0.020999,-0.020985,-0.027091,-0.020008,-0.006798,-0.013484,-0.006829,0.000349,-0.000114,-0.006172,-0.006632,-5.5e-05,-0.006677,-0.013188,-0.013103,-0.01299,-0.012465,-0.012997,-0.013545,-0.020152,-0.019712,-0.01315,-0.013167,-0.006124,-5e-06,-2.1e-05,-2e-06,0.006575,0.007017,-1e-06,-0.006117,0.000443,0.000429,-6.4e-05,-3.7e-05,-0.006631,-0.006207,-0.006651,-0.006652,-0.013208,-0.019654,-0.013066,-0.012581,-0.018527,-0.012028,-0.005188,-0.005571,0.007278,0.007219,0.006829,0.00642,-0.000398,3e-06,4e-06,0.000416,-0.006006,-0.006015,-0.005642,0.000762,0.000763,-2.3e-05,-0.006458,-0.006442,-0.006424,0.00043,0.000415,3.2e-05,0.000414,1.1e-05,8e-06,-1.3e-05,-0.006438,2e-05,3e-05,4.4e-05,-0.006364,0.000451,2e-05,1.3e-05,0.006408,0.006418,2.9e-05,-0.006349,-0.006343,-0.005958,-0.00598,-0.006004,-0.006419,-0.006389,3.9e-05,0.006399,0.006773,-1.8e-05,-0.000383,-0.006776,0.00037,0.000385,1.8e-05,-0.007116,-0.006772,0.006384,0.013544,0.005997,0.005625,-0.000785,0.013183,0.014005,0.007201,-0.007616,-0.007151,3.4e-05,0.014814,0.007604,0.005183,-0.001619,-0.000397,0.000412,0.006398,0.005986,0.005567,-0.007209
-0.009241,-0.003952,-0.003053,0.004763,0.005219,0.008439,0.012529,0.010312,0.005078,0.006849,0.001956,0.002031,0.002444,-0.007579,-0.008198,-0.001719,0.00135,0.008064,0.009294,0.010007,0.006241,0.002767,0.003304,0.005252,0.004476,-0.001776,0.002072,-0.00293,0.000938,0.000988,0.002056,0.000915,-0.000863,-0.003402,-0.010412,-0.004729,0.001644,0.002178,-0.001691,-0.000805,0.000128,-0.006227,-1e-05,0.001384,-4.5e-05,0.000277,-0.004234,1.7e-05,-0.00587,-0.005548,-0.003881,0.003942,0.002033,0.003637,0.000937,0.007075,0.008153,0.012746,0.015924,0.015599,0.010641,0.005632,0.000914,-0.006049,-0.000762,-0.005701,-0.008454,-0.003393,5.3e-05,0.005728,0.00032,0.000933,-0.002652,-0.002732,-0.004241,-0.012181,-0.014791,-0.014994,-0.002567,-0.001019,0.000556,0.0026,-0.00119,-0.002524,0.003885,-0.002957,0.001292,0.00093,-0.001141,0.000205,0.001771,0.002527,0.00397,0.005238,-4e-05,0.001838,0.001281,-0.000715,-8.1e-05,0.002171,0.004896,0.004886,-0.000962,-0.002558,-0.003999,-0.000873,0.000493,0.001949,0.000182,-0.005423,-0.001106,0.005212,0.005472,-0.006193,-0.004804,0.00152,0.012819,0.004572,-0.000664,-0.010911,0.004017,0.009685,0.008829,-0.00609,-0.015087,-0.010444,0.016921,0.012438,0.002355,-0.020776,-0.014572,0.015806,0.022445,0.004547,-0.005254,0.000203,0.005554,0.010881,0.008867
-0.006011,-0.009775,-0.001577,-0.003501,-0.003172,-0.009021,-0.014215,-0.016409,-0.020207,-0.018317,-0.022562,-0.022573,-0.014053,-0.005053,-0.005533,-0.00896,-0.005445,-0.008714,-0.007732,-0.007187,-0.001173,0.00388,0.003089,0.005103,0.003921,0.006914,0.001543,0.006613,0.001263,0.000736,0.002088,0.001806,0.000491,-0.001367,0.001634,-0.00238,-0.005891,-0.004961,0.000382,0.000497,0.001179,0.004148,4e-06,0.001034,-3.3e-05,-0.000327,0.004555,9e-06,0.004407,0.004111,0.005354,0.00291,0.001501,0.003206,0.009407,0.005686,0.006457,0.010232,0.012894,0.012081,0.016481,0.021336,0.017499,0.020175,0.015793,0.011478,0.009645,0.005146,-0.000449,-0.004067,0.000215,0.000626,0.006121,0.006542,0.005533,0.008139,0.005931,0.005797,-0.001716,-0.000199,0.000855,0.002223,0.007121,0.006226,0.002584,0.005936,0.000858,0.000618,-0.000754,0.000613,0.001177,0.001673,0.00262,0.00392,0.00784,0.001206,0.00084,-0.000937,-0.000525,0.001417,0.00366,0.003649,0.007673,0.006634,0.005703,-9.2e-05,0.000789,0.00126,-0.000345,0.003843,-0.000724,-0.00446,-0.003818,0.003818,0.00472,0.000982,-0.00689,-0.004387,-0.000886,0.007657,-0.005705,-0.009853,-0.00993,0.002935,0.012772,0.008424,-0.012083,-0.007112,0.001524,0.024713,0.013598,-0.013773,-0.016825,-0.004884,0.004424,-0.000344,-0.004715,-0.009085,-0.009415
0.122572,0.026589,0.00764,-0.32372,0.049944,0.057264,0.343415,0.041343,0.01974,-0.3585,0.117215,1.107157,0.847834,0.92706,0.986746,0.216302,1.983433,2.947818,0.656736,0.10896,-0.009674,-0.339247,0.03094,-0.292438,-0.293494,-0.006302,0.001472,-0.012066,0.321224,1.108173,0.094821,1.08357,0.004209,4.018831,0.128322,0.222355,0.100781,0.022566,0.005213,0.025896,-0.004167,0.994661,0.011503,0.100645,0.417701,0.000701,-0.035205,-0.000439,1.084556,0.969664,-0.038171,0.001326,-0.012321,-0.001159,-0.035257,0.001441,0.003061,-0.386467,-0.065327,3.505744,-0.022329,0.287514,0.215205,-0.073595,-0.075465,3.606445,0.022808,-0.043559,0.000779,1.092201,0.012876,2.3e-05,-0.136604,-0.046899,0.048661,-0.039393,0.278669,0.195508,-0.011767,-0.001923,0.000149,-3.8e-05,-0.039607,-0.055123,-0.001992,0.020118,-0.001324,-6.5e-05,-0.010465,-0.000372,0.002247,0.043598,-0.390434,0.001899,-0.034179,4e-05,0.000877,0.000303,0.002071,0.001801,-0.187934,0.013086,-0.422929,0.075213,-0.047776,-0.002201,-0.001593,0.017889,0.005267,-0.037478,-0.000312,0.035341,0.044903,-0.035926,-0.036521,0.029053,-0.041389,-0.247822,0.015309,0.042379,0.038068,0.074824,0.053265,-0.029184,-0.098487,-0.072435,-1.403813,-0.280701,-0.135164,-0.383079,-0.093782,0.110379,0.132997,-0.009287,-0.079519,-0.027125,0.052253,-0.159126,-0.359235
0.213881,0.042064,0.02252,0.401387,-0.006808,0.053273,0.502759,0.012161,0.25108,0.479679,-0.139365,2.061124,2.308164,0.8117,0.668584,0.178226,2.771764,2.644877,1.404394,0.790801,0.422857,0.654488,0.102879,-0.627089,-0.631816,0.010003,-0.000468,0.027157,0.187399,0.55523,0.046182,0.56683,0.033848,2.370768,-0.008061,-0.079462,-0.023539,0.058568,-0.038253,0.045548,0.02732,1.93371,0.005141,0.041325,0.772058,-0.016493,-0.005594,-0.000191,0.487915,1.898187,0.009926,-0.014819,0.011512,0.000715,-0.004002,-0.014038,-0.010782,-0.554604,-0.294226,1.508658,-0.103693,-0.417018,-0.34282,-0.039806,0.005609,1.483991,0.179679,-0.013655,-0.016752,0.589515,-0.011693,-0.000617,-0.184355,0.029796,-0.093774,-0.021149,-0.527429,-0.413158,0.012308,0.015651,0.018643,0.001503,-0.005892,0.01643,-0.009516,-0.068618,0.001623,0.00025,0.010764,0.001729,0.003573,-0.074638,-0.615125,0.004905,-0.0028,2.6e-05,0.001385,-0.001443,-0.015197,-0.013712,0.248634,-0.007288,-0.600113,-0.139902,0.02264,0.015529,0.015857,-0.021122,-0.017672,-0.009928,-0.000431,-0.011888,-0.000984,0.00951,0.01016,-0.046966,-0.194174,0.364512,-0.027271,0.165062,-0.025986,-0.035695,-0.067683,-0.029779,-0.103306,0.002314,-1.325734,0.429752,0.189073,0.184801,-0.083955,-0.045964,0.053598,0.058989,0.081608,0.03503,-0.040442,0.270484,0.557376
-0.203772,-0.08963,-0.051272,0.211829,-0.011811,0.023055,0.308865,0.236515,0.209697,0.515731,0.329284,-1.329162,-1.228214,1.258008,1.391076,0.139291,-0.492604,3.887282,1.074782,0.012113,-0.220605,0.173693,-0.161942,0.576481,0.586399,0.032884,0.000673,0.00753,0.31793,1.201117,0.100499,1.113187,-0.051805,3.070839,-0.066928,-0.092494,-0.051093,-0.089753,0.052321,-0.032471,-0.054751,-1.751505,-0.011273,0.101415,-0.649743,0.029197,0.010553,-0.000617,1.104527,-1.765078,-0.01782,0.024291,0.005201,-0.00456,0.001486,0.019723,0.016429,0.646376,0.334191,4.017589,0.167323,-0.291851,-0.272616,-0.076274,-0.011409,3.792919,-0.183718,0.043291,0.03059,1.033132,-0.005212,-0.001,0.177441,-0.050179,-0.12145,-0.134422,-0.193867,-0.054974,0.006439,-0.028683,-0.032172,-0.004093,0.000901,0.015282,0.027434,-0.06742,0.000844,0.000226,0.004463,-0.003754,-0.003334,-0.013927,0.558198,-0.007292,0.006305,6.6e-05,-0.001296,0.003986,0.029271,0.025286,0.131611,-0.010695,0.535884,-0.111518,-0.017993,-0.028972,-0.029754,0.018152,0.027473,0.01567,0.000308,0.019977,-0.010475,-0.018824,-0.018556,-0.030614,0.195039,0.186765,0.024626,-0.140111,0.048005,0.066005,0.053796,0.041236,0.186456,-0.005747,1.803918,0.283203,0.114952,0.329895,0.148706,0.085626,-0.101,0.061014,0.029177,0.066492,0.041912,0.246425,0.342858
0.026812,0.033471,0.039873,0.046372,0.046448,0.046538,0.039877,0.039832,0.033606,0.027124,0.014089,0.007576,-0.005415,-0.005895,-0.00609,-0.006301,0.006519,0.012993,0.006481,0.013032,0.019524,0.01301,0.019532,0.025879,0.025934,0.025946,0.025954,0.032312,0.03261,0.032312,0.02566,0.03237,0.025811,0.02599,0.026191,0.019326,0.019385,0.025855,0.019749,0.012867,0.019454,0.019501,0.019529,0.025557,0.032111,0.032107,0.025541,0.032141,0.025993,0.025911,0.019365,0.012934,0.012885,0.012673,-0.000233,-0.000365,0.005879,0.005885,0.006527,-5.1e-05,0.013071,0.007596,0.013355,0.006422,0.007202,0.013112,0.013043,0.006519,0.007226,0.013247,0.013916,0.007235,0.013582,0.006536,0.006946,0.007024,0.000842,0.000839,-8.3e-05,0.000162,0.006645,0.006402,0.007232,0.006714,0.006582,0.006464,0.000314,0.006958,0.01323,0.006642,0.00647,0.006459,0.00711,-7e-06,9.6e-05,0.000185,-0.006571,0.000361,-0.006692,-0.006461,-3.6e-05,0.000146,8.1e-05,-2e-06,0.006468,0.006647,0.000497,0.000437,-0.006084,-0.005843,-0.006682,-0.000158,5e-05,0.006741,0.006417,0.006469,0.007146,0.006569,0.006587,-0.006616,-0.013191,-0.006577,-0.006549,-0.006641,-0.013702,-0.020197,-0.020639,-0.027231,-0.026476,-0.033278,-0.032474,-0.032464,-0.038619,-0.032421,-0.03257,-0.026643,-0.033505,-0.040108,-0.040554
-0.000156,0.001053,0.000435,0.000888,0.00311,0.001281,-0.004878,-0.004591,-0.01161,-0.009125,-0.009836,-0.010677,-0.02256,-0.018893,-0.015457,-0.012442,-0.009346,-0.00122,-0.001246,-0.000134,-0.001433,-0.001589,-0.002288,1.7e-05,0.001162,0.002012,0.003731,0.00521,-0.000116,0.007228,0.010517,0.007002,0.007108,0.003741,0.000201,0.005046,0.003602,0.004191,-0.002183,0.002728,0.001895,0.001365,0.001063,0.007468,0.00722,0.007206,0.007279,0.006697,0.002074,0.002745,0.002557,0.001512,0.001872,0.003385,0.001687,0.002618,0.004882,0.004752,-0.001353,-0.001193,-0.00134,-0.010255,-0.003162,0.000917,-0.005825,0.000219,0.000695,0.000376,-0.005742,-0.000375,-0.006158,-0.005564,-0.003871,0.000469,-0.003699,-0.004137,-0.006735,-0.00671,0.000477,-0.000948,-5.3e-05,0.00137,-0.005171,-0.000398,0.00036,0.001024,-0.001752,-0.00169,0.000469,0.000117,0.00105,0.001106,-0.004221,2.8e-05,-0.000506,-0.000967,-0.000522,-0.003797,0.000123,-0.001082,0.000191,-0.000775,-0.000433,1.6e-05,0.001043,0.000128,-0.004487,-0.004178,-0.004973,-0.006251,7.6e-05,0.000847,-0.000267,-0.000356,0.001345,0.001069,-0.004334,0.000565,0.000484,-0.000342,-0.000857,-0.000515,-0.000659,-0.000155,0.003929,0.00309,0.005715,0.005757,-0.00024,0.002988,-0.003511,-0.003531,-0.00659,-0.002338,-0.001214,0.005432,0.009419,0.010146,0.017115
0.007459,0.00816,0.007486,0.007542,0.009059,0.015679,0.019458,0.019601,0.030834,0.03266,0.03255,0.032186,0.03268,0.019383,0.013766,0.007868,0.001567,-0.001231,-0.001039,-0.000533,-0.001623,-0.001511,-0.002206,-0.008877,-0.008155,-0.007603,-0.006485,-0.013735,-0.009392,-0.012439,-0.009979,-0.004644,-0.004319,0.001382,0.006945,0.002523,0.001538,0.001621,0.005577,0.001218,0.000349,-1.8e-05,-0.000227,-0.004208,-0.004723,-0.004746,-0.004414,-0.005152,1e-06,0.000447,0.000657,0.000301,0.000544,0.001565,0.001132,0.001763,0.002935,0.002836,0.006667,0.007124,0.006316,0.008638,0.005095,0.000245,0.003673,-0.000583,-0.00027,-0.000125,0.003725,-0.001002,0.00307,0.003841,0.004605,-7.3e-05,0.005104,0.004811,0.003443,0.003465,0.000319,-0.000642,-0.000419,0.000532,0.00411,-0.000661,-0.00015,0.000292,-0.001192,-0.001543,-0.000485,-0.000329,0.000306,0.00034,0.004737,1.6e-05,-0.000348,-0.00066,4.9e-05,0.00544,0.000489,-0.000327,0.000135,-0.000523,-0.000296,1.2e-05,0.000305,-0.00033,0.004963,0.005178,0.005049,0.004189,0.00044,0.000584,-0.000177,-0.000645,0.000502,0.000312,0.004664,-2.8e-05,-8.6e-05,0.000173,0.000237,6.3e-05,-3.7e-05,0.000309,-0.004543,-0.004719,-0.00295,-0.002557,0.001385,-0.00408,-0.00049,-0.000537,-0.002248,-0.007753,-0.007035,-0.010896,-0.015869,-0.015039,-0.018338
0.134868,0.176104,0.271956,-0.612667,-0.009585,0.16642,0.290637,0.242149,-0.132816,-0.139043,0.053437,-0.190714,-0.11372,-0.042046,0.040807,0.347016,0.2024,0.008787,-0.006942,0.289081,0.137514,0.292103,-0.014108,0.227882,0.346795,0.12303,-1.047004,0.083502,0.28611,0.192071,-1.409985,-0.450564,-1.305671,0.007586,-0.040118,0.021552,-0.004309,-0.000971,0.390375,0.215964,0.192748,0.089116,0.098984,0.802043,0.072285,0.171857,-1.613905,0.033302,0.007652,-0.044832,-0.005254,0.006386,0.003301,-0.598188,0.004644,-0.010198,-0.119084,0.005713,0.00239,-0.010085,-0.049577,0.01404,0.232912,-0.013093,0.103704,-0.017934,-0.00561,0.008127,-0.018889,0.192344,0.153304,0.140068,0.178669,0.181295,-0.050583,0.184147,-0.01337,-0.038657,-0.119411,0.002124,0.001546,0.001283,-0.007461,-0.013978,-0.009351,0.002766,-0.007582,-0.010213,0.032813,0.04738,0.07479,0.001114,-0.018557,0.034199,-0.006603,0.001858,-0.000712,-0.033313,0.009495,-0.000918,0.006597,5.7e-05,0.044476,-0.210729,0.007853,0.005981,-0.030929,-0.038329,-0.221254,-0.034426,2.200318,-0.240189,0.002012,-6e-06,0.005407,0.028269,-0.014243,-0.030149,-0.161875,0.001561,-0.001859,0.013372,0.188003,-0.000453,-0.246453,-0.224109,-0.23005,-0.257033,-0.253742,-0.692515,-0.41912,-0.342547,0.016611,-0.122567,-0.398956,-0.166512,0.912367,-2.419419,-0.260156
