0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
-0.015652,-0.028768,-0.021774,-0.028896,-0.028896,-0.021865,-0.021112,-0.014603,-0.014584,-0.007343,-0.007451,-0.00737,-0.014923,-0.022442,-0.022612,-0.029896,-0.030017,-0.029714,-0.02853,-0.028719,-0.021323,-0.022013,-0.01456,-0.015626,-0.023388,-0.014818,-0.015342,-0.015344,-0.015326,-0.015282,-0.015247,8.4e-05,5.6e-05,3.9e-05,2.8e-05,2.3e-05,1.1e-05,-0.007554,-0.006654,0.00091,0.00091,0.000931,0.000954,-0.006598,-0.013684,-0.006175,-0.006574,-0.00701,-0.006595,0.000466,0.000463,1.4e-05,-0.006658,-0.014641,-0.014643,-0.015081,-0.007091,3.5e-05,0.000479,0.000512,0.000554,-0.006911,-0.014708,-0.007561,-0.015307,-0.007807,-0.015099,-0.015434,-0.015075,-0.007843,-0.000251,0.014669,0.007797,0.007788,0.000461,0.007747,0.008109,0.000803,0.000428,0.000448,-0.007247,-0.007229,-0.006842,-0.006885,0.000767,0.000399,-0.007253,0.000426,0.000436,0.000426,0.001146,0.000736,-5.6e-05,-0.006955,-0.007383,-0.006984,0.000329,0.000286,0.000241,0.000267,-6.7e-05,-9.1e-05,0.000317,-7e-05,0.00754,0.007555,0.007528,0.014434,0.007191,0.007697,0.007306,0.007356,0.00037,0.000351,0.000305,-5.5e-05,-5e-05,-4.9e-05,3.9e-05,-0.007404,-0.00742,-0.007011,0.000115,7.9e-05,9.7e-05,0.000115,8.5e-05,-0.007351,5.4e-05,5.4e-05,-0.007351,9.9e-05,6.2e-05,9.2e-05,0.000105,6.2e-05,0.007437,7e-06,-3.7e-05,-0.000426,-0.000395,-0.000783,-0.000355,-0.000347,4.1e-05,-0.000313,-0.000314,0.007045,-0.000347,-0.000826,-0.000806,-0.000811,-0.00813,-0.008164,-0.016268,-0.016576,-0.023861,-0.031213,-0.031214,-0.031002,-0.030576,-0.023241,-0.030138,-0.030225,-0.029811,-0.029167,-0.013423,0.002025,0.017166
0.006215,-0.007152,-0.004865,-0.008109,-0.008984,-0.006895,-0.013991,-0.006927,-0.006067,-0.003514,-0.003074,-0.003959,-0.003808,-0.003994,-0.002688,-0.00745,-0.006301,-0.008503,-0.024364,-0.026643,-0.024194,-0.019536,-0.018977,-0.005775,-0.002717,-0.011231,-0.001857,0.00039,0.003667,0.006479,0.008724,0.013529,0.010528,0.008672,0.006738,0.005828,0.002804,0.001404,-0.009537,-0.008547,-0.008099,-0.004807,0.002311,0.001212,-0.006666,-0.010383,-0.000878,0.004093,-0.005372,-0.001846,-0.002341,0.002272,-0.012405,-0.00805,-0.007692,-0.000718,-0.004767,0.00191,-0.002261,-0.000281,0.00204,0.004278,0.013656,0.020072,0.026099,0.027263,0.026968,0.029741,0.021713,0.017299,0.008936,0.00331,-0.000411,-0.000997,-0.002702,-0.002221,-0.008547,-0.00962,-0.003694,-0.003055,0.001293,0.001809,-0.003742,-0.005057,-0.010669,-0.004697,0.001216,-0.003946,-0.00362,-0.003884,-0.015921,-0.011335,-0.001482,-0.006141,-0.002089,-0.006708,-0.00655,-0.007565,-0.007306,-0.007923,-0.001581,-0.002226,-0.006709,-0.001755,-0.010146,-0.010221,-0.011221,-0.009857,-0.006684,-0.009174,-0.003977,-0.002659,-0.006431,-0.007035,-0.008754,-0.002038,-0.001806,-0.001727,0.001365,0.001538,0.000962,-0.003907,0.003493,0.002413,0.002972,0.003552,0.002612,0.002191,0.001665,0.001602,0.001762,0.002821,0.001804,0.002687,0.003033,0.001838,0.00129,0.000247,-0.001095,0.004064,0.005067,0.010516,0.006225,0.006551,0.001151,0.007894,0.007917,0.008138,0.006807,0.009029,0.009572,0.009423,0.007962,0.006388,0.018053,0.025103,0.023603,0.020634,0.019888,0.022606,0.017775,0.018311,0.013115,0.011728,0.016077,0.013271,0.008807,0.013219,0.005267
-0.049474,-0.042046,-0.040932,-0.033915,-0.025281,-0.024305,-0.021953,-0.02566,-0.014791,-0.013005,-0.012648,-0.013638,-0.012587,-0.011882,-0.010487,-0.01504,-0.013813,-0.006031,-0.003417,-0.006259,-0.004385,-0.009714,-0.010078,-0.015889,-0.011492,-0.001072,-0.000582,0.002126,0.006054,0.009378,0.01202,0.016022,0.012329,0.010073,0.0078,0.006737,0.003215,0.002359,0.01077,0.011145,0.011654,0.01539,0.023362,0.022724,0.024936,0.02004,0.020186,0.015365,0.015191,0.008144,0.007597,0.002442,0.007588,0.002852,0.00323,0.00062,0.005677,0.00206,0.007686,0.009799,0.012246,0.01527,0.015689,0.011589,0.008351,0.008792,0.00887,0.001726,0.003367,-0.001647,-0.00085,0.002044,0.008544,0.007977,0.006917,0.006787,0.010204,0.009769,0.005957,0.006574,0.001837,0.002328,0.006504,0.005243,0.008779,0.005003,0.001754,0.005721,0.00603,0.005779,0.01327,0.008165,-0.001412,0.004218,-0.001413,0.003672,0.003245,0.002268,0.002568,0.001919,-0.001519,-0.002142,0.003084,-0.001691,-0.000834,-0.000932,-0.001923,-0.010871,-0.007221,-2.6e-05,-0.004579,-0.003277,0.003306,0.002701,0.000974,-0.002047,-0.001818,-0.001739,0.001378,0.00217,0.00159,0.006456,0.003503,0.002411,0.002965,0.003532,0.002593,0.002777,0.001653,0.001588,0.002341,0.002785,0.001776,0.002639,0.00298,0.001799,0.000668,0.000242,-0.001077,-0.00566,-0.004678,-0.00897,-0.003535,-0.003211,0.001128,-0.001903,-0.001885,-0.002276,-0.002967,-0.010387,-0.009856,-0.010001,-0.010826,-0.012368,-0.019569,-0.022245,-0.023126,-0.025502,-0.026266,-0.023639,-0.018834,-0.018836,-0.013893,-0.015316,-0.011058,-0.004137,0.009493,0.022688,0.032974
1.294546,-0.371938,0.447564,-0.28117,-0.621666,0.62493,0.323071,1.459388,-0.244174,-0.129616,3.366953,-0.005674,0.957614,-0.07993,3.1193,0.180023,-0.910654,0.175981,1.464369,0.778354,0.84415,0.566399,3.85725,0.856666,0.252504,-0.064261,0.095707,-0.024616,0.327842,0.107128,-0.141249,0.018402,0.046475,0.018367,0.005584,3.604996,-0.315666,1.24256,-0.052859,-0.057748,-0.062953,1.204526,0.193524,-0.054396,-0.138877,0.218234,0.412731,0.065277,-0.086157,-0.119391,0.0022,0.214743,0.055397,-0.991419,0.041074,-3.425605,0.159582,0.008463,0.062523,-0.026169,0.031144,0.220618,0.025915,-0.51306,-0.010656,-0.167165,-0.303158,-0.405289,-0.458809,-0.174029,0.067893,0.004945,-1.328732,-0.475988,-0.032005,-0.032593,0.006592,0.239671,-0.297444,-0.051917,-0.036714,0.278082,0.194898,0.09347,0.34584,0.263446,-0.016788,-0.052284,0.026573,0.048093,0.094483,-0.05791,-0.0017,-0.044262,-0.003484,0.185564,0.059497,0.085201,2.728963,0.175919,0.267723,0.0161,-0.011347,0.034196,-0.031915,0.162463,0.360327,-0.019631,-0.000111,0.008279,-0.0038,-0.000859,-0.048604,0.234151,-0.045093,-0.017615,-0.01435,0.04606,1e-06,-0.005268,-0.002416,-0.609141,-0.01644,0.002377,0.001904,0.005832,0.006101,0.000324,0.01316,0.002493,0.001674,0.004244,0.000382,-0.155741,0.006776,0.00025,0.005896,0.009684,-0.118569,-0.003617,-0.33216,-0.274599,0.044281,0.009589,-0.349046,-0.113255,-0.39921,-0.333741,-0.540202,-0.476913,-0.179228,-0.568112,-3.573396,-3.901549,-1.66907,-0.189119,-0.50889,-0.648252,-0.245708,0.052677,-0.479873,-0.312554,-0.360492,0.019855,-0.631265,1.70945,1.943081,-0.336357,-0.429034
2.34407,0.593287,1.055011,0.975507,0.972031,1.138754,0.405423,1.197454,0.450092,0.45188,1.916701,0.905569,1.033692,1.15447,-0.2709,-1.345572,-1.912846,-0.515538,-0.325923,-0.333068,-0.551802,0.238825,0.761732,-0.347033,-0.210178,0.16675,0.063096,0.085682,0.106577,0.01875,0.1834,-0.05622,-0.045623,-0.046705,-0.035514,1.195712,0.773251,0.560208,0.157426,0.12231,0.200832,0.208748,-0.37344,0.101989,-0.028429,-0.45155,-0.729673,-0.189928,0.02258,0.138475,0.003615,-0.293569,-0.255787,-0.411187,-0.181583,-0.666601,-0.513267,-0.089027,-0.202521,-0.027189,-0.2634,-0.475111,-0.11196,-0.684322,-0.018232,0.221177,0.419295,0.600055,0.635745,0.178328,-0.141907,-0.044961,-1.927191,0.613777,-0.006352,-0.019264,-0.106932,-0.43033,-0.1589,0.015019,-0.048181,-0.342935,-0.292763,-0.152288,-0.514008,-0.416407,0.111065,0.089966,-0.080716,-0.107937,-0.253071,-0.004525,0.007186,0.032358,0.028647,-0.274162,-0.130995,-0.151925,0.924288,-0.26862,-0.361696,-0.030803,-0.104319,-0.053088,-0.008312,-0.297435,-0.533403,-0.063677,-0.078992,0.05646,-0.007016,-0.003782,0.022328,-0.347352,0.022228,0.031228,0.101452,0.04971,-7.7e-05,0.019302,0.015797,-0.583592,-0.007607,-0.011535,-0.012584,-0.008527,-0.008249,0.003086,-0.006662,-0.013079,0.019118,0.004483,0.000447,-0.198676,-0.016863,0.000172,-0.019857,-0.008342,0.164521,0.067207,0.429493,0.390321,-0.004676,0.022978,0.531576,0.195096,0.575497,0.406353,0.713294,0.64986,0.318205,0.211224,-1.487196,-1.29565,-0.839139,-0.110749,0.240932,0.588648,0.273973,-0.007991,0.25325,0.44519,0.360228,1.886853,1.167189,4.457815,6.190537,0.698027,0.832953
-0.915065,0.126995,1.39952,0.462166,-0.090176,1.09669,-0.13909,0.487248,-0.087462,0.069375,3.635147,0.081933,0.731123,0.149574,5.03876,2.764668,2.138005,0.386214,1.04899,-0.08024,0.094987,-0.557203,4.006756,0.176591,-0.257802,-0.29462,0.046713,-0.035276,0.330911,0.094132,0.135348,0.06927,0.102112,0.040713,0.047009,4.036828,0.219898,1.018913,-0.261127,-0.176861,-0.334991,0.884239,-0.41342,-0.132527,0.006078,-0.583228,-0.681669,-0.118457,-0.003415,0.095014,-0.218762,-0.396338,-0.272108,-1.497157,-0.015461,-4.416385,-0.459953,-0.050853,-0.110031,0.021374,-0.047852,-0.274237,0.202687,0.714203,0.537902,0.706979,0.793176,0.908186,0.924496,0.61498,0.205136,0.081973,1.599528,0.15357,0.004606,0.035318,-0.078738,-0.279216,-0.421574,0.014413,0.037591,-0.230216,-0.197856,-0.149493,-0.322876,-0.236397,-0.202727,-0.172615,-0.073387,-0.08694,-0.216457,-0.093129,-0.033459,-0.044299,-0.053987,-0.203588,-0.102242,-0.142417,4.7931,-0.194652,-0.183665,-0.024794,0.139104,-0.033865,-0.032689,0.04997,-0.314635,0.167633,0.162792,-0.046567,0.006946,0.004505,-0.014695,-0.235715,-0.052172,-0.019534,-0.203043,-0.030576,0.000271,-0.027445,-0.02881,0.333593,0.034663,0.025528,0.025852,0.023151,0.022925,-0.003848,-0.002356,0.025225,-0.031901,-0.003005,-0.000376,0.139414,0.023458,-0.000372,0.027537,0.000951,0.085576,0.03726,0.476748,0.482662,0.035133,0.074675,0.048399,0.172615,0.376103,0.556917,0.667911,0.662352,0.389163,0.081622,-3.401203,-3.303264,0.204728,0.903737,0.980475,1.007124,0.58205,0.405076,0.602672,0.255044,0.344996,1.727592,1.023307,3.834438,1.697374,1.010431,-0.104405
0.008005,0.015361,0.015332,0.015315,0.014985,0.021988,0.014975,0.007842,0.000618,0.008023,0.00061,0.000285,0.007431,0.007304,0.00713,0.014371,0.014368,0.014401,0.021818,0.021999,0.014474,0.014584,0.007209,0.007193,0.007369,0.007155,0.00712,0.00733,0.014429,0.007084,0.014609,0.014576,0.007268,0.014295,0.014269,0.0215,0.021744,0.021752,0.021748,0.00724,0.007203,0.007185,0.007173,0.007142,0.007146,0.007143,0.013972,0.014265,0.006967,0.006847,0.006744,0.00672,0.013745,0.020797,0.020848,0.013351,0.013588,0.006668,0.00664,0.006526,0.006695,0.006317,0.006268,0.006738,0.006635,0.013533,0.013397,0.006094,0.019938,0.012879,0.020534,0.021321,0.021178,0.014679,0.014592,0.014553,0.014128,0.0209,0.020781,0.021356,0.020845,0.014497,0.007706,0.015329,0.007914,0.015397,0.014752,0.00771,0.007695,0.008343,0.008543,0.001495,0.001615,0.001535,0.001222,0.00834,0.00078,0.007744,0.001571,0.001446,0.001298,0.008383,0.000671,0.000497,0.007677,0.000518,0.000426,-1e-06,0.000118,6.9e-05,0.007223,0.014238,3.1e-05,0.000599,0.007717,0.00052,0.000424,0.000285,-0.0002,-0.00013,-0.00016,0.007211,-4.2e-05,0.007114,0.000133,9.8e-05,-1.7e-05,-1e-06,8.1e-05,0.000109,0.000199,0.000204,-7e-06,-0.007129,-1e-06,-1e-06,-1e-06,-0.007152,-0.007094,-0.007144,-0.014235,-0.014166,-0.02817,-0.028159,-0.035341,-0.035935,-0.03647,-0.036358,-0.029711,-0.029647,-0.022273,-0.022647,-0.015999,-0.008694,-0.016107,-0.015985,-0.009076,-0.008863,-0.009198,-0.002016,-0.002237,-0.002561,-0.002314,-0.002062,-0.00186,-0.001564,-0.008253,-0.015311,-0.008269
0.011757,0.001525,0.00242,-0.004299,-0.009188,-0.026271,-0.034029,-0.034463,-0.026875,-0.032155,-0.027427,-0.01829,-0.013495,-0.008181,-0.004366,-0.007001,-0.007801,-0.008603,-0.008418,-0.005452,0.001663,0.006316,0.009014,0.008736,0.002868,0.009121,0.005664,0.000575,0.009428,0.009521,0.004159,0.004677,0.00298,0.008902,0.009454,0.009508,0.003255,0.002377,0.002027,0.000853,0.001852,0.002257,0.002428,0.003002,0.002757,0.002718,0.010303,0.005132,0.00583,0.007828,0.009146,0.009303,0.011634,0.012176,0.010536,0.014522,0.010056,0.006481,0.006769,0.008031,0.005491,0.010743,0.011175,0.00443,0.005645,0.007664,0.008744,0.011285,0.013639,0.012855,0.004315,-0.005025,-0.002596,-0.007313,-0.006158,-0.005675,-0.000488,0.001986,0.00302,-0.003027,0.002491,-0.004352,-0.00635,-0.011764,-0.007603,-0.011852,-0.005425,-0.005798,-0.0056,-0.011655,-0.01289,-0.013524,-0.01432,-0.013778,-0.011668,-0.011134,-0.006976,-0.005352,-0.013956,-0.013093,-0.01211,-0.011078,-0.006187,-0.005033,-0.004565,-0.005126,-0.004516,-2e-06,-0.000765,-0.000441,0.000218,0.001775,-0.000613,-0.005564,-0.004634,-0.00508,-0.004468,-0.003581,0.001237,0.000817,0.000993,0.00034,0.000262,0.000955,-0.000808,-0.000592,0.000105,1.2e-05,-0.000485,-0.000661,-0.001198,-0.001221,5e-05,-0.000889,6e-06,-0.0,2e-06,-0.000746,-0.001105,-0.000766,-0.001864,-0.002355,-0.005769,-0.006008,-0.006625,-0.000716,0.006473,0.005642,0.011987,0.011965,0.010614,0.015544,0.022651,0.021784,0.025899,0.024449,0.027766,0.024783,0.029526,0.02938,0.032707,0.037311,0.034211,0.031114,0.02864,0.022362,0.018135,0.015778,0.017315
0.011152,0.019966,0.020731,0.023636,0.018989,0.021448,0.02386,0.023737,0.021737,0.025981,0.021292,0.011086,0.005954,0.001519,-0.004325,-0.007073,-0.007858,-0.008691,-0.008858,-0.006095,-0.008525,-0.004057,-0.001168,-0.001437,0.002446,-0.001086,-0.004399,0.000231,-0.001136,-0.000749,0.003296,0.003761,0.00247,-0.001724,-0.001218,-0.001554,0.001945,0.001107,0.000749,0.000403,0.001329,0.001707,0.001863,0.002393,0.002164,0.002127,-0.000591,0.003939,0.004966,0.006771,0.007927,0.008047,0.009675,0.009645,0.008132,0.002908,0.007998,0.005246,0.005486,0.006554,0.004327,-0.000133,0.000219,0.003371,0.004401,0.005687,0.006562,0.009087,0.010173,0.009839,0.011051,0.012088,0.005297,0.001842,0.002787,0.00318,-0.001346,0.000223,0.001069,0.004839,0.000583,0.004202,0.003035,0.006861,0.001984,0.006779,0.003284,0.003487,0.003646,0.00745,0.006404,0.006409,0.005738,0.006196,0.007997,0.007906,0.003022,0.003862,0.006046,0.006783,0.007626,0.007954,0.003696,0.00469,0.00453,0.004613,0.005138,-2e-06,-0.000658,-0.00038,-0.000383,0.000375,-0.000491,0.004236,0.004462,0.004658,0.00519,0.005953,0.00106,0.0007,0.000851,-0.000293,0.000221,0.000234,-0.000697,-0.00051,8.7e-05,6e-06,-0.000421,-0.00057,-0.001033,-0.001053,4.8e-05,-0.000172,8e-06,4e-06,5e-06,-5.7e-05,-0.000364,-7.3e-05,-0.000441,-0.00089,-0.002696,-0.00294,-0.002951,-0.006962,-0.018933,-0.019732,-0.023766,-0.023893,-0.0256,-0.030388,-0.033728,-0.034951,-0.049144,-0.050495,-0.048017,-0.041525,-0.046409,-0.047035,-0.053267,-0.058282,-0.061361,-0.064589,-0.067394,-0.064631,-0.058937,-0.051467,-0.05053
-0.451944,-0.661027,-0.008038,-0.636646,-0.268011,4.3366,0.136943,0.168032,0.441341,0.873811,0.121286,-0.129018,0.11481,0.081257,-0.005695,0.003575,0.007446,0.007256,0.004349,-1.077012,0.019285,-1.045065,0.043532,0.040304,-0.025032,0.042653,0.037045,0.003134,0.044307,0.034827,0.003862,-0.0002,-0.00968,0.034429,0.037001,0.036909,0.006923,0.008072,0.208162,0.038019,-0.023183,0.029196,-0.005724,0.005235,-0.010733,0.00312,0.043335,-0.026043,0.017193,-0.001904,0.007567,-0.002614,0.008261,-0.113099,0.008379,-0.378447,0.007476,-0.004017,-0.018176,0.003265,-0.00276,0.044479,0.040694,0.002766,-0.002135,-0.119597,0.00663,0.127535,0.068573,0.183055,-0.00275,-0.080267,-0.03823,-0.009725,-0.025542,0.169142,-0.436451,0.07582,0.06048,0.129699,0.133677,0.035742,0.11817,-0.043704,0.092314,0.179386,-0.052011,0.189049,0.080978,0.074271,0.092547,-0.07809,-0.092246,-0.012548,-0.082114,-0.070623,0.211317,0.076147,-0.072842,0.042794,-0.089329,-0.072103,-0.046003,-0.038481,-0.046348,-0.032608,-0.051457,-0.002137,-0.000185,-0.003742,6.6e-05,-0.007961,2.003042,-0.006985,-0.048502,-0.035697,-0.035604,-0.034888,-0.006171,0.052781,0.000238,0.160183,-0.009865,0.001281,0.156832,-0.206999,0.004334,0.12688,0.191132,0.000457,0.000233,-0.009917,0.005264,-0.000794,0.000141,0.005408,-0.042201,0.006102,-0.000997,-0.194544,-0.220034,1.716265,-0.202615,-0.284178,-0.384604,-0.278252,-0.137562,-0.277621,-1.731036,-0.002655,-0.231605,-0.462557,-0.735224,-0.756877,-0.824335,-0.653184,-0.548182,-0.357256,-0.559072,-0.283771,-0.252588,-0.328951,-0.155462,-0.399273,-0.275082,3.396336,-0.664827,-0.252038,-0.088575
