0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142
-0.000909,-0.000657,-0.000154,-0.007485,-0.014321,-0.007496,-0.00746,-0.00719,-0.013885,-0.006926,-0.00632,0.000363,-0.006728,-0.006518,-0.006738,-0.013558,-0.013385,-0.006229,-0.012776,-0.01344,-0.019674,-0.020524,-0.020696,-0.027572,-0.020779,-0.027618,-0.027632,-0.020832,-0.021413,-0.014582,-0.014061,-0.014118,-0.014204,-0.014742,-0.014208,-0.014219,-0.01373,-0.013731,-0.006875,-0.013776,-0.013307,-0.013296,-0.0133,-0.013306,-0.006008,-0.012377,-0.006002,-0.005547,0.001271,0.001661,0.002102,0.002114,0.00167,0.001692,0.001719,0.007581,0.000377,3.3e-05,0.006743,7e-06,-0.006735,-0.006305,-0.007159,-0.006767,-0.013548,-0.013961,-0.013934,-0.013903,-0.013879,-0.007076,-0.007025,-0.007396,-0.00025,-0.000298,0.006364,0.006734,0.006719,0.006686,0.006673,0.006656,0.00665,3e-06,0.007069,0.006652,1e-06,0.006647,0.000424,0.000425,0.000424,0.000423,0.000422,-0.006225,-4e-06,-5e-06,0.000422,-5e-06,0.000421,0.00042,0.000419,-0.006646,-6e-06,0.000418,-0.006216,-0.006213,-0.006211,-0.00621,-0.006617,-0.013232,-0.013213,-0.013206,-0.006195,-0.006595,0.000401,-0.006219,-0.006213,-0.006585,0.000398,1.8e-05,-1e-06,-8e-06,-2e-06,1e-06,-0.006611,-0.0,-0.006606,2e-06,-0.006606,8e-06,1.1e-05,1.5e-05,0.000373,0.006973,-3.6e-05,0.006574,0.006188,0.006187,0.012786,0.012441,0.011993,0.005774,0.005367,-0.000842,-0.007472
0.006439,0.004177,0.000149,0.004581,0.00489,0.003675,0.002841,0.0004,-0.00049,-0.001478,-0.00589,-0.003947,-0.001757,-0.003025,-0.001071,-0.001415,-0.003129,-0.006331,-0.009936,-0.004577,-0.010695,-0.003443,-0.001904,-0.002353,-0.001533,-0.002915,-0.0031,-0.002117,0.003483,0.004493,-0.000755,0.000462,0.00294,0.009355,0.00351,0.004198,-0.000771,-0.000577,0.000137,0.00214,-0.002713,-0.002368,-0.000828,0.000587,-0.002228,-0.009591,0.000412,-0.004863,-0.000745,-0.006053,-0.01189,-0.011601,-0.007579,-0.009004,-0.010379,-0.002879,0.000882,0.00355,0.000404,-0.00189,-0.002199,-0.008621,0.002353,-0.00398,-0.004008,0.006131,0.006843,0.007394,0.008395,0.010339,0.011907,0.018578,0.014048,0.011191,0.011011,0.004643,0.004715,0.003185,0.00249,0.000917,0.000279,0.000742,-0.004834,0.001336,0.001192,0.001496,-0.005158,-0.004453,-0.004551,-0.003743,-0.003732,-0.003866,0.001851,0.001729,-0.004043,0.001543,-0.003225,-0.002111,-0.001558,0.003534,0.00392,-0.002409,-0.002288,-0.002189,-0.00275,-0.003052,0.002865,0.002922,0.003252,0.003287,-0.002999,0.001349,-0.004163,-0.004835,-0.004566,0.001391,-0.004353,0.001108,-8e-06,-0.000338,-4.8e-05,0.000106,-0.000116,3e-05,0.000191,0.000165,0.000143,0.00049,0.000648,0.000876,-0.005626,-0.006127,-0.001989,-0.002187,0.0027,0.002723,0.001436,0.006504,0.011335,0.003774,0.009544,0.004212,0.003682
-0.019952,-0.030008,-0.033147,-0.046012,-0.053874,-0.055781,-0.05703,-0.051017,-0.042782,-0.035771,-0.022193,-0.01244,-0.009733,-0.001944,-0.000188,0.000269,-0.001275,-0.004929,-0.007466,-0.011626,-0.00749,-0.00995,-0.008582,-0.008281,-0.008307,-0.008926,-0.009135,-0.008989,-0.012947,-0.012736,-0.008516,-0.007389,-0.005048,-0.008168,-0.004519,-0.003872,0.000603,0.000786,0.000804,0.003345,0.007881,0.008246,0.009677,0.010988,0.016816,0.019625,0.019173,0.02328,0.026319,0.030243,0.033908,0.034114,0.028676,0.027424,0.026266,0.01445,0.009436,0.003042,-0.000244,-0.001589,-0.001273,0.002026,-0.006215,-0.002784,-0.00225,-0.002409,-0.001813,-0.001358,-0.000521,0.000561,0.001853,-0.001261,0.003049,0.000648,-4.6e-05,0.003279,0.003322,0.002059,0.001488,0.000201,-0.00032,0.000594,0.004038,0.000539,0.000964,0.000669,0.00432,0.004896,0.004818,0.005475,0.005485,0.005919,0.001497,0.001396,0.005234,0.001243,0.005895,0.006786,0.007225,0.003367,0.003128,0.006534,0.007161,0.007236,0.006789,0.00655,0.002794,0.003353,0.0036,0.003619,0.006568,0.001574,0.00514,0.005124,0.005329,0.001589,0.004988,0.00086,-4e-06,-0.000261,-3.6e-05,8.3e-05,0.000416,2.5e-05,0.000653,0.000129,0.000616,0.000379,0.000501,0.000676,0.004004,0.003111,-0.001542,-0.002204,-0.006787,-0.006788,-0.008325,-0.012744,-0.017365,-0.014392,-0.018258,-0.013539,-0.013437
0.237195,0.234202,0.143591,-0.148815,-0.248539,-0.11541,-0.004128,0.163029,-0.348319,0.014143,-0.145443,-0.170763,-0.097891,-0.001466,-0.003365,0.007889,-0.347299,0.004554,0.016649,0.059155,-0.009326,0.046344,-0.293991,-0.101398,-0.104035,0.029093,0.020411,0.00621,0.035807,-0.345188,-0.024597,0.033401,0.054251,-0.08699,0.005639,-0.026324,0.095147,-0.004762,-0.111579,1.195835,3.890521,-0.043398,0.222301,0.490487,0.449285,0.249876,4.352901,0.562278,1.478621,5.373568,1.728916,0.380733,1.16605,3.971025,2.397432,0.003429,-1.201132,3.467675,0.063614,0.511394,1.074107,0.447813,2.566207,0.040743,0.125091,0.095234,0.058283,-0.02364,-0.846048,-0.031892,0.020874,-1.730451,-0.263429,-0.586588,-0.217938,-0.029797,0.392362,-0.005905,0.007058,-0.010936,0.001222,0.001464,-0.048207,0.001689,0.37682,0.376405,-0.036922,-0.036505,-0.049003,-0.036333,-0.038829,-0.0459,-0.003699,-0.007372,-0.049901,0.416941,-0.047692,-0.046544,-0.03964,-0.009807,-0.013473,0.070221,0.29509,-0.05124,0.047876,0.187901,-0.012421,-0.013358,-0.015825,0.084598,-0.024209,-0.002946,-0.036254,-0.035792,-0.042676,0.022842,-0.044454,-0.012443,-0.000361,0.000112,9.4e-05,0.000367,-0.014195,3.3e-05,-0.005773,1.7e-05,-0.001982,4.7e-05,3e-05,-0.003717,-0.036878,-0.034338,-0.004687,-0.214109,0.401511,-0.293543,0.5483,-2.949062,-0.704376,-0.55106,-0.480885,-0.628026,-0.190733
-0.02761,-0.058323,0.03148,0.496821,0.695891,0.542978,0.42328,0.076576,0.726864,0.226628,0.33424,0.282118,0.189927,0.012944,0.014888,0.020269,0.460945,0.041922,-0.045505,-0.055645,0.080567,-0.035276,0.4699,0.260353,0.230725,0.086146,0.004494,0.099275,0.104702,-0.437985,0.136421,0.059077,0.028641,0.22237,0.077324,0.120159,0.185803,0.030641,0.216768,0.524662,1.758348,0.019062,-0.40443,-0.403008,-0.486469,-0.500037,0.573501,0.187654,-0.152988,2.317407,1.755031,0.073277,0.208164,0.344756,-1.513301,-2.372215,-2.454088,-0.838614,-1.926941,-1.017358,-0.343642,-0.795307,0.513707,-0.530822,-0.603899,-0.496274,-0.194999,-0.116714,-0.245463,-0.0204,-0.153658,-2.738284,0.15819,0.434082,0.204546,0.017508,0.682675,-0.0098,-0.025339,0.092926,-0.016521,-0.016321,0.103234,-0.034942,0.699797,0.699532,0.010542,0.011326,0.120319,0.011423,-0.001739,0.010423,-0.012129,-0.015969,0.002237,-0.356109,-0.004912,-0.001131,-0.001168,0.000232,-0.006816,-0.092081,-0.281301,0.021027,-0.072872,-0.191554,0.007766,0.022475,0.024642,-0.066718,0.004535,0.016384,0.011725,0.031042,0.029908,-0.016853,0.016997,-0.008441,0.000611,0.000155,0.000132,0.000554,0.12076,6.5e-05,0.017899,0.000151,0.015307,5.8e-05,4.5e-05,0.002687,0.011965,-0.003672,0.010643,0.220566,0.65391,1.336587,2.717063,-0.541861,1.278689,0.829684,0.906198,1.05532,0.593962
0.287219,0.276152,-0.044069,0.219363,0.315201,0.231683,0.16617,0.140557,0.344605,0.052561,0.113169,0.158763,0.087462,-0.033099,-0.030949,-0.063356,0.207142,-0.077932,0.057272,0.077346,-0.13874,0.050639,0.190896,-0.020953,0.036086,-0.111128,-0.082776,-0.053655,-0.025007,0.674206,0.015523,-0.041117,-0.072281,0.135996,0.008814,0.041065,-0.130278,-0.062159,0.139196,1.016353,3.417048,-0.04676,-0.335649,-0.683754,-0.392668,-0.462859,3.173766,-0.89088,0.624488,1.76897,-2.056472,-0.426567,0.567068,3.519367,5.423151,2.827727,1.865859,5.034855,1.079269,0.612164,1.870319,0.126399,5.130523,0.273824,0.182431,0.792301,0.295049,0.217633,0.679774,0.261239,0.402989,-0.076824,0.114913,0.239844,0.256779,0.121616,-0.349662,0.051791,0.027459,-0.139068,0.027757,0.022784,-0.154024,0.05453,-0.406762,-0.396494,-0.017371,-0.017765,-0.183661,-0.017694,0.006941,-0.033292,0.024868,0.013825,0.002228,-0.209498,-0.002032,0.009532,0.008085,-0.014485,0.023482,-0.092184,-0.198286,-0.021895,-0.084653,-0.146831,-0.004014,-0.033059,-0.038142,-0.098316,-0.072644,-0.028059,-0.01691,-0.048408,-0.046074,-0.060814,-0.016925,0.019777,0.000729,0.000488,0.0004,3.3e-05,-0.197233,0.000138,-0.028695,0.000328,-0.028979,0.000181,0.000117,0.000535,-0.017287,0.011821,-0.021859,0.122624,-0.132758,0.242561,-0.367628,-3.892952,-0.195805,-0.104794,-0.278177,-0.250358,-0.361005
1e-06,2.3e-05,0.007338,0.007557,0.007966,0.015579,0.016021,0.016269,0.023599,0.023672,0.030598,0.030265,0.022993,0.029438,0.035707,0.035197,0.035075,0.034903,0.034789,0.027841,0.027727,0.020887,0.013778,0.01376,0.013737,0.00687,5e-06,-0.006849,-0.006843,-2e-06,-6e-06,-9e-06,-1.6e-05,-9e-06,-6e-06,-0.0,0.000188,-1e-06,-5e-06,0.006853,-1.1e-05,-1.5e-05,-2e-05,-2.4e-05,-2.7e-05,-2.3e-05,-2e-05,-1.2e-05,-2e-06,4e-06,0.0,-0.000192,-2e-06,-5e-06,-3e-06,-4e-06,-1e-05,-7e-06,-6e-06,-2e-06,-2e-06,-0.0,0.000188,-8e-06,-0.006893,-1.1e-05,-0.0,-1e-06,2e-06,-9e-06,-5e-06,-6e-06,-1.7e-05,-0.000204,-0.00022,-4.8e-05,-0.000262,0.00665,0.006428,0.013364,0.013412,0.013488,0.020721,0.020842,0.020957,0.020752,0.020822,0.028179,0.034963,0.028186,0.034922,0.034876,0.042313,0.042344,0.042778,0.042381,0.035792,0.035786,0.028629,0.021514,0.007175,0.007066,0.007008,-0.000115,-8.4e-05,-0.000139,-0.000107,-0.000138,-0.000181,-0.007271,-0.000251,-0.000177,-3e-05,6.8e-05,2.2e-05,8e-06,-2e-06,-1e-06,4e-06,-1e-06,-2e-06,-1e-06,-2e-06,-3e-06,-3e-06,-2.7e-05,-0.0,2e-06,2.7e-05,-0.0,-1e-06,-0.007089,-0.007108,-0.014177,-0.028272,-0.049407,-0.049161,-0.063813,-0.071251,-0.063956,-0.056822,-0.049794,-0.042761
7e-06,0.00018,0.000448,0.002326,0.005865,0.008673,0.013564,0.017131,0.020526,0.02798,0.029572,0.024484,0.02371,0.014344,0.013834,0.009112,0.00766,0.007228,0.007431,0.007652,0.007532,-0.000113,0.003443,0.002856,0.001654,0.001483,0.000822,0.000868,0.001314,-2.6e-05,-0.000412,-0.000729,-0.001436,-0.000874,-0.000602,-9.7e-05,-0.005508,2.1e-05,-0.000405,-0.000986,-0.001112,-0.00151,-0.002151,-0.002515,-0.002906,-0.00262,-0.002223,-0.001479,-0.00034,0.000261,9e-06,0.005542,-0.000238,-0.000566,-0.000446,-0.000564,-0.001089,-0.000968,-0.000699,-0.000197,-0.000175,-9.3e-05,-0.005526,-0.00067,-0.000202,-0.000961,-5.6e-05,1.8e-05,0.000181,-0.000673,-0.000453,-0.000514,-0.001494,0.003699,0.002347,-0.004026,-0.001243,-0.004418,-0.000261,-0.002921,-0.004858,-0.005188,-0.010348,-0.009467,-0.00858,-0.001654,-0.000106,-0.003368,0.003636,0.000114,0.007252,0.008546,0.003119,0.003371,-0.001854,0.004026,-0.001864,-0.001027,-0.000351,-0.0005,-0.000122,0.000823,0.001326,0.000978,0.000723,0.001196,0.000917,0.001177,0.001548,0.001019,0.002149,0.001512,0.000246,-0.000599,-0.000201,-6.9e-05,1.2e-05,7e-06,-3.1e-05,3e-06,3e-06,-2e-06,4e-06,4e-06,3e-06,0.000221,-6e-06,-4e-06,-0.000231,2e-06,7e-06,-0.000468,-0.00029,-0.00092,-0.002521,-0.005263,-0.00899,-0.004324,0.00206,0.000217,-0.001149,9.7e-05,0.004064
3e-06,0.000175,0.000405,0.002246,0.005689,0.00836,0.012981,0.016182,0.019006,0.016459,0.017362,0.021413,0.020619,0.020863,0.011046,0.006842,0.005538,0.005077,0.005151,0.00551,0.005327,0.007889,0.002321,0.001834,0.000835,0.000956,0.000674,0.000976,0.001347,-1.6e-05,-0.000335,-0.000599,-0.001187,-0.000723,-0.0005,-8.2e-05,0.004162,1.7e-05,-0.000335,-0.001075,-0.000921,-0.001251,-0.001788,-0.002089,-0.002422,-0.002189,-0.001858,-0.001236,-0.000284,0.000222,7e-06,-0.004133,-0.000198,-0.000474,-0.000373,-0.000474,-0.000913,-0.000813,-0.000585,-0.000164,-0.000146,-7.6e-05,0.004145,-0.000561,8.9e-05,-0.000806,-4.5e-05,1.9e-05,0.000153,-0.000563,-0.00038,-0.000432,-0.001255,-0.005679,-0.006823,-0.003398,-0.009878,-0.012889,-0.018218,-0.020878,-0.022721,-0.023198,-0.019143,-0.018563,-0.017949,-0.020858,-0.019586,-0.01386,-0.016994,-0.010764,-0.013818,-0.0127,-0.009018,-0.008929,-0.004728,-0.008536,-0.00445,-0.003746,-0.002611,-0.002219,-0.000718,0.000214,0.000711,0.000957,0.00071,0.001176,0.000902,0.001153,0.001516,0.001574,0.0021,0.001477,0.000242,-0.000582,-0.000196,-6.8e-05,1.2e-05,7e-06,-3e-05,2e-06,2e-06,-2e-06,2e-06,3e-06,2e-06,0.000216,-6e-06,-4e-06,-0.000224,3e-06,9e-06,0.000117,0.00029,0.000241,-0.000222,-0.001363,0.004295,0.000212,-0.002868,-0.005429,-0.007301,-0.006702,-0.00337
0.002419,0.001349,-0.323222,0.005864,-0.064168,-0.977615,-0.002785,0.005448,-0.019909,-0.041884,0.011766,-0.005479,0.336325,0.042755,-1.107762,0.027657,-1.140693,-0.391454,0.37789,-0.009272,0.002041,-0.160608,-0.137578,-0.009283,-0.417494,0.310637,-0.01217,0.005015,0.000153,0.000199,0.000163,0.000112,-0.000774,6.4e-05,3.7e-05,0.007111,-0.035696,1.8e-05,0.005937,0.000155,7e-06,2.2e-05,8e-06,-0.000862,-0.000869,-0.000866,-0.000848,8e-06,1e-05,5e-06,-9e-06,0.035733,2.4e-05,1.9e-05,2.5e-05,1.4e-05,-0.000844,1.5e-05,1.6e-05,2.5e-05,1.2e-05,3e-05,-0.035738,0.005068,-0.00095,-0.000834,1.9e-05,1.5e-05,1.9e-05,-0.00082,2.5e-05,2.3e-05,-0.000832,0.044229,-0.08517,-0.001495,0.034713,-1.171988,-0.047617,-0.034764,-0.042224,0.074375,-0.03088,0.05133,-0.354217,-0.027419,-0.107193,-0.052875,0.02649,-0.135142,0.095645,0.087551,0.055045,0.045798,-0.021989,0.045096,0.013902,0.006352,0.006421,0.003961,0.003872,0.002515,0.001646,-3.4e-05,0.008002,-3.9e-05,-2.8e-05,-2.1e-05,-1.9e-05,-0.000978,0.001171,0.001163,-8e-06,1e-06,0.002651,4.4e-05,1e-06,-1.3e-05,1e-05,-1.6e-05,-1.9e-05,7e-06,-2e-05,-2e-05,-1.9e-05,8e-06,-5e-06,1.4e-05,-1e-05,0.0,-5e-06,-0.000992,-0.001324,0.107855,0.00534,-0.42051,-1.366189,-3.531284,-1.13813,-1.044011,-0.68478,-0.505944,0.010602
