0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
-0.01346,-0.019155,-0.026956,-0.026789,-0.026647,-0.026918,-0.027271,-0.027653,-0.027148,-0.034201,-0.034443,-0.027741,-0.027232,-0.028021,-0.02747,-0.028094,-0.028154,-0.02121,-0.02176,-0.021783,-0.01429,-0.021404,-0.021456,-0.014064,-0.021143,-0.014116,-0.014113,-0.013625,-0.006594,-0.00658,-0.006547,-0.006509,-0.006468,-0.006448,-0.005991,-0.005973,0.000887,-0.005969,-0.005973,0.000445,0.000867,0.000869,0.00087,0.000868,0.00087,0.000869,-0.005929,-0.005926,0.000873,-0.012665,-0.005878,-0.012611,-0.012587,-0.019313,-0.012564,-0.012944,-0.01294,-0.012946,-0.012965,-0.013352,-0.00667,-0.006688,-0.006695,-0.006705,-0.006705,-0.006703,1e-06,-1e-05,0.0,1e-06,0.006715,9e-06,2e-06,-8e-06,-1e-06,-2e-06,-1e-05,-7e-06,0.0067,0.006665,0.00663,0.006245,0.012545,0.012531,0.019313,0.012605,0.012967,0.006247,0.006249,-0.000869
-0.001001,-0.010595,-0.004479,-0.007076,-0.009329,-0.008558,-0.006097,-0.003839,-0.00891,-0.008716,-0.007336,-0.005117,-0.01,-0.003037,-0.009166,-0.00328,-0.003509,-0.003265,0.001388,0.001443,-0.003917,-0.002601,-0.001428,-0.00082,0.002178,0.005383,0.007345,0.004233,0.00716,0.008397,0.010681,0.011346,0.010925,0.010918,0.002768,0.000719,0.000254,-0.002837,-0.004823,0.001152,-0.004566,-0.003985,-0.002818,-0.002759,-0.002016,-0.001474,-0.000667,-0.000925,0.000352,0.000279,0.000611,0.000325,-0.001076,-0.002821,-0.002819,0.001337,0.000241,-0.000507,-0.00199,0.002056,0.001073,0.000461,0.000162,-0.000155,-0.000148,-0.0001,2.2e-05,-0.00025,2e-06,4e-06,0.000377,0.000225,2.7e-05,-0.000224,-6e-06,-1e-06,-0.000261,-0.000195,5e-05,-0.000914,-0.002083,0.002236,0.005595,0.004614,0.006569,0.006853,0.000728,0.000271,0.00022,0.005086
-0.043563,-0.033913,-0.036708,-0.030394,-0.02365,-0.023154,-0.020916,-0.018917,-0.014665,-0.013747,-0.012537,-0.011271,-0.00672,-0.009348,-0.006062,-0.009715,-0.01003,-0.010639,-0.01555,-0.015534,-0.012196,-0.010189,-0.009011,0.000585,0.004362,0.006941,0.00893,0.015286,0.017468,0.01863,0.020709,0.021129,0.020488,0.020365,0.021656,0.019595,0.018513,0.016163,0.014292,0.0101,0.013905,0.014409,0.015435,0.015464,0.016091,0.016525,0.017748,0.017493,0.017969,0.018951,0.018636,0.018859,0.017592,0.016604,0.016044,0.010805,0.009863,0.009233,0.007999,0.002707,0.00139,0.000891,0.000642,0.000381,0.000385,0.000419,2.3e-05,-0.0002,2e-06,3e-06,-0.000188,0.000183,2.3e-05,-0.000181,-5e-06,-3e-06,-0.000213,-0.000162,-0.00046,-0.001248,-0.002204,-0.007266,-0.013618,-0.014454,-0.013382,-0.012639,-0.009105,-0.008978,-0.009027,-0.013099
0.10182,-0.083078,-0.032329,-0.252787,-0.170408,0.081517,0.080203,-1.311338,0.054903,0.056945,0.052899,-0.326158,-0.232779,-1.088814,-0.358026,-0.249021,-0.213332,3.695241,0.283477,-0.320316,-0.00853,-0.207882,-0.342799,-0.10367,-0.004313,-0.014967,0.000706,-0.061971,-0.033704,-0.031639,0.335124,-0.034032,0.047006,-0.034075,-0.073612,-0.079866,0.227204,-0.086985,-0.075289,0.308032,-0.062012,0.023888,-0.074028,0.219817,-0.058123,-0.07217,0.299021,0.059889,1.277342,-0.016073,0.214898,-0.019811,-0.087885,-0.047106,0.25875,-0.049658,0.196761,-0.057387,-0.054345,-0.004098,-0.001446,0.001181,-0.013209,-0.00113,-0.0074,-0.00217,0.000154,-0.432782,0.000236,-0.011858,-0.010332,-0.003811,9e-05,0.000111,-0.000349,2.1e-05,1.8e-05,2.4e-05,-0.297465,-0.232548,-0.255212,-0.248843,-0.049196,0.409613,-0.003283,0.005797,-0.374498,-0.170554,-0.29886,-0.41225
0.210696,0.264857,0.172146,0.533391,0.398388,-0.000356,0.076332,-1.539093,-0.020165,-0.022083,-0.011601,0.491711,0.326438,-1.870466,0.493243,0.392973,0.426791,1.685012,0.322946,0.704812,0.148578,0.379813,0.596863,0.073554,0.025707,0.132797,-0.018929,0.112102,-0.021623,-0.040038,-0.436497,-0.037337,0.131046,-0.036896,-0.01557,-0.001554,-0.442522,0.019207,0.010031,0.116216,-0.038728,-0.15808,-0.023936,-0.425806,-0.147419,-0.031665,-0.548829,-0.215031,1.479852,-0.085865,-0.41265,-0.085011,0.02223,-0.025353,0.112612,0.02304,-0.341522,0.035948,0.048045,-0.078157,0.016782,-9.9e-05,0.022788,0.017446,0.010739,0.016626,0.000173,-0.609402,0.000178,0.106647,-0.007698,0.004324,0.000154,5.7e-05,0.000115,8e-06,2e-06,2.7e-05,0.435916,0.609176,0.442343,0.710746,0.206382,0.490321,-0.10026,-0.007594,0.465906,0.303543,0.530998,0.0548
-0.013017,0.22947,0.21302,0.3524,0.292339,-0.006994,-0.164246,1.947653,-0.009218,-0.022729,-0.048094,0.37343,0.24164,1.744922,0.35264,0.306984,0.119582,3.863012,0.599541,0.404815,-0.004909,0.382933,0.26797,0.241849,-0.067915,-0.201045,0.008556,-0.169448,0.021959,0.046206,-0.472479,0.048106,-0.013196,0.048445,0.040238,0.010852,-0.254329,-0.011221,-0.014192,0.350926,-0.015554,-0.094608,-0.0067,-0.2672,0.145917,-0.01383,-0.349079,-0.173722,-1.917442,-0.123285,-0.285738,-0.087606,-0.056774,-0.125413,0.293162,-0.063746,-0.245988,-0.056714,-0.047324,0.132945,-0.028149,-0.048279,-0.032426,-0.029249,-0.039876,-0.028519,0.00043,0.532739,0.000114,-0.167329,0.026936,0.00169,0.000272,0.000168,0.000258,3.4e-05,3.2e-05,1.8e-05,0.29608,0.417441,0.36194,0.447265,0.247136,-0.038877,0.56046,0.349422,0.625338,0.247735,0.382529,-0.161985
0.021458,0.021357,0.021316,0.02816,0.028067,0.027971,0.027924,0.027868,0.027831,0.027822,0.020852,0.013902,0.013879,0.006933,0.006914,0.006912,-0.0,0.000176,9e-06,0.0,-0.006923,-1e-06,-0.0,-9e-06,-0.0,-6e-06,-2e-05,-4e-05,-3.8e-05,-4.2e-05,0.006889,0.006705,0.013652,0.013642,0.01366,0.020417,0.02042,0.020426,0.027158,0.027406,0.020468,0.027421,0.02773,0.027708,0.027708,0.027646,0.027903,0.027852,0.027789,0.02087,0.020899,0.013943,0.013964,0.014101,0.014026,0.014076,0.00712,0.007086,0.00701,-3e-06,-3.7e-05,-4.3e-05,-3.7e-05,-2.5e-05,-0.0,5e-06,2e-06,1.3e-05,-0.0,-1e-06,2e-06,4e-06,-0.0,-4.3e-05,-2e-06,-3.3e-05,2e-06,-0.006957,0.0,-0.00689,-0.013751,-0.021058,-0.021544,-0.035793,-0.042536,-0.042424,-0.042312,-0.035282,-0.035608,-0.035634
0.00574,0.00523,0.005121,0.004181,0.003749,0.003109,0.002735,0.002479,0.002587,0.002833,0.002521,0.002453,0.001781,0.000798,-0.000248,-0.000405,1.2e-05,-0.00523,0.000528,9.5e-05,-6.6e-05,-2.7e-05,1e-06,-0.000469,-2.8e-05,-0.00029,-0.001061,-0.002131,-0.00212,-0.002279,-0.00252,0.001864,0.001636,0.00057,0.00068,0.006091,0.006157,0.005888,0.010583,0.005535,0.005188,0.00617,0.000489,0.001702,0.00242,0.00424,0.000502,0.001482,0.002496,0.001405,0.000966,0.000541,0.000302,-0.000403,-0.000342,-0.000859,-0.001324,-0.0009,9e-06,3.1e-05,0.000416,0.000473,0.000413,0.000281,5e-06,-6.4e-05,-3e-06,-0.00012,1e-05,2.3e-05,-7e-06,-3.2e-05,3e-06,0.000462,2e-06,0.00038,-9e-06,-0.000566,3e-06,-0.001386,-0.003181,0.00101,0.007795,0.012879,0.010423,0.008845,0.006968,0.004334,0.010504,0.01115
0.004501,0.004011,0.003892,0.002877,0.002448,0.001851,0.001506,0.001236,0.001281,0.001463,0.001393,0.00155,0.000983,0.000404,-0.00047,-0.000599,7e-06,0.00442,0.000446,8.3e-05,0.000195,-2.2e-05,1e-06,-0.000393,-2.4e-05,-0.000243,-0.000887,-0.001786,-0.001781,-0.001916,-0.002374,-0.007517,-0.007982,-0.008899,-0.008836,-0.013391,-0.013353,-0.013623,-0.018826,-0.014334,-0.014346,-0.013868,-0.009952,-0.008917,-0.008348,-0.00679,-0.001138,-0.00029,0.000573,-1.9e-05,-0.00042,-0.000393,-0.000618,-0.001261,-0.001211,-0.001681,-0.001653,-0.001276,-0.000462,2.4e-05,0.000371,0.000423,0.000372,0.000253,5e-06,-5.8e-05,-5e-06,-0.000107,9e-06,2e-05,-8e-06,-2.9e-05,2e-06,0.000415,3e-06,0.000342,-8e-06,-4.6e-05,8e-06,-0.000782,-0.001945,-0.006816,-0.009803,-0.0135,-0.015356,-0.016821,-0.018631,-0.021523,-0.025067,-0.024591
-0.017364,-0.006615,0.002308,-0.011347,-0.001128,-0.011496,0.004602,0.336797,0.00848,-0.00592,-0.250341,0.001501,0.004632,-0.008967,0.001189,0.00121,0.00051,-0.035615,7.3e-05,5.7e-05,0.004697,-3e-05,-1.4e-05,-2.1e-05,-1.1e-05,5e-06,1e-06,-0.000861,6e-06,-0.000841,0.000979,0.035888,-1.396258,0.040254,0.038668,0.068113,0.089083,0.081848,0.12637,-0.024463,0.08663,-1.463005,0.046016,0.047956,0.058544,-0.08308,-0.456384,0.005567,-0.459098,0.003278,0.004736,0.002371,-0.133819,3.218267,0.00276,0.002724,0.000847,0.001063,0.000178,0.001297,-3.3e-05,-5.2e-05,-1.2e-05,-1.4e-05,-1.5e-05,-1.3e-05,3e-06,0.001403,2.5e-05,-2e-06,9e-06,7e-06,-8e-06,-1.1e-05,-2e-06,1.8e-05,1.6e-05,-0.000998,6e-06,0.00431,1.399559,1.243432,0.356503,0.832152,-0.349557,0.168697,0.070004,-0.509241,-0.26294,-0.285198
