0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
-0.017269,-0.0088,-0.008875,-0.016029,-0.016068,-0.015486,-0.015448,-0.022639,-0.014891,-0.014991,-0.022971,-0.015859,-0.024497,-0.024505,-0.024545,-0.024566,-0.032444,-0.024608,-0.024669,-0.016814,-0.024166,-0.02365,-0.023664,-0.023668,-0.023674,-0.023669,-0.015281,-0.023676,-0.015788,-0.023201,-0.015315,-0.007436,-0.007446,-0.014897,-0.007004,-0.007459,0.000451,0.00046,0.000469,3.8e-05,3.2e-05,3e-05,3.3e-05,3e-05,2.2e-05,1.3e-05,-3e-06,-1.2e-05,-1.8e-05,-0.008391,-0.008376,-0.008803,-0.000427,-0.000803,-0.008215,-0.000314,-0.007699,-0.007683,-0.007655,0.000172,0.000144,-0.007246,-0.007266,0.000495,0.000485,0.000476,0.000881,0.000449,0.000438,0.000399,-2.7e-05,-0.007824,-7e-06,-0.007805,-0.015559,-0.007755,-0.015557,-0.007802,-0.007803,-0.007801,-0.007389,-0.007739,-0.007738,-0.007321,-0.007717,7.6e-05,-0.007691,0.000483,-0.007678,0.000483,-0.00773,-0.00776,-0.007757,-0.007755,5.2e-05,-0.007722,-0.007719,-0.00771,-0.00771,-0.007734,-0.007773,-0.007767,5.5e-05,-0.007735,4.9e-05,-0.007714,-0.007699,6.4e-05,-0.007675,6.5e-05,-0.007693,-0.007743,-0.007759,-3e-05,-1e-06,0.007705,0.007709,-3.2e-05,0.0077,0.007668,0.01546,0.015443,0.007647,0.015412,0.015006,0.015368,0.015376,0.015008,0.015413,0.015444,0.007678,0.015543,0.015599,0.007837,0.007847,0.007832,1.7e-05,3.3e-05,7e-06,-0.007839,-0.008265,-0.008263
0.010954,0.006617,0.006867,0.001077,0.001366,-0.003809,-0.004452,-0.01094,-0.009932,-0.009869,-0.009539,-0.002475,0.003435,0.003518,0.003969,0.004257,0.003411,0.005042,0.006422,0.008019,0.002576,-0.001853,-0.001546,-0.001396,-0.001123,-0.001426,-0.006044,-0.001171,0.000294,-0.005891,-0.006024,-0.005993,-0.006087,-0.012108,-0.011419,-0.005323,-0.004981,-0.004691,-0.004057,0.002538,0.002164,0.002085,0.002149,0.001849,0.001415,0.000911,-7e-06,-0.000691,-0.001093,0.002821,0.003611,0.010263,0.006358,0.015213,0.009992,0.011524,0.006842,0.00668,0.007321,0.007136,0.005923,-0.000547,-0.001628,-0.002681,-0.003015,-0.003273,-0.009604,-0.004333,-0.004764,-0.0062,-0.000836,-0.00085,-0.000214,-0.000255,0.000907,0.001144,0.000685,-0.000256,-0.000283,-0.000249,-0.005267,0.001162,0.001141,-0.003724,0.00142,0.001649,0.001819,-0.003286,0.002039,-0.003262,0.001004,0.000382,0.00039,0.000437,0.000974,0.00089,0.00095,0.001002,0.000936,0.000542,-7.5e-05,0.0,0.000845,0.000461,0.00077,0.000705,0.000913,0.000895,0.001181,0.000926,0.000861,0.000181,-6.4e-05,-0.000391,-4e-06,-0.000653,-0.000634,-0.000463,-0.000803,-0.001281,-0.000837,-0.001139,-0.001848,-0.001855,0.002614,-0.003148,-0.003431,0.002071,-0.003277,-0.003184,-0.002789,-0.001454,-0.000188,0.000968,0.001349,0.00103,0.000645,0.001137,0.000294,-0.001406,0.003823,0.003831
-0.027985,-0.023897,-0.023435,-0.018502,-0.018373,-0.013753,-0.014646,-0.010666,-0.010748,-0.010723,-0.0092,-0.01249,-0.014988,-0.014834,-0.014312,-0.014021,-0.014082,-0.013086,-0.011266,-0.01022,-0.004944,0.000636,0.000998,0.001173,0.001491,0.001013,0.00539,0.001282,0.00231,0.006414,0.005296,0.004409,0.004267,0.008595,0.008647,0.005292,0.004885,0.005285,0.006149,0.003477,0.002962,0.002845,0.002925,0.002517,0.001923,0.001239,-1.4e-05,-0.000939,-0.001488,-0.006952,-0.00588,-0.008477,-0.002993,-0.002598,0.002766,0.003983,0.010016,0.009725,0.010543,0.009413,0.007762,0.011429,0.009988,0.007824,0.00738,0.007043,0.010135,0.00567,0.005116,0.003267,-0.001074,-0.00032,-0.000267,0.000441,0.002683,0.002231,0.00237,0.000417,0.000376,0.000415,0.005197,0.002206,0.002176,0.007151,0.002514,0.002112,0.00301,0.006992,0.00327,0.007013,0.001949,0.001159,0.001169,0.00122,0.001237,0.001789,0.001855,0.001917,0.001826,0.001327,0.000545,0.000635,0.001069,0.001205,0.000972,0.001498,0.001757,0.00113,0.00208,0.001165,0.001673,0.000821,0.000509,-0.000485,-5e-06,-0.001404,-0.001382,-0.000583,-0.001606,-0.002215,-0.002271,-0.002677,-0.00296,-0.003613,-0.009121,-0.005312,-0.005712,-0.009912,-0.005588,-0.005507,-0.004304,-0.003346,-0.001742,0.000477,0.000965,0.00055,0.00082,0.001457,0.000378,-0.001041,-0.005559,-0.005552
1.726644,2.907395,0.289,0.244359,3.265707,0.491347,-0.033212,-0.297736,3.185763,1.526428,2.909157,3.369522,3.18619,-0.079715,0.000782,-0.272644,-0.188882,-0.076825,0.012576,0.048722,1.116571,-0.026722,0.003566,0.362729,-0.007593,-0.007452,0.077426,0.097483,0.07054,0.199981,-0.046467,0.158615,0.133398,-0.04899,-0.097298,-0.059154,0.176862,-0.049579,-0.052055,0.028754,-0.000966,-0.182833,0.010765,0.007239,0.006863,-0.050795,-0.233227,-0.179423,0.13189,-0.337797,-0.254177,-0.169637,-0.383171,0.020019,-0.395493,-0.004231,0.099208,-0.01477,-0.424131,-1.125768,0.105854,0.09761,0.029322,0.061268,0.079517,0.17899,0.118489,0.01059,0.149968,-0.006652,0.039852,0.175724,-0.00079,0.087133,0.047183,0.13204,0.06897,0.003259,0.007052,-0.168951,0.082593,0.099024,-0.0182,-0.043792,-0.000773,0.004663,0.039144,-0.050133,0.026626,-0.004157,-0.004071,0.098962,0.009129,-0.362939,-0.187159,-0.001052,-0.02577,0.025196,0.046794,-0.00608,-0.001133,-0.005804,-0.022952,-0.011285,-0.008442,-0.000215,0.0003,-0.007125,-0.014275,0.033424,-0.002705,0.061347,-0.002257,0.000211,0.000193,0.000421,0.002146,0.008515,0.024282,0.092003,0.007994,-0.29412,1.68006,-0.260618,-0.219213,1.411498,-0.034303,-0.216345,-0.324312,-0.360042,-0.042095,1.26106,-0.059529,0.018147,0.041824,-0.011656,-0.000602,0.001372,-0.00036,-0.004102,-0.12847,0.044166
1.897977,1.660557,1.026492,0.153708,1.421646,0.675844,0.398306,0.606732,0.609909,2.511165,1.154947,0.778064,1.077214,0.344979,0.258409,0.734299,0.561681,0.377568,0.145034,0.14749,0.429761,0.171259,0.029056,0.072118,0.045592,0.045769,0.059234,-0.154539,-0.1319,-0.411967,0.038778,-0.35494,0.121195,0.051769,0.137389,0.116,-0.456503,0.020517,0.091518,0.129383,-0.000929,0.374798,-0.032269,-0.025391,-0.022519,0.095169,0.501723,0.492124,1.414836,1.110313,1.067663,0.882853,-0.253721,0.117971,-0.298835,0.035644,-0.243823,0.080423,-0.403087,-2.146663,-0.575852,-0.534721,-0.323884,-0.42474,-0.436853,-0.657748,-0.768244,-0.278876,-0.589296,-0.153082,-0.182828,-0.441078,-0.01013,-0.269031,-0.191879,-0.361102,-0.303645,-0.072274,-0.075825,-0.137451,-0.223479,-0.288229,0.045652,0.029497,0.016199,-0.012242,-0.078514,0.014837,-0.068852,-0.076199,0.008685,-0.188674,-0.018267,-0.989301,-0.14028,0.009543,-0.455805,-0.133365,-0.170688,0.029573,0.023633,0.030273,-0.007217,0.033718,0.01372,0.017023,0.001207,0.013815,0.026354,-0.079542,0.017078,-0.125943,0.017528,0.000373,7.8e-05,-0.000779,-0.015182,-0.003368,-0.007283,0.35495,-0.02887,0.554044,1.882598,0.430374,0.507636,2.006524,-0.05905,0.440428,0.433182,-0.035824,-0.079804,1.978625,0.077079,-0.052049,0.028454,0.083425,-0.000158,-0.014529,-7e-05,0.029576,0.260697,-0.007232
-0.700042,4.842924,0.0866,0.597807,4.528043,-0.256388,0.744108,0.041029,4.197159,-1.160124,4.23174,3.7637,4.145775,-0.118074,-0.192261,-0.114807,-0.053992,-0.086044,-0.00222,-0.19957,1.041985,-0.23874,-0.098039,0.249071,-0.088974,-0.088639,0.014008,-0.213751,-0.130802,-0.36149,-0.084021,-0.27311,-0.245466,-0.323548,-0.233805,-0.183562,-0.304367,-0.006172,-0.158048,-0.187431,0.000868,0.266484,0.014904,0.018532,0.021133,0.09997,0.317132,0.084127,-0.50769,-0.019423,-0.029923,-0.14686,0.116024,-0.210513,0.310473,-0.059282,-0.365773,-0.154288,0.481301,1.8233,-0.015114,-0.1367,0.236628,0.212944,-0.011129,-0.16178,0.016607,0.295441,0.092915,0.111181,0.11519,-0.315857,-0.017679,0.017349,0.053919,-0.037348,0.228294,0.138231,0.146764,0.110318,-0.200554,0.04123,-0.029148,-0.017784,-0.02827,0.024185,-0.061622,0.005878,-0.05485,-0.045406,-0.041671,-0.150263,-0.063374,0.161729,0.130518,-0.044814,-0.080627,0.132217,0.111568,-0.027597,-0.029235,-0.02907,0.031656,-0.033984,0.002433,-0.029217,-0.003633,0.000825,-0.035752,-0.056109,-0.02792,-0.111718,-0.028587,0.000615,0.000416,0.004595,0.029481,0.013046,0.040138,0.007811,0.0821,0.374415,-1.153704,0.563372,0.628568,-0.711523,0.484717,0.763395,0.79962,-0.089514,0.441021,-1.136185,0.129681,0.047637,-0.015656,-0.14294,-0.000717,0.024395,-0.000394,-0.054377,0.140151,-0.016072
0.00836,0.000159,0.008281,0.000188,0.008213,6e-05,7.4e-05,0.008095,0.000114,0.008089,0.00811,0.016022,0.008103,0.007945,0.008038,0.008003,5.5e-05,0.007988,0.007836,-0.000128,1e-05,0.007825,0.007805,0.007953,2e-06,8e-06,0.007987,5.2e-05,0.007841,0.007999,0.007816,0.007805,0.015884,0.015508,0.007748,0.023356,0.015419,0.023504,0.023479,0.023237,0.023453,0.023443,0.023693,0.02344,0.023438,0.015825,0.0158,0.015791,0.01546,0.01575,0.007555,0.00756,0.007558,0.007902,0.007878,0.007913,0.0076,0.008006,0.007696,0.01562,0.015665,0.007776,0.015624,0.007779,0.008158,0.007835,0.008296,0.008334,0.007966,0.008358,0.008365,0.008328,0.008325,0.000293,0.000128,5.2e-05,-3.1e-05,0.007942,0.000403,0.007967,2e-05,0.007983,0.007991,0.008002,0.008007,0.007979,0.007961,0.008022,0.0085,0.008073,0.008164,0.008182,0.008603,6.6e-05,0.000517,0.007999,0.007978,-1.5e-05,0.007932,-5.4e-05,0.007938,0.00041,-0.0,-0.0,-1e-06,-2e-06,-7e-06,0.000447,0.008463,0.008467,0.008477,5.8e-05,0.008068,0.008026,3.6e-05,-0.007924,-0.007993,-0.007991,-0.007997,-0.008013,-0.008524,-0.016475,-0.024363,-0.024423,-0.024354,-0.032422,-0.040565,-0.032147,-0.032125,-0.032161,-0.03207,-0.031992,-0.031928,-0.023919,-0.031874,-0.023622,-0.02363,-0.023645,-0.015688,-0.007713,-0.007738,-4e-06
0.003813,0.008769,0.002997,0.002562,0.002307,0.007576,0.007797,0.007765,0.00852,0.008193,0.008687,0.007829,0.001975,0.006879,0.001125,0.000606,0.000993,0.000452,0.005664,0.005615,0.000164,0.005654,0.005349,-1.8e-05,-2e-06,0.000131,0.000936,0.001227,0.006921,0.001707,0.006664,0.006732,0.001112,0.011408,0.005831,0.011118,0.010903,0.005344,0.004997,0.010093,0.004727,0.004337,-0.001224,0.004389,0.004423,-0.001226,6.8e-05,0.000389,0.006583,0.001251,0.006101,0.005922,0.005819,-0.000149,0.00038,-0.000348,0.004673,-0.002094,0.002845,0.002568,0.002013,0.001823,0.003043,0.002038,-0.003366,0.001441,-0.004947,-0.00509,0.000232,-0.004995,-0.004841,-0.00414,-0.003979,-0.003392,-0.001527,-0.000585,0.000366,0.000934,-0.005449,0.000615,-0.000229,0.000476,0.000395,0.000305,0.000265,0.000572,0.000752,0.000129,-0.005698,-0.000317,-0.001117,-0.001221,-0.006355,-0.000622,-0.006035,0.000626,0.0008,0.000112,0.001235,0.000488,0.001172,-0.004996,-9e-06,-8e-06,2e-06,9e-06,6.2e-05,-0.005287,-0.004771,-0.004781,-0.004828,-0.000495,0.000116,0.00047,-0.000298,-0.001336,-0.00077,-0.000776,-0.000722,-0.000551,0.005325,0.004374,0.003208,0.003616,0.003221,0.003734,0.00571,0.000493,0.001197,0.002311,0.001606,0.000838,0.000376,-9.1e-05,-9.9e-05,-0.005603,-0.006026,-0.006541,-0.005793,-0.006326,-0.005896,0.000245
0.005006,0.000229,0.003878,0.003432,0.002924,-0.001405,-0.001119,-0.001337,-0.000181,-0.000807,-0.000168,-0.001516,0.002376,-0.002594,0.001245,0.000556,0.00129,0.000345,-0.00422,-0.004043,0.000206,-0.004241,-0.004646,-0.000289,-8e-06,0.000164,0.000946,0.001598,-0.002625,0.001921,-0.002975,-0.0029,0.000805,-0.008491,-0.0041,-0.009269,-0.009238,-0.005519,-0.006029,-0.010801,-0.006476,-0.007057,-0.003027,-0.007127,-0.007117,-0.002677,-0.001017,-0.000606,-0.003902,0.000475,-0.003994,-0.004232,-0.004373,-0.000816,-0.000127,-0.001089,-0.005906,-0.003418,-0.008339,-0.009393,-0.01018,-0.009781,-0.008864,-0.009556,-0.005286,-0.010413,-0.007496,-0.007721,-0.01219,-0.007696,-0.007536,-0.006607,-0.006398,-0.004787,-0.002163,-0.000831,0.000513,0.000487,0.00424,2.9e-05,-0.000326,-0.00018,-0.000299,-0.000434,-0.000501,-7.2e-05,0.000171,-0.000722,0.002973,-0.00137,-0.002515,-0.002678,0.002005,-0.000898,0.003393,-6.6e-05,0.000183,0.000151,0.000797,0.000695,0.000707,0.004888,-1.4e-05,-1.4e-05,-1e-06,9e-06,8.4e-05,0.004461,0.004212,0.004195,0.004119,-0.000716,-0.000847,-0.000343,-0.000429,-0.000904,-9.7e-05,-0.000105,-3.1e-05,0.000209,-0.003423,-0.00383,-0.004447,-0.004039,-0.004677,-0.003169,0.000324,0.003973,0.00484,0.00621,0.005161,0.0039,0.003119,0.001742,0.00224,0.005759,0.00509,0.004302,0.004807,0.003539,0.004135,0.000345
-0.004925,0.027314,0.012057,-0.011093,0.004899,0.038206,0.038597,0.038632,0.040951,-0.506443,0.042031,0.041251,0.004063,0.039465,-0.158034,0.001969,-0.00903,0.001986,0.037351,0.03605,0.002163,0.038295,0.03771,0.004228,0.000859,0.000215,0.002907,0.001182,0.037016,0.002255,0.038474,0.039988,-0.007613,0.076652,0.03859,0.066183,0.072174,-0.047263,-0.092458,0.077395,0.041689,0.084404,0.003365,0.042824,0.040388,-0.042681,0.005529,0.005708,0.038514,0.002122,-0.008516,0.0374,0.03748,-1.4e-05,0.001319,7.8e-05,0.036728,0.000808,0.035865,0.060018,0.037042,0.035635,0.036617,0.034646,-0.000115,0.035659,0.128906,0.451308,0.046611,0.260475,0.16728,-0.016951,0.03917,1.899173,0.054863,0.258202,0.095367,2.1e-05,0.040397,0.131039,0.203667,0.013164,0.162458,0.174052,0.001685,0.058758,0.092848,0.067956,0.08643,-0.010703,0.017887,0.010839,0.169604,0.010505,0.068467,0.186019,0.081696,-0.000525,-0.010578,0.213478,0.143088,0.007808,0.006492,-0.008661,-0.006551,0.039256,-0.00277,-0.047305,0.113715,-0.042738,-0.037101,-0.005313,-0.004936,-0.007443,-4.4e-05,-0.001871,-0.000857,0.002789,-0.132884,-0.212512,-0.259765,-0.334698,-1.055015,-0.454975,-0.456553,-0.381552,-0.318541,1.33607,-0.536505,1.133688,-0.329106,1.189383,-0.026058,-0.604745,1.321979,0.00138,-0.042005,-0.046558,0.407761,1.318232,-0.742577,-0.012705
