0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209
-0.016168,-0.02505,-0.016789,-0.016871,-0.016994,-0.009352,-0.017647,-0.01698,-0.017567,-0.017593,-0.008791,-0.016362,-0.00875,-0.016366,-0.016353,-0.01634,-0.008146,-0.016346,-0.008176,-0.016348,-0.008114,-0.016353,-0.01635,-0.016348,-0.016267,-0.016323,-0.016311,-0.008133,-0.016263,-0.016258,-0.016249,-0.008112,-0.016263,-0.008108,2.6e-05,-0.008116,2.7e-05,-0.008112,5.4e-05,-0.008065,-0.008048,-0.008061,-0.008039,-0.016143,-0.008014,-0.008414,-0.01604,-0.016443,-0.008321,-0.01592,-0.007807,0.000653,0.000265,0.000607,0.00019,0.000197,0.000575,0.00016,0.000578,0.000186,0.000617,0.000618,0.009008,0.009008,0.008606,0.008995,0.008561,0.008098,0.008507,0.008083,0.000137,0.008089,0.000139,0.000141,9.9e-05,-0.007812,-0.007847,-0.007866,-0.007891,-0.007892,-0.007902,6e-05,-0.007836,0.000478,4.9e-05,0.000425,-3e-06,-1.7e-05,-2.5e-05,-4e-06,2.1e-05,0.000427,0.000426,0.000441,4.4e-05,0.000443,0.000454,0.000483,0.000106,0.000102,9.1e-05,-0.007792,-0.007775,-0.007749,-0.007738,-0.015573,-0.015551,-0.015504,-0.007654,-0.015501,-0.015521,-0.015486,-0.015181,-0.007693,-0.007688,-0.007734,-0.007718,-0.007753,-0.007405,-0.007752,-0.007784,0.000341,-0.0078,2.4e-05,9e-06,1.4e-05,3.5e-05,-3e-06,-4e-06,-0.007836,-1.2e-05,-1e-06,1.1e-05,-1e-06,-2e-06,-1e-06,-1e-06,-0.007832,4.2e-05,3e-06,-0.0,-1e-06,-1e-06,-0.0,1e-06,3e-06,-2e-06,1e-05,0.0,-1.2e-05,-0.00783,-0.007778,6e-06,-3e-06,4.9e-05,-1e-06,-5.3e-05,-7e-06,-0.0,4.6e-05,5e-06,-3e-06,4e-06,-3.8e-05,-1e-05,-6.3e-05,-8.8e-05,-0.000373,0.007719,0.015456,0.015158,0.015146,0.022924,0.022924,0.022582,0.014724,0.022506,0.014989,0.014668,0.01474,0.015507,0.015544,0.023418,0.023457,0.015629,0.015664,0.015743,0.007909,2e-05,1e-06,-5.8e-05,-0.000533,-0.00805,-0.0085,-0.008532,-0.008547,-0.008943,-0.008906,-0.009251,-0.009243,-0.017131,-0.017442,-0.017819,-0.025726,-0.02571,-0.033399,-0.025932,-0.033859,-0.026009,-0.03356
-0.004485,0.000107,0.000512,0.00173,0.002522,0.009512,0.009704,0.004545,0.010766,0.010593,0.006081,-0.000573,0.005594,-0.000319,-0.000724,-0.00123,-0.001065,-0.000838,-0.000537,-0.001115,-0.000511,-0.000597,-0.000405,-0.000125,0.000617,0.001779,0.002222,0.002894,0.002733,0.001693,0.001848,0.001312,0.000194,0.000975,0.001384,0.000191,0.001194,0.000323,0.001871,0.002258,0.00195,0.001324,0.00169,0.001158,0.001876,0.007577,0.002424,0.007918,0.008554,0.003671,0.004573,-0.000561,0.005135,-0.001336,0.003729,0.0039,-0.001946,0.00328,-0.00179,0.003894,-0.000926,-0.00081,-0.005989,-0.005787,7.1e-05,-0.005687,-0.000562,0.003868,-0.001709,0.003835,0.003942,0.004442,0.004205,0.004245,0.003023,0.00275,0.00177,0.001137,0.000358,0.000466,0.000325,0.001511,0.001541,-0.003675,0.001252,-0.004917,-5e-06,-0.000363,-0.000594,-0.000147,0.000555,-0.004902,-0.004972,-0.004559,0.001145,-0.004442,-0.004189,-0.003524,0.002564,0.002546,0.002234,0.00221,0.002441,0.002868,0.002873,0.00319,0.003384,0.003791,0.003411,0.00311,0.002643,0.002959,-0.00331,0.002055,0.002055,0.001328,0.001515,0.000989,-0.004127,0.000973,0.000578,-0.005059,0.000359,0.000308,0.000137,0.000177,0.00042,-2.1e-05,-3.2e-05,-4.5e-05,-0.000132,-1.5e-05,0.000123,0.0,-1e-06,-0.0,-0.0,6e-06,0.00045,4.1e-05,7e-06,-9e-06,-4e-06,5e-06,4e-06,1e-06,-2.1e-05,9.9e-05,-2e-06,-0.00012,2e-05,0.00057,5.8e-05,-7e-06,0.000524,-3e-06,-0.000541,-7.2e-05,1e-05,0.000452,4.5e-05,-3.1e-05,3.9e-05,-0.000382,-9.5e-05,-0.000648,-0.000923,0.004611,-0.001269,-0.002374,0.003031,0.002865,0.002089,0.001916,0.007223,0.007021,0.006063,-8.4e-05,0.005846,0.006989,-0.003886,-0.003704,-0.00378,-0.003798,-0.003464,-0.002899,-0.001242,0.000436,0.000628,0.000119,-0.001657,0.001926,-0.004575,0.000142,-0.000337,-0.000372,0.005643,0.006583,0.013119,0.013186,0.013124,0.01939,0.024476,0.023216,0.022657,0.014402,0.019193,0.018483,0.018472,0.01318
-0.004246,-0.008617,-0.009287,-0.007375,-0.006268,-0.009289,-0.007703,-0.002966,-0.005995,-0.006287,-0.001899,0.001668,-0.002711,0.002022,0.001335,0.00048,-0.000385,0.001068,0.000331,0.000565,0.000402,0.00134,0.001622,0.002056,0.003221,0.005033,0.00571,0.005669,0.006414,0.004726,0.004948,0.003074,0.00228,0.00251,0.00218,0.001255,0.001875,0.001457,0.002912,0.004439,0.003959,0.002977,0.003527,0.003604,0.003784,-0.000113,0.005424,0.00121,0.001301,0.007195,0.007691,0.011601,0.007666,0.010362,0.00552,0.00575,0.009402,0.004799,0.009595,0.005663,0.010802,0.010952,0.014771,0.015014,0.011302,0.015085,0.010339,0.00463,0.008683,0.004552,0.005492,0.005366,0.005824,0.005858,0.004155,0.00459,0.00322,0.002348,0.001279,0.001427,0.001214,0.002064,0.002872,0.006655,0.001699,0.004961,-9e-06,-0.000493,-0.000806,-0.000199,0.000761,0.004981,0.004885,0.005448,0.001551,0.005606,0.005942,0.006842,0.003454,0.003426,0.003001,0.003709,0.004004,0.004565,0.004547,0.005655,0.005888,0.006378,0.005161,0.005399,0.004768,0.005145,0.008289,0.003298,0.003279,0.002329,0.002559,0.001872,0.006536,0.001835,0.001319,0.004755,0.001027,0.0004,0.000178,0.000227,0.000536,-2.5e-05,-4.1e-05,0.000501,-0.000165,-1.6e-05,0.00016,4e-06,-0.0,4e-06,4e-06,0.000553,0.00058,5.4e-05,1.1e-05,-8e-06,-4e-06,7e-06,6e-06,6e-06,-2.5e-05,0.000126,-1e-06,-0.000153,0.000561,0.001264,7.8e-05,-7e-06,0.000671,-3e-06,-0.000693,-9.4e-05,1.2e-05,0.000582,6e-05,-3.9e-05,5.1e-05,-0.000489,-0.000121,-0.00083,-0.001184,-0.00533,-0.002171,-0.004158,-0.008496,-0.008726,-0.010356,-0.010656,-0.015158,-0.014836,-0.016794,-0.012895,-0.016535,-0.015077,-0.006625,-0.006441,-0.007305,-0.007414,-0.006266,-0.00552,-0.003294,-0.000221,0.000847,0.000155,-0.002269,-0.009058,-0.005469,-0.010746,-0.011449,-0.011551,-0.015031,-0.013753,-0.016506,-0.016427,-0.0158,-0.018945,-0.023739,-0.024896,-0.025802,-0.02507,-0.031022,-0.03167,-0.032543,-0.027611
0.074877,3.313324,-0.224515,-0.056869,3.190061,-0.063287,3.454254,0.17063,-0.215085,3.962077,0.994378,-0.189653,0.017717,1.206373,1.192749,-0.24344,4.802717,2.242958,0.095328,0.054127,5.041264,0.60591,0.025183,0.177974,4.940093,0.019339,0.537674,0.089596,0.132632,0.075229,0.22571,-0.139418,0.224104,1.354517,-0.188861,1.542989,-0.010548,-0.006521,0.002188,-0.672244,-0.006611,-0.008953,0.081845,-0.040834,0.002918,0.038644,-0.301922,-0.264748,0.039793,0.003161,0.003188,-0.030245,0.004541,-0.033293,0.001952,0.001783,-0.034657,0.001788,-0.034634,0.006466,-0.002079,0.060131,-0.038549,-0.049698,0.056013,0.10374,0.083011,0.088823,-0.000302,0.05763,0.268444,0.200882,-0.131225,0.30421,0.307252,-3.656844,0.195056,0.005736,0.014547,-0.712687,-1.432559,0.245476,0.249296,0.09511,0.092258,0.12328,0.278745,0.018886,-0.248978,0.025788,-4.184032,0.173297,-0.042425,-0.107877,0.348077,0.079989,-0.034694,-0.090251,0.072227,0.298752,-0.016633,0.043964,0.066468,0.015162,0.016657,0.120059,0.008018,-1.767518,0.043727,0.10311,0.045877,0.295014,-0.012059,-1.844507,0.398525,0.077113,0.28639,-1.77934,0.282774,0.158212,0.133589,-0.048142,0.061156,-0.00862,-0.01079,-0.010365,-0.002204,-0.002625,-0.007849,-0.00189,0.001721,-0.007829,0.172847,-0.007261,-7.9e-05,0.039335,-0.000312,0.065997,-0.001162,4.8e-05,5.1e-05,5.2e-05,-0.009082,-0.000206,2.8e-05,0.002428,6.7e-05,3.3e-05,-0.01054,-0.000217,-0.001993,-0.001765,9.4e-05,-1.7e-05,2e-05,1.3e-05,1.4e-05,1e-06,1.3e-05,7e-06,0.109367,-0.008171,-0.000144,2e-06,2.1e-05,-0.012014,0.009152,-0.103023,1.497248,-0.430577,-0.217012,-0.240559,-0.152629,0.012638,1.256401,-0.419854,-0.328115,-0.563971,-0.353916,-0.379693,0.089321,-0.283199,-0.175537,-0.325882,-0.236355,-0.026977,-0.034732,-0.169591,0.317933,-0.555083,-0.615196,0.764452,-0.662258,-0.100592,-0.150333,-0.457677,-0.325976,-0.436871,-0.253687,-0.326729,-0.092568,-0.358962,-0.201487,-0.654839,-0.38832,-0.326749,-0.009393,0.013286,-0.047705,-0.366161
0.175381,1.841295,0.510189,0.443446,2.143891,0.819265,2.022023,0.675291,0.843781,1.872904,1.05337,0.528673,0.202402,0.628107,0.767341,0.597338,1.865726,2.316737,0.237028,0.399316,0.607673,-0.237174,0.042622,-0.032052,0.13824,-0.045692,-0.208287,0.179528,0.011135,0.198332,0.985155,0.452095,1.21488,0.484233,0.693646,0.02961,0.072178,0.017024,-0.014359,-2.207812,0.01186,0.11475,-0.168099,0.092855,0.006071,-0.006394,-0.510736,-0.52047,-0.004752,0.006556,0.005651,0.003302,-0.02824,-0.001635,-0.014632,-0.014922,-0.003901,-0.014913,-0.003886,-0.039923,-0.116455,-0.215124,-0.116456,-0.081888,-0.306505,-0.509249,-0.360574,-0.279139,-0.192833,-0.705865,-0.825488,-0.601965,-1.5102,-0.913613,-0.871541,-1.443327,-0.538162,-0.913443,-0.378009,-0.985906,-1.859352,-0.4603,-0.461916,-0.28538,-0.327115,-0.321117,-0.586896,-0.11369,-0.206211,-0.134853,-2.954471,-0.441647,-0.002251,-0.362332,-0.536083,-0.224222,0.007717,-0.047577,-0.116736,-0.443557,0.021431,-0.045316,-0.086072,-0.018021,-0.020923,-0.251142,-0.0803,-1.860287,-0.061707,-0.126957,-0.047791,-0.425611,-0.141898,-1.845892,-0.519132,-0.095918,-0.421595,-1.954466,-0.411373,-0.209563,-0.170178,0.023642,-0.081903,0.009484,0.009991,0.011241,0.003331,0.010035,0.00845,0.015916,0.001799,0.008079,-0.242577,0.012187,0.000529,-0.064359,0.002005,-0.08857,0.00161,0.000219,0.000152,9.7e-05,0.011076,0.000498,0.000178,0.002217,8.6e-05,6.9e-05,0.009704,0.000415,0.015302,0.015479,0.000144,3.5e-05,1.6e-05,2.4e-05,1.2e-05,8e-06,4e-06,5e-06,-0.161742,0.008208,0.00033,9.3e-05,5.3e-05,0.097895,-0.004862,0.643601,2.409218,0.532363,0.290949,0.388174,0.153138,0.10889,2.505464,0.573308,0.395202,0.665571,0.435779,0.231269,0.870811,0.191947,0.084435,0.270339,0.228603,0.021278,0.116826,0.2412,0.77351,0.554878,0.542969,2.241951,0.656043,0.525787,0.474608,0.902635,0.720205,0.893365,0.72791,0.868189,0.566738,0.857989,0.707832,-1.535968,0.054741,0.728477,0.335065,0.322021,0.406032,0.817182
-0.142729,3.745848,-0.208239,-0.182781,3.81933,0.324665,3.691458,-0.065503,-0.107449,3.137645,0.766033,-0.189621,-0.35109,0.86335,0.666902,-0.153708,1.953115,-1.677486,-0.289336,-0.588063,1.863832,-0.213087,-0.27391,-0.227223,2.271985,-0.073616,0.056081,-0.182468,0.05667,-0.069723,-0.619173,0.000948,-0.477162,0.774322,-0.020105,0.403418,-0.15571,-0.029619,0.021301,1.672312,0.009612,-0.209793,-0.356828,-0.145509,-0.01145,0.008187,0.650693,0.666963,0.005674,-0.017163,-0.011586,-0.002614,0.046959,0.003707,0.024165,0.024556,0.006642,0.024604,0.00661,0.006858,-0.035922,-0.362912,-0.057904,-0.042673,-0.11309,-0.286153,-0.174053,-0.105258,0.151008,0.158735,0.034279,-0.035188,0.724736,0.207757,0.202934,-3.775949,0.119654,-0.189864,0.085107,-1.233029,1.68266,-0.044996,-0.059503,0.016661,0.237134,0.000603,-0.043628,0.144225,-0.476139,0.126897,-3.465933,-0.410177,-0.056576,-0.399673,-0.038812,0.060444,-0.038078,0.022249,-0.054883,-0.265967,-0.007472,-0.084158,-0.069054,-0.038368,-0.038266,-0.135799,0.111315,0.955418,-0.061263,-0.125848,-0.090864,-0.339021,-0.117,0.901571,-0.25031,-0.108945,-0.273622,0.767999,-0.231693,-0.152224,-0.132044,-0.018389,-0.093039,0.000625,-0.005783,-0.005377,0.001426,-0.001145,-0.00053,-0.028142,0.000297,-0.00112,-0.118902,-0.003993,0.000787,-0.048361,0.00035,-0.094195,0.000693,0.000617,0.000514,0.000357,-0.005106,0.000506,0.00046,-0.000639,0.000192,0.000164,-0.004703,0.000441,-0.028915,-0.029087,0.000135,0.000107,7.2e-05,5.8e-05,4.4e-05,3.1e-05,2.8e-05,2.2e-05,-0.088339,-0.002232,0.000372,0.000259,0.000179,-0.172583,0.012249,0.15581,-0.49325,0.579556,0.509795,0.329393,0.452593,0.115273,-0.610158,0.726485,0.579041,0.702212,0.751825,0.906941,0.201222,0.405319,0.352953,0.516715,0.190853,0.075095,-0.104692,0.12276,-0.400463,0.529251,0.764354,-1.185693,0.612284,-0.198182,-0.312188,-0.41623,-0.269561,-0.191999,-0.232116,-0.127788,-0.369949,0.114576,0.006589,1.878675,0.849263,0.372691,0.144303,0.099372,0.193329,0.423342
0.008242,0.016284,0.016342,0.016205,0.008217,0.008205,0.008203,0.008165,0.008083,0.007949,0.008048,0.008048,0.007922,0.007949,0.016125,0.007936,0.016148,0.00794,0.016143,0.015977,0.016117,0.015914,0.007877,0.007869,0.008031,0.007843,0.007847,0.008044,0.007865,0.007852,0.008041,0.008036,0.008024,0.008016,0.008009,0.008009,0.008,0.007781,0.007771,0.007761,0.007979,0.007755,0.007976,0.007973,0.007972,0.007972,0.007973,0.007973,0.007974,0.007973,0.015945,0.015948,0.007994,0.007737,0.01571,0.015737,0.015761,0.015785,0.01579,0.016106,0.015821,0.024126,0.016144,0.016147,0.016154,0.016146,0.008165,0.008169,0.00817,0.008184,0.008172,0.008116,0.008094,4e-06,-1.4e-05,0.00802,-2.7e-05,-3.2e-05,0.000337,0.008378,0.008376,0.008408,0.000386,0.000363,0.008449,0.00844,0.000387,0.008483,0.016189,0.016237,0.016286,0.024431,0.024456,0.024567,0.016523,0.024646,0.016508,0.008857,0.016357,0.008244,0.008057,0.008024,0.008006,0.007948,0.000393,0.00033,-0.00014,-0.000145,-9.2e-05,3e-06,3e-06,8e-06,0.0,0.008078,3.3e-05,-6e-06,0.008093,2e-06,-2e-06,-2e-06,0.000486,-2e-06,-2e-06,8e-06,0.000487,6e-06,8e-06,0.0,-2e-06,-2e-06,0.00805,1e-06,0.00807,0.008072,7e-06,5e-06,-1e-06,-1e-06,-2.3e-05,-2e-06,1.7e-05,-0.0,-2e-06,-1e-06,-2e-06,-3e-06,-3e-06,-3e-06,-1e-06,2e-05,-1e-06,-2e-06,-1e-06,-5.8e-05,0.008005,-5.3e-05,3.7e-05,-0.0,-1e-06,1e-06,1e-06,2e-06,1e-06,1e-06,3e-06,2e-05,-0.008576,-0.016219,-0.016679,-0.025327,-0.025683,-0.025694,-0.033257,-0.041261,-0.041169,-0.041042,-0.048982,-0.048536,-0.048492,-0.040447,-0.040106,-0.024066,-0.024077,-0.024064,-0.016081,-0.02409,-0.016066,-0.008081,-0.00804,5e-06,-0.008046,5e-06,7e-06,-0.000234,0.007844,0.00811,0.008037,0.008168,-2e-05,0.008206,7.1e-05,0.000341,8.5e-05,-3.5e-05,0.00011,0.008126,0.016443,0.024285,0.031958,0.048669
0.007533,0.007148,0.001756,0.006736,0.001713,0.001642,0.00178,0.00137,0.000309,0.005286,-0.000215,-0.000207,0.005087,0.005605,0.000314,0.00572,0.000856,0.006166,0.001472,0.006727,0.001356,0.005887,0.005979,0.005844,0.000293,0.005443,0.00575,0.001055,0.006982,0.006987,0.001657,0.001746,0.001437,0.00131,0.001127,0.001419,0.000982,0.00619,0.005986,0.005515,0.000209,0.00612,0.000189,6e-05,0.000213,0.000226,8e-06,6.3e-05,-0.000256,0.00027,0.000229,0.000111,-0.001063,0.003682,0.003891,0.002951,0.002533,0.002292,0.002354,-0.002769,0.002425,-0.002097,-0.002198,-0.001805,-0.001583,-0.001259,-0.00199,-0.001854,-0.001811,-0.001883,-0.001583,-0.00072,-0.000355,-4.2e-05,0.000197,0.000713,0.000346,0.000402,-0.004884,-0.004408,-0.004355,-0.004762,-0.005557,-0.005233,-0.005155,-0.004975,-0.005478,-0.005341,0.000201,-0.000255,-0.000694,-0.000745,-0.000875,-0.001657,-0.002223,-0.001794,-0.001633,-0.007379,4.7e-05,-0.000508,0.001083,0.001323,0.00146,0.00191,-0.004695,-0.0042,0.001083,0.001124,0.000709,-3e-05,-3.3e-05,-6.1e-05,-1e-06,0.000837,-0.000251,5.7e-05,0.000737,-2.7e-05,4e-06,2e-06,-0.005373,1e-06,-2e-06,-7.6e-05,-0.005366,-4e-05,-6.1e-05,-2e-06,5e-06,2e-06,0.001109,-3e-06,0.000948,0.000945,-5.5e-05,-3.4e-05,7e-06,4e-06,0.000153,-1e-06,-0.000127,2e-06,2e-06,4e-06,3e-06,2e-06,2e-06,1e-06,-3e-06,-0.000154,2e-06,1e-06,1e-06,0.000419,0.001437,0.000381,-0.000267,0.0,2e-06,-2e-06,-2e-06,-2e-06,-2e-06,-0.0,-8e-06,-0.000144,0.004493,-0.001271,0.003914,0.009382,0.014377,0.014802,0.009036,0.009051,0.009216,0.008464,0.007971,0.002233,0.002344,0.003158,-0.002032,-0.00137,-0.001093,-0.001904,-0.002514,-0.002476,-0.001668,-0.000633,0.000225,-0.000634,-0.00343,-0.005378,-0.005707,0.000133,0.001114,-0.006377,-0.007445,-0.009274,-0.009027,-0.009341,-0.009232,-0.015717,-0.01054,-0.011762,-0.013011,-0.00905,-0.008909,0.004059,0.018242,0.019395
-0.001452,-0.002104,0.002199,-0.002726,0.002205,0.002098,0.002275,0.001697,0.000236,-0.004653,-0.000492,-0.000492,-0.004949,-0.00426,-3.2e-05,-0.004128,0.000636,-0.00354,0.001454,-0.003067,0.001255,-0.004292,-0.003847,-0.004036,6.4e-05,-0.004596,-0.004182,0.001078,-0.002531,-0.002527,0.001871,0.001984,0.001556,0.001385,0.001126,0.001511,0.000918,-0.003662,-0.003941,-0.004581,-0.000145,-0.003784,-0.000189,-0.000364,-0.00017,-0.000161,-0.000461,-0.000391,-0.000828,-0.000136,-0.000698,-0.000868,-0.001958,-0.007173,-0.007431,-0.008741,-0.009353,-0.009735,-0.009679,-0.005045,-0.009698,-0.004843,-0.004391,-0.003895,-0.003628,-0.003197,-0.003527,-0.003355,-0.003302,-0.00342,-0.003007,-0.001789,-0.001283,-6.1e-05,0.000277,0.000222,0.000487,0.000568,0.005038,0.004922,0.004992,0.004417,0.004082,0.004533,0.003849,0.0041,0.004182,0.00356,-0.001369,-0.002047,-0.00271,-0.003708,-0.00393,-0.005133,-0.005102,-0.005469,-0.004343,0.000401,-0.001989,-0.001785,0.000522,0.000859,0.00105,0.001707,0.005307,0.006033,0.00157,0.001631,0.00103,-4.2e-05,-4.9e-05,-9.1e-05,-3e-06,0.000145,-0.000367,7.7e-05,-1e-05,-4.1e-05,1e-06,0.0,0.004324,-2e-06,-6e-06,-0.000112,0.004334,-5.9e-05,-9e-05,-5e-06,4e-06,0.0,0.000518,-7e-06,0.00028,0.000277,-8.6e-05,-5.4e-05,6e-06,3e-06,0.000218,-5e-06,-0.000187,4e-06,2e-06,4e-06,3e-06,2e-06,3e-06,3e-06,-4e-06,-0.000225,2e-06,1e-06,-1e-06,0.000607,0.000983,0.000554,-0.000386,1e-06,4e-06,-2e-06,-4e-06,-5e-06,-3e-06,-2e-06,-1.3e-05,-0.000209,-0.004499,0.000345,-0.004263,-0.007428,-0.012386,-0.011817,-0.007186,-0.006346,-0.006374,-0.007571,-0.007689,-0.004205,-0.004079,-0.003977,0.0004,-6.1e-05,0.000282,-0.000974,-0.002434,-0.001908,-0.001323,-0.000356,0.000828,-0.000897,-0.004427,-0.00774,-0.008237,-0.011979,-0.011083,-0.009876,-0.011572,-0.014335,-0.013668,-0.014667,-0.014099,-0.011597,-0.016374,-0.018676,-0.020757,-0.028387,-0.028998,-0.035278,-0.039511,-0.039283
0.042012,0.043013,0.006446,-0.018966,0.00392,0.005736,-0.007798,0.018241,0.002057,0.146943,0.003586,0.002388,0.038894,0.030884,0.004139,-0.153219,-1.961234,0.033504,-0.007561,0.031706,-0.00247,-1.960082,-0.021625,0.030622,-0.052652,0.035704,0.03368,0.003033,0.041581,0.030637,0.051197,-0.010496,-0.003331,-0.003246,0.004201,0.005469,0.001668,0.027866,0.039506,0.037677,0.005612,0.038664,0.282628,-0.004819,-0.210231,0.004234,0.219496,-0.009313,-0.004701,-0.005446,-0.006957,0.272379,0.121875,0.027211,0.049292,0.040115,0.041851,0.034758,0.03445,0.004148,0.262331,-0.012159,0.010379,0.17097,-0.006526,0.056363,-0.006579,0.236099,0.162307,0.154869,0.033315,-0.011877,0.031676,0.150827,-0.012225,0.019136,0.024426,0.190324,0.173564,-0.001798,0.760397,0.049961,0.160996,0.012673,0.002803,0.050359,-0.041616,-0.026229,0.226452,0.003715,0.02655,0.039045,0.219,0.003349,0.056559,-0.002526,0.068024,0.097332,-0.000724,-0.006817,0.07117,0.026405,-0.003458,0.023544,-0.03854,-0.035912,2e-05,5.4e-05,3.9e-05,-0.003506,0.135211,-0.000961,-0.005068,-0.003968,0.036407,0.021026,-0.002332,0.163039,-0.001306,0.000469,0.010223,-0.004349,-9.8e-05,-1.4e-05,-0.031263,-0.004663,-0.000627,-0.004369,-0.000178,-0.00073,-0.001164,-0.003707,0.000834,0.022482,-0.00048,-1.5e-05,0.105944,-0.004472,-0.000122,-1.5e-05,-1.2e-05,-0.004523,-0.000148,-1.4e-05,1.5e-05,-2.2e-05,-3.6e-05,2e-05,3.1e-05,5.1e-05,4.3e-05,2.7e-05,1.2e-05,3.4e-05,0.002004,-0.004313,-9.5e-05,-1e-06,8e-06,5e-06,1.4e-05,1.2e-05,1.1e-05,2.3e-05,7e-06,-2.9e-05,0.034645,-0.456371,-0.102906,-0.204595,-0.35036,-0.445161,0.151732,-1.316219,-1.082571,-1.225113,-0.789568,0.582792,-1.778716,0.079218,0.775067,-0.07659,0.002297,0.317453,-3.013699,-0.34537,0.022103,-3.419765,-0.002527,-0.07034,-0.001429,-0.000215,0.182017,0.164943,0.17101,0.39819,4.057702,0.018099,4.10589,0.124,-0.195264,-0.124999,-0.151339,-4.440052,-0.412009,0.016267,-0.326264,0.195359,3.446692,-0.247888
