0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170
-0.013867,-0.01408,-0.014138,-0.014379,-0.022659,-0.021983,-0.022353,-0.030607,-0.02999,-0.030067,-0.030096,-0.030075,-0.030645,-0.030562,-0.030596,-0.023156,-0.015769,-0.015221,-0.007316,-0.007319,-0.007322,-1.6e-05,-5e-06,-1.6e-05,-1.2e-05,-0.007372,-0.007372,-0.007383,-0.022036,-0.0147,-0.022005,-0.02194,-0.021855,-0.021805,-0.021628,-0.021523,-0.021512,-0.014244,-0.014169,-0.014141,-0.014095,-0.014033,-0.00689,-0.006935,0.000206,0.000168,0.000121,0.000137,0.000114,0.000471,0.000129,-0.006612,-0.006938,-0.006546,-0.00686,-0.006512,-0.013904,-0.00683,-0.006517,-0.006575,-0.006947,-0.006618,-0.014032,-0.006962,-0.006961,-0.006961,-0.006911,0.000444,-0.006576,-0.006852,-0.006825,-0.006582,-0.006904,-0.013976,-0.014017,-0.014006,-0.006883,-0.01395,-0.006943,-0.006935,-0.006923,-0.006887,-0.006905,0.000204,0.000182,-0.006785,0.0002,-0.006848,-0.014093,-0.014143,-0.013901,-0.013906,-0.007084,-4e-05,-0.000112,5.4e-05,4.9e-05,9.3e-05,0.006983,0.006905,0.006903,-0.000123,0.00656,0.006515,0.006554,0.006708,0.006646,0.00663,0.006635,0.006671,-0.000218,0.006878,0.007137,0.007219,0.00055,0.000599,0.000448,0.000456,0.000504,0.000323,0.000332,0.000305,0.00045,0.007364,0.007002,0.006462,0.012841,0.005687,0.005156,0.004495,0.003998,0.00356,-0.003726,-0.00361,0.004015,-0.002679,-0.002209,0.005141,0.006113,-0.000385,-0.000312,0.000134,0.000535,0.000784,0.000829,0.000807,0.000815,0.000792,0.007835,0.000526,0.000252,7.9e-05,-8e-06,-0.00016,-0.000273,-0.000331,-0.000324,-0.000278,-0.000486,-0.000497,-0.000102,-3.6e-05,-9e-06,2.1e-05,5.7e-05,0.000252,-1e-06,1e-06,2e-06,-3e-06,6e-06
-0.008506,-0.007226,-0.007035,-0.005455,0.001113,-0.004681,-0.001315,0.005956,0.00098,0.002161,0.002919,0.003066,0.008771,0.008359,0.009675,0.009925,0.010312,0.005371,-0.001122,-0.001412,-0.000978,0.000689,0.000143,0.000573,0.000442,0.001024,0.001333,0.002318,0.002471,0.004454,0.005565,0.006651,0.007695,0.008102,0.008436,0.008428,0.008554,0.00888,0.008987,0.007774,0.008374,0.008733,0.007414,0.005652,0.005694,0.004568,0.003272,0.003691,0.003062,-0.002535,0.003458,-0.00212,0.004071,-0.000771,0.005607,-0.000225,0.005529,0.005456,-0.000945,-0.00234,0.002222,-0.003215,0.001288,0.001582,0.00154,0.001478,0.002261,-0.003188,-0.002823,0.00304,0.003267,-0.003016,0.001966,0.001339,0.000643,0.000761,0.001921,0.001302,0.001053,0.001088,0.0012,0.001566,0.001326,0.002257,0.002001,0.002484,0.002126,0.001687,-0.000789,0.00639,0.001114,0.001029,-0.000701,-0.000366,-0.001027,0.000488,0.000444,0.000871,-0.000229,-0.000982,-0.001018,-0.001195,0.003117,0.002703,0.003054,-0.003124,-0.00379,-0.004051,-0.004117,-0.003794,-0.002384,-0.001761,0.001019,0.001896,-0.002051,-0.001495,0.004975,0.005041,0.005289,0.0036,0.003696,0.003435,0.005013,0.004734,0.000935,-0.005669,-0.005339,-0.007472,0.002999,0.012055,0.014592,0.017865,0.023908,0.025421,0.014947,-0.006264,-0.017794,-0.015025,-0.0211,-0.013384,-0.00355,0.001618,0.006442,0.009496,0.010076,0.009854,0.010524,0.010351,0.009329,0.006692,0.003218,0.001955,-0.000117,-0.002044,-0.003484,-0.004229,-0.004132,-0.003556,0.002772,0.003768,-0.001352,-0.000502,-0.000164,0.000199,0.00066,-0.005796,-1.2e-05,-0.0,1e-06,-7.5e-05,2e-06
-0.017115,-0.01585,-0.015705,-0.01408,-0.016092,-0.012349,-0.008695,-0.009985,-0.00531,-0.004025,-0.003273,-0.003192,-0.007127,-0.007666,-0.006308,-0.006889,-0.007314,-0.002608,-0.000425,-0.00076,-0.000226,0.000767,0.000158,0.000634,0.000492,0.001915,0.002255,0.003335,0.005014,0.006397,0.008323,0.009419,0.010442,0.010814,0.011087,0.010948,0.010917,0.010573,0.010578,0.009232,0.009808,0.01009,0.008096,0.006272,0.005723,0.004572,0.003265,0.003674,0.00304,0.007038,0.003419,0.007999,0.004562,0.009293,0.006036,0.009793,0.006451,0.005823,0.009041,0.007683,0.002663,0.006828,0.002276,0.002032,0.001988,0.001924,0.002662,0.006316,0.007161,0.003375,0.003578,0.006957,0.002341,0.002229,0.001568,0.001672,0.002279,0.002154,0.001455,0.001481,0.00158,0.001915,0.001688,0.002105,0.001866,0.002746,0.001975,0.001994,0.000134,-0.002444,0.001878,0.001786,-0.000222,-0.000327,-0.000943,0.000451,0.00041,0.000801,-0.000627,-0.001321,-0.001359,-0.001109,-0.006748,-0.007134,-0.006818,-0.003336,-0.003963,-0.004222,-0.004296,-0.004001,-0.002249,-0.002107,0.000514,0.001343,0.007361,0.007875,0.004655,0.004698,0.004941,0.003328,0.003411,0.003159,0.004601,0.003883,0.000359,-0.005704,-0.015021,-0.016598,-0.025438,-0.035617,-0.042622,-0.049091,-0.052421,-0.051016,-0.043023,-0.035421,-0.028501,-0.026262,-0.013231,-0.004521,-0.003829,0.001752,0.006984,0.010227,0.01081,0.010556,0.011168,0.010926,0.009243,0.006923,0.003314,0.002018,-0.000123,-0.002109,-0.003595,-0.004378,-0.004296,-0.003706,-0.006883,-0.005865,-0.001415,-0.000526,-0.00017,0.000209,0.000691,0.003727,-1.4e-05,-4e-06,-0.0,-8.1e-05,-0.0
0.292329,0.109249,-0.052085,0.625352,0.046934,0.154257,1.093886,1.992246,0.350789,0.06888,0.316111,0.146312,-0.104915,1.148829,3.393131,3.685843,0.929655,-0.109081,-0.175645,0.95917,4.13841,-0.21311,0.368652,-0.283061,0.380884,-0.253999,-0.12117,0.032167,0.006688,-0.00498,0.034604,-0.02596,-0.000526,-0.082165,4.477307,4.742038,0.000707,0.016079,0.001782,-0.004072,0.007812,0.000651,0.001604,0.016175,0.001875,0.002701,2e-06,0.127488,-0.080682,0.009031,-0.006077,0.118547,-0.007099,-0.052239,0.010426,-0.041629,-0.007659,0.004028,0.044991,-0.073387,0.190984,-1.006641,0.021268,0.018435,0.0121,-0.01577,-0.008903,-0.011143,-0.288573,0.327197,0.165742,-0.272881,0.130512,0.278284,-0.255915,-0.023743,0.261771,0.135314,0.140364,-0.033545,0.213135,0.225071,0.168356,-0.0346,-0.011022,4.9e-05,-0.129493,-0.004039,0.949546,0.035004,-0.471929,-0.015279,-0.006731,0.000174,-0.001401,0.018124,0.017109,0.000105,0.001723,0.000135,0.048181,-0.104825,-0.087571,-0.287531,-0.273237,0.023069,-0.053083,-0.013365,0.1239,0.002985,-1.079924,-0.00296,0.014534,-1.078208,0.053027,-0.025657,0.109761,-0.020979,-3.375152,-0.028366,-0.034069,-0.077648,-0.981121,-4.690652,-4.179238,-2.6283,0.055382,-0.018698,0.040739,-0.073297,-0.066774,-0.415819,0.631033,0.733828,0.719507,4.699537,0.731005,1.80665,0.5567,0.760906,-2.723054,-0.077712,-0.373371,-0.056038,-0.62175,-4.512477,-3.827229,-3.622907,-1.62314,-0.430521,-0.101771,-3.460542,-0.102514,0.004559,0.000566,-0.030447,-0.001202,-0.001555,0.034961,3.262519,-0.012907,0.000285,0.026062,-0.011827,-0.009602,-0.036717,0.003874,-0.000382,-0.00014,0.296171,0.088144
0.18677,0.01946,0.073349,0.898142,0.060731,0.155275,2.116644,2.5286,0.891697,0.092649,0.275527,0.863218,1.25482,0.789314,2.199808,1.869871,1.030182,0.420461,0.550786,1.104738,1.640094,0.624658,0.333168,0.684718,0.330761,0.657997,0.422382,0.095644,0.023992,0.014534,0.019078,-0.029991,0.021135,-0.145527,0.329852,0.92621,0.021815,-0.119089,-0.014855,-0.059934,-0.024021,0.001255,-0.015731,-0.123528,-0.013972,-0.013346,0.000831,0.016714,-0.182399,-0.095044,-0.005018,-0.308621,-0.000848,0.029928,-0.062272,-0.00886,-0.096879,-0.132186,-0.25007,-0.018589,-0.426239,-1.912036,-0.118051,-0.165216,-0.115739,0.033983,0.004326,-0.068329,-0.812573,-0.666602,-0.412278,-0.872488,-0.262524,-0.64621,-0.946549,0.0525,-0.444999,-0.315632,-0.326476,-0.125916,-0.419968,-0.478814,-0.279049,-0.057767,-0.005038,0.00182,-0.18462,0.01998,0.407401,0.020779,-0.554817,0.04178,0.035023,0.000215,0.108132,-0.015365,-0.012693,-0.000891,-0.015415,3.1e-05,0.021194,0.199262,0.223947,0.547285,0.410973,-0.122814,0.100139,0.030465,0.187864,-0.011975,-0.412125,-0.003295,-0.04389,-0.428959,-0.173145,-0.060271,-0.487886,-0.128946,-1.406832,-0.100466,-0.025342,-0.51121,-0.43804,-3.669185,-3.147297,-2.370425,-0.346644,-0.140707,-0.039177,0.366682,0.496569,1.230445,3.075691,3.040473,3.303749,3.180537,-1.143296,-0.265139,-0.434089,1.627029,-0.311734,-0.081971,-0.026906,-0.109736,0.023117,-3.799721,-2.62517,-2.453764,-0.285554,-0.113258,0.10592,-2.784788,0.118114,0.105252,0.013872,-0.162286,0.021975,0.018861,0.007096,3.044923,0.133734,0.000747,0.024946,0.115766,0.117933,0.013279,-0.002887,-7.8e-05,0.002306,0.275957,0.08291
0.434539,0.173561,0.193527,-0.165375,-0.07477,-0.091156,-1.599159,-0.04465,-0.432342,-0.128926,0.113967,-0.00714,0.036598,0.673955,3.406298,3.393022,1.076854,-0.25232,-0.36533,0.767652,2.946833,-0.288047,-0.024086,-0.008499,-0.04279,0.223701,-0.231827,-0.160177,-0.060105,-0.035228,-0.019095,0.010714,-0.048466,0.145203,3.1486,2.506652,-0.049177,0.17283,0.011259,0.191255,0.006092,-0.013657,0.018259,0.187794,0.022304,0.021084,-0.001023,0.099896,0.217945,-0.094315,0.029343,-0.235402,-0.010927,-0.018471,-0.021971,-0.049315,0.153547,0.16876,0.041504,0.035572,-0.33516,1.977015,0.066054,0.134027,0.114747,-0.028523,-0.012907,-0.046519,0.419168,-0.225808,-0.041041,0.336595,-0.1809,-0.27531,0.49888,-0.063158,-0.275478,-0.05129,-0.013691,0.18811,-0.332647,-0.247288,-0.214642,0.069018,0.01189,-0.004367,0.182916,-0.028662,1.268815,-0.044708,0.508818,-0.063557,-0.052402,0.000368,-0.157244,-0.001033,0.00088,-0.000874,0.028775,0.004542,-0.017235,0.126581,0.182204,0.365534,0.501008,0.168414,0.080211,0.035355,-0.142613,0.00661,-1.213268,0.003545,0.048008,-1.183214,-0.10251,-0.046098,-0.387811,0.002588,-4.140126,0.13844,-0.014685,-0.589488,-1.292364,-2.956477,-4.993323,-3.943693,0.499421,0.023451,-0.088439,0.251702,0.290663,0.898372,-0.34305,0.231693,-0.175721,5.326582,2.470889,1.312569,0.587261,-1.399832,-5.27624,-0.081525,-0.420912,-0.066522,-0.018322,-1.381604,-3.530793,-3.441458,-0.538715,-0.112477,0.126622,-3.156083,0.093196,-0.168853,-0.025686,0.171626,-0.03057,-0.02688,-0.012286,3.292182,-0.187164,8e-05,0.026188,-0.162235,-0.159998,-0.016772,-0.002132,-0.000579,-0.003298,0.296673,0.08809
0.00019,0.000192,0.000129,0.000164,0.000186,0.00019,0.000221,0.000213,0.007496,0.000253,0.007429,0.007322,0.014534,0.014474,0.007204,0.007232,0.014439,0.01442,0.014402,0.014393,0.014475,0.014366,0.014354,0.014446,0.01436,0.014323,0.014312,0.014304,0.021352,0.021471,0.021466,0.014254,0.014402,0.014389,0.014383,0.014382,0.014381,0.007212,0.014378,0.007187,0.007186,0.006972,0.007184,0.007181,0.014363,0.01413,0.014369,0.014369,0.021549,0.014394,0.014396,0.014395,0.021891,0.014721,0.01442,0.014448,0.014475,0.014491,0.014524,0.01464,0.007333,0.014533,0.014842,0.007247,0.014439,0.014421,0.014441,0.007705,0.007347,0.007735,0.00732,0.014917,0.007265,0.007607,0.014465,0.007658,0.014506,0.014486,0.014482,0.014472,0.014472,0.007235,0.007235,0.007233,0.0073,-1e-06,-5e-05,-0.0,0.007808,0.007222,0.014976,0.014651,0.007406,3.7e-05,-0.007245,-0.014639,-0.007422,-0.014768,-0.014719,-0.014719,-0.022385,-0.021892,-0.021955,-0.021996,-0.029254,-0.03643,-0.03634,-0.036204,-0.036124,-0.029245,-0.028915,-0.028911,-0.021688,-0.021686,-0.021692,-0.007222,-0.007231,6e-06,-0.000276,-0.000265,-0.000257,-0.000243,-0.000506,-0.000514,-0.007719,-0.007425,-0.014878,-0.00764,-0.015097,-0.014844,-0.022307,-0.029323,-0.029386,-0.029422,-0.029509,-0.029501,-0.029519,-0.0295,-0.029494,-0.029547,-0.022159,-0.01481,-0.007601,-0.000438,-0.000447,-0.000524,0.00669,0.006582,0.006608,0.013752,0.013665,0.021068,0.021041,0.021146,0.028421,0.028448,0.02845,0.03566,0.035845,0.042833,0.050003,0.050193,0.057388,0.071417,0.064143,0.071549,0.078152,0.077875,0.077825,0.069843,0.048096
0.013182,0.007618,0.012558,0.007326,0.007616,0.007673,0.002399,0.002343,0.00224,0.002852,0.007404,0.006327,0.005617,0.005079,0.005192,0.0057,0.005144,0.005147,0.005157,0.005162,-5.3e-05,0.005249,0.005288,-0.000197,0.005868,0.005444,0.005397,0.005557,0.011,0.005777,0.006014,0.006234,0.000633,0.000276,0.000131,0.000171,0.000196,0.000468,0.000227,0.000133,0.000136,0.005702,0.000158,0.000121,6.9e-05,0.005102,-0.000352,-0.000117,0.000446,-0.001141,-0.000948,-0.000449,-0.006127,-0.006317,-0.000523,-0.000958,-0.001236,-0.001422,-0.001749,-0.002191,-0.001806,-0.001151,-0.005574,-7.6e-05,0.000722,0.001033,0.000801,-0.006327,-0.001211,-0.006414,-0.000597,-0.004971,0.000177,-0.004389,0.00121,-0.004864,0.000842,0.001109,0.001171,0.001307,0.001326,0.000678,0.000684,0.000691,8.9e-05,-0.0,0.000439,-0.0,-0.004307,0.002173,-0.002731,0.000156,-0.000559,-0.000288,-0.00076,-0.000264,0.000743,0.00098,0.000722,0.000804,0.005481,0.000564,0.001455,0.001348,0.001571,0.000896,0.000271,-0.001159,-0.002187,0.003704,-0.001398,-0.001494,-0.001023,-0.001022,-0.000865,-0.000354,-0.000285,-0.000266,0.005531,0.005097,0.004834,0.004323,0.009476,0.009896,0.009151,0.0027,0.006694,0.005985,0.010118,0.003116,0.007895,0.001061,0.000138,0.000644,0.002401,0.003339,0.004284,0.005211,0.005959,0.006513,0.007605,0.009042,0.01486,0.013252,0.013197,0.01176,0.004514,0.009703,0.00297,0.000883,0.006074,0.000838,0.007538,0.009822,0.010223,0.011603,0.013077,0.014104,0.00817,0.014932,0.015648,0.010148,0.010708,0.017512,0.017822,0.013267,0.020199,0.021459,0.021331,0.027152,0.025597
-0.006314,-0.00215,-0.006919,-0.002437,-0.002155,-0.002102,0.002328,0.002268,0.002051,0.002753,-0.002498,-0.003549,-0.004363,-0.004894,-0.004655,-0.004171,-0.004857,-0.004868,-0.004871,-0.004873,-0.000425,-0.004815,-0.00479,-0.000602,-0.004259,-0.004678,-0.004734,-0.004592,-0.009075,-0.004652,-0.004488,-0.003997,1.3e-05,-0.000284,-0.000441,-0.000411,-0.000396,0.000114,-0.00038,-0.000184,-0.000184,-0.004288,-0.000175,-0.000217,-0.000591,-0.005219,-0.001031,-0.000812,-0.000627,-0.001838,-0.001662,-0.0012,0.002383,0.002561,-0.001323,-0.001763,-0.002059,-0.002251,-0.002593,-0.002961,-0.00224,-0.00206,0.003139,-0.000563,-0.000255,3.6e-05,-0.000203,0.002834,-0.00171,0.00274,-0.00112,0.003646,-0.000357,0.004725,0.00012,0.004245,-0.000268,-1.9e-05,3.6e-05,0.000154,0.000163,8.4e-05,9.1e-05,9.4e-05,-0.000506,-8e-06,0.00043,-5e-06,-0.004892,-0.008091,-0.003962,-0.001092,-0.001194,-0.000298,-0.000141,0.000978,0.00137,0.002206,0.00193,0.002,-0.00243,0.002347,0.003185,0.002993,0.003687,0.003388,0.002785,0.001285,0.000187,-0.004092,0.000398,0.000239,0.000243,0.000222,0.000344,4e-06,0.000116,-0.000249,-0.004138,-0.004566,-0.004822,-0.005323,-0.009826,-0.00941,-0.009767,-0.006538,-0.011823,-0.012936,-0.018059,-0.015449,-0.019997,-0.016936,-0.017993,-0.017547,-0.015932,-0.015067,-0.014178,-0.013263,-0.012578,-0.012169,-0.011172,-0.009897,-0.013856,-0.015734,-0.015802,-0.01732,-0.015293,-0.019735,-0.017034,-0.019578,-0.024113,-0.020017,-0.022889,-0.020445,-0.02029,-0.018838,-0.017265,-0.016545,-0.013045,-0.01616,-0.015935,-0.012176,-0.012142,-0.016058,-0.015383,-0.011417,-0.014993,-0.014162,-0.014637,-0.018029,-0.017725
0.007611,-0.012604,-0.168103,0.017676,-0.180203,0.033359,0.00503,0.003577,0.005349,0.001235,0.04934,0.019435,0.045698,0.026839,0.046463,0.038342,0.040287,0.03084,0.043394,0.040919,-0.674654,0.042634,0.038638,-0.678109,-0.642993,0.038589,-0.644753,0.077218,-0.610119,0.042526,-2.031971,0.03924,-2.062695,0.006303,0.002381,0.006337,0.249653,-1.982315,0.001796,0.00494,0.036856,0.036975,0.001219,-0.007277,0.004392,0.037506,-0.002088,0.321834,0.368342,-0.001861,-0.003232,-0.002054,0.178648,0.195282,0.014683,0.117016,0.054133,0.020192,0.122227,1.091497,0.016189,0.034794,0.083537,-0.008468,-0.008255,0.017614,0.090209,0.080801,0.141669,-0.022139,0.816747,0.085397,0.033924,0.164484,-0.001553,-0.048259,-0.009976,0.198657,-0.007066,0.025307,-0.005837,-0.005243,0.000159,0.001166,0.001639,0.000186,7.6e-05,5.2e-05,0.007835,-0.222379,0.00649,0.002071,0.00101,0.000321,-0.183847,-0.229914,-0.017826,-0.136213,-0.234423,-0.080228,-0.170491,-1.169966,-1.08402,-0.157597,-0.307416,1.934907,-0.308276,-0.073139,-0.291203,-0.163865,-0.124211,-0.021679,0.000969,-0.044971,0.00388,2.123797,-0.00255,0.00605,-0.100393,-0.067586,-0.005399,-0.163232,0.092027,0.072855,-0.174018,-0.358833,-0.251084,1.879288,-1.045249,-1.025993,0.032635,-0.216757,-0.434999,-0.220643,-3.041597,1.024913,-0.431652,-0.661526,-0.508854,-4.037343,-0.510715,-1.476552,-0.053115,-0.683073,-1.57769,-0.055928,-0.453301,-0.345713,-0.42384,-0.180723,0.118398,-0.02312,-0.073636,-0.181794,-0.148751,-0.314354,-0.243077,1.043757,-0.38881,-0.060114,-0.067828,-0.212716,0.050029,-0.212963,0.004804,-0.385841,-0.313033,-0.179675,-0.510104,-0.663261,-1.462459
