0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
-0.001857,-0.001047,-0.001698,-0.009077,-0.001606,-0.009076,-0.017318,-0.016723,-0.017449,-0.016832,-0.025644,-0.025893,-0.025884,-0.026658,-0.026813,-0.034328,-0.034339,-0.033705,-0.033613,-0.024895,-0.025357,-0.024813,-0.024303,-0.024293,-0.016185,-0.016181,-0.016183,-0.016173,-0.008063,-0.007622,0.00046,0.000449,0.001333,0.00134,0.001334,0.001798,-0.006788,-0.007662,-0.00766,-0.008091,-0.016195,-0.016265,-0.008104,-0.008083,-0.007622,-0.008031,-0.007603,-0.008049,-0.016189,-0.008067,-0.008038,-0.007957,0.000175,-0.00796,-0.007977,-0.007978,0.000105,0.000196,0.00031,0.000316,-8.1e-05,0.000254,0.000198,0.000156,-0.007881,0.000164,0.000118,0.000106,9.1e-05,0.00011,0.000148,0.000568,0.000551,0.000531,0.000111,0.000504,9.8e-05,0.000498,0.00813,0.00811,0.008097,8e-05,8.8e-05,4.5e-05,5.6e-05,4.9e-05,1.7e-05,4.2e-05,0.000443,0.000413,0.000385,2.4e-05,0.00042,5.5e-05,5.3e-05,6e-05,0.000438,5.5e-05,-0.007935,2.2e-05,5.5e-05,5.1e-05,-0.007932,-0.007954,-0.007954,-0.007926,-0.007935,3.5e-05,3.4e-05,-0.007924,-0.007928,4.1e-05,2.4e-05,-0.007935,3.2e-05,-0.007946,-2e-06,0.00035,-0.0,1.4e-05,3.6e-05,2.1e-05,-0.007965,4e-06,9e-06,1e-05,-0.007955,-0.007954,2.5e-05,6.6e-05,2.5e-05,3.7e-05,1.8e-05,0.007927,-8.6e-05,0.007894,-7.8e-05,0.007802,0.007771,0.015467,0.007508,0.015442,0.007378,0.007394,0.007493,-0.008452,-0.008113,-0.008553,-0.016592,-0.017108,-0.009259,-0.009196,-0.009616,-0.01775,-0.017959,-0.018157,-0.0101,-0.010052,-0.010234,-0.010169
0.013202,0.007248,0.011601,0.004678,0.011085,0.004894,0.004801,-0.000604,0.005595,-0.00014,0.004391,0.006996,0.007361,0.016369,0.01964,0.014362,0.015952,0.01105,0.010716,0.005615,0.010792,0.004807,-0.000665,-0.000691,-9.2e-05,4.1e-05,-0.000237,0.00014,0.001051,-0.004967,-0.004855,-0.005397,-0.016793,-0.016439,-0.016512,-0.021577,-0.016121,-0.003796,-0.003729,0.002063,0.000381,0.000315,0.000977,0.001429,-0.003308,0.002261,-0.00302,0.001586,0.001094,0.000997,0.001463,0.002754,0.003157,0.002466,0.002195,0.001882,0.001779,0.003258,0.00526,0.005378,0.01067,0.004444,0.003525,0.002768,0.002626,0.002378,0.002096,0.001892,0.001621,0.001987,0.002642,-0.002134,-0.00236,-0.002697,0.002136,-0.003206,0.001823,-0.003376,0.002661,0.002371,0.002278,0.001773,0.001815,0.000964,0.001183,0.000971,0.000375,0.000833,-0.004466,-0.004952,-0.004887,0.000549,-0.004814,0.001172,0.001092,0.001229,-0.004476,0.001107,0.000748,0.000465,0.001058,0.001021,0.000765,0.000332,0.000283,0.000732,0.000542,0.000617,0.000563,0.00065,0.000548,0.000645,0.000386,0.000387,0.00047,0.000203,-1.6e-05,-0.005449,-7e-06,0.000218,0.000513,0.000299,-4.8e-05,7.8e-05,0.00013,0.00015,9.2e-05,9.9e-05,0.000348,0.000925,0.00035,0.000523,0.000265,-0.000395,-0.001165,-0.000935,-0.00107,-0.002317,-0.002894,0.003692,0.003866,0.003273,0.001707,0.002052,0.00354,0.003712,-0.00226,0.002107,0.001319,0.004917,0.004762,0.004083,0.008564,0.007178,0.005074,0.003503,0.004326,0.004975,0.012234,0.013185
-0.029063,-0.025859,-0.031534,-0.028296,-0.032898,-0.028541,-0.027153,-0.023067,-0.026219,-0.022635,-0.027083,-0.023376,-0.022734,-0.02147,-0.016499,-0.010662,-0.008319,-0.003346,-0.003965,-0.000483,-0.005283,-0.001974,0.002204,0.002083,0.001925,0.002109,0.00163,0.002179,0.002625,0.005984,0.005193,0.004351,0.012091,0.012634,0.012506,0.017356,0.014068,0.007779,0.00787,0.00415,0.002524,0.002335,0.002431,0.003112,0.008433,0.004344,0.008837,0.003278,0.003333,0.002355,0.003047,0.004982,0.004773,0.004511,0.004077,0.003596,0.002671,0.004867,0.00781,0.007941,0.003435,0.006509,0.005138,0.004031,0.004563,0.003512,0.003025,0.002732,0.002334,0.002855,0.003793,0.008992,0.008649,0.008163,0.00303,0.007421,0.002581,0.007171,0.003001,0.002583,0.00244,0.00247,0.002534,0.001347,0.001648,0.001357,0.000524,0.001162,0.005614,0.004933,0.004912,0.000764,0.005123,0.001627,0.001519,0.001705,0.005589,0.001534,0.001781,0.00065,0.001466,0.001412,0.001785,0.001182,0.001111,0.001725,0.001456,0.000854,0.000786,0.001583,0.001436,0.000891,0.000535,0.001201,0.000651,0.000941,-1.7e-05,0.004244,-8e-06,0.000298,0.0007,0.000412,0.000588,0.000108,0.000178,0.000207,0.00078,0.000788,0.000479,0.001266,0.00048,0.000716,0.000362,-0.001185,-0.00159,-0.001934,-0.00147,-0.003847,-0.004651,-0.008036,-0.007132,-0.008656,-0.010147,-0.009694,-0.007628,-0.005953,-0.002447,-0.008206,-0.008626,-0.015537,-0.016551,-0.01752,-0.023233,-0.024632,-0.027875,-0.030353,-0.030029,-0.029292,-0.031041,-0.02975
1.250693,1.630358,-0.295265,0.10145,2.457191,2.115497,-0.124916,0.101015,1.251123,-0.223041,-0.063951,3.271227,-0.348673,-0.308316,3.54231,-0.272969,3.949693,4.055444,0.29103,-0.294889,0.031094,0.323739,-0.14669,-0.010748,0.67357,0.335479,-0.009884,0.350329,-0.091256,0.310216,-0.047378,1.480772,-0.078639,-0.051776,0.110537,0.045684,0.015897,0.052161,0.060411,-0.017205,4.984633,0.030559,0.002112,0.109988,0.043523,0.008971,-0.024401,-0.005255,-1.19795,-0.119301,-1.091648,-0.02862,-0.387442,-0.011499,-1.332826,-0.044998,0.039778,-0.543859,-1.39375,-0.374806,0.089189,0.010984,-0.442188,0.02196,0.042123,-4.239366,0.003665,0.003708,-0.427474,0.094721,0.051447,0.014054,0.172943,0.103673,0.2185,-0.270551,0.155674,0.074881,0.295867,-0.417873,0.015737,-0.739127,-0.84885,0.351751,-0.919363,0.191358,0.302125,0.042246,-0.098544,0.24964,-2.447272,0.005231,-0.053821,0.054562,-0.014693,0.115146,0.003136,-0.03008,0.005084,0.069328,0.023361,0.365718,-0.263414,0.162607,0.047245,0.120917,0.011222,0.25301,0.068086,-0.674155,-0.000944,0.189086,-0.666945,0.003874,-0.002112,-0.005679,-0.011871,-0.040722,-0.000333,-0.005471,-0.008731,2.1e-05,-0.013337,-0.000158,-0.011176,-0.002321,-0.010448,-0.002407,0.000316,-0.010472,-0.689478,0.120587,-0.010325,0.002016,-0.001624,-0.036734,-0.348272,-0.186287,-0.285745,-0.511477,-0.628835,-0.482676,-0.493479,-0.750227,1.135541,-0.418345,-0.018403,-0.385657,-0.365881,0.552351,2.249437,0.929001,0.994796,1.465309,0.470779,3.402147,3.363294,0.445858,-0.074148,0.723576
2.439662,2.223251,0.483379,1.081408,2.695406,2.118912,0.573966,0.943846,2.139064,0.699763,0.541814,1.966568,0.92854,0.941778,2.214184,0.86032,1.812093,1.729848,0.548729,0.690761,0.271208,0.499003,0.397334,0.311931,2.101979,0.431517,0.367736,0.436638,0.354448,0.53697,0.197375,0.428047,0.282992,0.353551,-0.55618,-0.441817,-0.327398,-0.192031,-0.242084,0.103578,-0.298612,-0.112071,-0.009058,-0.434187,-0.316415,-0.043195,-0.043735,0.018236,-1.556911,-0.146251,-2.074214,-0.057455,-0.687964,0.091446,-1.44088,0.044718,-0.122672,-0.113393,-1.902087,-0.879362,-0.896063,-0.133405,-0.694065,-0.21281,-0.297186,-0.388303,-0.013335,0.00309,-0.628992,-0.26742,-0.166188,-0.151771,-0.589343,-0.428985,-0.607028,-0.390146,-0.444014,-0.426264,-0.72837,-1.028605,-1.025126,-0.803842,-0.503425,-0.744882,-0.360657,-0.398331,-0.650161,-0.15594,-0.116191,-0.438177,-0.855877,-0.018018,0.028474,-0.101307,0.019476,-0.189928,-0.145353,-0.001112,-0.01747,-0.15233,-0.145925,-0.623188,-1.217382,-0.687561,-0.06785,-0.189425,-0.007806,-0.424843,-0.112838,-0.539062,0.012329,-0.288632,-0.580385,-0.003191,0.003381,0.021996,0.098103,0.017494,0.001168,0.010069,0.010112,0.00047,0.026288,0.000649,0.011342,0.003117,0.020465,0.016024,0.000268,0.011013,-0.560018,-0.195647,0.012056,-0.014678,0.014285,0.047213,0.562848,0.752722,0.30857,0.812165,0.92177,0.620192,0.629724,1.072814,2.299342,0.2334,0.868535,0.305647,0.370303,0.831769,2.362385,1.53086,2.550032,3.206459,1.632937,2.712262,3.355473,2.194063,1.055833,1.910889
-0.922065,5.159855,0.56321,0.244913,4.781845,5.368171,0.972456,0.066631,-0.97044,0.405449,-0.172622,3.672308,-0.435848,-0.370079,3.365907,-0.202731,3.125977,2.967141,0.048599,-0.085107,-0.321859,-0.02464,-0.086979,-0.365947,-2.055459,-0.032038,-0.364276,-0.079913,-0.237676,-0.061019,-0.350639,0.261078,-0.425185,-0.613607,-0.652913,-0.83921,-0.540146,-0.613134,-0.641069,-0.175958,2.314425,-0.144747,-0.044847,-0.300154,-0.220446,-0.031758,-0.056352,0.005694,1.901878,0.184005,1.576719,0.025995,0.553242,-0.191542,1.923658,-0.141953,-0.304586,-0.069301,1.85286,0.693718,0.066667,0.161252,0.979693,0.376298,0.506306,-3.322091,0.025318,-0.002371,0.526697,-0.126057,-0.075178,-0.098128,-0.102424,-0.016225,-0.0882,-0.339256,-0.042901,0.200985,-0.122928,0.679568,-0.261004,-1.316032,-1.100469,0.042291,-1.201962,-0.00693,0.091799,0.122391,0.031606,-0.263364,-4.986541,-0.025851,-0.018182,-0.039465,-0.00602,-0.122748,0.101738,0.029861,-0.032778,-0.094103,0.151671,-0.090337,0.220405,-0.202968,-0.101691,-0.130059,-0.069569,-0.280458,-0.078514,0.254132,-0.048633,-0.154612,0.243851,-0.056349,-0.014748,-0.027481,-0.171161,-0.017108,0.001274,-0.000508,-0.000303,0.000974,-0.033478,0.00089,-0.00367,0.000783,-0.040236,-0.028467,0.000234,-0.005959,0.230844,-0.10703,-0.000704,0.030344,-0.024324,0.079668,0.258645,0.283956,0.663964,0.827179,0.826817,0.960086,0.866384,1.119669,-0.354758,1.0813,0.591893,0.625151,0.380469,1.702341,4.771437,1.217492,-0.742061,-0.017756,1.28977,3.280781,3.249277,0.78611,0.420923,1.22625
0.000234,0.000252,0.000381,0.000417,0.008688,0.00871,0.008641,0.008666,0.008581,0.008589,0.000388,0.000411,0.008511,0.008565,0.008467,0.008442,0.008317,0.008186,0.008249,0.00013,0.008272,0.008419,0.008392,0.008368,0.008237,0.000171,0.008151,1.6e-05,-5e-06,5.8e-05,0.008053,0.0081,-1.5e-05,0.008024,0.007993,0.00796,0.007959,0.007955,0.016074,0.007875,0.016033,0.015958,0.024143,0.024127,0.02412,0.01601,0.024095,0.016013,0.016163,0.016166,0.008084,0.008071,0.007868,0.016121,0.015918,0.015914,0.016193,0.016117,0.015888,0.024174,0.024178,0.024192,0.024214,0.024224,0.023963,0.02425,0.024244,0.024246,0.016164,0.016162,0.00811,0.016202,0.008177,0.016281,0.01675,0.008623,0.008335,0.00826,0.008545,0.008508,0.008498,0.008457,0.008086,0.008117,0.008143,0.008122,0.008171,0.016665,0.008209,0.008234,0.008599,0.008572,0.016713,0.016681,0.008565,0.016738,0.016323,0.008204,0.008697,0.008258,0.00814,0.000426,-5.3e-05,-6.4e-05,-7.6e-05,-6e-05,2e-06,0.000418,-1.9e-05,1.8e-05,-1e-06,9e-06,-6e-06,-1e-06,-3.5e-05,-0.0,-1e-06,0.008146,-1e-06,2.2e-05,0.0,8e-06,-0.0,0.000422,3.5e-05,-0.0,-2e-06,-0.0,8e-06,-1e-06,-1e-06,1.3e-05,2.4e-05,1.8e-05,3e-05,0.0,-0.000437,-0.00857,-0.00898,-0.009308,-0.016959,-0.025407,-0.025173,-0.025112,-0.016631,-0.017155,-0.016838,-0.008421,-0.008495,-0.008152,5.5e-05,-0.000261,0.007874,0.007477,0.007537,0.007589,0.015408,0.015501,0.015291,0.015154
0.001992,0.002102,0.003282,0.003606,0.003295,0.003584,0.008805,0.003465,0.008488,0.008735,0.009409,0.009717,0.014365,0.009283,0.008532,0.008378,0.007256,0.006026,0.000688,0.001352,0.007186,0.002788,0.002546,0.002418,0.007242,0.001939,0.006426,0.006412,0.00617,0.000652,0.005428,-0.000304,-0.00022,0.005172,0.004841,0.004467,0.004476,0.004498,0.004789,0.010251,0.004503,0.010619,0.005181,0.005303,0.005666,0.005442,0.005941,0.006145,0.000837,0.001056,0.000627,0.000392,0.005323,5.9e-05,0.00547,0.005723,0.000219,0.000205,0.005294,2.6e-05,-0.000832,-0.001328,-0.001565,-0.001477,0.004297,-0.000852,-8.9e-05,-6e-05,0.000123,0.000336,-0.000568,-0.000421,-0.00179,-0.001796,-0.00798,-0.008744,-0.002997,-0.002455,-0.006662,-0.005669,-0.005415,-0.004517,0.001021,0.000509,0.000107,0.000454,-0.000263,-0.005124,-0.000688,-0.000958,-0.005968,-0.00553,-0.004931,-0.004372,-0.005105,-0.00473,0.000777,-4.2e-05,-0.006063,-0.000473,0.000749,-0.005342,0.000513,0.00062,0.000725,0.000578,-2.6e-05,-0.005245,0.000182,-0.000187,3e-06,-8.5e-05,3.9e-05,0.0,0.000345,-0.0,-5e-06,0.000713,1.2e-05,-0.000208,5e-06,-8.5e-05,4e-06,-0.005276,-0.000348,-2e-06,1e-06,0.0,-9e-05,2e-06,2e-06,-0.000144,-0.000246,-0.000181,-0.000295,1e-06,0.005457,0.004685,0.010009,0.014673,0.008031,0.012106,0.009973,0.009122,0.004753,0.012154,0.007296,0.003913,0.004969,-0.000519,-0.000825,0.00391,0.004187,0.010037,0.009137,0.008257,0.013084,0.011749,0.014879,0.017278
0.003009,0.003112,0.004938,0.005405,0.004957,0.005302,0.00079,0.005126,0.000277,0.000612,0.001575,0.001991,-0.003434,0.001284,0.000171,-6.9e-05,-0.001698,-0.003471,0.000908,0.001929,-0.001834,0.00388,0.003531,0.003335,-0.001797,0.002735,-0.002962,-0.002882,-0.003226,0.000916,-0.004376,-0.000535,-0.000313,-0.004743,-0.005223,-0.005752,-0.005746,-0.00573,-0.005484,-0.00957,-0.005932,-0.009277,-0.00528,-0.005125,-0.004681,-0.004806,-0.004392,-0.003871,0.000542,0.000833,0.00053,0.000184,-0.004808,-0.000675,-0.005052,-0.004682,-0.000381,-0.000583,-0.005378,-0.00138,-0.002627,-0.003405,-0.003818,-0.00373,-0.00759,-0.002989,-0.00197,-0.001959,-0.001117,-0.000844,-0.001498,-0.00197,-0.003285,-0.00399,-0.000679,-0.001276,-0.004981,-0.004339,0.001694,0.003153,0.003524,0.00484,0.000714,-4.7e-05,-0.000641,-0.000139,-0.001206,0.003076,-0.001852,-0.002266,0.002599,0.003234,0.003225,0.004016,0.003817,0.00343,-0.000738,-0.001022,0.00234,-0.00168,0.000138,0.004374,0.00076,0.000918,0.001077,0.000858,-4e-05,0.004525,0.000273,-0.00028,1e-06,-0.000129,5.5e-05,-5e-06,0.000508,-3e-06,-8e-06,8e-05,1.6e-05,-0.000308,9e-06,-0.000126,7e-06,0.004476,-0.000515,-1e-06,4e-06,1e-06,-0.000136,-0.0,1e-06,-0.000216,-0.000365,-0.000267,-0.000439,4e-06,-0.004207,-0.004387,-0.008801,-0.014209,-0.01083,-0.016252,-0.019422,-0.020854,-0.015977,-0.017355,-0.012205,-0.00574,-0.004201,6.5e-05,-0.001249,-0.006593,-0.006995,-0.010646,-0.01204,-0.013422,-0.019535,-0.021642,-0.029652,-0.038971
0.002898,-2.130315,0.005107,7e-06,0.006555,-2.131358,0.043546,0.00757,-0.314047,-0.059667,0.047116,0.052867,0.081688,0.036334,0.044633,0.040164,-0.157992,0.039648,-0.824882,0.003378,0.044704,0.005816,0.006402,0.004798,0.038485,0.003123,0.037978,0.023515,0.036656,-0.056169,-0.019778,0.007153,0.000802,0.04802,-0.660908,0.038923,-0.091456,-0.234733,-0.02869,0.025959,0.039551,0.078664,-2.081112,0.044785,-0.016625,0.044248,0.056226,0.041444,-0.000655,0.005513,-0.005874,0.030338,0.027171,0.086051,-2.140057,0.03362,1.433952,-0.00883,0.025065,-0.008881,0.291049,0.028642,0.15422,-0.003279,0.240252,0.097178,-0.002886,0.023815,0.113343,0.117952,-0.007914,-0.002873,0.139689,0.137838,0.961624,0.095085,1.378234,0.052413,1.295533,-0.018453,0.151599,0.236828,-0.005616,0.109087,0.031592,0.082844,0.106315,0.03055,0.189877,0.106573,0.093445,0.027761,0.033599,0.012923,0.070382,-0.029997,0.016632,-0.007238,-0.04035,6.8e-05,-0.004988,-0.036751,-0.006196,-0.006985,-0.000189,-9.6e-05,6.2e-05,-0.037885,-0.00028,-1e-06,-0.000158,3.1e-05,1.8e-05,3.5e-05,3.5e-05,5.3e-05,4.6e-05,0.001051,5.2e-05,5.6e-05,5.6e-05,2.7e-05,3.7e-05,-0.035688,4.2e-05,3.9e-05,1.8e-05,-0.006211,-0.00027,-4.6e-05,-1.2e-05,0.010088,1.1e-05,-0.004157,-0.004477,0.005874,-0.121857,-0.026214,-0.205726,-0.222169,-0.35915,-0.291773,-1.34374,-0.448702,-0.500751,-0.544372,-2.20311,-0.99815,1.373563,-2.153163,0.096862,-0.34194,-0.467105,-0.846625,-0.2664,-1.164335,-0.692764,-0.642087,-0.346577,-0.426255
