0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219
-0.002161,-0.008594,-0.01456,-0.014637,-0.014913,-0.015938,-0.015165,-0.014513,-0.012968,-0.013043,-0.013036,-0.006017,-0.012728,-0.013811,-0.012627,-0.011819,-0.017847,-0.017384,-0.018795,-0.013875,-0.013749,-0.007735,-0.013533,-0.008125,-0.007264,-0.014614,-0.00795,-0.007045,-0.000131,0.000935,0.002182,0.002408,-0.003915,-0.003555,-0.009674,-0.011465,-0.005003,-0.005289,0.006667,0.004359,0.005525,0.005108,0.000422,0.005792,0.006893,0.000129,0.006847,0.006937,0.001077,-0.00538,0.002882,0.002266,0.003128,0.002543,0.003071,0.003434,0.002828,0.002649,0.009145,0.006965,-0.000488,0.005659,-0.001911,-0.008165,-0.001536,-0.008869,-0.000517,-0.00104,-0.001652,-0.002806,-0.00971,-0.010294,-0.003902,-0.011152,-0.011618,-0.018352,-0.02501,-0.029785,-0.02857,-0.02847,-0.026301,-0.026317,-0.026198,-0.019572,-0.018312,-0.018137,-0.017575,-0.012508,-0.012816,-0.013391,-0.01374,-0.012553,-0.01879,-0.012507,-0.012926,-0.019357,-0.018467,-0.018608,-0.006371,-0.005451,-0.005185,0.001083,-0.000253,-0.005833,-0.000334,-0.000348,-0.000269,-0.000368,-0.000523,-0.006889,-0.007767,-0.013424,-0.013314,-0.013298,-0.006897,-0.006623,-0.006494,-0.006463,1.1e-05,-8.7e-05,-0.00013,0.00046,0.000373,-0.006064,-0.006195,-0.006107,-0.006732,-0.006047,-0.012893,-0.012778,-0.013327,-0.006441,-0.012737,-0.006475,-0.01276,-0.000117,-0.006222,0.000772,-0.000571,-6e-06,4.6e-05,0.00645,0.005476,0.011032,0.00984,0.015256,0.022301,0.01794,0.025152,0.037007,0.030696,0.025176,0.015662,0.01094,0.017673,0.022417,0.021229,0.015042,0.015706,0.007,0.006353,0.006253,0.004395,-0.00181,-0.001525,-0.0013,0.005292,0.006435,0.007508,0.001555,0.001716,0.001135,0.001353,0.000729,-1.6e-05,0.000155,-0.006928,-0.006701,-0.006931,-0.014034,-0.019642,-0.019147,-0.018427,-0.018133,-0.01791,-0.011527,-0.005109,-0.006124,-0.012904,-0.013725,-0.01377,-0.014071,-0.013911,-0.013801,-0.007147,-0.00015,0.006414,0.013288,0.013631,0.0137,0.024866,0.018601,0.024544,0.02366,0.00486,0.005171,0.004723,0.00442,-0.002556,-0.00169,-0.008324,-0.015173,-0.022429,-0.015075,-0.016094,-0.015655,-0.008495,-0.002301,-0.002191,0.004968
0.012409,0.010688,0.007794,0.008089,0.009047,0.012465,0.008384,0.004542,-0.00225,-0.001989,-0.002008,-0.002756,-0.003066,0.002372,-0.003436,-0.006411,-0.009256,-0.011171,-0.004477,0.00414,0.003665,0.008107,0.004469,0.01105,0.006321,0.008703,0.007647,0.00258,0.000554,-0.00521,-0.011709,-0.012666,-0.014606,-0.016221,-0.019133,-0.009117,-0.007753,-0.006539,0.000854,0.011747,0.005437,0.008459,-0.001743,0.005581,-0.000318,-0.000523,-0.000126,-0.000488,-0.004417,-0.004606,-0.011813,-0.007908,-0.01141,-0.007585,-0.009689,-0.011128,-0.007189,-0.00636,-0.003868,0.006233,0.007889,0.011578,0.013541,0.008808,0.0091,0.010126,0.002079,0.004133,0.006527,0.01116,0.010812,0.013371,0.015852,0.01724,0.019549,0.019205,0.019289,0.01034,0.004806,0.004859,-0.006662,-0.005815,-0.006052,-0.005314,-0.012437,-0.013199,-0.016085,-0.005861,-0.003164,0.000977,0.003893,-0.003783,-0.005648,-0.004003,-0.001087,-0.001474,-0.007795,-0.006648,-0.000945,-0.007785,-0.009879,-0.008141,0.001897,-0.005027,0.002562,0.002692,0.002065,0.002856,0.004082,0.00328,0.01008,0.004151,0.003517,0.003502,0.003999,0.001725,0.000659,0.000403,-0.000103,0.000762,0.001154,-0.003458,-0.002711,-0.002488,-0.001297,-0.002049,0.003024,-0.002517,0.000999,8e-06,0.004451,0.000582,-0.000182,0.001094,0.000166,0.001301,-0.001658,-0.007104,0.004807,8.1e-05,-0.000556,-0.000853,0.006862,0.01288,0.021518,0.029035,0.02293,0.007107,0.002262,0.012154,0.012314,0.005451,-0.018885,-0.031049,-0.031434,-0.017766,-0.00939,-0.012474,-0.017098,-0.003541,0.000379,0.000852,0.013214,0.010832,0.008842,0.007472,0.007292,-0.000336,-0.007425,-0.011143,-0.012139,-0.008039,-0.00938,-0.005016,6.6e-05,-0.000961,0.002675,0.001287,0.00274,0.006553,0.000116,-0.003531,-0.008699,-0.011079,-0.012856,-0.011777,-0.010805,-0.003251,-0.001405,0.00495,0.006364,0.008527,0.007671,0.006959,0.00577,0.001262,0.000408,-0.003046,-0.005689,-0.006065,0.008456,0.006589,0.011191,0.017952,0.01273,0.010737,0.013955,0.015887,0.018637,0.012532,0.013093,0.015226,0.020618,0.014871,0.022564,0.019799,0.015029,0.017174,0.016392,0.011051
-0.015597,-0.015867,-0.017213,-0.016969,-0.016224,-0.013588,-0.008469,-0.003093,-3.4e-05,0.00016,0.000132,-0.001274,-0.000681,-0.004794,-0.000975,-0.003254,-0.004629,-0.006128,-0.009302,-0.011779,-0.01215,-0.01784,-0.019981,-0.023884,-0.0193,-0.016558,-0.00983,-0.005488,0.000449,0.004235,0.007442,0.006691,0.005988,0.004705,0.003204,-0.005659,-0.005427,-0.004451,-0.000141,0.000181,0.003545,-0.002488,-0.001415,-0.00481,-0.001115,-0.00043,-0.000961,-0.001254,-0.003596,-0.011416,-0.009732,-0.015117,-0.018183,-0.023806,-0.025865,-0.027253,-0.032985,-0.032601,-0.031642,-0.031544,-0.0291,-0.026751,-0.023849,-0.018088,-0.009693,-0.007601,0.001999,0.003965,0.006238,0.010591,0.011226,0.013476,0.014651,0.016727,0.01853,0.019019,0.019646,0.021099,0.024637,0.024512,0.031625,0.032036,0.031713,0.031304,0.033828,0.033167,0.030872,0.021479,0.015287,0.010208,0.004211,0.006641,0.005917,0.006464,0.008576,0.008895,0.012356,0.013158,0.007973,0.011093,0.009606,0.01024,0.001346,0.005046,0.001813,0.001902,0.001456,0.002013,0.00287,0.002898,-0.000309,0.004071,0.00361,0.003589,0.003342,0.001767,0.001027,0.00085,-6.7e-05,0.000522,0.000789,0.00551,0.006022,0.006738,0.007542,0.007029,0.002603,0.006707,0.001782,0.001111,-0.003734,0.000945,0.00097,0.00128,0.001196,0.000879,-0.000565,0.003069,-0.004598,5.1e-05,-0.000385,-0.001112,-0.011568,-0.023687,-0.041317,-0.052391,-0.05726,-0.052391,-0.048783,-0.043107,-0.034521,-0.031089,-0.024296,-0.01707,-0.001657,0.000231,0.015453,0.022179,0.026881,0.021637,0.024675,0.024929,0.017854,0.016593,0.014916,0.013826,0.012929,0.015325,0.018188,0.016112,0.0154,0.010319,0.009339,0.004441,4.8e-05,-0.0007,-0.005493,-0.006501,-0.005435,-0.01009,-0.006048,-0.000622,0.003696,0.01006,0.008755,0.008908,0.008987,0.006387,0.008339,0.004845,0.005791,0.007334,0.006664,0.006134,0.004666,0.000897,-0.000295,-0.00332,-0.005215,-0.005505,-0.012457,-0.021229,-0.034737,-0.037936,-0.039948,-0.041589,-0.039214,-0.029576,-0.026729,-0.023227,-0.022072,-0.019662,-0.022919,-0.019882,-0.021977,-0.015852,-0.012055,-0.011009,-0.003364,0.008122
2.347651,-0.037293,-0.639994,-0.458988,-0.435038,0.333968,2.908896,-0.321102,-0.082774,-0.010161,0.343129,0.496052,0.194208,0.360824,-0.231011,0.378729,0.245243,2.288779,0.058366,0.076642,-0.001064,-0.143183,3.037945,-0.468174,2.877104,3.408271,-0.23833,-0.025953,-0.026368,-0.014605,0.260164,0.005886,1.733111,-0.195028,1.580433,-0.226735,-0.2661,-0.180406,4.286632,-1.614245,-1.684583,-0.20677,-0.083752,-0.061913,-0.009582,1.316594,-0.092594,-0.069813,0.574517,0.040554,0.140969,0.015133,0.376795,0.408703,2.571414,-0.067994,0.006987,0.475538,5.180846,0.010253,0.097728,0.111437,0.114944,0.008954,0.089529,0.091685,-0.036904,-0.649336,0.015155,-0.890596,-0.043598,-0.326476,-1.577037,-0.349961,0.006882,-0.051428,-0.327639,0.015293,0.006665,0.000986,-0.080573,-0.042127,-0.023744,-0.084731,-0.020018,-0.043606,-0.048512,0.001211,0.125984,-0.024668,0.15637,0.036328,-0.004473,0.03416,-0.006442,0.008555,0.05811,0.001657,-0.011997,-0.024597,0.063624,0.054856,-0.004394,-0.040236,0.059469,0.00109,0.132167,-0.000977,0.000384,-0.00074,0.054625,0.060026,0.012752,-0.674732,-0.000261,-0.00239,-0.002021,-0.002108,-0.001858,0.002142,-0.002607,-0.010369,-0.03897,-0.040924,0.037824,0.020944,0.018986,-0.000104,-0.003946,-0.005275,0.048037,0.163807,-0.208036,0.115711,0.007408,-0.000159,-0.003999,-0.038396,0.036419,-9e-06,2.085216,-0.037882,-0.040852,1.940511,-0.154647,1.555295,-0.256866,-2.01796,-5.847704,-4.804593,-4.000973,-0.778129,0.877782,0.314049,0.388004,0.38687,-0.386658,-3.301955,-3.253378,0.049765,-0.020362,0.068787,-0.023402,-2.902205,-0.039221,-0.024955,-0.074468,0.240013,0.073125,0.318105,1.983629,0.156466,2.041964,-0.043148,0.197765,-0.010679,0.247226,0.038475,0.052066,0.174806,0.071619,0.605399,0.131556,-0.085315,-0.09243,-0.06179,-0.082397,-0.027057,0.313404,-0.016493,1.899745,-0.01012,0.002339,0.001289,-0.000186,-0.003435,-0.264501,-0.123565,0.516866,-0.234944,-0.297294,-0.257524,0.182839,-0.455577,-0.577711,-0.375628,-0.776071,-0.15555,0.135101,-0.190661,-0.02785,-0.115897,-0.111282,-1.64781,0.087671,0.056882,-0.114567,-0.127674,-0.024891,-0.086072
1.019304,1.275608,0.901825,0.984984,1.234202,1.074165,0.74099,0.906856,0.399254,0.195988,-0.640165,-1.022747,-0.725079,-0.76194,-1.608344,-0.966858,-0.714684,1.157525,-0.139119,-0.037725,0.110754,0.836645,1.26413,1.573605,1.08067,0.611493,1.185107,0.528523,0.216554,-0.044671,-0.278289,-0.202917,1.607442,0.560016,2.067432,0.767649,1.053852,0.759235,-0.963437,-1.23452,-0.857745,0.288241,0.342415,0.452493,0.85693,2.131494,0.58305,0.462157,0.356784,0.103941,0.061193,0.063148,0.593971,0.502621,1.848257,0.55288,0.867875,0.496143,-1.26927,0.678244,0.155563,-0.001694,0.387165,0.53246,-0.139118,-0.11362,-0.312915,-2.420605,-0.519998,-1.413289,0.043278,-0.560539,-0.110345,-0.877271,-0.675707,-0.779304,-1.190162,-0.329345,-0.523057,-0.58446,-0.501508,-0.783682,-0.920045,-0.334055,-0.981126,-0.895539,-0.780982,-0.631492,-0.02572,-0.069255,-0.902827,-0.347686,-0.124781,-0.383287,-0.135016,-0.197991,-0.533387,-0.324109,-0.125377,-0.220864,-0.586445,-0.492327,0.025803,0.029253,-0.237489,-0.012136,-0.488968,0.003674,-0.007544,0.013802,-0.103733,-0.209321,-0.083335,-0.434588,0.001336,0.010793,0.015628,0.015304,0.008223,0.013071,0.016553,-0.142622,0.023091,0.02931,-0.265607,-0.200848,-0.109276,-0.114538,0.034562,0.039303,-0.063759,-0.603687,-0.090597,-0.411784,-0.07031,0.000444,0.029933,0.023087,-0.008336,8e-06,1.503895,0.116898,0.359152,2.106771,1.094377,2.85652,1.881569,1.21533,-0.631646,-0.723385,-0.820774,-1.160732,-0.708481,-0.848323,-0.828546,-0.874457,-1.292124,0.364329,0.230418,-0.332434,-0.354909,-0.322957,-0.144926,0.641121,-0.047694,-0.018141,-0.08979,-0.508391,-0.386849,-0.749393,1.585909,-0.37645,1.499512,-0.077198,-0.303098,0.028111,-0.038483,0.098928,-0.028462,-0.116103,-0.016692,-0.522927,-0.309309,-0.028317,0.072404,0.032536,0.040278,-0.009702,-0.550187,0.03682,-1.185979,-0.007565,-0.001059,-0.001902,0.000325,0.023405,0.416124,0.18421,0.836114,0.501862,0.937708,0.605661,1.609522,1.372345,1.851883,1.492794,0.758303,0.908934,0.100558,0.73413,0.361418,0.743566,0.729048,-0.962897,0.215278,0.191464,0.504414,0.509506,0.174313,0.157675
5.457108,0.638233,0.529944,-0.124077,-0.826436,0.696064,3.711925,-0.40182,-0.537029,-0.391117,-0.698217,-0.667139,-0.16277,0.149171,0.713862,0.424352,0.180556,-0.638102,0.252487,0.339612,0.01289,0.119481,4.996953,0.584001,3.701847,2.841773,-0.565245,-0.900044,-0.337007,-0.051535,-0.486128,-0.171335,-1.417694,0.220097,-1.46701,-0.070773,0.185361,-0.277763,2.857435,1.721228,1.95308,0.272993,-0.058743,0.10872,0.320974,-1.634409,0.421288,0.337796,-0.435357,0.018455,-0.017457,-0.052649,0.591563,0.525025,-1.334998,0.006825,0.032348,0.192549,0.922839,0.204969,0.058253,0.0232,0.306891,0.338008,0.192954,0.172306,0.075909,1.315687,-0.978799,1.654218,-0.577525,0.213998,-1.086248,0.015982,-0.351203,0.076252,0.509598,0.24442,0.3307,0.041293,0.017143,-0.146276,-0.240283,-0.063088,-0.280826,-0.222709,-0.139111,-0.255635,-0.084464,0.161865,-0.40932,-0.054765,0.020863,0.157976,0.08725,0.040956,-0.231827,-0.070075,0.129703,0.040463,-0.201109,-0.367858,0.019755,-0.045046,-0.118469,0.026098,-0.305912,0.00236,0.029721,0.003085,0.182775,-0.181134,0.136202,0.398565,-0.004245,0.002775,-0.029297,-0.029328,0.005771,0.004108,0.011504,0.156326,-0.007486,-0.008967,-0.162551,-0.154494,0.129069,-0.133643,-0.053729,-0.053555,0.138182,-0.425411,0.053998,-0.265397,0.146753,0.000162,-0.05403,-0.04409,0.019292,-3.3e-05,-1.037792,0.111639,0.28073,-0.432465,1.291921,0.03088,0.810399,-0.385452,-2.246305,-3.494791,-3.504581,-0.650408,-0.137124,-0.364833,-0.953585,-0.632538,0.169267,-4.14099,-4.027253,0.257784,0.343692,-0.154259,0.294232,-4.611975,0.059172,0.026893,0.107109,-0.288839,0.009899,-0.301347,-0.952985,-0.258799,-0.714439,0.165761,-0.199256,-0.015804,0.417203,-0.139895,-0.032521,-0.152846,-0.135328,-0.402012,-0.106221,0.089105,-0.117469,-0.059427,-0.061636,-0.033571,-0.423989,-0.019162,4.813214,-0.00759,-0.007702,-0.007518,-0.005598,0.060787,0.313198,0.167579,0.05001,0.302685,0.817034,0.255664,0.323936,0.358961,-0.144862,-0.333994,-0.064411,0.224925,0.115197,0.548944,0.262771,0.049311,0.262231,1.835047,0.158748,0.15708,0.432282,0.467679,0.237432,0.270148
0.007248,0.007535,0.007585,0.01496,0.015466,0.015964,0.016293,0.016541,0.016467,0.01622,0.015719,0.015189,0.015098,0.014803,0.007698,0.014279,0.007604,0.007403,0.007647,0.007555,0.001084,0.000729,0.001264,0.000675,0.006992,0.00029,0.000617,0.000492,0.00048,0.000157,-2.5e-05,0.006555,0.000102,0.000127,0.000174,0.000382,0.000451,0.000323,-2.7e-05,-0.000182,-6e-05,0.000106,-0.000184,0.000165,0.0001,0.0004,-0.000102,0.000122,0.000372,0.00041,-0.000167,-0.000256,-6.4e-05,-0.000227,-0.000197,0.00018,1.1e-05,-0.000203,-0.00012,1e-06,-2.7e-05,-9.3e-05,-0.0003,-0.000261,-9.7e-05,-0.000747,-0.000938,-0.000711,-0.000552,-0.000301,-0.000876,-0.000431,-0.000841,0.005654,0.005851,0.006036,0.013533,0.014469,0.020854,0.020659,0.01429,0.013529,0.013443,0.013652,0.006968,0.006866,0.006659,0.006594,0.006852,0.000335,0.006856,0.000326,0.000423,0.007103,-0.000102,-0.000135,5.8e-05,-9.6e-05,0.006532,-0.000182,0.006574,0.007156,0.007101,0.007514,0.007533,0.014143,0.007586,0.007454,0.007553,0.007361,0.000899,0.001069,0.000995,0.000649,0.007173,0.000639,0.000506,0.000506,0.00037,2.8e-05,0.006642,0.000236,0.006668,0.006901,0.006989,0.007105,0.007093,0.007128,0.00733,0.007243,0.007163,0.006901,0.006998,0.006815,0.007092,0.000259,0.000174,0.000233,-0.000195,-0.000136,2.9e-05,-0.006433,-0.006585,-0.006986,-0.013511,-0.019757,-0.013838,-0.01441,-0.01423,-0.014351,-0.014305,-0.014237,-0.007606,-0.007802,-0.007444,-0.007075,-0.007182,-0.000595,-0.000531,2.8e-05,-7e-06,-8e-06,-1e-06,5e-06,-0.0,-1e-06,-0.006729,0.000167,0.000117,-3e-06,3e-06,-1.4e-05,0.006579,5.4e-05,0.0,2e-06,0.006517,0.006516,0.006618,0.006606,0.012913,0.020251,0.020381,0.013763,0.013467,0.006913,0.006837,0.006613,-7e-06,3e-06,-3e-06,0.000245,0.000284,0.000348,0.000373,0.000154,0.000375,0.000116,-0.000116,-0.000253,-0.006484,5.2e-05,0.000703,-0.005222,0.000802,-0.000189,0.005815,-0.000364,0.000108,-0.000561,-0.000865,0.00583,0.006241,0.013594,0.013952,0.021136,0.008711,0.008864,0.002702,-0.00996
2e-06,0.000856,0.001147,0.001505,0.003135,0.004794,0.005895,0.007036,0.006886,0.006222,0.004834,0.00329,0.006871,0.005968,0.002124,0.000667,0.002052,0.001263,0.002118,0.001827,0.003675,-0.001285,0.004315,-0.001449,-0.003764,-0.002755,0.002131,0.001702,0.001657,0.000542,-8.5e-05,-0.001477,0.000349,0.000432,0.000597,0.001322,0.001567,0.001126,-8.9e-05,-0.000624,-0.000204,0.000368,-0.004403,0.000567,0.000344,0.005149,-0.000357,0.000413,0.005036,0.005154,-0.000472,-0.000883,-0.000225,-0.000776,-0.00068,0.000618,3.4e-05,-0.000697,-0.000417,6e-06,-8.5e-05,-0.000315,-0.001024,-0.000894,0.003424,-0.002556,-0.003213,-0.002428,-0.001885,0.00273,-0.002991,0.002289,-0.002876,-0.000853,0.003561,0.004177,0.009678,0.013049,0.007321,0.002906,0.005181,-0.001336,-0.001636,-0.000813,0.000154,-0.000226,-0.001011,-0.001262,-0.000247,0.001313,-0.000225,0.001286,0.001665,0.000772,-0.004255,-0.004387,-0.003626,-0.004229,-0.005331,-0.004566,-0.009057,-0.002862,-0.003062,0.002496,0.002614,0.001525,0.002905,0.002412,0.002882,0.002131,0.003804,0.008465,0.008173,0.002773,0.001489,0.002711,0.002201,0.002199,0.001612,-0.003807,-0.004636,0.001034,-0.004515,0.00046,0.000864,0.001412,0.001393,0.001561,0.002517,0.002172,0.001823,0.00064,-0.002873,-0.003693,0.001638,-0.002755,0.000835,0.005124,-0.000941,-0.000657,0.000134,0.005449,0.004712,0.002823,0.003866,0.010261,0.002466,-0.003869,-0.002998,-0.003345,-0.002985,-0.002628,-0.003271,-0.00399,-0.002472,0.002887,0.00249,0.001475,-0.002128,0.000102,-3.2e-05,-3.4e-05,-8e-06,1.5e-05,3e-06,1e-06,0.000505,0.000661,0.000466,-1.7e-05,-8e-06,-5.7e-05,-0.001091,0.000214,-6e-06,-4e-06,-0.001344,-0.00134,-0.000931,-0.000979,-0.007054,-0.001111,-0.000518,0.000463,-0.000747,0.00043,0.000115,-0.000874,-3.4e-05,4e-06,-1.6e-05,0.001087,0.00126,0.001553,0.001656,0.000685,0.001675,0.000521,-0.00051,-0.001125,0.005317,0.011986,0.018644,0.026268,0.02288,0.014654,0.007477,0.006151,0.004307,0.001459,8.4e-05,0.007577,0.013267,0.023741,0.02942,0.035739,0.040553,0.037425,0.035778,0.034332
0.000212,0.000872,0.001028,0.001562,0.002804,0.004044,0.004866,0.005604,0.005494,0.004962,0.003872,0.002684,-0.003104,-0.003782,0.001663,0.000682,0.001531,0.001014,0.001638,0.001419,0.002683,0.007412,0.003135,0.007282,0.005678,0.006331,0.001535,0.001226,0.00119,0.000389,-6.1e-05,-0.000997,0.00025,0.000309,0.000426,0.000947,0.001123,0.000808,-6.4e-05,-0.000446,-0.000146,0.000264,0.005141,0.000405,0.000247,-0.004606,-0.000255,0.000296,-0.004678,-0.004591,-0.000392,-0.000636,-0.000161,-0.000555,-0.000487,0.000443,2.4e-05,-0.000499,-0.000297,7e-06,-5.8e-05,-0.000225,-0.000732,-0.000641,-0.005838,-0.001843,-0.002322,-0.001756,-0.001363,-0.006348,-0.002175,-0.006676,-0.002097,-0.008898,-0.014041,-0.013596,-0.017835,-0.01534,-0.011121,-0.00602,-0.004427,-0.000883,-0.001106,-0.000508,0.000151,-0.000129,-0.000702,-0.000888,-0.000141,0.000961,-0.000127,0.000939,0.001215,0.0006,0.005212,0.005117,0.005673,0.005233,0.004467,0.004991,0.010078,0.006256,0.006107,0.001816,0.001891,0.001111,0.002083,0.001719,0.002049,0.00151,0.002696,-0.002233,-0.002443,0.001953,0.001037,0.001872,0.001542,0.001539,0.001127,0.005512,0.004913,0.000717,0.004994,0.000293,0.000571,0.000945,0.00093,0.001044,0.001702,0.001459,0.001212,0.000393,0.00609,0.005524,0.001066,0.006211,0.000562,-0.004599,-0.000642,-0.000446,9.6e-05,-0.004315,-0.004821,-0.006112,-0.00536,-0.009097,-0.006335,-0.002615,-0.00202,-0.002285,-0.002051,-0.001814,-0.002284,-0.002808,-0.001752,-0.006163,-0.00646,-0.007173,-0.001518,7.3e-05,-2.3e-05,-2.5e-05,-7e-06,1e-05,2e-06,0.0,0.000341,0.000473,0.000335,-1.3e-05,-8e-06,-4.3e-05,-0.000762,0.000151,-6e-06,-5e-06,-0.000944,-0.000942,-0.000651,-0.00069,0.003205,-0.000787,-0.000372,0.000309,-0.00056,0.000281,6.2e-05,-0.000639,-2.9e-05,-0.0,-1.2e-05,0.00077,0.000892,0.0011,0.001168,0.000484,0.001186,0.000369,-0.000359,-0.000794,-0.004417,-0.016096,-0.019539,-0.02228,-0.024619,-0.022264,-0.019217,-0.01197,-0.005086,-0.007151,-0.008147,-0.019149,-0.023213,-0.03197,-0.035937,-0.039345,-0.035582,-0.029592,-0.022455,-0.015272
0.000994,0.001809,3.449308,-0.003434,0.00269,0.002615,0.003573,3.458442,0.05735,0.005751,0.004086,0.001354,0.035537,0.042638,0.003899,0.003559,3.382102,0.125139,0.002344,0.118802,0.010483,0.087026,0.078793,-0.037965,-0.037389,-0.035815,0.000802,-3.9e-05,-4e-05,-0.001035,-0.000171,0.000956,-0.0062,4e-06,0.00385,8.6e-05,-1.1e-05,-1.2e-05,0.0,0.001448,0.000213,9e-06,-0.033956,4e-06,8e-06,0.035439,0.002027,-0.016321,0.012936,-0.257532,-3.13303,-0.947044,0.000442,-0.001899,0.006231,0.000229,0.000235,-0.000695,-7.4e-05,0.000185,0.000118,0.006165,0.000137,9.8e-05,0.034884,-0.000809,-0.000824,-0.000844,1.9e-05,0.034053,-0.000771,0.031231,-0.003837,0.036435,0.05987,0.072332,0.10574,0.101083,0.072702,0.03786,0.037638,0.002006,0.002007,0.002002,-0.002152,0.000438,0.000999,-0.001532,0.000841,0.027071,0.000502,-0.000964,0.000604,-0.003073,-0.040443,-0.03942,-0.033058,-0.038846,-0.020744,0.044619,0.057442,0.132859,0.006447,0.028048,-0.007041,0.000331,-0.001803,-0.000969,0.12134,-0.211889,-0.00773,0.049424,0.024083,-0.009348,0.001705,-2.370017,0.007271,0.062297,-0.007939,-0.034292,-0.033942,-0.003874,0.016131,0.006378,0.046984,0.13041,0.000626,0.001781,0.070263,0.004645,0.012735,-0.008301,0.144337,-0.034264,0.139383,0.018497,-0.177176,-0.102966,0.008106,0.005513,0.003262,0.034659,-0.10801,-0.041427,-0.167785,-2.328385,-0.093247,-0.012801,-0.055492,-0.159107,-0.077386,0.007326,0.007055,0.003755,0.003624,0.026817,-0.168432,0.040632,0.000194,3.3e-05,0.005185,1.5e-05,9e-06,3e-06,3e-06,1.2e-05,-0.000975,2.1e-05,1e-05,2.1e-05,3.6e-05,4e-06,0.000989,1.9e-05,1e-05,9e-06,0.000994,0.00099,0.001004,0.000997,0.02274,-0.001856,0.001652,0.129132,0.001091,0.001038,0.00086,-0.002364,-0.005325,0.002285,-0.003012,0.065927,-0.005571,0.008233,0.180983,-0.001017,0.000689,5.8e-05,4.3e-05,-0.121343,-0.251315,-0.153429,-0.329462,-0.319742,0.146002,-0.253573,-0.339734,0.023622,-0.280789,-1.272924,-0.141823,-0.651092,-0.187164,-0.211475,-0.099624,-0.384916,0.027082,0.144758,-0.269204,-1.413836
