0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
-0.005107,-0.006119,-0.005602,-0.011694,-0.00694,-0.00724,-0.007199,-0.011387,-0.011207,-0.005553,-0.011009,-0.009873,0.001631,0.002523,-0.003834,0.00105,0.000861,0.001117,0.001058,0.000789,0.00644,0.001353,0.000215,7.8e-05,0.000114,-0.000412,-0.006336,-2e-06,2e-06,0.00106,-0.005416,-0.011268,-0.010689,-0.016708,-0.012087,-0.017236,-0.017116,-0.017963,-0.017159,-0.011041,-0.005363,-0.006139,-0.006152,0.000288,-0.000685,-0.005846,0.00086,0.000843,0.000971,0.000622,-0.00525,-0.004941,-0.010719,-0.010809,-0.005482,-0.011345,-0.017255,-0.011297,-0.017919,-0.017524,-0.01865,-0.018701,-0.017658,-0.012724,-0.012281,-0.011586,-0.010587,-0.011311,-0.005383,-0.005321,-0.005108,0.006452,0.000632,-0.000109,-0.000209,0.000543,-0.004558,-0.004382,-0.004681,-0.004861,-0.010819,-0.005403,-0.005411,-0.01157,-0.006095,-0.012362,-0.006224,-0.012602,-0.012715,-0.012573,-0.006204,-0.006005,-0.005878,-0.006563,-0.005503,-0.011841,-0.012481,-0.011755,-0.011891,-0.011794,-0.012346,-0.012388,-0.01266,-0.012606,-0.006533,-0.006581,-0.005868,-0.005813,-0.005951,-0.012538,-0.006508,-0.012014,-0.005974,-0.006596,-0.012398,-0.012412,-0.012453,-0.006345,-0.005704,-0.00584,-0.011913,-0.005906,-0.005923,-0.000399,0.000216,0.000121,0.000159,0.000217,0.000167,-0.000421,0.000217,-0.005914,-0.005855,-0.005903,-0.006479,-0.006389,-0.006443,-0.011988,-0.005894,-0.011934,-0.006445,-0.005836,-0.006423,-0.006424,-0.000428,-0.005837,-0.000363,-6e-06,-0.000577,-0.006284,-0.006213,9.7e-05,-0.006305,-0.000179,0.00588,0.005998,0.012115,0.012524,0.0121,0.005773,0.005578,-0.000553,-0.000516,-0.005901,-0.006444,-0.000412,0.00049,0.000658,2.9e-05,0.005945,-6.9e-05,-0.00012,0.00053,-5.4e-05,-7.2e-05
-0.001369,0.003765,0.001922,0.00397,0.008231,0.009325,0.009178,0.001278,0.000564,0.001556,-0.000283,-0.006112,-0.004689,-0.009515,-0.006639,-0.001066,-0.000337,-0.001296,-0.001067,-4e-05,0.001376,-0.003613,0.002137,0.002654,0.002515,0.005942,0.005455,0.002957,0.002928,-0.00254,0.000422,-0.000498,-0.004251,-0.004605,0.002483,-0.002624,-0.003158,0.001607,-0.003044,-0.003185,-0.001725,0.002931,0.002831,-7e-06,0.005424,0.000231,-0.003743,-0.003686,-0.004259,-0.002734,-0.00371,-0.004943,-0.00656,-0.006262,-0.001716,-0.002842,-0.003845,-0.003284,0.00038,-0.002846,0.003677,0.003965,-0.002309,0.004562,0.001381,-0.00316,-0.009469,-0.004836,-0.00401,-0.004366,-0.005614,-0.001984,-0.003584,0.001301,0.001867,-0.003071,-0.008866,-0.010017,-0.008435,-0.007457,-0.00872,-0.004463,-0.004456,-0.004537,-0.00039,0.000326,0.000445,0.001941,0.002814,0.001973,0.000502,-0.000765,-0.001594,0.003251,-0.003957,-0.00268,0.001913,-0.003291,-0.002358,-0.003088,0.000926,0.001208,0.003232,0.002848,0.00315,0.003519,-0.001862,-0.002314,-0.001248,0.00231,0.002942,-0.001607,-0.001068,0.003769,0.001223,0.001354,0.001709,0.001565,-0.003631,-0.002441,-0.002736,-0.001895,-0.00174,0.00291,-0.002162,-0.0012,-0.001588,-0.002186,-0.001671,0.003158,-0.002191,-0.001965,-0.002619,-0.00218,0.002559,0.001575,0.002152,-0.002677,-0.002497,-0.003413,0.002078,-0.003366,0.001768,0.001769,0.003282,-0.003513,0.002443,0.000115,0.005191,-0.000167,-0.001264,-0.001226,0.002458,0.002421,0.005541,0.003787,0.003415,9e-06,0.003014,0.003714,0.005818,0.00614,0.005715,-0.000397,0.004187,0.004584,-0.003975,-0.005844,-0.000345,0.001336,0.000749,0.001346,-0.004385,0.000589,0.000797
-0.007254,-0.012277,-0.012944,-0.018919,-0.017482,-0.01705,-0.017088,-0.012941,-0.013201,-0.013015,-0.013521,-0.008847,-0.008742,-0.003698,-0.009333,-0.014347,-0.01408,-0.014475,-0.014407,-0.014008,-0.013682,-0.008502,-0.013132,-0.01292,-0.012979,-0.018552,-0.018486,-0.012794,-0.012807,-0.008134,-0.013617,-0.013738,-0.008328,-0.008192,-0.012426,-0.00731,-0.007541,-0.012495,-0.007484,-0.007833,-0.007519,-0.012479,-0.012554,-0.007084,-0.011703,-0.006649,-0.001706,-0.00169,-0.001955,-0.001257,-0.001376,-0.001927,-0.002357,-0.002216,-0.007575,-0.007757,-0.00788,-0.007972,-0.013019,-0.007406,-0.011456,-0.011306,-0.007138,-0.011373,-0.005742,-0.000758,0.003374,-0.001566,-0.001551,-0.001725,-0.002336,-0.001343,-0.001745,-0.006562,-0.006286,-0.001502,-0.003968,-0.00456,-0.003799,-0.003321,-0.003568,-0.001836,-0.001837,-0.001476,0.000218,0.000986,0.000642,0.001795,0.002227,0.001801,0.000662,2.5e-05,-0.000387,-0.005209,-0.001522,-0.000529,-0.00547,-0.000833,-0.000363,-0.00073,-0.005955,-0.005815,-0.004796,-0.00499,-0.005242,-0.005055,-0.000524,-0.000752,-0.000214,-0.005257,-0.005343,1.8e-05,-0.000117,-0.004922,-0.005796,-0.005726,-0.005546,-0.006031,-0.001423,-0.000817,-0.000556,-0.000543,-0.000464,-0.00577,-0.001097,-0.000608,-0.000811,-0.001118,-0.000854,-0.005648,-0.001124,-0.000588,-0.000925,-0.000699,-0.005531,-0.006039,-0.005737,-0.000534,-0.000863,-0.000918,-0.005779,-0.00132,-0.00594,-0.005941,-0.005577,-0.00141,-0.006021,6.1e-05,-0.004577,-0.006964,-0.007545,-0.00064,0.001733,0.001281,0.00978,0.008846,0.008207,0.013703,0.007972,0.001476,0.002551,0.003127,0.002907,0.007444,0.00253,0.002317,0.005216,0.004279,-0.000173,0.000263,0.000376,0.000677,0.005014,0.000295,0.000402
-0.079837,0.888166,0.118401,-0.077322,0.083164,-0.231305,0.020687,0.068124,0.056006,0.067462,0.069957,0.026603,-0.217571,-0.002137,0.057348,-0.188524,-0.274713,-0.042728,-0.047641,-0.103337,0.119475,0.041294,0.075791,0.069488,-0.03318,-0.09381,0.282234,0.017686,0.071324,0.034454,0.008901,0.067542,0.037053,0.025799,0.06692,0.002903,0.000978,-0.223651,0.04219,2.824871,0.024669,3.022522,0.047313,0.193289,-0.128782,-0.194014,-0.00411,-0.010941,0.036869,-0.000979,-0.006786,3.514224,0.904366,-0.029142,2.287237,0.203897,-0.168694,0.545084,3.699718,-0.019495,0.099054,0.068842,0.030234,0.065816,-0.18512,-0.169966,0.545009,-0.141514,1.533211,-0.114798,-0.074887,0.065208,-0.031396,-0.000332,-0.112372,-1.518964,-0.052811,-0.043338,-0.001708,0.146515,0.003775,0.0078,-0.003371,0.1345,0.003905,-0.002386,-0.00245,-0.018286,-0.039977,-0.060121,-0.002357,-0.000278,-0.001305,0.034194,4.588288,-0.00321,0.030355,-0.004302,-0.00343,-0.00491,0.032017,0.034078,0.032486,0.03207,0.034642,0.116464,0.110826,-0.0011,-0.002597,0.031739,0.033845,-0.004241,0.002135,0.034689,0.033072,0.031602,0.032269,0.032501,0.001332,-0.14119,-0.004466,0.019895,-0.002389,0.038083,-0.001459,-4.1e-05,-6e-06,-2.4e-05,0.000574,0.034598,-0.001447,-0.001991,-0.003708,0.009531,0.034188,0.034194,0.034187,-0.003953,-0.003715,-0.000826,0.034277,-0.003564,0.034241,0.0342,0.026498,-0.0026,0.039012,0.000163,0.036385,0.032574,-0.1076,-0.005851,0.013441,-0.000212,-0.027793,-0.032129,-0.030474,-0.067203,-0.010824,0.003398,0.003725,0.003697,-0.007932,-0.051647,0.027392,0.020484,0.065703,-0.025464,0.011614,0.004423,0.002232,0.01334,-0.036216,7e-06,8e-06
0.249798,0.458724,-0.006584,0.338251,0.063673,0.678256,0.189303,-0.017962,0.048171,-0.041993,0.028752,0.037741,0.503115,-0.04646,-0.048112,0.431939,0.663085,0.218974,0.278911,0.475331,0.081754,8.7e-05,0.013632,0.007506,0.172202,0.428598,0.104999,0.114239,0.011499,0.020516,-0.003392,0.042132,-0.031699,0.060384,0.041951,0.107774,0.111675,0.674872,0.031462,-0.327695,0.03716,-0.555939,0.057735,0.21085,0.706,0.572984,0.067461,0.10368,-0.077913,0.001939,0.012142,-0.498808,0.118225,0.134606,1.351821,0.343131,0.633766,0.834768,-0.54798,0.216814,0.016842,0.030947,0.053495,0.035722,0.670853,0.448046,0.524677,0.399325,2.045992,0.390754,0.327491,0.896837,0.106391,0.105118,0.131409,0.882034,0.198572,0.197573,0.01371,0.145328,-0.027094,-0.049852,0.043792,-0.463577,0.022596,0.034491,0.017836,0.19827,0.130938,0.216198,-0.010501,0.001506,0.015184,0.010855,-0.790207,0.029662,0.037527,0.030306,0.024511,0.042694,0.025738,0.034814,0.025789,0.025523,0.010729,-0.356288,-0.517271,0.033651,0.016584,0.025271,0.010007,0.030429,0.007791,0.008557,0.039028,0.037749,0.024909,0.02151,0.01805,-0.124248,0.03997,-0.080934,0.016925,-0.004294,0.012269,1e-05,3.7e-05,4e-06,-0.004174,0.005911,0.012272,0.015224,0.027328,-0.06853,0.008987,0.008924,0.008848,0.030529,0.027426,0.033129,0.008676,0.027603,0.008572,0.022171,0.033061,0.018022,-0.000898,-0.000146,-0.006845,0.020695,-0.10286,-0.005708,-0.057878,0.001599,-0.030481,-0.020342,-0.03593,-0.026511,-0.12922,-0.025478,-0.027334,-0.014596,0.081924,0.102405,-0.086918,-0.065245,-0.501201,-0.072908,-0.083574,-0.01332,0.001757,-0.095549,0.006363,1e-06,-2e-06
0.039295,-0.068682,0.130146,0.287748,0.028943,0.258145,0.073839,0.15596,-0.027599,0.17977,-0.041257,-0.061885,0.146882,0.13687,0.120738,0.360118,0.234953,0.083633,-0.119474,-0.260241,-0.024577,-0.039969,-0.01257,0.017911,0.265487,0.180129,0.501718,0.060781,-0.011538,-0.031252,-0.008249,-0.039771,0.123278,-0.08923,-0.039468,-0.070313,-0.068883,0.193597,-0.104929,4.694699,-0.028614,4.615934,0.00554,0.553032,0.224799,-0.008094,-0.222175,-0.206808,-0.065162,0.000535,-0.02662,4.174539,1.345858,-0.260407,-1.036476,0.484757,-0.049032,-0.384824,4.028992,-0.242399,-0.022681,-0.049164,-0.094021,-0.041028,0.2667,0.347353,-0.616857,0.118517,-1.601519,-0.079327,-0.360407,-0.902851,-0.21227,0.040993,-0.063779,-0.914961,-0.228267,-0.232242,-0.093001,-0.240515,0.072168,0.162167,-0.043983,-0.31038,-0.022079,-0.027027,-0.028561,0.076792,0.012074,0.052219,-0.013375,-0.036777,-0.02977,-0.00772,2.885296,-0.060437,-0.063675,-0.058585,-0.061814,-0.085821,-0.037386,-0.07046,-0.03795,-0.037382,-0.00889,-0.191119,-0.288954,-0.01662,-0.028716,-0.037623,-0.00839,-0.058576,-0.038912,-0.009762,-0.067353,-0.065408,-0.037964,-0.034664,-0.033729,0.154312,-0.054671,-0.074045,-0.028362,0.018009,-0.026511,-2.2e-05,-3.9e-05,-1e-05,-0.002234,-0.005557,-0.026316,-0.029259,-0.055306,0.150775,-0.008736,-0.008786,-0.008809,-0.058677,-0.055329,-0.062839,-0.009026,-0.055526,-0.009003,-0.037223,0.038037,-0.060387,-0.015062,-0.000121,0.02019,-0.035013,0.149537,0.007543,-0.065127,0.000819,0.057004,0.034544,0.064286,0.077962,0.019747,0.056245,0.055289,0.026016,-0.154337,-0.196416,-0.271516,-0.222899,-0.263607,0.16175,0.180067,0.026268,-0.002782,0.206165,-0.020443,5e-06,4e-06
8.4e-05,1.8e-05,-1.3e-05,-2.9e-05,0.000124,0.000325,0.00023,0.000216,0.00018,0.00025,0.000219,0.000325,0.000444,0.000549,0.000601,0.000602,0.000765,0.000845,0.000694,0.000341,0.000321,0.000129,9e-06,2e-06,-4.2e-05,0.005885,0.000101,0.000254,0.006036,0.00012,0.005964,3.9e-05,-6e-06,0.005878,0.000121,0.000261,0.006318,0.000397,0.006472,0.0005,0.006307,0.006389,0.000512,0.006264,0.00034,0.000224,4.2e-05,0.000173,0.000184,2.7e-05,0.00014,0.005864,0.005857,0.006006,0.000252,0.006201,0.006421,0.006399,0.006511,0.006438,0.006411,0.006251,0.006165,0.000263,7.1e-05,4.8e-05,0.000103,0.000255,0.000236,0.000327,0.000315,0.000385,0.000367,0.005943,1.4e-05,0.005986,0.005954,0.006082,0.000352,0.0062,0.00632,0.006352,0.006269,0.006144,0.000259,4e-05,-4e-06,-4e-06,-4.5e-05,-0.0,1e-06,2e-06,0.000136,0.005872,0.000245,0.000189,0.005883,6.8e-05,0.000123,8.8e-05,0.005856,3.7e-05,0.005916,0.005993,0.006054,0.006194,0.000349,0.00597,6.4e-05,-4e-06,0.005767,1.4e-05,-3.7e-05,-0.0,3e-06,6.7e-05,0.000163,6.3e-05,0.00018,0.000136,7.2e-05,-7e-06,0.0,-1.2e-05,1.4e-05,4.8e-05,5.8e-05,5e-05,8e-05,8.3e-05,1.5e-05,9.1e-05,0.000149,0.00012,8e-06,0.000148,0.000136,0.000108,0.00012,-0.005556,9.1e-05,0.000204,0.005898,0.000132,8.1e-05,-1.9e-05,-3e-06,0.00583,0.000125,-1e-06,-7.2e-05,3.3e-05,0.005698,-0.005688,-1e-06,8.1e-05,-0.0,-0.005808,-1.5e-05,-0.000173,-0.000157,3.2e-05,4.2e-05,3.9e-05,-0.005677,-0.005605,3.1e-05,0.0,0.000114,-0.005524,-0.005631,-3.7e-05,-4e-06,-9.4e-05,-1.2e-05
0.000478,0.00011,-6.9e-05,-0.000155,0.000703,0.001831,0.0013,0.00122,0.001018,0.001406,0.001223,0.001831,0.002507,0.003086,0.003383,0.003391,0.004315,0.004765,0.003919,-0.002164,0.001829,0.000745,5.7e-05,2.8e-05,-0.000234,-0.000813,0.000576,0.001438,7.6e-05,0.00068,-0.000332,0.000224,-0.004162,-0.000801,0.000706,0.001517,0.001798,0.002317,0.00273,0.002946,-0.002317,0.00234,-0.001118,0.001659,-0.002122,-0.002805,0.000253,0.00103,0.001094,0.000161,0.000829,-0.000687,-0.000726,0.000168,0.001538,0.00139,0.002775,0.00271,0.003436,0.00305,0.002943,0.001963,0.001428,0.001621,0.000464,0.000319,0.000656,0.001631,0.001506,0.002096,0.002016,0.006693,0.002283,0.000139,9.5e-05,0.000435,0.000244,0.001088,0.002318,0.00193,0.002778,0.003047,0.002524,0.001721,0.001772,0.00028,-3.8e-05,-3.1e-05,-0.000307,-6e-06,-1e-06,-1e-06,0.000927,-9.4e-05,0.001705,0.001311,1.1e-05,0.000466,0.000859,0.004965,-0.000154,0.000259,0.000285,0.000846,0.001315,0.002358,0.002517,0.0008,0.000469,-3.7e-05,-0.000663,0.0001,-0.000267,-7e-06,-2e-06,0.000495,0.001192,0.000458,0.001321,0.000988,0.00053,-4.3e-05,-1.4e-05,-0.000102,9.2e-05,0.000344,0.000424,0.000369,0.000586,0.000617,9.6e-05,0.000666,0.001106,0.000889,6.5e-05,0.00109,0.001017,0.000811,0.000888,0.002118,0.000681,0.001525,0.000467,0.000979,0.000605,0.004302,-2.6e-05,-3e-05,0.000903,-1.8e-05,0.0039,0.004694,-0.000999,0.001079,-1.4e-05,0.000614,-3e-06,0.000172,-0.000103,0.003135,0.003241,0.00019,0.00471,0.000253,0.00108,0.001616,0.000221,-1.8e-05,0.000844,0.002182,0.00138,-0.000272,-2.8e-05,-0.000686,-9e-05
0.000191,4.4e-05,-2.9e-05,-6.4e-05,0.000282,0.000736,0.000521,0.000489,0.000407,0.000563,0.000488,0.000729,0.001,0.001226,0.001342,0.001341,0.001701,0.001875,0.001534,0.006232,0.000713,0.000291,2.1e-05,1.1e-05,-9.3e-05,-0.000601,0.000224,0.000561,-0.000256,0.000262,-0.000414,8.3e-05,0.005449,-0.000598,0.000272,0.000585,0.000411,0.000895,0.000768,0.001132,0.005876,0.000609,0.006617,0.000346,0.006233,0.005973,9.6e-05,0.00039,0.000413,6.1e-05,0.000313,-0.000549,-0.000565,-0.000226,0.000576,0.000237,0.000758,0.00073,0.001001,0.000853,0.000808,0.000443,0.000244,0.000551,0.000171,0.000119,0.000245,0.000605,0.000556,0.000775,0.000744,-0.004527,0.000788,-0.00024,3.1e-05,-0.000131,-0.000202,0.000109,0.000842,0.000415,0.000723,0.000814,0.000626,0.000334,0.000636,9.9e-05,-1.7e-05,-1.2e-05,-0.000111,-4e-06,-0.0,-2e-06,0.000333,-0.000317,0.000612,0.00047,-0.000278,0.000166,0.000308,-0.005168,-0.000338,9e-05,-0.000182,1.6e-05,0.000184,0.000555,0.000892,-1e-06,0.000162,-1.8e-05,-0.000518,3.4e-05,-9.7e-05,-4e-06,-3e-06,0.000175,0.000422,0.000163,0.000468,0.000349,0.000187,-1.5e-05,-8e-06,-3.9e-05,3.2e-05,0.00012,0.000152,0.000131,0.000207,0.000217,3.4e-05,0.000234,0.000387,0.000314,2.3e-05,0.000383,0.000355,0.000285,0.000312,0.001025,0.000238,0.000534,-0.000118,0.000343,0.000212,-0.005402,-7e-06,-0.000295,0.000313,-9e-06,-0.005543,-0.005263,-0.000631,0.000656,-5e-06,0.000213,1e-06,0.000343,-3.3e-05,-0.005804,-0.005768,6.5e-05,-0.005251,8.8e-05,0.000659,0.000846,8e-05,-2e-06,0.000296,0.001046,0.000767,-9.4e-05,-1e-05,-0.000243,-3.4e-05
-4.8e-05,-5.5e-05,-4.2e-05,0.019926,-9.1e-05,0.001568,-6.9e-05,-5.9e-05,-0.003076,0.002997,0.000385,-0.000158,0.004196,0.002017,0.001591,0.002446,-0.007096,0.001921,-0.0006,-0.036557,0.001514,-7.8e-05,-8.4e-05,-0.000241,-9.7e-05,-0.073954,-0.000151,0.00158,-0.00353,-0.000148,0.005788,6.2e-05,-0.03896,0.000412,-0.000131,-5.2e-05,0.005028,0.000236,0.001056,0.000257,-0.034998,0.000919,-0.035963,0.001111,-0.034505,-0.031744,2e-06,-4.1e-05,-0.003209,-0.002023,5e-06,0.000434,0.000959,0.002331,0.006548,-0.008855,0.006458,0.003258,0.002197,0.0009,-0.002558,0.002646,0.002507,-2.384731,-0.000531,-0.000155,-5.7e-05,0.001584,0.000775,4.8e-05,-5.7e-05,0.03267,-2.390616,-0.002315,0.011434,-0.000158,-0.001792,0.002532,0.004274,0.001094,-0.004131,0.002124,0.0071,-0.002,0.001256,-0.004629,-0.000827,2.3e-05,7e-06,0.001584,-0.004981,-0.000153,2.6e-05,0.001012,0.001034,-4.8e-05,0.002525,3.1e-05,-0.000405,0.035915,-0.234471,0.000129,0.000995,0.000213,-0.013601,-0.000907,0.002478,0.061402,-4.6e-05,-4.1e-05,0.023828,0.009969,-0.000226,-7.1e-05,-5.5e-05,-3.7e-05,0.001505,-2e-05,5e-06,-0.004293,-0.000695,4.4e-05,6.5e-05,4.1e-05,4e-05,0.003469,7.5e-05,1.3e-05,1.5e-05,-9.2e-05,-1.2e-05,0.028609,0.00047,0.002107,0.000257,0.0,0.000382,-2.8e-05,-2.9e-05,0.000483,-1.5e-05,0.001479,0.000974,-4e-06,0.003715,0.036016,9e-06,0.001,0.001505,-0.005168,0.035864,0.035971,0.005271,-0.000758,-3.3e-05,-2.5e-05,-1.7e-05,0.001838,0.00037,0.03444,0.034447,0.004505,0.03494,0.010421,-0.00078,0.004853,0.00197,0.007574,0.006292,-0.059975,-0.010211,0.004731,-0.048322,-0.171808,0.000501
