0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222
0.006368,0.000995,0.000299,0.000359,0.000379,0.000436,0.000262,0.000162,0.0002,0.000233,0.000181,0.000133,-8e-06,-0.005653,-0.011418,-0.005534,-0.005637,-6.2e-05,0.00557,0.005202,-0.000483,0.005359,-0.000135,0.000248,0.000243,0.000384,0.00034,0.00019,1.2e-05,-6.9e-05,-0.000316,0.000562,-0.000283,-0.000219,0.000585,-5.4e-05,8e-06,0.000105,8.3e-05,0.000162,3.7e-05,-9e-06,-0.000113,1e-06,-7e-06,0.0,-2.9e-05,-4.2e-05,-0.000101,0.005772,0.006584,-0.000101,-1e-06,5e-05,1.6e-05,-0.005639,3.2e-05,0.005769,-3.9e-05,-0.000178,1e-06,0.000122,0.000136,0.00011,0.000103,-7e-06,-0.000107,-2.3e-05,-0.000104,-3.3e-05,-3.8e-05,3e-06,0.0,-2e-06,0.0,-8.3e-05,-4.8e-05,-0.000139,-8.8e-05,0.005733,1.2e-05,1.7e-05,-1e-06,-3e-06,3.9e-05,-7e-06,3e-06,0.000807,-6.4e-05,1.4e-05,-0.0,6e-05,4.4e-05,-8.9e-05,-0.000111,-5.9e-05,-9e-05,-7.8e-05,-0.00011,-5.2e-05,-2.6e-05,-4.8e-05,3.9e-05,0.000105,-0.0,2.7e-05,7.9e-05,8.9e-05,1.5e-05,-1.8e-05,1e-06,2e-06,-0.000102,1e-06,1.2e-05,2e-06,2e-06,7.6e-05,7e-06,-4e-06,-3e-06,2e-06,5e-06,7.3e-05,9e-06,-0.000158,-0.000811,-0.006878,-0.00638,-0.011151,-0.011351,-0.005441,-0.005031,-0.010484,-0.004618,-0.010443,0.001305,0.002688,-0.004151,0.001709,0.001963,0.001962,0.00704,0.012629,0.01277,0.017422,0.016269,0.01067,0.004428,0.004219,0.00427,-0.000464,0.00567,0.000157,0.00656,0.000948,0.001093,0.000157,0.000992,0.00085,-0.006178,0.000548,0.000757,0.000743,2.2e-05,-6.5e-05,-1e-06,1.8e-05,2.2e-05,0.00014,0.000107,0.00021,-0.005789,0.000279,0.000475,-6.3e-05,0.000248,0.000441,0.000112,0.00055,-0.000224,-0.000101,0.000663,0.011566,0.018022,0.023334,0.028511,0.03499,0.035462,0.02961,0.035884,0.037388,0.031227,0.025719,0.031777,0.018495,0.011052,0.010792,0.004378,-0.000903,-0.000632,-0.000681,0.000287,0.006449,0.001587,0.00779,0.006542,0.005488,-0.000553,0.004218,-0.001636,-0.00752,-0.007428,-0.001424,8e-06,8.1e-05,-0.000749,0.005232,0.00043,0.000382,8.1e-05,-0.001312,-0.007072
-0.003849,-0.007184,-0.002144,-0.002552,-0.002699,-0.003112,-0.001869,-0.001152,-0.001424,-0.001671,-0.001302,-0.000953,5.5e-05,-0.001568,-0.002338,-0.002498,-0.00175,0.000461,0.002245,0.004979,0.003628,0.003758,0.001014,-0.001865,-0.00183,-0.002886,-0.002564,-0.001425,-8.1e-05,0.000515,0.002367,-0.004165,0.002093,0.001605,-0.004353,0.000371,-6.8e-05,-0.000785,-0.000617,-0.001224,-0.000277,6.7e-05,0.000851,-1.1e-05,4.6e-05,-4e-06,0.000219,0.000305,0.000755,0.00075,-0.005241,0.000757,1e-05,-0.000372,-0.000122,-0.001761,-0.000235,0.000814,0.000289,0.001324,-4e-06,-0.000904,-0.001005,-0.000805,-0.000758,5.1e-05,0.000789,0.000171,0.000761,0.000244,0.000285,-2.1e-05,-1.3e-05,-9e-06,-1.8e-05,0.000604,0.00035,0.00102,0.000631,0.001054,-9.1e-05,-0.000121,5e-06,2.3e-05,-0.000282,5.5e-05,-1.7e-05,-0.005894,0.000449,-0.000102,1e-06,-0.000441,-0.000329,0.000632,0.000802,0.00043,0.000656,0.000566,0.000794,0.000378,0.000194,0.000351,-0.00029,-0.000772,2e-06,-0.000185,-0.000577,-0.000645,-0.000113,0.000128,-3e-06,-1.7e-05,0.000753,-2e-06,-7.9e-05,5e-06,-7e-06,-0.000556,-6.1e-05,1.6e-05,4.2e-05,-2e-06,-3.9e-05,-0.000535,-6.8e-05,0.001151,0.005898,0.006382,0.002825,-0.004243,-0.00295,-0.003315,-0.006621,-0.010317,-0.010418,-0.01136,-0.010829,-0.021574,-0.015009,-0.013959,-0.016044,-0.015922,-0.008148,-0.003847,-0.004566,0.006585,0.015198,0.010996,0.011761,0.01308,0.012403,0.003037,0.00233,-0.001281,-0.003872,-0.006721,-0.007708,-0.001105,-0.00703,-0.006047,0.000866,-0.003977,-0.005427,-0.005322,-0.000164,0.000426,-5e-06,-0.000128,-0.000148,-0.000963,-0.000733,-0.001452,-0.001874,-0.001921,-0.003279,0.000631,-0.002253,-0.002832,-0.000492,-0.003457,0.000951,0.00157,-0.003749,0.006645,0.00484,0.011064,0.017683,0.015634,0.012709,0.010035,0.009951,0.001943,0.002069,-0.002201,-0.000824,0.002222,0.006591,0.008016,0.008256,0.002544,0.001403,0.00161,-0.003738,-0.00318,-0.01047,-0.01007,-0.003572,0.002074,0.000981,0.008552,0.006769,0.005181,0.004878,0.005935,-0.001294,-0.001589,0.003117,0.004166,-0.003051,-0.002853,-0.001601,0.005456,0.003534
0.004255,0.002695,-0.001313,-0.001563,-0.001655,-0.00191,-0.001147,-0.000708,-0.000877,-0.001028,-0.000803,-0.000586,3.6e-05,-0.000483,-0.00048,-0.001056,-0.000596,0.000293,0.000909,0.002589,0.002227,0.00183,0.000619,-0.001143,-0.001123,-0.001772,-0.001578,-0.000879,-5e-05,0.000317,0.001457,0.004561,0.001286,0.000984,0.004456,0.000228,-4e-05,-0.00048,-0.000378,-0.000751,-0.00017,3.9e-05,0.000522,-8e-06,2.6e-05,-3e-06,0.000135,0.000187,0.000464,-1.7e-05,0.003436,0.000465,4e-06,-0.000229,-7.6e-05,-0.000606,-0.000143,2.2e-05,0.000176,0.000813,-3e-06,-0.000556,-0.000619,-0.000495,-0.000468,3.2e-05,0.000485,0.000105,0.000467,0.00015,0.000174,-1.3e-05,-8e-06,-7e-06,-1.3e-05,0.000371,0.000215,0.000627,0.000387,0.000169,-5.5e-05,-7.5e-05,2e-06,1.4e-05,-0.000174,3.3e-05,-1.1e-05,0.003517,0.000273,-6.3e-05,-1e-06,-0.000269,-0.000201,0.000388,0.000494,0.000264,0.000401,0.000346,0.000486,0.000233,0.000118,0.000215,-0.000178,-0.000473,2e-06,-0.000111,-0.000354,-0.000395,-6.9e-05,7.8e-05,-1e-06,-1e-05,0.000463,-1e-06,-4.8e-05,4e-06,-2e-06,-0.000341,-3.9e-05,8e-06,2.7e-05,-1e-06,-2.4e-05,-0.000328,-4.2e-05,0.000707,0.003611,0.004451,0.002273,-0.001632,-0.007956,-0.008669,-0.010735,-0.012613,-0.01326,-0.013418,-0.014189,-0.006641,-0.009307,-0.00918,-0.01067,-0.01072,-0.013546,-0.011258,-0.004261,-0.004704,0.001222,0.006402,0.00743,0.008295,0.007773,0.009442,0.008423,0.006546,0.004306,0.002961,0.002312,-0.00073,0.002764,0.00342,0.001106,0.004794,0.003836,0.00391,-0.000109,0.000279,-5e-06,-8.4e-05,-9.7e-05,-0.000635,-0.000483,-0.000961,-0.000705,-0.001273,-0.002176,-0.007035,-0.009019,-0.009384,-0.015353,-0.017439,-0.021969,-0.029311,-0.033307,-0.035022,-0.029307,-0.025486,-0.021254,-0.015643,-0.01012,-0.011475,-0.012253,-0.010641,-0.009958,-0.004703,-0.004399,-0.000538,0.003779,0.004783,0.005709,0.009906,0.008997,0.009143,0.012884,0.012568,0.015584,0.015177,0.012252,0.008667,0.008539,0.005665,0.005015,0.004525,0.00428,0.004349,0.006761,0.006539,0.002263,0.002346,0.005466,0.005608,0.006506,0.003921,0.003192
-0.036436,-0.039646,-0.001675,0.060705,-0.002194,-0.002499,-0.000102,-7.8e-05,-6.7e-05,-5e-05,-3.8e-05,-3e-05,-2.1e-05,-0.018227,-0.053759,-0.175765,-0.373283,-0.430769,-0.241339,-0.171598,-0.168995,-0.643991,0.030502,-0.002854,0.312514,-0.006013,-0.015161,0.005768,-0.007783,-0.001213,0.002368,-0.052615,0.002355,1e-05,-0.034852,-6.3e-05,-0.000104,-7e-06,-1.3e-05,-0.002316,9e-06,-2e-06,0.002318,-1.1e-05,-4e-06,-1e-06,-4e-06,-4e-06,-7e-06,0.002037,-0.034581,0.002309,-0.015988,-0.000111,-0.001305,-0.002218,-9e-06,0.002038,-0.016002,0.002317,0.0,-0.002316,-2e-06,-1.3e-05,-1e-05,3e-06,0.002333,-9e-06,-0.0,-0.016022,-0.016026,-1.2e-05,-1e-06,-1.3e-05,-9e-06,-4e-06,-1.1e-05,0.002325,-0.016023,0.002043,-2e-06,-1.2e-05,-3e-06,-1e-05,-6e-06,-0.000121,-0.015745,-0.04157,-1.8e-05,4.6e-05,3.7e-05,3.3e-05,1.4e-05,7e-06,1e-05,4e-06,-0.016008,7e-06,4e-06,-2e-06,1e-06,6e-06,-1.3e-05,-0.002321,-3e-06,-7e-06,2e-06,-2e-06,3e-06,0.0,-5e-06,-9e-06,0.002322,-2e-06,-7e-06,-3e-06,-3e-06,-2e-06,-1e-06,3e-06,-4e-06,-1.1e-05,3e-06,-1e-06,-4e-06,-6e-06,0.002328,-1.058495,-1.09688,-0.3768,-0.479824,-0.275446,0.077039,0.024741,0.026161,0.025286,0.027306,-0.057725,0.35587,0.127003,0.262562,0.182803,0.311225,0.740606,0.403901,0.391075,-0.075248,-0.112099,-0.395923,-0.295508,-0.383974,-0.566206,-0.166996,-0.071109,-0.026707,0.02618,-0.0504,0.048436,0.331036,0.001134,0.076558,-0.058998,0.52501,-0.055287,-0.006209,-0.015846,0.00029,0.000206,0.00053,9.7e-05,6.4e-05,2.6e-05,-0.002019,-0.002326,-1e-05,0.03827,1.446485,-0.039571,0.130934,0.529727,2.915887,-0.138394,0.177936,-0.499636,-0.769932,-1.114289,-1.012451,-0.97063,-4.151654,-0.259731,-0.273081,0.064402,0.205682,0.07621,0.290751,0.245222,-2.531081,0.032984,0.033051,0.497393,-0.045199,0.309483,0.364114,0.185212,-0.055592,-0.084738,-0.059595,0.147658,-0.017641,0.00387,-0.013549,0.00391,0.003819,0.002972,-0.033532,-0.033709,0.077858,-0.014437,-0.033815,-0.033371,-0.025427,0.005673,-0.006722
-0.011322,0.018646,0.016056,0.208544,0.016974,0.017183,-0.000132,-9.6e-05,-6.9e-05,-3.9e-05,-4.7e-05,-1.1e-05,-1.5e-05,0.038602,0.082633,0.06624,0.278516,0.185676,0.152503,0.111089,0.127445,0.106152,-0.012155,0.014818,-0.198761,0.017428,0.021039,-0.017965,-0.007879,0.000717,-0.017179,0.129072,-0.017206,4.1e-05,-0.009613,-0.000173,-0.000327,-3e-06,1e-06,0.017238,-7e-06,-3e-06,-0.01724,3e-06,2e-06,-1.1e-05,-1e-06,-1.4e-05,-3e-06,-0.015194,-0.005956,-0.017229,0.118866,-0.000334,-0.003982,0.014668,-7e-06,-0.015209,0.118856,-0.017213,0.0,0.017213,-1.2e-05,7e-06,1e-05,-3e-06,-0.017229,5e-06,-2e-06,0.118806,0.118821,-1e-05,-8e-06,-1e-06,-1e-06,-2e-06,4e-06,-0.017208,0.118737,-0.015213,-1e-05,6e-06,1e-05,1.3e-05,-1e-06,-0.000363,0.001084,0.011148,0.000132,8.1e-05,6.4e-05,4.5e-05,2.4e-05,2.6e-05,1e-05,2.6e-05,0.118549,8e-06,-2e-06,-3e-06,4e-06,-3e-06,1.4e-05,0.017179,-4e-06,6e-06,-1e-06,-1.2e-05,0.0,-9e-06,9e-06,-2e-06,-0.017174,2e-06,-1.1e-05,3e-06,1e-06,-4e-06,-1e-06,9e-06,6e-06,8e-06,-1e-05,1.3e-05,-1.6e-05,-1.5e-05,-0.017165,-2.754811,-2.736471,-0.762223,-0.6796,0.284684,0.039519,0.072572,0.058376,0.072681,0.05951,0.066942,-0.304871,-0.056828,-0.14139,-0.225427,-0.250826,-0.698409,-0.800666,-0.766175,-0.609969,-0.389454,0.315972,0.135961,0.195661,0.255205,0.080562,0.133852,-0.010379,0.072446,0.030905,-0.038562,-0.223955,-0.0247,-0.060214,-0.001874,-0.337811,0.017908,0.003753,0.118248,0.000321,0.000202,0.001252,0.000102,6.6e-05,4.8e-05,0.015237,0.0171,1.3e-05,0.005324,2.510709,1.275483,1.253778,1.692663,5.815615,3.324327,2.775235,1.864037,1.601848,1.730082,0.704328,1.28555,-4.419394,0.275857,0.224197,-0.184297,-0.855506,-0.385253,-0.667883,-0.438759,-4.028773,-0.293747,-0.169638,-0.39223,-0.008835,-0.247704,-0.325284,-0.067334,0.653472,-0.165667,-0.040329,-0.163809,-0.027801,-0.03152,0.086942,-0.019895,-0.019971,-0.01756,-0.010402,-0.010566,0.0863,0.088461,-0.010727,-0.011886,-0.005094,-0.035588,-0.001387
0.012246,-0.001355,-0.023636,0.452896,-0.02366,-0.02337,-0.00033,-0.000279,-0.000184,-0.00013,-0.000102,-7.8e-05,-5.2e-05,0.001446,-0.000759,0.252243,0.194094,0.413584,0.22591,0.197606,0.172109,-0.078694,-0.004959,-0.027037,-0.163633,-0.024494,-0.023199,-0.025446,-0.016259,0.000562,0.023173,-0.176365,0.023062,9.8e-05,0.005581,0.000164,0.000233,1.9e-05,1.7e-05,-0.022969,5e-06,7e-06,0.022982,2e-06,-0.0,7e-06,1e-06,8e-06,1e-06,0.029237,0.0107,0.022982,-0.158628,0.000201,0.002561,-0.028914,-8e-06,0.029241,-0.158637,0.022975,-3e-06,-0.022993,1e-06,-8e-06,-8e-06,-4e-06,0.022991,-1e-06,-1e-06,-0.158662,-0.158667,4e-06,-3e-06,-5e-06,-7e-06,-7e-06,-7e-06,0.022988,-0.15872,0.029241,-2e-06,-9e-06,-1.3e-05,-1.1e-05,-3e-06,0.000226,-0.002749,-0.017529,0.000236,0.00014,0.000114,7.7e-05,5.8e-05,2.9e-05,3e-05,1e-05,-0.158856,6e-06,9e-06,9e-06,4e-06,2e-06,-2e-06,-0.023026,1e-06,-0.0,-0.0,8e-06,-1e-06,3e-06,-3e-06,4e-06,0.023022,-2e-06,8e-06,-3e-06,-1e-06,-0.0,-2e-06,-4e-06,-0.0,2e-06,6e-06,-8e-06,8e-06,1e-05,0.023015,-4.684898,-4.687128,-1.440863,-1.299164,0.161104,-0.085065,-0.110908,-0.080323,-0.109371,-0.073612,-0.085926,-0.145819,-0.16539,-0.271565,-0.061659,-0.099863,-0.102449,-1.814781,-1.696501,0.158102,-0.171653,0.121044,0.27893,0.329278,0.233695,0.137332,-0.124307,0.007783,-0.230241,-0.040231,-0.040816,-0.213208,-0.057368,-0.065552,-0.00148,-0.289465,-0.014845,0.002846,-0.158308,0.000882,0.000593,-0.000144,0.000255,0.000218,0.000149,-0.029152,-0.023018,6e-05,-0.001384,4.818551,0.220544,1.788408,1.575117,5.114681,-0.7199,0.417766,-0.282129,-0.63652,0.130911,1.268982,0.640458,-0.082783,0.438878,0.537462,0.291304,0.8773,0.331128,0.066038,0.194805,-3.031126,0.383116,0.19117,-0.334176,0.004341,-0.233351,-0.291142,-0.026901,-0.638461,0.166874,0.000927,-0.093189,-0.013579,0.053266,-0.110259,0.016255,0.016128,0.022729,0.002688,0.002981,0.095708,-0.104477,0.002853,0.003183,0.011546,0.045185,-0.005967
0.001916,0.001698,-0.005869,-0.007052,-0.001476,-0.00799,-0.001366,-0.001561,-0.002094,-0.001692,-0.001666,-0.008195,-0.000514,-0.006129,0.001108,0.007057,0.000851,-3.1e-05,7e-06,-0.000787,-0.008219,-0.001615,-0.008324,-0.014557,-0.008928,-0.008895,-0.008666,-0.01509,-0.015307,-0.015545,-0.015406,-0.008926,0.00583,0.007111,0.022465,0.022934,0.029464,0.024109,0.024469,0.012031,0.00952,6.6e-05,-0.000112,-0.007272,-0.009257,-0.003417,-0.002807,-0.002417,-0.000678,-0.004905,-0.003754,-0.010182,-0.004684,-0.007508,-0.006686,-0.00665,-0.005905,-0.005663,0.000504,0.000676,0.00147,-0.006722,-0.006996,-0.001034,-0.000448,-0.000784,-0.001255,-0.005924,-0.007036,-0.006254,-0.006325,-0.006316,1.7e-05,-0.005669,-0.005211,-0.005192,0.000309,-3e-05,-0.00141,-0.000193,-3e-06,-0.005658,-0.005846,-5e-06,-0.005738,-0.005841,-0.005549,-0.005709,-0.005154,-0.005607,-0.006164,-0.007736,-0.006603,-0.006634,-0.006764,-0.000594,0.005418,-0.000866,0.005231,-0.000815,0.005045,-0.001468,0.003872,-0.002435,-0.002555,-0.001583,-0.002162,-0.001742,-0.000887,-0.005593,0.000835,0.00068,-0.000387,0.000854,0.001034,0.000145,0.005824,0.006277,0.006286,0.000596,0.001127,0.001381,0.000836,-0.00115,-0.000649,-0.001871,0.00573,0.000818,0.000859,-0.003987,0.003563,0.009844,0.004978,0.004852,0.00504,0.00502,0.004823,0.005105,0.010275,0.009818,0.003905,0.002423,0.000723,-0.000782,-0.006529,-0.000714,-0.000941,-0.001278,-0.000497,-0.000157,0.000491,0.001632,0.003227,0.009602,0.004558,0.01044,0.010939,0.005991,0.011225,0.010952,0.010475,0.004073,0.002809,0.002375,0.002589,-0.004128,0.001474,0.002564,0.00206,0.000693,0.00066,0.001348,0.002796,0.002244,0.00952,0.010662,0.015202,0.015202,0.026139,0.040846,0.041281,0.042464,0.038872,0.032353,0.032036,0.031574,0.031532,0.026386,0.017766,0.016576,0.011698,0.000741,0.007339,-0.004036,-0.003648,0.003415,0.00272,0.003502,-0.001301,-0.000856,-0.000909,0.004772,-0.00186,-0.000763,-0.006588,-0.001089,-0.007265,-0.001464,-0.002016,-0.001597,-0.001067,-0.00176,-0.0013,-0.001049,-0.001051,-0.000998,-0.000663,0.000113,0.000275,-3.2e-05,-0.000562,-0.001658,-0.001461
0.003732,0.003423,-0.00116,-0.003445,-0.006179,-0.005241,-0.002633,-0.003016,-0.004043,-0.003259,-0.003205,-0.002228,0.002345,0.001741,0.005432,0.003346,0.004941,-6.5e-05,6e-06,-0.001505,-0.005558,-0.003067,-0.002379,-0.000743,-0.003454,-0.003339,-0.002864,-0.001479,-0.001835,-0.002174,-0.00184,-0.003116,0.000832,-0.000181,0.004986,0.00594,0.001738,0.005356,0.006184,0.009597,0.004856,-0.003194,-0.000216,0.0028,-0.001,-0.003265,0.001247,-0.001317,0.002022,0.007426,0.009597,0.007459,0.004494,-0.004125,0.000743,0.000817,0.002083,0.002656,0.000938,0.001257,0.002745,-0.002633,-0.003135,-0.005222,-0.00414,-0.00476,-0.005626,0.002364,-0.003169,0.001596,0.001468,0.001488,3.4e-05,0.002665,0.003494,0.003524,0.000559,-4.9e-05,-0.005853,-0.00034,-0.0,0.002685,0.002346,-8e-06,0.002536,0.002353,0.002879,0.002595,0.003581,0.002773,0.001787,-0.004274,0.000922,0.00098,0.000756,-0.001037,-0.003115,-0.001511,-0.003447,-0.001423,-0.003782,-0.002571,-0.005849,-0.00426,-0.004469,0.000544,-0.003781,-0.003049,-0.001554,0.002899,0.001456,0.001189,-0.00399,0.001496,0.001807,0.000255,-0.002482,-0.001691,-0.001674,0.001044,0.00198,0.002427,0.001476,-0.005176,-0.001145,-0.006752,-0.00263,0.001441,0.001665,0.005715,0.006308,0.004683,0.008839,0.00864,0.009005,0.008873,0.01196,0.015792,0.012381,0.011582,0.013669,0.010977,0.004591,-0.00144,0.000891,-0.001304,-0.001712,-0.002323,-0.0009,-0.000285,0.000884,0.003093,0.009123,0.008054,0.011563,0.009574,0.010527,0.014247,0.011192,0.010727,0.009925,0.010825,0.00848,0.007673,0.011312,0.01146,0.009204,0.014458,0.013453,0.007714,0.007645,0.008914,0.014817,0.010565,0.01472,0.020081,0.012859,0.012859,0.008476,-0.001396,-0.000553,-0.001005,-0.011267,-0.014511,-0.0185,-0.022964,-0.026605,-0.023662,-0.035344,-0.038527,-0.034992,-0.030164,-0.027058,-0.019631,-0.01872,-0.014464,-0.012658,-0.007469,-0.003138,0.001283,-0.002202,-0.00447,-0.004495,0.001517,0.003457,0.000736,0.001868,-0.000148,-0.001448,-0.000444,0.000822,-0.00419,-0.003092,-0.002494,-0.002494,-0.002369,-0.001574,0.003625,0.004009,0.003278,0.002034,-0.003922,-8.4e-05
0.002339,0.00207,0.006909,0.005488,0.003868,0.00437,-0.001642,-0.001886,-0.002537,-0.002049,-0.002018,-0.001509,-0.006276,0.000997,-0.004315,-0.005528,-0.004625,-4.5e-05,0.0,-0.000957,0.004118,-0.001957,-0.001645,-0.000741,-0.002361,-0.002305,-0.002009,-0.001288,-0.001537,-0.001791,-0.0016,-0.002264,-0.007165,8.2e-05,-0.004028,-0.003419,0.001799,0.003909,0.004402,0.006249,0.003184,0.005718,-0.000139,-0.006076,-0.008505,-0.009855,-0.014782,-0.008667,-0.006502,-0.003127,-0.001708,0.004566,0.002786,0.005002,0.000344,0.00039,0.001218,0.001577,0.000616,0.000821,0.001769,0.00596,0.005636,0.004435,0.005137,0.004738,0.004179,0.001228,0.005626,0.000887,0.000802,0.000816,2.8e-05,0.001578,0.002113,0.002133,0.00037,-2.5e-05,0.004039,-0.000218,3e-06,0.001582,0.001362,-4e-06,0.001485,0.001368,0.001709,0.001521,0.00216,0.00164,0.001,0.004907,0.000448,0.000471,0.000323,-0.000671,-0.00185,-0.000986,-0.002069,-0.000932,-0.00229,-0.001684,-0.003649,-0.002804,-0.002947,-0.00754,-0.002509,-0.002024,-0.001033,0.001722,0.000974,0.000795,0.005266,0.000994,0.0012,0.000169,-0.001443,-0.000922,-0.00091,0.000688,0.001305,0.001602,0.000969,0.004315,-0.000755,0.003451,-0.001551,0.000958,0.000972,0.003578,0.004143,0.003244,0.005744,0.005569,0.005759,0.005658,-0.000196,-0.005545,-0.007577,-0.008072,-0.006865,-0.008529,-0.004824,-0.0009,0.000456,-0.000811,-0.001066,-0.001449,-0.00056,-0.000176,0.000559,0.00182,-0.001973,-0.002614,-0.000487,-0.001646,-0.001083,0.001094,-0.000741,-0.001041,-0.001547,-0.001059,-0.002441,-0.002932,-0.00823,-0.008144,-0.009446,-0.013753,-0.014309,-0.010272,-0.010308,-0.009537,-0.013412,-0.008524,-0.013381,-0.017534,-0.014393,-0.014393,-0.016944,-0.022703,-0.0222,-0.015148,-0.014011,-0.008671,-0.003735,0.000928,0.006094,0.007846,0.015648,0.013792,0.016004,0.018973,0.013532,0.010599,0.011167,0.006257,-0.000166,-0.004541,-0.001914,-0.006755,-0.001349,-0.002731,-0.002765,-0.006627,-0.005448,-0.007117,-0.006448,-0.00768,-0.008509,-0.0079,-0.007113,-0.002658,-0.001966,-0.00159,-0.001592,-0.001515,-0.00101,-0.005346,-0.005097,-0.005565,-0.006368,-0.002531,-0.007749
0.009952,4.302892,-0.354261,-0.032756,-0.033281,-0.024497,-0.127516,-0.153126,-0.207361,-0.29775,0.013896,0.003979,-0.015476,0.010368,-0.163138,0.048165,0.044815,-0.011239,0.000494,-0.000232,-0.034243,-0.000599,-0.001977,0.046675,-0.002516,0.000899,0.128895,-0.004065,0.000191,-0.129547,-0.003315,-0.009927,0.036078,-0.009913,-0.135878,0.036426,-0.007941,0.003391,0.128435,0.410698,0.008565,-0.033802,-0.000782,0.04102,-0.329817,0.453082,0.189686,0.029996,0.032493,0.155094,-0.127299,-0.125899,0.008611,-0.03428,-0.002209,-0.002037,0.448513,-0.006443,-0.000194,-0.000335,1.393932,-0.043146,-0.035546,-0.032595,0.384876,-0.038664,-0.033492,4.569971,-0.033471,-0.001558,-0.001128,-0.001084,-7.2e-05,-0.001042,-0.001029,-0.000655,-2.5e-05,-2.1e-05,-0.032476,-2.4e-05,-0.000173,-0.001243,-0.000988,-1.1e-05,-0.000979,-0.000988,-0.00099,-0.001,-0.000992,-0.001199,-0.001034,-0.034061,0.479576,-0.001368,-0.000965,8e-06,0.00081,-0.000394,0.002509,-0.000987,0.000894,1.9e-05,0.000765,-0.000674,-0.001043,0.020609,0.000144,-0.01074,0.000593,-0.000523,0.000311,0.000266,-0.031778,0.00012,0.000485,7.4e-05,0.001029,0.001404,0.001015,2.1e-05,2e-05,0.000402,1.3e-05,-4.728962,-0.00043,0.478103,-1.378055,-0.339589,-4.773259,-0.003737,-0.000202,-0.701368,0.005154,0.008416,-0.485148,-0.692834,0.036941,0.074916,0.195961,0.060074,0.06499,0.068384,-0.066567,0.001402,-0.000785,-0.048387,0.000975,-0.000184,-0.002148,-0.00027,-0.006019,-4.806587,0.027473,-4.441576,-1.235643,-0.169078,-1.469948,-0.091508,0.031226,0.111981,-1.401711,-0.178804,-4.380382,-0.208056,-1.302309,-0.976326,-1.072742,-0.187865,-3.922116,0.058197,0.058628,-1.235293,-0.303071,-1.080669,-0.261877,0.136665,0.098719,0.098719,5.019028,0.503306,3.671275,4.199516,1.723968,4.439065,4.25426,3.981109,3.748581,0.467123,3.433165,3.703037,-0.121925,4.023257,0.819265,-0.194686,-0.411278,-1.11043,0.857425,-0.006703,-0.262529,-0.154328,-0.319869,-0.022218,0.013039,0.034275,0.027499,-0.231253,-0.297298,0.045869,0.04577,0.048596,0.03971,0.000856,0.009352,0.011163,0.000379,1.1e-05,0.011981,0.010057,0.04109,-0.27239,0.022501,-0.319108,0.035635
