0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
-0.006146,-0.006236,-0.013042,-0.01256,-0.012686,-0.019535,-0.013101,-0.019562,-0.019597,-0.018865,-0.012402,-0.013129,-0.013145,-0.006441,0.000104,0.000151,0.00676,-0.000151,0.005647,-0.000698,-0.000734,-0.000286,-0.000467,-0.000138,0.00033,0.000315,-5.5e-05,-0.007052,8e-06,-0.006408,-0.00635,-0.006428,-0.006437,-0.006354,-0.00641,-0.012781,-0.006148,-0.012597,-0.013182,-0.013129,-0.005954,-0.000264,-0.006734,-0.00615,0.000129,9e-06,-1.8e-05,-0.000154,-7.4e-05,1e-06,5.5e-05,9.3e-05,-0.006475,4e-05,4.4e-05,0.000107,0.000109,0.000123,7.2e-05,3.6e-05,-0.006533,-1.2e-05,0.000118,0.000111,-0.006443,-0.006433,0.000126,-0.006422,-0.006412,-0.006566,-0.006626,-0.0065,-0.006542,-0.006496,-0.013469,-0.013937,-0.006803,-0.006221,-0.006369,0.000136,0.00017,-0.006292,0.000118,0.00033,-0.006187,0.000244,0.000151,-0.006396,0.000121,-0.006436,-0.006477,-0.006505,-2.6e-05,-0.000156,-0.000147,-0.006666,-1.6e-05,-0.000426,-0.006449,-0.006476,-0.006485,-0.006491,-0.013573,-0.007023,-0.007,-0.006504,-0.006558,-1.5e-05,8e-06,-0.006552,-0.000478,5.1e-05,2e-05,-1e-05,-0.006567,-0.006593,-3.8e-05,-0.006602,-0.006598,-0.006575,-0.006561,-0.006572,-0.006583,-0.006613,-0.006597,-0.006593,-0.006563,-0.006552,-0.006491,-0.006546,-0.006551,-3.1e-05,-0.006548,-3.2e-05,-2.4e-05,-2.2e-05,-1.6e-05,0.000423,0.00649,-2e-06,0.006494,-5e-06,-0.006063,-9e-06,-8e-06,-0.006502,-7e-06,-0.0,0.006493,-5e-06,-4e-06,-5e-06,-2e-06,0.000429,-2e-06,0.000428,-1e-06,0.006501,0.0,-5e-06,-3e-06,-5e-06,-2e-06,-0.0,1e-06,-0.0,0.0,0.000431,4e-06,3e-06,0.006943,0.013466,0.019975,0.019524,0.019995,0.019476,0.013074,0.013043,0.006056,-0.000404,-0.007362,-0.001335,-0.007256,-0.007728,-0.001217,-0.00117,-0.008193,-0.008682,-0.002651,-0.015569
-0.0023,-0.00176,-0.000116,-0.00369,-0.002863,-0.00072,0.000127,-0.000322,5.4e-05,-0.005361,-0.004887,0.000843,0.001128,-0.000589,-0.000944,-0.001357,-0.002291,0.000737,0.006418,0.005513,0.005289,0.001959,0.003543,0.00125,-0.002289,-0.002168,0.00047,0.004152,-8.2e-05,-0.000953,-0.001521,-0.000797,-0.0007,-0.001523,-0.001,-0.002521,-0.003703,-0.004464,0.000289,-0.000337,-0.006273,0.001357,0.000729,-0.004333,-0.001481,-8.6e-05,0.000227,0.001828,0.000886,-7e-06,-0.000658,-0.001114,-0.000602,-0.00048,-0.000512,-0.001295,-0.00132,-0.001491,-0.000878,-0.000444,9e-06,0.000107,-0.001503,-0.001394,-0.001169,-0.001325,-0.00166,-0.001504,-0.001712,0.000413,0.001257,-0.000466,0.000175,-0.000516,0.003049,0.006806,0.00088,-0.004965,-0.002655,-0.002324,-0.002898,-0.004267,-0.00207,-0.005782,-0.00649,-0.00432,-0.002695,-0.003178,-0.002266,-0.00299,-0.002012,-0.001478,0.000508,0.003195,0.00305,0.001945,0.000267,0.003173,-0.002755,-0.002223,-0.002116,-0.002032,0.003243,0.003917,0.003308,-0.00192,-0.000349,0.000534,-0.000194,-0.000402,0.005031,-0.001611,-0.000574,0.000354,-1.1e-05,0.000952,0.001324,0.00158,0.001412,0.000599,-0.000427,0.000683,0.001094,0.002591,0.002543,0.002582,0.001378,0.000923,0.001321,0.001265,0.002211,0.003269,0.003508,0.004395,0.003937,0.003641,0.002557,-0.004434,0.000595,-8.4e-05,0.000244,0.000485,-0.005708,0.001083,0.001267,0.00117,0.000946,-3.4e-05,0.000229,0.000698,0.000427,0.000859,0.00024,-0.005607,0.00027,-0.005794,-0.000136,-0.000449,-2.1e-05,0.000681,0.000508,0.000868,0.000385,4.2e-05,-0.00052,-1e-06,-6.3e-05,-0.005657,-0.000578,-0.000766,-0.006742,-0.007051,-0.004661,0.001308,-0.004003,0.003143,0.000729,-4.2e-05,0.004403,0.002702,0.006355,0.011694,0.003349,0.008052,0.008415,0.006918,0.012701,0.018554,0.024248,0.021344
-0.009111,-0.008728,-0.006887,-0.001406,-0.0008,0.001411,0.001384,0.00167,0.001938,0.006064,0.005778,0.001854,0.002048,0.000191,-0.000674,-0.000975,-0.002263,-0.007539,-0.012102,-0.01221,-0.012324,-0.006666,-0.005503,0.000923,0.006426,0.006514,0.000348,-0.004437,-5.4e-05,-8.5e-05,-0.000504,2.8e-05,0.0001,-0.000505,-0.000121,-0.00064,-0.00211,-0.002076,-0.006702,-0.007167,-0.004042,-0.007129,-0.007006,-0.002632,-0.001103,-6.2e-05,0.000171,0.001366,0.000661,-5e-06,-0.000493,-0.000832,0.00015,-0.000355,-0.000379,-0.000967,-0.000988,-0.001117,-0.000657,-0.000331,0.000607,8.2e-05,-0.001126,-0.001045,-0.000278,-0.000397,-0.001241,-0.000532,-0.000691,0.00091,0.001542,0.000243,0.000726,0.000206,-0.004723,-0.010094,-0.006946,-0.00316,-0.001424,-0.001757,-0.002196,-0.002662,-0.001578,-0.004418,-0.004387,-0.003319,-0.002071,-0.00186,-0.001744,-0.00173,-0.000969,-0.000556,0.000398,0.002478,0.002365,0.002085,0.000212,-0.005846,-0.001546,-0.001138,-0.001056,-0.000994,-0.004657,-0.004705,-0.005179,-0.000916,0.0003,0.00042,-0.000145,0.000254,-0.004409,-0.00125,-0.000445,0.000277,0.000554,0.001303,0.001034,0.001788,0.001656,0.001022,0.00022,0.001085,0.001398,0.002551,0.00251,0.002536,0.001606,0.001255,0.001506,0.001508,0.002223,0.002495,0.003202,0.003341,0.002983,0.002748,0.001927,0.00485,-7.4e-05,-6.8e-05,-0.000338,0.000363,0.004413,0.000815,0.000954,0.001396,0.000711,-2.4e-05,-0.000346,0.000521,0.000319,0.000645,0.000182,0.00398,0.000204,0.00384,-0.000103,-0.000854,-1.9e-05,0.000507,0.00038,0.000652,0.000291,3.4e-05,-0.000388,-1e-06,-4.9e-05,0.003943,-0.000433,-0.00058,0.002607,0.001843,0.003091,-0.000645,0.003557,0.000709,-0.000602,-0.001147,-0.005459,-0.006178,-0.011074,-0.015798,-0.013353,-0.018013,-0.018294,-0.019464,-0.022705,-0.026401,-0.030766,-0.031874
-0.166687,0.104855,0.07398,0.013526,-0.28101,-0.174609,1.483105,0.762018,-0.024527,-0.058844,0.013328,-0.442859,0.011114,-0.060867,-0.249831,-0.08609,1.080632,0.26663,-0.088323,4.344449,-0.110045,0.100398,0.038433,-0.012158,-0.037654,-0.035194,-0.00026,0.033916,-0.021584,-0.001538,-0.17012,-0.000927,-0.001992,-0.004115,-0.0021,1.166608,0.001411,-0.203159,0.031672,0.015306,-0.119461,0.040687,0.033606,-0.046582,-0.000319,-0.002636,-0.000384,0.003531,0.002076,-0.000738,-0.000968,-0.11716,-0.001043,0.000175,3.5e-05,-0.000464,-5.7e-05,-0.0,-0.000196,-3.4e-05,-0.002173,0.22994,0.031474,-0.00374,-0.002828,-0.002126,-0.002279,-0.005848,0.005711,0.008718,0.051965,0.004201,0.026633,0.162556,0.027845,1.043958,0.033527,-0.040433,0.002142,0.371597,-0.003194,-0.066003,-0.173156,-0.033031,-0.001741,0.010851,0.036583,0.168124,0.014628,-1.105302,-0.004961,-0.00237,-0.377165,0.172059,0.053453,0.078883,-0.440532,0.036094,-0.002883,0.012967,-0.003315,-0.000335,0.033434,0.034007,0.037212,0.000878,-0.127469,-0.00114,0.042359,0.017877,0.035988,0.098649,-0.000765,0.001587,-0.048999,0.030142,-0.003084,-0.006618,-0.010477,-0.457901,-1.413348,0.165835,0.259326,-1.302173,-0.394529,0.047669,0.079489,-0.001356,-3.824584,0.003144,-0.000811,0.207854,0.022268,-0.147178,0.006869,-0.096276,0.002226,-0.036231,0.006466,-0.001259,0.007032,5.5e-05,-0.039184,-0.000117,-0.002886,-0.007549,-0.001109,6.4e-05,0.002106,0.001678,8e-06,1.9e-05,2e-05,-0.036446,-0.00645,-0.036531,4.4e-05,0.001782,-0.000106,5e-06,1.4e-05,2e-06,1e-06,2e-06,-4e-06,7e-06,1e-06,-0.036455,0.541902,-0.196266,-0.217835,-0.345435,-0.285137,-0.104351,1.026523,0.113976,4.079069,-0.278853,-0.367873,-0.250221,-0.157471,-0.138286,-0.148875,-0.086495,-0.0774,-0.158454,-0.208836,-0.015803,0.141305,-0.282834
0.219171,1.144892,0.256346,0.290676,0.601803,0.419652,2.235637,0.468662,0.528324,0.216837,0.676145,0.938947,0.320234,0.446198,0.593074,0.306152,2.678096,0.532389,0.440794,0.569245,0.545853,0.214236,0.058266,0.100238,-0.010848,-0.007581,-1e-06,0.006532,0.048311,0.013794,0.402213,0.011959,0.014785,0.030488,0.015221,1.741394,0.015964,0.510226,0.033395,0.071436,0.337971,-0.010676,0.018559,0.13063,-0.003476,-0.003736,-0.000543,-0.009679,-0.01565,-0.001112,-0.003493,0.222015,0.012569,-0.00036,3e-06,-0.000677,-8.3e-05,-1.5e-05,-0.000266,-2.5e-05,0.015048,-0.594193,-0.06746,0.010592,0.014573,0.015191,0.015066,0.028506,0.005264,-0.007752,-0.132213,0.0066,-0.053782,-0.356062,0.027376,2.165555,0.134092,0.189496,-0.003496,0.572109,-0.004748,0.198531,0.452674,0.081512,0.005159,-0.010056,-0.088285,-0.542343,-0.03168,-1.743305,0.032654,0.02852,-0.577952,-0.480277,-0.198422,-0.173223,-0.424127,0.007923,0.03243,-0.018497,0.02812,0.019605,0.021538,0.022267,0.008049,0.018688,-0.141341,-0.554438,-0.118499,-0.03938,0.006724,-0.299453,0.003704,0.001734,-0.415955,-0.098246,0.017195,0.019658,-0.002606,-0.632634,-1.615484,-0.499529,-0.802878,-2.380953,-1.004363,-0.296971,-0.34419,-0.387386,-0.010311,-0.066493,0.016205,-0.477459,-0.194127,-0.271445,-0.010734,-0.018579,-0.015538,0.011204,-0.022723,-0.002921,-0.024522,-0.000192,0.02573,-8e-05,-0.012865,0.012388,0.002194,2.9e-05,-0.015217,-0.015801,-3.1e-05,1.3e-05,1.4e-05,0.011158,0.011379,0.011429,3e-05,-0.015505,-0.000133,-1.5e-05,0.0,-1e-06,-4e-06,-2e-06,-3e-06,3e-06,-1e-05,0.011128,0.561311,0.443343,0.445533,0.575135,0.561726,0.650217,2.530093,1.418474,0.755324,0.846856,1.192771,0.976768,0.71673,0.757123,0.651979,0.647028,0.535365,0.866457,0.71512,0.571447,0.215314,-0.064953
0.110471,-0.076044,-0.262224,-0.411348,-0.381005,-0.31241,-1.559349,1.274853,-0.238212,-0.429547,0.047087,-0.163325,-0.198304,-0.112196,-0.067996,-0.273388,-1.335972,-0.055157,-0.127646,2.957053,-0.133927,-0.026334,-0.176044,-0.172191,0.00844,0.005254,-0.000164,-0.009596,0.031773,-0.030272,0.231485,-0.031385,-0.029559,-0.053626,-0.029274,-1.886052,-0.063418,0.23297,-0.066072,-0.041285,0.160083,-0.016871,-0.036647,0.015053,0.000293,0.004013,0.000591,-0.006724,0.024133,0.001166,-0.001529,0.389759,-0.031056,-0.000223,1e-05,0.000747,0.000101,7e-06,0.000288,3.7e-05,-0.029073,-0.404108,-0.077988,0.007648,-0.028179,-0.029252,-0.023876,-0.019224,-0.066022,-0.043342,-0.093208,-0.032996,-0.074145,-0.522005,-0.065035,-1.597526,-0.039721,-0.18598,-0.043778,-0.644467,0.005133,0.060861,0.30688,0.023338,-0.06895,-0.03918,-0.056595,-0.20726,-0.019243,1.762989,-0.017633,-0.020428,0.600984,-0.338149,-0.298505,-0.384668,0.440621,-0.008406,-0.055394,-0.08662,-0.024486,-0.031256,-0.041771,-0.037207,-0.0146,-0.033126,0.145368,-0.094553,-0.087786,-0.070905,0.019404,-0.238769,0.001971,-0.0017,-0.040988,-0.073129,0.004136,0.004203,0.009653,0.712784,1.700587,-0.353467,-0.337894,1.599823,0.657909,0.22326,0.205425,0.062396,-3.809122,0.147411,-0.02773,-0.333324,-0.069947,0.33693,0.021058,-0.089374,0.024505,-0.017492,0.025488,0.001055,0.024695,-0.000154,-0.046573,3.7e-05,0.021809,0.001538,0.001325,0.000132,0.029316,0.02434,5.7e-05,3.1e-05,1.7e-05,-0.017796,0.005868,-0.017594,8.2e-05,0.029534,0.000127,2.8e-05,1.4e-05,1.5e-05,1e-05,1e-06,7e-06,2e-06,8e-06,-0.017822,-0.48131,0.307892,0.479672,0.647401,0.65463,0.301694,-1.215431,-0.329563,3.30049,-0.070147,0.143194,-0.075896,0.213163,0.302827,0.377324,0.163904,0.404112,0.358856,0.548571,0.429586,0.231564,0.070222
0.006895,0.006902,0.007184,0.007417,0.007611,0.008043,0.015014,0.01501,0.014832,0.014509,0.020869,0.014035,0.007054,0.006769,0.006637,8.8e-05,-0.006347,0.000299,0.000244,5.8e-05,-0.000102,4.2e-05,0.00676,0.006822,0.006747,0.013313,0.0133,0.019913,0.013464,0.013392,0.013409,0.013264,0.013091,0.013039,0.013068,0.013025,0.012943,0.013103,0.006719,0.006754,0.006787,0.0068,0.013336,0.013249,0.019604,0.013185,0.019576,0.012983,0.01293,0.012943,0.012947,0.006413,0.006486,0.006453,0.006311,0.00628,0.006288,0.012747,0.019358,0.019494,0.019566,0.019634,0.019548,0.01969,0.019678,0.019569,0.01306,0.013008,0.006427,0.006574,4.9e-05,-0.006498,-0.006497,4.4e-05,2.8e-05,-0.006491,4.6e-05,6.9e-05,2.4e-05,-2e-06,-1.7e-05,-3.9e-05,0.000101,0.006479,7.4e-05,0.006439,0.006458,0.006464,0.006495,0.006471,0.006452,0.006428,0.006455,0.006492,0.006515,0.006493,0.006488,0.006463,0.006466,-9.4e-05,-6e-05,-3.4e-05,-2.8e-05,0.006573,-2.2e-05,-2.1e-05,0.006581,0.006599,0.006606,0.006602,0.006804,-5e-06,0.006618,-3e-06,-4e-06,-3e-06,-5e-06,0.006627,-3e-06,-4e-06,0.000198,0.000203,0.006853,0.006648,0.006861,1e-06,0.006655,-1e-06,-2e-06,-2e-06,0.006654,0.006653,0.006656,0.006656,0.006661,0.006657,0.006655,0.006657,3e-06,1e-06,-0.0,1e-06,-2e-06,0.0,-0.00024,-9e-06,3e-06,-0.006657,0.0,1e-05,-9e-06,-4e-06,8e-06,5e-06,-5e-06,1e-06,-1e-05,1e-06,1e-06,-1e-06,3e-06,-6e-06,0.006656,2e-06,1e-06,-9e-06,0.0,1e-06,-6e-06,-0.006488,-0.006663,-0.01379,-0.026987,-0.033285,-0.039946,-0.033531,-0.027072,-0.027219,-0.027566,-0.020972,-0.014243,-0.007401,-0.000667,0.005978,0.006121,0.012666,0.01247,0.005899,0.012411,0.012285
0.004738,0.004788,0.006369,0.00354,0.004649,0.007224,0.008821,0.009236,0.008402,0.006889,0.005326,0.004438,0.002557,0.00078,-5.8e-05,0.000584,0.001957,0.001952,0.001588,0.000389,-0.000666,0.000273,0.005155,0.001227,0.000771,0.000352,0.000337,0.000438,0.006149,0.001305,0.001583,0.000564,-0.000749,-0.001157,0.003763,0.0034,-0.001977,0.004116,0.001142,0.001495,0.00188,0.00209,0.001806,0.006104,-0.000779,0.005823,0.004265,0.003941,0.00348,0.003677,0.003815,0.003899,-0.000634,-0.001056,-0.002892,-0.003393,-0.003349,-0.004712,-0.004265,-0.00249,0.004642,-0.000427,0.004775,0.000627,0.000728,0.006295,0.007781,0.006714,0.005746,0.001334,0.00143,0.000709,0.000726,0.001262,0.000783,0.000769,0.001244,0.001843,0.000657,-6.6e-05,-0.000449,-0.001081,-0.005916,-0.001105,-0.006747,-0.002492,-0.002138,-0.002101,-0.001235,-0.002264,-0.003314,-0.004441,-0.00391,-0.002647,-0.001767,-0.003188,-0.003873,-0.00595,-0.006278,-0.005569,-0.003793,-0.002502,-0.001958,-0.002008,-0.001745,-0.001715,-0.002481,-0.001394,-0.000925,-0.001978,-0.006672,-0.000898,-0.001021,-0.000771,-0.001164,-0.000651,-0.001263,-0.001231,-0.001349,-0.001001,-0.007232,-0.007951,-0.007182,-0.000568,-0.00588,-0.001096,-0.000256,0.000346,0.000162,0.000219,-1.9e-05,0.000126,-0.000185,0.000146,-0.000469,0.000135,0.000534,0.000208,-0.000258,-6.3e-05,6.6e-05,-0.000118,9.3e-05,-7e-06,0.005314,0.000654,-0.000196,-0.000211,7e-06,-0.000729,0.000722,0.000278,-0.00052,-0.00032,0.000317,-1.2e-05,0.000718,3e-06,-4e-06,0.000176,-0.000266,0.000432,0.000238,-8.7e-05,2e-06,0.000505,-4e-06,-3e-05,0.000377,0.000645,0.000447,0.013277,0.012065,0.003634,0.003598,0.005826,-0.001209,-0.004743,0.006869,0.014987,0.024711,0.021022,0.023001,0.031797,0.027563,0.027892,0.033235,0.034358,0.033423,0.034113
-0.004934,-0.004896,-0.003782,0.002425,0.003192,0.004974,0.005964,0.006188,0.005581,0.004497,0.003301,0.002786,0.001607,0.000409,-0.000153,0.000389,0.001419,0.00131,0.001066,0.00026,-0.000449,0.000177,-0.004679,0.000703,0.000394,-5e-06,-2.3e-05,-8.4e-05,-0.004157,0.000602,0.000777,9.5e-05,-0.00078,-0.001051,-0.005764,-0.006007,-0.001599,-0.005536,0.000601,0.000836,0.001085,0.00122,0.000881,-0.004243,-0.000996,-0.004437,-0.005625,-0.005681,-0.005986,-0.005857,-0.005767,-0.005538,-0.000601,-0.000879,-0.0021,-0.002435,-0.00241,-0.003507,-0.003406,-0.002228,-0.005445,-0.000878,-0.005382,-0.000196,-0.000126,-0.004377,-0.003183,-0.003903,-0.004338,0.000675,0.000944,0.00068,0.000694,0.000846,0.000527,0.000719,0.000829,0.001227,0.000435,-4.5e-05,-0.0003,-0.00072,0.004003,-0.000943,0.00345,-0.001873,-0.001643,-0.001622,-0.001046,-0.001741,-0.002449,-0.003212,-0.002863,-0.002015,-0.001423,-0.00239,-0.002861,-0.004289,-0.004524,-0.00383,-0.002617,-0.001802,-0.001355,-0.001621,-0.001214,-0.001195,-0.001961,-0.001211,-0.000885,-0.001621,0.003216,-0.000633,-0.000958,-0.000542,-0.000816,-0.000459,-0.000886,-0.001108,-0.001026,-0.000706,0.003058,0.002552,0.002845,-0.000652,0.003763,-0.000776,-0.000431,0.000243,0.000112,0.000153,-0.000264,-0.000163,-0.000386,-0.000155,-0.000592,-0.000168,0.000113,-0.000118,-0.000188,-5.1e-05,4.4e-05,-8.7e-05,6.2e-05,-7e-06,-0.00442,0.00046,-0.00014,0.000112,6e-06,-0.000517,0.00051,0.000196,-0.000369,-0.000228,0.000223,-8e-06,0.000506,3e-06,-0.0,0.000125,-0.000189,0.000304,-9.3e-05,-6.2e-05,2e-06,0.000359,-2e-06,-2.1e-05,0.000266,0.000772,0.000503,-0.006427,-0.00677,-0.004405,-0.004134,-0.010978,-0.016285,-0.018798,-0.026977,-0.029587,-0.030916,-0.025554,-0.024235,-0.026092,-0.020941,-0.0208,-0.024936,-0.023777,-0.024625,-0.02398
0.03846,0.023883,0.039467,0.006746,-0.689256,-0.000882,-0.000196,0.004248,0.007001,-0.001293,0.003397,0.006597,0.00086,0.002293,0.001068,-0.003629,-0.00101,4.7e-05,0.004501,0.00013,2.9e-05,2.3e-05,0.036472,0.002551,-0.055778,0.002912,0.004082,0.00427,0.03852,0.002346,0.000523,1.019257,0.001775,-0.000145,0.039152,0.037669,0.003554,0.064776,0.003313,0.072854,0.004999,-0.007556,0.002517,0.038612,0.007496,0.040228,0.037714,0.039974,0.015814,0.02806,0.03478,0.068083,0.068881,0.124822,0.065291,0.042787,0.119167,0.113333,0.103965,0.084681,0.064712,0.068137,0.129508,-0.664687,-0.0373,0.07568,0.020078,-0.77433,0.032671,0.001797,-0.812414,-0.000518,-0.000793,0.004811,-0.000294,-0.000531,0.001386,0.001065,0.004641,5e-05,-2.8e-05,-0.000866,-0.040899,-0.008765,-0.045971,0.021293,0.121119,-0.006853,0.000675,-0.002942,-0.007569,0.002226,0.0895,-0.005162,-0.006664,-0.008385,0.011695,0.029511,0.067406,0.165831,-0.01214,2.531321,-0.005379,-0.000265,-0.007115,0.091646,0.002294,0.165169,0.010026,0.022759,0.050733,-0.015997,0.012394,0.048032,-0.003147,0.111663,-0.001032,-0.005566,2.57534,0.065979,0.019063,-0.025658,-0.041983,-0.005124,-0.040094,0.064431,0.012515,-0.000316,-0.004073,0.012932,0.007296,0.00061,0.090313,-0.003521,0.036544,-0.002687,-0.000495,0.002961,-0.000261,0.017089,0.005579,6e-06,-0.002546,0.002092,0.035784,1e-05,6e-06,-0.00098,1.2e-05,-1e-06,0.000872,-0.005987,-6e-06,0.154482,-0.000852,-1.1e-05,0.00088,6e-06,2e-06,0.001983,0.000285,-0.00354,0.001607,1.3e-05,0.006032,-3e-06,1.1e-05,-1e-06,5e-06,-1.085739,-2.766007,-0.125144,-0.43398,-3.114315,0.086378,0.119335,1.845599,-0.165316,-0.021931,-0.222808,-0.212425,-0.146852,-0.091116,-0.001132,-0.660854,-0.125415,-0.062155,-0.115471,-1.371327,-1.065182
