0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
-0.005764,-0.012129,-0.017907,-0.011607,-0.006442,-0.005455,0.000571,-0.005743,-0.005173,-0.005325,-0.006549,-0.006608,-0.012678,-0.012172,-0.017921,-0.018057,-0.011969,-0.016249,-0.023002,-0.023202,-0.017316,-0.016706,-0.022973,-0.023254,-0.017727,-0.018194,-0.023707,-0.017851,-0.017926,-0.018626,-0.018504,-0.019036,-0.012333,-0.013192,-0.018734,-0.007583,-0.012895,-0.006345,-0.006334,-0.00627,-0.005592,-0.006134,-0.005535,-0.005507,-0.006089,-0.006131,-0.000235,-0.006101,-0.006173,-0.005567,-0.012084,-0.012289,-0.012431,-0.01254,-0.012565,-0.012295,-0.012015,-0.006056,7.2e-05,4.3e-05,-2.8e-05,-3.9e-05,0.000591,0.00064,0.000652,0.000491,0.000421,0.000301,0.000287,-0.000319,0.000258,0.000299,0.000256,-0.000392,0.000238,0.000278,0.005488,0.006062,0.000837,0.006076,0.000249,0.0003,0.000337,-0.000301,-0.006114,-0.005634,-0.005696,-0.011037,-0.00476,-0.004751,-0.010447,-0.010953,-0.010889,-0.011334,-0.006023,-0.005986,-0.006007,-0.005493,0.000235,0.000714,0.000625,0.000529,0.000522,0.000526,-0.004613,-0.005039,-0.004999,-0.00541,-0.005889,-0.011115,-0.011089,-0.005871,-0.005842,-0.011474,-0.011441,-0.011424,-0.011416,-0.016982,-0.011314,-0.01129,-0.016847,-0.011209,-0.01118,-0.011168,-0.005197,-0.010411,-0.005204,0.000359,-0.005235,-1.3e-05,-5e-06,8e-06,7e-06,1e-05,5e-06,6e-06,0.000363,0.000361,-2e-06,0.00036,3e-06,-8e-06,-9e-06,0.011516,0.011535,0.017181,0.017258,0.017292,0.022556,0.016957,0.01654,0.016108,0.004877,0.00405,-0.001964,-0.002312,-0.002666,-0.00261
0.000953,0.003905,0.002853,0.001178,0.005947,3.9e-05,-0.000286,0.001358,-0.002549,-0.001817,0.005323,0.0056,0.005838,0.002317,0.000774,0.001454,0.000999,-0.009846,-0.005549,-0.004596,-0.004192,-0.009041,-0.008214,-0.006567,-0.00325,-6.3e-05,-0.004185,-0.002633,-0.002004,0.003629,0.00266,0.006963,0.001673,0.009279,0.005674,0.014031,0.008349,0.003871,0.003933,0.003304,-0.002774,0.001897,-0.003371,-0.003732,0.001485,0.002056,0.002902,0.001779,0.002779,-0.002788,0.002552,0.005699,0.00828,0.010649,0.011502,0.008282,0.004416,0.003074,-0.001262,-0.000729,0.000449,0.000619,-0.006216,-0.007016,-0.007201,-0.004579,-0.003433,-0.001519,-0.001295,0.005064,-0.000861,-0.001535,-0.000813,0.006198,-0.000522,-0.001174,0.005735,-0.000181,-0.006781,-0.000476,-0.000748,-0.001571,-0.002104,0.004698,0.00456,0.000308,0.001553,-0.002544,-0.006699,-0.006835,-0.008799,-0.003292,-0.004468,3.3e-05,0.005476,0.005135,0.005862,7e-05,0.000888,-0.004352,-0.002061,0.000371,0.000578,0.000513,-0.007511,-0.003382,-0.004441,-0.000576,0.005564,0.000298,0.000246,0.006817,0.006475,0.005537,0.005648,0.006666,0.007372,0.006512,0.006913,0.006699,0.005289,0.00498,0.005031,0.004884,-0.000799,-0.006985,-0.002099,-0.00441,-0.005772,-0.000934,-0.000115,0.000866,0.000891,0.0012,0.000518,0.000729,-0.004625,-0.004909,-5.1e-05,-0.004932,0.000416,-0.000743,-0.00102,-0.008917,-0.008992,-0.01093,-0.010406,-0.010353,-0.003363,-0.00353,0.002679,0.007927,0.005873,0.013861,0.016524,0.018616,0.020712,0.018855
-0.013092,-0.018113,-0.01829,-0.019586,-0.024524,-0.020716,-0.021409,-0.020068,-0.015256,-0.014864,-0.017937,-0.017787,-0.017178,-0.012055,-0.01249,-0.012088,-0.012842,-0.011643,-0.015866,-0.015314,-0.015621,-0.011364,-0.010402,-0.009397,-0.007857,-0.005871,-0.000596,-0.000129,0.00026,-0.003575,-0.004187,-0.008851,-0.005305,-0.007873,-0.002299,-0.005362,-0.001116,0.002915,0.002937,0.002532,0.006048,0.00165,0.005668,0.005443,0.001385,0.001734,0.001784,0.001559,0.002167,0.00601,0.002477,0.004372,0.005896,0.007261,0.007734,0.005772,0.003476,0.002243,-0.000734,-0.000423,0.000261,0.00036,0.003476,0.003009,0.0029,0.004439,0.005112,0.006229,0.006357,0.002936,0.006599,0.00621,0.006622,0.003545,0.006771,0.006397,0.002821,0.006515,0.010266,0.006344,0.006613,0.006149,0.005852,0.002611,0.00295,0.007598,0.008268,0.0134,0.017687,0.017612,0.016972,0.01296,0.012334,0.007766,0.003279,0.003085,0.003453,0.007328,0.007334,0.011514,0.012673,0.013874,0.01396,0.013894,0.017095,0.012325,0.011805,0.006902,0.003089,0.007698,0.007658,0.003653,0.003467,0.003399,0.00344,0.003901,0.004222,0.004185,0.003968,0.003861,0.003577,0.003042,0.003055,0.002983,0.006636,0.010838,0.006046,0.004637,0.004417,-0.000414,-5e-05,0.000389,0.000399,0.000535,0.000232,0.000324,0.004545,0.00442,-2.1e-05,0.004409,0.000186,-0.000331,-0.000456,0.001865,0.00183,0.000569,0.000791,0.00081,-0.003076,-0.002776,-0.006616,-0.010887,-0.011058,-0.020702,-0.02574,-0.031362,-0.036946,-0.037735
0.56734,3.760897,-0.405021,4.120362,-0.169931,1.260588,1.387519,4.695107,0.353033,-0.070604,-0.043264,0.038117,0.051123,0.053852,-0.012522,0.055729,0.062556,0.293417,0.04387,1.602882,0.018117,-0.017897,-0.007225,0.016216,-0.023588,0.042398,-0.017929,0.00881,-0.018556,0.028906,0.024131,1.683161,0.020861,0.059513,-0.021869,0.071628,0.035884,-0.187937,0.001259,0.00396,-0.027135,-0.049053,-0.024662,-0.040326,-0.057057,-0.003186,0.006954,0.001995,-0.001826,-0.031328,-0.00171,0.004988,-0.006042,-0.023982,0.005198,-0.014961,-0.010627,0.003036,3.7e-05,-0.000541,0.005373,-0.00041,-0.037011,-0.036817,-0.037699,-0.03655,-0.036403,-0.03462,-0.03458,0.001983,-0.034559,-0.025818,-0.03247,0.002397,-0.034339,-0.034534,0.004293,-0.032494,-0.070865,-0.032967,-0.033676,-0.033619,-0.032331,0.004235,0.001348,-0.035407,-0.028281,-0.149902,-0.096296,1.038319,-0.071318,-0.063516,-0.064522,0.002971,0.017986,0.013894,0.014849,-0.032581,0.023836,-0.05764,-0.07117,-0.068626,-0.050653,-0.067165,-0.062303,-0.063199,-0.059481,-0.036773,-0.037547,-0.023878,-0.025572,0.012873,0.015684,-0.025476,0.001736,0.014473,0.002054,-0.130753,0.012754,0.015249,-0.000413,0.007886,0.011737,0.037149,-0.031804,-0.069839,0.118218,-0.045702,-0.046446,-0.00296,-0.00243,0.000136,0.000103,8.9e-05,6.2e-05,5.1e-05,-0.040789,-0.038556,4.2e-05,-0.036753,0.007926,0.036707,-0.003577,1.337967,0.403491,-0.138858,-0.097082,-0.099502,-0.078821,-0.186291,0.03041,-0.05649,-0.061855,-0.097112,-0.035052,0.088702,0.078802,0.101254
1.752406,0.637724,1.915648,0.762912,1.542263,0.884544,0.503036,0.077295,1.306366,1.002131,0.873839,0.357878,0.301881,0.058842,0.57143,0.055466,0.021388,1.079406,0.135951,0.22648,0.55446,0.686702,0.683978,0.225856,0.528033,-0.095141,0.3968,-0.069408,0.371071,0.023766,0.051676,-0.270347,0.082668,0.000355,-0.14042,-0.004329,0.005325,-0.52591,0.000883,-0.489986,-0.060432,-0.396818,-0.1246,-0.375648,-0.494768,0.040923,-0.258619,-0.243639,0.019519,0.014955,0.052842,-0.087215,0.118207,-0.505677,-0.401634,0.146464,-0.209082,-0.019528,0.009832,-0.0076,0.008627,-0.00059,0.009912,0.01017,0.008989,0.010468,0.023397,0.000435,-0.004981,-0.016256,-0.005869,-0.427691,-0.000148,-0.015553,-0.005551,-0.005803,-0.030969,-0.021035,-0.003726,-0.008429,0.000185,-0.00405,-0.003249,-0.01315,0.001032,0.010926,-0.198597,-0.848359,-0.120195,1.268702,-0.577279,-0.059522,-0.17085,-0.573452,-0.19297,-0.10348,-0.121526,-0.05928,-0.617583,-0.131757,0.007385,-0.009798,-0.196932,-0.031366,-0.477008,-0.081907,-0.109953,0.01206,-0.02032,-0.070902,-0.062564,-0.101715,-0.142352,-0.1138,0.019367,-0.099631,0.019609,-0.10453,-0.101276,-0.098779,0.034386,-0.070719,-0.084987,-0.235762,-0.078236,-0.070407,-0.710256,0.022844,0.040224,-0.002204,-0.00246,-4.4e-05,-1.7e-05,-1.3e-05,-1e-06,1.1e-05,0.014235,0.017901,0.000128,0.010855,0.008671,0.038767,-0.003317,1.319201,0.451512,0.356642,0.264618,0.276718,0.316013,0.76423,0.014711,0.47023,0.523844,0.984694,0.850004,0.519734,0.702694,0.616805
-0.936548,2.684629,-0.639529,2.922521,-0.127931,0.141212,0.093814,2.470807,-0.676567,0.29349,0.308902,-0.040783,-0.123112,-0.033481,0.243885,-0.068718,-0.086268,-0.252647,-0.122472,0.602482,0.255172,0.283562,0.281505,0.198197,0.234999,0.080366,0.121072,0.073836,0.144511,-0.078573,-0.060339,0.166386,0.001315,-0.014118,0.158199,0.007458,-0.018478,0.72175,-0.008959,-0.359633,-0.07403,-0.000495,-0.157185,-0.58469,-0.073427,0.007777,-0.193128,-0.214753,-0.029038,-0.025164,-0.042479,-0.115353,-0.180607,-0.539136,-0.546618,-0.140293,-0.444661,-0.02785,0.006691,-0.003412,-0.012553,0.000823,-0.017089,-0.017469,-0.015834,-0.018039,-0.009015,0.009993,0.006187,0.023674,0.005573,-0.284377,0.003626,0.022991,0.005167,0.005537,0.052527,0.034794,-0.018165,0.043324,0.00692,0.004358,0.001818,0.019814,-0.007921,-0.025776,-0.166007,-0.09429,0.110912,-1.989992,-0.253514,0.137075,-0.203241,-0.206344,0.105052,0.162009,0.186879,-0.068081,-0.149345,0.133675,-0.010914,0.012126,-0.105855,-0.005326,-0.343369,0.161551,0.110076,-0.022061,0.057956,0.115949,0.120838,0.164921,0.17266,0.193075,-0.038782,0.157545,-0.039241,0.12687,0.159892,0.156504,-0.067871,0.140369,0.134178,0.044918,0.149553,0.112147,-0.217323,-0.009842,-0.038318,0.004358,0.003536,0.00017,9.6e-05,7.3e-05,4.4e-05,1.9e-05,-0.019029,-0.014408,0.000127,-0.017346,-0.011573,-0.05154,0.00428,-1.732881,-0.354149,0.516427,0.219051,0.226195,0.311718,0.309303,0.117773,0.413244,0.373366,0.474491,0.581189,0.374849,0.481895,0.435621
0.007254,0.007418,0.007366,0.007458,0.007497,0.007459,0.007554,0.007401,0.007014,0.006962,0.006776,0.006534,0.006498,0.012463,0.012446,0.0065,0.012726,0.006798,0.00704,0.012998,0.012927,0.006626,0.006333,0.006238,0.006067,0.005953,0.00603,0.006155,0.006064,0.000228,0.006169,0.006242,0.000183,0.012107,0.006165,0.012107,0.005973,0.011881,0.005844,0.005912,0.011931,0.011985,0.011995,0.006075,0.006017,0.005979,0.005977,0.005947,0.005918,0.005936,0.005972,0.006041,0.006065,0.006031,0.006065,9.9e-05,0.005996,0.005976,0.00598,0.005942,0.005894,0.00586,0.005812,0.005714,0.011586,0.011531,0.017587,0.017753,0.017743,0.017906,0.017963,0.017896,0.01784,0.017831,0.017929,0.01792,0.00595,0.005956,0.005963,-2.6e-05,-1.2e-05,-0.006065,1e-06,1e-06,-3.8e-05,-3.8e-05,-2.4e-05,-4.1e-05,-4.7e-05,0.005969,-6.7e-05,0.005949,0.005973,-4e-05,-2.3e-05,-1e-06,2e-06,0.006,0.005995,0.005994,0.005973,0.005821,0.005976,0.005982,0.011872,0.012103,0.006025,0.006054,-1.3e-05,0.006085,-2e-05,0.006115,0.000178,-1.3e-05,-1.1e-05,-0.000209,-1.3e-05,-0.000201,-0.006565,-0.000389,-0.000384,-0.000195,-0.000193,-0.000195,-1e-06,-2e-06,-3e-06,0.006188,0.006187,0.012588,0.006398,0.00619,0.006203,0.006207,0.006205,0.006418,0.000221,0.006191,-1e-06,-6e-06,-7e-06,0.0,-0.006196,-0.006407,-0.006411,-0.006596,-0.012976,-0.01276,-0.018997,-0.01914,-0.019023,-0.012823,-0.012714,-0.00658,-0.006737,-0.00078,-0.000942,-0.001242
0.014691,0.015925,0.015682,0.012051,0.008523,0.008372,0.009235,0.008189,0.005923,0.005649,0.004492,0.002845,0.00265,0.001518,0.001239,0.002923,0.003849,0.005474,0.007617,0.006714,0.006437,0.004728,0.002369,0.001588,0.004689,-0.000885,0.004359,0.005533,0.000155,0.00669,0.001182,0.001915,0.001708,0.000486,0.001333,0.000626,-0.000473,-0.001568,-0.001811,-0.001132,0.003869,0.004551,-0.000252,0.005832,0.000159,0.004921,0.004936,0.004585,-0.00098,0.004545,-0.000308,0.000623,0.000997,0.000575,0.001069,0.001375,0.005822,0.005554,-3e-06,-0.00055,0.004473,0.003989,-0.002517,-0.004121,-8.2e-05,-0.001266,-0.000555,-0.00428,0.00179,-0.0017,-0.000483,0.005372,0.004386,0.004349,-0.001547,-0.001554,-0.0017,-0.001734,-0.001509,-0.001238,-0.000559,-0.000883,-2.3e-05,-4.4e-05,-0.001518,-0.001521,-0.001012,-0.001673,-0.001901,-0.001684,-0.002801,-0.002964,-0.002459,-0.001841,-0.001163,2.6e-05,7.3e-05,-0.001356,-0.001817,-0.002004,-0.00364,0.001569,-0.004872,-0.006723,-0.002836,-0.008458,-0.008243,-0.008565,-0.007497,-0.007811,-0.007563,-0.006511,-0.012565,-0.007214,-0.006249,-0.001238,-0.006284,0.00027,0.006588,0.006542,0.007465,0.001643,0.002653,0.002238,-0.002492,-0.002096,-0.001665,0.000585,0.000125,-0.00583,-0.005249,0.000244,-0.001082,-0.001259,-0.000602,-0.004557,-0.005012,0.000894,3.8e-05,0.000482,0.00067,-2.1e-05,-0.000423,0.004201,0.003926,0.005315,0.008193,0.002439,0.001595,0.007663,0.003949,0.005527,-0.00407,-0.007093,-0.002315,-0.002884,0.002146,0.027156
-0.006988,-0.006317,-0.006452,-0.001079,0.004373,0.004276,0.004699,0.004085,0.002901,0.002748,0.002132,0.001267,0.001169,0.000387,0.000213,0.001296,0.001576,0.00259,0.003662,0.002996,0.002836,0.002163,0.000976,0.000585,-0.005014,-0.000647,-0.005177,-0.004584,-0.000129,-0.003802,0.000384,0.000747,0.000844,-0.000167,0.000452,-0.0001,-0.000444,-0.001188,-0.00111,-0.000773,-0.005599,-0.005256,-0.000536,-0.004413,-0.00013,-0.004858,-0.00485,-0.005023,-0.000693,-0.005039,-0.00036,0.000105,0.000288,7.8e-05,0.000324,0.000676,-0.004398,-0.004531,-0.000207,-0.000474,-0.00506,-0.005301,-0.001454,-0.002258,-0.007533,-0.008137,-0.007994,-0.002769,-0.006819,-0.001477,-0.000864,-0.005008,-0.005508,-0.005525,-0.001405,-0.001419,-0.001081,-0.001096,-0.000978,-0.000633,-0.000285,-0.000266,-9e-06,-1.9e-05,-0.000775,-0.000777,-0.000521,-0.000861,-0.000981,-0.001069,-0.001447,-0.001734,-0.00147,-0.000955,-0.000605,1e-05,3.5e-05,-0.000909,-0.001151,-0.001248,-0.002105,-0.006579,-0.002764,-0.003745,-0.009138,-0.004917,-0.004619,-0.004825,-0.004061,-0.004453,-0.004134,-0.003784,0.000404,-0.003994,-0.003477,-0.008067,-0.003519,-0.007238,-0.010865,-0.011101,-0.010572,-0.006472,-0.005896,-0.006134,-0.001426,-0.001202,-0.000958,0.000119,-0.00015,0.003647,0.004192,-8.4e-05,-0.000847,-0.000948,-0.000568,0.004597,0.004557,0.000292,1.7e-05,0.000275,0.000383,-1.1e-05,-2.2e-05,-0.004804,-0.004979,-0.011602,-0.017152,-0.013047,-0.013335,-0.017244,-0.01198,-0.011261,-0.009477,-0.011551,-0.016238,-0.024444,-0.029042,-0.036279
-0.024781,0.045284,-0.909557,-1.291858,-0.125035,0.0029,-0.139079,-1.323022,0.004994,0.004194,0.003431,-0.453334,0.001394,0.004902,-1.359703,0.003748,0.004666,0.005556,1.8e-05,-5.8e-05,-0.004293,0.00388,0.001548,0.002755,0.049265,0.010251,-0.413315,0.03836,0.00639,0.032256,0.001397,0.001828,0.002871,-0.452898,0.002567,0.004539,0.002239,0.002146,0.003101,0.010164,0.030649,0.050037,0.014833,0.015109,-0.130054,0.028259,0.038736,0.036828,0.003476,0.037552,0.003444,0.002289,0.008845,0.001421,0.003157,0.00218,0.039367,0.036989,0.013415,0.001459,0.036558,0.037459,0.005861,0.000138,0.097717,0.283668,0.087766,-0.54614,-0.05624,-0.005638,0.120559,0.329552,-0.130154,0.015492,0.128105,-1.090788,0.088622,-0.000727,-0.006433,0.093521,-0.175249,-2.616982,-0.003679,0.361593,-0.011754,-0.009367,-0.014283,0.080863,0.044116,-0.019169,0.115326,-0.0069,-0.374988,0.049913,0.014416,-0.006607,0.236747,0.103452,0.323805,0.241966,0.08961,0.068052,0.209026,-0.332877,0.394457,0.120092,0.13674,0.30836,-0.112537,0.20258,0.057009,-0.001756,0.009105,0.191746,-0.009329,0.030763,0.007102,-0.252587,-0.050599,-0.12661,0.059654,-0.053355,0.043229,0.039281,-0.001573,0.103301,0.097462,0.083326,0.00494,0.049566,0.161815,-0.004156,0.01859,0.263557,0.012674,0.299663,-0.045322,-3.6e-05,-8.1e-05,-2e-05,-1.5e-05,-1.2e-05,-0.035613,-0.30308,2.248515,2.057704,-0.225486,-0.605158,-0.080505,-0.854457,-0.869496,-1.267174,0.208154,0.075707,-0.78906,-0.68694,2.744791,-0.511593
