0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
-0.006283,-0.005029,-0.003881,-0.005738,-0.003867,-0.00453,-0.00497,-0.004294,-0.009466,-0.00379,-0.004077,-0.008943,-0.014992,-0.015415,-0.017805,-0.018549,-0.013623,-0.020643,-0.021236,-0.026888,-0.020699,-0.032157,-0.024141,-0.024207,-0.016745,-0.017207,-0.017509,-0.017694,-0.017943,-0.018055,-0.018158,-0.018299,-0.018522,-0.018641,-0.018635,-0.018483,-0.018226,-0.024203,-0.017995,-0.02385,-0.02394,-0.018007,-0.018025,-0.018021,-0.018005,-0.018053,-0.012672,-0.012652,-0.007281,-0.013251,-0.007309,-0.006686,-0.007346,-0.012627,-0.012573,-0.011982,-0.006677,-0.012502,-0.011987,-0.012116,-0.006116,-0.000193,-0.000133,0.000486,-8.5e-05,-5.2e-05,0.000416,-0.000132,0.000453,0.000386,0.000338,0.0003,-0.000286,-0.005549,-0.006132,-0.00016,-0.000169,-0.000169,-0.006074,-0.000184,-0.011988,-0.006073,-0.006066,-0.011918,-0.005462,-0.011362,-0.005501,-0.005529,-0.005556,-0.005589,-0.005505,0.000465,0.000466,-7.6e-05,-0.000134,0.005639,0.000195,0.005487,0.000103,7.4e-05,0.000607,0.00114,0.00054,-0.004805,-0.005333,1.6e-05,-0.005737,-0.011979,-0.011887,-0.01182,-0.011809,-0.011757,-0.017487,-0.011676,-0.011624,-0.011559,-0.005746,-0.011511,-0.00574,-0.011531,-0.00577,-0.005763,-0.011541,-0.005774,-0.005768,-0.005767,9e-06,8e-06,-1e-06,-0.006176,-0.005773,-0.011537,-0.011527,-0.017647,-0.011508,-0.017233,-0.017185,-0.017152,-0.017093,-0.017063,-0.011314,-0.011028,-0.005353,0.000358,0.006069,0.00603,0.006063,0.000373,0.006095,-0.00563,-0.005608,-0.005294,-0.005281,0.000388,-0.005307,-0.005278,0.000102,-0.005612,8.8e-05,5.8e-05,1.7e-05,2e-05,2.5e-05,-0.005666,-0.005366,-0.005655,6e-05,0.000345,0.000339,2.7e-05,1e-06,2.9e-05,3.8e-05,3.1e-05,7e-06,2.8e-05,2.8e-05,0.005687,5e-06,1e-06,-2e-06,-2.4e-05,-5.5e-05,0.005618,0.005629,0.01132,0.005625,0.011319,0.022689,0.028466,0.039936,0.034221,0.034274,0.02863,0.02262,0.016958,0.022261,0.010391,-0.002304,-0.008889,-0.015057
0.00329,-0.001826,-0.006491,0.003624,-0.005416,-0.002804,-0.00103,-0.005178,-0.010758,-0.008814,-0.00771,-0.014935,-0.016114,-0.014469,-0.002961,0.000384,0.007525,0.012537,0.016821,0.01465,0.014746,0.010644,-0.000768,-0.000502,-0.009467,-0.007261,-0.005688,-0.004571,-0.003118,-0.002419,-0.001759,-0.000761,0.000959,0.00204,0.002143,0.001294,-0.000462,-0.001278,-0.002184,-0.004111,-0.003444,-0.002117,-0.001936,-0.001963,-0.002126,-0.001586,0.004542,0.004535,0.010888,0.010288,0.01187,0.006275,0.012744,0.005747,0.005127,-0.000284,0.006821,0.004752,0.000135,0.002172,0.002174,0.003052,0.002112,-0.004414,0.001335,0.000791,-0.00329,0.002058,-0.003936,-0.002887,-0.002087,-0.001468,0.004539,-0.003216,0.002849,0.002585,0.002695,0.002794,0.002255,0.003102,0.002126,0.002607,0.002588,0.001457,-0.004252,-0.004629,-0.003555,-0.002977,-0.002333,-0.001531,-0.003452,-0.004676,-0.004707,0.001636,0.003028,0.006075,0.001507,0.008868,0.003283,0.003837,-0.002342,-0.008309,-0.001061,-0.006605,-0.00052,0.004987,0.003233,0.007176,0.005945,0.005146,0.005385,0.004911,0.004226,0.003828,0.002786,0.000683,-0.00125,-0.001574,-0.001955,-0.001001,-0.000232,-0.000944,-0.000643,-0.000158,-0.000531,-0.00079,-0.001268,-0.001447,0.000455,0.006906,0.001366,0.001044,0.001612,0.008034,0.00184,0.002694,0.004265,0.005015,0.005883,0.005025,0.00488,-0.001832,-0.003308,-0.00343,-0.00364,-0.005147,-0.004152,-0.003115,-0.002912,0.003484,0.004057,-0.001516,-0.001108,-0.002419,-0.002062,-0.001083,0.003618,0.002964,0.002989,0.001926,0.000596,0.000637,0.000753,0.000721,-0.004594,0.000921,0.001771,-0.003837,-0.003996,0.000807,3.8e-05,0.000804,0.001059,0.000881,0.000187,0.000756,0.000781,0.000251,0.000104,3.3e-05,-1e-05,-0.000662,-0.001584,-0.001907,-0.001779,-0.001808,-0.002162,-0.002428,-0.00436,-0.002401,0.000801,0.001085,-0.004185,-0.006193,-0.003169,-0.002747,0.003554,0.007132,0.017224,0.025952,0.031025
-0.012067,-0.014882,-0.017505,-0.026244,-0.024244,-0.02287,-0.021888,-0.017131,-0.012713,-0.012123,-0.011498,-0.008048,-0.008307,-0.007317,-0.007662,-0.005583,-0.009129,-0.012892,-0.017602,-0.01837,-0.018817,-0.020282,-0.013158,-0.013,-0.004382,-0.002899,-0.001918,-0.001303,-0.000382,6e-05,0.000475,0.001102,0.002188,0.002858,0.002911,0.002359,0.001244,0.001227,0.000153,-0.000564,-0.000154,0.000182,0.000288,0.000263,0.000158,0.000488,-0.003569,-0.003573,-0.007473,-0.007357,-0.006835,-0.002957,-0.006273,-0.002806,-0.003191,0.000775,-0.002612,-0.003423,0.001029,0.002276,0.001814,0.001885,0.0013,0.004572,0.000818,0.000482,0.005262,0.001257,0.004869,0.005511,0.005999,0.006369,0.002748,0.00576,0.00217,0.001557,0.001619,0.001675,0.0018,0.001855,0.002166,0.002001,0.001988,0.001757,0.005121,0.005339,0.005534,0.005872,0.006248,0.006714,0.005589,0.004441,0.004425,0.000952,0.001757,0.003083,0.00801,0.004654,0.008973,0.009273,0.012833,0.016555,0.013529,0.017923,0.014212,0.009741,0.009188,0.004706,0.004024,0.003581,0.003702,0.003436,0.003466,0.002844,0.002289,0.001181,-0.000235,-2e-06,-0.000606,0.000294,0.000294,-8.1e-05,0.000477,0.000327,0.000133,-5e-06,-0.000662,-0.000758,0.000244,-0.002879,0.001126,0.001361,0.001662,-0.001478,0.00178,0.002624,0.003431,0.003817,0.004246,0.00379,0.003303,0.006709,0.005555,0.005091,0.004584,0.003821,0.004325,0.005248,0.00495,0.002149,0.002432,0.006452,0.006654,0.005602,0.006176,0.006658,0.001786,0.001857,0.001469,0.000945,0.000296,0.000318,0.000372,0.000753,0.004927,0.000852,0.000864,0.004897,0.004818,0.000393,1.9e-05,0.00039,0.000515,0.000429,9.3e-05,0.000368,0.00038,-0.000277,5.1e-05,1.6e-05,-7e-06,-0.000324,-0.000774,-0.001327,-0.00127,-0.001685,-0.001463,-0.001994,-0.003748,-0.003204,-0.002419,-0.001881,-0.004483,-0.005089,-0.010031,-0.009452,-0.013527,-0.017767,-0.032352,-0.041046,-0.044754
1.211846,1.400514,-0.318152,1.438783,-0.126279,-0.256072,-0.073379,0.005444,-0.013732,1.419309,0.145016,-0.062885,1.057447,1.191227,1.141886,1.211611,-0.11122,-0.178976,-0.417518,0.015294,-0.079925,0.483551,-0.029805,0.028888,-0.019118,5.071175,4.941251,-0.00595,0.003832,0.301829,-0.12077,-0.114099,-0.031154,0.013638,-0.007691,0.011174,0.002879,-0.005612,0.096825,0.003817,0.074434,0.00592,-0.007089,-0.105968,-0.006149,-0.00464,0.033506,0.012278,-0.297781,-0.86402,0.060111,0.038369,0.061676,-0.049786,0.034875,-0.201512,-0.099474,0.056612,-0.041914,0.894954,0.002524,0.003109,0.000442,-0.038703,0.001858,-0.06885,-0.032728,0.002576,-0.034919,0.049824,0.007554,-0.022228,0.002196,-0.036486,0.000138,0.001985,0.10377,0.012955,0.008741,0.020383,-0.008433,0.005456,0.014783,0.009468,0.00444,-0.041271,-0.018516,0.031794,-0.034369,-0.032287,0.043058,-0.040889,-0.023602,0.099015,0.001092,-0.11043,-0.031146,0.022859,-0.005711,0.037157,0.146638,-0.005665,0.109373,-0.019136,-0.07991,-0.032413,-0.035605,-0.000258,0.000356,0.00248,0.000978,0.003614,-0.001069,-0.001844,-0.001561,-0.009809,0.010604,-0.004098,0.003175,-0.002712,-0.037596,-0.002024,-0.003515,0.141205,-0.008962,-0.001583,-0.12999,-1.337073,0.008855,0.051223,0.027294,-1.344953,0.0134,0.042711,0.199037,-0.449646,-0.13502,-0.0004,-0.458882,-0.003067,-0.001087,-0.040314,-0.038883,-0.037987,0.062437,-0.037052,-0.037377,-0.040436,0.203025,-0.003639,0.000737,-0.043387,-0.035146,-0.038098,0.102181,0.187267,-0.001039,-0.006337,-0.00362,0.001916,0.000809,0.000148,0.001624,-0.007803,-0.038659,-0.001959,2e-06,-0.034635,-0.034645,-1e-06,2e-06,7e-06,0.001706,0.001708,1e-06,7e-06,0.001705,0.002048,-1e-06,2e-06,3e-06,-5e-06,0.008136,0.001384,-0.003197,-0.001436,0.002847,0.011385,0.03301,1.03059,-0.292651,0.001212,-0.205957,1.055036,-0.09662,-0.011138,0.037722,-0.086839,-0.208293,-0.058226,0.090449
2.436745,2.160541,1.125352,1.57852,1.011126,1.146735,0.839444,0.456891,0.27233,2.181953,0.317976,0.825275,0.640828,0.352405,0.670258,0.480207,0.567221,0.899162,-0.027817,0.463888,0.865165,0.39295,0.419875,0.228541,0.094307,-0.529672,0.023994,0.028426,0.02082,0.615817,0.500751,0.523796,0.124333,-0.091537,0.019996,-0.079921,0.030073,0.065532,-0.439899,-0.031575,-0.351906,-0.05029,0.060747,-0.097014,0.048774,0.048083,0.00696,0.109343,-0.277227,-1.450279,0.097332,-0.004111,0.093955,-0.150905,0.024065,-1.068692,-1.529345,-0.175395,0.208295,2.182452,0.000156,-0.018417,-8.5e-05,0.019892,-0.014847,0.300673,-0.001119,0.001883,0.01243,-0.47736,-0.269005,-0.116659,-0.016068,0.009048,-0.001052,0.002425,-0.47376,-0.061102,-0.077567,-0.160583,-0.189975,-0.08085,-0.123538,-0.080113,-0.137076,0.015105,-0.125165,-0.226317,-0.073743,-0.082026,-0.258423,0.008522,-0.100175,-0.383378,-0.013333,-0.18888,-0.001508,-0.1692,-0.312522,-0.226541,-0.713861,-0.367971,-0.600267,-0.266065,0.015792,-0.019687,-0.013292,0.00036,0.017375,0.019859,0.018232,0.014472,0.033521,0.015316,0.015673,0.005321,-0.091874,0.030422,0.004789,0.031735,-0.027934,0.015305,0.031111,-0.46322,0.031805,0.016371,-0.154921,-1.581941,0.009589,-0.116316,-0.153078,-1.681774,-0.088718,-0.012856,-0.562093,-0.596363,-0.125171,0.034221,-0.506468,0.031127,0.01629,0.042941,0.027165,0.010668,-0.155772,-0.002574,-0.006163,0.003496,-0.620925,0.01849,-0.019936,0.004352,0.015357,-0.008052,-0.361823,-0.576128,0.004208,0.006257,0.00713,-0.015087,0.000639,2.4e-05,0.001609,0.023861,0.028425,0.015347,-1.1e-05,-0.002856,-0.002846,-4e-06,7e-06,0.0,-0.01517,-0.015158,4e-06,6e-06,-0.015162,-0.015203,-1e-06,1.3e-05,-7e-06,-1.2e-05,0.008966,-0.01587,-0.003551,0.007528,-0.010266,-0.039873,0.337462,2.241717,0.487384,1.128469,0.587754,1.723936,0.09928,0.390508,0.261137,0.480693,1.043635,0.854841,0.592042
-0.774561,-1.336791,-0.500942,-0.077629,-1.314544,-1.006712,-0.907052,-0.742278,-0.44245,-1.48245,-0.388729,-0.320848,0.845841,0.661955,0.88908,0.989552,0.12802,0.278313,0.701164,-0.023218,0.056762,0.140238,-0.096174,-0.226422,-0.090721,2.243703,2.346757,-0.094925,-0.090161,-0.725946,0.275742,0.255526,0.001093,0.088685,-0.055929,0.099597,-0.102971,-0.082748,-0.429601,0.061153,-0.406072,0.08764,-0.080724,0.115297,-0.087466,-0.09081,-0.050617,0.019856,0.864576,2.13436,-0.171027,-0.025559,-0.1377,0.180525,-0.04487,0.209642,-0.069602,-0.183511,0.293903,-1.440147,-0.038535,0.022652,0.000202,-0.011695,0.024825,0.451669,0.010498,-0.004662,-0.020884,-0.336345,0.060494,0.172805,0.024376,-0.023178,-0.005405,-0.00284,-0.339782,-0.047864,0.139637,0.161833,0.146036,0.137558,0.11248,0.106501,-0.161781,-0.063116,0.086679,-0.221661,0.155084,0.151525,-0.201863,-0.01081,0.148061,-0.019327,0.025712,0.232401,0.001747,0.225198,0.145371,-0.11551,-0.216889,-0.05029,-0.395672,-0.226963,-0.014215,0.03144,-0.007184,-0.009063,-0.036552,-0.039283,-0.037624,-0.040851,-0.067302,-0.034737,-0.035096,-0.023459,0.137719,-0.058498,-0.034486,-0.060351,0.019279,-0.02941,-0.059279,-0.347446,-0.024927,-0.029622,0.17493,1.78451,-0.010168,0.176502,0.118952,1.903865,0.129175,-0.081042,-0.189799,0.667065,0.106448,-0.067568,0.52247,-0.064291,-0.035799,-0.075898,-0.046111,-0.015529,-0.123016,0.014797,0.015454,0.011689,-0.315445,-0.027599,-0.028406,-0.036294,-0.023203,-0.037947,-0.279123,-0.361938,0.001819,-0.041749,0.003234,0.024884,-0.000373,0.000163,-0.001651,-0.036852,-0.046063,-0.029058,4e-05,0.007189,0.007188,9e-06,2e-06,3e-06,0.024451,0.024444,-2e-06,-7e-06,0.024445,0.029244,3e-06,-0.0,0.0,1e-05,-0.010274,0.029954,0.008526,0.060047,0.003934,0.064574,0.314183,-0.763464,1.300724,0.929873,0.805519,-1.765389,-0.227382,-0.61597,-0.361949,0.399196,0.738429,0.609167,0.419787
0.006611,0.006991,0.007179,0.007282,0.007296,0.013524,0.007285,0.007309,0.007218,0.007227,0.001352,0.001523,0.001481,0.001353,-0.005114,0.000362,0.000197,-8e-06,-0.000169,-0.006098,-0.006027,0.000155,-0.005763,-0.005621,-0.011246,-0.011048,-0.010991,-0.005107,-0.005138,0.000855,-0.005115,0.000647,0.00056,0.00631,0.0002,0.005787,-0.000113,-5.2e-05,0.006075,0.006013,0.000118,0.000195,0.005957,5.3e-05,0.00599,0.005909,0.005915,8e-06,0.005896,0.005896,4.8e-05,0.0059,0.005764,0.011576,0.005688,0.011536,0.005644,0.011577,0.011564,0.005732,0.005792,0.005872,-7.9e-05,-0.000179,-0.000226,-0.000214,-0.000298,0.00546,0.005428,0.011353,0.005318,0.011259,0.011249,0.017264,0.011312,0.011329,0.011537,0.01169,0.005849,-7.5e-05,-0.000109,-8.5e-05,0.005983,0.005868,0.005729,-0.000421,0.005663,0.005687,-0.000275,0.005881,0.005886,0.005848,0.00583,0.005946,0.006011,0.006171,0.006274,0.000131,7.3e-05,0.006158,0.006123,0.006126,0.006127,0.012269,0.012248,0.012241,0.006116,0.0122,0.012242,0.006124,0.006145,0.006143,0.006143,0.006128,0.006108,0.006096,0.006093,0.006088,0.006085,0.006092,0.0061,0.006115,0.006143,0.012542,0.01237,0.012393,0.012199,0.006207,0.006214,1.7e-05,0.006016,-0.00019,-0.006407,1e-05,8e-06,-1e-06,-7e-06,0.006206,0.006206,-5e-06,0.006205,-8e-06,0.006422,0.006419,0.006424,0.006191,0.006429,0.000218,0.00621,0.000255,0.006472,0.006224,0.006214,0.00644,0.000456,0.000214,0.006419,0.000228,-3.7e-05,0.00023,0.000257,-7e-06,0.006231,1e-06,-5e-06,0.000272,-1.1e-05,1e-06,-1e-06,1e-06,-1e-06,-5e-06,-1e-06,0.0,1.3e-05,0.0,-0.0,-2e-06,-7e-06,-1e-06,-4e-06,2e-06,-0.006232,2e-05,-0.006485,-0.00647,-0.000239,-0.006446,-0.006894,-0.019549,-0.025673,-0.031841,-0.031585,-0.037672,-0.031689,-0.03212,-0.032275,-0.032594,-0.026425,-0.013724,-0.013635
0.00734,0.015529,0.017415,0.018602,0.019213,0.019846,0.015109,0.015886,0.010611,0.010917,0.014054,0.020942,0.015662,0.014326,0.010085,0.003874,0.002139,-5.1e-05,-0.001769,-0.000458,0.000288,0.001593,0.002941,0.004322,0.008289,0.009824,0.009958,0.008568,0.008052,0.007901,0.008043,0.005943,0.005169,0.003215,0.001864,-0.001605,-0.001068,-0.000509,0.005762,0.00054,0.005789,0.006536,0.004787,0.005182,0.004806,-0.000333,-0.00024,7.8e-05,0.004353,-0.000425,0.00049,-0.000386,-0.001824,-0.003262,-0.002768,0.001075,-0.003488,0.001318,0.001099,-0.002745,-0.002032,-0.001074,-0.001011,0.003048,-0.002886,0.00256,-0.003818,-0.006665,-0.007204,-0.008344,-0.00385,-0.005265,-0.005712,-0.000879,-0.000287,0.005691,0.002855,-0.000732,0.002627,-0.00149,-0.002043,-0.001614,-0.00798,-0.003679,-0.006473,-0.008033,-0.014909,-0.008026,-0.005254,-0.00461,-0.004689,-0.00573,-0.006235,-0.004172,0.004152,0.007731,0.002792,0.002974,0.001737,0.000628,-0.00021,-0.000148,-0.000199,-9.9e-05,-0.000603,-0.000871,-0.000603,-0.002626,-0.00161,-0.000748,7.9e-05,4.6e-05,-3e-06,-0.000697,-0.001712,-0.002694,-0.003245,-0.003749,-0.004707,-0.005142,-0.005144,-0.005493,-0.004735,-0.008951,-0.003634,-0.002414,0.003162,-0.002024,-0.002265,-0.003063,0.002052,0.001988,0.002652,-0.001662,-0.001505,0.000905,0.001825,0.001313,0.000938,0.000568,0.000784,0.000855,-0.004187,-0.00411,-0.004244,0.001241,-0.004321,-0.004483,0.000115,-0.006202,-0.005698,-0.000101,0.000463,-0.003645,-0.008489,-0.003823,-0.002561,-0.004277,0.001291,-0.004358,-0.005315,0.00017,0.000209,-5e-05,0.000201,-0.005579,0.000395,-6e-06,5.1e-05,-6e-06,1e-06,0.000193,4.2e-05,-9e-06,1e-06,-4e-06,-4e-06,5.3e-05,0.000216,-1.2e-05,0.000188,-9.2e-05,-0.000239,-0.000752,0.004829,0.004317,0.004637,0.00371,0.012402,0.016243,0.014706,0.015209,0.006751,-0.003177,-0.006957,-0.006712,-0.008183,0.007225,0.030137,0.039212,0.040207
-0.003585,-0.006515,-0.005476,-0.004825,-0.00451,-0.004379,0.000607,0.000984,0.005453,0.005591,0.007378,0.003625,0.008036,0.007309,0.005294,0.001947,0.001076,-2.5e-05,-0.000889,-3.2e-05,0.000345,0.000805,0.00168,0.002369,0.004539,0.005276,0.005305,0.004408,0.00413,0.003825,0.004086,0.002851,0.002466,0.001321,0.000882,-0.000972,-0.000512,-0.000247,-0.00449,4.7e-05,-0.004267,-0.003909,-0.004942,-0.004547,-0.004951,-0.000369,-0.000326,3.2e-05,-0.005142,-0.000414,0.000227,-0.000394,-0.00108,-0.001971,-0.001534,-0.00692,-0.001886,-0.006808,-0.006915,-0.001536,-0.001191,-0.000729,-0.000493,-0.005568,-0.001399,-0.005808,-0.00186,-0.003462,-0.003739,-0.004523,-0.009225,-0.010167,-0.010409,-0.015343,-0.014874,-0.01898,-0.013281,-0.007975,-0.006027,-0.000787,-0.001074,-0.000847,0.002826,-0.002131,-0.003607,-0.004243,-0.000873,-0.004493,-0.002828,-0.002685,-0.002733,-0.00331,-0.003593,-0.002482,-0.005271,-0.003311,0.001323,0.001615,0.000939,0.000139,-0.000319,-0.000287,-0.000317,-0.000466,-0.000741,-0.000889,-0.000542,-0.001851,-0.001298,-0.000621,-0.000172,-0.000187,-0.000215,-0.000593,-0.001146,-0.001684,-0.001992,-0.002272,-0.002807,-0.003062,-0.00307,-0.00328,-0.002869,0.001948,-0.002479,-0.001799,-0.006101,-0.001369,-0.001506,-0.001745,-0.006491,-0.006311,-0.005716,-0.00095,-0.000861,0.000517,0.001042,0.000533,0.000316,0.00032,0.000226,0.000482,0.004831,0.004875,0.004802,0.000481,0.004758,0.004887,-0.000163,0.003914,0.003982,-0.000286,3.6e-05,0.005158,0.010095,0.00529,0.005786,0.005037,0.000731,0.004993,0.004451,9.3e-05,-0.000106,-2.9e-05,0.000112,0.004307,0.000223,-3e-06,2.8e-05,-3e-06,0.0,0.00011,2.3e-05,-6e-06,1e-06,-2e-06,-1e-06,3.1e-05,0.000122,-7e-06,0.000108,-5e-05,9.1e-05,-0.000423,-0.004504,-0.004792,-0.004833,-0.005133,-0.015111,-0.019924,-0.020538,-0.019988,-0.017351,-0.015433,-0.017959,-0.025463,-0.026445,-0.032471,-0.041448,-0.043666,-0.042931
-0.187313,0.040496,-0.664793,0.076841,0.057399,0.088508,-0.194949,-0.206045,0.016203,0.012765,-0.023637,-0.021832,0.014874,0.004838,0.010099,0.000719,-0.000257,-0.000191,-0.000117,-0.001066,-0.001053,0.006716,-0.001018,0.005736,-0.000191,-0.001044,-0.052815,0.00566,0.000882,0.001685,-0.000137,0.000856,0.002107,0.00187,6e-06,0.00139,0.000588,0.002097,0.051492,-0.025621,0.048563,0.043211,0.049298,0.036764,-1.358033,0.006948,0.003924,-8.4e-05,0.042284,0.002473,-1.9e-05,0.006778,0.002998,0.001176,0.003523,0.036811,0.001345,0.038959,0.036945,0.000287,0.000989,-0.007463,-0.005892,0.035647,-0.000759,0.035704,4.3e-05,0.000192,0.005997,0.31651,0.196788,0.05372,0.050114,-0.698377,-0.285568,-0.630834,0.277417,-2.741627,0.346274,0.317406,0.24581,0.298169,0.015951,0.027747,0.054169,0.131085,0.11964,0.141539,0.040572,0.019619,0.183689,0.09624,0.035568,0.002996,0.025856,-0.003911,-0.679061,0.048003,0.012098,0.03969,0.189485,0.013478,0.081597,0.334554,0.08477,0.040467,0.055716,0.060286,0.271538,-0.005805,-0.004853,-0.003217,0.184227,-0.001249,-0.006565,-0.002877,0.224918,-0.010919,0.041438,0.242257,0.055664,0.096968,0.025361,-0.015574,0.126546,0.22349,-1.982915,0.068731,0.194433,-0.00624,0.034736,0.049545,0.027674,0.004954,-4.1e-05,0.000856,0.000994,0.001091,0.053602,0.01429,0.085063,-0.005282,0.089423,-0.026686,0.038272,0.013885,0.083955,0.262135,0.227356,-0.041673,-0.03233,0.217892,0.117686,0.042774,-0.02813,-0.044658,-0.037004,0.02398,0.069653,-0.040036,-0.020011,-0.004868,0.00028,0.006039,0.279117,-0.037168,-0.000439,0.006019,2.5e-05,4.3e-05,0.010579,4e-06,1.6e-05,7e-06,0.193054,-8.8e-05,-6e-06,0.011165,0.000313,2.6e-05,0.0,-4e-06,-0.000979,0.005172,-0.038113,0.005039,0.036908,-0.187987,-0.315344,1.776506,-0.954344,-1.026683,-1.132412,-0.373935,-2.683139,-0.562896,-0.348063,-0.511749,-0.636322,-0.899433,-0.797172
