0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177
-0.005919,-0.00582,-0.005395,0.00079,-0.005645,-0.006249,-0.005503,-0.005942,-0.005693,-0.006624,-0.013364,-0.013383,-0.013295,-0.013482,-0.013207,-0.019306,-0.019204,-0.01988,-0.019826,-0.019317,-0.01283,-0.019641,-0.012728,-0.013176,-0.013384,-0.013513,-0.006957,-0.013706,-0.013729,-0.007799,-0.007088,-0.007061,-0.006983,-0.006872,-0.000263,-0.000344,-0.000382,-0.000496,-0.000486,-0.006964,-0.006944,-0.006989,-0.006904,-0.000316,-0.000184,-0.000251,-0.000252,-0.006795,-0.00674,-0.006773,-0.013227,-0.006708,-0.006688,-0.006614,-0.000156,-0.000178,-0.000181,0.000302,0.000309,-0.000251,0.000465,0.000519,0.000489,0.000542,-3.1e-05,-4.6e-05,-3.8e-05,-6.6e-05,-0.006645,-0.006675,-0.006155,-0.000907,-0.006917,-0.006273,-0.006156,-0.006026,-2.9e-05,5e-06,-1.8e-05,1e-06,-0.006454,2.4e-05,-4.8e-05,-7.1e-05,-8e-05,-6.3e-05,-4e-05,0.00053,-6.5e-05,-0.006077,-0.006619,-0.006647,-0.012589,-0.019615,-0.013131,-0.013106,-0.006074,-0.013037,0.00039,-0.006103,-0.006108,0.000345,-0.006089,-0.006091,0.000381,-0.006069,-0.006056,-9e-05,-6.4e-05,-3.9e-05,-1.1e-05,-7e-06,-0.006439,-9e-06,-0.006432,-0.006442,-0.006454,-3e-05,-3.5e-05,-5e-05,-2.3e-05,-1.9e-05,0.000452,-3e-06,4e-06,1e-05,2.3e-05,0.006426,0.006429,0.006466,5.5e-05,4.1e-05,-0.000428,-0.000436,3e-06,-0.006428,9e-06,1e-06,0.006421,0.000452,0.006439,0.006448,0.006438,0.012417,0.006036,0.013,0.01255,0.006173,0.006244,-0.000205,-0.000816,-0.000877,-0.000929,-0.000457,-0.000498,-0.000517,-0.006942,-0.000483,3.5e-05,5.8e-05,0.000124,-0.000353,-0.006807,-0.000872,-0.007394,-0.000993,-0.000507,-0.006476,-8.3e-05,-9.6e-05,-0.006561,-0.012945,-0.019269,-0.019235,-0.012831,-0.01282,-0.012796,-0.012778
-0.001905,-0.002749,-0.00613,-0.003357,-0.005325,-0.001662,-0.007407,-0.004606,-0.00673,-0.000537,-0.000293,-0.000151,-0.000699,0.000706,-0.001352,-0.006105,-0.007385,-0.002573,-0.003697,-0.008202,-0.006676,-0.006346,-0.00752,-0.003388,-0.001388,2.8e-05,0.002274,0.002531,0.002915,0.010725,0.004433,0.004188,0.003389,0.002126,0.003232,0.004243,0.004739,0.006207,0.00613,0.003907,0.003839,0.004521,0.003555,0.004229,0.002483,0.003387,0.00342,0.002527,0.001783,0.002358,0.000339,0.001652,0.001421,0.00034,0.002475,0.00288,0.002892,-0.001201,-0.001348,0.004035,-0.003871,-0.004723,-0.004232,-0.005119,0.000467,0.000724,0.000627,0.001079,0.001376,0.001925,-0.002772,0.011556,0.006682,-0.000312,-0.002313,-0.004659,0.000499,-0.000117,0.000339,-4.6e-05,-0.00138,-0.000481,0.000983,0.001429,0.001651,0.001278,0.000811,-0.005431,0.001298,-0.003656,0.002212,0.003069,-0.003304,0.002642,0.003842,0.003878,-0.002948,0.002516,-0.002207,-0.001486,-0.001057,-0.000467,-0.001513,-0.001263,-0.001752,-0.001907,-0.00232,0.004044,0.002884,0.001723,0.000441,0.000336,-5.8e-05,0.000404,-0.000254,0.000229,0.000941,0.001644,0.001985,0.003138,0.001371,0.001181,-0.005744,0.000138,-0.000482,-0.000742,-0.001555,-4.3e-05,-8.6e-05,-0.002443,-0.003323,-0.002298,0.004265,0.004746,7.4e-05,0.000113,-0.00068,-6.5e-05,0.000682,-0.005703,-0.000519,-0.000876,-0.000297,0.00469,0.002438,-0.005016,0.000313,-0.001536,-0.003354,-0.003662,0.005837,0.007859,0.009425,0.004635,0.005907,0.006424,0.005415,0.005277,-0.001076,-0.001788,-0.003938,0.001063,0.00101,0.007767,0.010057,0.012231,0.006469,0.001567,0.003122,0.003803,0.0058,0.004437,0.002545,0.001168,0.002294,0.003095,0.00121,-0.000326
-0.041561,-0.042585,-0.037312,-0.036024,-0.028773,-0.026,-0.013847,-0.01157,-0.004823,0.000317,0.001266,0.00138,0.000916,-0.006466,-0.008182,-0.011441,-0.012575,-0.017168,-0.018222,-0.013495,-0.013005,-0.012025,-0.005071,-0.001483,0.00025,0.001485,0.002713,0.003628,0.003949,0.001243,0.004513,0.00429,0.003589,0.0025,0.002756,0.003609,0.004018,0.00524,0.005164,0.003945,0.003873,0.004432,0.003612,0.003506,0.002055,0.002798,0.00282,0.002721,0.002106,0.002572,0.001548,0.001985,0.001795,0.00091,0.002022,0.002346,0.002346,0.007452,0.007323,0.00325,0.005286,0.004603,0.004997,0.004286,0.000373,0.000579,0.000502,0.000867,0.001708,0.002145,0.006763,0.000831,0.005879,0.008672,0.007083,0.005236,0.000397,-8.7e-05,0.000269,-3.2e-05,-0.000495,-0.000374,0.000773,0.001122,0.001293,0.001002,0.000635,0.004046,0.001013,0.006012,0.002306,0.002967,0.006843,0.003747,0.004095,0.0041,0.006516,0.003028,0.006524,0.0076,0.007913,0.007816,0.007554,0.007733,0.006831,0.007237,0.006921,0.00301,0.00214,0.001278,0.000327,0.00025,0.000481,0.000299,0.000339,0.000697,0.001223,0.00122,0.001472,0.002317,0.001011,0.000871,0.003847,0.000101,-0.000353,-0.000543,-0.001142,-0.000547,-0.000578,-0.002317,-0.002458,-0.001701,-0.004931,-0.004574,6e-05,0.000605,-0.000502,-4.8e-05,-1.4e-05,0.003861,-0.000909,-0.001179,-0.000753,-0.005675,-0.006827,-0.004812,-0.008971,-0.009849,-0.011259,-0.010973,-0.011937,-0.010384,-0.009176,-0.004641,-0.003655,-0.003256,-0.00348,-0.004134,-0.000829,-0.001378,-0.00304,-0.007393,-0.006889,-0.010413,-0.008071,-0.006909,-0.003176,0.001772,0.002434,0.00296,0.005032,0.004499,0.003555,0.002489,0.002813,0.003409,0.001966,0.000791
-0.154543,0.022768,-0.313112,-0.24645,-0.138864,0.002085,0.042457,0.042653,0.013212,-0.00239,0.014505,0.006416,-0.01756,0.01887,0.028113,0.039554,-0.206982,0.074784,0.060615,0.017532,-0.087173,-0.050131,-0.006208,-0.007611,0.552448,-0.136352,-0.089736,0.015293,0.002485,0.036534,-0.169151,0.014342,-0.009583,0.002802,0.019106,0.019995,0.002232,0.001716,0.003798,-0.000207,8.9e-05,0.008627,0.00057,0.001866,-0.00263,-0.004274,-0.018875,-6.7e-05,2.5e-05,0.176158,-0.00235,0.000378,-0.000779,-0.02617,0.171291,0.002075,0.291988,-0.037443,-0.03446,0.002022,-0.034558,0.408736,-0.051431,-0.036792,0.000121,8.1e-05,7e-05,0.000222,-0.002059,0.001275,-0.031526,0.029601,0.001996,0.052387,-0.037787,-0.043636,-0.000621,0.000116,8.8e-05,4.6e-05,0.034856,0.001203,-0.0088,-0.0018,0.000125,-0.00909,-0.001165,0.104888,0.318467,-0.047315,-0.10563,0.055589,-0.059772,0.083402,-0.016359,-0.014996,-0.035252,-0.511746,-0.048484,0.13597,0.285595,-0.047432,-0.049804,-0.047857,0.242943,-0.038174,-0.039869,0.00233,0.002013,0.000109,0.002114,0.043092,0.082728,0.001815,-0.001713,8.7e-05,0.131095,-0.173355,0.032582,-0.162887,0.000315,0.011275,-0.035907,0.277749,-0.172341,0.010651,0.000348,-0.00692,-0.003502,0.024959,0.001051,0.005541,0.026583,0.035975,-0.011206,-0.0055,0.000879,-0.012733,-0.010697,-0.036509,-0.029128,-0.315184,-0.322107,-0.285554,-0.151511,1.570739,0.211774,0.55735,0.049,-0.179857,-0.194293,0.067094,-0.204839,-0.17781,0.047835,0.036586,0.039129,-0.057792,-0.117355,-0.251037,-0.154977,-0.426831,0.018534,-0.226677,-0.085469,0.958427,-0.312257,0.455311,-0.406537,-0.494083,0.28602,0.739802,-0.331175,-0.715148,0.098078,-0.326576,-0.314751,-0.002335
0.373933,0.278406,0.484763,0.530194,0.350928,0.174194,0.041664,0.030776,0.019702,0.014709,0.009522,0.017035,0.040627,0.047228,0.039909,0.06808,-0.002329,0.051624,0.076504,0.092706,0.108911,0.176438,0.060546,0.026203,0.600727,0.20228,0.117434,0.004858,0.013822,-0.010708,0.22256,-0.012349,0.106874,0.002671,-0.025842,-0.028374,-0.017204,-0.016534,-0.032828,-0.00127,-0.000884,0.001629,-0.001979,-0.016462,0.090493,-0.010457,0.102424,-0.000933,-0.001027,-0.226621,0.037607,-0.000568,0.015069,-0.045141,0.141465,-0.016548,-0.412274,-0.003365,-0.006073,-0.016279,-0.006003,-0.237448,0.006896,0.010797,7.9e-05,4.7e-05,5.6e-05,-0.000188,0.0152,0.019472,0.014456,-0.033695,-0.016692,-0.112556,0.010666,0.030335,0.00087,0.00013,5.6e-05,6e-05,-0.04542,0.00422,-0.007007,0.001969,0.000145,0.008004,0.001404,-0.178949,-0.423039,0.022791,-0.141384,-0.089537,0.043479,-0.085362,0.026419,0.022443,0.012675,-0.671089,0.00483,-0.2244,-0.41136,0.005603,0.019365,0.020474,-0.043033,0.01228,0.013939,-0.015644,-0.015711,7e-05,0.00235,0.045953,-0.110943,0.005237,0.015977,0.017198,-0.171356,-0.089626,-0.149776,-0.197935,0.000342,-0.041643,0.013692,-0.418866,0.240431,-0.008805,-0.000151,-0.013994,-0.013822,-0.136109,0.018363,0.006011,-0.00689,-0.010491,0.111602,0.033711,-0.000985,0.109878,0.094689,0.011149,0.043274,0.433125,0.443946,0.49621,0.149994,1.821809,0.028151,0.510386,0.367197,0.391354,0.269557,0.013389,0.368957,0.256692,-0.016343,0.092482,0.009549,0.123815,0.168055,0.322517,0.223708,0.573588,0.345511,0.280836,1.237096,2.098325,0.676539,2.30941,1.145698,0.484986,2.20883,2.000518,0.799513,0.457439,0.784809,0.550194,0.445045,0.025195
0.380831,0.066034,0.398251,0.296627,0.116064,0.02744,-0.086981,-0.055861,-0.059937,-0.032134,-0.03622,-0.040528,-0.059491,-0.062146,-0.062824,-0.110955,0.054431,-0.100065,-0.121875,-0.084387,0.201288,-0.032591,-0.108306,-0.057627,1.284709,0.065661,0.081325,-0.038129,-0.03849,0.011639,0.142425,-0.008347,-0.171143,-0.008977,0.02692,0.0255,0.022442,0.022925,0.046708,-0.005986,-0.006066,0.005313,-0.006352,0.023264,-0.193375,0.024631,-0.138265,-0.005289,-0.005364,-0.15655,-0.060447,-0.005412,-0.028158,0.002808,0.469477,0.023296,-0.309312,0.006191,0.005514,0.023698,0.005528,0.118639,0.00521,-0.017662,0.000322,0.000223,0.000175,-5.8e-05,-0.029253,-0.031862,-0.027335,0.066169,0.018456,-0.112216,-0.023129,-0.046163,0.000642,0.000349,0.000241,0.000201,-0.080603,-0.001271,0.024574,0.00083,0.000376,0.001157,0.00075,-0.142948,-0.225584,-0.0224,0.247585,-0.078429,-0.053333,-0.152815,-0.036138,-0.039373,-0.023188,0.307208,0.002094,-0.169196,-0.266194,0.005149,-0.027252,-0.022544,0.341771,-0.022017,-0.021814,0.024742,0.024477,0.000333,-0.001123,0.137009,-0.1159,-0.001606,-0.029196,-0.030453,-0.151609,-0.082514,0.122659,0.133067,0.000628,-0.006122,-0.017792,-0.304028,0.14456,0.001647,0.000223,0.016833,0.031111,0.197446,-0.025767,-0.003567,0.006653,0.01812,-0.165917,-0.002814,-0.000323,-0.165433,-0.136146,-0.017858,0.052227,0.317179,0.334449,0.504391,0.395697,-1.005825,0.100608,-0.214079,0.016546,0.158307,0.494688,0.048959,0.34131,0.19704,0.022399,-0.145044,0.0023,0.122993,0.131191,0.224733,0.131299,0.390383,0.22525,0.487266,0.199914,-0.886781,0.839699,-0.631058,0.635044,0.880507,-0.899044,0.783391,-0.448842,0.374903,-0.007791,0.117235,0.257426,-0.063693
0.00047,0.000382,0.000423,-0.006107,0.000157,-1.5e-05,-0.006547,-0.006672,1.2e-05,3e-06,-0.0001,-5.2e-05,9e-05,9.9e-05,0.000156,3.6e-05,-0.000508,-0.000149,0.0062,0.005821,-0.000628,-0.000718,-0.007189,-0.000414,-0.000659,0.0063,-0.000217,-0.00044,0.006097,-0.000257,0.006211,0.006121,0.005765,0.012593,0.012549,0.012655,0.013006,0.013191,0.013131,0.013102,0.012958,0.019524,0.012885,0.006448,0.006644,0.006691,0.006855,0.006609,0.006557,0.006656,0.006646,0.013298,0.013167,0.006542,0.006677,0.006644,0.006535,0.006515,0.006524,0.006385,0.00638,0.013276,0.01321,0.013438,0.006487,0.013215,0.019879,0.020018,0.019928,0.020051,0.019961,0.019983,0.013184,0.013496,0.013492,0.013484,0.013546,0.01353,0.00684,0.006867,0.013553,0.013589,0.006814,0.013533,0.006738,0.01346,0.00667,0.006672,0.013448,0.006717,0.006752,0.013495,0.006809,0.006729,0.006701,-8e-06,0.006766,0.006759,-2e-06,0.006759,0.00676,0.013519,0.013489,0.013526,0.01361,0.013538,0.013565,0.013525,0.013526,0.01358,0.013718,0.013725,0.013759,0.013723,0.006964,0.006776,0.006767,0.006762,1.5e-05,-0.006546,-0.006695,-0.006694,-0.013429,-0.006711,-0.006693,6.3e-05,7.3e-05,6.3e-05,-0.006677,-0.006691,-0.013441,-0.006706,-0.006678,-0.006671,-0.006737,-0.006689,-0.006696,4.7e-05,5.7e-05,9.1e-05,6.8e-05,-0.006569,-0.006488,-0.013021,-0.013029,-0.013073,-0.026423,-0.026449,-0.033262,-0.033321,-0.040096,-0.033436,-0.033503,-0.040336,-0.033954,-0.027366,-0.033951,-0.027361,-0.027872,-0.021508,-0.021117,-0.020809,-0.019719,-0.019299,-0.018254,-0.010789,0.002785,0.009858,0.016403,0.022622,0.028429,0.040637,0.046306,0.05836,0.063181,0.075016,0.074702,0.068036
0.002363,0.00192,0.002121,0.002983,0.00079,-7.4e-05,0.000776,0.000157,5.3e-05,1.9e-05,-0.0005,-0.000254,0.000435,0.000493,0.000772,0.000184,-0.006496,-0.000719,-0.006516,-0.012429,-0.011108,-0.011548,-0.010244,-0.006014,-0.011257,-0.006223,-0.005064,-0.010192,-0.011326,-0.005266,-0.0068,-0.007275,-0.009118,-0.004946,-0.005295,-0.004811,-0.003054,-0.002118,-0.002442,-0.002636,-0.003487,-0.004775,-0.004043,-0.002031,-0.00089,-0.00061,0.000384,-0.001108,-0.001432,-0.000833,-0.0009,-0.00165,-0.0026,-0.0016,0.003707,0.003492,-0.001684,-0.001833,-0.001787,-0.002757,-0.002836,0.002393,-0.002612,0.003533,-0.002203,-0.002648,-0.003613,0.00204,-0.003458,0.00227,-0.003367,-0.003332,-0.001854,-0.000718,-0.000752,-0.00083,-0.000195,0.004932,0.000648,0.000978,5.6e-05,0.000511,0.000521,-6.1e-05,-0.00037,0.004779,-0.001222,-0.001253,-0.001163,-0.000706,-0.000216,-0.000588,-0.005574,-0.000609,-0.000997,-0.000154,-3.6e-05,-0.000158,-2.9e-05,-0.000175,-0.000177,-0.000338,-0.000839,-0.000205,-0.005644,2.6e-05,0.000682,-0.000177,-0.000118,0.00132,-0.003468,-0.003247,-0.00179,-0.002678,-0.002856,0.001285,0.000977,0.00078,0.000804,-0.003474,0.002256,0.002199,0.00202,0.000991,0.001538,0.002173,0.002448,0.002031,0.001494,0.000975,0.0001,0.000452,0.001122,0.001233,-0.000398,0.000741,0.000582,0.00112,0.001359,0.002174,0.001606,0.003201,0.004847,0.007719,0.00662,0.005457,0.004621,0.003498,0.00117,0.000438,-0.000424,-0.000336,0.004307,-0.0018,-0.003873,-0.004154,-0.002788,-0.003336,-0.001885,-0.004229,0.007763,0.009963,0.025421,0.023468,0.03336,0.032652,0.0334,0.040141,0.048763,0.046917,0.052548,0.053986,0.060839,0.057042,0.044451,0.040586,0.034348,0.015862
0.001719,0.001397,0.001539,0.00219,0.000575,-5e-05,0.00059,0.000142,4.2e-05,1.6e-05,-0.00036,-0.000196,0.000315,0.000358,0.000559,0.000133,0.00349,-0.000518,0.003449,0.007368,0.008361,0.008035,0.00903,0.003864,0.008288,0.003695,0.004564,0.00909,0.008248,0.004425,0.003291,0.002946,0.001604,-0.003664,-0.003936,-0.003591,-0.002315,-0.001639,-0.001878,-0.002031,-0.002665,-0.003663,-0.003092,-0.001564,-0.000723,-0.000517,0.000213,-0.000889,-0.00113,-0.000691,-0.000744,-0.001376,-0.002076,-0.001268,-0.005676,-0.005834,-0.001329,-0.00144,-0.001408,-0.002131,-0.002195,-0.006747,-0.002122,-0.005905,-0.001742,-0.002177,-0.002999,-0.00716,-0.002924,-0.007016,-0.002884,-0.002876,-0.001759,-0.00081,-0.000844,-0.000909,-0.00043,-0.004969,0.000337,0.000583,-0.000261,7.6e-05,0.000229,-0.000364,-0.000443,-0.005117,-0.001087,-0.001112,-0.001212,-0.000711,-0.000341,-0.000795,0.004011,-0.000641,-0.000935,-0.000121,-0.00021,-0.0003,-2.5e-05,-0.000316,-0.000319,-0.000629,-0.001015,-0.000547,0.003747,-0.000389,9.9e-05,-0.000555,-0.000517,0.000553,0.005333,0.005496,0.006579,0.005903,0.005991,0.000722,0.000493,0.000346,0.000597,0.005999,0.001912,0.001866,0.001955,0.000967,0.001368,0.001615,0.001814,0.001502,0.001321,0.00094,0.000505,0.000552,0.001041,0.00112,-8e-05,0.000755,0.000636,0.000826,0.001,0.001592,0.001177,0.002538,0.003742,0.006005,0.005172,0.004328,0.004079,0.003239,0.001708,0.001166,0.000678,0.000532,-0.004373,-0.000458,-0.00213,-0.002506,-0.001444,-0.002,-0.009259,-0.011176,-0.01896,-0.017364,-0.022513,-0.01561,-0.01652,-0.008756,-0.008324,-0.011585,-0.021772,-0.023151,-0.035199,-0.042041,-0.052909,-0.05563,-0.056564,-0.059509,-0.056152,-0.046033
0.000342,-0.000142,0.000573,-0.000402,-1.2e-05,-1e-05,-0.001458,-0.001058,-0.001044,-1.5e-05,9e-06,2.484643,-0.000173,-2.1e-05,-1.5e-05,1.8e-05,-0.040983,-0.000745,0.175772,-0.071411,-0.073079,2.415385,0.167501,-0.036895,-0.071973,-0.034421,-0.036265,-0.066949,-0.066967,-0.0351,-0.040098,-0.024254,-0.036206,0.001268,0.000902,0.001231,-0.002036,-0.005795,-0.001478,-0.003618,0.00059,0.002936,-0.003526,0.110968,-0.005374,0.003586,-0.004379,-0.004198,-0.003476,0.073499,-0.005364,0.123195,-0.003711,-3.7e-05,0.03624,0.035618,-0.001365,0.025036,0.000417,0.00016,-0.004116,0.036571,0.001441,0.037353,-0.001703,0.081398,0.030228,0.074972,0.101385,0.033181,0.098448,-0.003777,0.039383,-0.000902,0.00179,0.097642,-0.002637,0.03467,0.000734,0.007141,0.001762,0.023506,-0.001865,0.107593,0.059043,0.041225,0.035734,0.000269,0.001008,0.000942,0.000968,-0.000673,-0.039151,0.000215,-0.000906,-0.000569,-0.000748,0.000677,-3.2e-05,0.000979,0.005848,0.001934,-0.000847,0.117039,0.027548,0.050273,0.075286,0.135447,0.007514,0.002967,-0.028998,0.022725,-0.034812,-0.035544,0.051154,0.000213,0.000839,0.000878,-8.5e-05,-0.038463,-0.001103,-0.001084,-0.002011,-0.001012,-0.001013,-2.8e-05,-2.1e-05,0.000828,-0.000195,-0.000984,-0.001987,-0.001013,-0.00016,-0.000994,-0.000993,-0.000987,-0.000984,0.000815,-4e-06,3e-06,1e-06,-0.135502,0.002064,-0.097479,-0.229948,-0.165413,-0.211753,-0.35024,0.386546,0.397756,0.362779,1.917375,0.193202,-0.473997,-0.423254,-0.389279,1.484078,1.114626,-0.453349,2.340733,-0.42092,-0.233512,-0.414543,-0.682502,-2.076173,0.215316,-0.996081,3.98667,0.659504,-1.146243,-0.913069,1.540346,-0.110164,0.022651,-0.401815,-0.11929,-0.156913,-0.192895
