0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
-0.005664,-0.00549,-0.004143,-0.015283,-0.009781,-0.014957,-0.014381,-0.019048,-0.019476,-0.026196,-0.027551,-0.027876,-0.028289,-0.029392,-0.029559,-0.030572,-0.036354,-0.035864,-0.036071,-0.036243,-0.035719,-0.03577,-0.029391,-0.018715,-0.017505,-0.011747,-0.005775,-0.000723,1.3e-05,0.005183,-0.00052,4e-05,-0.000625,-0.000727,-2e-06,-0.005709,0.000122,-0.000352,0.000429,0.000457,-0.00012,-4.3e-05,-0.000111,0.000522,0.005534,-0.000143,-0.000154,-0.000149,-0.000118,-0.005189,-9.2e-05,-0.005808,-0.000165,-0.005892,-0.005878,-0.011491,-0.011494,-0.017226,-0.022925,-0.01733,-0.023011,-0.017312,-0.01724,-0.011493,-0.005805,-0.005747,-0.005219,0.000394,0.000399,0.000362,0.000377,0.000343,-7.6e-05,0.000477,0.006128,-2.5e-05,-3.6e-05,-6.5e-05,-6e-05,-5.8e-05,-0.005674,-5e-05,-0.005687,-0.005692,-5.2e-05,-0.005729,-0.005754,0.000353,-0.005753,-0.005292,-0.005763,-0.011361,-0.005693,-0.010829,-0.00565,-0.00565,-0.005647,-1e-05,0.005591,-4e-05,-7.2e-05,-9.2e-05,-0.005655,-1.8e-05,0.000421,0.0,-0.005612,-2.9e-05,-0.005613,0.00559,0.0,-1.9e-05,-3e-05,-5.3e-05,-2.7e-05,-2.1e-05,0.005604,0.005598,-1e-06,-1.5e-05,-2.4e-05,-0.005602,-0.005612,0.000429,-2e-06,-2.7e-05,0.005537,0.005558,0.005604,0.005618,0.005655,-1.6e-05,-4.7e-05,-6.6e-05,-0.005598,-0.005565,-0.005546
0.004418,0.003528,-0.004116,-0.006913,-0.005567,-0.010392,-0.014998,-0.024063,-0.022406,-0.019206,-0.011931,-0.010462,-0.008703,-0.001787,-0.000851,0.006552,0.005408,0.001973,0.003807,0.005776,0.002392,0.003322,0.000123,0.01158,0.001479,0.002858,0.001402,0.009488,0.002008,0.00813,0.006718,0.001594,0.008059,0.009322,0.002106,0.001447,0.000492,0.004483,-0.003472,-0.003827,0.001513,0.000532,0.001404,-0.004626,0.00256,0.001808,0.001947,0.00188,0.001497,-0.00492,0.001168,0.000942,0.002146,0.002141,0.002008,0.000655,0.000753,0.001246,0.001486,0.003693,0.004449,0.005527,0.005191,0.003809,0.00364,0.00235,-0.004513,-0.003366,-0.003487,-0.002508,-0.002863,-0.001948,0.001942,-0.005573,-0.005471,0.000628,0.00095,0.001738,0.001583,0.001527,0.000689,0.001362,0.001142,0.001347,0.001421,0.002424,0.003207,-0.002189,0.003434,-0.001706,0.004528,0.003873,0.002664,-0.003953,0.001445,0.001673,0.001747,0.000459,0.000757,0.00184,0.00336,0.00432,0.002629,0.000773,-0.00504,-6.1e-05,0.000644,0.001402,0.000893,0.000167,-3.4e-05,0.000901,0.001423,0.002536,0.0013,0.000968,-0.000804,-0.000472,9e-06,0.000686,0.001098,0.000829,0.001375,-0.005536,4.6e-05,0.001381,0.002193,0.000963,-0.001077,-0.00161,-0.002921,0.00074,0.001919,0.002632,0.00077,-0.000613,-0.001472
-0.031231,-0.031724,-0.028987,-0.029852,-0.029635,-0.025141,-0.02094,-0.011785,-0.010921,-0.008739,-0.01169,-0.010866,-0.009882,-0.012987,-0.012443,-0.015266,-0.015408,-0.010298,-0.009201,-0.008026,-0.002909,-0.002362,0.002382,0.001168,0.009324,0.009673,0.008335,0.00552,0.008197,0.004251,0.003846,0.007885,0.00458,0.005261,0.008115,0.00815,0.007183,0.002488,0.004974,0.004777,0.000835,0.000293,0.000774,0.004339,0.000995,0.000993,0.00107,0.001032,0.000822,0.004597,0.000642,0.000927,0.001173,0.001582,0.001508,0.001182,0.001239,0.001913,0.00245,0.003229,0.004021,0.004176,0.003967,0.002831,0.002328,0.001641,0.004806,0.00501,0.004945,0.005455,0.005271,0.005744,0.001006,0.003867,0.003528,0.000324,0.000492,0.000898,0.000817,0.000787,0.000749,0.000705,0.000982,0.001087,0.000732,0.001637,0.002031,0.005615,0.002147,0.006244,0.002689,0.002744,0.001738,0.005491,0.001123,0.001234,0.001266,0.000231,-7e-06,0.000918,0.001672,0.002149,0.001692,0.000385,0.004165,-3.2e-05,0.000704,0.000694,0.000828,-0.000301,-1.7e-05,0.000444,0.000701,0.001251,0.000641,0.000476,-0.00078,-0.00062,-1e-06,0.000334,0.00054,0.000793,0.001063,0.003927,2.6e-05,0.000679,0.000691,8.3e-05,-0.000914,-0.001175,-0.00182,0.000356,0.000937,0.001289,0.000758,8e-05,-0.00034
-0.04881,-0.199518,-0.14341,0.099155,0.149328,0.093327,0.070374,-0.018211,-0.015335,0.007182,0.029355,0.029774,0.020875,-1.307182,0.076491,2.691673,0.070876,0.086497,0.079432,-0.271397,-0.081472,-0.116589,0.006373,0.034216,-0.040069,-0.036521,-0.035379,-0.228233,-0.036338,0.019326,0.002365,-0.208704,-0.088615,0.005718,-0.032883,-0.366315,-0.037133,0.21582,-0.036728,-0.036696,0.001945,-7.1e-05,0.002002,-0.036595,0.002022,-1.3e-05,0.088492,-0.01307,-0.000284,-0.038305,5.8e-05,-0.002007,-0.007302,0.00296,0.000167,-0.00091,0.32906,-0.015305,0.098632,-0.483897,-1.397408,0.000621,-1.415625,-0.05329,0.091277,-0.008877,-0.039572,-0.036257,-0.047109,0.150042,-0.03704,-0.034493,2.9e-05,-0.036492,-0.010916,-0.001118,7.7e-05,9.5e-05,5.2e-05,-0.139572,-0.000939,-5e-06,0.004127,0.005954,-0.008067,-0.010776,0.667662,-0.043348,-0.002767,-0.039623,-0.008158,-0.011559,-0.040976,-0.032409,-0.02055,-9.6e-05,-0.001673,-0.012426,-0.038798,0.002004,-1.533125,0.109357,0.03024,-0.000994,-0.034295,0.000307,-0.518752,-0.012584,-0.005556,0.002168,0.000125,8.4e-05,7.1e-05,4.5e-05,2.2e-05,1.4e-05,0.000236,0.002058,1.8e-05,-0.022981,0.017089,0.032262,-0.010809,-0.036519,0.000119,0.001924,-0.010488,-0.001467,0.000195,0.002078,0.010084,-0.317373,-0.346006,0.005213,-0.006266,-0.321299,-0.380112
0.301133,0.496565,0.376339,0.147016,0.070833,0.088686,0.001075,0.124807,0.128591,0.086075,0.014454,-0.008776,0.10113,-1.936175,-0.018,1.187808,0.044665,0.077738,0.067898,0.496202,0.138329,0.189365,0.056704,0.001643,0.040581,0.007532,0.010832,0.364987,0.098376,-0.039875,-0.017591,0.313299,0.109342,-0.035492,-0.023303,0.409538,-0.00433,0.245507,0.010194,0.010212,-0.016642,-3.8e-05,-0.016593,0.010217,-0.015216,-1.1e-05,-0.139092,-0.00443,0.000552,0.024876,3.4e-05,0.01525,0.007653,0.005543,0.018246,0.033969,-0.384302,0.044711,-0.055332,-0.60765,-1.904979,0.034757,-1.916831,0.077338,-0.141328,0.014022,0.028899,0.011353,0.022868,0.162969,0.011943,-0.005136,-1.1e-05,0.011161,-0.05119,0.001259,7.7e-05,7.2e-05,6.3e-05,-0.203626,0.015499,-4e-06,0.009458,0.002324,-0.011108,0.008261,0.463908,0.00596,0.000906,0.009051,-0.001569,0.014305,-0.051299,0.003074,0.029326,0.01906,0.015449,0.111273,-0.066175,-0.015957,-1.892099,-0.168267,-0.066207,0.001883,-0.004277,0.000257,-0.612882,0.007216,0.018907,-0.014991,0.000105,4.4e-05,6.7e-05,4e-05,4.5e-05,1.1e-05,0.00085,-0.015198,8e-06,0.048416,-0.107708,-0.054965,0.00903,0.011815,0.000119,-0.015956,0.095474,-0.019317,0.000789,-0.01519,-0.008002,0.461558,0.481332,-0.020872,0.010205,0.435276,0.512328
0.147832,0.313419,0.143878,-0.090626,-0.099421,-0.125055,-0.004039,-0.21346,-0.215596,-0.254164,-0.032585,-0.017207,-0.174105,1.163054,0.005617,4.77686,-0.125713,-0.166748,-0.138625,0.134846,0.138317,0.17014,-0.132698,-0.024706,-0.084527,-0.030756,-0.025962,0.07972,-0.158789,0.057257,0.022364,0.028581,0.151238,0.045048,0.027917,0.276486,0.005511,0.284174,-0.01843,-0.01838,0.023312,-0.000105,0.0234,-0.01822,0.029199,-3.5e-05,-0.068105,0.025436,0.000483,-0.047233,9.4e-05,-0.029197,0.002028,-0.008633,-0.031083,-0.061363,-0.332498,-0.063821,0.122339,0.384041,1.268939,-0.067784,1.299569,-0.160955,-0.112968,-0.005841,-0.045927,-0.017139,-0.018193,0.443408,-0.017062,0.006163,1.8e-05,-0.017724,-0.031327,0.000586,0.00024,0.00018,0.00012,0.154331,-0.029901,-6e-05,-0.030565,0.005658,0.007371,-0.005582,1.377648,0.005964,-0.052549,-0.041251,-0.018322,-0.050654,0.031171,-0.090373,-0.037599,-0.029634,-0.028536,-0.164011,0.064851,0.023979,1.304526,-0.084081,-0.066454,0.001609,0.00723,0.0008,0.396285,-0.006137,-0.028253,0.029727,0.000325,0.000234,0.000179,0.000121,7.4e-05,7.2e-05,0.005426,0.029275,2.4e-05,0.043994,0.161563,-0.094006,-0.004596,-0.017119,0.000295,0.024116,-0.135367,0.032002,0.005493,0.029319,0.005079,0.292036,0.332102,0.020986,-0.028051,0.224352,0.274578
0.000191,-8.5e-05,0.000205,0.000345,0.000414,0.000549,0.000591,0.000567,0.000599,0.000563,0.000537,0.000521,0.00041,0.00034,0.000319,1.1e-05,-2.5e-05,-0.000241,-0.000227,-0.000476,-0.000641,0.005056,-0.000312,0.005399,-0.000329,-8.5e-05,0.005312,0.010863,0.016543,0.022155,0.021729,0.027399,0.027465,0.027701,0.033948,0.034146,0.034311,0.040364,0.034495,0.040427,0.034587,0.034659,0.03484,0.028883,0.029072,0.023243,0.017428,0.017446,0.01154,0.011564,0.011558,0.011565,0.005711,0.005674,-0.000242,-0.000344,-0.000237,-0.000252,-0.000133,-0.000117,-3e-05,5e-06,3e-05,3.7e-05,-3e-06,-5.6e-05,0.005888,0.005863,0.005809,0.005815,0.00581,0.005756,0.011818,0.005846,0.011873,0.011938,0.011993,0.018037,0.012042,0.018077,0.01205,0.012063,0.012058,0.00603,0.006028,-4e-06,0.006036,4e-06,0.006039,4e-06,0.006032,3e-06,3e-06,-0.0,-0.000192,-1e-06,0.006027,2e-06,0.006028,0.0,0.006026,0.006025,0.0,0.00603,1e-06,-3e-06,0.006019,0.006015,0.006227,0.006005,-2.8e-05,0.005991,0.006,0.006013,-0.006013,0.0,-0.006018,-2.2e-05,-0.006042,-0.006032,-3.2e-05,-2.9e-05,-3e-05,-2.1e-05,-1e-06,3e-06,1e-06,-0.006003,-0.005996,-0.012193,-0.012169,-0.018093,-0.018057,-0.017972,-0.017721,-0.017625,-0.017711
0.000997,-0.004179,0.001069,0.00178,0.002146,0.002846,0.003072,0.00294,0.003116,0.002937,0.0028,0.002719,0.002143,0.001782,0.001671,-0.00366,-0.003841,-0.004979,-0.004914,-0.00997,-0.010847,-0.011701,-0.005359,-0.006199,-0.005493,-0.000438,-0.002976,-0.004773,-0.005876,-0.003696,-0.0103,-0.012071,-0.012046,-0.011321,-0.009746,-0.00875,-0.008155,-0.003328,-0.003611,-0.003693,-0.003771,-0.003929,-0.002701,-0.002322,-0.007373,-0.001339,-0.005638,6.3e-05,0.00024,0.000564,-0.006311,0.000118,-0.004982,0.000982,-0.005234,-0.000497,-0.005071,0.001507,-0.002847,-0.002519,-0.000681,0.000101,0.000619,0.000772,-3.4e-05,-0.001207,-0.001935,-0.002561,-0.003913,-0.004093,-0.004356,-0.006083,-0.005352,-0.004838,-0.004879,-0.003658,-0.002406,-0.00213,-0.001062,-0.00098,-0.000956,-0.000186,-0.000775,-0.000604,-0.000847,-0.000804,0.000262,0.000919,0.001931,0.00148,0.002095,0.001822,0.001324,9.8e-05,0.005103,-0.000976,-0.000291,3.2e-05,-0.000474,0.00056,0.000587,0.000131,-1.5e-05,-0.000658,7e-06,0.000667,0.001152,0.001558,-0.003585,0.001899,0.002802,0.002218,0.001397,0.000294,-0.000439,-2.4e-05,-0.000142,0.00213,0.002744,0.002288,0.004082,0.003635,0.003682,0.002365,0.000102,-0.000452,-5.8e-05,0.001208,0.00085,0.007362,0.008923,0.010629,0.011262,0.012907,0.008798,0.010057,0.016013
0.000476,0.004856,0.00051,0.000848,0.001021,0.001354,0.001456,0.001391,0.001472,0.001385,0.001317,0.001277,0.001005,0.000835,0.000781,0.005094,0.005012,0.004484,0.004515,0.008979,0.008583,0.007974,0.00433,0.003726,0.004275,-0.000205,-0.001609,-0.002673,-0.003408,-0.009465,-0.005742,-0.006822,-0.006829,-0.006515,-0.005978,-0.005504,-0.005225,-0.010024,-0.009979,-0.010226,-0.01008,-0.01018,-0.009579,-0.009209,-0.004751,-0.008525,-0.003494,-0.00762,-0.007338,-0.00717,-0.003676,-0.00741,-0.002807,-0.006767,-0.002753,-0.007362,-0.002681,-0.006316,-0.001513,-0.00134,-0.000362,5.4e-05,0.00033,0.00041,-1.8e-05,-0.000645,-0.001228,-0.001565,-0.002295,-0.0024,-0.002547,-0.003492,-0.003311,-0.002842,-0.003069,-0.002412,-0.001734,-0.001785,-0.001002,-0.001162,-0.000948,-0.000526,-0.000851,-0.00055,-0.000682,-0.000452,-6.6e-05,0.000502,0.000855,0.000812,0.000946,0.000999,0.000724,5.3e-05,-0.004411,-0.000537,-0.000367,1.6e-05,-0.000469,0.000304,0.000114,-0.000139,-1.2e-05,-0.00057,1e-06,0.000364,0.000421,0.000638,0.005026,0.000826,0.001525,0.000996,0.000548,-5e-05,-3.3e-05,-1.3e-05,0.000133,0.001165,0.001704,0.001453,0.002217,0.001962,0.001984,0.001269,5.3e-05,-0.000244,-3e-05,0.000857,0.000667,-0.002785,-0.001944,-0.000837,-0.000509,0.000343,0.005236,0.005858,0.00188
3e-06,-0.034987,8e-06,2.5e-05,0.000562,0.000578,0.000566,0.000571,0.000571,1.3e-05,1.1e-05,2e-05,0.000575,0.00058,-0.00031,-0.035043,-0.034426,-0.041062,-0.035878,-0.073139,-0.071681,-0.074266,-0.035144,-0.035156,-0.035395,-0.003814,0.000917,0.001008,0.002882,0.038264,0.002231,0.001992,-2.34144,0.029118,0.008435,0.003585,0.004965,0.054831,0.042531,0.04556,0.784319,0.060048,0.03952,2.381393,0.004246,0.048067,0.002614,0.041944,-0.793429,0.038653,0.00117,0.037385,-2.496638,0.037256,-0.000782,0.034835,-0.000812,0.035655,-0.000785,-0.000789,1e-06,2.3e-05,-5e-06,-2e-06,-1e-05,-9e-06,0.000986,0.000989,0.0002,-0.000264,-0.242663,0.000223,-0.017813,0.000199,0.001118,0.000444,0.005243,0.001884,0.004305,0.003877,0.001401,0.002371,0.001983,0.002806,7.4e-05,-0.001439,0.003842,0.00122,0.001861,1.9e-05,0.001752,0.000105,0.004438,-0.000669,0.035668,3e-06,0.000976,-0.00127,0.000793,-0.001615,-0.000555,0.000482,0.000383,0.000641,2e-06,4e-06,0.000992,0.004636,-0.026367,0.000832,-0.000474,0.000937,0.000969,0.000975,-0.000984,0.00608,-0.001016,-2.4e-05,-0.000114,-0.000131,0.000864,-0.000752,-0.014795,0.001032,-0.001468,-0.000337,8e-06,-0.000104,0.00265,0.022978,0.030229,0.045731,-0.826528,-0.038205,-0.002786,-0.007587,0.0277
