0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192
-0.000768,-0.005642,-0.006764,-0.006856,-0.006742,-0.012312,-0.012572,-0.011856,-0.011782,-0.01235,-0.012108,-0.017871,-0.01831,-0.017382,-0.017589,-0.012391,-0.012524,-0.011938,-0.00622,-0.006303,-0.000533,-0.000443,-0.000489,-0.00032,-0.000205,0.00564,0.000691,4.6e-05,-3e-06,0.00013,0.000227,0.000319,-0.000338,0.000353,-0.000629,-0.000221,-0.00048,-0.005592,-0.00581,-0.005988,-0.00583,-0.005791,-0.006304,-0.00576,-8.7e-05,-0.005922,-0.005831,-0.000617,-0.000498,-0.006876,-0.005709,-0.006308,-0.006945,-0.001081,-0.006395,-0.006803,-0.007122,-0.012513,-0.006876,-0.006228,-0.000389,-0.000392,-0.000344,-0.000183,-0.000268,0.00046,-6.6e-05,0.000477,-0.000223,0.000462,-0.005427,0.000301,-0.005418,0.000286,-0.000443,-0.006242,0.000124,-0.005687,-0.006268,-0.006223,-0.005441,-0.000272,-0.005969,-0.006013,-0.005308,-0.005336,-0.005938,-0.000225,0.000476,-0.000201,-0.000235,-0.000201,0.000387,-0.000284,0.000463,-0.000234,0.000433,-0.000212,0.000377,0.000266,0.000192,3e-06,-8.9e-05,-0.005841,-0.000298,-0.0005,-0.006296,-0.000688,-0.000518,7.1e-05,-0.000565,0.000196,-0.005348,-0.005188,0.000542,-0.004902,0.000862,0.000884,0.000449,0.000558,8.5e-05,0.005655,8e-05,-5.7e-05,-2e-05,-6.5e-05,-0.000173,-0.000306,0.000276,9e-05,1e-05,3.4e-05,0.000666,4.8e-05,0.000112,0.000176,-0.000301,-0.005772,-0.005683,-0.000121,-0.00022,-0.005112,-0.011144,-0.005727,-0.011175,-0.00563,-0.005737,-0.005099,-0.005667,-9e-05,-0.005548,3.8e-05,3.8e-05,7.6e-05,-0.000411,-0.000389,0.005785,0.005802,0.005181,0.005103,-6e-06,-0.005662,-0.005722,-0.00566,-0.005581,-0.005653,-0.005765,-0.005692,-0.005628,-0.005616,-0.005658,-0.011111,-0.011039,-0.000507,0.000167,0.005677,0.005638,0.005699,0.005653,0.005098,0.005745,0.011418,-0.000202,0.004764,0.004726,0.004235,0.004239,-0.001264,-0.000733,-0.000203,-0.000327,-0.00049,-3e-06
0.007555,0.000211,0.006706,0.007222,0.005983,0.003325,0.004995,0.00015,-0.000271,0.003817,0.002266,0.001414,0.004724,-0.001901,-0.000449,0.004638,0.005672,0.001305,0.002631,0.003228,0.004039,0.003315,0.003682,0.002319,0.001388,0.001622,-0.005504,-0.000587,-0.000193,-0.001301,-0.001982,-0.002731,0.002253,-0.002989,0.004588,0.001578,0.003617,-0.00263,-0.000887,0.000568,-0.000732,-0.001047,0.002816,-0.001361,0.000744,5.6e-05,-0.000718,0.004891,0.003828,0.007408,-0.002381,0.00232,0.007397,0.007863,0.003059,0.006923,0.010007,0.006187,0.008751,0.003421,0.00388,0.003909,0.003431,0.001817,0.002685,-0.003599,0.000665,-0.003786,0.002244,-0.003615,-0.003331,-0.001986,-0.003353,-0.001824,0.004571,0.00422,-9.6e-05,-0.000248,0.00486,0.004429,-0.002688,0.003053,0.001935,0.002475,-0.004008,-0.003671,0.001694,0.002573,-0.003928,0.002294,0.002677,0.002297,-0.002878,0.003251,-0.003786,0.002657,-0.003428,0.002413,-0.002775,-0.001511,-0.000671,0.001497,0.002528,0.002515,0.004622,0.007274,0.008158,0.009427,0.007496,0.002356,0.00814,0.000917,-0.000283,-0.002096,-0.003133,-0.005452,-0.006952,-0.0072,-0.003712,-0.004953,-0.00105,-0.000154,-0.000947,0.000669,0.000236,0.000772,0.002043,0.003592,-0.001595,0.000601,0.001541,0.001249,-0.004572,0.001084,0.000339,-0.000407,0.003585,0.001956,0.000898,0.001502,0.002731,-0.00416,-0.00066,0.001705,-0.000113,0.00049,0.002076,-0.004294,0.001169,0.001274,-0.000452,-0.00054,-0.000552,-0.001089,0.003248,0.002935,-0.002733,-0.002851,0.00328,0.004347,0.000145,0.001012,0.001836,0.00101,-5e-05,0.000996,0.002707,0.001752,0.000865,0.000705,0.001418,-0.000288,-0.001488,0.004949,-0.002827,-0.001797,-0.001107,-0.002019,-0.001178,0.004402,-0.00241,-0.003525,0.000323,0.006673,0.007242,0.01156,0.011505,0.010285,0.005418,0.000548,0.002238,0.004414,0.000105
-0.031003,-0.020554,-0.017028,-0.016738,-0.010356,-0.004332,-0.003402,0.000964,0.00073,-0.004047,-0.004898,-0.004933,-0.010129,-0.00676,-0.005951,-0.010587,-0.010007,-0.005415,-0.005122,-0.004776,-0.004753,-0.005161,-0.00496,-0.005725,-0.00625,-0.00656,-0.003125,-0.007389,-0.007175,-0.00784,-0.008233,-0.008675,-0.012904,-0.008878,-0.011559,-0.006204,-0.005002,-0.001096,-6e-05,0.000807,3.6e-05,-0.00015,-0.005006,-0.00034,0.000449,0.000499,3.9e-05,-0.004236,-0.004866,-0.00942,-0.008109,-0.012455,-0.016577,-0.016757,-0.012033,-0.009675,-0.007752,-0.002428,-0.001328,0.002562,0.002371,0.002377,0.002083,0.00109,0.001622,0.004952,0.000402,0.004841,0.001351,0.004942,0.005567,0.005916,0.005549,0.006008,0.002717,0.002949,0.007015,0.007355,0.00329,0.003031,0.005904,0.001778,0.001561,0.00187,0.005121,0.00531,0.001406,0.001477,0.004733,0.001313,0.001529,0.001312,0.005331,0.001849,0.004812,0.001505,0.00502,0.001364,0.005387,0.006094,0.006564,0.007766,0.008322,0.008721,0.009316,0.010832,0.011646,0.011884,0.010779,0.014789,0.011013,0.013955,0.013687,0.012738,0.011823,0.011033,0.009908,0.009785,0.00484,0.004227,-0.000524,-0.000456,-0.000473,0.000333,0.000119,0.000388,0.001018,0.001786,0.005903,0.006986,0.007437,0.007285,0.011109,0.007184,0.006821,0.006455,0.001723,0.001305,0.0008,0.000724,0.001304,0.005016,0.000429,0.001181,0.000688,0.000606,0.001355,0.004948,0.000924,0.000603,0.000154,-0.000255,-0.000261,-0.000515,-0.005074,-0.005223,-0.001664,-0.001725,-0.005428,-0.004919,6.7e-05,0.000853,0.001247,0.000854,0.000352,0.000849,0.001658,0.001203,0.000782,0.000708,0.001042,0.000606,4.1e-05,-0.004246,-0.00133,-0.001217,-0.000894,-0.001332,-0.000934,-0.004891,-0.001525,-0.002429,-0.006474,-0.010419,-0.010135,-0.014653,-0.014666,-0.014864,-0.010605,-0.006365,-0.005528,-0.00445,5.2e-05
-0.003132,-0.033135,-0.04401,-0.338671,0.035368,0.008971,-0.071293,-0.004587,-0.005459,0.030194,0.001815,0.028381,0.048462,0.456788,0.35262,0.197899,0.07163,0.036226,0.304493,0.03972,0.030023,0.041796,-0.005,0.067492,0.016915,0.036374,-0.034816,0.026999,0.085145,1.287125,0.037319,0.032058,0.068411,0.042959,0.072578,0.034154,0.348582,-0.004626,-0.001013,-0.00141,-0.002167,0.293717,0.185798,-0.008945,-0.000629,-0.002023,-0.001758,0.036866,0.047942,0.086047,-0.219836,0.075977,0.195858,-0.323658,-0.112974,0.565446,0.031389,-0.183896,0.068942,-0.024979,-0.053101,0.154717,-0.018829,0.631493,0.20616,0.41593,-0.003318,-0.030604,-0.012781,-0.036756,-0.038735,-0.052677,-0.084233,-0.025694,-0.008156,0.01311,-0.014871,0.052325,-0.255923,-0.148028,-0.034376,-0.000175,2.2e-05,0.00558,-0.038535,-0.036679,-0.000141,-0.012903,-0.043921,-4.8e-05,0.000558,-2.4e-05,-0.037194,0.001941,-0.041264,0.001302,-0.031328,-4e-06,-0.048099,0.121309,-0.270638,-0.009771,-0.010405,-0.774244,1.780572,-1.294269,-0.257666,-0.012528,-0.021744,-0.190285,-0.01911,-0.069884,-0.083844,-0.041094,0.114559,-0.076491,-0.08273,0.375561,-0.059511,-0.03228,0.098189,0.00175,-0.0001,4e-06,-2e-06,-3.4e-05,0.31314,-0.001751,-0.047385,-0.035213,-0.045065,0.221694,-0.08156,0.332429,-0.052276,-0.039041,0.035763,-0.105714,-0.125586,0.004568,0.010511,-0.032269,-0.001466,0.315855,-0.00479,-0.013649,0.037946,-0.054122,-0.005369,-0.024995,-0.012852,5e-05,-0.019676,0.001336,-0.282924,-0.318583,0.011489,0.031256,0.045893,0.045756,-0.207289,0.000297,-2.8e-05,-0.008632,-0.000657,0.245126,0.441795,-0.004211,0.001689,0.19871,0.025589,-1.172212,0.364568,0.025283,-0.075487,-0.00159,9e-06,0.000244,0.004184,0.432263,0.007919,-0.08744,0.143845,-0.065806,-0.27092,-0.180813,0.127979,-0.096286,1.015552,-0.271369,-0.106748,0.040883,-0.185761
0.206143,0.298063,0.172306,0.452229,0.062438,0.053989,0.225766,0.12594,0.027293,0.121392,0.079007,0.033639,0.153077,0.749661,0.01305,0.215396,0.024991,0.025446,0.843869,0.017362,0.094772,0.001375,0.045023,0.179244,0.033864,-0.010705,0.059673,0.112649,0.30141,2.117596,0.004527,0.022544,0.014794,0.015928,-0.003032,0.007311,-0.320733,0.016999,0.017655,0.016256,0.014964,-0.28971,0.202004,0.012234,0.000708,0.015428,0.015634,-0.00867,0.001933,-0.013987,0.296252,0.022273,0.998933,0.341173,0.240676,0.728338,0.070255,0.292084,-0.044302,0.010565,0.056961,-0.194835,-0.004427,0.730304,-0.227531,-0.452055,0.002352,-0.009924,0.099592,0.009827,0.025119,0.001592,0.06793,-0.013054,-0.010784,-0.00608,-0.018309,-0.098581,0.261603,0.164106,0.006538,-0.000746,0.018937,0.003196,0.025665,0.008455,-0.001912,-0.008775,0.015495,9.3e-05,-0.019429,-0.000239,0.009026,-0.017175,0.003635,-0.016139,0.014359,-3.2e-05,0.00167,0.23407,0.249656,-0.033054,-0.02884,-0.263899,2.559917,-1.720341,0.224557,-0.049524,0.016359,-0.481527,-0.041871,-0.014322,0.096253,-0.044415,-0.210035,0.020155,0.009886,-0.45028,0.111053,0.014465,0.212174,-0.016373,-0.000358,-1e-06,-3e-06,-6.8e-05,-0.331088,-0.015756,0.018366,-0.00556,-0.014397,-0.168789,0.010502,-0.400284,0.004125,-0.002088,-0.056013,-0.193587,-0.140156,-0.013681,-0.021048,0.008084,0.037997,-0.377065,0.037941,0.126528,-0.051353,0.030943,0.020126,0.115322,0.026318,0.00076,0.037149,-0.000339,0.403089,0.368213,-0.0102,0.035952,-0.015738,-0.030193,-0.076124,0.015211,-0.00078,0.019094,0.017916,-0.245809,-0.454288,0.018826,0.021666,-0.195576,-0.037154,-1.967787,-0.346756,-0.017324,0.128442,-0.005808,-0.019014,0.000634,-0.020559,0.642206,-0.019025,0.094054,0.219711,0.142683,0.353728,0.301257,-0.016614,0.578609,1.998075,0.275081,0.17074,-0.078286,0.095622
0.137348,0.100553,0.08477,0.244667,0.048119,-0.008439,-0.125942,-0.228015,-0.061198,0.136255,-0.007745,-0.114669,-0.241227,-0.508125,0.244347,0.403216,-0.045215,-0.02844,1.59363,0.01697,-0.147113,-0.006717,0.066835,-0.020591,0.031023,0.023141,0.016994,-0.170553,0.51986,-1.325205,-0.006196,-0.029662,-0.010319,-0.02917,0.013019,-0.005433,-0.181367,-0.029007,-0.030348,-0.029761,-0.029412,-0.232282,0.410238,-0.043304,0.000551,-0.028835,-0.029142,0.018687,0.001823,0.007004,0.112242,0.010579,0.056333,0.483099,0.13719,1.556943,0.048446,0.231948,0.006765,-0.009425,0.097617,-0.124265,0.024158,1.303455,-0.129894,-0.299498,0.000699,0.003964,-0.137332,-0.01855,-0.047717,0.001476,0.028015,0.003349,0.024269,-0.00047,0.005755,-0.11247,0.176575,0.12099,-0.025142,-0.000259,-0.031824,0.004891,-0.047917,-0.024374,-0.006239,0.021717,-0.016664,0.000269,0.025233,9.7e-05,-0.017525,0.023455,-0.033273,0.023727,-0.006553,-2.7e-05,0.005768,0.479416,0.186469,0.035193,0.023613,0.800428,4.879893,1.932857,0.188064,0.044886,0.088778,0.975143,0.043542,0.00732,-0.16115,-0.061199,-0.169041,-0.042418,-0.013006,-0.297992,-0.158011,-0.006268,-0.176125,0.03024,0.000272,3.9e-05,3.3e-05,-7.7e-05,-0.177852,0.004434,-0.017067,0.006001,0.030015,0.014097,-0.011572,-0.198843,0.00545,0.006744,-0.019216,0.14942,0.153014,0.022329,-0.030375,-0.079011,-0.0619,-0.312539,-0.060111,-0.197386,-0.08994,-0.053151,-0.028401,-0.167224,-0.031659,0.001027,0.035839,-1.4e-05,0.280151,0.242212,0.005636,-0.011185,0.067482,0.046483,0.22807,-0.031404,-0.006091,-0.029406,-0.031155,-0.190233,-0.266304,-0.029018,-0.032719,-0.166411,-0.080281,1.43752,-0.276711,-0.00352,0.038249,0.00997,0.032777,0.005727,0.031192,-0.443268,0.046369,0.11849,-0.121197,0.163663,0.28237,0.290173,0.103908,0.165236,-1.32286,0.466275,0.108128,0.18443,0.305348
-0.000385,-0.000177,-0.00035,-0.000282,-0.000102,-0.00047,0.000141,0.000226,0.006751,0.006818,0.006867,0.00675,0.012857,0.00682,0.012843,0.006915,0.006549,0.006502,0.000475,0.000176,-7.2e-05,-3.3e-05,-9.9e-05,0.000172,0.000181,0.000619,0.000535,0.000528,0.000445,0.006305,0.000207,0.006192,0.006433,0.006708,0.012819,0.012976,0.013318,0.019344,0.019196,0.019031,0.018877,0.018693,0.018406,0.018386,0.012728,0.018439,0.012497,0.012448,0.006403,8.2e-05,0.000244,9.1e-05,0.00011,-1.3e-05,-0.000181,4.4e-05,-0.000121,-6.4e-05,-3.5e-05,-0.000122,0.00598,0.00608,4.2e-05,0.006054,0.005989,0.006028,0.006031,0.012217,0.018278,0.012208,0.018103,0.024138,0.018111,0.024153,0.018218,0.012083,0.006124,0.012106,0.006044,2e-06,-7.3e-05,0.0,-1.5e-05,-1e-06,0.006046,0.006011,0.006065,0.006012,0.005978,0.011974,0.011938,0.011978,0.017909,0.017936,0.017906,0.023896,0.017833,0.017852,0.017879,0.011981,0.012057,0.012068,0.012085,0.006038,0.012129,0.006052,0.012066,0.006033,0.006034,0.006034,0.006035,0.006027,0.006048,2.5e-05,0.006033,0.006026,1e-06,0.006035,0.006033,0.00603,0.006034,0.006034,0.006027,0.006034,0.006035,0.006036,-1e-06,4e-06,0.006034,0.006035,0.006034,1e-06,3e-06,0.006034,6e-06,0.006035,0.012067,0.006035,0.006035,0.00603,0.006026,0.006029,0.00603,0.00603,-1e-06,-1e-06,-0.0,-0.0,1e-06,0.0,0.006029,1e-06,0.0,-4e-06,-3e-06,-0.006038,-7e-06,1e-06,0.0,0.0,0.006026,0.006022,-3e-06,0.006033,0.006028,0.006023,-0.006038,-6e-06,0.006023,-9e-06,0.006031,0.006026,0.006025,-1.3e-05,2e-06,-1.9e-05,-1.6e-05,-1.3e-05,4e-06,-0.006022,1e-06,5e-06,-0.006021,-0.006024,-0.006026,-0.018073,-0.018054,-0.024008,-0.023739,-0.01787,-0.01768,-0.017688,-0.01195
-0.005563,-0.004595,-0.005389,-0.005071,-0.00423,-0.009733,-0.003097,-0.002704,0.002142,0.002473,0.002731,0.002219,0.001454,0.002638,-0.002318,-0.000582,-0.006195,-0.006412,-0.001427,-0.002922,-0.004176,-0.000142,-0.000496,0.000872,0.000905,0.003141,0.002725,0.002687,0.002273,0.000381,0.001061,-0.000179,0.001082,0.002553,0.002024,0.002967,0.005003,0.004395,0.003733,0.003108,0.002502,0.001524,-0.004117,-0.004135,0.003218,-0.003599,0.001866,0.001627,0.00211,-0.003633,0.001774,-0.003561,0.000803,-7.4e-05,-0.005507,0.000319,-0.000863,-0.000461,-0.000242,-0.000891,-0.000925,-0.000192,0.00031,-0.000378,-0.000849,-0.000562,-0.000549,0.00439,0.004184,0.004445,-0.001467,-0.001898,-0.001372,-0.0017,-0.00029,-0.000799,0.000418,-0.000537,-0.000379,4e-06,-0.000761,-3e-06,-0.000153,-2.7e-05,-0.00035,-0.000705,0.004823,0.004286,0.003946,0.003156,0.002772,0.008296,0.007483,0.007591,0.00746,0.012716,0.006893,0.00143,0.001898,-0.001965,-0.000459,-0.000186,0.000235,-1e-05,-0.006148,0.000399,-0.00018,-8.8e-05,-7.5e-05,-7.3e-05,-1.7e-05,-0.000267,0.000349,0.000833,-5.9e-05,-0.000318,3e-06,7.3e-05,-2.8e-05,-0.000179,1.4e-05,9.2e-05,-0.000419,-3.6e-05,2e-05,0.000113,-7e-06,0.000284,3.9e-05,4.2e-05,-8.2e-05,1.4e-05,9.5e-05,5e-05,0.000635,8.3e-05,-0.000399,0.000763,0.000598,0.001539,0.001463,0.000292,6.5e-05,9.9e-05,6.2e-05,-1.2e-05,1e-06,2.5e-05,-0.000106,6e-06,0.000261,-0.000233,3e-06,0.000556,0.000337,0.001305,0.001252,-0.000184,-1.4e-05,-5e-06,0.000377,0.001013,0.000453,-0.000532,0.000583,0.001127,0.001012,0.000591,0.000626,0.001002,-0.000373,0.000131,0.000252,0.001094,-3.3e-05,0.001557,0.001225,0.000951,-0.000356,-0.00021,1e-05,-0.000515,-0.00047,-9.2e-05,0.00056,0.002843,0.003987,0.007504,0.002848,0.007167,0.001121,-0.001462,0.000715
0.004107,0.004697,0.004215,0.004413,0.004928,0.009095,0.005623,0.005861,0.001185,0.001379,0.001528,0.001213,0.000634,0.001453,0.005824,0.006969,0.011074,0.010947,0.006583,0.005705,0.004974,-8.3e-05,-0.000291,0.000507,0.000528,0.001831,0.001588,0.001564,0.001322,8.4e-05,0.000612,-0.000242,0.000487,0.001336,0.000886,0.00142,0.002568,0.00205,0.001663,0.001284,0.000925,0.000367,0.004478,0.004453,0.001454,0.004751,0.000687,0.000559,0.000995,0.005235,0.000978,0.00528,0.000442,-3.9e-05,0.004213,0.000176,-0.000478,-0.000257,-0.000135,-0.000496,-0.000682,-0.000276,0.000171,-0.000381,-0.000642,-0.000486,-0.000481,-0.005183,-0.005472,-0.005159,-0.001355,-0.001776,-0.001315,-0.001683,-0.00072,-0.00082,3.7e-05,-0.00067,-0.000399,-5e-06,-0.000424,-4e-06,-8.4e-05,-1.5e-05,-0.000382,-0.000579,-0.004762,-0.00506,-0.005247,-0.00587,-0.006082,-0.010273,-0.010945,-0.010811,-0.01088,-0.01534,-0.011185,-0.007026,-0.006762,-0.001517,-0.00066,-0.000504,-0.000264,-0.000211,0.003357,2.1e-05,-0.000504,-0.000255,-0.000248,-0.000248,-0.000214,-0.000355,-5e-06,0.000467,-0.000239,-0.000384,-5e-06,-0.000165,-0.000225,-0.00031,-0.0002,-0.000155,-0.000446,-0.000232,-0.0002,-0.000146,-1e-05,0.000155,-0.000187,-0.000188,-0.000257,3e-06,4.9e-05,-0.000182,0.000358,-0.000167,-0.000649,0.00022,0.000126,0.000661,0.000615,-4.9e-05,-0.000176,-0.000156,3.5e-05,-9e-06,0.0,1.5e-05,-5.9e-05,2e-06,-6.3e-05,-0.000135,1e-06,0.000317,0.000194,0.000952,0.000715,-0.000101,-4e-06,4e-06,7e-06,0.000361,0.000252,-0.000516,0.000115,0.000424,0.000781,0.000334,0.000143,0.000564,-0.000422,-0.00014,-7.2e-05,0.000614,-2.2e-05,0.000877,0.00069,0.000538,-0.000198,9.6e-05,1e-05,-0.000287,-5e-05,0.000165,0.000534,0.002236,0.002878,0.005041,0.009608,0.004591,0.008408,0.006976,0.000792
-0.034804,-0.034831,-0.031882,0.62012,-0.037919,-0.071629,-0.038394,0.084798,-0.003339,0.001523,0.001581,0.005588,0.00212,0.001057,-0.692706,-0.033437,-0.06881,-0.034558,-0.035794,-0.037599,-0.035273,-0.001237,-0.000601,0.000542,-0.012374,0.000605,0.000504,0.003454,3.7e-05,0.000969,0.004482,0.001557,0.001003,0.003506,-0.051086,0.004637,0.000347,0.087249,0.01933,0.040012,0.007452,-0.004224,-0.031776,0.910927,-0.203672,-0.040071,-0.686707,0.001763,-0.054014,-0.035206,-2.2e-05,-0.034687,-1e-06,-0.000281,-0.035385,-3.8e-05,-0.000658,-1.5e-05,-2.5e-05,-4e-06,0.000976,0.000984,3e-06,0.000986,0.000999,0.000986,-0.011395,0.180208,0.031212,-0.141436,-0.658356,-0.001796,-0.015116,0.900915,-0.001376,0.00111,0.005148,-0.000495,0.001082,9.9e-05,7.9e-05,5.1e-05,3.7e-05,4.4e-05,-0.718575,0.001122,0.038213,0.040511,0.036393,0.038453,0.038589,-2.083345,2.913481,0.057436,0.074208,0.110821,0.063351,0.035041,0.052815,-0.006602,-0.003378,-0.006321,-0.002605,-0.000177,-0.034323,-0.000149,0.006911,0.004215,0.001021,0.000665,0.000907,-0.003549,0.12571,-0.000985,0.000971,-0.00067,-0.006954,-0.00063,-0.007241,-0.00877,-0.007014,-0.003802,-0.000308,0.001344,0.00058,0.046812,-0.000258,-0.005607,-0.005968,-0.002147,-0.000169,0.000108,0.107851,0.000438,0.005557,0.004279,-0.002651,0.010137,0.033678,0.041728,0.007555,0.212364,-0.003876,0.001226,0.000236,0.000187,-0.003027,0.000118,-0.000947,4e-05,0.099016,-0.000683,-1.6e-05,9.2e-05,-0.000113,-0.000995,1e-06,-0.048096,0.000558,-6.2e-05,0.000895,-0.705302,0.056196,-0.002461,0.00948,0.003107,0.056166,-0.000387,-0.00238,-0.001679,-0.002025,0.001138,0.0176,-0.002719,0.000115,0.000964,4.8e-05,0.000917,-0.009098,0.002349,-0.088109,0.005987,0.001772,-0.047079,-0.061115,-0.067302,-0.153121,-0.151098,-0.263484,0.301684,-0.293042,-0.348043,1.151562
